context: I'm going to separate Takeo-kun and Yamato-san. response:	You should tell him how you feel.
context: My hands have thick skin.\Wow!\Hey!\Was it crowded?\Thankfully Takeo-kun was with me\It sure was!\I see.\You'd better not have said anything to Takeo! response:	I gave up already.
context: Wow!\Hey!\Was it crowded?\Thankfully Takeo-kun was with me\It sure was!\I see.\You'd better not have said anything to Takeo!\I gave up already. response:	It's gotten to be a huge chore,
context: Hey!\Was it crowded?\Thankfully Takeo-kun was with me\It sure was!\I see.\You'd better not have said anything to Takeo!\I gave up already.\It's gotten to be a huge chore, response:	so I decided to just have fun spending time with you, Sunakawa-san.
context: Was it crowded?\Thankfully Takeo-kun was with me\It sure was!\I see.\You'd better not have said anything to Takeo!\I gave up already.\It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san. response:	After making some good memories, I'll go home.
context: Thankfully Takeo-kun was with me\It sure was!\I see.\You'd better not have said anything to Takeo!\I gave up already.\It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home. response:	Oda...
context: It sure was!\I see.\You'd better not have said anything to Takeo!\I gave up already.\It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home.\Oda... response:	Sunakawa-san, you should have fun, too
context: I see.\You'd better not have said anything to Takeo!\I gave up already.\It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home.\Oda...\Sunakawa-san, you should have fun, too response:	I think there's a restroom over there.
context: You'd better not have said anything to Takeo!\I gave up already.\It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home.\Oda...\Sunakawa-san, you should have fun, too\I think there's a restroom over there. response:	I'll go and soak this towel with some water.
context: I gave up already.\It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home.\Oda...\Sunakawa-san, you should have fun, too\I think there's a restroom over there.\I'll go and soak this towel with some water. response:	Oh, it's fine.
context: It's gotten to be a huge chore,\so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home.\Oda...\Sunakawa-san, you should have fun, too\I think there's a restroom over there.\I'll go and soak this towel with some water.\Oh, it's fine. response:	I'll just go myself.
context: so I decided to just have fun spending time with you, Sunakawa-san.\After making some good memories, I'll go home.\Oda...\Sunakawa-san, you should have fun, too\I think there's a restroom over there.\I'll go and soak this towel with some water.\Oh, it's fine.\I'll just go myself. response:	Chance...
context: After making some good memories, I'll go home.\Oda...\Sunakawa-san, you should have fun, too\I think there's a restroom over there.\I'll go and soak this towel with some water.\Oh, it's fine.\I'll just go myself.\Chance... response:	Oh, hey!
context: Oda...\Sunakawa-san, you should have fun, too\I think there's a restroom over there.\I'll go and soak this towel with some water.\Oh, it's fine.\I'll just go myself.\Chance...\Oh, hey! response:	That looks good.
context: Sunakawa-san, you should have fun, too\I think there's a restroom over there.\I'll go and soak this towel with some water.\Oh, it's fine.\I'll just go myself.\Chance...\Oh, hey!\That looks good. response:	Oh, popcorn!
context: I think there's a restroom over there.\I'll go and soak this towel with some water.\Oh, it's fine.\I'll just go myself.\Chance...\Oh, hey!\That looks good.\Oh, popcorn! response:	Yamato-san, Sunakawa-kun, come with me to get some.
context: I'll go and soak this towel with some water.\Oh, it's fine.\I'll just go myself.\Chance...\Oh, hey!\That looks good.\Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some. response:	Takeo-kun, don't move.
context: Oh, it's fine.\I'll just go myself.\Chance...\Oh, hey!\That looks good.\Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move. response:	You're the landmark.
context: I'll just go myself.\Chance...\Oh, hey!\That looks good.\Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move.\You're the landmark. response:	Right!
context: Chance...\Oh, hey!\That looks good.\Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move.\You're the landmark.\Right! response:	Huh?
context: Oh, hey!\That looks good.\Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move.\You're the landmark.\Right!\Huh? response:	Where is everyone?
context: That looks good.\Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move.\You're the landmark.\Right!\Huh?\Where is everyone? response:	What's with your stance?
context: Oh, popcorn!\Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move.\You're the landmark.\Right!\Huh?\Where is everyone?\What's with your stance? response:	They went to buy popcorn with Oda-san.
context: Yamato-san, Sunakawa-kun, come with me to get some.\Takeo-kun, don't move.\You're the landmark.\Right!\Huh?\Where is everyone?\What's with your stance?\They went to buy popcorn with Oda-san. response:	Huh, popcorn...
context: Takeo-kun, don't move.\You're the landmark.\Right!\Huh?\Where is everyone?\What's with your stance?\They went to buy popcorn with Oda-san.\Huh, popcorn... response:	The three of us are going to the Marchen Zone,
context: You're the landmark.\Right!\Huh?\Where is everyone?\What's with your stance?\They went to buy popcorn with Oda-san.\Huh, popcorn...\The three of us are going to the Marchen Zone, response:	From: Oda To: Sunakawa-san Subject: You're such a nice person
context: Right!\Huh?\Where is everyone?\What's with your stance?\They went to buy popcorn with Oda-san.\Huh, popcorn...\The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person response:	so you should tell him how you feel.
context: Huh?\Where is everyone?\What's with your stance?\They went to buy popcorn with Oda-san.\Huh, popcorn...\The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel. response:	Also, I have Yamato-san's cell,
context: Where is everyone?\What's with your stance?\They went to buy popcorn with Oda-san.\Huh, popcorn...\The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel.\Also, I have Yamato-san's cell, response:	so don't bother trying to call her.
context: What's with your stance?\They went to buy popcorn with Oda-san.\Huh, popcorn...\The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel.\Also, I have Yamato-san's cell,\so don't bother trying to call her. response:	Sorry, Takeo!
context: They went to buy popcorn with Oda-san.\Huh, popcorn...\The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel.\Also, I have Yamato-san's cell,\so don't bother trying to call her.\Sorry, Takeo! response:	We might have lost Yamato-san...
context: Huh, popcorn...\The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel.\Also, I have Yamato-san's cell,\so don't bother trying to call her.\Sorry, Takeo!\We might have lost Yamato-san... response:	What?
context: The three of us are going to the Marchen Zone,\From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel.\Also, I have Yamato-san's cell,\so don't bother trying to call her.\Sorry, Takeo!\We might have lost Yamato-san...\What? response:	She's somewhere in the Marchen Zone,
context: From: Oda To: Sunakawa-san Subject: You're such a nice person\so you should tell him how you feel.\Also, I have Yamato-san's cell,\so don't bother trying to call her.\Sorry, Takeo!\We might have lost Yamato-san...\What?\She's somewhere in the Marchen Zone, response:	so let's go look for her.
context: so you should tell him how you feel.\Also, I have Yamato-san's cell,\so don't bother trying to call her.\Sorry, Takeo!\We might have lost Yamato-san...\What?\She's somewhere in the Marchen Zone,\so let's go look for her. response:	Okay!
context: Also, I have Yamato-san's cell,\so don't bother trying to call her.\Sorry, Takeo!\We might have lost Yamato-san...\What?\She's somewhere in the Marchen Zone,\so let's go look for her.\Okay! response:	That popcorn's in the Future Zone!
context: so don't bother trying to call her.\Sorry, Takeo!\We might have lost Yamato-san...\What?\She's somewhere in the Marchen Zone,\so let's go look for her.\Okay!\That popcorn's in the Future Zone! response:	This way.
context: Sorry, Takeo!\We might have lost Yamato-san...\What?\She's somewhere in the Marchen Zone,\so let's go look for her.\Okay!\That popcorn's in the Future Zone!\This way. response:	Thank you!
context: We might have lost Yamato-san...\What?\She's somewhere in the Marchen Zone,\so let's go look for her.\Okay!\That popcorn's in the Future Zone!\This way.\Thank you! response:	The buildings in this area sure look interesting...
context: What?\She's somewhere in the Marchen Zone,\so let's go look for her.\Okay!\That popcorn's in the Future Zone!\This way.\Thank you!\The buildings in this area sure look interesting... response:	Let's take a look around.
context: She's somewhere in the Marchen Zone,\so let's go look for her.\Okay!\That popcorn's in the Future Zone!\This way.\Thank you!\The buildings in this area sure look interesting...\Let's take a look around. response:	Oh, but we should get back.
context: so let's go look for her.\Okay!\That popcorn's in the Future Zone!\This way.\Thank you!\The buildings in this area sure look interesting...\Let's take a look around.\Oh, but we should get back. response:	Oh, I told them to meet us in the Future Zone, so it's fine.
context: Okay!\That popcorn's in the Future Zone!\This way.\Thank you!\The buildings in this area sure look interesting...\Let's take a look around.\Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine. response:	They're on their way.
context: That popcorn's in the Future Zone!\This way.\Thank you!\The buildings in this area sure look interesting...\Let's take a look around.\Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way. response:	Um, thank you.
context: This way.\Thank you!\The buildings in this area sure look interesting...\Let's take a look around.\Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way.\Um, thank you. response:	Thanks to you,
context: Thank you!\The buildings in this area sure look interesting...\Let's take a look around.\Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way.\Um, thank you.\Thanks to you, response:	I was able to come to MM Land with Takeo-kun.
context: The buildings in this area sure look interesting...\Let's take a look around.\Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way.\Um, thank you.\Thanks to you,\I was able to come to MM Land with Takeo-kun. response:	It's been so fun.
context: Let's take a look around.\Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way.\Um, thank you.\Thanks to you,\I was able to come to MM Land with Takeo-kun.\It's been so fun. response:	Any luck over there?
context: Oh, but we should get back.\Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way.\Um, thank you.\Thanks to you,\I was able to come to MM Land with Takeo-kun.\It's been so fun.\Any luck over there? response:	Nope.
context: Oh, I told them to meet us in the Future Zone, so it's fine.\They're on their way.\Um, thank you.\Thanks to you,\I was able to come to MM Land with Takeo-kun.\It's been so fun.\Any luck over there?\Nope. response:	I'm sorry, Takeo.
context: They're on their way.\Um, thank you.\Thanks to you,\I was able to come to MM Land with Takeo-kun.\It's been so fun.\Any luck over there?\Nope.\I'm sorry, Takeo. response:	Huh?
context: Um, thank you.\Thanks to you,\I was able to come to MM Land with Takeo-kun.\It's been so fun.\Any luck over there?\Nope.\I'm sorry, Takeo.\Huh? response:	Well, you know, Oda...
context: Thanks to you,\I was able to come to MM Land with Takeo-kun.\It's been so fun.\Any luck over there?\Nope.\I'm sorry, Takeo.\Huh?\Well, you know, Oda... response:	You let him stay with you, and he's been a bother.
context: I was able to come to MM Land with Takeo-kun.\It's been so fun.\Any luck over there?\Nope.\I'm sorry, Takeo.\Huh?\Well, you know, Oda...\You let him stay with you, and he's been a bother. response:	Oh, that wasn't much.
context: It's been so fun.\Any luck over there?\Nope.\I'm sorry, Takeo.\Huh?\Well, you know, Oda...\You let him stay with you, and he's been a bother.\Oh, that wasn't much. response:	Oda-san's a nice guy.
context: Any luck over there?\Nope.\I'm sorry, Takeo.\Huh?\Well, you know, Oda...\You let him stay with you, and he's been a bother.\Oh, that wasn't much.\Oda-san's a nice guy. response:	Well, he isn't a bad guy...
context: Nope.\I'm sorry, Takeo.\Huh?\Well, you know, Oda...\You let him stay with you, and he's been a bother.\Oh, that wasn't much.\Oda-san's a nice guy.\Well, he isn't a bad guy... response:	Maybe we should try to call Yamato.
context: I'm sorry, Takeo.\Huh?\Well, you know, Oda...\You let him stay with you, and he's been a bother.\Oh, that wasn't much.\Oda-san's a nice guy.\Well, he isn't a bad guy...\Maybe we should try to call Yamato. response:	Huh?
context: Huh?\Well, you know, Oda...\You let him stay with you, and he's been a bother.\Oh, that wasn't much.\Oda-san's a nice guy.\Well, he isn't a bad guy...\Maybe we should try to call Yamato.\Huh? response:	My phone's out of juice.
context: Well, you know, Oda...\You let him stay with you, and he's been a bother.\Oh, that wasn't much.\Oda-san's a nice guy.\Well, he isn't a bad guy...\Maybe we should try to call Yamato.\Huh?\My phone's out of juice. response:	Huh?!
context: You let him stay with you, and he's been a bother.\Oh, that wasn't much.\Oda-san's a nice guy.\Well, he isn't a bad guy...\Maybe we should try to call Yamato.\Huh?\My phone's out of juice.\Huh?! response:	Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.
context: Oh, that wasn't much.\Oda-san's a nice guy.\Well, he isn't a bad guy...\Maybe we should try to call Yamato.\Huh?\My phone's out of juice.\Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger. response:	What's wrong?
context: Oda-san's a nice guy.\Well, he isn't a bad guy...\Maybe we should try to call Yamato.\Huh?\My phone's out of juice.\Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong? response:	He's a horrible guy!
context: Well, he isn't a bad guy...\Maybe we should try to call Yamato.\Huh?\My phone's out of juice.\Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong?\He's a horrible guy! response:	I'll never tell Takeo how I feel, even if we're alone!
context: Maybe we should try to call Yamato.\Huh?\My phone's out of juice.\Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong?\He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone! response:	Let's just all meet up.
context: Huh?\My phone's out of juice.\Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong?\He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up. response:	Why not?
context: My phone's out of juice.\Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong?\He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up.\Why not? response:	Takeo-kun's been treating you like a big sister
context: Huh?!\Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong?\He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up.\Why not?\Takeo-kun's been treating you like a big sister response:	because he has no idea how you feel.
context: Oh, and before going to sleep, I pulled out Takeo-kun's phone charger.\What's wrong?\He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up.\Why not?\Takeo-kun's been treating you like a big sister\because he has no idea how you feel. response:	You don't know how he'll react once he knows.
context: What's wrong?\He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up.\Why not?\Takeo-kun's been treating you like a big sister\because he has no idea how you feel.\You don't know how he'll react once he knows. response:	Don't you want to know?
context: He's a horrible guy!\I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up.\Why not?\Takeo-kun's been treating you like a big sister\because he has no idea how you feel.\You don't know how he'll react once he knows.\Don't you want to know? response:	What's wrong?
context: I'll never tell Takeo how I feel, even if we're alone!\Let's just all meet up.\Why not?\Takeo-kun's been treating you like a big sister\because he has no idea how you feel.\You don't know how he'll react once he knows.\Don't you want to know?\What's wrong? response:	Once... he knows...
context: Let's just all meet up.\Why not?\Takeo-kun's been treating you like a big sister\because he has no idea how you feel.\You don't know how he'll react once he knows.\Don't you want to know?\What's wrong?\Once... he knows... response:	M Man
context: Why not?\Takeo-kun's been treating you like a big sister\because he has no idea how you feel.\You don't know how he'll react once he knows.\Don't you want to know?\What's wrong?\Once... he knows...\M Man response:	M Child
context: Takeo-kun's been treating you like a big sister\because he has no idea how you feel.\You don't know how he'll react once he knows.\Don't you want to know?\What's wrong?\Once... he knows...\M Man\M Child response:	Takeo-kun and Ai-san...
context: because he has no idea how you feel.\You don't know how he'll react once he knows.\Don't you want to know?\What's wrong?\Once... he knows...\M Man\M Child\Takeo-kun and Ai-san... response:	Huh?
context: You don't know how he'll react once he knows.\Don't you want to know?\What's wrong?\Once... he knows...\M Man\M Child\Takeo-kun and Ai-san...\Huh? response:	Were you able to get in touch with them?
context: Don't you want to know?\What's wrong?\Once... he knows...\M Man\M Child\Takeo-kun and Ai-san...\Huh?\Were you able to get in touch with them? response:	Oh, I think they went to the Resort Zone by mistake.
context: What's wrong?\Once... he knows...\M Man\M Child\Takeo-kun and Ai-san...\Huh?\Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake. response:	Huh?
context: Once... he knows...\M Man\M Child\Takeo-kun and Ai-san...\Huh?\Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake.\Huh? response:	That's on the other side of the park, right?
context: M Man\M Child\Takeo-kun and Ai-san...\Huh?\Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake.\Huh?\That's on the other side of the park, right? response:	Yeah, sorry!
context: M Child\Takeo-kun and Ai-san...\Huh?\Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake.\Huh?\That's on the other side of the park, right?\Yeah, sorry! response:	It's all because I said I wanted popcorn.
context: Takeo-kun and Ai-san...\Huh?\Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake.\Huh?\That's on the other side of the park, right?\Yeah, sorry!\It's all because I said I wanted popcorn. response:	It's okay!
context: Huh?\Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake.\Huh?\That's on the other side of the park, right?\Yeah, sorry!\It's all because I said I wanted popcorn.\It's okay! response:	There's enough time before the Sparkly Parade for us to get back together.
context: Were you able to get in touch with them?\Oh, I think they went to the Resort Zone by mistake.\Huh?\That's on the other side of the park, right?\Yeah, sorry!\It's all because I said I wanted popcorn.\It's okay!\There's enough time before the Sparkly Parade for us to get back together. response:	Resort Zone is that way, right?
context: Oh, I think they went to the Resort Zone by mistake.\Huh?\That's on the other side of the park, right?\Yeah, sorry!\It's all because I said I wanted popcorn.\It's okay!\There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right? response:	I don't see them in the Marchen Zone.
context: Huh?\That's on the other side of the park, right?\Yeah, sorry!\It's all because I said I wanted popcorn.\It's okay!\There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right?\I don't see them in the Marchen Zone. response:	You could tell in that split second?!
context: That's on the other side of the park, right?\Yeah, sorry!\It's all because I said I wanted popcorn.\It's okay!\There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right?\I don't see them in the Marchen Zone.\You could tell in that split second?! response:	We're in the Future Zone now.
context: Yeah, sorry!\It's all because I said I wanted popcorn.\It's okay!\There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right?\I don't see them in the Marchen Zone.\You could tell in that split second?!\We're in the Future Zone now. response:	Future?!
context: It's all because I said I wanted popcorn.\It's okay!\There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right?\I don't see them in the Marchen Zone.\You could tell in that split second?!\We're in the Future Zone now.\Future?! response:	Don't move!!
context: It's okay!\There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right?\I don't see them in the Marchen Zone.\You could tell in that split second?!\We're in the Future Zone now.\Future?!\Don't move!! response:	C'mon...
context: There's enough time before the Sparkly Parade for us to get back together.\Resort Zone is that way, right?\I don't see them in the Marchen Zone.\You could tell in that split second?!\We're in the Future Zone now.\Future?!\Don't move!!\C'mon... response:	Just kidding...
context: Resort Zone is that way, right?\I don't see them in the Marchen Zone.\You could tell in that split second?!\We're in the Future Zone now.\Future?!\Don't move!!\C'mon...\Just kidding... response:	We just went to the Resort Zone, actually.
context: I don't see them in the Marchen Zone.\You could tell in that split second?!\We're in the Future Zone now.\Future?!\Don't move!!\C'mon...\Just kidding...\We just went to the Resort Zone, actually. response:	What a crowd...
context: You could tell in that split second?!\We're in the Future Zone now.\Future?!\Don't move!!\C'mon...\Just kidding...\We just went to the Resort Zone, actually.\What a crowd... response:	Takeo!
context: We're in the Future Zone now.\Future?!\Don't move!!\C'mon...\Just kidding...\We just went to the Resort Zone, actually.\What a crowd...\Takeo! response:	Hang on a second!
context: Future?!\Don't move!!\C'mon...\Just kidding...\We just went to the Resort Zone, actually.\What a crowd...\Takeo!\Hang on a second! response:	Oh, right.
context: Don't move!!\C'mon...\Just kidding...\We just went to the Resort Zone, actually.\What a crowd...\Takeo!\Hang on a second!\Oh, right. response:	She must be tired from trying to match my stride.
context: C'mon...\Just kidding...\We just went to the Resort Zone, actually.\What a crowd...\Takeo!\Hang on a second!\Oh, right.\She must be tired from trying to match my stride. response:	Okay, I'm good.
context: Just kidding...\We just went to the Resort Zone, actually.\What a crowd...\Takeo!\Hang on a second!\Oh, right.\She must be tired from trying to match my stride.\Okay, I'm good. response:	Let's go.
context: We just went to the Resort Zone, actually.\What a crowd...\Takeo!\Hang on a second!\Oh, right.\She must be tired from trying to match my stride.\Okay, I'm good.\Let's go. response:	Hey...
context: What a crowd...\Takeo!\Hang on a second!\Oh, right.\She must be tired from trying to match my stride.\Okay, I'm good.\Let's go.\Hey... response:	Let's go after we take a relaxing ride.
context: Takeo!\Hang on a second!\Oh, right.\She must be tired from trying to match my stride.\Okay, I'm good.\Let's go.\Hey...\Let's go after we take a relaxing ride. response:	Huh?
context: Hang on a second!\Oh, right.\She must be tired from trying to match my stride.\Okay, I'm good.\Let's go.\Hey...\Let's go after we take a relaxing ride.\Huh? response:	Oh, but we should find Yamato-san quickly!
context: Oh, right.\She must be tired from trying to match my stride.\Okay, I'm good.\Let's go.\Hey...\Let's go after we take a relaxing ride.\Huh?\Oh, but we should find Yamato-san quickly! response:	It'll be fine.
context: She must be tired from trying to match my stride.\Okay, I'm good.\Let's go.\Hey...\Let's go after we take a relaxing ride.\Huh?\Oh, but we should find Yamato-san quickly!\It'll be fine. response:	H-Hey...
context: Okay, I'm good.\Let's go.\Hey...\Let's go after we take a relaxing ride.\Huh?\Oh, but we should find Yamato-san quickly!\It'll be fine.\H-Hey... response:	What?
context: Let's go.\Hey...\Let's go after we take a relaxing ride.\Huh?\Oh, but we should find Yamato-san quickly!\It'll be fine.\H-Hey...\What? response:	What's wrong?
context: Hey...\Let's go after we take a relaxing ride.\Huh?\Oh, but we should find Yamato-san quickly!\It'll be fine.\H-Hey...\What?\What's wrong? response:	Nothing's wrong...
context: Let's go after we take a relaxing ride.\Huh?\Oh, but we should find Yamato-san quickly!\It'll be fine.\H-Hey...\What?\What's wrong?\Nothing's wrong... response:	I see.
context: Huh?\Oh, but we should find Yamato-san quickly!\It'll be fine.\H-Hey...\What?\What's wrong?\Nothing's wrong...\I see. response:	It must be cramped because I'm so big.
context: Oh, but we should find Yamato-san quickly!\It'll be fine.\H-Hey...\What?\What's wrong?\Nothing's wrong...\I see.\It must be cramped because I'm so big. response:	But I can't make myself any smaller.
context: It'll be fine.\H-Hey...\What?\What's wrong?\Nothing's wrong...\I see.\It must be cramped because I'm so big.\But I can't make myself any smaller. response:	Sorry.
context: H-Hey...\What?\What's wrong?\Nothing's wrong...\I see.\It must be cramped because I'm so big.\But I can't make myself any smaller.\Sorry. response:	Centrifugal force!
context: What?\What's wrong?\Nothing's wrong...\I see.\It must be cramped because I'm so big.\But I can't make myself any smaller.\Sorry.\Centrifugal force! response:	She'll get crushed.
context: What's wrong?\Nothing's wrong...\I see.\It must be cramped because I'm so big.\But I can't make myself any smaller.\Sorry.\Centrifugal force!\She'll get crushed. response:	That was less relaxing than I anticipated.
context: Nothing's wrong...\I see.\It must be cramped because I'm so big.\But I can't make myself any smaller.\Sorry.\Centrifugal force!\She'll get crushed.\That was less relaxing than I anticipated. response:	Uh, yeah...
context: I see.\It must be cramped because I'm so big.\But I can't make myself any smaller.\Sorry.\Centrifugal force!\She'll get crushed.\That was less relaxing than I anticipated.\Uh, yeah... response:	Are you okay?
context: It must be cramped because I'm so big.\But I can't make myself any smaller.\Sorry.\Centrifugal force!\She'll get crushed.\That was less relaxing than I anticipated.\Uh, yeah...\Are you okay? response:	You're too close!
context: But I can't make myself any smaller.\Sorry.\Centrifugal force!\She'll get crushed.\That was less relaxing than I anticipated.\Uh, yeah...\Are you okay?\You're too close! response:	Oh, sorry.
context: Sorry.\Centrifugal force!\She'll get crushed.\That was less relaxing than I anticipated.\Uh, yeah...\Are you okay?\You're too close!\Oh, sorry. response:	Hey, how about that one next?
context: Centrifugal force!\She'll get crushed.\That was less relaxing than I anticipated.\Uh, yeah...\Are you okay?\You're too close!\Oh, sorry.\Hey, how about that one next? response:	Huh?
context: She'll get crushed.\That was less relaxing than I anticipated.\Uh, yeah...\Are you okay?\You're too close!\Oh, sorry.\Hey, how about that one next?\Huh? response:	Oh, the 3D Dome?
context: That was less relaxing than I anticipated.\Uh, yeah...\Are you okay?\You're too close!\Oh, sorry.\Hey, how about that one next?\Huh?\Oh, the 3D Dome? response:	It looks relaxing.
context: Uh, yeah...\Are you okay?\You're too close!\Oh, sorry.\Hey, how about that one next?\Huh?\Oh, the 3D Dome?\It looks relaxing. response:	But...
context: Are you okay?\You're too close!\Oh, sorry.\Hey, how about that one next?\Huh?\Oh, the 3D Dome?\It looks relaxing.\But... response:	But what about Yamato-san?
context: You're too close!\Oh, sorry.\Hey, how about that one next?\Huh?\Oh, the 3D Dome?\It looks relaxing.\But...\But what about Yamato-san? response:	It's fine.
context: Oh, sorry.\Hey, how about that one next?\Huh?\Oh, the 3D Dome?\It looks relaxing.\But...\But what about Yamato-san?\It's fine. response:	It's been fun.
context: Hey, how about that one next?\Huh?\Oh, the 3D Dome?\It looks relaxing.\But...\But what about Yamato-san?\It's fine.\It's been fun. response:	I just have to find her again before the Sparkly Parade.
context: Huh?\Oh, the 3D Dome?\It looks relaxing.\But...\But what about Yamato-san?\It's fine.\It's been fun.\I just have to find her again before the Sparkly Parade. response:	Huh?
context: Oh, the 3D Dome?\It looks relaxing.\But...\But what about Yamato-san?\It's fine.\It's been fun.\I just have to find her again before the Sparkly Parade.\Huh? response:	Really?
context: It looks relaxing.\But...\But what about Yamato-san?\It's fine.\It's been fun.\I just have to find her again before the Sparkly Parade.\Huh?\Really? response:	I really wanted to go on this!
context: But...\But what about Yamato-san?\It's fine.\It's been fun.\I just have to find her again before the Sparkly Parade.\Huh?\Really?\I really wanted to go on this! response:	Oh!
context: But what about Yamato-san?\It's fine.\It's been fun.\I just have to find her again before the Sparkly Parade.\Huh?\Really?\I really wanted to go on this!\Oh! response:	This is so fun!
context: It's fine.\It's been fun.\I just have to find her again before the Sparkly Parade.\Huh?\Really?\I really wanted to go on this!\Oh!\This is so fun! response:	Sorry.
context: It's been fun.\I just have to find her again before the Sparkly Parade.\Huh?\Really?\I really wanted to go on this!\Oh!\This is so fun!\Sorry. response:	It'll run into me!
context: I just have to find her again before the Sparkly Parade.\Huh?\Really?\I really wanted to go on this!\Oh!\This is so fun!\Sorry.\It'll run into me! response:	It's gonna hit her!
context: Huh?\Really?\I really wanted to go on this!\Oh!\This is so fun!\Sorry.\It'll run into me!\It's gonna hit her! response:	Um, Takeo...
context: Really?\I really wanted to go on this!\Oh!\This is so fun!\Sorry.\It'll run into me!\It's gonna hit her!\Um, Takeo... response:	This is just 3D.
context: I really wanted to go on this!\Oh!\This is so fun!\Sorry.\It'll run into me!\It's gonna hit her!\Um, Takeo...\This is just 3D. response:	Right!
context: Oh!\This is so fun!\Sorry.\It'll run into me!\It's gonna hit her!\Um, Takeo...\This is just 3D.\Right! response:	I might have embarrassed her.
context: This is so fun!\Sorry.\It'll run into me!\It's gonna hit her!\Um, Takeo...\This is just 3D.\Right!\I might have embarrassed her. response:	I've always been like this.
context: Sorry.\It'll run into me!\It's gonna hit her!\Um, Takeo...\This is just 3D.\Right!\I might have embarrassed her.\I've always been like this. response:	Oops...
