context: So, it's going pretty well with your girlfriend? response:	Yeah, it is. T-To tell the truth...
context: Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one.\Only a single person was rescued.\The truth behind the Premium Ambriel\Hatate Souta: the lone survivor\That was me.\What of it?! response:	I'm trying to tell you
context: The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one.\Only a single person was rescued.\The truth behind the Premium Ambriel\Hatate Souta: the lone survivor\That was me.\What of it?!\I'm trying to tell you response:	Enough of your double-talk!
context: All of the passengers are missing, except one.\Only a single person was rescued.\The truth behind the Premium Ambriel\Hatate Souta: the lone survivor\That was me.\What of it?!\I'm trying to tell you\Enough of your double-talk! response:	My eyes! My eyes!
context: Only a single person was rescued.\The truth behind the Premium Ambriel\Hatate Souta: the lone survivor\That was me.\What of it?!\I'm trying to tell you\Enough of your double-talk!\My eyes! My eyes! response:	I've had enough of those eyes of yours.
context: The truth behind the Premium Ambriel\Hatate Souta: the lone survivor\That was me.\What of it?!\I'm trying to tell you\Enough of your double-talk!\My eyes! My eyes!\I've had enough of those eyes of yours. response:	What are you doing?!
context: Hatate Souta: the lone survivor\That was me.\What of it?!\I'm trying to tell you\Enough of your double-talk!\My eyes! My eyes!\I've had enough of those eyes of yours.\What are you doing?! response:	I've had enough of your obsession with your own misfortune.
context: That was me.\What of it?!\I'm trying to tell you\Enough of your double-talk!\My eyes! My eyes!\I've had enough of those eyes of yours.\What are you doing?!\I've had enough of your obsession with your own misfortune. response:	I'm not trying to
context: What of it?!\I'm trying to tell you\Enough of your double-talk!\My eyes! My eyes!\I've had enough of those eyes of yours.\What are you doing?!\I've had enough of your obsession with your own misfortune.\I'm not trying to response:	Most importantly,
context: I'm trying to tell you\Enough of your double-talk!\My eyes! My eyes!\I've had enough of those eyes of yours.\What are you doing?!\I've had enough of your obsession with your own misfortune.\I'm not trying to\Most importantly, response:	I've had enough of you making me remember things I don't want to remember.
context: Enough of your double-talk!\My eyes! My eyes!\I've had enough of those eyes of yours.\What are you doing?!\I've had enough of your obsession with your own misfortune.\I'm not trying to\Most importantly,\I've had enough of you making me remember things I don't want to remember. response:	Misfortune comes to people who get too close to you?
context: My eyes! My eyes!\I've had enough of those eyes of yours.\What are you doing?!\I've had enough of your obsession with your own misfortune.\I'm not trying to\Most importantly,\I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you? response:	Enough of your talk about being alone.
context: I've had enough of those eyes of yours.\What are you doing?!\I've had enough of your obsession with your own misfortune.\I'm not trying to\Most importantly,\I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you?\Enough of your talk about being alone. response:	How about taking a look?
context: What are you doing?!\I've had enough of your obsession with your own misfortune.\I'm not trying to\Most importantly,\I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you?\Enough of your talk about being alone.\How about taking a look? response:	Is there a flag above my head, like the ones you've mentioned?
context: I've had enough of your obsession with your own misfortune.\I'm not trying to\Most importantly,\I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you?\Enough of your talk about being alone.\How about taking a look?\Is there a flag above my head, like the ones you've mentioned? response:	How about it?!
context: I'm not trying to\Most importantly,\I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you?\Enough of your talk about being alone.\How about taking a look?\Is there a flag above my head, like the ones you've mentioned?\How about it?! response:	N-No...
context: Most importantly,\I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you?\Enough of your talk about being alone.\How about taking a look?\Is there a flag above my head, like the ones you've mentioned?\How about it?!\N-No... response:	Indeed.
context: I've had enough of you making me remember things I don't want to remember.\Misfortune comes to people who get too close to you?\Enough of your talk about being alone.\How about taking a look?\Is there a flag above my head, like the ones you've mentioned?\How about it?!\N-No...\Indeed. response:	Of course there isn't anything.
context: Misfortune comes to people who get too close to you?\Enough of your talk about being alone.\How about taking a look?\Is there a flag above my head, like the ones you've mentioned?\How about it?!\N-No...\Indeed.\Of course there isn't anything. response:	I don't feel any love or friendship towards you in the slightest.
context: Enough of your talk about being alone.\How about taking a look?\Is there a flag above my head, like the ones you've mentioned?\How about it?!\N-No...\Indeed.\Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest. response:	And as such, I shouldn't have any of those flags of yours.
context: How about taking a look?\Is there a flag above my head, like the ones you've mentioned?\How about it?!\N-No...\Indeed.\Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours. response:	Even I did, that overly self-defeating
context: Is there a flag above my head, like the ones you've mentioned?\How about it?!\N-No...\Indeed.\Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating response:	attitude of yours would destroy it in an instant.
context: How about it?!\N-No...\Indeed.\Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating\attitude of yours would destroy it in an instant. response:	If I don't like something about you, I'm going to tell you,
context: N-No...\Indeed.\Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating\attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you, response:	and when I want to yell at you, I'm going to yell.
context: Indeed.\Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating\attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell. response:	You should just do the same to me.
context: Of course there isn't anything.\I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating\attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell.\You should just do the same to me. response:	In short...
context: I don't feel any love or friendship towards you in the slightest.\And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating\attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell.\You should just do the same to me.\In short... response:	Just stop looking so depressed in front of me...
context: And as such, I shouldn't have any of those flags of yours.\Even I did, that overly self-defeating\attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell.\You should just do the same to me.\In short...\Just stop looking so depressed in front of me... response:	You're a nice person.
context: Even I did, that overly self-defeating\attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell.\You should just do the same to me.\In short...\Just stop looking so depressed in front of me...\You're a nice person. response:	Thanks.
context: attitude of yours would destroy it in an instant.\If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell.\You should just do the same to me.\In short...\Just stop looking so depressed in front of me...\You're a nice person.\Thanks. response:	Nanami Knight Bladefield.
context: If I don't like something about you, I'm going to tell you,\and when I want to yell at you, I'm going to yell.\You should just do the same to me.\In short...\Just stop looking so depressed in front of me...\You're a nice person.\Thanks.\Nanami Knight Bladefield. response:	I hate being called by my last name. Use my first name.
context: and when I want to yell at you, I'm going to yell.\You should just do the same to me.\In short...\Just stop looking so depressed in front of me...\You're a nice person.\Thanks.\Nanami Knight Bladefield.\I hate being called by my last name. Use my first name. response:	You add -san or -chan, and you're dead.
context: You should just do the same to me.\In short...\Just stop looking so depressed in front of me...\You're a nice person.\Thanks.\Nanami Knight Bladefield.\I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead. response:	Right, Nanami.
context: In short...\Just stop looking so depressed in front of me...\You're a nice person.\Thanks.\Nanami Knight Bladefield.\I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead.\Right, Nanami. response:	You can call me Souta.
context: Just stop looking so depressed in front of me...\You're a nice person.\Thanks.\Nanami Knight Bladefield.\I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead.\Right, Nanami.\You can call me Souta. response:	By all means.
context: You're a nice person.\Thanks.\Nanami Knight Bladefield.\I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead.\Right, Nanami.\You can call me Souta.\By all means. response:	Hatagaya Academy High School
context: Thanks.\Nanami Knight Bladefield.\I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead.\Right, Nanami.\You can call me Souta.\By all means.\Hatagaya Academy High School response:	Hatate Souta-kun.
context: Nanami Knight Bladefield.\I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead.\Right, Nanami.\You can call me Souta.\By all means.\Hatagaya Academy High School\Hatate Souta-kun. response:	H-Hi there.
context: I hate being called by my last name. Use my first name.\You add -san or -chan, and you're dead.\Right, Nanami.\You can call me Souta.\By all means.\Hatagaya Academy High School\Hatate Souta-kun.\H-Hi there. response:	A friendship flag, huh?
context: You add -san or -chan, and you're dead.\Right, Nanami.\You can call me Souta.\By all means.\Hatagaya Academy High School\Hatate Souta-kun.\H-Hi there.\A friendship flag, huh? response:	Wh-Who might you be?
context: Right, Nanami.\You can call me Souta.\By all means.\Hatagaya Academy High School\Hatate Souta-kun.\H-Hi there.\A friendship flag, huh?\Wh-Who might you be? response:	My name is Mahougasawa Akane.
context: You can call me Souta.\By all means.\Hatagaya Academy High School\Hatate Souta-kun.\H-Hi there.\A friendship flag, huh?\Wh-Who might you be?\My name is Mahougasawa Akane. response:	It's Mahougasawa Akane.
context: By all means.\Hatagaya Academy High School\Hatate Souta-kun.\H-Hi there.\A friendship flag, huh?\Wh-Who might you be?\My name is Mahougasawa Akane.\It's Mahougasawa Akane. response:	Maho...
context: Hatagaya Academy High School\Hatate Souta-kun.\H-Hi there.\A friendship flag, huh?\Wh-Who might you be?\My name is Mahougasawa Akane.\It's Mahougasawa Akane.\Maho... response:	So, Mahougasawa-san, right?
context: Hatate Souta-kun.\H-Hi there.\A friendship flag, huh?\Wh-Who might you be?\My name is Mahougasawa Akane.\It's Mahougasawa Akane.\Maho...\So, Mahougasawa-san, right? response:	Akane's fine.
context: H-Hi there.\A friendship flag, huh?\Wh-Who might you be?\My name is Mahougasawa Akane.\It's Mahougasawa Akane.\Maho...\So, Mahougasawa-san, right?\Akane's fine. response:	Mahougasawa...
context: A friendship flag, huh?\Wh-Who might you be?\My name is Mahougasawa Akane.\It's Mahougasawa Akane.\Maho...\So, Mahougasawa-san, right?\Akane's fine.\Mahougasawa... response:	Akane's fine.
context: Wh-Who might you be?\My name is Mahougasawa Akane.\It's Mahougasawa Akane.\Maho...\So, Mahougasawa-san, right?\Akane's fine.\Mahougasawa...\Akane's fine. response:	Do you need something, Akane?
context: My name is Mahougasawa Akane.\It's Mahougasawa Akane.\Maho...\So, Mahougasawa-san, right?\Akane's fine.\Mahougasawa...\Akane's fine.\Do you need something, Akane? response:	It's the first time a boy's said my name without an honorific!
context: It's Mahougasawa Akane.\Maho...\So, Mahougasawa-san, right?\Akane's fine.\Mahougasawa...\Akane's fine.\Do you need something, Akane?\It's the first time a boy's said my name without an honorific! response:	Does she have a flag?
context: Maho...\So, Mahougasawa-san, right?\Akane's fine.\Mahougasawa...\Akane's fine.\Do you need something, Akane?\It's the first time a boy's said my name without an honorific!\Does she have a flag? response:	Yeah.
context: So, Mahougasawa-san, right?\Akane's fine.\Mahougasawa...\Akane's fine.\Do you need something, Akane?\It's the first time a boy's said my name without an honorific!\Does she have a flag?\Yeah. response:	Could I eat lunch with you?
context: Akane's fine.\Mahougasawa...\Akane's fine.\Do you need something, Akane?\It's the first time a boy's said my name without an honorific!\Does she have a flag?\Yeah.\Could I eat lunch with you? response:	No.
context: Mahougasawa...\Akane's fine.\Do you need something, Akane?\It's the first time a boy's said my name without an honorific!\Does she have a flag?\Yeah.\Could I eat lunch with you?\No. response:	He said no!
context: Akane's fine.\Do you need something, Akane?\It's the first time a boy's said my name without an honorific!\Does she have a flag?\Yeah.\Could I eat lunch with you?\No.\He said no! response:	Hey! You broke her flag, didn't you?
context: Do you need something, Akane?\It's the first time a boy's said my name without an honorific!\Does she have a flag?\Yeah.\Could I eat lunch with you?\No.\He said no!\Hey! You broke her flag, didn't you? response:	I wasn't really thinking...
context: It's the first time a boy's said my name without an honorific!\Does she have a flag?\Yeah.\Could I eat lunch with you?\No.\He said no!\Hey! You broke her flag, didn't you?\I wasn't really thinking... response:	I won't bug you at all, so we can eat together, right?
context: Does she have a flag?\Yeah.\Could I eat lunch with you?\No.\He said no!\Hey! You broke her flag, didn't you?\I wasn't really thinking...\I won't bug you at all, so we can eat together, right? response:	You didn't break her flag?
context: Yeah.\Could I eat lunch with you?\No.\He said no!\Hey! You broke her flag, didn't you?\I wasn't really thinking...\I won't bug you at all, so we can eat together, right?\You didn't break her flag? response:	That can't be...
context: Could I eat lunch with you?\No.\He said no!\Hey! You broke her flag, didn't you?\I wasn't really thinking...\I won't bug you at all, so we can eat together, right?\You didn't break her flag?\That can't be... response:	It's back!
context: No.\He said no!\Hey! You broke her flag, didn't you?\I wasn't really thinking...\I won't bug you at all, so we can eat together, right?\You didn't break her flag?\That can't be...\It's back! response:	The flag's there again.
context: He said no!\Hey! You broke her flag, didn't you?\I wasn't really thinking...\I won't bug you at all, so we can eat together, right?\You didn't break her flag?\That can't be...\It's back!\The flag's there again. response:	Hm?
context: Hey! You broke her flag, didn't you?\I wasn't really thinking...\I won't bug you at all, so we can eat together, right?\You didn't break her flag?\That can't be...\It's back!\The flag's there again.\Hm? response:	Can I eat with you?
context: I wasn't really thinking...\I won't bug you at all, so we can eat together, right?\You didn't break her flag?\That can't be...\It's back!\The flag's there again.\Hm?\Can I eat with you? response:	No, I really don't think so.
context: I won't bug you at all, so we can eat together, right?\You didn't break her flag?\That can't be...\It's back!\The flag's there again.\Hm?\Can I eat with you?\No, I really don't think so. response:	I can't?
context: You didn't break her flag?\That can't be...\It's back!\The flag's there again.\Hm?\Can I eat with you?\No, I really don't think so.\I can't? response:	Well, I'll just start eating until you really think I need to go.
context: That can't be...\It's back!\The flag's there again.\Hm?\Can I eat with you?\No, I really don't think so.\I can't?\Well, I'll just start eating until you really think I need to go. response:	That's fine, right? Right?
context: It's back!\The flag's there again.\Hm?\Can I eat with you?\No, I really don't think so.\I can't?\Well, I'll just start eating until you really think I need to go.\That's fine, right? Right? response:	I don't know if I want to eat with a girl...
context: The flag's there again.\Hm?\Can I eat with you?\No, I really don't think so.\I can't?\Well, I'll just start eating until you really think I need to go.\That's fine, right? Right?\I don't know if I want to eat with a girl... response:	I can see that. I'm sorry.
context: Hm?\Can I eat with you?\No, I really don't think so.\I can't?\Well, I'll just start eating until you really think I need to go.\That's fine, right? Right?\I don't know if I want to eat with a girl...\I can see that. I'm sorry. response:	Sigh.
context: Can I eat with you?\No, I really don't think so.\I can't?\Well, I'll just start eating until you really think I need to go.\That's fine, right? Right?\I don't know if I want to eat with a girl...\I can see that. I'm sorry.\Sigh. response:	Then I'll just wait until you finish eating, Souta-kun!
context: No, I really don't think so.\I can't?\Well, I'll just start eating until you really think I need to go.\That's fine, right? Right?\I don't know if I want to eat with a girl...\I can see that. I'm sorry.\Sigh.\Then I'll just wait until you finish eating, Souta-kun! response:	Would that be all right?
context: I can't?\Well, I'll just start eating until you really think I need to go.\That's fine, right? Right?\I don't know if I want to eat with a girl...\I can see that. I'm sorry.\Sigh.\Then I'll just wait until you finish eating, Souta-kun!\Would that be all right? response:	Knock yourself out...
context: Well, I'll just start eating until you really think I need to go.\That's fine, right? Right?\I don't know if I want to eat with a girl...\I can see that. I'm sorry.\Sigh.\Then I'll just wait until you finish eating, Souta-kun!\Would that be all right?\Knock yourself out... response:	Yay! Great!
context: That's fine, right? Right?\I don't know if I want to eat with a girl...\I can see that. I'm sorry.\Sigh.\Then I'll just wait until you finish eating, Souta-kun!\Would that be all right?\Knock yourself out...\Yay! Great! response:	She shattered your flag instead?
context: I don't know if I want to eat with a girl...\I can see that. I'm sorry.\Sigh.\Then I'll just wait until you finish eating, Souta-kun!\Would that be all right?\Knock yourself out...\Yay! Great!\She shattered your flag instead? response:	Lunch, lunch! I'm so happy!
context: I can see that. I'm sorry.\Sigh.\Then I'll just wait until you finish eating, Souta-kun!\Would that be all right?\Knock yourself out...\Yay! Great!\She shattered your flag instead?\Lunch, lunch! I'm so happy! response:	Time to eat.
context: Sigh.\Then I'll just wait until you finish eating, Souta-kun!\Would that be all right?\Knock yourself out...\Yay! Great!\She shattered your flag instead?\Lunch, lunch! I'm so happy!\Time to eat. response:	Who is this girl, anyway?
context: Then I'll just wait until you finish eating, Souta-kun!\Would that be all right?\Knock yourself out...\Yay! Great!\She shattered your flag instead?\Lunch, lunch! I'm so happy!\Time to eat.\Who is this girl, anyway? response:	You don't know?
context: Would that be all right?\Knock yourself out...\Yay! Great!\She shattered your flag instead?\Lunch, lunch! I'm so happy!\Time to eat.\Who is this girl, anyway?\You don't know? response:	You haven't heard of the Mahougasawa Group?
context: Knock yourself out...\Yay! Great!\She shattered your flag instead?\Lunch, lunch! I'm so happy!\Time to eat.\Who is this girl, anyway?\You don't know?\You haven't heard of the Mahougasawa Group? response:	She's the heir to the owner of the whole group.
context: Yay! Great!\She shattered your flag instead?\Lunch, lunch! I'm so happy!\Time to eat.\Who is this girl, anyway?\You don't know?\You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group. response:	I see. So one of those super-rich girls, then.
context: She shattered your flag instead?\Lunch, lunch! I'm so happy!\Time to eat.\Who is this girl, anyway?\You don't know?\You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then. response:	Not at all. Not at all.
context: Lunch, lunch! I'm so happy!\Time to eat.\Who is this girl, anyway?\You don't know?\You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then.\Not at all. Not at all. response:	I mean Nanami-chan's a princess.
context: Time to eat.\Who is this girl, anyway?\You don't know?\You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then.\Not at all. Not at all.\I mean Nanami-chan's a princess. response:	She's the 13th princess of the Principality of Bladefield.
context: Who is this girl, anyway?\You don't know?\You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then.\Not at all. Not at all.\I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield. response:	I might be a princess,
context: You don't know?\You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then.\Not at all. Not at all.\I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield.\I might be a princess, response:	but I'm the princess of a small backwater country in Europe.
context: You haven't heard of the Mahougasawa Group?\She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then.\Not at all. Not at all.\I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield.\I might be a princess,\but I'm the princess of a small backwater country in Europe. response:	We've got 10 princes and
context: She's the heir to the owner of the whole group.\I see. So one of those super-rich girls, then.\Not at all. Not at all.\I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield.\I might be a princess,\but I'm the princess of a small backwater country in Europe.\We've got 10 princes and response:	14 princesses in a small castle, so we don't really get along.
context: I see. So one of those super-rich girls, then.\Not at all. Not at all.\I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield.\I might be a princess,\but I'm the princess of a small backwater country in Europe.\We've got 10 princes and\14 princesses in a small castle, so we don't really get along. response:	That's why I got sent to this island nation in the first place.
context: Not at all. Not at all.\I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield.\I might be a princess,\but I'm the princess of a small backwater country in Europe.\We've got 10 princes and\14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place. response:	We're a poor principality,
context: I mean Nanami-chan's a princess.\She's the 13th princess of the Principality of Bladefield.\I might be a princess,\but I'm the princess of a small backwater country in Europe.\We've got 10 princes and\14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place.\We're a poor principality, response:	so it's strange I'm studying overseas here.
context: She's the 13th princess of the Principality of Bladefield.\I might be a princess,\but I'm the princess of a small backwater country in Europe.\We've got 10 princes and\14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place.\We're a poor principality,\so it's strange I'm studying overseas here. response:	Sorry, I don't have any money...
context: I might be a princess,\but I'm the princess of a small backwater country in Europe.\We've got 10 princes and\14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place.\We're a poor principality,\so it's strange I'm studying overseas here.\Sorry, I don't have any money... response:	I have lots of money.
context: but I'm the princess of a small backwater country in Europe.\We've got 10 princes and\14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place.\We're a poor principality,\so it's strange I'm studying overseas here.\Sorry, I don't have any money...\I have lots of money. response:	I don't need your money!
context: We've got 10 princes and\14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place.\We're a poor principality,\so it's strange I'm studying overseas here.\Sorry, I don't have any money...\I have lots of money.\I don't need your money! response:	That's right. There's something more important than money.
context: 14 princesses in a small castle, so we don't really get along.\That's why I got sent to this island nation in the first place.\We're a poor principality,\so it's strange I'm studying overseas here.\Sorry, I don't have any money...\I have lots of money.\I don't need your money!\That's right. There's something more important than money. response:	It's our friendship, sparkling like a gem.
context: That's why I got sent to this island nation in the first place.\We're a poor principality,\so it's strange I'm studying overseas here.\Sorry, I don't have any money...\I have lots of money.\I don't need your money!\That's right. There's something more important than money.\It's our friendship, sparkling like a gem. response:	From today forth, the three of us will
context: We're a poor principality,\so it's strange I'm studying overseas here.\Sorry, I don't have any money...\I have lots of money.\I don't need your money!\That's right. There's something more important than money.\It's our friendship, sparkling like a gem.\From today forth, the three of us will response:	be bound by friendship, a bond strong than diamond.
context: so it's strange I'm studying overseas here.\Sorry, I don't have any money...\I have lots of money.\I don't need your money!\That's right. There's something more important than money.\It's our friendship, sparkling like a gem.\From today forth, the three of us will\be bound by friendship, a bond strong than diamond. response:	All you did is eat your lunch!
context: Sorry, I don't have any money...\I have lots of money.\I don't need your money!\That's right. There's something more important than money.\It's our friendship, sparkling like a gem.\From today forth, the three of us will\be bound by friendship, a bond strong than diamond.\All you did is eat your lunch! response:	That's right.
context: I have lots of money.\I don't need your money!\That's right. There's something more important than money.\It's our friendship, sparkling like a gem.\From today forth, the three of us will\be bound by friendship, a bond strong than diamond.\All you did is eat your lunch!\That's right. response:	So her flag comes back?
context: I don't need your money!\That's right. There's something more important than money.\It's our friendship, sparkling like a gem.\From today forth, the three of us will\be bound by friendship, a bond strong than diamond.\All you did is eat your lunch!\That's right.\So her flag comes back? response:	Yes,
context: That's right. There's something more important than money.\It's our friendship, sparkling like a gem.\From today forth, the three of us will\be bound by friendship, a bond strong than diamond.\All you did is eat your lunch!\That's right.\So her flag comes back?\Yes, response:	and extremely quick at that. She's a toughie.
context: It's our friendship, sparkling like a gem.\From today forth, the three of us will\be bound by friendship, a bond strong than diamond.\All you did is eat your lunch!\That's right.\So her flag comes back?\Yes,\and extremely quick at that. She's a toughie. response:	I see.
context: From today forth, the three of us will\be bound by friendship, a bond strong than diamond.\All you did is eat your lunch!\That's right.\So her flag comes back?\Yes,\and extremely quick at that. She's a toughie.\I see. response:	Why, is the question.
context: be bound by friendship, a bond strong than diamond.\All you did is eat your lunch!\That's right.\So her flag comes back?\Yes,\and extremely quick at that. She's a toughie.\I see.\Why, is the question. response:	Well, she doesn't brag about being part of the famous Mahougasawa Group,
context: All you did is eat your lunch!\That's right.\So her flag comes back?\Yes,\and extremely quick at that. She's a toughie.\I see.\Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group, response:	she's got this kind, lovable atmosphere about her,
context: That's right.\So her flag comes back?\Yes,\and extremely quick at that. She's a toughie.\I see.\Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her, response:	and is always surrounded by friends.
context: So her flag comes back?\Yes,\and extremely quick at that. She's a toughie.\I see.\Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her,\and is always surrounded by friends. response:	In short,
context: Yes,\and extremely quick at that. She's a toughie.\I see.\Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her,\and is always surrounded by friends.\In short, response:	she has everything you don't.
context: and extremely quick at that. She's a toughie.\I see.\Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her,\and is always surrounded by friends.\In short,\she has everything you don't. response:	I don't know if that has anything to do with those flags you speak of.
context: I see.\Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her,\and is always surrounded by friends.\In short,\she has everything you don't.\I don't know if that has anything to do with those flags you speak of. response:	Why is someone like that trying to get close to me?
context: Why, is the question.\Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her,\and is always surrounded by friends.\In short,\she has everything you don't.\I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me? response:	Don't know.
context: Well, she doesn't brag about being part of the famous Mahougasawa Group,\she's got this kind, lovable atmosphere about her,\and is always surrounded by friends.\In short,\she has everything you don't.\I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me?\Don't know. response:	Try asking her.
context: she's got this kind, lovable atmosphere about her,\and is always surrounded by friends.\In short,\she has everything you don't.\I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me?\Don't know.\Try asking her. response:	Wait up!
context: and is always surrounded by friends.\In short,\she has everything you don't.\I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me?\Don't know.\Try asking her.\Wait up! response:	Hm?
context: In short,\she has everything you don't.\I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me?\Don't know.\Try asking her.\Wait up!\Hm? response:	Don't leave me behind!
context: she has everything you don't.\I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me?\Don't know.\Try asking her.\Wait up!\Hm?\Don't leave me behind! response:	Let's all go home together.
context: I don't know if that has anything to do with those flags you speak of.\Why is someone like that trying to get close to me?\Don't know.\Try asking her.\Wait up!\Hm?\Don't leave me behind!\Let's all go home together. response:	Hey...
context: Why is someone like that trying to get close to me?\Don't know.\Try asking her.\Wait up!\Hm?\Don't leave me behind!\Let's all go home together.\Hey... response:	Why are you trying to get close to me?
context: Don't know.\Try asking her.\Wait up!\Hm?\Don't leave me behind!\Let's all go home together.\Hey...\Why are you trying to get close to me? response:	Well, I couldn't just leave a dog sitting there getting pelted by rain
context: Try asking her.\Wait up!\Hm?\Don't leave me behind!\Let's all go home together.\Hey...\Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain response:	or a cat pitiably crying out for help...
context: Wait up!\Hm?\Don't leave me behind!\Let's all go home together.\Hey...\Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help... response:	So basically a pet?!
context: Hm?\Don't leave me behind!\Let's all go home together.\Hey...\Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So basically a pet?! response:	I see.
context: Don't leave me behind!\Let's all go home together.\Hey...\Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So basically a pet?!\I see. response:	You're basically being charitable to all of the dogs and cats out there
context: Let's all go home together.\Hey...\Why are you trying to get close to me?\Well, I couldn't just leave a dog sitting there getting pelted by rain\or a cat pitiably crying out for help...\So basically a pet?!\I see.\You're basically being charitable to all of the dogs and cats out there response:	since you have so much money.
