context: I can't take any more... I'm at my limit... response:	Let me off...
context: When someone's in need, it's not in their nature to look the other way.\You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in.\I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?!\Hello, there! response:	Pardon us!
context: You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in.\I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?!\Hello, there!\Pardon us! response:	Um... M-May I ask who you are?
context: Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in.\I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?!\Hello, there!\Pardon us!\Um... M-May I ask who you are? response:	Please excuse us...
context: Natsu? Come on in.\I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?!\Hello, there!\Pardon us!\Um... M-May I ask who you are?\Please excuse us... response:	Hey! Only authorized people are allowed in here...
context: I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?!\Hello, there!\Pardon us!\Um... M-May I ask who you are?\Please excuse us...\Hey! Only authorized people are allowed in here... response:	The thing is, we found this young man lying unconscious out there...
context: He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?!\Hello, there!\Pardon us!\Um... M-May I ask who you are?\Please excuse us...\Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there... response:	Unconscious?!
context: Natsu-san, what's wrong?!\Hello, there!\Pardon us!\Um... M-May I ask who you are?\Please excuse us...\Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there...\Unconscious?! response:	Oh, dear! This is more serious than I thought!
context: Hello, there!\Pardon us!\Um... M-May I ask who you are?\Please excuse us...\Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there...\Unconscious?!\Oh, dear! This is more serious than I thought! response:	Oh, for crying out loud...
context: Pardon us!\Um... M-May I ask who you are?\Please excuse us...\Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there...\Unconscious?!\Oh, dear! This is more serious than I thought!\Oh, for crying out loud... response:	Natsu-san...
context: Um... M-May I ask who you are?\Please excuse us...\Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there...\Unconscious?!\Oh, dear! This is more serious than I thought!\Oh, for crying out loud...\Natsu-san... response:	Natsu! Wake up!
context: Please excuse us...\Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there...\Unconscious?!\Oh, dear! This is more serious than I thought!\Oh, for crying out loud...\Natsu-san...\Natsu! Wake up! response:	What the...?!
context: Hey! Only authorized people are allowed in here...\The thing is, we found this young man lying unconscious out there...\Unconscious?!\Oh, dear! This is more serious than I thought!\Oh, for crying out loud...\Natsu-san...\Natsu! Wake up!\What the...?! response:	Don't move! Unless you don't care what happens to this girl?!
context: The thing is, we found this young man lying unconscious out there...\Unconscious?!\Oh, dear! This is more serious than I thought!\Oh, for crying out loud...\Natsu-san...\Natsu! Wake up!\What the...?!\Don't move! Unless you don't care what happens to this girl?! response:	Oh, Boss, you're so cool!
context: Unconscious?!\Oh, dear! This is more serious than I thought!\Oh, for crying out loud...\Natsu-san...\Natsu! Wake up!\What the...?!\Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool! response:	Now that's true evil!
context: Oh, dear! This is more serious than I thought!\Oh, for crying out loud...\Natsu-san...\Natsu! Wake up!\What the...?!\Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool!\Now that's true evil! response:	True evil?! Don't tell me you guys are after this freight...
context: Oh, for crying out loud...\Natsu-san...\Natsu! Wake up!\What the...?!\Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool!\Now that's true evil!\True evil?! Don't tell me you guys are after this freight... response:	Bingo! And we ain't afraid of any wizards!
context: Natsu-san...\Natsu! Wake up!\What the...?!\Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool!\Now that's true evil!\True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards! response:	We're the truly evil...
context: Natsu! Wake up!\What the...?!\Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool!\Now that's true evil!\True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards!\We're the truly evil... response:	Jiggle...
context: What the...?!\Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool!\Now that's true evil!\True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards!\We're the truly evil...\Jiggle... response:	What the heck is that...?
context: Don't move! Unless you don't care what happens to this girl?!\Oh, Boss, you're so cool!\Now that's true evil!\True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards!\We're the truly evil...\Jiggle...\What the heck is that...? response:	Lame...
context: Oh, Boss, you're so cool!\Now that's true evil!\True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards!\We're the truly evil...\Jiggle...\What the heck is that...?\Lame... response:	And Natsu's totally out of it...
context: Now that's true evil!\True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards!\We're the truly evil...\Jiggle...\What the heck is that...?\Lame...\And Natsu's totally out of it... response:	Everyone, shut up!
context: True evil?! Don't tell me you guys are after this freight...\Bingo! And we ain't afraid of any wizards!\We're the truly evil...\Jiggle...\What the heck is that...?\Lame...\And Natsu's totally out of it...\Everyone, shut up! response:	Build up power, you bastards!
context: Bingo! And we ain't afraid of any wizards!\We're the truly evil...\Jiggle...\What the heck is that...?\Lame...\And Natsu's totally out of it...\Everyone, shut up!\Build up power, you bastards! response:	Alright!
context: We're the truly evil...\Jiggle...\What the heck is that...?\Lame...\And Natsu's totally out of it...\Everyone, shut up!\Build up power, you bastards!\Alright! response:	Hey, you three... what are you doing?!
context: Jiggle...\What the heck is that...?\Lame...\And Natsu's totally out of it...\Everyone, shut up!\Build up power, you bastards!\Alright!\Hey, you three... what are you doing?! response:	This is even lamer...
context: What the heck is that...?\Lame...\And Natsu's totally out of it...\Everyone, shut up!\Build up power, you bastards!\Alright!\Hey, you three... what are you doing?!\This is even lamer... response:	I think I'm gonna throw up...
context: Lame...\And Natsu's totally out of it...\Everyone, shut up!\Build up power, you bastards!\Alright!\Hey, you three... what are you doing?!\This is even lamer...\I think I'm gonna throw up... response:	Listen up! The Jiggle Butt Gang has commandeered this cargo!
context: And Natsu's totally out of it...\Everyone, shut up!\Build up power, you bastards!\Alright!\Hey, you three... what are you doing?!\This is even lamer...\I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo! response:	And I think we'll have all of you jump out of the train!
context: Everyone, shut up!\Build up power, you bastards!\Alright!\Hey, you three... what are you doing?!\This is even lamer...\I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train! response:	Don't talk stupid! Like any of us would obey an order from villains like you!
context: Build up power, you bastards!\Alright!\Hey, you three... what are you doing?!\This is even lamer...\I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you! response:	Are you in any position to talk like that?!
context: Alright!\Hey, you three... what are you doing?!\This is even lamer...\I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?! response:	Lucy-san...
context: Hey, you three... what are you doing?!\This is even lamer...\I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?!\Lucy-san... response:	It'll be okay, Wendy!
context: This is even lamer...\I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?!\Lucy-san...\It'll be okay, Wendy! response:	I swear we'll save you!
context: I think I'm gonna throw up...\Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?!\Lucy-san...\It'll be okay, Wendy!\I swear we'll save you! response:	Your appearance isn't the only thing that's dirty!
context: Listen up! The Jiggle Butt Gang has commandeered this cargo!\And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?!\Lucy-san...\It'll be okay, Wendy!\I swear we'll save you!\Your appearance isn't the only thing that's dirty! response:	Time to make your choice! You gonna jump off the train or not?!
context: And I think we'll have all of you jump out of the train!\Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?!\Lucy-san...\It'll be okay, Wendy!\I swear we'll save you!\Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?! response:	Well?!
context: Don't talk stupid! Like any of us would obey an order from villains like you!\Are you in any position to talk like that?!\Lucy-san...\It'll be okay, Wendy!\I swear we'll save you!\Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?!\Well?! response:	Well?!
context: Are you in any position to talk like that?!\Lucy-san...\It'll be okay, Wendy!\I swear we'll save you!\Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?!\Well?!\Well?! response:	Well, well, well!
context: Lucy-san...\It'll be okay, Wendy!\I swear we'll save you!\Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?!\Well?!\Well?!\Well, well, well! response:	Well!
context: It'll be okay, Wendy!\I swear we'll save you!\Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?!\Well?!\Well?!\Well, well, well!\Well! response:	We're all charged up! Let's go, Secret Jiggle Butt Art!
context: I swear we'll save you!\Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?!\Well?!\Well?!\Well, well, well!\Well!\We're all charged up! Let's go, Secret Jiggle Butt Art! response:	Gas-Butt...
context: Your appearance isn't the only thing that's dirty!\Time to make your choice! You gonna jump off the train or not?!\Well?!\Well?!\Well, well, well!\Well!\We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt... response:	Triple...
context: Time to make your choice! You gonna jump off the train or not?!\Well?!\Well?!\Well, well, well!\Well!\We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt...\Triple... response:	Ecstasy!
context: Well?!\Well?!\Well, well, well!\Well!\We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt...\Triple...\Ecstasy! response:	Stinks!
context: Well?!\Well, well, well!\Well!\We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt...\Triple...\Ecstasy!\Stinks! response:	Everyone!
context: Well, well, well!\Well!\We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt...\Triple...\Ecstasy!\Stinks!\Everyone! response:	My nose is wrinkling! The stink is permeating my clothes!
context: Well!\We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt...\Triple...\Ecstasy!\Stinks!\Everyone!\My nose is wrinkling! The stink is permeating my clothes! response:	My skin is getting chapped! Oh, and I'm falling!
context: We're all charged up! Let's go, Secret Jiggle Butt Art!\Gas-Butt...\Triple...\Ecstasy!\Stinks!\Everyone!\My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling! response:	This is how we die?!
context: Gas-Butt...\Triple...\Ecstasy!\Stinks!\Everyone!\My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling!\This is how we die?! response:	You'd let yourself die like this?!
context: Triple...\Ecstasy!\Stinks!\Everyone!\My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling!\This is how we die?!\You'd let yourself die like this?! response:	Thanks, you two!
context: Ecstasy!\Stinks!\Everyone!\My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling!\This is how we die?!\You'd let yourself die like this?!\Thanks, you two! response:	No good! I can't focus my strength with that odor lingering in my nose!
context: Stinks!\Everyone!\My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling!\This is how we die?!\You'd let yourself die like this?!\Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose! response:	Same here...
context: Everyone!\My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling!\This is how we die?!\You'd let yourself die like this?!\Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose!\Same here... response:	Give me a break... We're falling!!
context: My nose is wrinkling! The stink is permeating my clothes!\My skin is getting chapped! Oh, and I'm falling!\This is how we die?!\You'd let yourself die like this?!\Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose!\Same here...\Give me a break... We're falling!! response:	Huh? Where is everyone?
context: My skin is getting chapped! Oh, and I'm falling!\This is how we die?!\You'd let yourself die like this?!\Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose!\Same here...\Give me a break... We're falling!!\Huh? Where is everyone? response:	Plue! Then you're safe!
context: This is how we die?!\You'd let yourself die like this?!\Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose!\Same here...\Give me a break... We're falling!!\Huh? Where is everyone?\Plue! Then you're safe! response:	Natsu-san! Please wake up!
context: You'd let yourself die like this?!\Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose!\Same here...\Give me a break... We're falling!!\Huh? Where is everyone?\Plue! Then you're safe!\Natsu-san! Please wake up! response:	Hello... Hello...?
context: Thanks, you two!\No good! I can't focus my strength with that odor lingering in my nose!\Same here...\Give me a break... We're falling!!\Huh? Where is everyone?\Plue! Then you're safe!\Natsu-san! Please wake up!\Hello... Hello...? response:	Huh? What is this thing?
context: No good! I can't focus my strength with that odor lingering in my nose!\Same here...\Give me a break... We're falling!!\Huh? Where is everyone?\Plue! Then you're safe!\Natsu-san! Please wake up!\Hello... Hello...?\Huh? What is this thing? response:	Plue is a Celestial Spirit.
context: Same here...\Give me a break... We're falling!!\Huh? Where is everyone?\Plue! Then you're safe!\Natsu-san! Please wake up!\Hello... Hello...?\Huh? What is this thing?\Plue is a Celestial Spirit. response:	Plue...
context: Give me a break... We're falling!!\Huh? Where is everyone?\Plue! Then you're safe!\Natsu-san! Please wake up!\Hello... Hello...?\Huh? What is this thing?\Plue is a Celestial Spirit.\Plue... response:	He's strangely cute...
context: Huh? Where is everyone?\Plue! Then you're safe!\Natsu-san! Please wake up!\Hello... Hello...?\Huh? What is this thing?\Plue is a Celestial Spirit.\Plue...\He's strangely cute... response:	It sends a shock to the raging heart of this evil robber...
context: Plue! Then you're safe!\Natsu-san! Please wake up!\Hello... Hello...?\Huh? What is this thing?\Plue is a Celestial Spirit.\Plue...\He's strangely cute...\It sends a shock to the raging heart of this evil robber... response:	Um...
context: Natsu-san! Please wake up!\Hello... Hello...?\Huh? What is this thing?\Plue is a Celestial Spirit.\Plue...\He's strangely cute...\It sends a shock to the raging heart of this evil robber...\Um... response:	Lackey A, Lackey B, get up!
context: Hello... Hello...?\Huh? What is this thing?\Plue is a Celestial Spirit.\Plue...\He's strangely cute...\It sends a shock to the raging heart of this evil robber...\Um...\Lackey A, Lackey B, get up! response:	It stinks...
context: Huh? What is this thing?\Plue is a Celestial Spirit.\Plue...\He's strangely cute...\It sends a shock to the raging heart of this evil robber...\Um...\Lackey A, Lackey B, get up!\It stinks... response:	Look! Look! This is a Celestial Spirit!
context: Plue is a Celestial Spirit.\Plue...\He's strangely cute...\It sends a shock to the raging heart of this evil robber...\Um...\Lackey A, Lackey B, get up!\It stinks...\Look! Look! This is a Celestial Spirit! response:	Have you ever seen such a thing?!
context: Plue...\He's strangely cute...\It sends a shock to the raging heart of this evil robber...\Um...\Lackey A, Lackey B, get up!\It stinks...\Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?! response:	Celestial Spirit?!
context: He's strangely cute...\It sends a shock to the raging heart of this evil robber...\Um...\Lackey A, Lackey B, get up!\It stinks...\Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?!\Celestial Spirit?! response:	Cute...
context: It sends a shock to the raging heart of this evil robber...\Um...\Lackey A, Lackey B, get up!\It stinks...\Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?!\Celestial Spirit?!\Cute... response:	So soothing...
context: Um...\Lackey A, Lackey B, get up!\It stinks...\Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?!\Celestial Spirit?!\Cute...\So soothing... response:	Charming...
context: Lackey A, Lackey B, get up!\It stinks...\Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?!\Celestial Spirit?!\Cute...\So soothing...\Charming... response:	E-Excuse me...
context: It stinks...\Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?!\Celestial Spirit?!\Cute...\So soothing...\Charming...\E-Excuse me... response:	Whoa! Our truly evil plans are getting off track!
context: Look! Look! This is a Celestial Spirit!\Have you ever seen such a thing?!\Celestial Spirit?!\Cute...\So soothing...\Charming...\E-Excuse me...\Whoa! Our truly evil plans are getting off track! response:	You need to get fired up again! 23 push-ups!
context: Have you ever seen such a thing?!\Celestial Spirit?!\Cute...\So soothing...\Charming...\E-Excuse me...\Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups! response:	We have to do it?!
context: Celestial Spirit?!\Cute...\So soothing...\Charming...\E-Excuse me...\Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups!\We have to do it?! response:	That's kind of a half-assed number!
context: Cute...\So soothing...\Charming...\E-Excuse me...\Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups!\We have to do it?!\That's kind of a half-assed number! response:	Enough, just do it!
context: So soothing...\Charming...\E-Excuse me...\Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups!\We have to do it?!\That's kind of a half-assed number!\Enough, just do it! response:	1-2-3-4...
context: Charming...\E-Excuse me...\Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups!\We have to do it?!\That's kind of a half-assed number!\Enough, just do it!\1-2-3-4... response:	I'm sure everyone's okay.
context: E-Excuse me...\Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups!\We have to do it?!\That's kind of a half-assed number!\Enough, just do it!\1-2-3-4...\I'm sure everyone's okay. response:	Now it's up to me to protect the gold!
context: Whoa! Our truly evil plans are getting off track!\You need to get fired up again! 23 push-ups!\We have to do it?!\That's kind of a half-assed number!\Enough, just do it!\1-2-3-4...\I'm sure everyone's okay.\Now it's up to me to protect the gold! response:	What do you intend to do next?
context: You need to get fired up again! 23 push-ups!\We have to do it?!\That's kind of a half-assed number!\Enough, just do it!\1-2-3-4...\I'm sure everyone's okay.\Now it's up to me to protect the gold!\What do you intend to do next? response:	That goes without saying. We're just here for the gold.
context: We have to do it?!\That's kind of a half-assed number!\Enough, just do it!\1-2-3-4...\I'm sure everyone's okay.\Now it's up to me to protect the gold!\What do you intend to do next?\That goes without saying. We're just here for the gold. response:	Unless you can protect it all on your own, little lady?
context: That's kind of a half-assed number!\Enough, just do it!\1-2-3-4...\I'm sure everyone's okay.\Now it's up to me to protect the gold!\What do you intend to do next?\That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady? response:	Plue is here, too!
context: Enough, just do it!\1-2-3-4...\I'm sure everyone's okay.\Now it's up to me to protect the gold!\What do you intend to do next?\That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady?\Plue is here, too! response:	You're still useful to us as hostages!
context: 1-2-3-4...\I'm sure everyone's okay.\Now it's up to me to protect the gold!\What do you intend to do next?\That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady?\Plue is here, too!\You're still useful to us as hostages! response:	And if you try meddling with our plans,
context: I'm sure everyone's okay.\Now it's up to me to protect the gold!\What do you intend to do next?\That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady?\Plue is here, too!\You're still useful to us as hostages!\And if you try meddling with our plans, response:	what do you think's gonna happen to him?
context: Now it's up to me to protect the gold!\What do you intend to do next?\That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady?\Plue is here, too!\You're still useful to us as hostages!\And if you try meddling with our plans,\what do you think's gonna happen to him? response:	Boss...
context: What do you intend to do next?\That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady?\Plue is here, too!\You're still useful to us as hostages!\And if you try meddling with our plans,\what do you think's gonna happen to him?\Boss... response:	We're done with the push-ups...
context: That goes without saying. We're just here for the gold.\Unless you can protect it all on your own, little lady?\Plue is here, too!\You're still useful to us as hostages!\And if you try meddling with our plans,\what do you think's gonna happen to him?\Boss...\We're done with the push-ups... response:	This ain't no time to relax! Lackey B, get to work!
context: Unless you can protect it all on your own, little lady?\Plue is here, too!\You're still useful to us as hostages!\And if you try meddling with our plans,\what do you think's gonna happen to him?\Boss...\We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work! response:	Yes, sir!
context: Plue is here, too!\You're still useful to us as hostages!\And if you try meddling with our plans,\what do you think's gonna happen to him?\Boss...\We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work!\Yes, sir! response:	An explosive?!
context: You're still useful to us as hostages!\And if you try meddling with our plans,\what do you think's gonna happen to him?\Boss...\We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work!\Yes, sir!\An explosive?! response:	Alright!
context: And if you try meddling with our plans,\what do you think's gonna happen to him?\Boss...\We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work!\Yes, sir!\An explosive?!\Alright! response:	Success!
context: what do you think's gonna happen to him?\Boss...\We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work!\Yes, sir!\An explosive?!\Alright!\Success! response:	Oh, no! The cargo!
context: Boss...\We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work!\Yes, sir!\An explosive?!\Alright!\Success!\Oh, no! The cargo! response:	Now the gold belongs to the Jiggle Butt Gang!
context: We're done with the push-ups...\This ain't no time to relax! Lackey B, get to work!\Yes, sir!\An explosive?!\Alright!\Success!\Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang! response:	So long!
context: This ain't no time to relax! Lackey B, get to work!\Yes, sir!\An explosive?!\Alright!\Success!\Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang!\So long! response:	Prepare propulsive force!
context: Yes, sir!\An explosive?!\Alright!\Success!\Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang!\So long!\Prepare propulsive force! response:	Wave two of Gas-Butt Triple Ecstasy!
context: An explosive?!\Alright!\Success!\Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang!\So long!\Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy! response:	Fire!
context: Alright!\Success!\Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang!\So long!\Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy!\Fire! response:	Hey, up there...
context: Success!\Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang!\So long!\Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy!\Fire!\Hey, up there... response:	We're going after them, you two!
context: Oh, no! The cargo!\Now the gold belongs to the Jiggle Butt Gang!\So long!\Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy!\Fire!\Hey, up there...\We're going after them, you two! response:	Well, the inside of my nose is clean now, so...
context: Now the gold belongs to the Jiggle Butt Gang!\So long!\Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy!\Fire!\Hey, up there...\We're going after them, you two!\Well, the inside of my nose is clean now, so... response:	Did you see that, guild?! Did you see that, wizards?!
context: So long!\Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy!\Fire!\Hey, up there...\We're going after them, you two!\Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?! response:	Nothing is impossible for the Jiggle Butt Gang!
context: Prepare propulsive force!\Wave two of Gas-Butt Triple Ecstasy!\Fire!\Hey, up there...\We're going after them, you two!\Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang! response:	But the train will soon stop, won't it?
context: Wave two of Gas-Butt Triple Ecstasy!\Fire!\Hey, up there...\We're going after them, you two!\Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it? response:	Are you going to fire off a round of gas every time it does?
context: Fire!\Hey, up there...\We're going after them, you two!\Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does? response:	On top of that, it doesn't look like you brought along any equipment,
context: Hey, up there...\We're going after them, you two!\Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment, response:	so how are you going to carry the freight away?
context: We're going after them, you two!\Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away? response:	There's no way you neglected to think about that, right?
context: Well, the inside of my nose is clean now, so...\Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away?\There's no way you neglected to think about that, right? response:	We've stopped!
context: Did you see that, guild?! Did you see that, wizards?!\Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away?\There's no way you neglected to think about that, right?\We've stopped! response:	What are we gonna do, Boss?!
context: Nothing is impossible for the Jiggle Butt Gang!\But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away?\There's no way you neglected to think about that, right?\We've stopped!\What are we gonna do, Boss?! response:	Did you really think I hadn't planned for this?!
context: But the train will soon stop, won't it?\Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away?\There's no way you neglected to think about that, right?\We've stopped!\What are we gonna do, Boss?!\Did you really think I hadn't planned for this?! response:	With our muscles, there isn't anything we can't... do...
context: Are you going to fire off a round of gas every time it does?\On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away?\There's no way you neglected to think about that, right?\We've stopped!\What are we gonna do, Boss?!\Did you really think I hadn't planned for this?!\With our muscles, there isn't anything we can't... do... response:	So then...
context: On top of that, it doesn't look like you brought along any equipment,\so how are you going to carry the freight away?\There's no way you neglected to think about that, right?\We've stopped!\What are we gonna do, Boss?!\Did you really think I hadn't planned for this?!\With our muscles, there isn't anything we can't... do...\So then... response:	We're gonna rely on my leg muscles!
context: so how are you going to carry the freight away?\There's no way you neglected to think about that, right?\We've stopped!\What are we gonna do, Boss?!\Did you really think I hadn't planned for this?!\With our muscles, there isn't anything we can't... do...\So then...\We're gonna rely on my leg muscles! response:	Boss!
context: There's no way you neglected to think about that, right?\We've stopped!\What are we gonna do, Boss?!\Did you really think I hadn't planned for this?!\With our muscles, there isn't anything we can't... do...\So then...\We're gonna rely on my leg muscles!\Boss! response:	Ow!!
