context: Auw! response:	eye catch
context: That should be enough to...\I mean, just now...\There was something freaky there!\Above that...\It's coming!\What what what what!?\This sprinter!\Why... is it... following me!? response:	Impossible!
context: I mean, just now...\There was something freaky there!\Above that...\It's coming!\What what what what!?\This sprinter!\Why... is it... following me!?\Impossible! response:	Um... Excuse me...
context: There was something freaky there!\Above that...\It's coming!\What what what what!?\This sprinter!\Why... is it... following me!?\Impossible!\Um... Excuse me... response:	Did you drop a wooden mask?
context: Above that...\It's coming!\What what what what!?\This sprinter!\Why... is it... following me!?\Impossible!\Um... Excuse me...\Did you drop a wooden mask? response:	Or maybe a golden one?
context: It's coming!\What what what what!?\This sprinter!\Why... is it... following me!?\Impossible!\Um... Excuse me...\Did you drop a wooden mask?\Or maybe a golden one? response:	It'll get me.
context: What what what what!?\This sprinter!\Why... is it... following me!?\Impossible!\Um... Excuse me...\Did you drop a wooden mask?\Or maybe a golden one?\It'll get me. response:	If I don't do it,
context: This sprinter!\Why... is it... following me!?\Impossible!\Um... Excuse me...\Did you drop a wooden mask?\Or maybe a golden one?\It'll get me.\If I don't do it, response:	it'll get me.
context: Why... is it... following me!?\Impossible!\Um... Excuse me...\Did you drop a wooden mask?\Or maybe a golden one?\It'll get me.\If I don't do it,\it'll get me. response:	I'm sorry!
context: Impossible!\Um... Excuse me...\Did you drop a wooden mask?\Or maybe a golden one?\It'll get me.\If I don't do it,\it'll get me.\I'm sorry! response:	Sometimes, I'm a bear.
context: Um... Excuse me...\Did you drop a wooden mask?\Or maybe a golden one?\It'll get me.\If I don't do it,\it'll get me.\I'm sorry!\Sometimes, I'm a bear. response:	And sometimes...
context: Did you drop a wooden mask?\Or maybe a golden one?\It'll get me.\If I don't do it,\it'll get me.\I'm sorry!\Sometimes, I'm a bear.\And sometimes... response:	Whose identity is...!
context: Or maybe a golden one?\It'll get me.\If I don't do it,\it'll get me.\I'm sorry!\Sometimes, I'm a bear.\And sometimes...\Whose identity is...! response:	S-Sorry, sorry.
context: It'll get me.\If I don't do it,\it'll get me.\I'm sorry!\Sometimes, I'm a bear.\And sometimes...\Whose identity is...!\S-Sorry, sorry. response:	Tada!
context: If I don't do it,\it'll get me.\I'm sorry!\Sometimes, I'm a bear.\And sometimes...\Whose identity is...!\S-Sorry, sorry.\Tada! response:	The answer was your sister!
context: it'll get me.\I'm sorry!\Sometimes, I'm a bear.\And sometimes...\Whose identity is...!\S-Sorry, sorry.\Tada!\The answer was your sister! response:	You didn't realise I was wearing the same school uniform as you, did you?
context: I'm sorry!\Sometimes, I'm a bear.\And sometimes...\Whose identity is...!\S-Sorry, sorry.\Tada!\The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you? response:	Ah, that was fun -
context: Sometimes, I'm a bear.\And sometimes...\Whose identity is...!\S-Sorry, sorry.\Tada!\The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun - response:	Oh, that is a fine corkscrew this early in the morning.
context: And sometimes...\Whose identity is...!\S-Sorry, sorry.\Tada!\The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning. response:	Yes.
context: Whose identity is...!\S-Sorry, sorry.\Tada!\The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning.\Yes. response:	It is indeed splendid!
context: S-Sorry, sorry.\Tada!\The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning.\Yes.\It is indeed splendid! response:	It was a lot of work, you know, to stop your alarm clock as well.
context: Tada!\The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning.\Yes.\It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well. response:	You were the culprit?!
context: The answer was your sister!\You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning.\Yes.\It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?! response:	No, no, no.
context: You didn't realise I was wearing the same school uniform as you, did you?\Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning.\Yes.\It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?!\No, no, no. response:	Don't be so mad.
context: Ah, that was fun -\Oh, that is a fine corkscrew this early in the morning.\Yes.\It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?!\No, no, no.\Don't be so mad. response:	Here, I'll treat you to some ramen with this.
context: Oh, that is a fine corkscrew this early in the morning.\Yes.\It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?!\No, no, no.\Don't be so mad.\Here, I'll treat you to some ramen with this. response:	That was my pocket money!
context: Yes.\It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?!\No, no, no.\Don't be so mad.\Here, I'll treat you to some ramen with this.\That was my pocket money! response:	chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to
context: It is indeed splendid!\It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?!\No, no, no.\Don't be so mad.\Here, I'll treat you to some ramen with this.\That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to response:	A shark...
context: It was a lot of work, you know, to stop your alarm clock as well.\You were the culprit?!\No, no, no.\Don't be so mad.\Here, I'll treat you to some ramen with this.\That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark... response:	A shark!
context: You were the culprit?!\No, no, no.\Don't be so mad.\Here, I'll treat you to some ramen with this.\That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark...\A shark! response:	I'm home!
context: No, no, no.\Don't be so mad.\Here, I'll treat you to some ramen with this.\That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark...\A shark!\I'm home! response:	Hm?
context: Don't be so mad.\Here, I'll treat you to some ramen with this.\That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark...\A shark!\I'm home!\Hm? response:	Professor, what are you up to?
context: Here, I'll treat you to some ramen with this.\That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark...\A shark!\I'm home!\Hm?\Professor, what are you up to? response:	Nano!
context: That was my pocket money!\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark...\A shark!\I'm home!\Hm?\Professor, what are you up to?\Nano! response:	That cloud looks shark-ish!
context: chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\A shark...\A shark!\I'm home!\Hm?\Professor, what are you up to?\Nano!\That cloud looks shark-ish! response:	Heh, which one?
context: A shark...\A shark!\I'm home!\Hm?\Professor, what are you up to?\Nano!\That cloud looks shark-ish!\Heh, which one? response:	Ah, it really does!
context: A shark!\I'm home!\Hm?\Professor, what are you up to?\Nano!\That cloud looks shark-ish!\Heh, which one?\Ah, it really does! response:	It looks cool.
context: I'm home!\Hm?\Professor, what are you up to?\Nano!\That cloud looks shark-ish!\Heh, which one?\Ah, it really does!\It looks cool. response:	Indeed it does.
context: Hm?\Professor, what are you up to?\Nano!\That cloud looks shark-ish!\Heh, which one?\Ah, it really does!\It looks cool.\Indeed it does. response:	Ah, yeah.
context: Professor, what are you up to?\Nano!\That cloud looks shark-ish!\Heh, which one?\Ah, it really does!\It looks cool.\Indeed it does.\Ah, yeah. response:	I brought it with me, Professor.
context: Nano!\That cloud looks shark-ish!\Heh, which one?\Ah, it really does!\It looks cool.\Indeed it does.\Ah, yeah.\I brought it with me, Professor. response:	Milk.
context: That cloud looks shark-ish!\Heh, which one?\Ah, it really does!\It looks cool.\Indeed it does.\Ah, yeah.\I brought it with me, Professor.\Milk. response:	Is it the 4.5?
context: Heh, which one?\Ah, it really does!\It looks cool.\Indeed it does.\Ah, yeah.\I brought it with me, Professor.\Milk.\Is it the 4.5? response:	The 4.5?
context: Ah, it really does!\It looks cool.\Indeed it does.\Ah, yeah.\I brought it with me, Professor.\Milk.\Is it the 4.5?\The 4.5? response:	The 4.5 milk?
context: It looks cool.\Indeed it does.\Ah, yeah.\I brought it with me, Professor.\Milk.\Is it the 4.5?\The 4.5?\The 4.5 milk? response:	The 4.5 milk
context: Indeed it does.\Ah, yeah.\I brought it with me, Professor.\Milk.\Is it the 4.5?\The 4.5?\The 4.5 milk?\The 4.5 milk response:	Yes, it's the special one.
context: Ah, yeah.\I brought it with me, Professor.\Milk.\Is it the 4.5?\The 4.5?\The 4.5 milk?\The 4.5 milk\Yes, it's the special one. response:	But what happened?
context: I brought it with me, Professor.\Milk.\Is it the 4.5?\The 4.5?\The 4.5 milk?\The 4.5 milk\Yes, it's the special one.\But what happened? response:	For you to want to drink milk so suddenly...
context: Milk.\Is it the 4.5?\The 4.5?\The 4.5 milk?\The 4.5 milk\Yes, it's the special one.\But what happened?\For you to want to drink milk so suddenly... response:	That is...
context: Is it the 4.5?\The 4.5?\The 4.5 milk?\The 4.5 milk\Yes, it's the special one.\But what happened?\For you to want to drink milk so suddenly...\That is... response:	Because there's cake roll!
context: The 4.5?\The 4.5 milk?\The 4.5 milk\Yes, it's the special one.\But what happened?\For you to want to drink milk so suddenly...\That is...\Because there's cake roll! response:	Why are you remodelling me without asking!?
context: The 4.5 milk?\The 4.5 milk\Yes, it's the special one.\But what happened?\For you to want to drink milk so suddenly...\That is...\Because there's cake roll!\Why are you remodelling me without asking!? response:	Because it's a cake roll.
context: The 4.5 milk\Yes, it's the special one.\But what happened?\For you to want to drink milk so suddenly...\That is...\Because there's cake roll!\Why are you remodelling me without asking!?\Because it's a cake roll. response:	I don't understand!
context: Yes, it's the special one.\But what happened?\For you to want to drink milk so suddenly...\That is...\Because there's cake roll!\Why are you remodelling me without asking!?\Because it's a cake roll.\I don't understand! response:	Nano, the 4.5 is milk!
context: But what happened?\For you to want to drink milk so suddenly...\That is...\Because there's cake roll!\Why are you remodelling me without asking!?\Because it's a cake roll.\I don't understand!\Nano, the 4.5 is milk! response:	It's not 4.5!
context: For you to want to drink milk so suddenly...\That is...\Because there's cake roll!\Why are you remodelling me without asking!?\Because it's a cake roll.\I don't understand!\Nano, the 4.5 is milk!\It's not 4.5! response:	Why do I have to live with a cake roll in my arm!?
context: That is...\Because there's cake roll!\Why are you remodelling me without asking!?\Because it's a cake roll.\I don't understand!\Nano, the 4.5 is milk!\It's not 4.5!\Why do I have to live with a cake roll in my arm!? response:	It's cold and delicious!
context: Because there's cake roll!\Why are you remodelling me without asking!?\Because it's a cake roll.\I don't understand!\Nano, the 4.5 is milk!\It's not 4.5!\Why do I have to live with a cake roll in my arm!?\It's cold and delicious! response:	I'm not talking about that!
context: Why are you remodelling me without asking!?\Because it's a cake roll.\I don't understand!\Nano, the 4.5 is milk!\It's not 4.5!\Why do I have to live with a cake roll in my arm!?\It's cold and delicious!\I'm not talking about that! response:	What if someone outside saw this?
context: Because it's a cake roll.\I don't understand!\Nano, the 4.5 is milk!\It's not 4.5!\Why do I have to live with a cake roll in my arm!?\It's cold and delicious!\I'm not talking about that!\What if someone outside saw this? response:	Professor...
context: I don't understand!\Nano, the 4.5 is milk!\It's not 4.5!\Why do I have to live with a cake roll in my arm!?\It's cold and delicious!\I'm not talking about that!\What if someone outside saw this?\Professor... response:	What is it?
context: Nano, the 4.5 is milk!\It's not 4.5!\Why do I have to live with a cake roll in my arm!?\It's cold and delicious!\I'm not talking about that!\What if someone outside saw this?\Professor...\What is it? response:	Um... Can I have some, too?
context: It's not 4.5!\Why do I have to live with a cake roll in my arm!?\It's cold and delicious!\I'm not talking about that!\What if someone outside saw this?\Professor...\What is it?\Um... Can I have some, too? response:	Okay.
context: Why do I have to live with a cake roll in my arm!?\It's cold and delicious!\I'm not talking about that!\What if someone outside saw this?\Professor...\What is it?\Um... Can I have some, too?\Okay. response:	Just a minute.
context: It's cold and delicious!\I'm not talking about that!\What if someone outside saw this?\Professor...\What is it?\Um... Can I have some, too?\Okay.\Just a minute. response:	Here, go ahead.
context: I'm not talking about that!\What if someone outside saw this?\Professor...\What is it?\Um... Can I have some, too?\Okay.\Just a minute.\Here, go ahead. response:	Thank you very much.
context: What if someone outside saw this?\Professor...\What is it?\Um... Can I have some, too?\Okay.\Just a minute.\Here, go ahead.\Thank you very much. response:	Um...
context: Professor...\What is it?\Um... Can I have some, too?\Okay.\Just a minute.\Here, go ahead.\Thank you very much.\Um... response:	Hm?
context: What is it?\Um... Can I have some, too?\Okay.\Just a minute.\Here, go ahead.\Thank you very much.\Um...\Hm? response:	A little of that cake roll, too?
context: Um... Can I have some, too?\Okay.\Just a minute.\Here, go ahead.\Thank you very much.\Um...\Hm?\A little of that cake roll, too? response:	Ah, yeah!
context: Okay.\Just a minute.\Here, go ahead.\Thank you very much.\Um...\Hm?\A little of that cake roll, too?\Ah, yeah! response:	I'll give the sweet bun to you, then, Nano.
context: Just a minute.\Here, go ahead.\Thank you very much.\Um...\Hm?\A little of that cake roll, too?\Ah, yeah!\I'll give the sweet bun to you, then, Nano. response:	Eh!?
context: Here, go ahead.\Thank you very much.\Um...\Hm?\A little of that cake roll, too?\Ah, yeah!\I'll give the sweet bun to you, then, Nano.\Eh!? response:	Go ahead.
context: Thank you very much.\Um...\Hm?\A little of that cake roll, too?\Ah, yeah!\I'll give the sweet bun to you, then, Nano.\Eh!?\Go ahead. response:	It went back in!
context: Um...\Hm?\A little of that cake roll, too?\Ah, yeah!\I'll give the sweet bun to you, then, Nano.\Eh!?\Go ahead.\It went back in! response:	Sorry, I pressed the wrong one by mistake.
context: Hm?\A little of that cake roll, too?\Ah, yeah!\I'll give the sweet bun to you, then, Nano.\Eh!?\Go ahead.\It went back in!\Sorry, I pressed the wrong one by mistake. response:	So, why are you doing these things?!
context: A little of that cake roll, too?\Ah, yeah!\I'll give the sweet bun to you, then, Nano.\Eh!?\Go ahead.\It went back in!\Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?! response:	What would I do if it happened outside,
context: Ah, yeah!\I'll give the sweet bun to you, then, Nano.\Eh!?\Go ahead.\It went back in!\Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?!\What would I do if it happened outside, response:	because of a bump of some sort?
context: I'll give the sweet bun to you, then, Nano.\Eh!?\Go ahead.\It went back in!\Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?!\What would I do if it happened outside,\because of a bump of some sort? response:	What will happen?
context: Eh!?\Go ahead.\It went back in!\Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?!\What would I do if it happened outside,\because of a bump of some sort?\What will happen? response:	I'm sure...
context: Go ahead.\It went back in!\Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?!\What would I do if it happened outside,\because of a bump of some sort?\What will happen?\I'm sure... response:	Commander Sunborn Master is the greatest!
context: It went back in!\Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?!\What would I do if it happened outside,\because of a bump of some sort?\What will happen?\I'm sure...\Commander Sunborn Master is the greatest! response:	Right!
context: Sorry, I pressed the wrong one by mistake.\So, why are you doing these things?!\What would I do if it happened outside,\because of a bump of some sort?\What will happen?\I'm sure...\Commander Sunborn Master is the greatest!\Right! response:	I'll also make it so you can play music!
context: So, why are you doing these things?!\What would I do if it happened outside,\because of a bump of some sort?\What will happen?\I'm sure...\Commander Sunborn Master is the greatest!\Right!\I'll also make it so you can play music! response:	That's not the point!
context: What would I do if it happened outside,\because of a bump of some sort?\What will happen?\I'm sure...\Commander Sunborn Master is the greatest!\Right!\I'll also make it so you can play music!\That's not the point! response:	How did this become about remodelling me even more?
context: because of a bump of some sort?\What will happen?\I'm sure...\Commander Sunborn Master is the greatest!\Right!\I'll also make it so you can play music!\That's not the point!\How did this become about remodelling me even more? response:	Listen to me properly, please!
context: What will happen?\I'm sure...\Commander Sunborn Master is the greatest!\Right!\I'll also make it so you can play music!\That's not the point!\How did this become about remodelling me even more?\Listen to me properly, please! response:	This much!
context: I'm sure...\Commander Sunborn Master is the greatest!\Right!\I'll also make it so you can play music!\That's not the point!\How did this become about remodelling me even more?\Listen to me properly, please!\This much! response:	What is it?
context: Commander Sunborn Master is the greatest!\Right!\I'll also make it so you can play music!\That's not the point!\How did this become about remodelling me even more?\Listen to me properly, please!\This much!\What is it? response:	Sweet bun!
context: Right!\I'll also make it so you can play music!\That's not the point!\How did this become about remodelling me even more?\Listen to me properly, please!\This much!\What is it?\Sweet bun! response:	You can't have it, since you already ate the cake roll.
context: I'll also make it so you can play music!\That's not the point!\How did this become about remodelling me even more?\Listen to me properly, please!\This much!\What is it?\Sweet bun!\You can't have it, since you already ate the cake roll. response:	Eh?
context: That's not the point!\How did this become about remodelling me even more?\Listen to me properly, please!\This much!\What is it?\Sweet bun!\You can't have it, since you already ate the cake roll.\Eh? response:	Professor?
context: How did this become about remodelling me even more?\Listen to me properly, please!\This much!\What is it?\Sweet bun!\You can't have it, since you already ate the cake roll.\Eh?\Professor? response:	It's okay,
context: Listen to me properly, please!\This much!\What is it?\Sweet bun!\You can't have it, since you already ate the cake roll.\Eh?\Professor?\It's okay, response:	since I still have some Baumkuchen left!
context: This much!\What is it?\Sweet bun!\You can't have it, since you already ate the cake roll.\Eh?\Professor?\It's okay,\since I still have some Baumkuchen left! response:	Eh, eh?
context: What is it?\Sweet bun!\You can't have it, since you already ate the cake roll.\Eh?\Professor?\It's okay,\since I still have some Baumkuchen left!\Eh, eh? response:	N-No way.
context: Sweet bun!\You can't have it, since you already ate the cake roll.\Eh?\Professor?\It's okay,\since I still have some Baumkuchen left!\Eh, eh?\N-No way. response:	Where will it come out this time?!
context: You can't have it, since you already ate the cake roll.\Eh?\Professor?\It's okay,\since I still have some Baumkuchen left!\Eh, eh?\N-No way.\Where will it come out this time?! response:	Above?
context: Eh?\Professor?\It's okay,\since I still have some Baumkuchen left!\Eh, eh?\N-No way.\Where will it come out this time?!\Above? response:	Below?
context: Professor?\It's okay,\since I still have some Baumkuchen left!\Eh, eh?\N-No way.\Where will it come out this time?!\Above?\Below? response:	P-Put them all in the refrigerator the first time, please!
context: It's okay,\since I still have some Baumkuchen left!\Eh, eh?\N-No way.\Where will it come out this time?!\Above?\Below?\P-Put them all in the refrigerator the first time, please! response:	No!
context: since I still have some Baumkuchen left!\Eh, eh?\N-No way.\Where will it come out this time?!\Above?\Below?\P-Put them all in the refrigerator the first time, please!\No! response:	Eh?
context: Eh, eh?\N-No way.\Where will it come out this time?!\Above?\Below?\P-Put them all in the refrigerator the first time, please!\No!\Eh? response:	Eh...
context: N-No way.\Where will it come out this time?!\Above?\Below?\P-Put them all in the refrigerator the first time, please!\No!\Eh?\Eh... response:	First comes rock, next comes paper, rockscispaper doesn't count,
context: Where will it come out this time?!\Above?\Below?\P-Put them all in the refrigerator the first time, please!\No!\Eh?\Eh...\First comes rock, next comes paper, rockscispaper doesn't count, response:	rock paper scissors!
context: Above?\Below?\P-Put them all in the refrigerator the first time, please!\No!\Eh?\Eh...\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors! response:	I'm so sleepy...
context: Below?\P-Put them all in the refrigerator the first time, please!\No!\Eh?\Eh...\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\I'm so sleepy... response:	Mio-san.
context: P-Put them all in the refrigerator the first time, please!\No!\Eh?\Eh...\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\I'm so sleepy...\Mio-san. response:	What's that smile for?
context: No!\Eh?\Eh...\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\I'm so sleepy...\Mio-san.\What's that smile for? response:	Show me your notes!
context: Eh?\Eh...\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\I'm so sleepy...\Mio-san.\What's that smile for?\Show me your notes! response:	Don't tell me you forgot your homework, again?
context: Eh...\First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\I'm so sleepy...\Mio-san.\What's that smile for?\Show me your notes!\Don't tell me you forgot your homework, again? response:	It's pretty embarrassing...
context: First comes rock, next comes paper, rockscispaper doesn't count,\rock paper scissors!\I'm so sleepy...\Mio-san.\What's that smile for?\Show me your notes!\Don't tell me you forgot your homework, again?\It's pretty embarrassing... response:	Geez.
context: rock paper scissors!\I'm so sleepy...\Mio-san.\What's that smile for?\Show me your notes!\Don't tell me you forgot your homework, again?\It's pretty embarrassing...\Geez. response:	If you keep that up, you're in for a painful experience on your exams again.
context: I'm so sleepy...\Mio-san.\What's that smile for?\Show me your notes!\Don't tell me you forgot your homework, again?\It's pretty embarrassing...\Geez.\If you keep that up, you're in for a painful experience on your exams again. response:	I get it.
context: Mio-san.\What's that smile for?\Show me your notes!\Don't tell me you forgot your homework, again?\It's pretty embarrassing...\Geez.\If you keep that up, you're in for a painful experience on your exams again.\I get it. response:	But this time, only for this time...
context: What's that smile for?\Show me your notes!\Don't tell me you forgot your homework, again?\It's pretty embarrassing...\Geez.\If you keep that up, you're in for a painful experience on your exams again.\I get it.\But this time, only for this time... response:	I'll make this the last time, so please.
context: Show me your notes!\Don't tell me you forgot your homework, again?\It's pretty embarrassing...\Geez.\If you keep that up, you're in for a painful experience on your exams again.\I get it.\But this time, only for this time...\I'll make this the last time, so please. response:	How about it?
context: Don't tell me you forgot your homework, again?\It's pretty embarrassing...\Geez.\If you keep that up, you're in for a painful experience on your exams again.\I get it.\But this time, only for this time...\I'll make this the last time, so please.\How about it? response:	Yukko.
context: It's pretty embarrassing...\Geez.\If you keep that up, you're in for a painful experience on your exams again.\I get it.\But this time, only for this time...\I'll make this the last time, so please.\How about it?\Yukko. response:	That's what you said last time, too, isn't it?
context: Geez.\If you keep that up, you're in for a painful experience on your exams again.\I get it.\But this time, only for this time...\I'll make this the last time, so please.\How about it?\Yukko.\That's what you said last time, too, isn't it? response:	There's no last time in ignorance!
context: If you keep that up, you're in for a painful experience on your exams again.\I get it.\But this time, only for this time...\I'll make this the last time, so please.\How about it?\Yukko.\That's what you said last time, too, isn't it?\There's no last time in ignorance! response:	No, I told you before...
context: I get it.\But this time, only for this time...\I'll make this the last time, so please.\How about it?\Yukko.\That's what you said last time, too, isn't it?\There's no last time in ignorance!\No, I told you before... response:	Eh...
context: But this time, only for this time...\I'll make this the last time, so please.\How about it?\Yukko.\That's what you said last time, too, isn't it?\There's no last time in ignorance!\No, I told you before...\Eh... response:	I-Is that so?
context: I'll make this the last time, so please.\How about it?\Yukko.\That's what you said last time, too, isn't it?\There's no last time in ignorance!\No, I told you before...\Eh...\I-Is that so? response:	Oh, well... I guess there's nothing we can do.
context: How about it?\Yukko.\That's what you said last time, too, isn't it?\There's no last time in ignorance!\No, I told you before...\Eh...\I-Is that so?\Oh, well... I guess there's nothing we can do. response:	Just this once, okay?
context: Yukko.\That's what you said last time, too, isn't it?\There's no last time in ignorance!\No, I told you before...\Eh...\I-Is that so?\Oh, well... I guess there's nothing we can do.\Just this once, okay? response:	I mean it.
context: That's what you said last time, too, isn't it?\There's no last time in ignorance!\No, I told you before...\Eh...\I-Is that so?\Oh, well... I guess there's nothing we can do.\Just this once, okay?\I mean it. response:	I get it.
context: There's no last time in ignorance!\No, I told you before...\Eh...\I-Is that so?\Oh, well... I guess there's nothing we can do.\Just this once, okay?\I mean it.\I get it. response:	One should always treasure their Mio-chan.
context: No, I told you before...\Eh...\I-Is that so?\Oh, well... I guess there's nothing we can do.\Just this once, okay?\I mean it.\I get it.\One should always treasure their Mio-chan. response:	Yukko!
context: Eh...\I-Is that so?\Oh, well... I guess there's nothing we can do.\Just this once, okay?\I mean it.\I get it.\One should always treasure their Mio-chan.\Yukko! response:	The one I told you about has appeared!
context: I-Is that so?\Oh, well... I guess there's nothing we can do.\Just this once, okay?\I mean it.\I get it.\One should always treasure their Mio-chan.\Yukko!\The one I told you about has appeared! response:	I'll give it back as soon as I've copied it.
context: Oh, well... I guess there's nothing we can do.\Just this once, okay?\I mean it.\I get it.\One should always treasure their Mio-chan.\Yukko!\The one I told you about has appeared!\I'll give it back as soon as I've copied it. response:	Sure.
context: Just this once, okay?\I mean it.\I get it.\One should always treasure their Mio-chan.\Yukko!\The one I told you about has appeared!\I'll give it back as soon as I've copied it.\Sure. response:	Really?
context: I mean it.\I get it.\One should always treasure their Mio-chan.\Yukko!\The one I told you about has appeared!\I'll give it back as soon as I've copied it.\Sure.\Really? response:	Show me, show me!
context: I get it.\One should always treasure their Mio-chan.\Yukko!\The one I told you about has appeared!\I'll give it back as soon as I've copied it.\Sure.\Really?\Show me, show me! response:	Huh?
context: One should always treasure their Mio-chan.\Yukko!\The one I told you about has appeared!\I'll give it back as soon as I've copied it.\Sure.\Really?\Show me, show me!\Huh? response:	Am I forgetting something?
context: Yukko!\The one I told you about has appeared!\I'll give it back as soon as I've copied it.\Sure.\Really?\Show me, show me!\Huh?\Am I forgetting something? response:	Last night, I did my homework...
context: The one I told you about has appeared!\I'll give it back as soon as I've copied it.\Sure.\Really?\Show me, show me!\Huh?\Am I forgetting something?\Last night, I did my homework... response:	I did my homework...
context: I'll give it back as soon as I've copied it.\Sure.\Really?\Show me, show me!\Huh?\Am I forgetting something?\Last night, I did my homework...\I did my homework... response:	I drew...
context: Sure.\Really?\Show me, show me!\Huh?\Am I forgetting something?\Last night, I did my homework...\I did my homework...\I drew... response:	I drew a picture in there...
context: Really?\Show me, show me!\Huh?\Am I forgetting something?\Last night, I did my homework...\I did my homework...\I drew...\I drew a picture in there... response:	I won't let you do it!
context: Show me, show me!\Huh?\Am I forgetting something?\Last night, I did my homework...\I did my homework...\I drew...\I drew a picture in there...\I won't let you do it! response:	I forgot!
context: Huh?\Am I forgetting something?\Last night, I did my homework...\I did my homework...\I drew...\I drew a picture in there...\I won't let you do it!\I forgot! response:	Right? Right?
context: Am I forgetting something?\Last night, I did my homework...\I did my homework...\I drew...\I drew a picture in there...\I won't let you do it!\I forgot!\Right? Right? response:	Yeah!
context: Last night, I did my homework...\I did my homework...\I drew...\I drew a picture in there...\I won't let you do it!\I forgot!\Right? Right?\Yeah! response:	Yukko!
context: I did my homework...\I drew...\I drew a picture in there...\I won't let you do it!\I forgot!\Right? Right?\Yeah!\Yukko! response:	Sorry, sorry.
context: I drew...\I drew a picture in there...\I won't let you do it!\I forgot!\Right? Right?\Yeah!\Yukko!\Sorry, sorry. response:	Come to think of it, I forgot to do my homework.
context: I drew a picture in there...\I won't let you do it!\I forgot!\Right? Right?\Yeah!\Yukko!\Sorry, sorry.\Come to think of it, I forgot to do my homework. response:	It beat me!
context: I won't let you do it!\I forgot!\Right? Right?\Yeah!\Yukko!\Sorry, sorry.\Come to think of it, I forgot to do my homework.\It beat me! response:	So that means, I'm taking my notebook back.
context: I forgot!\Right? Right?\Yeah!\Yukko!\Sorry, sorry.\Come to think of it, I forgot to do my homework.\It beat me!\So that means, I'm taking my notebook back. response:	Sorry.
context: Right? Right?\Yeah!\Yukko!\Sorry, sorry.\Come to think of it, I forgot to do my homework.\It beat me!\So that means, I'm taking my notebook back.\Sorry. response:	Eh?
context: Yeah!\Yukko!\Sorry, sorry.\Come to think of it, I forgot to do my homework.\It beat me!\So that means, I'm taking my notebook back.\Sorry.\Eh? response:	What?
