context: Using the power of LIfPrasir is response:	essentially shaving off a part of his life.
context: now is the time to show us your strength.\Do not let this holy city be defiled.\Protect the innocent people!\Long live His Holiness!\Our founder Brimir will protect us!\Let's move out!\Your Holiness,\I have brought them here. response:	Thank you for coming so quickly.
context: Do not let this holy city be defiled.\Protect the innocent people!\Long live His Holiness!\Our founder Brimir will protect us!\Let's move out!\Your Holiness,\I have brought them here.\Thank you for coming so quickly. response:	Your Holiness,
context: Protect the innocent people!\Long live His Holiness!\Our founder Brimir will protect us!\Let's move out!\Your Holiness,\I have brought them here.\Thank you for coming so quickly.\Your Holiness, response:	we saw Aquileia burn and there was nothing we could do...
context: Long live His Holiness!\Our founder Brimir will protect us!\Let's move out!\Your Holiness,\I have brought them here.\Thank you for coming so quickly.\Your Holiness,\we saw Aquileia burn and there was nothing we could do... response:	That monster suddenly appeared from the Fire Dragon mountains.
context: Our founder Brimir will protect us!\Let's move out!\Your Holiness,\I have brought them here.\Thank you for coming so quickly.\Your Holiness,\we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains. response:	We immediately told the people to evacuate, but...
context: Let's move out!\Your Holiness,\I have brought them here.\Thank you for coming so quickly.\Your Holiness,\we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but... response:	Your Holiness, could it be
context: Your Holiness,\I have brought them here.\Thank you for coming so quickly.\Your Holiness,\we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but...\Your Holiness, could it be response:	that this is it?
context: I have brought them here.\Thank you for coming so quickly.\Your Holiness,\we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but...\Your Holiness, could it be\that this is it? response:	The danger threatening the world that you were worried about?
context: Thank you for coming so quickly.\Your Holiness,\we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but...\Your Holiness, could it be\that this is it?\The danger threatening the world that you were worried about? response:	I am afraid it might be.
context: Your Holiness,\we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but...\Your Holiness, could it be\that this is it?\The danger threatening the world that you were worried about?\I am afraid it might be. response:	The only thing the ancient texts say about
context: we saw Aquileia burn and there was nothing we could do...\That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but...\Your Holiness, could it be\that this is it?\The danger threatening the world that you were worried about?\I am afraid it might be.\The only thing the ancient texts say about response:	the World Crisis is that it is a great calamity
context: That monster suddenly appeared from the Fire Dragon mountains.\We immediately told the people to evacuate, but...\Your Holiness, could it be\that this is it?\The danger threatening the world that you were worried about?\I am afraid it might be.\The only thing the ancient texts say about\the World Crisis is that it is a great calamity response:	that charred the world.
context: We immediately told the people to evacuate, but...\Your Holiness, could it be\that this is it?\The danger threatening the world that you were worried about?\I am afraid it might be.\The only thing the ancient texts say about\the World Crisis is that it is a great calamity\that charred the world. response:	Many scholars, myself included,
context: Your Holiness, could it be\that this is it?\The danger threatening the world that you were worried about?\I am afraid it might be.\The only thing the ancient texts say about\the World Crisis is that it is a great calamity\that charred the world.\Many scholars, myself included, response:	have spent much time studying this subject.
context: that this is it?\The danger threatening the world that you were worried about?\I am afraid it might be.\The only thing the ancient texts say about\the World Crisis is that it is a great calamity\that charred the world.\Many scholars, myself included,\have spent much time studying this subject. response:	The theory that it is a giant dragon did exist,
context: The danger threatening the world that you were worried about?\I am afraid it might be.\The only thing the ancient texts say about\the World Crisis is that it is a great calamity\that charred the world.\Many scholars, myself included,\have spent much time studying this subject.\The theory that it is a giant dragon did exist, response:	but there was no firm evidence.
context: I am afraid it might be.\The only thing the ancient texts say about\the World Crisis is that it is a great calamity\that charred the world.\Many scholars, myself included,\have spent much time studying this subject.\The theory that it is a giant dragon did exist,\but there was no firm evidence. response:	However, now there's no doubt.
context: The only thing the ancient texts say about\the World Crisis is that it is a great calamity\that charred the world.\Many scholars, myself included,\have spent much time studying this subject.\The theory that it is a giant dragon did exist,\but there was no firm evidence.\However, now there's no doubt. response:	We must stop that monster at any cost.
context: the World Crisis is that it is a great calamity\that charred the world.\Many scholars, myself included,\have spent much time studying this subject.\The theory that it is a giant dragon did exist,\but there was no firm evidence.\However, now there's no doubt.\We must stop that monster at any cost. response:	This is the time for us Void Mages to join forces
context: that charred the world.\Many scholars, myself included,\have spent much time studying this subject.\The theory that it is a giant dragon did exist,\but there was no firm evidence.\However, now there's no doubt.\We must stop that monster at any cost.\This is the time for us Void Mages to join forces response:	to prevent more innocent blood from being spilled.
context: Many scholars, myself included,\have spent much time studying this subject.\The theory that it is a giant dragon did exist,\but there was no firm evidence.\However, now there's no doubt.\We must stop that monster at any cost.\This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled. response:	We have a plan.
context: have spent much time studying this subject.\The theory that it is a giant dragon did exist,\but there was no firm evidence.\However, now there's no doubt.\We must stop that monster at any cost.\This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled.\We have a plan. response:	Miss Valliere.
context: The theory that it is a giant dragon did exist,\but there was no firm evidence.\However, now there's no doubt.\We must stop that monster at any cost.\This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled.\We have a plan.\Miss Valliere. response:	Your Explosion spell is crucial to our plan.
context: but there was no firm evidence.\However, now there's no doubt.\We must stop that monster at any cost.\This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled.\We have a plan.\Miss Valliere.\Your Explosion spell is crucial to our plan. response:	In the end, all will rest on you.
context: However, now there's no doubt.\We must stop that monster at any cost.\This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled.\We have a plan.\Miss Valliere.\Your Explosion spell is crucial to our plan.\In the end, all will rest on you. response:	Y-Yes.
context: We must stop that monster at any cost.\This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled.\We have a plan.\Miss Valliere.\Your Explosion spell is crucial to our plan.\In the end, all will rest on you.\Y-Yes. response:	However,
context: This is the time for us Void Mages to join forces\to prevent more innocent blood from being spilled.\We have a plan.\Miss Valliere.\Your Explosion spell is crucial to our plan.\In the end, all will rest on you.\Y-Yes.\However, response:	according to the reports we have,
context: to prevent more innocent blood from being spilled.\We have a plan.\Miss Valliere.\Your Explosion spell is crucial to our plan.\In the end, all will rest on you.\Y-Yes.\However,\according to the reports we have, response:	the dragon's body is veiled in a shroud of miasma,
context: We have a plan.\Miss Valliere.\Your Explosion spell is crucial to our plan.\In the end, all will rest on you.\Y-Yes.\However,\according to the reports we have,\the dragon's body is veiled in a shroud of miasma, response:	a magic barrier, that reflects offensive spells.
context: Miss Valliere.\Your Explosion spell is crucial to our plan.\In the end, all will rest on you.\Y-Yes.\However,\according to the reports we have,\the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells. response:	First we have to negate that.
context: Your Explosion spell is crucial to our plan.\In the end, all will rest on you.\Y-Yes.\However,\according to the reports we have,\the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells.\First we have to negate that. response:	I can do that with my Dispel spell...
context: In the end, all will rest on you.\Y-Yes.\However,\according to the reports we have,\the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells.\First we have to negate that.\I can do that with my Dispel spell... response:	No, I will take care of that part.
context: Y-Yes.\However,\according to the reports we have,\the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells.\First we have to negate that.\I can do that with my Dispel spell...\No, I will take care of that part. response:	We need to preserve your strength as much as possible.
context: However,\according to the reports we have,\the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells.\First we have to negate that.\I can do that with my Dispel spell...\No, I will take care of that part.\We need to preserve your strength as much as possible. response:	Miss Westwood,
context: according to the reports we have,\the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells.\First we have to negate that.\I can do that with my Dispel spell...\No, I will take care of that part.\We need to preserve your strength as much as possible.\Miss Westwood, response:	please cast your Mind Wipe on the dragon's minions
context: the dragon's body is veiled in a shroud of miasma,\a magic barrier, that reflects offensive spells.\First we have to negate that.\I can do that with my Dispel spell...\No, I will take care of that part.\We need to preserve your strength as much as possible.\Miss Westwood,\please cast your Mind Wipe on the dragon's minions response:	and protect the holy knights.
context: a magic barrier, that reflects offensive spells.\First we have to negate that.\I can do that with my Dispel spell...\No, I will take care of that part.\We need to preserve your strength as much as possible.\Miss Westwood,\please cast your Mind Wipe on the dragon's minions\and protect the holy knights. response:	Y-Yes! Certainly.
context: First we have to negate that.\I can do that with my Dispel spell...\No, I will take care of that part.\We need to preserve your strength as much as possible.\Miss Westwood,\please cast your Mind Wipe on the dragon's minions\and protect the holy knights.\Y-Yes! Certainly. response:	And then, Saito, there is something I must ask of you as well.
context: I can do that with my Dispel spell...\No, I will take care of that part.\We need to preserve your strength as much as possible.\Miss Westwood,\please cast your Mind Wipe on the dragon's minions\and protect the holy knights.\Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well. response:	I'd like you utilize...
context: No, I will take care of that part.\We need to preserve your strength as much as possible.\Miss Westwood,\please cast your Mind Wipe on the dragon's minions\and protect the holy knights.\Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well.\I'd like you utilize... response:	your LIfPrasir powers.
context: We need to preserve your strength as much as possible.\Miss Westwood,\please cast your Mind Wipe on the dragon's minions\and protect the holy knights.\Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well.\I'd like you utilize...\your LIfPrasir powers. response:	That's it?
context: Miss Westwood,\please cast your Mind Wipe on the dragon's minions\and protect the holy knights.\Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well.\I'd like you utilize...\your LIfPrasir powers.\That's it? response:	Well, sure!
context: please cast your Mind Wipe on the dragon's minions\and protect the holy knights.\Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well.\I'd like you utilize...\your LIfPrasir powers.\That's it?\Well, sure! response:	Wait, Saito!
context: and protect the holy knights.\Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well.\I'd like you utilize...\your LIfPrasir powers.\That's it?\Well, sure!\Wait, Saito! response:	Think about this first...
context: Y-Yes! Certainly.\And then, Saito, there is something I must ask of you as well.\I'd like you utilize...\your LIfPrasir powers.\That's it?\Well, sure!\Wait, Saito!\Think about this first... response:	What is there to think about?
context: And then, Saito, there is something I must ask of you as well.\I'd like you utilize...\your LIfPrasir powers.\That's it?\Well, sure!\Wait, Saito!\Think about this first...\What is there to think about? response:	I want to do everything in my power to help!
context: I'd like you utilize...\your LIfPrasir powers.\That's it?\Well, sure!\Wait, Saito!\Think about this first...\What is there to think about?\I want to do everything in my power to help! response:	I thank you from the very bottom of my heart.
context: your LIfPrasir powers.\That's it?\Well, sure!\Wait, Saito!\Think about this first...\What is there to think about?\I want to do everything in my power to help!\I thank you from the very bottom of my heart. response:	Now, let us head to the Oltia Valley.
context: That's it?\Well, sure!\Wait, Saito!\Think about this first...\What is there to think about?\I want to do everything in my power to help!\I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley. response:	All right.
context: Well, sure!\Wait, Saito!\Think about this first...\What is there to think about?\I want to do everything in my power to help!\I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley.\All right. response:	Our farsight magic has
context: Wait, Saito!\Think about this first...\What is there to think about?\I want to do everything in my power to help!\I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley.\All right.\Our farsight magic has response:	revealed that the dragon is only 30 leagues away!
context: Think about this first...\What is there to think about?\I want to do everything in my power to help!\I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley.\All right.\Our farsight magic has\revealed that the dragon is only 30 leagues away! response:	Don't let your guard down!
context: What is there to think about?\I want to do everything in my power to help!\I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley.\All right.\Our farsight magic has\revealed that the dragon is only 30 leagues away!\Don't let your guard down! response:	But why is the dragon going for the Holy City?
context: I want to do everything in my power to help!\I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley.\All right.\Our farsight magic has\revealed that the dragon is only 30 leagues away!\Don't let your guard down!\But why is the dragon going for the Holy City? response:	Who knows, maybe something is drawing him there.
context: I thank you from the very bottom of my heart.\Now, let us head to the Oltia Valley.\All right.\Our farsight magic has\revealed that the dragon is only 30 leagues away!\Don't let your guard down!\But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there. response:	Your Holiness...
context: Now, let us head to the Oltia Valley.\All right.\Our farsight magic has\revealed that the dragon is only 30 leagues away!\Don't let your guard down!\But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there.\Your Holiness... response:	What is it?
context: All right.\Our farsight magic has\revealed that the dragon is only 30 leagues away!\Don't let your guard down!\But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there.\Your Holiness...\What is it? response:	Saito isn't going to die in the battle, right?
context: Our farsight magic has\revealed that the dragon is only 30 leagues away!\Don't let your guard down!\But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there.\Your Holiness...\What is it?\Saito isn't going to die in the battle, right? response:	I mean by using his LIfPrasir power...
context: revealed that the dragon is only 30 leagues away!\Don't let your guard down!\But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there.\Your Holiness...\What is it?\Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power... response:	This makes me happy.
context: Don't let your guard down!\But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there.\Your Holiness...\What is it?\Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power...\This makes me happy. response:	When I first met you,
context: But why is the dragon going for the Holy City?\Who knows, maybe something is drawing him there.\Your Holiness...\What is it?\Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power...\This makes me happy.\When I first met you, response:	you had nothing but hatred for the world
context: Who knows, maybe something is drawing him there.\Your Holiness...\What is it?\Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power...\This makes me happy.\When I first met you,\you had nothing but hatred for the world response:	and could not love anyone.
context: Your Holiness...\What is it?\Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power...\This makes me happy.\When I first met you,\you had nothing but hatred for the world\and could not love anyone. response:	That's the kind of boy you were.
context: What is it?\Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power...\This makes me happy.\When I first met you,\you had nothing but hatred for the world\and could not love anyone.\That's the kind of boy you were. response:	Even when you came to live with me,
context: Saito isn't going to die in the battle, right?\I mean by using his LIfPrasir power...\This makes me happy.\When I first met you,\you had nothing but hatred for the world\and could not love anyone.\That's the kind of boy you were.\Even when you came to live with me, response:	you still had your reservations, didn't you?
context: I mean by using his LIfPrasir power...\This makes me happy.\When I first met you,\you had nothing but hatred for the world\and could not love anyone.\That's the kind of boy you were.\Even when you came to live with me,\you still had your reservations, didn't you? response:	And now you've become
context: This makes me happy.\When I first met you,\you had nothing but hatred for the world\and could not love anyone.\That's the kind of boy you were.\Even when you came to live with me,\you still had your reservations, didn't you?\And now you've become response:	someone who expresses concern for a friend.
context: When I first met you,\you had nothing but hatred for the world\and could not love anyone.\That's the kind of boy you were.\Even when you came to live with me,\you still had your reservations, didn't you?\And now you've become\someone who expresses concern for a friend. response:	I truly believe that sending you to the
context: you had nothing but hatred for the world\and could not love anyone.\That's the kind of boy you were.\Even when you came to live with me,\you still had your reservations, didn't you?\And now you've become\someone who expresses concern for a friend.\I truly believe that sending you to the response:	Magic Academy was a good idea.
context: and could not love anyone.\That's the kind of boy you were.\Even when you came to live with me,\you still had your reservations, didn't you?\And now you've become\someone who expresses concern for a friend.\I truly believe that sending you to the\Magic Academy was a good idea. response:	You are my pride and joy, Julio Chesare.
context: That's the kind of boy you were.\Even when you came to live with me,\you still had your reservations, didn't you?\And now you've become\someone who expresses concern for a friend.\I truly believe that sending you to the\Magic Academy was a good idea.\You are my pride and joy, Julio Chesare. response:	Your Holiness?
context: Even when you came to live with me,\you still had your reservations, didn't you?\And now you've become\someone who expresses concern for a friend.\I truly believe that sending you to the\Magic Academy was a good idea.\You are my pride and joy, Julio Chesare.\Your Holiness? response:	I doubt the power of LIfPrasir
context: you still had your reservations, didn't you?\And now you've become\someone who expresses concern for a friend.\I truly believe that sending you to the\Magic Academy was a good idea.\You are my pride and joy, Julio Chesare.\Your Holiness?\I doubt the power of LIfPrasir response:	will vanish after using it once or twice.
context: And now you've become\someone who expresses concern for a friend.\I truly believe that sending you to the\Magic Academy was a good idea.\You are my pride and joy, Julio Chesare.\Your Holiness?\I doubt the power of LIfPrasir\will vanish after using it once or twice. response:	However, the more it's used,
context: someone who expresses concern for a friend.\I truly believe that sending you to the\Magic Academy was a good idea.\You are my pride and joy, Julio Chesare.\Your Holiness?\I doubt the power of LIfPrasir\will vanish after using it once or twice.\However, the more it's used, response:	the faster his death will approach.
context: I truly believe that sending you to the\Magic Academy was a good idea.\You are my pride and joy, Julio Chesare.\Your Holiness?\I doubt the power of LIfPrasir\will vanish after using it once or twice.\However, the more it's used,\the faster his death will approach. response:	Which is why we must make sure
context: Magic Academy was a good idea.\You are my pride and joy, Julio Chesare.\Your Holiness?\I doubt the power of LIfPrasir\will vanish after using it once or twice.\However, the more it's used,\the faster his death will approach.\Which is why we must make sure response:	this plan succeeds on the first try.
context: You are my pride and joy, Julio Chesare.\Your Holiness?\I doubt the power of LIfPrasir\will vanish after using it once or twice.\However, the more it's used,\the faster his death will approach.\Which is why we must make sure\this plan succeeds on the first try. response:	Yes, sir.
context: Your Holiness?\I doubt the power of LIfPrasir\will vanish after using it once or twice.\However, the more it's used,\the faster his death will approach.\Which is why we must make sure\this plan succeeds on the first try.\Yes, sir. response:	I guess their plan is to lure the dragon into the valley
context: I doubt the power of LIfPrasir\will vanish after using it once or twice.\However, the more it's used,\the faster his death will approach.\Which is why we must make sure\this plan succeeds on the first try.\Yes, sir.\I guess their plan is to lure the dragon into the valley response:	and slow it down by destroying the cliffs.
context: will vanish after using it once or twice.\However, the more it's used,\the faster his death will approach.\Which is why we must make sure\this plan succeeds on the first try.\Yes, sir.\I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs. response:	Even if it has a magic barrier,
context: However, the more it's used,\the faster his death will approach.\Which is why we must make sure\this plan succeeds on the first try.\Yes, sir.\I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs.\Even if it has a magic barrier, response:	physical attacks might be able to get through.
context: the faster his death will approach.\Which is why we must make sure\this plan succeeds on the first try.\Yes, sir.\I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs.\Even if it has a magic barrier,\physical attacks might be able to get through. response:	Saito...
context: Which is why we must make sure\this plan succeeds on the first try.\Yes, sir.\I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs.\Even if it has a magic barrier,\physical attacks might be able to get through.\Saito... response:	If only the rocket launcher I used back then was here.
context: this plan succeeds on the first try.\Yes, sir.\I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs.\Even if it has a magic barrier,\physical attacks might be able to get through.\Saito...\If only the rocket launcher I used back then was here. response:	Listen, Saito!
context: Yes, sir.\I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs.\Even if it has a magic barrier,\physical attacks might be able to get through.\Saito...\If only the rocket launcher I used back then was here.\Listen, Saito! response:	What?
context: I guess their plan is to lure the dragon into the valley\and slow it down by destroying the cliffs.\Even if it has a magic barrier,\physical attacks might be able to get through.\Saito...\If only the rocket launcher I used back then was here.\Listen, Saito!\What? response:	I don't want you to help His Holiness.
context: and slow it down by destroying the cliffs.\Even if it has a magic barrier,\physical attacks might be able to get through.\Saito...\If only the rocket launcher I used back then was here.\Listen, Saito!\What?\I don't want you to help His Holiness. response:	Excuse me?
context: Even if it has a magic barrier,\physical attacks might be able to get through.\Saito...\If only the rocket launcher I used back then was here.\Listen, Saito!\What?\I don't want you to help His Holiness.\Excuse me? response:	Do not use your LIfPrasir power.
context: physical attacks might be able to get through.\Saito...\If only the rocket launcher I used back then was here.\Listen, Saito!\What?\I don't want you to help His Holiness.\Excuse me?\Do not use your LIfPrasir power. response:	Don't use it ever again!
context: Saito...\If only the rocket launcher I used back then was here.\Listen, Saito!\What?\I don't want you to help His Holiness.\Excuse me?\Do not use your LIfPrasir power.\Don't use it ever again! response:	But that power can amplify Void magic...
context: If only the rocket launcher I used back then was here.\Listen, Saito!\What?\I don't want you to help His Holiness.\Excuse me?\Do not use your LIfPrasir power.\Don't use it ever again!\But that power can amplify Void magic... response:	At the expense of your life!
context: Listen, Saito!\What?\I don't want you to help His Holiness.\Excuse me?\Do not use your LIfPrasir power.\Don't use it ever again!\But that power can amplify Void magic...\At the expense of your life! response:	The power of LIfPrasir can't be replenished.
context: What?\I don't want you to help His Holiness.\Excuse me?\Do not use your LIfPrasir power.\Don't use it ever again!\But that power can amplify Void magic...\At the expense of your life!\The power of LIfPrasir can't be replenished. response:	Once it's used up, the familiar dies!
context: I don't want you to help His Holiness.\Excuse me?\Do not use your LIfPrasir power.\Don't use it ever again!\But that power can amplify Void magic...\At the expense of your life!\The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies! response:	D-Dies?!
context: Excuse me?\Do not use your LIfPrasir power.\Don't use it ever again!\But that power can amplify Void magic...\At the expense of your life!\The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies!\D-Dies?! response:	Wh-What are you talking about?
context: Do not use your LIfPrasir power.\Don't use it ever again!\But that power can amplify Void magic...\At the expense of your life!\The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies!\D-Dies?!\Wh-What are you talking about? response:	That doesn't make any sense!
context: Don't use it ever again!\But that power can amplify Void magic...\At the expense of your life!\The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies!\D-Dies?!\Wh-What are you talking about?\That doesn't make any sense! response:	His Holiness said so himself, so I know it must be true!
context: But that power can amplify Void magic...\At the expense of your life!\The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies!\D-Dies?!\Wh-What are you talking about?\That doesn't make any sense!\His Holiness said so himself, so I know it must be true! response:	So I'm really going to die?
context: At the expense of your life!\The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies!\D-Dies?!\Wh-What are you talking about?\That doesn't make any sense!\His Holiness said so himself, so I know it must be true!\So I'm really going to die? response:	Saito...
context: The power of LIfPrasir can't be replenished.\Once it's used up, the familiar dies!\D-Dies?!\Wh-What are you talking about?\That doesn't make any sense!\His Holiness said so himself, so I know it must be true!\So I'm really going to die?\Saito... response:	Don't worry.
context: Once it's used up, the familiar dies!\D-Dies?!\Wh-What are you talking about?\That doesn't make any sense!\His Holiness said so himself, so I know it must be true!\So I'm really going to die?\Saito...\Don't worry. response:	I'll do something about him with my magic.
context: D-Dies?!\Wh-What are you talking about?\That doesn't make any sense!\His Holiness said so himself, so I know it must be true!\So I'm really going to die?\Saito...\Don't worry.\I'll do something about him with my magic. response:	I won't let you die!
context: Wh-What are you talking about?\That doesn't make any sense!\His Holiness said so himself, so I know it must be true!\So I'm really going to die?\Saito...\Don't worry.\I'll do something about him with my magic.\I won't let you die! response:	Tiffa?
context: That doesn't make any sense!\His Holiness said so himself, so I know it must be true!\So I'm really going to die?\Saito...\Don't worry.\I'll do something about him with my magic.\I won't let you die!\Tiffa? response:	What have I done?
context: His Holiness said so himself, so I know it must be true!\So I'm really going to die?\Saito...\Don't worry.\I'll do something about him with my magic.\I won't let you die!\Tiffa?\What have I done? response:	This is because I made Saito into a familiar...
context: So I'm really going to die?\Saito...\Don't worry.\I'll do something about him with my magic.\I won't let you die!\Tiffa?\What have I done?\This is because I made Saito into a familiar... response:	But, Tiffa...
context: Saito...\Don't worry.\I'll do something about him with my magic.\I won't let you die!\Tiffa?\What have I done?\This is because I made Saito into a familiar...\But, Tiffa... response:	It's all my fault!
context: Don't worry.\I'll do something about him with my magic.\I won't let you die!\Tiffa?\What have I done?\This is because I made Saito into a familiar...\But, Tiffa...\It's all my fault! response:	I'm so sorry!
context: I'll do something about him with my magic.\I won't let you die!\Tiffa?\What have I done?\This is because I made Saito into a familiar...\But, Tiffa...\It's all my fault!\I'm so sorry! response:	I'm so sorry!
context: I won't let you die!\Tiffa?\What have I done?\This is because I made Saito into a familiar...\But, Tiffa...\It's all my fault!\I'm so sorry!\I'm so sorry! response:	Don't falter!
context: Tiffa?\What have I done?\This is because I made Saito into a familiar...\But, Tiffa...\It's all my fault!\I'm so sorry!\I'm so sorry!\Don't falter! response:	He'll be here soon!
context: What have I done?\This is because I made Saito into a familiar...\But, Tiffa...\It's all my fault!\I'm so sorry!\I'm so sorry!\Don't falter!\He'll be here soon! response:	We're ready for you!
context: This is because I made Saito into a familiar...\But, Tiffa...\It's all my fault!\I'm so sorry!\I'm so sorry!\Don't falter!\He'll be here soon!\We're ready for you! response:	We'll show you the power of the Holy Knights!
context: But, Tiffa...\It's all my fault!\I'm so sorry!\I'm so sorry!\Don't falter!\He'll be here soon!\We're ready for you!\We'll show you the power of the Holy Knights! response:	Louise, I'm going to do it.
context: It's all my fault!\I'm so sorry!\I'm so sorry!\Don't falter!\He'll be here soon!\We're ready for you!\We'll show you the power of the Holy Knights!\Louise, I'm going to do it. response:	I'm not the only one who might die in this battle.
context: I'm so sorry!\I'm so sorry!\Don't falter!\He'll be here soon!\We're ready for you!\We'll show you the power of the Holy Knights!\Louise, I'm going to do it.\I'm not the only one who might die in this battle. response:	I can't allow myself to cower in fear.
context: I'm so sorry!\Don't falter!\He'll be here soon!\We're ready for you!\We'll show you the power of the Holy Knights!\Louise, I'm going to do it.\I'm not the only one who might die in this battle.\I can't allow myself to cower in fear. response:	But, Saito...
context: Don't falter!\He'll be here soon!\We're ready for you!\We'll show you the power of the Holy Knights!\Louise, I'm going to do it.\I'm not the only one who might die in this battle.\I can't allow myself to cower in fear.\But, Saito... response:	I am also a knight.
context: He'll be here soon!\We're ready for you!\We'll show you the power of the Holy Knights!\Louise, I'm going to do it.\I'm not the only one who might die in this battle.\I can't allow myself to cower in fear.\But, Saito...\I am also a knight. response:	That's why I must protect everyone.
context: We're ready for you!\We'll show you the power of the Holy Knights!\Louise, I'm going to do it.\I'm not the only one who might die in this battle.\I can't allow myself to cower in fear.\But, Saito...\I am also a knight.\That's why I must protect everyone. response:	Including you, Louise.
context: We'll show you the power of the Holy Knights!\Louise, I'm going to do it.\I'm not the only one who might die in this battle.\I can't allow myself to cower in fear.\But, Saito...\I am also a knight.\That's why I must protect everyone.\Including you, Louise. response:	Saito...
context: Louise, I'm going to do it.\I'm not the only one who might die in this battle.\I can't allow myself to cower in fear.\But, Saito...\I am also a knight.\That's why I must protect everyone.\Including you, Louise.\Saito... response:	Saito, it's almost time. Are you ready?
context: I'm not the only one who might die in this battle.\I can't allow myself to cower in fear.\But, Saito...\I am also a knight.\That's why I must protect everyone.\Including you, Louise.\Saito...\Saito, it's almost time. Are you ready? response:	Yes.
context: I can't allow myself to cower in fear.\But, Saito...\I am also a knight.\That's why I must protect everyone.\Including you, Louise.\Saito...\Saito, it's almost time. Are you ready?\Yes. response:	Saito...
context: But, Saito...\I am also a knight.\That's why I must protect everyone.\Including you, Louise.\Saito...\Saito, it's almost time. Are you ready?\Yes.\Saito... response:	Louise, look after Tiffa.
context: I am also a knight.\That's why I must protect everyone.\Including you, Louise.\Saito...\Saito, it's almost time. Are you ready?\Yes.\Saito...\Louise, look after Tiffa. response:	Let's get this over with, all right?
context: That's why I must protect everyone.\Including you, Louise.\Saito...\Saito, it's almost time. Are you ready?\Yes.\Saito...\Louise, look after Tiffa.\Let's get this over with, all right? response:	Yeah.
context: Including you, Louise.\Saito...\Saito, it's almost time. Are you ready?\Yes.\Saito...\Louise, look after Tiffa.\Let's get this over with, all right?\Yeah. response:	Now!
