context: I've been thinking, and well, response:	I thought maybe I could do the play after all...
context: This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation.\Thank you very much.\And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor.\You have such a fine work here.\You could get this qualified as a temporary club. response:	Oh yeah! So we have to find a teacher who would be willing to be our advisor.
context: I'll give it my recommendation.\Thank you very much.\And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor.\You have such a fine work here.\You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor. response:	But who?
context: Thank you very much.\And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor.\You have such a fine work here.\You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who? response:	Shouldn't it be one of the literature teachers?
context: And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor.\You have such a fine work here.\You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who?\Shouldn't it be one of the literature teachers? response:	I don't know if there's someone we could ask.
context: we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor.\You have such a fine work here.\You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who?\Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask. response:	I don't know any of them that well...
context: It would be best to get a teacher to be an advisor.\You have such a fine work here.\You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who?\Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask.\I don't know any of them that well... response:	And we definitely want someone who has influence in the Student Council and among the faculty.
context: You have such a fine work here.\You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who?\Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask.\I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty. response:	When I was a student I did a small amount of acting...
context: You could get this qualified as a temporary club.\Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who?\Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask.\I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting... response:	That is, only if you think I'd be suitable...
context: Oh yeah! So we have to find a teacher who would be willing to be our advisor.\But who?\Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask.\I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable... response:	That's it!
context: But who?\Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask.\I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable...\That's it! response:	Yay! We're so lucky that we got Mr. Kawashima!
context: Shouldn't it be one of the literature teachers?\I don't know if there's someone we could ask.\I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable...\That's it!\Yay! We're so lucky that we got Mr. Kawashima! response:	He is the Dean of our class! (Text:Power)
context: I don't know if there's someone we could ask.\I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable...\That's it!\Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power) response:	Power! He has power!
context: I don't know any of them that well...\And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable...\That's it!\Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power)\Power! He has power! response:	Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!
context: And we definitely want someone who has influence in the Student Council and among the faculty.\When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable...\That's it!\Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power)\Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want! response:	We think Yukinon's more helpful than anyone else...
context: When I was a student I did a small amount of acting...\That is, only if you think I'd be suitable...\That's it!\Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power)\Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else... response:	I always thought that Mr. Kawashima was scary.
context: That is, only if you think I'd be suitable...\That's it!\Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power)\Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary. response:	But he's a really nice teacher when you talk to him.
context: That's it!\Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power)\Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him. response:	Attention, all students.
context: Yay! We're so lucky that we got Mr. Kawashima!\He is the Dean of our class! (Text:Power)\Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him.\Attention, all students. response:	The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.
context: He is the Dean of our class! (Text:Power)\Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him.\Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock. response:	Any group who has not submitted it should come...
context: Power! He has power!\Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him.\Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come... response:	Attention, all students.
context: Hee hee hee...Just leave it to me... Now I can get us whatever budget we want!\We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him.\Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come...\Attention, all students. response:	The application deadline for groups
context: We think Yukinon's more helpful than anyone else...\I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him.\Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come...\Attention, all students.\The application deadline for groups response:	participating in the Culture Fair is today at 3 o'clock.
context: I always thought that Mr. Kawashima was scary.\But he's a really nice teacher when you talk to him.\Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come...\Attention, all students.\The application deadline for groups\participating in the Culture Fair is today at 3 o'clock. response:	Any group who has not submitted it should come to...
context: But he's a really nice teacher when you talk to him.\Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come...\Attention, all students.\The application deadline for groups\participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to... response:	Here! I brought the application.
context: Attention, all students.\The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come...\Attention, all students.\The application deadline for groups\participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to...\Here! I brought the application. response:	I also have Mr. Kawashima's recommendation letter.
context: The application deadline for groups.participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come...\Attention, all students.\The application deadline for groups\participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to...\Here! I brought the application.\I also have Mr. Kawashima's recommendation letter. response:	Our members are Sawada Aya, Shibahime Tsubasa,
context: Any group who has not submitted it should come...\Attention, all students.\The application deadline for groups\participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to...\Here! I brought the application.\I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa, response:	Isawa Maho, and Miyazawa Yukino.
context: Attention, all students.\The application deadline for groups\participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to...\Here! I brought the application.\I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino. response:	We're going to put on a play.
context: The application deadline for groups\participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to...\Here! I brought the application.\I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino.\We're going to put on a play. response:	Hey hey, have you heard?
context: participating in the Culture Fair is today at 3 o'clock.\Any group who has not submitted it should come to...\Here! I brought the application.\I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino.\We're going to put on a play.\Hey hey, have you heard? response:	Miyazawa-san and Shibahime-chan...are going to do a play.
context: Any group who has not submitted it should come to...\Here! I brought the application.\I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino.\We're going to put on a play.\Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play. response:	Yeah, I heard!
context: Here! I brought the application.\I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino.\We're going to put on a play.\Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard! response:	I wonder what it'll be about?
context: I also have Mr. Kawashima's recommendation letter.\Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino.\We're going to put on a play.\Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard!\I wonder what it'll be about? response:	I want to see it.
context: Our members are Sawada Aya, Shibahime Tsubasa,\Isawa Maho, and Miyazawa Yukino.\We're going to put on a play.\Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard!\I wonder what it'll be about?\I want to see it. response:	I want to see it!
context: Isawa Maho, and Miyazawa Yukino.\We're going to put on a play.\Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard!\I wonder what it'll be about?\I want to see it.\I want to see it! response:	Miyazawa-san!
context: We're going to put on a play.\Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard!\I wonder what it'll be about?\I want to see it.\I want to see it!\Miyazawa-san! response:	We'll definitely go see it.
context: Hey hey, have you heard?\Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard!\I wonder what it'll be about?\I want to see it.\I want to see it!\Miyazawa-san!\We'll definitely go see it. response:	Ok, but don't worry, I'll help out on the class event too.
context: Miyazawa-san and Shibahime-chan...are going to do a play.\Yeah, I heard!\I wonder what it'll be about?\I want to see it.\I want to see it!\Miyazawa-san!\We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too. response:	Maho, you're going to play a guy?!
context: Yeah, I heard!\I wonder what it'll be about?\I want to see it.\I want to see it!\Miyazawa-san!\We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?! response:	I bet you'd look studly!
context: I wonder what it'll be about?\I want to see it.\I want to see it!\Miyazawa-san!\We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?!\I bet you'd look studly! response:	Tsubasa-chan! You're so cute!!
context: I want to see it.\I want to see it!\Miyazawa-san!\We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?!\I bet you'd look studly!\Tsubasa-chan! You're so cute!! response:	We'll go see you!
context: I want to see it!\Miyazawa-san!\We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?!\I bet you'd look studly!\Tsubasa-chan! You're so cute!!\We'll go see you! response:	Too noisy!
context: Miyazawa-san!\We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?!\I bet you'd look studly!\Tsubasa-chan! You're so cute!!\We'll go see you!\Too noisy! response:	So scary! But cute!
context: We'll definitely go see it.\Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?!\I bet you'd look studly!\Tsubasa-chan! You're so cute!!\We'll go see you!\Too noisy!\So scary! But cute! response:	What?! Sis is going to be in a play!?
context: Ok, but don't worry, I'll help out on the class event too.\Maho, you're going to play a guy?!\I bet you'd look studly!\Tsubasa-chan! You're so cute!!\We'll go see you!\Too noisy!\So scary! But cute!\What?! Sis is going to be in a play!? response:	Fantasizing
context: Maho, you're going to play a guy?!\I bet you'd look studly!\Tsubasa-chan! You're so cute!!\We'll go see you!\Too noisy!\So scary! But cute!\What?! Sis is going to be in a play!?\Fantasizing response:	Yaay! Let's go see! Let's go see!
context: I bet you'd look studly!\Tsubasa-chan! You're so cute!!\We'll go see you!\Too noisy!\So scary! But cute!\What?! Sis is going to be in a play!?\Fantasizing\Yaay! Let's go see! Let's go see! response:	No, you don't have to come.
context: Tsubasa-chan! You're so cute!!\We'll go see you!\Too noisy!\So scary! But cute!\What?! Sis is going to be in a play!?\Fantasizing\Yaay! Let's go see! Let's go see!\No, you don't have to come. response:	I'm surprised you decided to do it.
context: We'll go see you!\Too noisy!\So scary! But cute!\What?! Sis is going to be in a play!?\Fantasizing\Yaay! Let's go see! Let's go see!\No, you don't have to come.\I'm surprised you decided to do it. response:	One of my friends is a writer and when I read it, it was interesting, so...
context: Too noisy!\So scary! But cute!\What?! Sis is going to be in a play!?\Fantasizing\Yaay! Let's go see! Let's go see!\No, you don't have to come.\I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so... response:	Really? What's her name?
context: So scary! But cute!\What?! Sis is going to be in a play!?\Fantasizing\Yaay! Let's go see! Let's go see!\No, you don't have to come.\I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name? response:	Oh, I borrowed one of her books.
context: What?! Sis is going to be in a play!?\Fantasizing\Yaay! Let's go see! Let's go see!\No, you don't have to come.\I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name?\Oh, I borrowed one of her books. response:	She's called Sawai Ayaki,
context: Fantasizing\Yaay! Let's go see! Let's go see!\No, you don't have to come.\I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name?\Oh, I borrowed one of her books.\She's called Sawai Ayaki, response:	but that's her penname.
context: Yaay! Let's go see! Let's go see!\No, you don't have to come.\I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name?\Oh, I borrowed one of her books.\She's called Sawai Ayaki,\but that's her penname. response:	Sawai Ayaki?!?
context: No, you don't have to come.\I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name?\Oh, I borrowed one of her books.\She's called Sawai Ayaki,\but that's her penname.\Sawai Ayaki?!? response:	Wh-what's the matter, Kano?
context: I'm surprised you decided to do it.\One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name?\Oh, I borrowed one of her books.\She's called Sawai Ayaki,\but that's her penname.\Sawai Ayaki?!?\Wh-what's the matter, Kano? response:	Sawai Ayaki's the person who wrote that story you were sobbing over the other day!
context: One of my friends is a writer and when I read it, it was interesting, so...\Really? What's her name?\Oh, I borrowed one of her books.\She's called Sawai Ayaki,\but that's her penname.\Sawai Ayaki?!?\Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day! response:	No way, she's your friend?!
context: Really? What's her name?\Oh, I borrowed one of her books.\She's called Sawai Ayaki,\but that's her penname.\Sawai Ayaki?!?\Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?! response:	I'm definitely going to see it!
context: Oh, I borrowed one of her books.\She's called Sawai Ayaki,\but that's her penname.\Sawai Ayaki?!?\Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?!\I'm definitely going to see it! response:	Introduce me to her! Let me see the script!
context: She's called Sawai Ayaki,\but that's her penname.\Sawai Ayaki?!?\Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?!\I'm definitely going to see it!\Introduce me to her! Let me see the script! response:	O-okay, okay.
context: but that's her penname.\Sawai Ayaki?!?\Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?!\I'm definitely going to see it!\Introduce me to her! Let me see the script!\O-okay, okay. response:	Dear! Let's go to Akihabara tomorrow!
context: Sawai Ayaki?!?\Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?!\I'm definitely going to see it!\Introduce me to her! Let me see the script!\O-okay, okay.\Dear! Let's go to Akihabara tomorrow! response:	We-we have to buy an appliance like a camcorder!
context: Wh-what's the matter, Kano?\Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?!\I'm definitely going to see it!\Introduce me to her! Let me see the script!\O-okay, okay.\Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder! response:	What about your colleagues?
context: Sawai Ayaki's the person who wrote that story you were sobbing over the other day!\No way, she's your friend?!\I'm definitely going to see it!\Introduce me to her! Let me see the script!\O-okay, okay.\Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder!\What about your colleagues? response:	Will see Ayaki-sama...
context: No way, she's your friend?!\I'm definitely going to see it!\Introduce me to her! Let me see the script!\O-okay, okay.\Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder!\What about your colleagues?\Will see Ayaki-sama... response:	Aya-chan must be amazing.
context: I'm definitely going to see it!\Introduce me to her! Let me see the script!\O-okay, okay.\Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder!\What about your colleagues?\Will see Ayaki-sama...\Aya-chan must be amazing. response:	Guess I'll do my best too.
context: Introduce me to her! Let me see the script!\O-okay, okay.\Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder!\What about your colleagues?\Will see Ayaki-sama...\Aya-chan must be amazing.\Guess I'll do my best too. response:	Yo, everyone's talking about how you're doing a play.
context: O-okay, okay.\Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder!\What about your colleagues?\Will see Ayaki-sama...\Aya-chan must be amazing.\Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play. response:	Is that really?
context: Dear! Let's go to Akihabara tomorrow!\We-we have to buy an appliance like a camcorder!\What about your colleagues?\Will see Ayaki-sama...\Aya-chan must be amazing.\Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play.\Is that really? response:	That's right.
context: We-we have to buy an appliance like a camcorder!\What about your colleagues?\Will see Ayaki-sama...\Aya-chan must be amazing.\Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play.\Is that really?\That's right. response:	You sure you can handle it?
context: What about your colleagues?\Will see Ayaki-sama...\Aya-chan must be amazing.\Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play.\Is that really?\That's right.\You sure you can handle it? response:	I bet you're going to forget your lines the moment it starts.
context: Will see Ayaki-sama...\Aya-chan must be amazing.\Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play.\Is that really?\That's right.\You sure you can handle it?\I bet you're going to forget your lines the moment it starts. response:	Don't jinx me!
context: Aya-chan must be amazing.\Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play.\Is that really?\That's right.\You sure you can handle it?\I bet you're going to forget your lines the moment it starts.\Don't jinx me! response:	I'll be fine.
context: Guess I'll do my best too.\Yo, everyone's talking about how you're doing a play.\Is that really?\That's right.\You sure you can handle it?\I bet you're going to forget your lines the moment it starts.\Don't jinx me!\I'll be fine. response:	I'm used to talking in public from Student Council.
context: Yo, everyone's talking about how you're doing a play.\Is that really?\That's right.\You sure you can handle it?\I bet you're going to forget your lines the moment it starts.\Don't jinx me!\I'll be fine.\I'm used to talking in public from Student Council. response:	I'd think the Student Council and a play are totally different things. Hee hee hee...
context: Is that really?\That's right.\You sure you can handle it?\I bet you're going to forget your lines the moment it starts.\Don't jinx me!\I'll be fine.\I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee... response:	Meanie.
context: That's right.\You sure you can handle it?\I bet you're going to forget your lines the moment it starts.\Don't jinx me!\I'll be fine.\I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie. response:	Anyways, what I do doesn't matter.
context: You sure you can handle it?\I bet you're going to forget your lines the moment it starts.\Don't jinx me!\I'll be fine.\I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie.\Anyways, what I do doesn't matter. response:	What about you and your revenge?
context: I bet you're going to forget your lines the moment it starts.\Don't jinx me!\I'll be fine.\I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie.\Anyways, what I do doesn't matter.\What about you and your revenge? response:	Are you doing something about it?
context: Don't jinx me!\I'll be fine.\I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie.\Anyways, what I do doesn't matter.\What about you and your revenge?\Are you doing something about it? response:	Changing the subject, eh.
context: I'll be fine.\I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie.\Anyways, what I do doesn't matter.\What about you and your revenge?\Are you doing something about it?\Changing the subject, eh. response:	I'm not in any hurry, so it's all right. I'll do it gradually?
context: I'm used to talking in public from Student Council.\I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie.\Anyways, what I do doesn't matter.\What about you and your revenge?\Are you doing something about it?\Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually? response:	True.
context: I'd think the Student Council and a play are totally different things. Hee hee hee...\Meanie.\Anyways, what I do doesn't matter.\What about you and your revenge?\Are you doing something about it?\Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually?\True. response:	There are no aesthetics in carrying out your revenge simply.
context: Meanie.\Anyways, what I do doesn't matter.\What about you and your revenge?\Are you doing something about it?\Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually?\True.\There are no aesthetics in carrying out your revenge simply. response:	You have to take your time and do it slowly.
context: Anyways, what I do doesn't matter.\What about you and your revenge?\Are you doing something about it?\Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually?\True.\There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly. response:	That makes it feel so good.
context: What about you and your revenge?\Are you doing something about it?\Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually?\True.\There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly.\That makes it feel so good. response:	Well,
context: Are you doing something about it?\Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually?\True.\There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly.\That makes it feel so good.\Well, response:	The time spent elaborating the scheme for revenge so beautiful it's a work of art.
context: Changing the subject, eh.\I'm not in any hurry, so it's all right. I'll do it gradually?\True.\There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly.\That makes it feel so good.\Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art. response:	The feeling of satisfaction in...
context: I'm not in any hurry, so it's all right. I'll do it gradually?\True.\There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly.\That makes it feel so good.\Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in... response:	like putting pieces of a puzzle together, one by one...
context: True.\There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly.\That makes it feel so good.\Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one... response:	That heightens the exultation felt...
context: There are no aesthetics in carrying out your revenge simply.\You have to take your time and do it slowly.\That makes it feel so good.\Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one...\That heightens the exultation felt... response:	Right!
context: You have to take your time and do it slowly.\That makes it feel so good.\Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one...\That heightens the exultation felt...\Right! response:	Oh, at times I scare myself.
context: That makes it feel so good.\Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one...\That heightens the exultation felt...\Right!\Oh, at times I scare myself. response:	If I hadn't fallen in love with Arima,
context: Well,\The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one...\That heightens the exultation felt...\Right!\Oh, at times I scare myself.\If I hadn't fallen in love with Arima, response:	I'm sure I would be devising...
context: The time spent elaborating the scheme for revenge so beautiful it's a work of art.\The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one...\That heightens the exultation felt...\Right!\Oh, at times I scare myself.\If I hadn't fallen in love with Arima,\I'm sure I would be devising... response:	What?!
context: The feeling of satisfaction in...\like putting pieces of a puzzle together, one by one...\That heightens the exultation felt...\Right!\Oh, at times I scare myself.\If I hadn't fallen in love with Arima,\I'm sure I would be devising...\What?! response:	We seem to be wholesome at first glance
context: like putting pieces of a puzzle together, one by one...\That heightens the exultation felt...\Right!\Oh, at times I scare myself.\If I hadn't fallen in love with Arima,\I'm sure I would be devising...\What?!\We seem to be wholesome at first glance response:	yet we are secretly vindictive and insidious within...
context: That heightens the exultation felt...\Right!\Oh, at times I scare myself.\If I hadn't fallen in love with Arima,\I'm sure I would be devising...\What?!\We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within... response:	I don't like you or anything, but we are definitely close. I understand you.
context: Right!\Oh, at times I scare myself.\If I hadn't fallen in love with Arima,\I'm sure I would be devising...\What?!\We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you. response:	Yeah. I don't like you or anything either,
context: Oh, at times I scare myself.\If I hadn't fallen in love with Arima,\I'm sure I would be devising...\What?!\We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either, response:	but I feel some kind of kinship with you.
context: If I hadn't fallen in love with Arima,\I'm sure I would be devising...\What?!\We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either,\but I feel some kind of kinship with you. response:	Okay,
context: I'm sure I would be devising...\What?!\We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either,\but I feel some kind of kinship with you.\Okay, response:	We're going to come up with specific divisions of labor!
context: What?!\We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either,\but I feel some kind of kinship with you.\Okay,\We're going to come up with specific divisions of labor! response:	Actually, what are the divisions of labor for a play?
context: We seem to be wholesome at first glance\yet we are secretly vindictive and insidious within...\I don't like you or anything, but we are definitely close. I understand you.\Yeah. I don't like you or anything either,\but I feel some kind of kinship with you.\Okay,\We're going to come up with specific divisions of labor!\Actually, what are the divisions of labor for a play? response:	Rika-chan's doing the costumes...
