context: Why do I feel this way? response:	It's the first time this has ever happened.
context: but now I do.\Cheer up.\D-Do you mean\the girl who's always with you?\Sh-She's very cute. It's, um...\Natsume-san.\Natsume?\Natsume is a nice person. response:	She's my friend.
context: Cheer up.\D-Do you mean\the girl who's always with you?\Sh-She's very cute. It's, um...\Natsume-san.\Natsume?\Natsume is a nice person.\She's my friend. response:	A friend?
context: D-Do you mean\the girl who's always with you?\Sh-She's very cute. It's, um...\Natsume-san.\Natsume?\Natsume is a nice person.\She's my friend.\A friend? response:	Yep, Sasayan's also my friend,
context: the girl who's always with you?\Sh-She's very cute. It's, um...\Natsume-san.\Natsume?\Natsume is a nice person.\She's my friend.\A friend?\Yep, Sasayan's also my friend, response:	but he pisses me off sometimes.
context: Sh-She's very cute. It's, um...\Natsume-san.\Natsume?\Natsume is a nice person.\She's my friend.\A friend?\Yep, Sasayan's also my friend,\but he pisses me off sometimes. response:	Oh, and there's that other girl.
context: Natsume-san.\Natsume?\Natsume is a nice person.\She's my friend.\A friend?\Yep, Sasayan's also my friend,\but he pisses me off sometimes.\Oh, and there's that other girl. response:	The one with pigtails and good grades.
context: Natsume?\Natsume is a nice person.\She's my friend.\A friend?\Yep, Sasayan's also my friend,\but he pisses me off sometimes.\Oh, and there's that other girl.\The one with pigtails and good grades. response:	Shizuku?
context: Natsume is a nice person.\She's my friend.\A friend?\Yep, Sasayan's also my friend,\but he pisses me off sometimes.\Oh, and there's that other girl.\The one with pigtails and good grades.\Shizuku? response:	I love Shizuku.
context: She's my friend.\A friend?\Yep, Sasayan's also my friend,\but he pisses me off sometimes.\Oh, and there's that other girl.\The one with pigtails and good grades.\Shizuku?\I love Shizuku. response:	Huh? What do you mean?
context: A friend?\Yep, Sasayan's also my friend,\but he pisses me off sometimes.\Oh, and there's that other girl.\The one with pigtails and good grades.\Shizuku?\I love Shizuku.\Huh? What do you mean? response:	Huh? Haru-kun!
context: Yep, Sasayan's also my friend,\but he pisses me off sometimes.\Oh, and there's that other girl.\The one with pigtails and good grades.\Shizuku?\I love Shizuku.\Huh? What do you mean?\Huh? Haru-kun! response:	What are you doing out here?
context: but he pisses me off sometimes.\Oh, and there's that other girl.\The one with pigtails and good grades.\Shizuku?\I love Shizuku.\Huh? What do you mean?\Huh? Haru-kun!\What are you doing out here? response:	What are you doing?
context: Oh, and there's that other girl.\The one with pigtails and good grades.\Shizuku?\I love Shizuku.\Huh? What do you mean?\Huh? Haru-kun!\What are you doing out here?\What are you doing? response:	Yo, Natsume.
context: The one with pigtails and good grades.\Shizuku?\I love Shizuku.\Huh? What do you mean?\Huh? Haru-kun!\What are you doing out here?\What are you doing?\Yo, Natsume. response:	We were talking about you guys.
context: Shizuku?\I love Shizuku.\Huh? What do you mean?\Huh? Haru-kun!\What are you doing out here?\What are you doing?\Yo, Natsume.\We were talking about you guys. response:	This is the class rep.
context: I love Shizuku.\Huh? What do you mean?\Huh? Haru-kun!\What are you doing out here?\What are you doing?\Yo, Natsume.\We were talking about you guys.\This is the class rep. response:	She doesn't have any friends,
context: Huh? What do you mean?\Huh? Haru-kun!\What are you doing out here?\What are you doing?\Yo, Natsume.\We were talking about you guys.\This is the class rep.\She doesn't have any friends, response:	so she always eats lunch here.
context: Huh? Haru-kun!\What are you doing out here?\What are you doing?\Yo, Natsume.\We were talking about you guys.\This is the class rep.\She doesn't have any friends,\so she always eats lunch here. response:	Wait!
context: What are you doing out here?\What are you doing?\Yo, Natsume.\We were talking about you guys.\This is the class rep.\She doesn't have any friends,\so she always eats lunch here.\Wait! response:	I know how you feel.
context: What are you doing?\Yo, Natsume.\We were talking about you guys.\This is the class rep.\She doesn't have any friends,\so she always eats lunch here.\Wait!\I know how you feel. response:	What?!
context: Yo, Natsume.\We were talking about you guys.\This is the class rep.\She doesn't have any friends,\so she always eats lunch here.\Wait!\I know how you feel.\What?! response:	All right...
context: We were talking about you guys.\This is the class rep.\She doesn't have any friends,\so she always eats lunch here.\Wait!\I know how you feel.\What?!\All right... response:	Let's get this Oodles of Friends for the Class Rep council started.
context: This is the class rep.\She doesn't have any friends,\so she always eats lunch here.\Wait!\I know how you feel.\What?!\All right...\Let's get this Oodles of Friends for the Class Rep council started. response:	Yay! Applause!
context: She doesn't have any friends,\so she always eats lunch here.\Wait!\I know how you feel.\What?!\All right...\Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause! response:	Why are you doing this here?
context: so she always eats lunch here.\Wait!\I know how you feel.\What?!\All right...\Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause!\Why are you doing this here? response:	I-I'm sorry...
context: Wait!\I know how you feel.\What?!\All right...\Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause!\Why are you doing this here?\I-I'm sorry... response:	But Mitty!
context: I know how you feel.\What?!\All right...\Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause!\Why are you doing this here?\I-I'm sorry...\But Mitty! response:	Oshima-san doesn't have any friends!
context: What?!\All right...\Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause!\Why are you doing this here?\I-I'm sorry...\But Mitty!\Oshima-san doesn't have any friends! response:	Ideas Lovability Personality
context: All right...\Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause!\Why are you doing this here?\I-I'm sorry...\But Mitty!\Oshima-san doesn't have any friends!\Ideas Lovability Personality response:	Haven't you ever felt the pain, Mitty?
context: Let's get this Oodles of Friends for the Class Rep council started.\Yay! Applause!\Why are you doing this here?\I-I'm sorry...\But Mitty!\Oshima-san doesn't have any friends!\Ideas Lovability Personality\Haven't you ever felt the pain, Mitty? response:	When you feel like a stranger in your own classroom!
context: Yay! Applause!\Why are you doing this here?\I-I'm sorry...\But Mitty!\Oshima-san doesn't have any friends!\Ideas Lovability Personality\Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom! response:	When you have to hide in the restroom
context: Why are you doing this here?\I-I'm sorry...\But Mitty!\Oshima-san doesn't have any friends!\Ideas Lovability Personality\Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom!\When you have to hide in the restroom response:	to eat lunch by yourself!
context: I-I'm sorry...\But Mitty!\Oshima-san doesn't have any friends!\Ideas Lovability Personality\Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom!\When you have to hide in the restroom\to eat lunch by yourself! response:	I really want to leave.
context: But Mitty!\Oshima-san doesn't have any friends!\Ideas Lovability Personality\Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom!\When you have to hide in the restroom\to eat lunch by yourself!\I really want to leave. response:	That's stupid.
context: Oshima-san doesn't have any friends!\Ideas Lovability Personality\Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom!\When you have to hide in the restroom\to eat lunch by yourself!\I really want to leave.\That's stupid. response:	Forget it.
context: Ideas Lovability Personality\Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom!\When you have to hide in the restroom\to eat lunch by yourself!\I really want to leave.\That's stupid.\Forget it. response:	I'll leave.
context: Haven't you ever felt the pain, Mitty?\When you feel like a stranger in your own classroom!\When you have to hide in the restroom\to eat lunch by yourself!\I really want to leave.\That's stupid.\Forget it.\I'll leave. response:	What are you so upset about, Shizuku?
context: When you feel like a stranger in your own classroom!\When you have to hide in the restroom\to eat lunch by yourself!\I really want to leave.\That's stupid.\Forget it.\I'll leave.\What are you so upset about, Shizuku? response:	Just do your thing and ignore us while you study.
context: When you have to hide in the restroom\to eat lunch by yourself!\I really want to leave.\That's stupid.\Forget it.\I'll leave.\What are you so upset about, Shizuku?\Just do your thing and ignore us while you study. response:	That's your identity.
context: to eat lunch by yourself!\I really want to leave.\That's stupid.\Forget it.\I'll leave.\What are you so upset about, Shizuku?\Just do your thing and ignore us while you study.\That's your identity. response:	I can't concentrate.
context: I really want to leave.\That's stupid.\Forget it.\I'll leave.\What are you so upset about, Shizuku?\Just do your thing and ignore us while you study.\That's your identity.\I can't concentrate. response:	Now, now. Let bygones be bygones
context: That's stupid.\Forget it.\I'll leave.\What are you so upset about, Shizuku?\Just do your thing and ignore us while you study.\That's your identity.\I can't concentrate.\Now, now. Let bygones be bygones response:	and give her a hand.
context: Forget it.\I'll leave.\What are you so upset about, Shizuku?\Just do your thing and ignore us while you study.\That's your identity.\I can't concentrate.\Now, now. Let bygones be bygones\and give her a hand. response:	Why should I help?
context: I'll leave.\What are you so upset about, Shizuku?\Just do your thing and ignore us while you study.\That's your identity.\I can't concentrate.\Now, now. Let bygones be bygones\and give her a hand.\Why should I help? response:	If she is unhappy about her current situation,
context: What are you so upset about, Shizuku?\Just do your thing and ignore us while you study.\That's your identity.\I can't concentrate.\Now, now. Let bygones be bygones\and give her a hand.\Why should I help?\If she is unhappy about her current situation, response:	she should do something.
context: Just do your thing and ignore us while you study.\That's your identity.\I can't concentrate.\Now, now. Let bygones be bygones\and give her a hand.\Why should I help?\If she is unhappy about her current situation,\she should do something. response:	If she can't, that's her problem.
context: That's your identity.\I can't concentrate.\Now, now. Let bygones be bygones\and give her a hand.\Why should I help?\If she is unhappy about her current situation,\she should do something.\If she can't, that's her problem. response:	That was a spiteful thing to say, Shizuku.
context: I can't concentrate.\Now, now. Let bygones be bygones\and give her a hand.\Why should I help?\If she is unhappy about her current situation,\she should do something.\If she can't, that's her problem.\That was a spiteful thing to say, Shizuku. response:	I really hate that about you.
context: Now, now. Let bygones be bygones\and give her a hand.\Why should I help?\If she is unhappy about her current situation,\she should do something.\If she can't, that's her problem.\That was a spiteful thing to say, Shizuku.\I really hate that about you. response:	Really?
context: and give her a hand.\Why should I help?\If she is unhappy about her current situation,\she should do something.\If she can't, that's her problem.\That was a spiteful thing to say, Shizuku.\I really hate that about you.\Really? response:	I'm disgusted by the self-righteous act you people put on.
context: Why should I help?\If she is unhappy about her current situation,\she should do something.\If she can't, that's her problem.\That was a spiteful thing to say, Shizuku.\I really hate that about you.\Really?\I'm disgusted by the self-righteous act you people put on. response:	Eh?
context: If she is unhappy about her current situation,\she should do something.\If she can't, that's her problem.\That was a spiteful thing to say, Shizuku.\I really hate that about you.\Really?\I'm disgusted by the self-righteous act you people put on.\Eh? response:	Huh? Huh?
context: she should do something.\If she can't, that's her problem.\That was a spiteful thing to say, Shizuku.\I really hate that about you.\Really?\I'm disgusted by the self-righteous act you people put on.\Eh?\Huh? Huh? response:	What's going on?
context: If she can't, that's her problem.\That was a spiteful thing to say, Shizuku.\I really hate that about you.\Really?\I'm disgusted by the self-righteous act you people put on.\Eh?\Huh? Huh?\What's going on? response:	Why is this happening?
context: That was a spiteful thing to say, Shizuku.\I really hate that about you.\Really?\I'm disgusted by the self-righteous act you people put on.\Eh?\Huh? Huh?\What's going on?\Why is this happening? response:	I-Is it me?
context: I really hate that about you.\Really?\I'm disgusted by the self-righteous act you people put on.\Eh?\Huh? Huh?\What's going on?\Why is this happening?\I-Is it me? response:	Is it my fault?
context: Really?\I'm disgusted by the self-righteous act you people put on.\Eh?\Huh? Huh?\What's going on?\Why is this happening?\I-Is it me?\Is it my fault? response:	Wh-What should I do?!
context: I'm disgusted by the self-righteous act you people put on.\Eh?\Huh? Huh?\What's going on?\Why is this happening?\I-Is it me?\Is it my fault?\Wh-What should I do?! response:	Gather'round!
context: Eh?\Huh? Huh?\What's going on?\Why is this happening?\I-Is it me?\Is it my fault?\Wh-What should I do?!\Gather'round! response:	Pair up and start stretching!
context: Huh? Huh?\What's going on?\Why is this happening?\I-Is it me?\Is it my fault?\Wh-What should I do?!\Gather'round!\Pair up and start stretching! response:	Begin!
context: What's going on?\Why is this happening?\I-Is it me?\Is it my fault?\Wh-What should I do?!\Gather'round!\Pair up and start stretching!\Begin! response:	I-I'm the one left out...
context: Why is this happening?\I-Is it me?\Is it my fault?\Wh-What should I do?!\Gather'round!\Pair up and start stretching!\Begin!\I-I'm the one left out... response:	Th-This sucks.
context: I-Is it me?\Is it my fault?\Wh-What should I do?!\Gather'round!\Pair up and start stretching!\Begin!\I-I'm the one left out...\Th-This sucks. response:	I should have skipped school today.
context: Is it my fault?\Wh-What should I do?!\Gather'round!\Pair up and start stretching!\Begin!\I-I'm the one left out...\Th-This sucks.\I should have skipped school today. response:	Excuse me. I don't have a partner.
context: Wh-What should I do?!\Gather'round!\Pair up and start stretching!\Begin!\I-I'm the one left out...\Th-This sucks.\I should have skipped school today.\Excuse me. I don't have a partner. response:	Uh, anyone from class A need a partner?
context: Gather'round!\Pair up and start stretching!\Begin!\I-I'm the one left out...\Th-This sucks.\I should have skipped school today.\Excuse me. I don't have a partner.\Uh, anyone from class A need a partner? response:	W-Wow...
context: Pair up and start stretching!\Begin!\I-I'm the one left out...\Th-This sucks.\I should have skipped school today.\Excuse me. I don't have a partner.\Uh, anyone from class A need a partner?\W-Wow... response:	She doesn't mind being alone.
context: Begin!\I-I'm the one left out...\Th-This sucks.\I should have skipped school today.\Excuse me. I don't have a partner.\Uh, anyone from class A need a partner?\W-Wow...\She doesn't mind being alone. response:	U-Um...
context: I-I'm the one left out...\Th-This sucks.\I should have skipped school today.\Excuse me. I don't have a partner.\Uh, anyone from class A need a partner?\W-Wow...\She doesn't mind being alone.\U-Um... response:	Sorry about yesterday.
context: Th-This sucks.\I should have skipped school today.\Excuse me. I don't have a partner.\Uh, anyone from class A need a partner?\W-Wow...\She doesn't mind being alone.\U-Um...\Sorry about yesterday. response:	It got kind of awkward.
context: I should have skipped school today.\Excuse me. I don't have a partner.\Uh, anyone from class A need a partner?\W-Wow...\She doesn't mind being alone.\U-Um...\Sorry about yesterday.\It got kind of awkward. response:	Oh, that wasn't your fault.
context: Excuse me. I don't have a partner.\Uh, anyone from class A need a partner?\W-Wow...\She doesn't mind being alone.\U-Um...\Sorry about yesterday.\It got kind of awkward.\Oh, that wasn't your fault. response:	If they're bothering you, you should tell them to stop.
context: Uh, anyone from class A need a partner?\W-Wow...\She doesn't mind being alone.\U-Um...\Sorry about yesterday.\It got kind of awkward.\Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop. response:	You never know what those two will try to do.
context: W-Wow...\She doesn't mind being alone.\U-Um...\Sorry about yesterday.\It got kind of awkward.\Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop.\You never know what those two will try to do. response:	Th-They're not bothering me...
context: She doesn't mind being alone.\U-Um...\Sorry about yesterday.\It got kind of awkward.\Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop.\You never know what those two will try to do.\Th-They're not bothering me... response:	Why are you so timid?
context: U-Um...\Sorry about yesterday.\It got kind of awkward.\Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop.\You never know what those two will try to do.\Th-They're not bothering me...\Why are you so timid? response:	It's not that I'm timid.
context: Sorry about yesterday.\It got kind of awkward.\Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop.\You never know what those two will try to do.\Th-They're not bothering me...\Why are you so timid?\It's not that I'm timid. response:	I just lack confidence.
context: It got kind of awkward.\Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop.\You never know what those two will try to do.\Th-They're not bothering me...\Why are you so timid?\It's not that I'm timid.\I just lack confidence. response:	Yeah, that's it.
context: Oh, that wasn't your fault.\If they're bothering you, you should tell them to stop.\You never know what those two will try to do.\Th-They're not bothering me...\Why are you so timid?\It's not that I'm timid.\I just lack confidence.\Yeah, that's it. response:	I'm always just waiting.
context: If they're bothering you, you should tell them to stop.\You never know what those two will try to do.\Th-They're not bothering me...\Why are you so timid?\It's not that I'm timid.\I just lack confidence.\Yeah, that's it.\I'm always just waiting. response:	Waiting for someone to reach out to me.
context: You never know what those two will try to do.\Th-They're not bothering me...\Why are you so timid?\It's not that I'm timid.\I just lack confidence.\Yeah, that's it.\I'm always just waiting.\Waiting for someone to reach out to me. response:	But at the same time, I'm really self-conscious,
context: Th-They're not bothering me...\Why are you so timid?\It's not that I'm timid.\I just lack confidence.\Yeah, that's it.\I'm always just waiting.\Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious, response:	and a coward.
context: Why are you so timid?\It's not that I'm timid.\I just lack confidence.\Yeah, that's it.\I'm always just waiting.\Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious,\and a coward. response:	Yo, class rep.
context: It's not that I'm timid.\I just lack confidence.\Yeah, that's it.\I'm always just waiting.\Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious,\and a coward.\Yo, class rep. response:	Have you seen Shizuku around?
context: I just lack confidence.\Yeah, that's it.\I'm always just waiting.\Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious,\and a coward.\Yo, class rep.\Have you seen Shizuku around? response:	You haven't made up yet?
context: Yeah, that's it.\I'm always just waiting.\Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious,\and a coward.\Yo, class rep.\Have you seen Shizuku around?\You haven't made up yet? response:	She's been ignoring me the whole day.
context: I'm always just waiting.\Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious,\and a coward.\Yo, class rep.\Have you seen Shizuku around?\You haven't made up yet?\She's been ignoring me the whole day. response:	What's her problem?
context: Waiting for someone to reach out to me.\But at the same time, I'm really self-conscious,\and a coward.\Yo, class rep.\Have you seen Shizuku around?\You haven't made up yet?\She's been ignoring me the whole day.\What's her problem? response:	Um, Yoshida-kun...
context: But at the same time, I'm really self-conscious,\and a coward.\Yo, class rep.\Have you seen Shizuku around?\You haven't made up yet?\She's been ignoring me the whole day.\What's her problem?\Um, Yoshida-kun... response:	You can stop.
context: and a coward.\Yo, class rep.\Have you seen Shizuku around?\You haven't made up yet?\She's been ignoring me the whole day.\What's her problem?\Um, Yoshida-kun...\You can stop. response:	This is my problem.
context: Yo, class rep.\Have you seen Shizuku around?\You haven't made up yet?\She's been ignoring me the whole day.\What's her problem?\Um, Yoshida-kun...\You can stop.\This is my problem. response:	I guess I don't like myself.
context: Have you seen Shizuku around?\You haven't made up yet?\She's been ignoring me the whole day.\What's her problem?\Um, Yoshida-kun...\You can stop.\This is my problem.\I guess I don't like myself. response:	You sound gloomy.
context: You haven't made up yet?\She's been ignoring me the whole day.\What's her problem?\Um, Yoshida-kun...\You can stop.\This is my problem.\I guess I don't like myself.\You sound gloomy. response:	What did you mean when you said you love Mizutani-san?
context: She's been ignoring me the whole day.\What's her problem?\Um, Yoshida-kun...\You can stop.\This is my problem.\I guess I don't like myself.\You sound gloomy.\What did you mean when you said you love Mizutani-san? response:	Do you mean that in a romantic way?
context: What's her problem?\Um, Yoshida-kun...\You can stop.\This is my problem.\I guess I don't like myself.\You sound gloomy.\What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way? response:	W-Wait, forget it!
context: Um, Yoshida-kun...\You can stop.\This is my problem.\I guess I don't like myself.\You sound gloomy.\What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way?\W-Wait, forget it! response:	Forget I said anything! Sorry!
context: You can stop.\This is my problem.\I guess I don't like myself.\You sound gloomy.\What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way?\W-Wait, forget it!\Forget I said anything! Sorry! response:	Why am I asking for answers that
context: This is my problem.\I guess I don't like myself.\You sound gloomy.\What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way?\W-Wait, forget it!\Forget I said anything! Sorry!\Why am I asking for answers that response:	will just depress me more?!
context: I guess I don't like myself.\You sound gloomy.\What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way?\W-Wait, forget it!\Forget I said anything! Sorry!\Why am I asking for answers that\will just depress me more?! response:	Haru-kun! Oshima-san!
context: You sound gloomy.\What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way?\W-Wait, forget it!\Forget I said anything! Sorry!\Why am I asking for answers that\will just depress me more?!\Haru-kun! Oshima-san! response:	Wanna join us?
context: What did you mean when you said you love Mizutani-san?\Do you mean that in a romantic way?\W-Wait, forget it!\Forget I said anything! Sorry!\Why am I asking for answers that\will just depress me more?!\Haru-kun! Oshima-san!\Wanna join us? response:	Here I go!
context: Do you mean that in a romantic way?\W-Wait, forget it!\Forget I said anything! Sorry!\Why am I asking for answers that\will just depress me more?!\Haru-kun! Oshima-san!\Wanna join us?\Here I go! response:	Yeah!
context: W-Wait, forget it!\Forget I said anything! Sorry!\Why am I asking for answers that\will just depress me more?!\Haru-kun! Oshima-san!\Wanna join us?\Here I go!\Yeah! response:	There!
context: Forget I said anything! Sorry!\Why am I asking for answers that\will just depress me more?!\Haru-kun! Oshima-san!\Wanna join us?\Here I go!\Yeah!\There! response:	Whee!
context: Why am I asking for answers that\will just depress me more?!\Haru-kun! Oshima-san!\Wanna join us?\Here I go!\Yeah!\There!\Whee! response:	Hey!
context: will just depress me more?!\Haru-kun! Oshima-san!\Wanna join us?\Here I go!\Yeah!\There!\Whee!\Hey! response:	Gotcha!
context: Haru-kun! Oshima-san!\Wanna join us?\Here I go!\Yeah!\There!\Whee!\Hey!\Gotcha! response:	Here!
context: Wanna join us?\Here I go!\Yeah!\There!\Whee!\Hey!\Gotcha!\Here! response:	Rolling Thunder!
context: Here I go!\Yeah!\There!\Whee!\Hey!\Gotcha!\Here!\Rolling Thunder! response:	This is brutal!
context: Yeah!\There!\Whee!\Hey!\Gotcha!\Here!\Rolling Thunder!\This is brutal! response:	Champion Smash!
context: There!\Whee!\Hey!\Gotcha!\Here!\Rolling Thunder!\This is brutal!\Champion Smash! response:	Hey, Shizuku.
context: Whee!\Hey!\Gotcha!\Here!\Rolling Thunder!\This is brutal!\Champion Smash!\Hey, Shizuku. response:	Tell me why you're ignoring me.
context: Hey!\Gotcha!\Here!\Rolling Thunder!\This is brutal!\Champion Smash!\Hey, Shizuku.\Tell me why you're ignoring me. response:	Fine.
context: Gotcha!\Here!\Rolling Thunder!\This is brutal!\Champion Smash!\Hey, Shizuku.\Tell me why you're ignoring me.\Fine. response:	When I'm with you, my chest hurts.
context: Here!\Rolling Thunder!\This is brutal!\Champion Smash!\Hey, Shizuku.\Tell me why you're ignoring me.\Fine.\When I'm with you, my chest hurts. response:	I can't focus on studying.
context: Rolling Thunder!\This is brutal!\Champion Smash!\Hey, Shizuku.\Tell me why you're ignoring me.\Fine.\When I'm with you, my chest hurts.\I can't focus on studying. response:	So, I don't want to see your face.
context: This is brutal!\Champion Smash!\Hey, Shizuku.\Tell me why you're ignoring me.\Fine.\When I'm with you, my chest hurts.\I can't focus on studying.\So, I don't want to see your face. response:	Huh?
context: Champion Smash!\Hey, Shizuku.\Tell me why you're ignoring me.\Fine.\When I'm with you, my chest hurts.\I can't focus on studying.\So, I don't want to see your face.\Huh? response:	Wait, wait, what?!
context: Hey, Shizuku.\Tell me why you're ignoring me.\Fine.\When I'm with you, my chest hurts.\I can't focus on studying.\So, I don't want to see your face.\Huh?\Wait, wait, what?! response:	Hold on!
context: Tell me why you're ignoring me.\Fine.\When I'm with you, my chest hurts.\I can't focus on studying.\So, I don't want to see your face.\Huh?\Wait, wait, what?!\Hold on! response:	She might as well be saying that she loves him!
context: Fine.\When I'm with you, my chest hurts.\I can't focus on studying.\So, I don't want to see your face.\Huh?\Wait, wait, what?!\Hold on!\She might as well be saying that she loves him! response:	But...
context: When I'm with you, my chest hurts.\I can't focus on studying.\So, I don't want to see your face.\Huh?\Wait, wait, what?!\Hold on!\She might as well be saying that she loves him!\But... response:	I guess even she feels those things...
context: I can't focus on studying.\So, I don't want to see your face.\Huh?\Wait, wait, what?!\Hold on!\She might as well be saying that she loves him!\But...\I guess even she feels those things... response:	Shouldn't you go to the nurse's office?
context: So, I don't want to see your face.\Huh?\Wait, wait, what?!\Hold on!\She might as well be saying that she loves him!\But...\I guess even she feels those things...\Shouldn't you go to the nurse's office? response:	Y-You've got it all wrong!
context: Huh?\Wait, wait, what?!\Hold on!\She might as well be saying that she loves him!\But...\I guess even she feels those things...\Shouldn't you go to the nurse's office?\Y-You've got it all wrong! response:	Th-That's not what Mizutani-san was trying to say!
context: Wait, wait, what?!\Hold on!\She might as well be saying that she loves him!\But...\I guess even she feels those things...\Shouldn't you go to the nurse's office?\Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say! response:	She wouldn't be hurting if she didn't care about you!
context: Hold on!\She might as well be saying that she loves him!\But...\I guess even she feels those things...\Shouldn't you go to the nurse's office?\Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you! response:	Why don't you understand that she was telling you she's worried?!
context: She might as well be saying that she loves him!\But...\I guess even she feels those things...\Shouldn't you go to the nurse's office?\Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?! response:	So! That's why you...
context: But...\I guess even she feels those things...\Shouldn't you go to the nurse's office?\Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?!\So! That's why you... response:	Do you...
context: I guess even she feels those things...\Shouldn't you go to the nurse's office?\Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?!\So! That's why you...\Do you... response:	Do you!
context: Shouldn't you go to the nurse's office?\Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?!\So! That's why you...\Do you...\Do you! response:	Have any balls?!
context: Y-You've got it all wrong!\Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?!\So! That's why you...\Do you...\Do you!\Have any balls?! response:	I do!
context: Th-That's not what Mizutani-san was trying to say!\She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?!\So! That's why you...\Do you...\Do you!\Have any balls?!\I do! response:	Don't I, Shizuku?
context: She wouldn't be hurting if she didn't care about you!\Why don't you understand that she was telling you she's worried?!\So! That's why you...\Do you...\Do you!\Have any balls?!\I do!\Don't I, Shizuku? response:	D-Don't ask me!
context: Why don't you understand that she was telling you she's worried?!\So! That's why you...\Do you...\Do you!\Have any balls?!\I do!\Don't I, Shizuku?\D-Don't ask me! response:	He did.
context: So! That's why you...\Do you...\Do you!\Have any balls?!\I do!\Don't I, Shizuku?\D-Don't ask me!\He did. response:	Oh, she ran away.
context: Do you...\Do you!\Have any balls?!\I do!\Don't I, Shizuku?\D-Don't ask me!\He did.\Oh, she ran away. response:	Haru-kun, you should go after her!
context: Do you!\Have any balls?!\I do!\Don't I, Shizuku?\D-Don't ask me!\He did.\Oh, she ran away.\Haru-kun, you should go after her! response:	What? Me?
context: Have any balls?!\I do!\Don't I, Shizuku?\D-Don't ask me!\He did.\Oh, she ran away.\Haru-kun, you should go after her!\What? Me? response:	Yes, hurry!
context: I do!\Don't I, Shizuku?\D-Don't ask me!\He did.\Oh, she ran away.\Haru-kun, you should go after her!\What? Me?\Yes, hurry! response:	Why does nothing go right?
context: Don't I, Shizuku?\D-Don't ask me!\He did.\Oh, she ran away.\Haru-kun, you should go after her!\What? Me?\Yes, hurry!\Why does nothing go right? response:	I want to go back to middle school.
context: D-Don't ask me!\He did.\Oh, she ran away.\Haru-kun, you should go after her!\What? Me?\Yes, hurry!\Why does nothing go right?\I want to go back to middle school. response:	You okay?
context: He did.\Oh, she ran away.\Haru-kun, you should go after her!\What? Me?\Yes, hurry!\Why does nothing go right?\I want to go back to middle school.\You okay? response:	Uh-huh, I-I'm okay.
context: Oh, she ran away.\Haru-kun, you should go after her!\What? Me?\Yes, hurry!\Why does nothing go right?\I want to go back to middle school.\You okay?\Uh-huh, I-I'm okay. response:	Yeah, I was just moping by myself.
context: Haru-kun, you should go after her!\What? Me?\Yes, hurry!\Why does nothing go right?\I want to go back to middle school.\You okay?\Uh-huh, I-I'm okay.\Yeah, I was just moping by myself. response:	I'm no expert,
