context: This is the first meeting of the Council of 101 in ten years. response:	Members of the Council. Why have you brought us here?
context: I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I...\Haruto...\As time passes, their popularity will wane and the masses will lose interest. response:	No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.
context: It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I...\Haruto...\As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender. response:	Is that what Captain Cain said?
context: It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I...\Haruto...\As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said? response:	You've been in a worse mood than usual lately.
context: Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I...\Haruto...\As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said?\You've been in a worse mood than usual lately. response:	Did something happen between you two when we stole the Valvrave?
context: It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I...\Haruto...\As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said?\You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave? response:	Look, X...
context: I can't let anything like that happen again... So I...\Haruto...\As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said?\You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave?\Look, X... response:	At this point, you and I are the only two left of our classmates.
context: Haruto...\As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said?\You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave?\Look, X...\At this point, you and I are the only two left of our classmates. response:	I suppose we are.
context: As time passes, their popularity will wane and the masses will lose interest.\No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said?\You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave?\Look, X...\At this point, you and I are the only two left of our classmates.\I suppose we are. response:	Therefore...
context: No matter how powerful their weapons, cut their supply lines, and they'll have to surrender.\Is that what Captain Cain said?\You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave?\Look, X...\At this point, you and I are the only two left of our classmates.\I suppose we are.\Therefore... response:	We owe everything we are to Captain Cain.
context: Is that what Captain Cain said?\You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave?\Look, X...\At this point, you and I are the only two left of our classmates.\I suppose we are.\Therefore...\We owe everything we are to Captain Cain. response:	Just because we're going to Earth doesn't mean we'll be fighting.
context: You've been in a worse mood than usual lately.\Did something happen between you two when we stole the Valvrave?\Look, X...\At this point, you and I are the only two left of our classmates.\I suppose we are.\Therefore...\We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting. response:	Like L-elf said, this is a force reconnaissance.
context: Did something happen between you two when we stole the Valvrave?\Look, X...\At this point, you and I are the only two left of our classmates.\I suppose we are.\Therefore...\We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance. response:	Still...
context: Look, X...\At this point, you and I are the only two left of our classmates.\I suppose we are.\Therefore...\We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance.\Still... response:	President, if you see our families, please tell them we're doing fine.
context: At this point, you and I are the only two left of our classmates.\I suppose we are.\Therefore...\We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance.\Still...\President, if you see our families, please tell them we're doing fine. response:	Takahi, you look wonderful!
context: I suppose we are.\Therefore...\We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance.\Still...\President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful! response:	These are the uniforms that you all made for us. We'll wear them with pride.
context: Therefore...\We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance.\Still...\President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride. response:	It wasn't right for you to wear regular school uniforms.
context: We owe everything we are to Captain Cain.\Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance.\Still...\President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms. response:	Make sure you come back no matter what, okay?
context: Just because we're going to Earth doesn't mean we'll be fighting.\Like L-elf said, this is a force reconnaissance.\Still...\President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay? response:	Madam Prime Minister. It's time for the sendoff.
context: Like L-elf said, this is a force reconnaissance.\Still...\President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff. response:	People are friendly, but countries are something else entirely.
context: Still...\President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely. response:	It's not that simple.
context: President, if you see our families, please tell them we're doing fine.\Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely.\It's not that simple. response:	That's part of the reason for this Earthfall operation.
context: Takahi, you look wonderful!\These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely.\It's not that simple.\That's part of the reason for this Earthfall operation. response:	Conducting a force recon mission inside JIOR demonstrates
context: These are the uniforms that you all made for us. We'll wear them with pride.\It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely.\It's not that simple.\That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates response:	that this country has the will to employ military force.
context: It wasn't right for you to wear regular school uniforms.\Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely.\It's not that simple.\That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force. response:	Pressure is needed during negotiations. The operation will...
context: Make sure you come back no matter what, okay?\Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely.\It's not that simple.\That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will... response:	Your dinner?
context: Madam Prime Minister. It's time for the sendoff.\People are friendly, but countries are something else entirely.\It's not that simple.\That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will...\Your dinner? response:	Simple, the way you like it, right?
context: People are friendly, but countries are something else entirely.\It's not that simple.\That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will...\Your dinner?\Simple, the way you like it, right? response:	Take supplements with it. They taste good, I'll give you that, but they're just...
context: It's not that simple.\That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will...\Your dinner?\Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just... response:	You're worried about me?
context: That's part of the reason for this Earthfall operation.\Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will...\Your dinner?\Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me? response:	It's a key government figure's duty to maintain her health.
context: Conducting a force recon mission inside JIOR demonstrates\that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will...\Your dinner?\Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me?\It's a key government figure's duty to maintain her health. response:	After we've gone down to Earth, it will be necessary to hold Module 77 together.
context: that this country has the will to employ military force.\Pressure is needed during negotiations. The operation will...\Your dinner?\Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me?\It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together. response:	You can count on me.
context: Pressure is needed during negotiations. The operation will...\Your dinner?\Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me?\It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me. response:	I'll make sure that you all have a place to come home to.
context: Your dinner?\Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me?\It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me.\I'll make sure that you all have a place to come home to. response:	That's my battle.
context: Simple, the way you like it, right?\Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me?\It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me.\I'll make sure that you all have a place to come home to.\That's my battle. response:	Oh, I get it. You sold the naming rights?
context: Take supplements with it. They taste good, I'll give you that, but they're just...\You're worried about me?\It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me.\I'll make sure that you all have a place to come home to.\That's my battle.\Oh, I get it. You sold the naming rights? response:	What the hell is that?
context: You're worried about me?\It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me.\I'll make sure that you all have a place to come home to.\That's my battle.\Oh, I get it. You sold the naming rights?\What the hell is that? response:	If I name this thing Beast High, I get money from the company.
context: It's a key government figure's duty to maintain her health.\After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me.\I'll make sure that you all have a place to come home to.\That's my battle.\Oh, I get it. You sold the naming rights?\What the hell is that?\If I name this thing Beast High, I get money from the company. response:	Man, you really do love money, don't you?
context: After we've gone down to Earth, it will be necessary to hold Module 77 together.\You can count on me.\I'll make sure that you all have a place to come home to.\That's my battle.\Oh, I get it. You sold the naming rights?\What the hell is that?\If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you? response:	What are you talking about?
context: You can count on me.\I'll make sure that you all have a place to come home to.\That's my battle.\Oh, I get it. You sold the naming rights?\What the hell is that?\If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you?\What are you talking about? response:	The beast within you will awaken!
context: I'll make sure that you all have a place to come home to.\That's my battle.\Oh, I get it. You sold the naming rights?\What the hell is that?\If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you?\What are you talking about?\The beast within you will awaken! response:	Beast High. You know, like in the commercials.
context: That's my battle.\Oh, I get it. You sold the naming rights?\What the hell is that?\If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you?\What are you talking about?\The beast within you will awaken!\Beast High. You know, like in the commercials. response:	Energy drink Beast High, now on sale!
context: Oh, I get it. You sold the naming rights?\What the hell is that?\If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you?\What are you talking about?\The beast within you will awaken!\Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale! response:	The beast within you will awaken!
context: What the hell is that?\If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you?\What are you talking about?\The beast within you will awaken!\Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale!\The beast within you will awaken! response:	Never heard of it.
context: If I name this thing Beast High, I get money from the company.\Man, you really do love money, don't you?\What are you talking about?\The beast within you will awaken!\Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale!\The beast within you will awaken!\Never heard of it. response:	Really? But it was totally popular!
context: Man, you really do love money, don't you?\What are you talking about?\The beast within you will awaken!\Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale!\The beast within you will awaken!\Never heard of it.\Really? But it was totally popular! response:	Haruto.
context: What are you talking about?\The beast within you will awaken!\Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale!\The beast within you will awaken!\Never heard of it.\Really? But it was totally popular!\Haruto. response:	Time to leave already?
context: The beast within you will awaken!\Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale!\The beast within you will awaken!\Never heard of it.\Really? But it was totally popular!\Haruto.\Time to leave already? response:	Do you seriously plan to go in that condition?
context: Beast High. You know, like in the commercials.\Energy drink Beast High, now on sale!\The beast within you will awaken!\Never heard of it.\Really? But it was totally popular!\Haruto.\Time to leave already?\Do you seriously plan to go in that condition? response:	I'll be fine. I'll stay in the cockpit the whole time.
context: Energy drink Beast High, now on sale!\The beast within you will awaken!\Never heard of it.\Really? But it was totally popular!\Haruto.\Time to leave already?\Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time. response:	Haruto!
context: The beast within you will awaken!\Never heard of it.\Really? But it was totally popular!\Haruto.\Time to leave already?\Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time.\Haruto! response:	That's crazy... It's because I've been cooped up in here for so long.
context: Never heard of it.\Really? But it was totally popular!\Haruto.\Time to leave already?\Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time.\Haruto!\That's crazy... It's because I've been cooped up in here for so long. response:	See? I'm perfectly fine.
context: Really? But it was totally popular!\Haruto.\Time to leave already?\Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time.\Haruto!\That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine. response:	I don't understand why, but I could tell.
context: Haruto.\Time to leave already?\Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time.\Haruto!\That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine.\I don't understand why, but I could tell. response:	After you and I... You felt better, right?
context: Time to leave already?\Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time.\Haruto!\That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine.\I don't understand why, but I could tell.\After you and I... You felt better, right? response:	If I ever have an attack, I want you to do the same for me.
context: Do you seriously plan to go in that condition?\I'll be fine. I'll stay in the cockpit the whole time.\Haruto!\That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine.\I don't understand why, but I could tell.\After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me. response:	I can't!
context: I'll be fine. I'll stay in the cockpit the whole time.\Haruto!\That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine.\I don't understand why, but I could tell.\After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me.\I can't! response:	Haruto!
context: Haruto!\That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine.\I don't understand why, but I could tell.\After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me.\I can't!\Haruto! response:	We're counting on you. Everyone's worried about their families.
context: That's crazy... It's because I've been cooped up in here for so long.\See? I'm perfectly fine.\I don't understand why, but I could tell.\After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me.\I can't!\Haruto!\We're counting on you. Everyone's worried about their families. response:	Have you told Haruto how you feel?
context: See? I'm perfectly fine.\I don't understand why, but I could tell.\After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me.\I can't!\Haruto!\We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel? response:	No. This is a bad time.
context: I don't understand why, but I could tell.\After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me.\I can't!\Haruto!\We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel?\No. This is a bad time. response:	You put your own interests on the back burner.
context: After you and I... You felt better, right?\If I ever have an attack, I want you to do the same for me.\I can't!\Haruto!\We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel?\No. This is a bad time.\You put your own interests on the back burner. response:	Dad said you have to do that when you're prime minister.
context: If I ever have an attack, I want you to do the same for me.\I can't!\Haruto!\We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel?\No. This is a bad time.\You put your own interests on the back burner.\Dad said you have to do that when you're prime minister. response:	Saki Rukino?
context: I can't!\Haruto!\We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel?\No. This is a bad time.\You put your own interests on the back burner.\Dad said you have to do that when you're prime minister.\Saki Rukino? response:	Is Haruto there with you?
context: Haruto!\We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel?\No. This is a bad time.\You put your own interests on the back burner.\Dad said you have to do that when you're prime minister.\Saki Rukino?\Is Haruto there with you? response:	No, has something happened to Haruto Tokushima?
context: We're counting on you. Everyone's worried about their families.\Have you told Haruto how you feel?\No. This is a bad time.\You put your own interests on the back burner.\Dad said you have to do that when you're prime minister.\Saki Rukino?\Is Haruto there with you?\No, has something happened to Haruto Tokushima? response:	He gave me the slip. I don't think he can get far in his condition, though.
context: Have you told Haruto how you feel?\No. This is a bad time.\You put your own interests on the back burner.\Dad said you have to do that when you're prime minister.\Saki Rukino?\Is Haruto there with you?\No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though. response:	Did something happen to Haruto?
context: No. This is a bad time.\You put your own interests on the back burner.\Dad said you have to do that when you're prime minister.\Saki Rukino?\Is Haruto there with you?\No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto? response:	The colors, they...
context: You put your own interests on the back burner.\Dad said you have to do that when you're prime minister.\Saki Rukino?\Is Haruto there with you?\No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto?\The colors, they... response:	What's going on, Professor?!
context: Dad said you have to do that when you're prime minister.\Saki Rukino?\Is Haruto there with you?\No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto?\The colors, they...\What's going on, Professor?! response:	What in the world?
context: Saki Rukino?\Is Haruto there with you?\No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto?\The colors, they...\What's going on, Professor?!\What in the world? response:	It's not moving. Why?
context: Is Haruto there with you?\No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto?\The colors, they...\What's going on, Professor?!\What in the world?\It's not moving. Why? response:	The Runes have been depleted?
context: No, has something happened to Haruto Tokushima?\He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto?\The colors, they...\What's going on, Professor?!\What in the world?\It's not moving. Why?\The Runes have been depleted? response:	If I can just... get into my cockpit at the harbor...
context: He gave me the slip. I don't think he can get far in his condition, though.\Did something happen to Haruto?\The colors, they...\What's going on, Professor?!\What in the world?\It's not moving. Why?\The Runes have been depleted?\If I can just... get into my cockpit at the harbor... response:	Haruto Tokishima.
context: Did something happen to Haruto?\The colors, they...\What's going on, Professor?!\What in the world?\It's not moving. Why?\The Runes have been depleted?\If I can just... get into my cockpit at the harbor...\Haruto Tokishima. response:	How did you?
context: The colors, they...\What's going on, Professor?!\What in the world?\It's not moving. Why?\The Runes have been depleted?\If I can just... get into my cockpit at the harbor...\Haruto Tokishima.\How did you? response:	During your physical the other day, I had a transmitter injected into your body.
context: What's going on, Professor?!\What in the world?\It's not moving. Why?\The Runes have been depleted?\If I can just... get into my cockpit at the harbor...\Haruto Tokishima.\How did you?\During your physical the other day, I had a transmitter injected into your body. response:	Classic you.
context: What in the world?\It's not moving. Why?\The Runes have been depleted?\If I can just... get into my cockpit at the harbor...\Haruto Tokishima.\How did you?\During your physical the other day, I had a transmitter injected into your body.\Classic you. response:	Take me to Unit 1. I can't walk straight anymore.
context: It's not moving. Why?\The Runes have been depleted?\If I can just... get into my cockpit at the harbor...\Haruto Tokishima.\How did you?\During your physical the other day, I had a transmitter injected into your body.\Classic you.\Take me to Unit 1. I can't walk straight anymore. response:	The Valvraves have all shut down completely. It's related to you.
context: The Runes have been depleted?\If I can just... get into my cockpit at the harbor...\Haruto Tokishima.\How did you?\During your physical the other day, I had a transmitter injected into your body.\Classic you.\Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you. response:	They've what?!
context: If I can just... get into my cockpit at the harbor...\Haruto Tokishima.\How did you?\During your physical the other day, I had a transmitter injected into your body.\Classic you.\Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you.\They've what?! response:	They're out of energy.
context: Haruto Tokishima.\How did you?\During your physical the other day, I had a transmitter injected into your body.\Classic you.\Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you.\They've what?!\They're out of energy. response:	Now that you mention it, we've never charged them or anything.
context: How did you?\During your physical the other day, I had a transmitter injected into your body.\Classic you.\Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you.\They've what?!\They're out of energy.\Now that you mention it, we've never charged them or anything. response:	Despite their size, the Valvraves have power that exceeds that of a warship.
context: During your physical the other day, I had a transmitter injected into your body.\Classic you.\Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you.\They've what?!\They're out of energy.\Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship. response:	However, they do not run on any conventional power source.
context: Classic you.\Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you.\They've what?!\They're out of energy.\Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source. response:	The Valvraves are powered by Runes.
context: Take me to Unit 1. I can't walk straight anymore.\The Valvraves have all shut down completely. It's related to you.\They've what?!\They're out of energy.\Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source.\The Valvraves are powered by Runes. response:	Runes?
context: The Valvraves have all shut down completely. It's related to you.\They've what?!\They're out of energy.\Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source.\The Valvraves are powered by Runes.\Runes? response:	Elementary information particles that are unobservable to humanity.
context: They've what?!\They're out of energy.\Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source.\The Valvraves are powered by Runes.\Runes?\Elementary information particles that are unobservable to humanity. response:	Information's elementary building blocks. That's what Runes are.
context: They're out of energy.\Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source.\The Valvraves are powered by Runes.\Runes?\Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are. response:	Just as matter is composed of atoms, all information is made up of Runes.
context: Now that you mention it, we've never charged them or anything.\Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source.\The Valvraves are powered by Runes.\Runes?\Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes. response:	This is just a conjecture from here on out,
context: Despite their size, the Valvraves have power that exceeds that of a warship.\However, they do not run on any conventional power source.\The Valvraves are powered by Runes.\Runes?\Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out, response:	but this includes DNA, speech, emotions, and memories.
context: However, they do not run on any conventional power source.\The Valvraves are powered by Runes.\Runes?\Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories. response:	The thing that contains the most Runes...
context: The Valvraves are powered by Runes.\Runes?\Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes... response:	is a human being.
context: Runes?\Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes...\is a human being. response:	I don't believe it... I attack humans too.
context: Elementary information particles that are unobservable to humanity.\Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes...\is a human being.\I don't believe it... I attack humans too. response:	I suspect that you are gathering Runes for the Valvraves.
context: Information's elementary building blocks. That's what Runes are.\Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes...\is a human being.\I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves. response:	But that means...
context: Just as matter is composed of atoms, all information is made up of Runes.\This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes...\is a human being.\I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves.\But that means... response:	I'll go on attacking people...
context: This is just a conjecture from here on out,\but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes...\is a human being.\I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves.\But that means...\I'll go on attacking people... response:	The pact has already been forged.
context: but this includes DNA, speech, emotions, and memories.\The thing that contains the most Runes...\is a human being.\I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves.\But that means...\I'll go on attacking people...\The pact has already been forged. response:	You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.
context: The thing that contains the most Runes...\is a human being.\I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves.\But that means...\I'll go on attacking people...\The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life. response:	Forget it! I don't want to hurt
context: is a human being.\I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves.\But that means...\I'll go on attacking people...\The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt response:	Is that so?
context: I don't believe it... I attack humans too.\I suspect that you are gathering Runes for the Valvraves.\But that means...\I'll go on attacking people...\The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt\Is that so? response:	Die, then.
context: I suspect that you are gathering Runes for the Valvraves.\But that means...\I'll go on attacking people...\The pact has already been forged.\You're now bound by blood to the Valvraves. A being based on the sacrifice of human life.\Forget it! I don't want to hurt\Is that so?\Die, then. response:	Kamitsuki or not, I suspect that you will die if I separate your head from your body.
