context: The High School National Ogura Hundred Poets Karuta Championship begins. response:	We'll win every match
context: Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba.\It's a strange feeling.\Have I been infected by Chihaya's greed?\I want us to become number one in Japan together.\There it is!\Is this...\Don't tell me that... response:	No way...
context: I believe we were matched up with a school from Chiba.\It's a strange feeling.\Have I been infected by Chihaya's greed?\I want us to become number one in Japan together.\There it is!\Is this...\Don't tell me that...\No way... response:	Huh?
context: It's a strange feeling.\Have I been infected by Chihaya's greed?\I want us to become number one in Japan together.\There it is!\Is this...\Don't tell me that...\No way...\Huh? response:	Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan
context: Have I been infected by Chihaya's greed?\I want us to become number one in Japan together.\There it is!\Is this...\Don't tell me that...\No way...\Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan response:	Um...
context: I want us to become number one in Japan together.\There it is!\Is this...\Don't tell me that...\No way...\Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um... response:	In group C, I need to pay attention to...
context: There it is!\Is this...\Don't tell me that...\No way...\Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um...\In group C, I need to pay attention to... response:	the First Akashi Girls' School from Hyogo.
context: Is this...\Don't tell me that...\No way...\Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um...\In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo. response:	Make sure you pay extra close attention to the third-year Ousaka Megumu!
context: Don't tell me that...\No way...\Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um...\In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu! response:	Is she really that special?
context: No way...\Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um...\In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special? response:	She was the west representative in last year's Queen match.
context: Huh?\Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um...\In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special?\She was the west representative in last year's Queen match. response:	She lost a close match to Yumin,
context: Chiba International School of Information Sciences Napa Payakaroon Rachel Port Anthony Sorb Park Kyung Seo Matt Rowan\Um...\In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special?\She was the west representative in last year's Queen match.\She lost a close match to Yumin, response:	Yumin?
context: Um...\In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special?\She was the west representative in last year's Queen match.\She lost a close match to Yumin,\Yumin? response:	but she's still the strongest girl in west Japan.
context: In group C, I need to pay attention to...\the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special?\She was the west representative in last year's Queen match.\She lost a close match to Yumin,\Yumin?\but she's still the strongest girl in west Japan. response:	Okay...
context: the First Akashi Girls' School from Hyogo.\Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special?\She was the west representative in last year's Queen match.\She lost a close match to Yumin,\Yumin?\but she's still the strongest girl in west Japan.\Okay... response:	But how can I tell who's who?
context: Make sure you pay extra close attention to the third-year Ousaka Megumu!\Is she really that special?\She was the west representative in last year's Queen match.\She lost a close match to Yumin,\Yumin?\but she's still the strongest girl in west Japan.\Okay...\But how can I tell who's who? response:	For now, I'll put that they're all ordinary-looking.
context: Is she really that special?\She was the west representative in last year's Queen match.\She lost a close match to Yumin,\Yumin?\but she's still the strongest girl in west Japan.\Okay...\But how can I tell who's who?\For now, I'll put that they're all ordinary-looking. response:	Oh, excuse me.
context: She was the west representative in last year's Queen match.\She lost a close match to Yumin,\Yumin?\but she's still the strongest girl in west Japan.\Okay...\But how can I tell who's who?\For now, I'll put that they're all ordinary-looking.\Oh, excuse me. response:	Sorry!
context: She lost a close match to Yumin,\Yumin?\but she's still the strongest girl in west Japan.\Okay...\But how can I tell who's who?\For now, I'll put that they're all ordinary-looking.\Oh, excuse me.\Sorry! response:	I got the quick energy boost you wanted.
context: Yumin?\but she's still the strongest girl in west Japan.\Okay...\But how can I tell who's who?\For now, I'll put that they're all ordinary-looking.\Oh, excuse me.\Sorry!\I got the quick energy boost you wanted. response:	Thanks, Megumu.
context: but she's still the strongest girl in west Japan.\Okay...\But how can I tell who's who?\For now, I'll put that they're all ordinary-looking.\Oh, excuse me.\Sorry!\I got the quick energy boost you wanted.\Thanks, Megumu. response:	Megumu?
context: Okay...\But how can I tell who's who?\For now, I'll put that they're all ordinary-looking.\Oh, excuse me.\Sorry!\I got the quick energy boost you wanted.\Thanks, Megumu.\Megumu? response:	I'm so thirsty.
context: But how can I tell who's who?\For now, I'll put that they're all ordinary-looking.\Oh, excuse me.\Sorry!\I got the quick energy boost you wanted.\Thanks, Megumu.\Megumu?\I'm so thirsty. response:	Here.
context: For now, I'll put that they're all ordinary-looking.\Oh, excuse me.\Sorry!\I got the quick energy boost you wanted.\Thanks, Megumu.\Megumu?\I'm so thirsty.\Here. response:	Energy boost...
context: Oh, excuse me.\Sorry!\I got the quick energy boost you wanted.\Thanks, Megumu.\Megumu?\I'm so thirsty.\Here.\Energy boost... response:	Did something run out of power?
context: Sorry!\I got the quick energy boost you wanted.\Thanks, Megumu.\Megumu?\I'm so thirsty.\Here.\Energy boost...\Did something run out of power? response:	Y-Yeah... Thanks...
context: I got the quick energy boost you wanted.\Thanks, Megumu.\Megumu?\I'm so thirsty.\Here.\Energy boost...\Did something run out of power?\Y-Yeah... Thanks... response:	Ousaka Megumu is ordinary-looking and an airhead.
context: Thanks, Megumu.\Megumu?\I'm so thirsty.\Here.\Energy boost...\Did something run out of power?\Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead. response:	Megumu-tan! You're adorable as always!
context: Megumu?\I'm so thirsty.\Here.\Energy boost...\Did something run out of power?\Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always! response:	Megumu-tan?!
context: I'm so thirsty.\Here.\Energy boost...\Did something run out of power?\Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always!\Megumu-tan?! response:	I've got the best seat in the house!
context: Here.\Energy boost...\Did something run out of power?\Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always!\Megumu-tan?!\I've got the best seat in the house! response:	Hey, is that a new model?!
context: Energy boost...\Did something run out of power?\Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always!\Megumu-tan?!\I've got the best seat in the house!\Hey, is that a new model?! response:	This guarantees that I'll capture Megu-tan's beautiful karuta!
context: Did something run out of power?\Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always!\Megumu-tan?!\I've got the best seat in the house!\Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta! response:	She's ordinary-looking, an airhead, and popular?!
context: Y-Yeah... Thanks...\Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always!\Megumu-tan?!\I've got the best seat in the house!\Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?! response:	I'm a little shocked...
context: Ousaka Megumu is ordinary-looking and an airhead.\Megumu-tan! You're adorable as always!\Megumu-tan?!\I've got the best seat in the house!\Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?!\I'm a little shocked... response:	Moreover, she's popular with old-school freaks!
context: Megumu-tan! You're adorable as always!\Megumu-tan?!\I've got the best seat in the house!\Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?!\I'm a little shocked...\Moreover, she's popular with old-school freaks! response:	The three cameramen with glasses are back again.
context: Megumu-tan?!\I've got the best seat in the house!\Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?!\I'm a little shocked...\Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again. response:	We only recently got them to silence the shutter sound during matches.
context: I've got the best seat in the house!\Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?!\I'm a little shocked...\Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches. response:	They're a pain.
context: Hey, is that a new model?!\This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?!\I'm a little shocked...\Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches.\They're a pain. response:	I know. I wish we could dump them in an incinerator.
context: This guarantees that I'll capture Megu-tan's beautiful karuta!\She's ordinary-looking, an airhead, and popular?!\I'm a little shocked...\Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches.\They're a pain.\I know. I wish we could dump them in an incinerator. response:	Swoon!
context: She's ordinary-looking, an airhead, and popular?!\I'm a little shocked...\Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches.\They're a pain.\I know. I wish we could dump them in an incinerator.\Swoon! response:	She's ordinary-looking, an airhead, popular, and sharp-tongued?!
context: I'm a little shocked...\Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches.\They're a pain.\I know. I wish we could dump them in an incinerator.\Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?! response:	Swoon! Swoon!
context: Moreover, she's popular with old-school freaks!\The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches.\They're a pain.\I know. I wish we could dump them in an incinerator.\Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon! response:	Okay, let's do the best we can.
context: The three cameramen with glasses are back again.\We only recently got them to silence the shutter sound during matches.\They're a pain.\I know. I wish we could dump them in an incinerator.\Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon!\Okay, let's do the best we can. response:	Yes!
context: We only recently got them to silence the shutter sound during matches.\They're a pain.\I know. I wish we could dump them in an incinerator.\Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon!\Okay, let's do the best we can.\Yes! response:	I'm so confused,
context: They're a pain.\I know. I wish we could dump them in an incinerator.\Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon!\Okay, let's do the best we can.\Yes!\I'm so confused, response:	but there's a lot more to female karuta players than meets the eye.
context: I know. I wish we could dump them in an incinerator.\Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon!\Okay, let's do the best we can.\Yes!\I'm so confused,\but there's a lot more to female karuta players than meets the eye. response:	Groups E and F are in the hall by the main office.
context: Swoon!\She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon!\Okay, let's do the best we can.\Yes!\I'm so confused,\but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office. response:	The team that we must watch carefully...
context: She's ordinary-looking, an airhead, popular, and sharp-tongued?!\Swoon! Swoon!\Okay, let's do the best we can.\Yes!\I'm so confused,\but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office.\The team that we must watch carefully... response:	The team we must watch...
context: Swoon! Swoon!\Okay, let's do the best we can.\Yes!\I'm so confused,\but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office.\The team that we must watch carefully...\The team we must watch... response:	is last year's champion, Fujisaki High School.
context: Okay, let's do the best we can.\Yes!\I'm so confused,\but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office.\The team that we must watch carefully...\The team we must watch...\is last year's champion, Fujisaki High School. response:	They've won the championship 13 times.
context: Yes!\I'm so confused,\but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office.\The team that we must watch carefully...\The team we must watch...\is last year's champion, Fujisaki High School.\They've won the championship 13 times. response:	With over 50 members and a long tradition,
context: I'm so confused,\but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office.\The team that we must watch carefully...\The team we must watch...\is last year's champion, Fujisaki High School.\They've won the championship 13 times.\With over 50 members and a long tradition, response:	they're the greatest obstacle in our path.
context: but there's a lot more to female karuta players than meets the eye.\Groups E and F are in the hall by the main office.\The team that we must watch carefully...\The team we must watch...\is last year's champion, Fujisaki High School.\They've won the championship 13 times.\With over 50 members and a long tradition,\they're the greatest obstacle in our path. response:	I have to collect as much data as I can.
context: Groups E and F are in the hall by the main office.\The team that we must watch carefully...\The team we must watch...\is last year's champion, Fujisaki High School.\They've won the championship 13 times.\With over 50 members and a long tradition,\they're the greatest obstacle in our path.\I have to collect as much data as I can. response:	The first match for group B is about to start.
context: The team that we must watch carefully...\The team we must watch...\is last year's champion, Fujisaki High School.\They've won the championship 13 times.\With over 50 members and a long tradition,\they're the greatest obstacle in our path.\I have to collect as much data as I can.\The first match for group B is about to start. response:	Will they be okay?
context: The team we must watch...\is last year's champion, Fujisaki High School.\They've won the championship 13 times.\With over 50 members and a long tradition,\they're the greatest obstacle in our path.\I have to collect as much data as I can.\The first match for group B is about to start.\Will they be okay? response:	Mizusawa High
context: is last year's champion, Fujisaki High School.\They've won the championship 13 times.\With over 50 members and a long tradition,\they're the greatest obstacle in our path.\I have to collect as much data as I can.\The first match for group B is about to start.\Will they be okay?\Mizusawa High response:	Chiba International High School of Information Sciences
context: They've won the championship 13 times.\With over 50 members and a long tradition,\they're the greatest obstacle in our path.\I have to collect as much data as I can.\The first match for group B is about to start.\Will they be okay?\Mizusawa High\Chiba International High School of Information Sciences response:	Their first opponent,
context: With over 50 members and a long tradition,\they're the greatest obstacle in our path.\I have to collect as much data as I can.\The first match for group B is about to start.\Will they be okay?\Mizusawa High\Chiba International High School of Information Sciences\Their first opponent, response:	Chiba International High School of Information Sciences, is new to karuta,
context: they're the greatest obstacle in our path.\I have to collect as much data as I can.\The first match for group B is about to start.\Will they be okay?\Mizusawa High\Chiba International High School of Information Sciences\Their first opponent,\Chiba International High School of Information Sciences, is new to karuta, response:	so I couldn't find any data.
context: I have to collect as much data as I can.\The first match for group B is about to start.\Will they be okay?\Mizusawa High\Chiba International High School of Information Sciences\Their first opponent,\Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data. response:	Karuta's never been big in Chiba,
context: The first match for group B is about to start.\Will they be okay?\Mizusawa High\Chiba International High School of Information Sciences\Their first opponent,\Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data.\Karuta's never been big in Chiba, response:	so it should be easy for them to win.
context: Will they be okay?\Mizusawa High\Chiba International High School of Information Sciences\Their first opponent,\Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data.\Karuta's never been big in Chiba,\so it should be easy for them to win. response:	Wh-What should I do?!
context: Mizusawa High\Chiba International High School of Information Sciences\Their first opponent,\Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data.\Karuta's never been big in Chiba,\so it should be easy for them to win.\Wh-What should I do?! response:	I've never been so close to a foreigner before!
context: Chiba International High School of Information Sciences\Their first opponent,\Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data.\Karuta's never been big in Chiba,\so it should be easy for them to win.\Wh-What should I do?!\I've never been so close to a foreigner before! response:	What should I do?
context: Their first opponent,\Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data.\Karuta's never been big in Chiba,\so it should be easy for them to win.\Wh-What should I do?!\I've never been so close to a foreigner before!\What should I do? response:	Are we really playing against these guys?!
context: Chiba International High School of Information Sciences, is new to karuta,\so I couldn't find any data.\Karuta's never been big in Chiba,\so it should be easy for them to win.\Wh-What should I do?!\I've never been so close to a foreigner before!\What should I do?\Are we really playing against these guys?! response:	Can they play karuta?!
context: so I couldn't find any data.\Karuta's never been big in Chiba,\so it should be easy for them to win.\Wh-What should I do?!\I've never been so close to a foreigner before!\What should I do?\Are we really playing against these guys?!\Can they play karuta?! response:	Can they understand Japanese?!
context: Karuta's never been big in Chiba,\so it should be easy for them to win.\Wh-What should I do?!\I've never been so close to a foreigner before!\What should I do?\Are we really playing against these guys?!\Can they play karuta?!\Can they understand Japanese?! response:	The foreigners are wearing hakama,
context: so it should be easy for them to win.\Wh-What should I do?!\I've never been so close to a foreigner before!\What should I do?\Are we really playing against these guys?!\Can they play karuta?!\Can they understand Japanese?!\The foreigners are wearing hakama, response:	while we're wearing T-shirts...
context: Wh-What should I do?!\I've never been so close to a foreigner before!\What should I do?\Are we really playing against these guys?!\Can they play karuta?!\Can they understand Japanese?!\The foreigners are wearing hakama,\while we're wearing T-shirts... response:	I'm so ashamed!
context: I've never been so close to a foreigner before!\What should I do?\Are we really playing against these guys?!\Can they play karuta?!\Can they understand Japanese?!\The foreigners are wearing hakama,\while we're wearing T-shirts...\I'm so ashamed! response:	What do I do?
context: What should I do?\Are we really playing against these guys?!\Can they play karuta?!\Can they understand Japanese?!\The foreigners are wearing hakama,\while we're wearing T-shirts...\I'm so ashamed!\What do I do? response:	Everyone's thrown off...
context: Are we really playing against these guys?!\Can they play karuta?!\Can they understand Japanese?!\The foreigners are wearing hakama,\while we're wearing T-shirts...\I'm so ashamed!\What do I do?\Everyone's thrown off... response:	But...
context: Can they play karuta?!\Can they understand Japanese?!\The foreigners are wearing hakama,\while we're wearing T-shirts...\I'm so ashamed!\What do I do?\Everyone's thrown off...\But... response:	The biggest question is why you're crying!
context: Can they understand Japanese?!\The foreigners are wearing hakama,\while we're wearing T-shirts...\I'm so ashamed!\What do I do?\Everyone's thrown off...\But...\The biggest question is why you're crying! response:	It's impressive that there are so many people playing karuta.
context: The foreigners are wearing hakama,\while we're wearing T-shirts...\I'm so ashamed!\What do I do?\Everyone's thrown off...\But...\The biggest question is why you're crying!\It's impressive that there are so many people playing karuta. response:	No one wears hakama except us,
context: while we're wearing T-shirts...\I'm so ashamed!\What do I do?\Everyone's thrown off...\But...\The biggest question is why you're crying!\It's impressive that there are so many people playing karuta.\No one wears hakama except us, response:	but it's lucky to be notable.
context: I'm so ashamed!\What do I do?\Everyone's thrown off...\But...\The biggest question is why you're crying!\It's impressive that there are so many people playing karuta.\No one wears hakama except us,\but it's lucky to be notable. response:	Without hakama, we are the most noticeable.
context: What do I do?\Everyone's thrown off...\But...\The biggest question is why you're crying!\It's impressive that there are so many people playing karuta.\No one wears hakama except us,\but it's lucky to be notable.\Without hakama, we are the most noticeable. response:	That's right!
context: Everyone's thrown off...\But...\The biggest question is why you're crying!\It's impressive that there are so many people playing karuta.\No one wears hakama except us,\but it's lucky to be notable.\Without hakama, we are the most noticeable.\That's right! response:	Let's make a bet the most card!
context: But...\The biggest question is why you're crying!\It's impressive that there are so many people playing karuta.\No one wears hakama except us,\but it's lucky to be notable.\Without hakama, we are the most noticeable.\That's right!\Let's make a bet the most card! response:	Karuta has become a global game like poker and Othello!
context: The biggest question is why you're crying!\It's impressive that there are so many people playing karuta.\No one wears hakama except us,\but it's lucky to be notable.\Without hakama, we are the most noticeable.\That's right!\Let's make a bet the most card!\Karuta has become a global game like poker and Othello! response:	Ignoring Chihaya for now, I need to calm the others down.
context: It's impressive that there are so many people playing karuta.\No one wears hakama except us,\but it's lucky to be notable.\Without hakama, we are the most noticeable.\That's right!\Let's make a bet the most card!\Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down. response:	Forgive me,
context: No one wears hakama except us,\but it's lucky to be notable.\Without hakama, we are the most noticeable.\That's right!\Let's make a bet the most card!\Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down.\Forgive me, response:	but your pronunciation is not correct...
context: but it's lucky to be notable.\Without hakama, we are the most noticeable.\That's right!\Let's make a bet the most card!\Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down.\Forgive me,\but your pronunciation is not correct... response:	Maybe you can more easily speak Japanese than English, can't you?
context: Without hakama, we are the most noticeable.\That's right!\Let's make a bet the most card!\Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down.\Forgive me,\but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you? response:	I'm so embarrassed now!
context: That's right!\Let's make a bet the most card!\Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down.\Forgive me,\but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now! response:	They caught us!
context: Let's make a bet the most card!\Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down.\Forgive me,\but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now!\They caught us! response:	Who said that we could put pressure on them by acting like foreigners?!
context: Karuta has become a global game like poker and Othello!\Ignoring Chihaya for now, I need to calm the others down.\Forgive me,\but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now!\They caught us!\Who said that we could put pressure on them by acting like foreigners?! response:	I barely know middle school English!
context: Ignoring Chihaya for now, I need to calm the others down.\Forgive me,\but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now!\They caught us!\Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English! response:	It's not my fault!
context: Forgive me,\but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now!\They caught us!\Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English!\It's not my fault! response:	I've never left Japan before!
context: but your pronunciation is not correct...\Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now!\They caught us!\Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English!\It's not my fault!\I've never left Japan before! response:	Was it you?!
context: Maybe you can more easily speak Japanese than English, can't you?\I'm so embarrassed now!\They caught us!\Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English!\It's not my fault!\I've never left Japan before!\Was it you?! response:	Just so we're clear, my English is better than yours!
context: I'm so embarrassed now!\They caught us!\Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English!\It's not my fault!\I've never left Japan before!\Was it you?!\Just so we're clear, my English is better than yours! response:	Listen to yourself!
context: They caught us!\Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English!\It's not my fault!\I've never left Japan before!\Was it you?!\Just so we're clear, my English is better than yours!\Listen to yourself! response:	You've never left Chiba before!
context: Who said that we could put pressure on them by acting like foreigners?!\I barely know middle school English!\It's not my fault!\I've never left Japan before!\Was it you?!\Just so we're clear, my English is better than yours!\Listen to yourself!\You've never left Chiba before! response:	I study hard!
context: I barely know middle school English!\It's not my fault!\I've never left Japan before!\Was it you?!\Just so we're clear, my English is better than yours!\Listen to yourself!\You've never left Chiba before!\I study hard! response:	I study hard, too!
context: It's not my fault!\I've never left Japan before!\Was it you?!\Just so we're clear, my English is better than yours!\Listen to yourself!\You've never left Chiba before!\I study hard!\I study hard, too! response:	But your intonation is totally wrong!
context: I've never left Japan before!\Was it you?!\Just so we're clear, my English is better than yours!\Listen to yourself!\You've never left Chiba before!\I study hard!\I study hard, too!\But your intonation is totally wrong! response:	Quiet down!
context: Was it you?!\Just so we're clear, my English is better than yours!\Listen to yourself!\You've never left Chiba before!\I study hard!\I study hard, too!\But your intonation is totally wrong!\Quiet down! response:	Please place your cards!
context: Just so we're clear, my English is better than yours!\Listen to yourself!\You've never left Chiba before!\I study hard!\I study hard, too!\But your intonation is totally wrong!\Quiet down!\Please place your cards! response:	We grew up in Japan
context: Listen to yourself!\You've never left Chiba before!\I study hard!\I study hard, too!\But your intonation is totally wrong!\Quiet down!\Please place your cards!\We grew up in Japan response:	and fell in love with karuta.
context: You've never left Chiba before!\I study hard!\I study hard, too!\But your intonation is totally wrong!\Quiet down!\Please place your cards!\We grew up in Japan\and fell in love with karuta. response:	Please...
context: I study hard!\I study hard, too!\But your intonation is totally wrong!\Quiet down!\Please place your cards!\We grew up in Japan\and fell in love with karuta.\Please... response:	Let's have a good match.
context: I study hard, too!\But your intonation is totally wrong!\Quiet down!\Please place your cards!\We grew up in Japan\and fell in love with karuta.\Please...\Let's have a good match. response:	Two more minutes of memorization time!
context: But your intonation is totally wrong!\Quiet down!\Please place your cards!\We grew up in Japan\and fell in love with karuta.\Please...\Let's have a good match.\Two more minutes of memorization time! response:	The media is here?
context: Quiet down!\Please place your cards!\We grew up in Japan\and fell in love with karuta.\Please...\Let's have a good match.\Two more minutes of memorization time!\The media is here? response:	Yes, it's from a local station in Chiba.
context: Please place your cards!\We grew up in Japan\and fell in love with karuta.\Please...\Let's have a good match.\Two more minutes of memorization time!\The media is here?\Yes, it's from a local station in Chiba. response:	Ah, The Chiba International High School of Information Sciences.
context: We grew up in Japan\and fell in love with karuta.\Please...\Let's have a good match.\Two more minutes of memorization time!\The media is here?\Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences. response:	They're attracting a lot of attention,
context: and fell in love with karuta.\Please...\Let's have a good match.\Two more minutes of memorization time!\The media is here?\Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention, response:	since we have foreign high school students wearing hakama.
context: Please...\Let's have a good match.\Two more minutes of memorization time!\The media is here?\Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention,\since we have foreign high school students wearing hakama. response:	Hopefully, it'll be good publicity for the tournament.
context: Let's have a good match.\Two more minutes of memorization time!\The media is here?\Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention,\since we have foreign high school students wearing hakama.\Hopefully, it'll be good publicity for the tournament. response:	Man, why is their first match against a Tokyo school?
context: Two more minutes of memorization time!\The media is here?\Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention,\since we have foreign high school students wearing hakama.\Hopefully, it'll be good publicity for the tournament.\Man, why is their first match against a Tokyo school? response:	Those guys are probably strong.
context: The media is here?\Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention,\since we have foreign high school students wearing hakama.\Hopefully, it'll be good publicity for the tournament.\Man, why is their first match against a Tokyo school?\Those guys are probably strong. response:	The hosts should have put more thought into the brackets.
context: Yes, it's from a local station in Chiba.\Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention,\since we have foreign high school students wearing hakama.\Hopefully, it'll be good publicity for the tournament.\Man, why is their first match against a Tokyo school?\Those guys are probably strong.\The hosts should have put more thought into the brackets. response:	I wanted to do a feature like, The blond samurai
context: Ah, The Chiba International High School of Information Sciences.\They're attracting a lot of attention,\since we have foreign high school students wearing hakama.\Hopefully, it'll be good publicity for the tournament.\Man, why is their first match against a Tokyo school?\Those guys are probably strong.\The hosts should have put more thought into the brackets.\I wanted to do a feature like, The blond samurai response:	forges ahead with karuta!
context: They're attracting a lot of attention,\since we have foreign high school students wearing hakama.\Hopefully, it'll be good publicity for the tournament.\Man, why is their first match against a Tokyo school?\Those guys are probably strong.\The hosts should have put more thought into the brackets.\I wanted to do a feature like, The blond samurai\forges ahead with karuta! response:	Finish them
