context: In order to stop the out-of-control Laxus, response:	Erza, and even Mystogan, challenged him in battle.
context: Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba!\You sure prance around a lot for an old man.\Let's go, Happy!\They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself!\It's gonna hurt! response:	Even if it hurts, I'll do it anyway!
context: Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba!\You sure prance around a lot for an old man.\Let's go, Happy!\They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself!\It's gonna hurt!\Even if it hurts, I'll do it anyway! response:	I always looked up to Fairy Tail...
context: Oh, yeah? Wakaba!\You sure prance around a lot for an old man.\Let's go, Happy!\They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself!\It's gonna hurt!\Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail... response:	And I've gotten to be such good friends with everyone...
context: You sure prance around a lot for an old man.\Let's go, Happy!\They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself!\It's gonna hurt!\Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone... response:	Sure, a lot of things have happened...
context: Let's go, Happy!\They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself!\It's gonna hurt!\Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened... response:	But everyone has always been so warm.
context: They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself!\It's gonna hurt!\Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened...\But everyone has always been so warm. response:	This guild is where I belong.
context: If you attack them, you'll get damaged yourself!\It's gonna hurt!\Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened...\But everyone has always been so warm.\This guild is where I belong. response:	It's my home.
context: It's gonna hurt!\Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened...\But everyone has always been so warm.\This guild is where I belong.\It's my home. response:	My heart yells out This is where I should be!
context: Even if it hurts, I'll do it anyway!\I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened...\But everyone has always been so warm.\This guild is where I belong.\It's my home.\My heart yells out This is where I should be! response:	So I'm going to fight!
context: I always looked up to Fairy Tail...\And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened...\But everyone has always been so warm.\This guild is where I belong.\It's my home.\My heart yells out This is where I should be!\So I'm going to fight! response:	Because it was Fairy Tail that made me strong!
context: And I've gotten to be such good friends with everyone...\Sure, a lot of things have happened...\But everyone has always been so warm.\This guild is where I belong.\It's my home.\My heart yells out This is where I should be!\So I'm going to fight!\Because it was Fairy Tail that made me strong! response:	Right on!
context: Sure, a lot of things have happened...\But everyone has always been so warm.\This guild is where I belong.\It's my home.\My heart yells out This is where I should be!\So I'm going to fight!\Because it was Fairy Tail that made me strong!\Right on! response:	Let's go!
context: But everyone has always been so warm.\This guild is where I belong.\It's my home.\My heart yells out This is where I should be!\So I'm going to fight!\Because it was Fairy Tail that made me strong!\Right on!\Let's go! response:	Aye, sir!
context: This guild is where I belong.\It's my home.\My heart yells out This is where I should be!\So I'm going to fight!\Because it was Fairy Tail that made me strong!\Right on!\Let's go!\Aye, sir! response:	I'll handle the 200 to the north!
context: It's my home.\My heart yells out This is where I should be!\So I'm going to fight!\Because it was Fairy Tail that made me strong!\Right on!\Let's go!\Aye, sir!\I'll handle the 200 to the north! response:	The rest of you destroy all the ones around the south!
context: My heart yells out This is where I should be!\So I'm going to fight!\Because it was Fairy Tail that made me strong!\Right on!\Let's go!\Aye, sir!\I'll handle the 200 to the north!\The rest of you destroy all the ones around the south! response:	Don't leave a single one left!
context: So I'm going to fight!\Because it was Fairy Tail that made me strong!\Right on!\Let's go!\Aye, sir!\I'll handle the 200 to the north!\The rest of you destroy all the ones around the south!\Don't leave a single one left! response:	Ice Make Lance!
context: Because it was Fairy Tail that made me strong!\Right on!\Let's go!\Aye, sir!\I'll handle the 200 to the north!\The rest of you destroy all the ones around the south!\Don't leave a single one left!\Ice Make Lance! response:	Demon Blast!
context: Right on!\Let's go!\Aye, sir!\I'll handle the 200 to the north!\The rest of you destroy all the ones around the south!\Don't leave a single one left!\Ice Make Lance!\Demon Blast! response:	Go forth, my blades!
context: Let's go!\Aye, sir!\I'll handle the 200 to the north!\The rest of you destroy all the ones around the south!\Don't leave a single one left!\Ice Make Lance!\Demon Blast!\Go forth, my blades! response:	Max Speed Attack!
context: Aye, sir!\I'll handle the 200 to the north!\The rest of you destroy all the ones around the south!\Don't leave a single one left!\Ice Make Lance!\Demon Blast!\Go forth, my blades!\Max Speed Attack! response:	What's this?
context: I'll handle the 200 to the north!\The rest of you destroy all the ones around the south!\Don't leave a single one left!\Ice Make Lance!\Demon Blast!\Go forth, my blades!\Max Speed Attack!\What's this? response:	Some kind of fireworks?
context: The rest of you destroy all the ones around the south!\Don't leave a single one left!\Ice Make Lance!\Demon Blast!\Go forth, my blades!\Max Speed Attack!\What's this?\Some kind of fireworks? response:	Fairy Tail just keeps doing things flashier and flashier each year.
context: Don't leave a single one left!\Ice Make Lance!\Demon Blast!\Go forth, my blades!\Max Speed Attack!\What's this?\Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year. response:	We did it...
context: Ice Make Lance!\Demon Blast!\Go forth, my blades!\Max Speed Attack!\What's this?\Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year.\We did it... response:	See?
context: Demon Blast!\Go forth, my blades!\Max Speed Attack!\What's this?\Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year.\We did it...\See? response:	I told you so.
context: Go forth, my blades!\Max Speed Attack!\What's this?\Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year.\We did it...\See?\I told you so. response:	Everyone okay?
context: Max Speed Attack!\What's this?\Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year.\We did it...\See?\I told you so.\Everyone okay? response:	Honestly...
context: What's this?\Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year.\We did it...\See?\I told you so.\Everyone okay?\Honestly... response:	You people are so reckless.
context: Some kind of fireworks?\Fairy Tail just keeps doing things flashier and flashier each year.\We did it...\See?\I told you so.\Everyone okay?\Honestly...\You people are so reckless. response:	Birds of a feather, you know...
context: Fairy Tail just keeps doing things flashier and flashier each year.\We did it...\See?\I told you so.\Everyone okay?\Honestly...\You people are so reckless.\Birds of a feather, you know... response:	We really are a great guild.
context: We did it...\See?\I told you so.\Everyone okay?\Honestly...\You people are so reckless.\Birds of a feather, you know...\We really are a great guild. response:	And we'd be even better if Laxus got over this rebellious phase.
context: See?\I told you so.\Everyone okay?\Honestly...\You people are so reckless.\Birds of a feather, you know...\We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase. response:	No kidding.
context: I told you so.\Everyone okay?\Honestly...\You people are so reckless.\Birds of a feather, you know...\We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase.\No kidding. response:	Alzack, are you okay?
context: Everyone okay?\Honestly...\You people are so reckless.\Birds of a feather, you know...\We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase.\No kidding.\Alzack, are you okay? response:	Droy?
context: Honestly...\You people are so reckless.\Birds of a feather, you know...\We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase.\No kidding.\Alzack, are you okay?\Droy? response:	Yeah. Thanks.
context: You people are so reckless.\Birds of a feather, you know...\We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase.\No kidding.\Alzack, are you okay?\Droy?\Yeah. Thanks. response:	What part of this guild needs to be changed?
context: Birds of a feather, you know...\We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase.\No kidding.\Alzack, are you okay?\Droy?\Yeah. Thanks.\What part of this guild needs to be changed? response:	We're all in the same circle of friends.
context: We really are a great guild.\And we'd be even better if Laxus got over this rebellious phase.\No kidding.\Alzack, are you okay?\Droy?\Yeah. Thanks.\What part of this guild needs to be changed?\We're all in the same circle of friends. response:	You never even tried to join that circle! How're you gonna become the master, Laxus?
context: And we'd be even better if Laxus got over this rebellious phase.\No kidding.\Alzack, are you okay?\Droy?\Yeah. Thanks.\What part of this guild needs to be changed?\We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus? response:	How am I going to become the master, you say?
context: No kidding.\Alzack, are you okay?\Droy?\Yeah. Thanks.\What part of this guild needs to be changed?\We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say? response:	By force!
context: Alzack, are you okay?\Droy?\Yeah. Thanks.\What part of this guild needs to be changed?\We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say?\By force! response:	Laxus, that's enough!
context: Droy?\Yeah. Thanks.\What part of this guild needs to be changed?\We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say?\By force!\Laxus, that's enough! response:	The master... Your grandfather... He's already...
context: Yeah. Thanks.\What part of this guild needs to be changed?\We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say?\By force!\Laxus, that's enough!\The master... Your grandfather... He's already... response:	That's about enough, Laxus.
context: What part of this guild needs to be changed?\We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say?\By force!\Laxus, that's enough!\The master... Your grandfather... He's already...\That's about enough, Laxus. response:	Fairy Tail will never be yours now.
context: We're all in the same circle of friends.\You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say?\By force!\Laxus, that's enough!\The master... Your grandfather... He's already...\That's about enough, Laxus.\Fairy Tail will never be yours now. response:	Oh, yes it will.
context: You never even tried to join that circle! How're you gonna become the master, Laxus?\How am I going to become the master, you say?\By force!\Laxus, that's enough!\The master... Your grandfather... He's already...\That's about enough, Laxus.\Fairy Tail will never be yours now.\Oh, yes it will. response:	Yeah... Trying to force a bargain was pointless...
context: How am I going to become the master, you say?\By force!\Laxus, that's enough!\The master... Your grandfather... He's already...\That's about enough, Laxus.\Fairy Tail will never be yours now.\Oh, yes it will.\Yeah... Trying to force a bargain was pointless... response:	I should have relied on my own power from the start!
context: By force!\Laxus, that's enough!\The master... Your grandfather... He's already...\That's about enough, Laxus.\Fairy Tail will never be yours now.\Oh, yes it will.\Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start! response:	This overwhelming power is my very identity!
context: Laxus, that's enough!\The master... Your grandfather... He's already...\That's about enough, Laxus.\Fairy Tail will never be yours now.\Oh, yes it will.\Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start!\This overwhelming power is my very identity! response:	So when I beat that power, you'll finally give in, Laxus?!
context: The master... Your grandfather... He's already...\That's about enough, Laxus.\Fairy Tail will never be yours now.\Oh, yes it will.\Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start!\This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?! response:	Iron Fist of the Fire Dragon!
context: That's about enough, Laxus.\Fairy Tail will never be yours now.\Oh, yes it will.\Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start!\This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon! response:	You'll be first!
context: Fairy Tail will never be yours now.\Oh, yes it will.\Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start!\This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon!\You'll be first! response:	Bring it on, Fairy Tail!
context: Oh, yes it will.\Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start!\This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon!\You'll be first!\Bring it on, Fairy Tail! response:	I'll devour you all!
context: Yeah... Trying to force a bargain was pointless...\I should have relied on my own power from the start!\This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon!\You'll be first!\Bring it on, Fairy Tail!\I'll devour you all! response:	He really is strong...
context: I should have relied on my own power from the start!\This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon!\You'll be first!\Bring it on, Fairy Tail!\I'll devour you all!\He really is strong... response:	Resound, my summoned thunder's boom...
context: This overwhelming power is my very identity!\So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon!\You'll be first!\Bring it on, Fairy Tail!\I'll devour you all!\He really is strong...\Resound, my summoned thunder's boom... response:	Crap... I can't move...
context: So when I beat that power, you'll finally give in, Laxus?!\Iron Fist of the Fire Dragon!\You'll be first!\Bring it on, Fairy Tail!\I'll devour you all!\He really is strong...\Resound, my summoned thunder's boom...\Crap... I can't move... response:	Fall from the heavens and turn all to ashes!
context: Iron Fist of the Fire Dragon!\You'll be first!\Bring it on, Fairy Tail!\I'll devour you all!\He really is strong...\Resound, my summoned thunder's boom...\Crap... I can't move...\Fall from the heavens and turn all to ashes! response:	Raging Bolt!
context: You'll be first!\Bring it on, Fairy Tail!\I'll devour you all!\He really is strong...\Resound, my summoned thunder's boom...\Crap... I can't move...\Fall from the heavens and turn all to ashes!\Raging Bolt! response:	Natsu!
context: Bring it on, Fairy Tail!\I'll devour you all!\He really is strong...\Resound, my summoned thunder's boom...\Crap... I can't move...\Fall from the heavens and turn all to ashes!\Raging Bolt!\Natsu! response:	Who was the strongest in the guild again?
context: I'll devour you all!\He really is strong...\Resound, my summoned thunder's boom...\Crap... I can't move...\Fall from the heavens and turn all to ashes!\Raging Bolt!\Natsu!\Who was the strongest in the guild again? response:	Oh, I'm sorry. You can't answer because you've been turned to dust!
context: He really is strong...\Resound, my summoned thunder's boom...\Crap... I can't move...\Fall from the heavens and turn all to ashes!\Raging Bolt!\Natsu!\Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust! response:	Weren't you his ally?
context: Resound, my summoned thunder's boom...\Crap... I can't move...\Fall from the heavens and turn all to ashes!\Raging Bolt!\Natsu!\Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally? response:	Something's wrong with you being happy he's wiped out.
context: Crap... I can't move...\Fall from the heavens and turn all to ashes!\Raging Bolt!\Natsu!\Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally?\Something's wrong with you being happy he's wiped out. response:	Although he ain't been.
context: Fall from the heavens and turn all to ashes!\Raging Bolt!\Natsu!\Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally?\Something's wrong with you being happy he's wiped out.\Although he ain't been. response:	Gettin' rid of him is my role.
context: Raging Bolt!\Natsu!\Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally?\Something's wrong with you being happy he's wiped out.\Although he ain't been.\Gettin' rid of him is my role. response:	Gajeel...
context: Natsu!\Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally?\Something's wrong with you being happy he's wiped out.\Although he ain't been.\Gettin' rid of him is my role.\Gajeel... response:	Another snack shows up.
context: Who was the strongest in the guild again?\Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally?\Something's wrong with you being happy he's wiped out.\Although he ain't been.\Gettin' rid of him is my role.\Gajeel...\Another snack shows up. response:	Disappear, disappear!
context: Oh, I'm sorry. You can't answer because you've been turned to dust!\Weren't you his ally?\Something's wrong with you being happy he's wiped out.\Although he ain't been.\Gettin' rid of him is my role.\Gajeel...\Another snack shows up.\Disappear, disappear! response:	Anyone who stands in my way should just disappear!
context: Weren't you his ally?\Something's wrong with you being happy he's wiped out.\Although he ain't been.\Gettin' rid of him is my role.\Gajeel...\Another snack shows up.\Disappear, disappear!\Anyone who stands in my way should just disappear! response:	I'll handle Laxus.
context: Something's wrong with you being happy he's wiped out.\Although he ain't been.\Gettin' rid of him is my role.\Gajeel...\Another snack shows up.\Disappear, disappear!\Anyone who stands in my way should just disappear!\I'll handle Laxus. response:	Stay back.
context: Although he ain't been.\Gettin' rid of him is my role.\Gajeel...\Another snack shows up.\Disappear, disappear!\Anyone who stands in my way should just disappear!\I'll handle Laxus.\Stay back. response:	I've got a personal grudge with him.
context: Gettin' rid of him is my role.\Gajeel...\Another snack shows up.\Disappear, disappear!\Anyone who stands in my way should just disappear!\I'll handle Laxus.\Stay back.\I've got a personal grudge with him. response:	His monstrous strength is the real deal though.
context: Gajeel...\Another snack shows up.\Disappear, disappear!\Anyone who stands in my way should just disappear!\I'll handle Laxus.\Stay back.\I've got a personal grudge with him.\His monstrous strength is the real deal though. response:	He's got Makarov's blood running in him.
context: Another snack shows up.\Disappear, disappear!\Anyone who stands in my way should just disappear!\I'll handle Laxus.\Stay back.\I've got a personal grudge with him.\His monstrous strength is the real deal though.\He's got Makarov's blood running in him. response:	I don't like it, but we've got no choice.
context: Disappear, disappear!\Anyone who stands in my way should just disappear!\I'll handle Laxus.\Stay back.\I've got a personal grudge with him.\His monstrous strength is the real deal though.\He's got Makarov's blood running in him.\I don't like it, but we've got no choice. response:	We'll fight together!
context: Anyone who stands in my way should just disappear!\I'll handle Laxus.\Stay back.\I've got a personal grudge with him.\His monstrous strength is the real deal though.\He's got Makarov's blood running in him.\I don't like it, but we've got no choice.\We'll fight together! response:	You're joking, right?
context: I'll handle Laxus.\Stay back.\I've got a personal grudge with him.\His monstrous strength is the real deal though.\He's got Makarov's blood running in him.\I don't like it, but we've got no choice.\We'll fight together!\You're joking, right? response:	I'm gonna defeat Laxus!
context: Stay back.\I've got a personal grudge with him.\His monstrous strength is the real deal though.\He's got Makarov's blood running in him.\I don't like it, but we've got no choice.\We'll fight together!\You're joking, right?\I'm gonna defeat Laxus! response:	I mean, how could I ever team up with you?!
context: I've got a personal grudge with him.\His monstrous strength is the real deal though.\He's got Makarov's blood running in him.\I don't like it, but we've got no choice.\We'll fight together!\You're joking, right?\I'm gonna defeat Laxus!\I mean, how could I ever team up with you?! response:	Take a look.
context: His monstrous strength is the real deal though.\He's got Makarov's blood running in him.\I don't like it, but we've got no choice.\We'll fight together!\You're joking, right?\I'm gonna defeat Laxus!\I mean, how could I ever team up with you?!\Take a look. response:	Is that the Laxus you know?
context: He's got Makarov's blood running in him.\I don't like it, but we've got no choice.\We'll fight together!\You're joking, right?\I'm gonna defeat Laxus!\I mean, how could I ever team up with you?!\Take a look.\Is that the Laxus you know? response:	Disappear! Disappear!
context: I don't like it, but we've got no choice.\We'll fight together!\You're joking, right?\I'm gonna defeat Laxus!\I mean, how could I ever team up with you?!\Take a look.\Is that the Laxus you know?\Disappear! Disappear! response:	That's an enemy of the guild.
context: We'll fight together!\You're joking, right?\I'm gonna defeat Laxus!\I mean, how could I ever team up with you?!\Take a look.\Is that the Laxus you know?\Disappear! Disappear!\That's an enemy of the guild. response:	We have to stop him here to protect the guild.
context: You're joking, right?\I'm gonna defeat Laxus!\I mean, how could I ever team up with you?!\Take a look.\Is that the Laxus you know?\Disappear! Disappear!\That's an enemy of the guild.\We have to stop him here to protect the guild. response:	The rest of them are down for the count after the counterattack from the Thunder Palace.
context: I'm gonna defeat Laxus!\I mean, how could I ever team up with you?!\Take a look.\Is that the Laxus you know?\Disappear! Disappear!\That's an enemy of the guild.\We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace. response:	Do you realize what will happen if we don't stop him here?
context: I mean, how could I ever team up with you?!\Take a look.\Is that the Laxus you know?\Disappear! Disappear!\That's an enemy of the guild.\We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here? response:	You're gonna protect the guild?
context: Take a look.\Is that the Laxus you know?\Disappear! Disappear!\That's an enemy of the guild.\We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here?\You're gonna protect the guild? response:	Whether I protect the guild or destroy the guild, it's my choice!
context: Is that the Laxus you know?\Disappear! Disappear!\That's an enemy of the guild.\We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here?\You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice! response:	Didn't you say that there wasn't room enough in the sky for two dragons?
context: Disappear! Disappear!\That's an enemy of the guild.\We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here?\You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons? response:	There isn't.
context: That's an enemy of the guild.\We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here?\You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't. response:	But with all this annoying lightning, you can't fly in the sky.
context: We have to stop him here to protect the guild.\The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here?\You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't.\But with all this annoying lightning, you can't fly in the sky. response:	Okay, but I'm only teaming up this once, Gajeel!
context: The rest of them are down for the count after the counterattack from the Thunder Palace.\Do you realize what will happen if we don't stop him here?\You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't.\But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel! response:	You got that right!
context: Do you realize what will happen if we don't stop him here?\You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't.\But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel!\You got that right! response:	We'll settle things one day!
context: You're gonna protect the guild?\Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't.\But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel!\You got that right!\We'll settle things one day! response:	Let's do it!
context: Whether I protect the guild or destroy the guild, it's my choice!\Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't.\But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel!\You got that right!\We'll settle things one day!\Let's do it! response:	Use your breath!
context: Didn't you say that there wasn't room enough in the sky for two dragons?\There isn't.\But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel!\You got that right!\We'll settle things one day!\Let's do it!\Use your breath! response:	Roar of the Fire Dragon!
context: There isn't.\But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel!\You got that right!\We'll settle things one day!\Let's do it!\Use your breath!\Roar of the Fire Dragon! response:	Pillar of the Iron Dragon!
context: But with all this annoying lightning, you can't fly in the sky.\Okay, but I'm only teaming up this once, Gajeel!\You got that right!\We'll settle things one day!\Let's do it!\Use your breath!\Roar of the Fire Dragon!\Pillar of the Iron Dragon! response:	Sword of the Iron Dragon!
context: Okay, but I'm only teaming up this once, Gajeel!\You got that right!\We'll settle things one day!\Let's do it!\Use your breath!\Roar of the Fire Dragon!\Pillar of the Iron Dragon!\Sword of the Iron Dragon! response:	Brilliant Blaze of the Fire Dragon!
context: You got that right!\We'll settle things one day!\Let's do it!\Use your breath!\Roar of the Fire Dragon!\Pillar of the Iron Dragon!\Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon! response:	Spears of the Iron Dragon!
context: We'll settle things one day!\Let's do it!\Use your breath!\Roar of the Fire Dragon!\Pillar of the Iron Dragon!\Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon! response:	Demon Poles!
context: Let's do it!\Use your breath!\Roar of the Fire Dragon!\Pillar of the Iron Dragon!\Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon!\Demon Poles! response:	Roar of the...
context: Use your breath!\Roar of the Fire Dragon!\Pillar of the Iron Dragon!\Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon!\Demon Poles!\Roar of the... response:	Roar of the...
context: Roar of the Fire Dragon!\Pillar of the Iron Dragon!\Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon!\Demon Poles!\Roar of the...\Roar of the... response:	Fire Dragon!
context: Pillar of the Iron Dragon!\Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon!\Demon Poles!\Roar of the...\Roar of the...\Fire Dragon! response:	Iron Dragon!
context: Sword of the Iron Dragon!\Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon!\Demon Poles!\Roar of the...\Roar of the...\Fire Dragon!\Iron Dragon! response:	That's the power of you working together?
context: Brilliant Blaze of the Fire Dragon!\Spears of the Iron Dragon!\Demon Poles!\Roar of the...\Roar of the...\Fire Dragon!\Iron Dragon!\That's the power of you working together? response:	I'm shocked you can call yourselves Dragon Slayers.
context: Spears of the Iron Dragon!\Demon Poles!\Roar of the...\Roar of the...\Fire Dragon!\Iron Dragon!\That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers. response:	Didn't we damage him at all?
context: Demon Poles!\Roar of the...\Roar of the...\Fire Dragon!\Iron Dragon!\That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all? response:	Impossible!
context: Roar of the...\Roar of the...\Fire Dragon!\Iron Dragon!\That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all?\Impossible! response:	No matter how strong he is, after being hit with all that Dragon Slayer magic...
context: Roar of the...\Fire Dragon!\Iron Dragon!\That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all?\Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic... response:	I can't believe it.
context: Fire Dragon!\Iron Dragon!\That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all?\Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it. response:	Well, it's simple really.
context: Iron Dragon!\That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all?\Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it.\Well, it's simple really. response:	I hate the old man's lectures, so I kept it a secret.
context: That's the power of you working together?\I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all?\Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it.\Well, it's simple really.\I hate the old man's lectures, so I kept it a secret. response:	But I'll show you special.
context: I'm shocked you can call yourselves Dragon Slayers.\Didn't we damage him at all?\Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it.\Well, it's simple really.\I hate the old man's lectures, so I kept it a secret.\But I'll show you special. response:	N-No way...
context: Didn't we damage him at all?\Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it.\Well, it's simple really.\I hate the old man's lectures, so I kept it a secret.\But I'll show you special.\N-No way... response:	You've got to be kidding me.
context: Impossible!\No matter how strong he is, after being hit with all that Dragon Slayer magic...\I can't believe it.\Well, it's simple really.\I hate the old man's lectures, so I kept it a secret.\But I'll show you special.\N-No way...\You've got to be kidding me. response:	Roar of the...
