context: Tatooin Station response:	In the days off we had after the sports festival,
context: When you give yourself a name,\you get a more concrete image of what you want to be like in the future,\and you can get closer to it.\This is what it means when they say, Names and natures do often agree.\Like All Might, for example.\All Might.\My hero name...\A name for what I want to be like in the future, huh? response:	Okay, let's start presenting names starting with those who are ready.
context: you get a more concrete image of what you want to be like in the future,\and you can get closer to it.\This is what it means when they say, Names and natures do often agree.\Like All Might, for example.\All Might.\My hero name...\A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready. response:	We're presenting these?!
context: and you can get closer to it.\This is what it means when they say, Names and natures do often agree.\Like All Might, for example.\All Might.\My hero name...\A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready.\We're presenting these?! response:	Man, that'll take some nerve...
context: This is what it means when they say, Names and natures do often agree.\Like All Might, for example.\All Might.\My hero name...\A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready.\We're presenting these?!\Man, that'll take some nerve... response:	Here I go...
context: Like All Might, for example.\All Might.\My hero name...\A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready.\We're presenting these?!\Man, that'll take some nerve...\Here I go... response:	'I can not stop twinkling'!
context: All Might.\My hero name...\A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready.\We're presenting these?!\Man, that'll take some nerve...\Here I go...\'I can not stop twinkling'! response:	Which means, you can't stop my sparkles!
context: My hero name...\A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready.\We're presenting these?!\Man, that'll take some nerve...\Here I go...\'I can not stop twinkling'!\Which means, you can't stop my sparkles! response:	It's a sentence!
context: A name for what I want to be like in the future, huh?\Okay, let's start presenting names starting with those who are ready.\We're presenting these?!\Man, that'll take some nerve...\Here I go...\'I can not stop twinkling'!\Which means, you can't stop my sparkles!\It's a sentence! response:	It'll be easier to use if you take out the I and shorten the can not to can't.
context: Okay, let's start presenting names starting with those who are ready.\We're presenting these?!\Man, that'll take some nerve...\Here I go...\'I can not stop twinkling'!\Which means, you can't stop my sparkles!\It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't. response:	You're right, mademoiselle.
context: We're presenting these?!\Man, that'll take some nerve...\Here I go...\'I can not stop twinkling'!\Which means, you can't stop my sparkles!\It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle. response:	It's okay?
context: Man, that'll take some nerve...\Here I go...\'I can not stop twinkling'!\Which means, you can't stop my sparkles!\It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle.\It's okay? response:	Anyway, choose one-English, or French!
context: Here I go...\'I can not stop twinkling'!\Which means, you can't stop my sparkles!\It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle.\It's okay?\Anyway, choose one-English, or French! response:	Then, I'll go next!
context: 'I can not stop twinkling'!\Which means, you can't stop my sparkles!\It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle.\It's okay?\Anyway, choose one-English, or French!\Then, I'll go next! response:	Alien Queen
context: Which means, you can't stop my sparkles!\It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle.\It's okay?\Anyway, choose one-English, or French!\Then, I'll go next!\Alien Queen response:	Hero name, Alien Queen!
context: It's a sentence!\It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle.\It's okay?\Anyway, choose one-English, or French!\Then, I'll go next!\Alien Queen\Hero name, Alien Queen! response:	-Two!
context: It'll be easier to use if you take out the I and shorten the can not to can't.\You're right, mademoiselle.\It's okay?\Anyway, choose one-English, or French!\Then, I'll go next!\Alien Queen\Hero name, Alien Queen!\-Two! response:	Are you trying for the thing with acidic blood?
context: You're right, mademoiselle.\It's okay?\Anyway, choose one-English, or French!\Then, I'll go next!\Alien Queen\Hero name, Alien Queen!\-Two!\Are you trying for the thing with acidic blood? response:	I wouldn't if I were you!
context: It's okay?\Anyway, choose one-English, or French!\Then, I'll go next!\Alien Queen\Hero name, Alien Queen!\-Two!\Are you trying for the thing with acidic blood?\I wouldn't if I were you! response:	Dang it.
context: Anyway, choose one-English, or French!\Then, I'll go next!\Alien Queen\Hero name, Alien Queen!\-Two!\Are you trying for the thing with acidic blood?\I wouldn't if I were you!\Dang it. response:	Idiot!
context: Then, I'll go next!\Alien Queen\Hero name, Alien Queen!\-Two!\Are you trying for the thing with acidic blood?\I wouldn't if I were you!\Dang it.\Idiot! response:	Since the first ones were weird,
context: Alien Queen\Hero name, Alien Queen!\-Two!\Are you trying for the thing with acidic blood?\I wouldn't if I were you!\Dang it.\Idiot!\Since the first ones were weird, response:	it feels like we're supposed to make them funny now!
context: Hero name, Alien Queen!\-Two!\Are you trying for the thing with acidic blood?\I wouldn't if I were you!\Dang it.\Idiot!\Since the first ones were weird,\it feels like we're supposed to make them funny now! response:	Ribbit!t
context: -Two!\Are you trying for the thing with acidic blood?\I wouldn't if I were you!\Dang it.\Idiot!\Since the first ones were weird,\it feels like we're supposed to make them funny now!\Ribbit!t response:	Then, may I go next?
context: Are you trying for the thing with acidic blood?\I wouldn't if I were you!\Dang it.\Idiot!\Since the first ones were weird,\it feels like we're supposed to make them funny now!\Ribbit!t\Then, may I go next? response:	Go ahead, Tsu.
context: I wouldn't if I were you!\Dang it.\Idiot!\Since the first ones were weird,\it feels like we're supposed to make them funny now!\Ribbit!t\Then, may I go next?\Go ahead, Tsu. response:	I've had this in mind ever since I was in elementary school.
context: Dang it.\Idiot!\Since the first ones were weird,\it feels like we're supposed to make them funny now!\Ribbit!t\Then, may I go next?\Go ahead, Tsu.\I've had this in mind ever since I was in elementary school. response:	Rainy Season Hero: Froppy
context: Idiot!\Since the first ones were weird,\it feels like we're supposed to make them funny now!\Ribbit!t\Then, may I go next?\Go ahead, Tsu.\I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy response:	Rainy Season Hero: Froppy.
context: Since the first ones were weird,\it feels like we're supposed to make them funny now!\Ribbit!t\Then, may I go next?\Go ahead, Tsu.\I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy\Rainy Season Hero: Froppy. response:	That's so cute! It seems friendly. I like it!
context: it feels like we're supposed to make them funny now!\Ribbit!t\Then, may I go next?\Go ahead, Tsu.\I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy\Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it! response:	It's a great example of a name that everyone will love!
context: Ribbit!t\Then, may I go next?\Go ahead, Tsu.\I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy\Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love! response:	Froppy! Froppy! Froppy! Froppy!
context: Then, may I go next?\Go ahead, Tsu.\I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy\Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy! response:	Thanks, Froppy! You've brought things back to normal!
context: Go ahead, Tsu.\I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy\Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal! response:	Sturdy Hero: Red Riot
context: I've had this in mind ever since I was in elementary school.\Rainy Season Hero: Froppy\Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot response:	Then, I'll go too!
context: Rainy Season Hero: Froppy\Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot\Then, I'll go too! response:	Sturdy Hero: Red Riot!
context: Rainy Season Hero: Froppy.\That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot\Then, I'll go too!\Sturdy Hero: Red Riot! response:	Red Riot?
context: That's so cute! It seems friendly. I like it!\It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot\Then, I'll go too!\Sturdy Hero: Red Riot!\Red Riot? response:	You're paying homage to the Chivalrous Hero: Crimson Riot, right?
context: It's a great example of a name that everyone will love!\Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot\Then, I'll go too!\Sturdy Hero: Red Riot!\Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right? response:	Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.
context: Froppy! Froppy! Froppy! Froppy!\Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot\Then, I'll go too!\Sturdy Hero: Red Riot!\Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself. response:	If you're bearing a name you admire, it'll come with that much more pressure.
context: Thanks, Froppy! You've brought things back to normal!\Sturdy Hero: Red Riot\Then, I'll go too!\Sturdy Hero: Red Riot!\Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure. response:	I'm prepared for that!
context: Sturdy Hero: Red Riot\Then, I'll go too!\Sturdy Hero: Red Riot!\Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that! response:	Kirishima's so cool.
context: Then, I'll go too!\Sturdy Hero: Red Riot!\Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that!\Kirishima's so cool. response:	Before I met All Might...
context: Sturdy Hero: Red Riot!\Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that!\Kirishima's so cool.\Before I met All Might... response:	Hm? Your name after you become a hero?
context: Red Riot?\You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that!\Kirishima's so cool.\Before I met All Might...\Hm? Your name after you become a hero? response:	Yeah! I can't decide which one to pick!
context: You're paying homage to the Chivalrous Hero: Crimson Riot, right?\Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that!\Kirishima's so cool.\Before I met All Might...\Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick! response:	Let's see... Mighty All Man, Mighty Boy, All Might, Jr.
context: Yes. It's pretty old-fashioned, but the hero image I'm going for is Crimson himself.\If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that!\Kirishima's so cool.\Before I met All Might...\Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr. response:	Junior!
context: If you're bearing a name you admire, it'll come with that much more pressure.\I'm prepared for that!\Kirishima's so cool.\Before I met All Might...\Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior! response:	Mighty Man, Captain All Might, Super All Might!
context: I'm prepared for that!\Kirishima's so cool.\Before I met All Might...\Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior!\Mighty Man, Captain All Might, Super All Might! response:	-Super! -Super!
context: Kirishima's so cool.\Before I met All Might...\Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior!\Mighty Man, Captain All Might, Super All Might!\-Super! -Super! response:	But...
context: Before I met All Might...\Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior!\Mighty Man, Captain All Might, Super All Might!\-Super! -Super!\But... response:	Now that I've been given his power and am under his care,
context: Hm? Your name after you become a hero?\Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior!\Mighty Man, Captain All Might, Super All Might!\-Super! -Super!\But...\Now that I've been given his power and am under his care, response:	I see just how big a difference there is between us.
context: Yeah! I can't decide which one to pick!\Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior!\Mighty Man, Captain All Might, Super All Might!\-Super! -Super!\But...\Now that I've been given his power and am under his care,\I see just how big a difference there is between us. response:	There's no way I can take on a name like that.
context: Let's see... Mighty All Man, Mighty Boy, All Might, Jr.\Junior!\Mighty Man, Captain All Might, Super All Might!\-Super! -Super!\But...\Now that I've been given his power and am under his care,\I see just how big a difference there is between us.\There's no way I can take on a name like that. response:	Man, I haven't thought of a name yet...
context: Junior!\Mighty Man, Captain All Might, Super All Might!\-Super! -Super!\But...\Now that I've been given his power and am under his care,\I see just how big a difference there is between us.\There's no way I can take on a name like that.\Man, I haven't thought of a name yet... response:	Why don't I give you one?
context: Mighty Man, Captain All Might, Super All Might!\-Super! -Super!\But...\Now that I've been given his power and am under his care,\I see just how big a difference there is between us.\There's no way I can take on a name like that.\Man, I haven't thought of a name yet...\Why don't I give you one? response:	How about Jamming-yay?
context: -Super! -Super!\But...\Now that I've been given his power and am under his care,\I see just how big a difference there is between us.\There's no way I can take on a name like that.\Man, I haven't thought of a name yet...\Why don't I give you one?\How about Jamming-yay? response:	Jamming-yay Heming-way
context: But...\Now that I've been given his power and am under his care,\I see just how big a difference there is between us.\There's no way I can take on a name like that.\Man, I haven't thought of a name yet...\Why don't I give you one?\How about Jamming-yay?\Jamming-yay Heming-way response:	It's like Hemingway, who wrote A Farewell to Arms!
context: Now that I've been given his power and am under his care,\I see just how big a difference there is between us.\There's no way I can take on a name like that.\Man, I haven't thought of a name yet...\Why don't I give you one?\How about Jamming-yay?\Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms! response:	Sounds smart!
context: I see just how big a difference there is between us.\There's no way I can take on a name like that.\Man, I haven't thought of a name yet...\Why don't I give you one?\How about Jamming-yay?\Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart! response:	It's cool!
context: There's no way I can take on a name like that.\Man, I haven't thought of a name yet...\Why don't I give you one?\How about Jamming-yay?\Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart!\It's cool! response:	No... It's because even though you're strong...
context: Man, I haven't thought of a name yet...\Why don't I give you one?\How about Jamming-yay?\Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart!\It's cool!\No... It's because even though you're strong... response:	Yay...
context: Why don't I give you one?\How about Jamming-yay?\Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart!\It's cool!\No... It's because even though you're strong...\Yay... response:	Hey, Jiro! Stop messing with me!
context: How about Jamming-yay?\Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart!\It's cool!\No... It's because even though you're strong...\Yay...\Hey, Jiro! Stop messing with me! response:	Hearing Hero: Earphone Jack
context: Jamming-yay Heming-way\It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart!\It's cool!\No... It's because even though you're strong...\Yay...\Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack response:	Hearing Hero: Earphone Jack.
context: It's like Hemingway, who wrote A Farewell to Arms!\Sounds smart!\It's cool!\No... It's because even though you're strong...\Yay...\Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack. response:	That's good! Next!
context: Sounds smart!\It's cool!\No... It's because even though you're strong...\Yay...\Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack.\That's good! Next! response:	Tentacle Hero: Tentacole
context: It's cool!\No... It's because even though you're strong...\Yay...\Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack.\That's good! Next!\Tentacle Hero: Tentacole response:	Tentacle Hero: Tentacole.
context: No... It's because even though you're strong...\Yay...\Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack.\That's good! Next!\Tentacle Hero: Tentacole\Tentacle Hero: Tentacole. response:	It's like tentacle with some octopus thrown in!
context: Yay...\Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack.\That's good! Next!\Tentacle Hero: Tentacole\Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in! response:	Tentacle + Octopus (tako)
context: Hey, Jiro! Stop messing with me!\Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack.\That's good! Next!\Tentacle Hero: Tentacole\Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako) response:	Taping Hero: Cellophane.
context: Hearing Hero: Earphone Jack\Hearing Hero: Earphone Jack.\That's good! Next!\Tentacle Hero: Tentacole\Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako)\Taping Hero: Cellophane. response:	Taping Hero: Cellophane
context: Hearing Hero: Earphone Jack.\That's good! Next!\Tentacle Hero: Tentacole\Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako)\Taping Hero: Cellophane.\Taping Hero: Cellophane response:	Nice and simple! That's important!
context: That's good! Next!\Tentacle Hero: Tentacole\Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako)\Taping Hero: Cellophane.\Taping Hero: Cellophane\Nice and simple! That's important! response:	Martial Arts Hero: Tailman
context: Tentacle Hero: Tentacole\Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako)\Taping Hero: Cellophane.\Taping Hero: Cellophane\Nice and simple! That's important!\Martial Arts Hero: Tailman response:	Martial Arts Hero: Tailman.
context: Tentacle Hero: Tentacole.\It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako)\Taping Hero: Cellophane.\Taping Hero: Cellophane\Nice and simple! That's important!\Martial Arts Hero: Tailman\Martial Arts Hero: Tailman. response:	Your name reflects your body!
context: It's like tentacle with some octopus thrown in!\Tentacle + Octopus (tako)\Taping Hero: Cellophane.\Taping Hero: Cellophane\Nice and simple! That's important!\Martial Arts Hero: Tailman\Martial Arts Hero: Tailman.\Your name reflects your body! response:	Sweets Hero: Sugarman
context: Tentacle + Octopus (tako)\Taping Hero: Cellophane.\Taping Hero: Cellophane\Nice and simple! That's important!\Martial Arts Hero: Tailman\Martial Arts Hero: Tailman.\Your name reflects your body!\Sweets Hero: Sugarman response:	Sweets Hero: Sugarman!
context: Taping Hero: Cellophane.\Taping Hero: Cellophane\Nice and simple! That's important!\Martial Arts Hero: Tailman\Martial Arts Hero: Tailman.\Your name reflects your body!\Sweets Hero: Sugarman\Sweets Hero: Sugarman! response:	So sweet!
context: Taping Hero: Cellophane\Nice and simple! That's important!\Martial Arts Hero: Tailman\Martial Arts Hero: Tailman.\Your name reflects your body!\Sweets Hero: Sugarman\Sweets Hero: Sugarman!\So sweet! response:	Pinky!
context: Nice and simple! That's important!\Martial Arts Hero: Tailman\Martial Arts Hero: Tailman.\Your name reflects your body!\Sweets Hero: Sugarman\Sweets Hero: Sugarman!\So sweet!\Pinky! response:	Peachy pink complexion!
context: Martial Arts Hero: Tailman\Martial Arts Hero: Tailman.\Your name reflects your body!\Sweets Hero: Sugarman\Sweets Hero: Sugarman!\So sweet!\Pinky!\Peachy pink complexion! response:	Charge + Lightning Bolt = Stun Gun Hero: Chargebolt
context: Martial Arts Hero: Tailman.\Your name reflects your body!\Sweets Hero: Sugarman\Sweets Hero: Sugarman!\So sweet!\Pinky!\Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt response:	Stun Gun Hero: Chargebolt, combining charge with lightning bolt!
context: Your name reflects your body!\Sweets Hero: Sugarman\Sweets Hero: Sugarman!\So sweet!\Pinky!\Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt! response:	Oh, I feel tingly!
context: Sweets Hero: Sugarman\Sweets Hero: Sugarman!\So sweet!\Pinky!\Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly! response:	Stealth Hero: Invisible Girl!
context: Sweets Hero: Sugarman!\So sweet!\Pinky!\Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly!\Stealth Hero: Invisible Girl! response:	Stealth Hero: Invisible Girl
context: So sweet!\Pinky!\Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly!\Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl response:	That's great!
context: Pinky!\Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly!\Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl\That's great! response:	Come on, let's keep right on going!
context: Peachy pink complexion!\Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly!\Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl\That's great!\Come on, let's keep right on going! response:	Everything Hero: Creati
context: Charge + Lightning Bolt = Stun Gun Hero: Chargebolt\Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly!\Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl\That's great!\Come on, let's keep right on going!\Everything Hero: Creati response:	I hope I will not bring shame to this name.
context: Stun Gun Hero: Chargebolt, combining charge with lightning bolt!\Oh, I feel tingly!\Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl\That's great!\Come on, let's keep right on going!\Everything Hero: Creati\I hope I will not bring shame to this name. response:	Everything Hero: Creati.
context: Oh, I feel tingly!\Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl\That's great!\Come on, let's keep right on going!\Everything Hero: Creati\I hope I will not bring shame to this name.\Everything Hero: Creati. response:	Creative!
context: Stealth Hero: Invisible Girl!\Stealth Hero: Invisible Girl\That's great!\Come on, let's keep right on going!\Everything Hero: Creati\I hope I will not bring shame to this name.\Everything Hero: Creati.\Creative! response:	Shoto
context: Stealth Hero: Invisible Girl\That's great!\Come on, let's keep right on going!\Everything Hero: Creati\I hope I will not bring shame to this name.\Everything Hero: Creati.\Creative!\Shoto response:	Shoto.
context: That's great!\Come on, let's keep right on going!\Everything Hero: Creati\I hope I will not bring shame to this name.\Everything Hero: Creati.\Creative!\Shoto\Shoto. response:	Your name? Is that okay?
context: Come on, let's keep right on going!\Everything Hero: Creati\I hope I will not bring shame to this name.\Everything Hero: Creati.\Creative!\Shoto\Shoto.\Your name? Is that okay? response:	Yeah.
context: Everything Hero: Creati\I hope I will not bring shame to this name.\Everything Hero: Creati.\Creative!\Shoto\Shoto.\Your name? Is that okay?\Yeah. response:	Jet-Black Hero: Tsukuyomi
context: I hope I will not bring shame to this name.\Everything Hero: Creati.\Creative!\Shoto\Shoto.\Your name? Is that okay?\Yeah.\Jet-Black Hero: Tsukuyomi response:	Jet-Black Hero: Tsukuyomi.
context: Everything Hero: Creati.\Creative!\Shoto\Shoto.\Your name? Is that okay?\Yeah.\Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi. response:	God of the night!
context: Creative!\Shoto\Shoto.\Your name? Is that okay?\Yeah.\Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi.\God of the night! response:	Fresh-Picked Hero: Grape Juice
context: Shoto\Shoto.\Your name? Is that okay?\Yeah.\Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi.\God of the night!\Fresh-Picked Hero: Grape Juice response:	Fresh-Picked Hero: Grape Juice!
context: Shoto.\Your name? Is that okay?\Yeah.\Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi.\God of the night!\Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice! response:	Pop and kitschy!
context: Your name? Is that okay?\Yeah.\Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi.\God of the night!\Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice!\Pop and kitschy! response:	Petting Hero: Anima
context: Yeah.\Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi.\God of the night!\Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice!\Pop and kitschy!\Petting Hero: Anima response:	Okay, got it!
context: Jet-Black Hero: Tsukuyomi\Jet-Black Hero: Tsukuyomi.\God of the night!\Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice!\Pop and kitschy!\Petting Hero: Anima\Okay, got it! response:	King Explosion Murder
context: Jet-Black Hero: Tsukuyomi.\God of the night!\Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice!\Pop and kitschy!\Petting Hero: Anima\Okay, got it!\King Explosion Murder response:	King Explosion Murder.
context: God of the night!\Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice!\Pop and kitschy!\Petting Hero: Anima\Okay, got it!\King Explosion Murder\King Explosion Murder. response:	You probably shouldn't use something like that.
context: Fresh-Picked Hero: Grape Juice\Fresh-Picked Hero: Grape Juice!\Pop and kitschy!\Petting Hero: Anima\Okay, got it!\King Explosion Murder\King Explosion Murder.\You probably shouldn't use something like that. response:	Why not?!
context: Fresh-Picked Hero: Grape Juice!\Pop and kitschy!\Petting Hero: Anima\Okay, got it!\King Explosion Murder\King Explosion Murder.\You probably shouldn't use something like that.\Why not?! response:	You should be Explosion Boy!
context: Pop and kitschy!\Petting Hero: Anima\Okay, got it!\King Explosion Murder\King Explosion Murder.\You probably shouldn't use something like that.\Why not?!\You should be Explosion Boy! response:	Shut up, Weird Hair!
context: Petting Hero: Anima\Okay, got it!\King Explosion Murder\King Explosion Murder.\You probably shouldn't use something like that.\Why not?!\You should be Explosion Boy!\Shut up, Weird Hair! response:	Okay, my turn...
context: Okay, got it!\King Explosion Murder\King Explosion Murder.\You probably shouldn't use something like that.\Why not?!\You should be Explosion Boy!\Shut up, Weird Hair!\Okay, my turn... response:	Uravity
context: King Explosion Murder\King Explosion Murder.\You probably shouldn't use something like that.\Why not?!\You should be Explosion Boy!\Shut up, Weird Hair!\Okay, my turn...\Uravity response:	This is what I thought of: Uravity.
context: King Explosion Murder.\You probably shouldn't use something like that.\Why not?!\You should be Explosion Boy!\Shut up, Weird Hair!\Okay, my turn...\Uravity\This is what I thought of: Uravity. response:	Sounds stylish!
context: You probably shouldn't use something like that.\Why not?!\You should be Explosion Boy!\Shut up, Weird Hair!\Okay, my turn...\Uravity\This is what I thought of: Uravity.\Sounds stylish! response:	Choosing hero names is going more smoothly than I thought it would!
