context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: Leave remote control to me!\Gai...\Don't get in my way.\I'll defeat you with all I have!\That voice...\I knew it. You're there, aren't you?!\Tsugumi!\Aye! response:	What?!
context: Gai...\Don't get in my way.\I'll defeat you with all I have!\That voice...\I knew it. You're there, aren't you?!\Tsugumi!\Aye!\What?! response:	If I take you out, I can be myself!
context: Don't get in my way.\I'll defeat you with all I have!\That voice...\I knew it. You're there, aren't you?!\Tsugumi!\Aye!\What?!\If I take you out, I can be myself! response:	I can be Daryl the butcher!
context: I'll defeat you with all I have!\That voice...\I knew it. You're there, aren't you?!\Tsugumi!\Aye!\What?!\If I take you out, I can be myself!\I can be Daryl the butcher! response:	Shut up! We'll fry you first!
context: That voice...\I knew it. You're there, aren't you?!\Tsugumi!\Aye!\What?!\If I take you out, I can be myself!\I can be Daryl the butcher!\Shut up! We'll fry you first! response:	Inori?
context: I knew it. You're there, aren't you?!\Tsugumi!\Aye!\What?!\If I take you out, I can be myself!\I can be Daryl the butcher!\Shut up! We'll fry you first!\Inori? response:	No!
context: Tsugumi!\Aye!\What?!\If I take you out, I can be myself!\I can be Daryl the butcher!\Shut up! We'll fry you first!\Inori?\No! response:	We did it?
context: Aye!\What?!\If I take you out, I can be myself!\I can be Daryl the butcher!\Shut up! We'll fry you first!\Inori?\No!\We did it? response:	Brother!
context: What?!\If I take you out, I can be myself!\I can be Daryl the butcher!\Shut up! We'll fry you first!\Inori?\No!\We did it?\Brother! response:	In the end, the winner was neither Kurosu nor I.
context: If I take you out, I can be myself!\I can be Daryl the butcher!\Shut up! We'll fry you first!\Inori?\No!\We did it?\Brother!\In the end, the winner was neither Kurosu nor I. response:	Go, Haruka.
context: I can be Daryl the butcher!\Shut up! We'll fry you first!\Inori?\No!\We did it?\Brother!\In the end, the winner was neither Kurosu nor I.\Go, Haruka. response:	Gai!
context: Shut up! We'll fry you first!\Inori?\No!\We did it?\Brother!\In the end, the winner was neither Kurosu nor I.\Go, Haruka.\Gai! response:	It's okay, Shu.
context: Inori?\No!\We did it?\Brother!\In the end, the winner was neither Kurosu nor I.\Go, Haruka.\Gai!\It's okay, Shu. response:	Just stay yourself.
context: No!\We did it?\Brother!\In the end, the winner was neither Kurosu nor I.\Go, Haruka.\Gai!\It's okay, Shu.\Just stay yourself. response:	Where am I?
context: We did it?\Brother!\In the end, the winner was neither Kurosu nor I.\Go, Haruka.\Gai!\It's okay, Shu.\Just stay yourself.\Where am I? response:	The place where selection converges.
context: Brother!\In the end, the winner was neither Kurosu nor I.\Go, Haruka.\Gai!\It's okay, Shu.\Just stay yourself.\Where am I?\The place where selection converges. response:	The world beyond the Apocalypse.
context: In the end, the winner was neither Kurosu nor I.\Go, Haruka.\Gai!\It's okay, Shu.\Just stay yourself.\Where am I?\The place where selection converges.\The world beyond the Apocalypse. response:	Gai...
context: Go, Haruka.\Gai!\It's okay, Shu.\Just stay yourself.\Where am I?\The place where selection converges.\The world beyond the Apocalypse.\Gai... response:	This is
context: Gai!\It's okay, Shu.\Just stay yourself.\Where am I?\The place where selection converges.\The world beyond the Apocalypse.\Gai...\This is response:	the utopia of the Da'at.
context: It's okay, Shu.\Just stay yourself.\Where am I?\The place where selection converges.\The world beyond the Apocalypse.\Gai...\This is\the utopia of the Da'at. response:	This whole planet will turn into
context: Just stay yourself.\Where am I?\The place where selection converges.\The world beyond the Apocalypse.\Gai...\This is\the utopia of the Da'at.\This whole planet will turn into response:	memories inside the crystals.
context: Where am I?\The place where selection converges.\The world beyond the Apocalypse.\Gai...\This is\the utopia of the Da'at.\This whole planet will turn into\memories inside the crystals. response:	I have been celebrated as a king,
context: The place where selection converges.\The world beyond the Apocalypse.\Gai...\This is\the utopia of the Da'at.\This whole planet will turn into\memories inside the crystals.\I have been celebrated as a king, response:	but in the end...
context: The world beyond the Apocalypse.\Gai...\This is\the utopia of the Da'at.\This whole planet will turn into\memories inside the crystals.\I have been celebrated as a king,\but in the end... response:	I have always been afraid of being selected out.
context: Gai...\This is\the utopia of the Da'at.\This whole planet will turn into\memories inside the crystals.\I have been celebrated as a king,\but in the end...\I have always been afraid of being selected out. response:	That's the reason why
context: This is\the utopia of the Da'at.\This whole planet will turn into\memories inside the crystals.\I have been celebrated as a king,\but in the end...\I have always been afraid of being selected out.\That's the reason why response:	I wanted Eve...
context: the utopia of the Da'at.\This whole planet will turn into\memories inside the crystals.\I have been celebrated as a king,\but in the end...\I have always been afraid of being selected out.\That's the reason why\I wanted Eve... response:	Mana.
context: This whole planet will turn into\memories inside the crystals.\I have been celebrated as a king,\but in the end...\I have always been afraid of being selected out.\That's the reason why\I wanted Eve...\Mana. response:	Back there,
context: memories inside the crystals.\I have been celebrated as a king,\but in the end...\I have always been afraid of being selected out.\That's the reason why\I wanted Eve...\Mana.\Back there, response:	when you stabbed us in Roppongi,
context: I have been celebrated as a king,\but in the end...\I have always been afraid of being selected out.\That's the reason why\I wanted Eve...\Mana.\Back there,\when you stabbed us in Roppongi, response:	I believed that Mana would be freed that way.
context: but in the end...\I have always been afraid of being selected out.\That's the reason why\I wanted Eve...\Mana.\Back there,\when you stabbed us in Roppongi,\I believed that Mana would be freed that way. response:	But Da'at,
context: I have always been afraid of being selected out.\That's the reason why\I wanted Eve...\Mana.\Back there,\when you stabbed us in Roppongi,\I believed that Mana would be freed that way.\But Da'at, response:	the will of the natural selection
context: That's the reason why\I wanted Eve...\Mana.\Back there,\when you stabbed us in Roppongi,\I believed that Mana would be freed that way.\But Da'at,\the will of the natural selection response:	will not allow Mana to die.
context: I wanted Eve...\Mana.\Back there,\when you stabbed us in Roppongi,\I believed that Mana would be freed that way.\But Da'at,\the will of the natural selection\will not allow Mana to die. response:	Even if she died, she'd just be reanimated again.
context: Mana.\Back there,\when you stabbed us in Roppongi,\I believed that Mana would be freed that way.\But Da'at,\the will of the natural selection\will not allow Mana to die.\Even if she died, she'd just be reanimated again. response:	There is just one way to save her.
context: Back there,\when you stabbed us in Roppongi,\I believed that Mana would be freed that way.\But Da'at,\the will of the natural selection\will not allow Mana to die.\Even if she died, she'd just be reanimated again.\There is just one way to save her. response:	That is to let her finish her role.
context: when you stabbed us in Roppongi,\I believed that Mana would be freed that way.\But Da'at,\the will of the natural selection\will not allow Mana to die.\Even if she died, she'd just be reanimated again.\There is just one way to save her.\That is to let her finish her role. response:	That's why I risked it.
context: I believed that Mana would be freed that way.\But Da'at,\the will of the natural selection\will not allow Mana to die.\Even if she died, she'd just be reanimated again.\There is just one way to save her.\That is to let her finish her role.\That's why I risked it. response:	I would become the devil myself and bring about the Apocalypse.
context: But Da'at,\the will of the natural selection\will not allow Mana to die.\Even if she died, she'd just be reanimated again.\There is just one way to save her.\That is to let her finish her role.\That's why I risked it.\I would become the devil myself and bring about the Apocalypse. response:	Then you would come to stop us.
context: the will of the natural selection\will not allow Mana to die.\Even if she died, she'd just be reanimated again.\There is just one way to save her.\That is to let her finish her role.\That's why I risked it.\I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us. response:	My role ends here.
context: will not allow Mana to die.\Even if she died, she'd just be reanimated again.\There is just one way to save her.\That is to let her finish her role.\That's why I risked it.\I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us.\My role ends here. response:	Gai!
context: Even if she died, she'd just be reanimated again.\There is just one way to save her.\That is to let her finish her role.\That's why I risked it.\I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us.\My role ends here.\Gai! response:	Now go
context: There is just one way to save her.\That is to let her finish her role.\That's why I risked it.\I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us.\My role ends here.\Gai!\Now go response:	and save Inori.
context: That is to let her finish her role.\That's why I risked it.\I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us.\My role ends here.\Gai!\Now go\and save Inori. response:	Shu...
context: That's why I risked it.\I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us.\My role ends here.\Gai!\Now go\and save Inori.\Shu... response:	Shu...
context: I would become the devil myself and bring about the Apocalypse.\Then you would come to stop us.\My role ends here.\Gai!\Now go\and save Inori.\Shu...\Shu... response:	Don't blame yourself...
context: Then you would come to stop us.\My role ends here.\Gai!\Now go\and save Inori.\Shu...\Shu...\Don't blame yourself... response:	got a lot of feelings from you.
context: My role ends here.\Gai!\Now go\and save Inori.\Shu...\Shu...\Don't blame yourself...\got a lot of feelings from you. response:	It's all
context: Gai!\Now go\and save Inori.\Shu...\Shu...\Don't blame yourself...\got a lot of feelings from you.\It's all response:	thanks to you.
context: Now go\and save Inori.\Shu...\Shu...\Don't blame yourself...\got a lot of feelings from you.\It's all\thanks to you. response:	Hey, Shu...
context: and save Inori.\Shu...\Shu...\Don't blame yourself...\got a lot of feelings from you.\It's all\thanks to you.\Hey, Shu... response:	Where are you?
context: Shu...\Shu...\Don't blame yourself...\got a lot of feelings from you.\It's all\thanks to you.\Hey, Shu...\Where are you? response:	Shu?
context: Shu...\Don't blame yourself...\got a lot of feelings from you.\It's all\thanks to you.\Hey, Shu...\Where are you?\Shu? response:	Shu...
context: Don't blame yourself...\got a lot of feelings from you.\It's all\thanks to you.\Hey, Shu...\Where are you?\Shu?\Shu... response:	Please stay with me.
context: got a lot of feelings from you.\It's all\thanks to you.\Hey, Shu...\Where are you?\Shu?\Shu...\Please stay with me. response:	I'm on your side.
context: It's all\thanks to you.\Hey, Shu...\Where are you?\Shu?\Shu...\Please stay with me.\I'm on your side. response:	Okay?
context: thanks to you.\Hey, Shu...\Where are you?\Shu?\Shu...\Please stay with me.\I'm on your side.\Okay? response:	Inori...
context: Hey, Shu...\Where are you?\Shu?\Shu...\Please stay with me.\I'm on your side.\Okay?\Inori... response:	Let's go together.
context: Where are you?\Shu?\Shu...\Please stay with me.\I'm on your side.\Okay?\Inori...\Let's go together. response:	This feeling!
context: Shu?\Shu...\Please stay with me.\I'm on your side.\Okay?\Inori...\Let's go together.\This feeling! response:	I felt it too!
context: Shu...\Please stay with me.\I'm on your side.\Okay?\Inori...\Let's go together.\This feeling!\I felt it too! response:	It's Ouma!
context: Please stay with me.\I'm on your side.\Okay?\Inori...\Let's go together.\This feeling!\I felt it too!\It's Ouma! response:	Shu! Are you going to become the new Savior!?
context: I'm on your side.\Okay?\Inori...\Let's go together.\This feeling!\I felt it too!\It's Ouma!\Shu! Are you going to become the new Savior!? response:	The entire framework is in havoc because of the Genome Crystal!
context: Okay?\Inori...\Let's go together.\This feeling!\I felt it too!\It's Ouma!\Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal! response:	The whole building will collapse soon!
context: Inori...\Let's go together.\This feeling!\I felt it too!\It's Ouma!\Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon! response:	Guys...
context: Let's go together.\This feeling!\I felt it too!\It's Ouma!\Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon!\Guys... response:	Dr. Ouma! Are you unhurt?
context: This feeling!\I felt it too!\It's Ouma!\Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon!\Guys...\Dr. Ouma! Are you unhurt? response:	You?
context: I felt it too!\It's Ouma!\Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon!\Guys...\Dr. Ouma! Are you unhurt?\You? response:	If you get another chance,
context: It's Ouma!\Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon!\Guys...\Dr. Ouma! Are you unhurt?\You?\If you get another chance, response:	be more kind to people!
context: Shu! Are you going to become the new Savior!?\The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon!\Guys...\Dr. Ouma! Are you unhurt?\You?\If you get another chance,\be more kind to people! response:	Deep down, you were a nice guy, Daryl!
context: The entire framework is in havoc because of the Genome Crystal!\The whole building will collapse soon!\Guys...\Dr. Ouma! Are you unhurt?\You?\If you get another chance,\be more kind to people!\Deep down, you were a nice guy, Daryl! response:	I can feel the hearts of everyone flowing towards me.
context: The whole building will collapse soon!\Guys...\Dr. Ouma! Are you unhurt?\You?\If you get another chance,\be more kind to people!\Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me. response:	Their memories...
context: Guys...\Dr. Ouma! Are you unhurt?\You?\If you get another chance,\be more kind to people!\Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me.\Their memories... response:	Even the people who hated me were born
context: Dr. Ouma! Are you unhurt?\You?\If you get another chance,\be more kind to people!\Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me.\Their memories...\Even the people who hated me were born response:	and loved by someone.
context: You?\If you get another chance,\be more kind to people!\Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me.\Their memories...\Even the people who hated me were born\and loved by someone. response:	Inori...
context: If you get another chance,\be more kind to people!\Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me.\Their memories...\Even the people who hated me were born\and loved by someone.\Inori... response:	Take it.
context: be more kind to people!\Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me.\Their memories...\Even the people who hated me were born\and loved by someone.\Inori...\Take it. response:	Inori!
context: Deep down, you were a nice guy, Daryl!\I can feel the hearts of everyone flowing towards me.\Their memories...\Even the people who hated me were born\and loved by someone.\Inori...\Take it.\Inori! response:	Wait! Shu's still in there!
context: I can feel the hearts of everyone flowing towards me.\Their memories...\Even the people who hated me were born\and loved by someone.\Inori...\Take it.\Inori!\Wait! Shu's still in there! response:	I know!
context: Their memories...\Even the people who hated me were born\and loved by someone.\Inori...\Take it.\Inori!\Wait! Shu's still in there!\I know! response:	But, I can't let you die here either!
context: Even the people who hated me were born\and loved by someone.\Inori...\Take it.\Inori!\Wait! Shu's still in there!\I know!\But, I can't let you die here either! response:	Shu!
context: and loved by someone.\Inori...\Take it.\Inori!\Wait! Shu's still in there!\I know!\But, I can't let you die here either!\Shu! response:	Hey, Yahiro!
context: Inori...\Take it.\Inori!\Wait! Shu's still in there!\I know!\But, I can't let you die here either!\Shu!\Hey, Yahiro! response:	You're early.
context: Take it.\Inori!\Wait! Shu's still in there!\I know!\But, I can't let you die here either!\Shu!\Hey, Yahiro!\You're early. response:	You're busy with work?
context: Inori!\Wait! Shu's still in there!\I know!\But, I can't let you die here either!\Shu!\Hey, Yahiro!\You're early.\You're busy with work? response:	Kinda.
context: Wait! Shu's still in there!\I know!\But, I can't let you die here either!\Shu!\Hey, Yahiro!\You're early.\You're busy with work?\Kinda. response:	But I left early today.
context: I know!\But, I can't let you die here either!\Shu!\Hey, Yahiro!\You're early.\You're busy with work?\Kinda.\But I left early today. response:	Can I sit here?
context: But, I can't let you die here either!\Shu!\Hey, Yahiro!\You're early.\You're busy with work?\Kinda.\But I left early today.\Can I sit here? response:	Sure.
context: Shu!\Hey, Yahiro!\You're early.\You're busy with work?\Kinda.\But I left early today.\Can I sit here?\Sure. response:	Ayase, you're okay with an Earl Gray?
context: Hey, Yahiro!\You're early.\You're busy with work?\Kinda.\But I left early today.\Can I sit here?\Sure.\Ayase, you're okay with an Earl Gray? response:	These days you love me no more
context: You're early.\You're busy with work?\Kinda.\But I left early today.\Can I sit here?\Sure.\Ayase, you're okay with an Earl Gray?\These days you love me no more response:	That's so nice of you, Tsugumi.
context: You're busy with work?\Kinda.\But I left early today.\Can I sit here?\Sure.\Ayase, you're okay with an Earl Gray?\These days you love me no more\That's so nice of you, Tsugumi. response:	Just for today.
context: Kinda.\But I left early today.\Can I sit here?\Sure.\Ayase, you're okay with an Earl Gray?\These days you love me no more\That's so nice of you, Tsugumi.\Just for today. response:	Teacher exams are coming up, so I'll turn into a demon again at home.
context: But I left early today.\Can I sit here?\Sure.\Ayase, you're okay with an Earl Gray?\These days you love me no more\That's so nice of you, Tsugumi.\Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home. response:	nor am I still treasured by you
context: Can I sit here?\Sure.\Ayase, you're okay with an Earl Gray?\These days you love me no more\That's so nice of you, Tsugumi.\Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you response:	He's not here yet?
context: Sure.\Ayase, you're okay with an Earl Gray?\These days you love me no more\That's so nice of you, Tsugumi.\Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you\He's not here yet? response:	He'll be here.
context: Ayase, you're okay with an Earl Gray?\These days you love me no more\That's so nice of you, Tsugumi.\Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you\He's not here yet?\He'll be here. response:	Now I am all alone
context: These days you love me no more\That's so nice of you, Tsugumi.\Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you\He's not here yet?\He'll be here.\Now I am all alone response:	He was looking forward to it.
context: That's so nice of you, Tsugumi.\Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you\He's not here yet?\He'll be here.\Now I am all alone\He was looking forward to it. response:	Ah, there he is!
context: Just for today.\Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you\He's not here yet?\He'll be here.\Now I am all alone\He was looking forward to it.\Ah, there he is! response:	It's been a while, hasn't it?
context: Teacher exams are coming up, so I'll turn into a demon again at home.\nor am I still treasured by you\He's not here yet?\He'll be here.\Now I am all alone\He was looking forward to it.\Ah, there he is!\It's been a while, hasn't it? response:	What did you tell me when we parted?
context: nor am I still treasured by you\He's not here yet?\He'll be here.\Now I am all alone\He was looking forward to it.\Ah, there he is!\It's been a while, hasn't it?\What did you tell me when we parted? response:	Sorry for the wait.
context: He's not here yet?\He'll be here.\Now I am all alone\He was looking forward to it.\Ah, there he is!\It's been a while, hasn't it?\What did you tell me when we parted?\Sorry for the wait. response:	The words hung in midair and never reached me
context: He'll be here.\Now I am all alone\He was looking forward to it.\Ah, there he is!\It's been a while, hasn't it?\What did you tell me when we parted?\Sorry for the wait.\The words hung in midair and never reached me response:	Then, to this year!
context: Now I am all alone\He was looking forward to it.\Ah, there he is!\It's been a while, hasn't it?\What did you tell me when we parted?\Sorry for the wait.\The words hung in midair and never reached me\Then, to this year! response:	Cheers!
context: He was looking forward to it.\Ah, there he is!\It's been a while, hasn't it?\What did you tell me when we parted?\Sorry for the wait.\The words hung in midair and never reached me\Then, to this year!\Cheers! response:	I know my dreams and wishes are illusory
context: Ah, there he is!\It's been a while, hasn't it?\What did you tell me when we parted?\Sorry for the wait.\The words hung in midair and never reached me\Then, to this year!\Cheers!\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: It's been a while, hasn't it?\What did you tell me when we parted?\Sorry for the wait.\The words hung in midair and never reached me\Then, to this year!\Cheers!\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: What did you tell me when we parted?\Sorry for the wait.\The words hung in midair and never reached me\Then, to this year!\Cheers!\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: Sorry for the wait.\The words hung in midair and never reached me\Then, to this year!\Cheers!\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: The words hung in midair and never reached me\Then, to this year!\Cheers!\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: Then, to this year!\Cheers!\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	Thank you very much for watching until now!
context: Cheers!\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\Thank you very much for watching until now! response:	Production I.G., Team 6
