context: I don't want you to go! response:	I'm just going to do laundry.
context: Don't make faces like that!\You wait here. I'll make sure to turn you back to normal.\Isn't it all right?\I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before.\Shut up!\I don't need the power of a love potion.\Am I not always at your side like this? response:	Isn't it just that there's no other girls to woo because of summer vacation?
context: You wait here. I'll make sure to turn you back to normal.\Isn't it all right?\I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before.\Shut up!\I don't need the power of a love potion.\Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation? response:	That's not...
context: Isn't it all right?\I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before.\Shut up!\I don't need the power of a love potion.\Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation?\That's not... response:	Hey, Mon-Mon!
context: I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before.\Shut up!\I don't need the power of a love potion.\Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation?\That's not...\Hey, Mon-Mon! response:	Why don't you knock?!
context: than to be scolding you left and right like before.\Shut up!\I don't need the power of a love potion.\Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation?\That's not...\Hey, Mon-Mon!\Why don't you knock?! response:	You still have no manners at all.
context: Shut up!\I don't need the power of a love potion.\Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation?\That's not...\Hey, Mon-Mon!\Why don't you knock?!\You still have no manners at all. response:	Shut up!
context: I don't need the power of a love potion.\Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation?\That's not...\Hey, Mon-Mon!\Why don't you knock?!\You still have no manners at all.\Shut up! response:	Get Louise back to normal, right now!
context: Am I not always at your side like this?\Isn't it just that there's no other girls to woo because of summer vacation?\That's not...\Hey, Mon-Mon!\Why don't you knock?!\You still have no manners at all.\Shut up!\Get Louise back to normal, right now! response:	Didn't I tell you before?
context: Isn't it just that there's no other girls to woo because of summer vacation?\That's not...\Hey, Mon-Mon!\Why don't you knock?!\You still have no manners at all.\Shut up!\Get Louise back to normal, right now!\Didn't I tell you before? response:	Until the effects wear off...
context: That's not...\Hey, Mon-Mon!\Why don't you knock?!\You still have no manners at all.\Shut up!\Get Louise back to normal, right now!\Didn't I tell you before?\Until the effects wear off... response:	There's some potion or a way to undo the magic, isn't there?
context: Hey, Mon-Mon!\Why don't you knock?!\You still have no manners at all.\Shut up!\Get Louise back to normal, right now!\Didn't I tell you before?\Until the effects wear off...\There's some potion or a way to undo the magic, isn't there? response:	It's not that there isn't one,
context: Why don't you knock?!\You still have no manners at all.\Shut up!\Get Louise back to normal, right now!\Didn't I tell you before?\Until the effects wear off...\There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one, response:	but you can't do it here.
context: You still have no manners at all.\Shut up!\Get Louise back to normal, right now!\Didn't I tell you before?\Until the effects wear off...\There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one,\but you can't do it here. response:	I don't have the potion necessary to do it with.
context: Shut up!\Get Louise back to normal, right now!\Didn't I tell you before?\Until the effects wear off...\There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one,\but you can't do it here.\I don't have the potion necessary to do it with. response:	And where is that?
context: Get Louise back to normal, right now!\Didn't I tell you before?\Until the effects wear off...\There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one,\but you can't do it here.\I don't have the potion necessary to do it with.\And where is that? response:	Saito... Is that how you treat nobility?
context: Didn't I tell you before?\Until the effects wear off...\There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one,\but you can't do it here.\I don't have the potion necessary to do it with.\And where is that?\Saito... Is that how you treat nobility? response:	Want to have another duel, Guiche?
context: Until the effects wear off...\There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one,\but you can't do it here.\I don't have the potion necessary to do it with.\And where is that?\Saito... Is that how you treat nobility?\Want to have another duel, Guiche? response:	Well, not really.
context: There's some potion or a way to undo the magic, isn't there?\It's not that there isn't one,\but you can't do it here.\I don't have the potion necessary to do it with.\And where is that?\Saito... Is that how you treat nobility?\Want to have another duel, Guiche?\Well, not really. response:	It's useless to speak of nobility and peasants with you, anyway.
context: It's not that there isn't one,\but you can't do it here.\I don't have the potion necessary to do it with.\And where is that?\Saito... Is that how you treat nobility?\Want to have another duel, Guiche?\Well, not really.\It's useless to speak of nobility and peasants with you, anyway. response:	Montmorency, for now, I think it's best if we listened to his orders.
context: but you can't do it here.\I don't have the potion necessary to do it with.\And where is that?\Saito... Is that how you treat nobility?\Want to have another duel, Guiche?\Well, not really.\It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders. response:	You're so pathetic.
context: I don't have the potion necessary to do it with.\And where is that?\Saito... Is that how you treat nobility?\Want to have another duel, Guiche?\Well, not really.\It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic. response:	You say that, but even getting a Spirit Tear is really difficult!
context: And where is that?\Saito... Is that how you treat nobility?\Want to have another duel, Guiche?\Well, not really.\It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult! response:	Would you like to eat stale bread, Mon-Mon?
context: Saito... Is that how you treat nobility?\Want to have another duel, Guiche?\Well, not really.\It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon? response:	I heard somewhere that making love potions is illegal...
context: Want to have another duel, Guiche?\Well, not really.\It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal... response:	That's...
context: Well, not really.\It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal...\That's... response:	I guess I'll have to inform the principal about this.
context: It's useless to speak of nobility and peasants with you, anyway.\Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal...\That's...\I guess I'll have to inform the principal about this. response:	Oh, all right! I guess I have no choice!
context: Montmorency, for now, I think it's best if we listened to his orders.\You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal...\That's...\I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice! response:	I'll go there and get it myself soon!
context: You're so pathetic.\You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal...\That's...\I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice!\I'll go there and get it myself soon! response:	Go get such a rare potion?
context: You say that, but even getting a Spirit Tear is really difficult!\Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal...\That's...\I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice!\I'll go there and get it myself soon!\Go get such a rare potion? response:	I know where it is.
context: Would you like to eat stale bread, Mon-Mon?\I heard somewhere that making love potions is illegal...\That's...\I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice!\I'll go there and get it myself soon!\Go get such a rare potion?\I know where it is. response:	Though whether I can get it by going there is another matter.
context: I heard somewhere that making love potions is illegal...\That's...\I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice!\I'll go there and get it myself soon!\Go get such a rare potion?\I know where it is.\Though whether I can get it by going there is another matter. response:	All right, let's go tomorrow.
context: That's...\I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice!\I'll go there and get it myself soon!\Go get such a rare potion?\I know where it is.\Though whether I can get it by going there is another matter.\All right, let's go tomorrow. response:	Tomorrow?
context: I guess I'll have to inform the principal about this.\Oh, all right! I guess I have no choice!\I'll go there and get it myself soon!\Go get such a rare potion?\I know where it is.\Though whether I can get it by going there is another matter.\All right, let's go tomorrow.\Tomorrow? response:	Come to think of it, I think I saw Mr. Colbert in the lab earlier.
context: Oh, all right! I guess I have no choice!\I'll go there and get it myself soon!\Go get such a rare potion?\I know where it is.\Though whether I can get it by going there is another matter.\All right, let's go tomorrow.\Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier. response:	I'll go! You want me to go, don't you?
context: I'll go there and get it myself soon!\Go get such a rare potion?\I know where it is.\Though whether I can get it by going there is another matter.\All right, let's go tomorrow.\Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you? response:	So where is that location?
context: Go get such a rare potion?\I know where it is.\Though whether I can get it by going there is another matter.\All right, let's go tomorrow.\Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you?\So where is that location? response:	Lake Lagdorian.
context: I know where it is.\Though whether I can get it by going there is another matter.\All right, let's go tomorrow.\Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you?\So where is that location?\Lake Lagdorian. response:	Water-based mages bind a pact with the spirit there.
context: Though whether I can get it by going there is another matter.\All right, let's go tomorrow.\Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you?\So where is that location?\Lake Lagdorian.\Water-based mages bind a pact with the spirit there. response:	Though I've only been there once, as a small child.
context: All right, let's go tomorrow.\Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you?\So where is that location?\Lake Lagdorian.\Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child. response:	You just have to sleep together with me!
context: Tomorrow?\Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you?\So where is that location?\Lake Lagdorian.\Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child.\You just have to sleep together with me! response:	If you don't, I'll punish you!
context: Come to think of it, I think I saw Mr. Colbert in the lab earlier.\I'll go! You want me to go, don't you?\So where is that location?\Lake Lagdorian.\Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child.\You just have to sleep together with me!\If you don't, I'll punish you! response:	All right, I get it, now sleep!
context: I'll go! You want me to go, don't you?\So where is that location?\Lake Lagdorian.\Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child.\You just have to sleep together with me!\If you don't, I'll punish you!\All right, I get it, now sleep! response:	We're getting up early tomorrow.
context: So where is that location?\Lake Lagdorian.\Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child.\You just have to sleep together with me!\If you don't, I'll punish you!\All right, I get it, now sleep!\We're getting up early tomorrow. response:	Yeah...
context: Lake Lagdorian.\Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child.\You just have to sleep together with me!\If you don't, I'll punish you!\All right, I get it, now sleep!\We're getting up early tomorrow.\Yeah... response:	I've seen this often enough...
context: Water-based mages bind a pact with the spirit there.\Though I've only been there once, as a small child.\You just have to sleep together with me!\If you don't, I'll punish you!\All right, I get it, now sleep!\We're getting up early tomorrow.\Yeah...\I've seen this often enough... response:	Argh, I can't sleep at all now!
context: Though I've only been there once, as a small child.\You just have to sleep together with me!\If you don't, I'll punish you!\All right, I get it, now sleep!\We're getting up early tomorrow.\Yeah...\I've seen this often enough...\Argh, I can't sleep at all now! response:	Along the border with Galia?
context: You just have to sleep together with me!\If you don't, I'll punish you!\All right, I get it, now sleep!\We're getting up early tomorrow.\Yeah...\I've seen this often enough...\Argh, I can't sleep at all now!\Along the border with Galia? response:	It'll take half the day to get there.
context: If you don't, I'll punish you!\All right, I get it, now sleep!\We're getting up early tomorrow.\Yeah...\I've seen this often enough...\Argh, I can't sleep at all now!\Along the border with Galia?\It'll take half the day to get there. response:	I didn't ask you to come with me, did I?
context: All right, I get it, now sleep!\We're getting up early tomorrow.\Yeah...\I've seen this often enough...\Argh, I can't sleep at all now!\Along the border with Galia?\It'll take half the day to get there.\I didn't ask you to come with me, did I? response:	What would your knight be doing
context: We're getting up early tomorrow.\Yeah...\I've seen this often enough...\Argh, I can't sleep at all now!\Along the border with Galia?\It'll take half the day to get there.\I didn't ask you to come with me, did I?\What would your knight be doing response:	if he didn't go with you at a time like this?
context: Yeah...\I've seen this often enough...\Argh, I can't sleep at all now!\Along the border with Galia?\It'll take half the day to get there.\I didn't ask you to come with me, did I?\What would your knight be doing\if he didn't go with you at a time like this? response:	So sleepy...
context: I've seen this often enough...\Argh, I can't sleep at all now!\Along the border with Galia?\It'll take half the day to get there.\I didn't ask you to come with me, did I?\What would your knight be doing\if he didn't go with you at a time like this?\So sleepy... response:	Is she really going to be back to normal?
context: Argh, I can't sleep at all now!\Along the border with Galia?\It'll take half the day to get there.\I didn't ask you to come with me, did I?\What would your knight be doing\if he didn't go with you at a time like this?\So sleepy...\Is she really going to be back to normal? response:	Lake Lagdorian is up ahead, past this hill.
context: Along the border with Galia?\It'll take half the day to get there.\I didn't ask you to come with me, did I?\What would your knight be doing\if he didn't go with you at a time like this?\So sleepy...\Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill. response:	So we finally get to see Lake Lagdorian, our destination.
context: It'll take half the day to get there.\I didn't ask you to come with me, did I?\What would your knight be doing\if he didn't go with you at a time like this?\So sleepy...\Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination. response:	He really is carefree. What part of him is a knight?
context: I didn't ask you to come with me, did I?\What would your knight be doing\if he didn't go with you at a time like this?\So sleepy...\Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight? response:	You know, I knitted this for you yesterday, Saito.
context: What would your knight be doing\if he didn't go with you at a time like this?\So sleepy...\Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito. response:	I see... It's a lovely hat.
context: if he didn't go with you at a time like this?\So sleepy...\Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat. response:	It's not a hat! It's a sweater!
context: So sleepy...\Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat.\It's not a hat! It's a sweater! response:	Oh, I see! You're right... It's a lovely jellyfish sweater!
context: Is she really going to be back to normal?\Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat.\It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater! response:	Do you like it?
context: Lake Lagdorian is up ahead, past this hill.\So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat.\It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it? response:	Yeah...
context: So we finally get to see Lake Lagdorian, our destination.\He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat.\It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it?\Yeah... response:	Help me!
context: He really is carefree. What part of him is a knight?\You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat.\It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it?\Yeah...\Help me! response:	What's this? Water up to here?
context: You know, I knitted this for you yesterday, Saito.\I see... It's a lovely hat.\It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it?\Yeah...\Help me!\What's this? Water up to here? response:	Is the Water Spirit or whatever really here?
context: I see... It's a lovely hat.\It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it?\Yeah...\Help me!\What's this? Water up to here?\Is the Water Spirit or whatever really here? response:	It looks like the Water Spirit is upset.
context: It's not a hat! It's a sweater!\Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it?\Yeah...\Help me!\What's this? Water up to here?\Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset. response:	Upset?
context: Oh, I see! You're right... It's a lovely jellyfish sweater!\Do you like it?\Yeah...\Help me!\What's this? Water up to here?\Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset.\Upset? response:	The water level is unusually high.
context: Do you like it?\Yeah...\Help me!\What's this? Water up to here?\Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset.\Upset?\The water level is unusually high. response:	Unusually?
context: Yeah...\Help me!\What's this? Water up to here?\Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset.\Upset?\The water level is unusually high.\Unusually? response:	Look.
context: Help me!\What's this? Water up to here?\Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset.\Upset?\The water level is unusually high.\Unusually?\Look. response:	They're all underwater.
context: What's this? Water up to here?\Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset.\Upset?\The water level is unusually high.\Unusually?\Look.\They're all underwater. response:	When I came here with my father as a child, it wasn't like this.
context: Is the Water Spirit or whatever really here?\It looks like the Water Spirit is upset.\Upset?\The water level is unusually high.\Unusually?\Look.\They're all underwater.\When I came here with my father as a child, it wasn't like this. response:	Let's wait a little while.
context: It looks like the Water Spirit is upset.\Upset?\The water level is unusually high.\Unusually?\Look.\They're all underwater.\When I came here with my father as a child, it wasn't like this.\Let's wait a little while. response:	The spirit won't come out until after the sun sets.
context: Upset?\The water level is unusually high.\Unusually?\Look.\They're all underwater.\When I came here with my father as a child, it wasn't like this.\Let's wait a little while.\The spirit won't come out until after the sun sets. response:	Don't just sit there chatting idly! Before all that, save me...
context: The water level is unusually high.\Unusually?\Look.\They're all underwater.\When I came here with my father as a child, it wasn't like this.\Let's wait a little while.\The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me... response:	All right, Robin... I want to contact one of my old friends.
context: Unusually?\Look.\They're all underwater.\When I came here with my father as a child, it wasn't like this.\Let's wait a little while.\The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends. response:	Now, this should identify me.
context: Look.\They're all underwater.\When I came here with my father as a child, it wasn't like this.\Let's wait a little while.\The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends.\Now, this should identify me. response:	Tell the old Water Spirit that
context: They're all underwater.\When I came here with my father as a child, it wasn't like this.\Let's wait a little while.\The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends.\Now, this should identify me.\Tell the old Water Spirit that response:	someone who bid a contract with it would like to talk to it.
context: When I came here with my father as a child, it wasn't like this.\Let's wait a little while.\The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends.\Now, this should identify me.\Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it. response:	If she can find it, Robin will bring it to us.
context: Let's wait a little while.\The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends.\Now, this should identify me.\Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us. response:	Will it come?
context: The spirit won't come out until after the sun sets.\Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends.\Now, this should identify me.\Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us.\Will it come? response:	Who knows...
context: Don't just sit there chatting idly! Before all that, save me...\All right, Robin... I want to contact one of my old friends.\Now, this should identify me.\Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us.\Will it come?\Who knows... response:	And the actual person involved is asleep.
context: All right, Robin... I want to contact one of my old friends.\Now, this should identify me.\Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us.\Will it come?\Who knows...\And the actual person involved is asleep. response:	In the past, I came here with my father,
context: Now, this should identify me.\Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us.\Will it come?\Who knows...\And the actual person involved is asleep.\In the past, I came here with my father, response:	and bid a contract with the spirit.
context: Tell the old Water Spirit that\someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us.\Will it come?\Who knows...\And the actual person involved is asleep.\In the past, I came here with my father,\and bid a contract with the spirit. response:	If the spirit remembers, I'm sure it will come.
context: someone who bid a contract with it would like to talk to it.\If she can find it, Robin will bring it to us.\Will it come?\Who knows...\And the actual person involved is asleep.\In the past, I came here with my father,\and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come. response:	And after that, we collect a tear...
context: If she can find it, Robin will bring it to us.\Will it come?\Who knows...\And the actual person involved is asleep.\In the past, I came here with my father,\and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come.\And after that, we collect a tear... response:	Do we have to tell sad stories or something?
context: Will it come?\Who knows...\And the actual person involved is asleep.\In the past, I came here with my father,\and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come.\And after that, we collect a tear...\Do we have to tell sad stories or something? response:	Idiot. It's just called a Tear.
context: Who knows...\And the actual person involved is asleep.\In the past, I came here with my father,\and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come.\And after that, we collect a tear...\Do we have to tell sad stories or something?\Idiot. It's just called a Tear. response:	We have to have it split off a tiny portion of its body!
context: And the actual person involved is asleep.\In the past, I came here with my father,\and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come.\And after that, we collect a tear...\Do we have to tell sad stories or something?\Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body! response:	Listen, okay?
context: In the past, I came here with my father,\and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come.\And after that, we collect a tear...\Do we have to tell sad stories or something?\Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body!\Listen, okay? response:	If you make the spirit upset, we can forget the Tear,
context: and bid a contract with the spirit.\If the spirit remembers, I'm sure it will come.\And after that, we collect a tear...\Do we have to tell sad stories or something?\Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body!\Listen, okay?\If you make the spirit upset, we can forget the Tear, response:	and our lives will be in danger too!
context: If the spirit remembers, I'm sure it will come.\And after that, we collect a tear...\Do we have to tell sad stories or something?\Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body!\Listen, okay?\If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too! response:	You really have to be careful!
context: And after that, we collect a tear...\Do we have to tell sad stories or something?\Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body!\Listen, okay?\If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too!\You really have to be careful! response:	Gotcha.
context: Do we have to tell sad stories or something?\Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body!\Listen, okay?\If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too!\You really have to be careful!\Gotcha. response:	It's here!
context: Idiot. It's just called a Tear.\We have to have it split off a tiny portion of its body!\Listen, okay?\If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too!\You really have to be careful!\Gotcha.\It's here! response:	This is the Water Spirit...
context: We have to have it split off a tiny portion of its body!\Listen, okay?\If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too!\You really have to be careful!\Gotcha.\It's here!\This is the Water Spirit... response:	Hey, this takes me back.
context: Listen, okay?\If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too!\You really have to be careful!\Gotcha.\It's here!\This is the Water Spirit...\Hey, this takes me back. response:	I am Montmorency Margarita la Fere de Montmorency...
context: If you make the spirit upset, we can forget the Tear,\and our lives will be in danger too!\You really have to be careful!\Gotcha.\It's here!\This is the Water Spirit...\Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency... response:	A water user, of a family that has had a lasting pact with you.
context: and our lives will be in danger too!\You really have to be careful!\Gotcha.\It's here!\This is the Water Spirit...\Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you. response:	If you remember anything about my blood,
context: You really have to be careful!\Gotcha.\It's here!\This is the Water Spirit...\Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood, response:	please answer me in a way that we can recognize!
context: Gotcha.\It's here!\This is the Water Spirit...\Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood,\please answer me in a way that we can recognize! response:	I remember, lonely one.
context: It's here!\This is the Water Spirit...\Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood,\please answer me in a way that we can recognize!\I remember, lonely one. response:	I remember the fluid that runs in your body.
context: This is the Water Spirit...\Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood,\please answer me in a way that we can recognize!\I remember, lonely one.\I remember the fluid that runs in your body. response:	It spoke!
context: Hey, this takes me back.\I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood,\please answer me in a way that we can recognize!\I remember, lonely one.\I remember the fluid that runs in your body.\It spoke! response:	I'm glad. O Water Spirit, I have a favor to ask.
context: I am Montmorency Margarita la Fere de Montmorency...\A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood,\please answer me in a way that we can recognize!\I remember, lonely one.\I remember the fluid that runs in your body.\It spoke!\I'm glad. O Water Spirit, I have a favor to ask. response:	A favor?
context: A water user, of a family that has had a lasting pact with you.\If you remember anything about my blood,\please answer me in a way that we can recognize!\I remember, lonely one.\I remember the fluid that runs in your body.\It spoke!\I'm glad. O Water Spirit, I have a favor to ask.\A favor? response:	I would like to have a small piece of you.
context: If you remember anything about my blood,\please answer me in a way that we can recognize!\I remember, lonely one.\I remember the fluid that runs in your body.\It spoke!\I'm glad. O Water Spirit, I have a favor to ask.\A favor?\I would like to have a small piece of you. response:	We decline, lonely one.
context: please answer me in a way that we can recognize!\I remember, lonely one.\I remember the fluid that runs in your body.\It spoke!\I'm glad. O Water Spirit, I have a favor to ask.\A favor?\I would like to have a small piece of you.\We decline, lonely one. response:	Don't say that! Please, Water Spirit!
context: I remember, lonely one.\I remember the fluid that runs in your body.\It spoke!\I'm glad. O Water Spirit, I have a favor to ask.\A favor?\I would like to have a small piece of you.\We decline, lonely one.\Don't say that! Please, Water Spirit! response:	Wait! Knock it off!
context: I remember the fluid that runs in your body.\It spoke!\I'm glad. O Water Spirit, I have a favor to ask.\A favor?\I would like to have a small piece of you.\We decline, lonely one.\Don't say that! Please, Water Spirit!\Wait! Knock it off! response:	If she gets in a bad mood...
context: It spoke!\I'm glad. O Water Spirit, I have a favor to ask.\A favor?\I would like to have a small piece of you.\We decline, lonely one.\Don't say that! Please, Water Spirit!\Wait! Knock it off!\If she gets in a bad mood... response:	I'll do whatever you tell me to, so just a bit...
context: I'm glad. O Water Spirit, I have a favor to ask.\A favor?\I would like to have a small piece of you.\We decline, lonely one.\Don't say that! Please, Water Spirit!\Wait! Knock it off!\If she gets in a bad mood...\I'll do whatever you tell me to, so just a bit... response:	A tiny bit...
