context: I've been thinking this whole time. response:	What should I do for Norman's sake?
context: The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me.\I've been waiting for this day.\I decided this a long time ago. Many, many years ago.\It's a childish retaliation.\You know what, Emma?\I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be. response:	Twelve years.
context: She won't be able to abandon me.\I've been waiting for this day.\I decided this a long time ago. Many, many years ago.\It's a childish retaliation.\You know what, Emma?\I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years. response:	I'm a feast that they've been waiting for.
context: I've been waiting for this day.\I decided this a long time ago. Many, many years ago.\It's a childish retaliation.\You know what, Emma?\I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years.\I'm a feast that they've been waiting for. response:	I'm going to take that away from them tonight.
context: I decided this a long time ago. Many, many years ago.\It's a childish retaliation.\You know what, Emma?\I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years.\I'm a feast that they've been waiting for.\I'm going to take that away from them tonight. response:	Right before the harvest they've been looking forward to.
context: It's a childish retaliation.\You know what, Emma?\I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years.\I'm a feast that they've been waiting for.\I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to. response:	Don't think you can eat me. Don't think you can serve me.
context: You know what, Emma?\I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years.\I'm a feast that they've been waiting for.\I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me. response:	Food? Merchandise? I don't give a crap!
context: I've never really been interested in studying or reading.\But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years.\I'm a feast that they've been waiting for.\I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap! response:	I'm a human being! Serves them right!
context: But I endured it, and I worked hard to improve my value to the highest it could be.\Twelve years.\I'm a feast that they've been waiting for.\I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right! response:	Ray...
context: Twelve years.\I'm a feast that they've been waiting for.\I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right!\Ray... response:	Also, it's fine this way.
context: I'm a feast that they've been waiting for.\I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right!\Ray...\Also, it's fine this way. response:	This is the best way.
context: I'm going to take that away from them tonight.\Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right!\Ray...\Also, it's fine this way.\This is the best way. response:	I've watched my family die all these years.
context: Right before the harvest they've been looking forward to.\Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right!\Ray...\Also, it's fine this way.\This is the best way.\I've watched my family die all these years. response:	I used them.
context: Don't think you can eat me. Don't think you can serve me.\Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right!\Ray...\Also, it's fine this way.\This is the best way.\I've watched my family die all these years.\I used them. response:	And they were all good kids.
context: Food? Merchandise? I don't give a crap!\I'm a human being! Serves them right!\Ray...\Also, it's fine this way.\This is the best way.\I've watched my family die all these years.\I used them.\And they were all good kids. response:	They were kindhearted.
context: I'm a human being! Serves them right!\Ray...\Also, it's fine this way.\This is the best way.\I've watched my family die all these years.\I used them.\And they were all good kids.\They were kindhearted. response:	- Wait. - Don't move.
context: Ray...\Also, it's fine this way.\This is the best way.\I've watched my family die all these years.\I used them.\And they were all good kids.\They were kindhearted.\- Wait. - Don't move. response:	Listen, Emma. You only have one chance.
context: Also, it's fine this way.\This is the best way.\I've watched my family die all these years.\I used them.\And they were all good kids.\They were kindhearted.\- Wait. - Don't move.\Listen, Emma. You only have one chance. response:	Make this work.
context: This is the best way.\I've watched my family die all these years.\I used them.\And they were all good kids.\They were kindhearted.\- Wait. - Don't move.\Listen, Emma. You only have one chance.\Make this work. response:	Please, don't let me, or Norman, die in vain.
context: I've watched my family die all these years.\I used them.\And they were all good kids.\They were kindhearted.\- Wait. - Don't move.\Listen, Emma. You only have one chance.\Make this work.\Please, don't let me, or Norman, die in vain. response:	This is for you.
context: I used them.\And they were all good kids.\They were kindhearted.\- Wait. - Don't move.\Listen, Emma. You only have one chance.\Make this work.\Please, don't let me, or Norman, die in vain.\This is for you. response:	From that time...
context: And they were all good kids.\They were kindhearted.\- Wait. - Don't move.\Listen, Emma. You only have one chance.\Make this work.\Please, don't let me, or Norman, die in vain.\This is for you.\From that time... response:	I'm now 12 years old.
context: They were kindhearted.\- Wait. - Don't move.\Listen, Emma. You only have one chance.\Make this work.\Please, don't let me, or Norman, die in vain.\This is for you.\From that time...\I'm now 12 years old. response:	It was a life I wanted to curse, but the time I spent with everyone was really fun.
context: - Wait. - Don't move.\Listen, Emma. You only have one chance.\Make this work.\Please, don't let me, or Norman, die in vain.\This is for you.\From that time...\I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun. response:	No, stop!
context: Listen, Emma. You only have one chance.\Make this work.\Please, don't let me, or Norman, die in vain.\This is for you.\From that time...\I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop! response:	Thank you.
context: Make this work.\Please, don't let me, or Norman, die in vain.\This is for you.\From that time...\I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop!\Thank you. response:	Bye-bye, Emma.
context: Please, don't let me, or Norman, die in vain.\This is for you.\From that time...\I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop!\Thank you.\Bye-bye, Emma. response:	Happy birthday.
context: This is for you.\From that time...\I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop!\Thank you.\Bye-bye, Emma.\Happy birthday. response:	Goodbye.
context: From that time...\I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop!\Thank you.\Bye-bye, Emma.\Happy birthday.\Goodbye. response:	Ray!
context: I'm now 12 years old.\It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop!\Thank you.\Bye-bye, Emma.\Happy birthday.\Goodbye.\Ray! response:	What is this smell?
context: It was a life I wanted to curse, but the time I spent with everyone was really fun.\No, stop!\Thank you.\Bye-bye, Emma.\Happy birthday.\Goodbye.\Ray!\What is this smell? response:	Ray!
context: No, stop!\Thank you.\Bye-bye, Emma.\Happy birthday.\Goodbye.\Ray!\What is this smell?\Ray! response:	Ray!
context: Thank you.\Bye-bye, Emma.\Happy birthday.\Goodbye.\Ray!\What is this smell?\Ray!\Ray! response:	Ray! Ray!
context: Bye-bye, Emma.\Happy birthday.\Goodbye.\Ray!\What is this smell?\Ray!\Ray!\Ray! Ray! response:	Ray?
context: Happy birthday.\Goodbye.\Ray!\What is this smell?\Ray!\Ray!\Ray! Ray!\Ray? response:	Emma!
context: Goodbye.\Ray!\What is this smell?\Ray!\Ray!\Ray! Ray!\Ray?\Emma! response:	Mom, help! Ray is...
context: Ray!\What is this smell?\Ray!\Ray!\Ray! Ray!\Ray?\Emma!\Mom, help! Ray is... response:	Ray is in there!
context: What is this smell?\Ray!\Ray!\Ray! Ray!\Ray?\Emma!\Mom, help! Ray is...\Ray is in there! response:	Did he set himself on fire?
context: Ray!\Ray!\Ray! Ray!\Ray?\Emma!\Mom, help! Ray is...\Ray is in there!\Did he set himself on fire? response:	Mom!
context: Ray!\Ray! Ray!\Ray?\Emma!\Mom, help! Ray is...\Ray is in there!\Did he set himself on fire?\Mom! response:	Gilda, take everyone outside! Also please get the babies in my room!
context: Ray! Ray!\Ray?\Emma!\Mom, help! Ray is...\Ray is in there!\Did he set himself on fire?\Mom!\Gilda, take everyone outside! Also please get the babies in my room! response:	Okay!
context: Ray?\Emma!\Mom, help! Ray is...\Ray is in there!\Did he set himself on fire?\Mom!\Gilda, take everyone outside! Also please get the babies in my room!\Okay! response:	If I can...
context: Emma!\Mom, help! Ray is...\Ray is in there!\Did he set himself on fire?\Mom!\Gilda, take everyone outside! Also please get the babies in my room!\Okay!\If I can... response:	at least get his brain...
context: Mom, help! Ray is...\Ray is in there!\Did he set himself on fire?\Mom!\Gilda, take everyone outside! Also please get the babies in my room!\Okay!\If I can...\at least get his brain... response:	Emma, stay back.
context: Ray is in there!\Did he set himself on fire?\Mom!\Gilda, take everyone outside! Also please get the babies in my room!\Okay!\If I can...\at least get his brain...\Emma, stay back. response:	Ray.
context: Did he set himself on fire?\Mom!\Gilda, take everyone outside! Also please get the babies in my room!\Okay!\If I can...\at least get his brain...\Emma, stay back.\Ray. response:	Why aren't the sprinklers working?
context: Mom!\Gilda, take everyone outside! Also please get the babies in my room!\Okay!\If I can...\at least get his brain...\Emma, stay back.\Ray.\Why aren't the sprinklers working? response:	Emma, you need to get out of here too. Or else, you'll also...
context: Gilda, take everyone outside! Also please get the babies in my room!\Okay!\If I can...\at least get his brain...\Emma, stay back.\Ray.\Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also... response:	Emma?
context: Okay!\If I can...\at least get his brain...\Emma, stay back.\Ray.\Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also...\Emma? response:	Emma?
context: If I can...\at least get his brain...\Emma, stay back.\Ray.\Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also...\Emma?\Emma? response:	What were those children...
context: at least get his brain...\Emma, stay back.\Ray.\Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also...\Emma?\Emma?\What were those children... response:	wearing on their feet?
context: Emma, stay back.\Ray.\Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also...\Emma?\Emma?\What were those children...\wearing on their feet? response:	Oh, she's here.
context: Ray.\Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also...\Emma?\Emma?\What were those children...\wearing on their feet?\Oh, she's here. response:	Emma!
context: Why aren't the sprinklers working?\Emma, you need to get out of here too. Or else, you'll also...\Emma?\Emma?\What were those children...\wearing on their feet?\Oh, she's here.\Emma! response:	Thanks for waiting, everyone!
context: Emma, you need to get out of here too. Or else, you'll also...\Emma?\Emma?\What were those children...\wearing on their feet?\Oh, she's here.\Emma!\Thanks for waiting, everyone! response:	Thank you.
context: Emma?\Emma?\What were those children...\wearing on their feet?\Oh, she's here.\Emma!\Thanks for waiting, everyone!\Thank you. response:	Bye-bye, Emma.
context: Emma?\What were those children...\wearing on their feet?\Oh, she's here.\Emma!\Thanks for waiting, everyone!\Thank you.\Bye-bye, Emma. response:	Nice catch.
context: What were those children...\wearing on their feet?\Oh, she's here.\Emma!\Thanks for waiting, everyone!\Thank you.\Bye-bye, Emma.\Nice catch. response:	You...
context: wearing on their feet?\Oh, she's here.\Emma!\Thanks for waiting, everyone!\Thank you.\Bye-bye, Emma.\Nice catch.\You... response:	Sorry, but I'm not going to let you die. Not me, nor the other children.
context: Oh, she's here.\Emma!\Thanks for waiting, everyone!\Thank you.\Bye-bye, Emma.\Nice catch.\You...\Sorry, but I'm not going to let you die. Not me, nor the other children. response:	The other children?
context: Emma!\Thanks for waiting, everyone!\Thank you.\Bye-bye, Emma.\Nice catch.\You...\Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children? response:	I brought what you asked for, Emma.
context: Thanks for waiting, everyone!\Thank you.\Bye-bye, Emma.\Nice catch.\You...\Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children?\I brought what you asked for, Emma. response:	And everyone's already good to go.
context: Thank you.\Bye-bye, Emma.\Nice catch.\You...\Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children?\I brought what you asked for, Emma.\And everyone's already good to go. response:	Thanks, Thoma and Lanni.
context: Bye-bye, Emma.\Nice catch.\You...\Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children?\I brought what you asked for, Emma.\And everyone's already good to go.\Thanks, Thoma and Lanni. response:	Okay, Ray. Get changed.
context: Nice catch.\You...\Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children?\I brought what you asked for, Emma.\And everyone's already good to go.\Thanks, Thoma and Lanni.\Okay, Ray. Get changed. response:	Done changing? Then next is...
context: You...\Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children?\I brought what you asked for, Emma.\And everyone's already good to go.\Thanks, Thoma and Lanni.\Okay, Ray. Get changed.\Done changing? Then next is... response:	Wait, but...
context: Sorry, but I'm not going to let you die. Not me, nor the other children.\The other children?\I brought what you asked for, Emma.\And everyone's already good to go.\Thanks, Thoma and Lanni.\Okay, Ray. Get changed.\Done changing? Then next is...\Wait, but... response:	Emma, I'm...
context: The other children?\I brought what you asked for, Emma.\And everyone's already good to go.\Thanks, Thoma and Lanni.\Okay, Ray. Get changed.\Done changing? Then next is...\Wait, but...\Emma, I'm... response:	Do you still want to die, you blockhead?
context: I brought what you asked for, Emma.\And everyone's already good to go.\Thanks, Thoma and Lanni.\Okay, Ray. Get changed.\Done changing? Then next is...\Wait, but...\Emma, I'm...\Do you still want to die, you blockhead? response:	Stop yapping because we're escaping!
context: And everyone's already good to go.\Thanks, Thoma and Lanni.\Okay, Ray. Get changed.\Done changing? Then next is...\Wait, but...\Emma, I'm...\Do you still want to die, you blockhead?\Stop yapping because we're escaping! response:	Emma, we're done here.
context: Thanks, Thoma and Lanni.\Okay, Ray. Get changed.\Done changing? Then next is...\Wait, but...\Emma, I'm...\Do you still want to die, you blockhead?\Stop yapping because we're escaping!\Emma, we're done here. response:	What's this?
context: Okay, Ray. Get changed.\Done changing? Then next is...\Wait, but...\Emma, I'm...\Do you still want to die, you blockhead?\Stop yapping because we're escaping!\Emma, we're done here.\What's this? response:	Your replacement.
context: Done changing? Then next is...\Wait, but...\Emma, I'm...\Do you still want to die, you blockhead?\Stop yapping because we're escaping!\Emma, we're done here.\What's this?\Your replacement. response:	It'll create a certain smell.
context: Wait, but...\Emma, I'm...\Do you still want to die, you blockhead?\Stop yapping because we're escaping!\Emma, we're done here.\What's this?\Your replacement.\It'll create a certain smell. response:	Those braids...
context: Emma, I'm...\Do you still want to die, you blockhead?\Stop yapping because we're escaping!\Emma, we're done here.\What's this?\Your replacement.\It'll create a certain smell.\Those braids... response:	Anna gave them to me.
context: Do you still want to die, you blockhead?\Stop yapping because we're escaping!\Emma, we're done here.\What's this?\Your replacement.\It'll create a certain smell.\Those braids...\Anna gave them to me. response:	Lastly, the tracking device.
context: Stop yapping because we're escaping!\Emma, we're done here.\What's this?\Your replacement.\It'll create a certain smell.\Those braids...\Anna gave them to me.\Lastly, the tracking device. response:	I'll take it out, so sit with your ear toward me.
context: Emma, we're done here.\What's this?\Your replacement.\It'll create a certain smell.\Those braids...\Anna gave them to me.\Lastly, the tracking device.\I'll take it out, so sit with your ear toward me. response:	Emma, is this...
context: What's this?\Your replacement.\It'll create a certain smell.\Those braids...\Anna gave them to me.\Lastly, the tracking device.\I'll take it out, so sit with your ear toward me.\Emma, is this... response:	You can die anywhere, and it doesn't have to be here.
context: Your replacement.\It'll create a certain smell.\Those braids...\Anna gave them to me.\Lastly, the tracking device.\I'll take it out, so sit with your ear toward me.\Emma, is this...\You can die anywhere, and it doesn't have to be here. response:	I'll show you something cool, so shut up and come.
context: It'll create a certain smell.\Those braids...\Anna gave them to me.\Lastly, the tracking device.\I'll take it out, so sit with your ear toward me.\Emma, is this...\You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come. response:	A message from Norman.
context: Those braids...\Anna gave them to me.\Lastly, the tracking device.\I'll take it out, so sit with your ear toward me.\Emma, is this...\You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come.\A message from Norman. response:	Huh? Norman?
context: Anna gave them to me.\Lastly, the tracking device.\I'll take it out, so sit with your ear toward me.\Emma, is this...\You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come.\A message from Norman.\Huh? Norman? response:	To my dearest Emma...
context: Lastly, the tracking device.\I'll take it out, so sit with your ear toward me.\Emma, is this...\You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come.\A message from Norman.\Huh? Norman?\To my dearest Emma... response:	I'm going to write down the plan from here.
context: I'll take it out, so sit with your ear toward me.\Emma, is this...\You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come.\A message from Norman.\Huh? Norman?\To my dearest Emma...\I'm going to write down the plan from here. response:	Ray is planning to die.
context: Emma, is this...\You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come.\A message from Norman.\Huh? Norman?\To my dearest Emma...\I'm going to write down the plan from here.\Ray is planning to die. response:	He's doing all this so you and I don't get killed. That's what he said.
context: You can die anywhere, and it doesn't have to be here.\I'll show you something cool, so shut up and come.\A message from Norman.\Huh? Norman?\To my dearest Emma...\I'm going to write down the plan from here.\Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said. response:	He didn't include himself in the equation.
context: I'll show you something cool, so shut up and come.\A message from Norman.\Huh? Norman?\To my dearest Emma...\I'm going to write down the plan from here.\Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation. response:	He has no intention of escaping.
context: A message from Norman.\Huh? Norman?\To my dearest Emma...\I'm going to write down the plan from here.\Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation.\He has no intention of escaping. response:	He plans on dying inside this House.
context: Huh? Norman?\To my dearest Emma...\I'm going to write down the plan from here.\Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation.\He has no intention of escaping.\He plans on dying inside this House. response:	He's going to set himself on fire to distract Mom, and let us run away.
context: To my dearest Emma...\I'm going to write down the plan from here.\Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation.\He has no intention of escaping.\He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away. response:	That's Ray's plan.
context: I'm going to write down the plan from here.\Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation.\He has no intention of escaping.\He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan. response:	I'm not going to let him do that.
context: Ray is planning to die.\He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation.\He has no intention of escaping.\He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan.\I'm not going to let him do that. response:	No matter what.
context: He's doing all this so you and I don't get killed. That's what he said.\He didn't include himself in the equation.\He has no intention of escaping.\He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan.\I'm not going to let him do that.\No matter what. response:	That's why I'm writing down the plan I came up with.
context: He didn't include himself in the equation.\He has no intention of escaping.\He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan.\I'm not going to let him do that.\No matter what.\That's why I'm writing down the plan I came up with. response:	It'll happen in two months.
context: He has no intention of escaping.\He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan.\I'm not going to let him do that.\No matter what.\That's why I'm writing down the plan I came up with.\It'll happen in two months. response:	Probably the night before Ray's birthday.
context: He plans on dying inside this House.\He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan.\I'm not going to let him do that.\No matter what.\That's why I'm writing down the plan I came up with.\It'll happen in two months.\Probably the night before Ray's birthday. response:	Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.
context: He's going to set himself on fire to distract Mom, and let us run away.\That's Ray's plan.\I'm not going to let him do that.\No matter what.\That's why I'm writing down the plan I came up with.\It'll happen in two months.\Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone. response:	Don't worry. There's time.
context: That's Ray's plan.\I'm not going to let him do that.\No matter what.\That's why I'm writing down the plan I came up with.\It'll happen in two months.\Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time. response:	I also got an unexpected item.
context: I'm not going to let him do that.\No matter what.\That's why I'm writing down the plan I came up with.\It'll happen in two months.\Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time.\I also got an unexpected item. response:	It was from Sister Krone.
context: No matter what.\That's why I'm writing down the plan I came up with.\It'll happen in two months.\Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time.\I also got an unexpected item.\It was from Sister Krone. response:	I'm counting on you, Emma.
context: That's why I'm writing down the plan I came up with.\It'll happen in two months.\Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time.\I also got an unexpected item.\It was from Sister Krone.\I'm counting on you, Emma. response:	Please take care of Ray and our siblings.
context: It'll happen in two months.\Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time.\I also got an unexpected item.\It was from Sister Krone.\I'm counting on you, Emma.\Please take care of Ray and our siblings. response:	And everything else.
context: Probably the night before Ray's birthday.\Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time.\I also got an unexpected item.\It was from Sister Krone.\I'm counting on you, Emma.\Please take care of Ray and our siblings.\And everything else. response:	Okay, let's begin, Norman.
context: Use the fire that Ray's planning to start, save Ray, outwit Mom, and escape with everyone.\Don't worry. There's time.\I also got an unexpected item.\It was from Sister Krone.\I'm counting on you, Emma.\Please take care of Ray and our siblings.\And everything else.\Okay, let's begin, Norman. response:	Ray!
context: Don't worry. There's time.\I also got an unexpected item.\It was from Sister Krone.\I'm counting on you, Emma.\Please take care of Ray and our siblings.\And everything else.\Okay, let's begin, Norman.\Ray! response:	Okay everyone, let's escape. We'll run to the wall!
context: I also got an unexpected item.\It was from Sister Krone.\I'm counting on you, Emma.\Please take care of Ray and our siblings.\And everything else.\Okay, let's begin, Norman.\Ray!\Okay everyone, let's escape. We'll run to the wall! response:	Norman.
context: It was from Sister Krone.\I'm counting on you, Emma.\Please take care of Ray and our siblings.\And everything else.\Okay, let's begin, Norman.\Ray!\Okay everyone, let's escape. We'll run to the wall!\Norman. response:	Hey, Don. What's going on?
context: I'm counting on you, Emma.\Please take care of Ray and our siblings.\And everything else.\Okay, let's begin, Norman.\Ray!\Okay everyone, let's escape. We'll run to the wall!\Norman.\Hey, Don. What's going on? response:	Do they all know about the House and the escape?
context: Please take care of Ray and our siblings.\And everything else.\Okay, let's begin, Norman.\Ray!\Okay everyone, let's escape. We'll run to the wall!\Norman.\Hey, Don. What's going on?\Do they all know about the House and the escape? response:	- Yup. - How?
context: And everything else.\Okay, let's begin, Norman.\Ray!\Okay everyone, let's escape. We'll run to the wall!\Norman.\Hey, Don. What's going on?\Do they all know about the House and the escape?\- Yup. - How? response:	Emma told them about it.
context: Okay, let's begin, Norman.\Ray!\Okay everyone, let's escape. We'll run to the wall!\Norman.\Hey, Don. What's going on?\Do they all know about the House and the escape?\- Yup. - How?\Emma told them about it. response:	Let's tell more kids other than Don and Gilda, Norman.
context: Ray!\Okay everyone, let's escape. We'll run to the wall!\Norman.\Hey, Don. What's going on?\Do they all know about the House and the escape?\- Yup. - How?\Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman. response:	Don, Gilda, and probably everyone else aren't as immature as we think.
context: Okay everyone, let's escape. We'll run to the wall!\Norman.\Hey, Don. What's going on?\Do they all know about the House and the escape?\- Yup. - How?\Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think. response:	If we're going to run from those monsters,
context: Norman.\Hey, Don. What's going on?\Do they all know about the House and the escape?\- Yup. - How?\Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters, response:	I think it's better they know about the dangers, and should willingly join our escape.
context: Hey, Don. What's going on?\Do they all know about the House and the escape?\- Yup. - How?\Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape. response:	And Mom only suspects the oldest kids, and not everyone else.
context: Do they all know about the House and the escape?\- Yup. - How?\Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else. response:	Do you think it's reckless?
context: - Yup. - How?\Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless? response:	It is.
context: Emma told them about it.\Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless?\It is. response:	But with this plan, we can catch Mom off guard.
context: Let's tell more kids other than Don and Gilda, Norman.\Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard. response:	Realistically, this is the only way to escape with everyone.
context: Don, Gilda, and probably everyone else aren't as immature as we think.\If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone. response:	At first, we told four.
context: If we're going to run from those monsters,\I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\At first, we told four. response:	What do you want to know? Go ahead. Ask me anything.
context: I think it's better they know about the dangers, and should willingly join our escape.\And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\At first, we told four.\What do you want to know? Go ahead. Ask me anything. response:	Really, anything?
context: And Mom only suspects the oldest kids, and not everyone else.\Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\At first, we told four.\What do you want to know? Go ahead. Ask me anything.\Really, anything? response:	Yes. Whether it be about the farm or about the headquarters...
context: Do you think it's reckless?\It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\At first, we told four.\What do you want to know? Go ahead. Ask me anything.\Really, anything?\Yes. Whether it be about the farm or about the headquarters... response:	Nat.
context: It is.\But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\At first, we told four.\What do you want to know? Go ahead. Ask me anything.\Really, anything?\Yes. Whether it be about the farm or about the headquarters...\Nat. response:	There are humans outside who haven't been eaten.
context: But with this plan, we can catch Mom off guard.\Realistically, this is the only way to escape with everyone.\At first, we told four.\What do you want to know? Go ahead. Ask me anything.\Really, anything?\Yes. Whether it be about the farm or about the headquarters...\Nat.\There are humans outside who haven't been eaten. response:	Anna.
