context: Genes of Destiny response:	Please look after them.
context: I have a favor to ask of you.\Another one?\Sir?\No, it's nothing.\Regarding the plan to destroy the gate.\I summoned the leaders of the various economic powers to a conference.\I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate response:	with the Organization of American States beforehand.
context: Another one?\Sir?\No, it's nothing.\Regarding the plan to destroy the gate.\I summoned the leaders of the various economic powers to a conference.\I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate\with the Organization of American States beforehand. response:	And?
context: Sir?\No, it's nothing.\Regarding the plan to destroy the gate.\I summoned the leaders of the various economic powers to a conference.\I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate\with the Organization of American States beforehand.\And? response:	There is something that I absolutely must have if
context: No, it's nothing.\Regarding the plan to destroy the gate.\I summoned the leaders of the various economic powers to a conference.\I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate\with the Organization of American States beforehand.\And?\There is something that I absolutely must have if response:	I am to make this operation succeed.
context: Regarding the plan to destroy the gate.\I summoned the leaders of the various economic powers to a conference.\I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate\with the Organization of American States beforehand.\And?\There is something that I absolutely must have if\I am to make this operation succeed. response:	Commander Simon...
context: I summoned the leaders of the various economic powers to a conference.\I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate\with the Organization of American States beforehand.\And?\There is something that I absolutely must have if\I am to make this operation succeed.\Commander Simon... response:	For those of you here,
context: I would like to ask them to offer their unreserved support when we meet.\However, I was only able to successfully negotiate\with the Organization of American States beforehand.\And?\There is something that I absolutely must have if\I am to make this operation succeed.\Commander Simon...\For those of you here, response:	I am most grateful that you could
context: However, I was only able to successfully negotiate\with the Organization of American States beforehand.\And?\There is something that I absolutely must have if\I am to make this operation succeed.\Commander Simon...\For those of you here,\I am most grateful that you could response:	make today's conference despite the lack of notice.
context: with the Organization of American States beforehand.\And?\There is something that I absolutely must have if\I am to make this operation succeed.\Commander Simon...\For those of you here,\I am most grateful that you could\make today's conference despite the lack of notice. response:	Today, we of the GDF have decided
context: And?\There is something that I absolutely must have if\I am to make this operation succeed.\Commander Simon...\For those of you here,\I am most grateful that you could\make today's conference despite the lack of notice.\Today, we of the GDF have decided response:	to launch a full-scale attack operation on the Wulgaru.
context: There is something that I absolutely must have if\I am to make this operation succeed.\Commander Simon...\For those of you here,\I am most grateful that you could\make today's conference despite the lack of notice.\Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru. response:	Upon analyzing the information that the MJP retrieved,
context: I am to make this operation succeed.\Commander Simon...\For those of you here,\I am most grateful that you could\make today's conference despite the lack of notice.\Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved, response:	we've learned that mankind now
context: Commander Simon...\For those of you here,\I am most grateful that you could\make today's conference despite the lack of notice.\Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved,\we've learned that mankind now response:	has no choice but to work together to carry out this operation.
context: For those of you here,\I am most grateful that you could\make today's conference despite the lack of notice.\Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved,\we've learned that mankind now\has no choice but to work together to carry out this operation. response:	GDF Chief of Staff for Operations,
context: I am most grateful that you could\make today's conference despite the lack of notice.\Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved,\we've learned that mankind now\has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations, response:	Captain Amane, explain the operation.
context: make today's conference despite the lack of notice.\Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved,\we've learned that mankind now\has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations,\Captain Amane, explain the operation. response:	Yes sir! Thank you for coming today.
context: Today, we of the GDF have decided\to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved,\we've learned that mankind now\has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations,\Captain Amane, explain the operation.\Yes sir! Thank you for coming today. response:	I will explain the details of the operation at
context: to launch a full-scale attack operation on the Wulgaru.\Upon analyzing the information that the MJP retrieved,\we've learned that mankind now\has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations,\Captain Amane, explain the operation.\Yes sir! Thank you for coming today.\I will explain the details of the operation at response:	another time to protect their confidentiality.
context: Upon analyzing the information that the MJP retrieved,\we've learned that mankind now\has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations,\Captain Amane, explain the operation.\Yes sir! Thank you for coming today.\I will explain the details of the operation at\another time to protect their confidentiality. response:	In order to make this operation succeed,
context: we've learned that mankind now\has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations,\Captain Amane, explain the operation.\Yes sir! Thank you for coming today.\I will explain the details of the operation at\another time to protect their confidentiality.\In order to make this operation succeed, response:	I request that every economic power offer their support.
context: has no choice but to work together to carry out this operation.\GDF Chief of Staff for Operations,\Captain Amane, explain the operation.\Yes sir! Thank you for coming today.\I will explain the details of the operation at\another time to protect their confidentiality.\In order to make this operation succeed,\I request that every economic power offer their support. response:	We can't blindly pledge our support...
context: GDF Chief of Staff for Operations,\Captain Amane, explain the operation.\Yes sir! Thank you for coming today.\I will explain the details of the operation at\another time to protect their confidentiality.\In order to make this operation succeed,\I request that every economic power offer their support.\We can't blindly pledge our support... response:	We are ready to offer our full support.
context: Captain Amane, explain the operation.\Yes sir! Thank you for coming today.\I will explain the details of the operation at\another time to protect their confidentiality.\In order to make this operation succeed,\I request that every economic power offer their support.\We can't blindly pledge our support...\We are ready to offer our full support. response:	We can't help when you can't disclose any details!
context: Yes sir! Thank you for coming today.\I will explain the details of the operation at\another time to protect their confidentiality.\In order to make this operation succeed,\I request that every economic power offer their support.\We can't blindly pledge our support...\We are ready to offer our full support.\We can't help when you can't disclose any details! response:	Here is the plan.
context: I will explain the details of the operation at\another time to protect their confidentiality.\In order to make this operation succeed,\I request that every economic power offer their support.\We can't blindly pledge our support...\We are ready to offer our full support.\We can't help when you can't disclose any details!\Here is the plan. response:	This gate is what the Wulgaru have been using to invade our world.
context: another time to protect their confidentiality.\In order to make this operation succeed,\I request that every economic power offer their support.\We can't blindly pledge our support...\We are ready to offer our full support.\We can't help when you can't disclose any details!\Here is the plan.\This gate is what the Wulgaru have been using to invade our world. response:	It is possible for a fleet to pass through in formation.
context: In order to make this operation succeed,\I request that every economic power offer their support.\We can't blindly pledge our support...\We are ready to offer our full support.\We can't help when you can't disclose any details!\Here is the plan.\This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation. response:	Until we destroy this, we cannot stop the Wulgaru invasion.
context: I request that every economic power offer their support.\We can't blindly pledge our support...\We are ready to offer our full support.\We can't help when you can't disclose any details!\Here is the plan.\This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion. response:	It is the target for our operation.
context: We can't blindly pledge our support...\We are ready to offer our full support.\We can't help when you can't disclose any details!\Here is the plan.\This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation. response:	After retreat upon retreat,
context: We are ready to offer our full support.\We can't help when you can't disclose any details!\Here is the plan.\This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation.\After retreat upon retreat, response:	we have allowed them to set foot on Earth's soil.
context: We can't help when you can't disclose any details!\Here is the plan.\This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation.\After retreat upon retreat,\we have allowed them to set foot on Earth's soil. response:	Fortunately, we were able to repel their forces.
context: Here is the plan.\This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation.\After retreat upon retreat,\we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces. response:	However, we lack the forces needed to protect Earth indefinitely.
context: This gate is what the Wulgaru have been using to invade our world.\It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation.\After retreat upon retreat,\we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely. response:	This is not about our beliefs or ideals.
context: It is possible for a fleet to pass through in formation.\Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation.\After retreat upon retreat,\we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals. response:	We are fighting for our very survival.
context: Until we destroy this, we cannot stop the Wulgaru invasion.\It is the target for our operation.\After retreat upon retreat,\we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals.\We are fighting for our very survival. response:	To destroy the gate,
context: It is the target for our operation.\After retreat upon retreat,\we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals.\We are fighting for our very survival.\To destroy the gate, response:	we must bring all of our forces
context: After retreat upon retreat,\we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals.\We are fighting for our very survival.\To destroy the gate,\we must bring all of our forces response:	together and hit that one target with everything we have!
context: we have allowed them to set foot on Earth's soil.\Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals.\We are fighting for our very survival.\To destroy the gate,\we must bring all of our forces\together and hit that one target with everything we have! response:	How likely is that plan to succeed?
context: Fortunately, we were able to repel their forces.\However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals.\We are fighting for our very survival.\To destroy the gate,\we must bring all of our forces\together and hit that one target with everything we have!\How likely is that plan to succeed? response:	If we combine all of our forces and that plan fails,
context: However, we lack the forces needed to protect Earth indefinitely.\This is not about our beliefs or ideals.\We are fighting for our very survival.\To destroy the gate,\we must bring all of our forces\together and hit that one target with everything we have!\How likely is that plan to succeed?\If we combine all of our forces and that plan fails, response:	wouldn't that spell instant annihilation?
context: This is not about our beliefs or ideals.\We are fighting for our very survival.\To destroy the gate,\we must bring all of our forces\together and hit that one target with everything we have!\How likely is that plan to succeed?\If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation? response:	Now Ange is getting reexamined! What gives?!
context: We are fighting for our very survival.\To destroy the gate,\we must bring all of our forces\together and hit that one target with everything we have!\How likely is that plan to succeed?\If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?! response:	True, both Izuru and Ange tend to get so excited on the battlefield
context: To destroy the gate,\we must bring all of our forces\together and hit that one target with everything we have!\How likely is that plan to succeed?\If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield response:	that they act like completely different people.
context: we must bring all of our forces\together and hit that one target with everything we have!\How likely is that plan to succeed?\If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people. response:	They must get pretty stressed out...
context: together and hit that one target with everything we have!\How likely is that plan to succeed?\If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people.\They must get pretty stressed out... response:	Asagi! Just who I wanted to see.
context: How likely is that plan to succeed?\If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people.\They must get pretty stressed out...\Asagi! Just who I wanted to see. response:	Red 5's pit crew were hoping that you could stand
context: If we combine all of our forces and that plan fails,\wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people.\They must get pretty stressed out...\Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand response:	in for some test runs.
context: wouldn't that spell instant annihilation?\Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people.\They must get pretty stressed out...\Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand\in for some test runs. response:	Thank you for helping out.
context: Now Ange is getting reexamined! What gives?!\True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people.\They must get pretty stressed out...\Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand\in for some test runs.\Thank you for helping out. response:	It's nothing...
context: True, both Izuru and Ange tend to get so excited on the battlefield\that they act like completely different people.\They must get pretty stressed out...\Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand\in for some test runs.\Thank you for helping out.\It's nothing... response:	We heard that Izuru was still in the hospital...
context: that they act like completely different people.\They must get pretty stressed out...\Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand\in for some test runs.\Thank you for helping out.\It's nothing...\We heard that Izuru was still in the hospital... response:	Is Izurucchi gonna be okay?
context: They must get pretty stressed out...\Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand\in for some test runs.\Thank you for helping out.\It's nothing...\We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay? response:	Yeah, probably.
context: Asagi! Just who I wanted to see.\Red 5's pit crew were hoping that you could stand\in for some test runs.\Thank you for helping out.\It's nothing...\We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay?\Yeah, probably. response:	Really? That's great!
context: Red 5's pit crew were hoping that you could stand\in for some test runs.\Thank you for helping out.\It's nothing...\We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay?\Yeah, probably.\Really? That's great! response:	We were told that no matter what happens to Izuru,
context: in for some test runs.\Thank you for helping out.\It's nothing...\We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay?\Yeah, probably.\Really? That's great!\We were told that no matter what happens to Izuru, response:	this has to be ready to go at a moment's notice.
context: Thank you for helping out.\It's nothing...\We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay?\Yeah, probably.\Really? That's great!\We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice. response:	Sorry, but could you help us out with some tests?
context: It's nothing...\We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay?\Yeah, probably.\Really? That's great!\We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests? response:	Each AHSMB has its pilot's DNA programmed into it,
context: We heard that Izuru was still in the hospital...\Is Izurucchi gonna be okay?\Yeah, probably.\Really? That's great!\We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it, response:	so I doubt I'll be able to pilot Red 5.
context: Is Izurucchi gonna be okay?\Yeah, probably.\Really? That's great!\We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5. response:	You can't activate it, but isn't it the same type as your Blue 1?
context: Yeah, probably.\Really? That's great!\We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1? response:	We're just going to run some tests,
context: Really? That's great!\We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests, response:	But...
context: We were told that no matter what happens to Izuru,\this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests,\But... response:	At any rate, you should
context: this has to be ready to go at a moment's notice.\Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests,\But...\At any rate, you should response:	quit your griping and groaning.
context: Sorry, but could you help us out with some tests?\Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests,\But...\At any rate, you should\quit your griping and groaning. response:	Go give it a try.
context: Each AHSMB has its pilot's DNA programmed into it,\so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests,\But...\At any rate, you should\quit your griping and groaning.\Go give it a try. response:	Come to think of it, I've never been inside another AHSMB before...
context: so I doubt I'll be able to pilot Red 5.\You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests,\But...\At any rate, you should\quit your griping and groaning.\Go give it a try.\Come to think of it, I've never been inside another AHSMB before... response:	We have to get ready for the test run, so hang tight.
context: You can't activate it, but isn't it the same type as your Blue 1?\We're just going to run some tests,\But...\At any rate, you should\quit your griping and groaning.\Go give it a try.\Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight. response:	Uh, okay.
context: We're just going to run some tests,\But...\At any rate, you should\quit your griping and groaning.\Go give it a try.\Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight.\Uh, okay. response:	It started up?!
context: But...\At any rate, you should\quit your griping and groaning.\Go give it a try.\Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight.\Uh, okay.\It started up?! response:	Why?
context: At any rate, you should\quit your griping and groaning.\Go give it a try.\Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight.\Uh, okay.\It started up?!\Why? response:	There is a possibility that they won't attack us!
context: quit your griping and groaning.\Go give it a try.\Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight.\Uh, okay.\It started up?!\Why?\There is a possibility that they won't attack us! response:	Isn't there some way to resolve this peacefully?
context: Go give it a try.\Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight.\Uh, okay.\It started up?!\Why?\There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully? response:	Even if it means giving up some planets and bases,
context: Come to think of it, I've never been inside another AHSMB before...\We have to get ready for the test run, so hang tight.\Uh, okay.\It started up?!\Why?\There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases, response:	wouldn't that be preferable over this foolhardy operation?
context: We have to get ready for the test run, so hang tight.\Uh, okay.\It started up?!\Why?\There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation? response:	Peace is not an option.
context: Uh, okay.\It started up?!\Why?\There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation?\Peace is not an option. response:	What makes you so certain?
context: It started up?!\Why?\There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation?\Peace is not an option.\What makes you so certain? response:	I believe you will come to understand after you hear her.
context: Why?\There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation?\Peace is not an option.\What makes you so certain?\I believe you will come to understand after you hear her. response:	I present to you the Wulgaru defector, Imperial Princess Teoria.
context: There is a possibility that they won't attack us!\Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation?\Peace is not an option.\What makes you so certain?\I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria. response:	A Wulgaru defector?!
context: Isn't there some way to resolve this peacefully?\Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation?\Peace is not an option.\What makes you so certain?\I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?! response:	Hey! I never heard about this!
context: Even if it means giving up some planets and bases,\wouldn't that be preferable over this foolhardy operation?\Peace is not an option.\What makes you so certain?\I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?!\Hey! I never heard about this! response:	A vessel belonging to one of the economic powers in the Pacific Rim
context: wouldn't that be preferable over this foolhardy operation?\Peace is not an option.\What makes you so certain?\I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?!\Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim response:	just so happened to stumble upon her
context: Peace is not an option.\What makes you so certain?\I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?!\Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her response:	royal highness and offered her sanctuary.
context: What makes you so certain?\I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?!\Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her\royal highness and offered her sanctuary. response:	Why was this kept secret until now?
context: I believe you will come to understand after you hear her.\I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?!\Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her\royal highness and offered her sanctuary.\Why was this kept secret until now? response:	To avert unnecessary panic.
context: I present to you the Wulgaru defector, Imperial Princess Teoria.\A Wulgaru defector?!\Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her\royal highness and offered her sanctuary.\Why was this kept secret until now?\To avert unnecessary panic. response:	Furthermore, her royal highness was apprehensive that
context: A Wulgaru defector?!\Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her\royal highness and offered her sanctuary.\Why was this kept secret until now?\To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that response:	this could end in all-out war.
context: Hey! I never heard about this!\A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her\royal highness and offered her sanctuary.\Why was this kept secret until now?\To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that\this could end in all-out war. response:	However, she does not wish to see us get slaughtered.
context: A vessel belonging to one of the economic powers in the Pacific Rim\just so happened to stumble upon her\royal highness and offered her sanctuary.\Why was this kept secret until now?\To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that\this could end in all-out war.\However, she does not wish to see us get slaughtered. response:	Everyone, first I wish to apologize for the great calamity my planet,
context: just so happened to stumble upon her\royal highness and offered her sanctuary.\Why was this kept secret until now?\To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that\this could end in all-out war.\However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet, response:	which you refer to as, Wulgaru, has brought upon you.
context: royal highness and offered her sanctuary.\Why was this kept secret until now?\To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that\this could end in all-out war.\However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you. response:	My world has attacked a great many planets throughout our history.
context: Why was this kept secret until now?\To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that\this could end in all-out war.\However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history. response:	This act, which we call hunting,
context: To avert unnecessary panic.\Furthermore, her royal highness was apprehensive that\this could end in all-out war.\However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history.\This act, which we call hunting, response:	will not end until we have annihilated all life on our target planet.
context: Furthermore, her royal highness was apprehensive that\this could end in all-out war.\However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history.\This act, which we call hunting,\will not end until we have annihilated all life on our target planet. response:	You could say that this is both part of our unique
context: this could end in all-out war.\However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history.\This act, which we call hunting,\will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique response:	culture as well as a behavioral trait.
context: However, she does not wish to see us get slaughtered.\Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history.\This act, which we call hunting,\will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique\culture as well as a behavioral trait. response:	However, I began to question and loathe our ways,
context: Everyone, first I wish to apologize for the great calamity my planet,\which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history.\This act, which we call hunting,\will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique\culture as well as a behavioral trait.\However, I began to question and loathe our ways, response:	which led me to leave my people.
context: which you refer to as, Wulgaru, has brought upon you.\My world has attacked a great many planets throughout our history.\This act, which we call hunting,\will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique\culture as well as a behavioral trait.\However, I began to question and loathe our ways,\which led me to leave my people. response:	In an effort to prevent your annihilation,
context: My world has attacked a great many planets throughout our history.\This act, which we call hunting,\will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique\culture as well as a behavioral trait.\However, I began to question and loathe our ways,\which led me to leave my people.\In an effort to prevent your annihilation, response:	I have offered Earth my assistance throughout the war.
context: This act, which we call hunting,\will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique\culture as well as a behavioral trait.\However, I began to question and loathe our ways,\which led me to leave my people.\In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war. response:	Unfortunately, repelling our army has proven to be
context: will not end until we have annihilated all life on our target planet.\You could say that this is both part of our unique\culture as well as a behavioral trait.\However, I began to question and loathe our ways,\which led me to leave my people.\In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be response:	an extremely difficult task.
context: You could say that this is both part of our unique\culture as well as a behavioral trait.\However, I began to question and loathe our ways,\which led me to leave my people.\In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be\an extremely difficult task. response:	However, if you destroy that gate,
context: culture as well as a behavioral trait.\However, I began to question and loathe our ways,\which led me to leave my people.\In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be\an extremely difficult task.\However, if you destroy that gate, response:	the invasion will come to a complete halt.
context: However, I began to question and loathe our ways,\which led me to leave my people.\In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be\an extremely difficult task.\However, if you destroy that gate,\the invasion will come to a complete halt. response:	I believe that is the only option left before you.
context: which led me to leave my people.\In an effort to prevent your annihilation,\I have offered Earth my assistance throughout the war.\Unfortunately, repelling our army has proven to be\an extremely difficult task.\However, if you destroy that gate,\the invasion will come to a complete halt.\I believe that is the only option left before you. response:	Is that really a Wulgaru princess?
