context: I didn't have the energy to come up with excuses response:	like the bed was too small or that I forgot my wallet.
context: being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke!\Oh, right. I'm sorry.\I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this.\How come you're nervous?!\Well, you're right, but it makes me feel bad. response:	On the other hand... Takumi, was it?
context: Kyosuke, don't smoke!\Oh, right. I'm sorry.\I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this.\How come you're nervous?!\Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it? response:	From what I hear from you,
context: Oh, right. I'm sorry.\I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this.\How come you're nervous?!\Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it?\From what I hear from you, response:	he seems to be almost too manly and decisive about this.
context: I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this.\How come you're nervous?!\Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it?\From what I hear from you,\he seems to be almost too manly and decisive about this. response:	I'm impressed.
context: No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this.\How come you're nervous?!\Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it?\From what I hear from you,\he seems to be almost too manly and decisive about this.\I'm impressed. response:	Really? To me, he just sounds like some coercive guy thinking only of himself!
context: We don't know what to do at a time like this.\How come you're nervous?!\Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it?\From what I hear from you,\he seems to be almost too manly and decisive about this.\I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself! response:	You think so?
context: How come you're nervous?!\Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it?\From what I hear from you,\he seems to be almost too manly and decisive about this.\I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so? response:	Think about it.
context: Well, you're right, but it makes me feel bad.\On the other hand... Takumi, was it?\From what I hear from you,\he seems to be almost too manly and decisive about this.\I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so?\Think about it. response:	He used Nana's cell phone to call Nobu out of the blue
context: On the other hand... Takumi, was it?\From what I hear from you,\he seems to be almost too manly and decisive about this.\I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so?\Think about it.\He used Nana's cell phone to call Nobu out of the blue response:	and talk to him about this.
context: From what I hear from you,\he seems to be almost too manly and decisive about this.\I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so?\Think about it.\He used Nana's cell phone to call Nobu out of the blue\and talk to him about this. response:	It's natural for Nobu to be overly suspicious of Nana and quail.
context: he seems to be almost too manly and decisive about this.\I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so?\Think about it.\He used Nana's cell phone to call Nobu out of the blue\and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail. response:	He's trying to take away Nobu's will to fight for Nana
context: I'm impressed.\Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so?\Think about it.\He used Nana's cell phone to call Nobu out of the blue\and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana response:	and encourage him to withdraw.
context: Really? To me, he just sounds like some coercive guy thinking only of himself!\You think so?\Think about it.\He used Nana's cell phone to call Nobu out of the blue\and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw. response:	On top of that, he locked himself in Nana's room so she couldn't interfere.
context: You think so?\Think about it.\He used Nana's cell phone to call Nobu out of the blue\and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere. response:	If he was really thinking of Nana, he wouldn't have taken such actions.
context: Think about it.\He used Nana's cell phone to call Nobu out of the blue\and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions. response:	He's the type of person who would
context: He used Nana's cell phone to call Nobu out of the blue\and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would response:	manipulate others without thinking twice about it if it's for his own good.
context: and talk to him about this.\It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would\manipulate others without thinking twice about it if it's for his own good. response:	If he really planned all that on the spur of the moment,
context: It's natural for Nobu to be overly suspicious of Nana and quail.\He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would\manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment, response:	he's an extremely clever guy.
context: He's trying to take away Nobu's will to fight for Nana\and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would\manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment,\he's an extremely clever guy. response:	In a way, I'm impressed.
context: and encourage him to withdraw.\On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would\manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment,\he's an extremely clever guy.\In a way, I'm impressed. response:	I'm pretty sure Takumi didn't give it that much thought.
context: On top of that, he locked himself in Nana's room so she couldn't interfere.\If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would\manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment,\he's an extremely clever guy.\In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought. response:	It's because I told him that Nobu's my boyfriend,
context: If he was really thinking of Nana, he wouldn't have taken such actions.\He's the type of person who would\manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment,\he's an extremely clever guy.\In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend, response:	so he simply did it outta jealousy.
context: He's the type of person who would\manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment,\he's an extremely clever guy.\In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy. response:	Oh, isn't that nice.
context: manipulate others without thinking twice about it if it's for his own good.\If he really planned all that on the spur of the moment,\he's an extremely clever guy.\In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy.\Oh, isn't that nice. response:	It's just that he has a lot of pride.
context: If he really planned all that on the spur of the moment,\he's an extremely clever guy.\In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy.\Oh, isn't that nice.\It's just that he has a lot of pride. response:	You call that pride?
context: he's an extremely clever guy.\In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy.\Oh, isn't that nice.\It's just that he has a lot of pride.\You call that pride? response:	Huh?
context: In a way, I'm impressed.\I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy.\Oh, isn't that nice.\It's just that he has a lot of pride.\You call that pride?\Huh? response:	If those are his true feelings,
context: I'm pretty sure Takumi didn't give it that much thought.\It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy.\Oh, isn't that nice.\It's just that he has a lot of pride.\You call that pride?\Huh?\If those are his true feelings, response:	then he's as immature as a kid whose toy's been taken away.
context: It's because I told him that Nobu's my boyfriend,\so he simply did it outta jealousy.\Oh, isn't that nice.\It's just that he has a lot of pride.\You call that pride?\Huh?\If those are his true feelings,\then he's as immature as a kid whose toy's been taken away. response:	- You may be right. - Really?
context: so he simply did it outta jealousy.\Oh, isn't that nice.\It's just that he has a lot of pride.\You call that pride?\Huh?\If those are his true feelings,\then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really? response:	SCALE - You may be right. - Really?
context: Oh, isn't that nice.\It's just that he has a lot of pride.\You call that pride?\Huh?\If those are his true feelings,\then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really?\SCALE - You may be right. - Really? response:	Oh well, in any case, he's gotta be pretty serious about this
context: It's just that he has a lot of pride.\You call that pride?\Huh?\If those are his true feelings,\then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really?\SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this response:	to say he'll be the child's guardian.
context: You call that pride?\Huh?\If those are his true feelings,\then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really?\SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian. response:	If he was a classmate of Yasu, then that would make him 23 or 24, right?
context: Huh?\If those are his true feelings,\then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really?\SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right? response:	Is he financially sound? What does he do?
context: If those are his true feelings,\then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really?\SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do? response:	He's a musician.
context: then he's as immature as a kid whose toy's been taken away.\- You may be right. - Really?\SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do?\He's a musician. response:	Is that not a concern?! Does he make any money?!
context: - You may be right. - Really?\SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do?\He's a musician.\Is that not a concern?! Does he make any money?! response:	Why are you keeping quiet?
context: SCALE - You may be right. - Really?\Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do?\He's a musician.\Is that not a concern?! Does he make any money?!\Why are you keeping quiet? response:	Well, if he said he'll be the guardian without hesitation,
context: Oh well, in any case, he's gotta be pretty serious about this\to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do?\He's a musician.\Is that not a concern?! Does he make any money?!\Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation, response:	he's gotta be somewhat financially sound.
context: to say he'll be the child's guardian.\If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do?\He's a musician.\Is that not a concern?! Does he make any money?!\Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound. response:	I actually don't like the way he used the word guardian.
context: If he was a classmate of Yasu, then that would make him 23 or 24, right?\Is he financially sound? What does he do?\He's a musician.\Is that not a concern?! Does he make any money?!\Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian. response:	That's almost like saying, I'll pay child support.
context: Is he financially sound? What does he do?\He's a musician.\Is that not a concern?! Does he make any money?!\Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support. response:	But I think that's what he meant.
context: He's a musician.\Is that not a concern?! Does he make any money?!\Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support.\But I think that's what he meant. response:	Huh?
context: Is that not a concern?! Does he make any money?!\Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support.\But I think that's what he meant.\Huh? response:	What the hell?! Why won't he marry you?!
context: Why are you keeping quiet?\Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support.\But I think that's what he meant.\Huh?\What the hell?! Why won't he marry you?! response:	Does he have a wife and kids? Is this another extramarital affair?
context: Well, if he said he'll be the guardian without hesitation,\he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support.\But I think that's what he meant.\Huh?\What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair? response:	No. But getting married would be a great burden to him.
context: he's gotta be somewhat financially sound.\I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support.\But I think that's what he meant.\Huh?\What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him. response:	I couldn't impose on him like that.
context: I actually don't like the way he used the word guardian.\That's almost like saying, I'll pay child support.\But I think that's what he meant.\Huh?\What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him.\I couldn't impose on him like that. response:	I don't get you! Are you okay with that?!
context: That's almost like saying, I'll pay child support.\But I think that's what he meant.\Huh?\What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him.\I couldn't impose on him like that.\I don't get you! Are you okay with that?! response:	That's good enough for me.
context: But I think that's what he meant.\Huh?\What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him.\I couldn't impose on him like that.\I don't get you! Are you okay with that?!\That's good enough for me. response:	So you wanna have this baby that much?
context: Huh?\What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him.\I couldn't impose on him like that.\I don't get you! Are you okay with that?!\That's good enough for me.\So you wanna have this baby that much? response:	At first, I hoped that it was just my imagination.
context: What the hell?! Why won't he marry you?!\Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him.\I couldn't impose on him like that.\I don't get you! Are you okay with that?!\That's good enough for me.\So you wanna have this baby that much?\At first, I hoped that it was just my imagination. response:	I was escaping from myself, trying not to think about it.
context: Does he have a wife and kids? Is this another extramarital affair?\No. But getting married would be a great burden to him.\I couldn't impose on him like that.\I don't get you! Are you okay with that?!\That's good enough for me.\So you wanna have this baby that much?\At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it. response:	But there were signs,
context: No. But getting married would be a great burden to him.\I couldn't impose on him like that.\I don't get you! Are you okay with that?!\That's good enough for me.\So you wanna have this baby that much?\At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it.\But there were signs, response:	so I became more and more anxious.
context: I couldn't impose on him like that.\I don't get you! Are you okay with that?!\That's good enough for me.\So you wanna have this baby that much?\At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it.\But there were signs,\so I became more and more anxious. response:	So when the test showed positive,
context: I don't get you! Are you okay with that?!\That's good enough for me.\So you wanna have this baby that much?\At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it.\But there were signs,\so I became more and more anxious.\So when the test showed positive, response:	it scared me because it was like I no longer had anywhere to escape.
context: That's good enough for me.\So you wanna have this baby that much?\At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it.\But there were signs,\so I became more and more anxious.\So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape. response:	I thought, if I really am pregnant,
context: So you wanna have this baby that much?\At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it.\But there were signs,\so I became more and more anxious.\So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant, response:	I should get an abortion right away.
context: At first, I hoped that it was just my imagination.\I was escaping from myself, trying not to think about it.\But there were signs,\so I became more and more anxious.\So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant,\I should get an abortion right away. response:	I could keep the abortion a secret from everyone,
context: I was escaping from myself, trying not to think about it.\But there were signs,\so I became more and more anxious.\So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant,\I should get an abortion right away.\I could keep the abortion a secret from everyone, response:	and continue on with my life... as if nothing had happened.
context: But there were signs,\so I became more and more anxious.\So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant,\I should get an abortion right away.\I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened. response:	But then at the hospital,
context: so I became more and more anxious.\So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant,\I should get an abortion right away.\I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened.\But then at the hospital, response:	I realized that there was, in fact, a child living inside me.
context: So when the test showed positive,\it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant,\I should get an abortion right away.\I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened.\But then at the hospital,\I realized that there was, in fact, a child living inside me. response:	It was like reality suddenly struck me.
context: it scared me because it was like I no longer had anywhere to escape.\I thought, if I really am pregnant,\I should get an abortion right away.\I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened.\But then at the hospital,\I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me. response:	OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC
context: I thought, if I really am pregnant,\I should get an abortion right away.\I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened.\But then at the hospital,\I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC response:	OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that
context: I should get an abortion right away.\I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened.\But then at the hospital,\I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that response:	OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.
context: I could keep the abortion a secret from everyone,\and continue on with my life... as if nothing had happened.\But then at the hospital,\I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened. response:	I no longer had a sense of fear or anxiety.
context: and continue on with my life... as if nothing had happened.\But then at the hospital,\I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety. response:	All I could think about then was that I had to pull myself together.
context: But then at the hospital,\I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together. response:	I don't know how to say it, but...
context: I realized that there was, in fact, a child living inside me.\It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together.\I don't know how to say it, but... response:	like, I felt that I'm the only one who can protect the life of the child inside me.
context: It was like reality suddenly struck me.\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together.\I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me. response:	I thought about the possibility of giving birth
context: OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together.\I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth response:	and raising the child on my own.
context: OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I thought to myself that\OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together.\I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth\and raising the child on my own. response:	But I don't have any money.
context: OBSTETRICS AND GYNECOLOGY NAKAZATO CLINIC I would never wanna have an abortion and pretend nothing happened.\I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together.\I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth\and raising the child on my own.\But I don't have any money. response:	In addition, I can't work because my morning sickness is so bad.
context: I no longer had a sense of fear or anxiety.\All I could think about then was that I had to pull myself together.\I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth\and raising the child on my own.\But I don't have any money.\In addition, I can't work because my morning sickness is so bad. response:	I was at a complete loss,
context: All I could think about then was that I had to pull myself together.\I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth\and raising the child on my own.\But I don't have any money.\In addition, I can't work because my morning sickness is so bad.\I was at a complete loss, response:	thinking that there's no way I'm gonna make it.
context: I don't know how to say it, but...\like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth\and raising the child on my own.\But I don't have any money.\In addition, I can't work because my morning sickness is so bad.\I was at a complete loss,\thinking that there's no way I'm gonna make it. response:	So when Takumi said what he did to me,
context: like, I felt that I'm the only one who can protect the life of the child inside me.\I thought about the possibility of giving birth\and raising the child on my own.\But I don't have any money.\In addition, I can't work because my morning sickness is so bad.\I was at a complete loss,\thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me, response:	it surprised me, but it made me really happy.
context: I thought about the possibility of giving birth\and raising the child on my own.\But I don't have any money.\In addition, I can't work because my morning sickness is so bad.\I was at a complete loss,\thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me,\it surprised me, but it made me really happy. response:	Maybe I shouldn't be relying on him, but...
context: and raising the child on my own.\But I don't have any money.\In addition, I can't work because my morning sickness is so bad.\I was at a complete loss,\thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me,\it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but... response:	No, there's nothing wrong with that. It's most likely his child, right?
context: But I don't have any money.\In addition, I can't work because my morning sickness is so bad.\I was at a complete loss,\thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me,\it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right? response:	Nobu was using protection at all times, right?
context: In addition, I can't work because my morning sickness is so bad.\I was at a complete loss,\thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me,\it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right? response:	So chances of the child being his are low.
context: I was at a complete loss,\thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me,\it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right?\So chances of the child being his are low. response:	It's a horrible situation, isn't it?
context: thinking that there's no way I'm gonna make it.\So when Takumi said what he did to me,\it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right?\So chances of the child being his are low.\It's a horrible situation, isn't it? response:	Nobu always used protection.
context: So when Takumi said what he did to me,\it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right?\So chances of the child being his are low.\It's a horrible situation, isn't it?\Nobu always used protection. response:	And he treated me like I was so precious.
context: it surprised me, but it made me really happy.\Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right?\So chances of the child being his are low.\It's a horrible situation, isn't it?\Nobu always used protection.\And he treated me like I was so precious. response:	But I'm trampling all over that
context: Maybe I shouldn't be relying on him, but...\No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right?\So chances of the child being his are low.\It's a horrible situation, isn't it?\Nobu always used protection.\And he treated me like I was so precious.\But I'm trampling all over that response:	and am running to Takumi to have the baby.
context: No, there's nothing wrong with that. It's most likely his child, right?\Nobu was using protection at all times, right?\So chances of the child being his are low.\It's a horrible situation, isn't it?\Nobu always used protection.\And he treated me like I was so precious.\But I'm trampling all over that\and am running to Takumi to have the baby. response:	Can someone so selfish be forgiven?
context: Nobu was using protection at all times, right?\So chances of the child being his are low.\It's a horrible situation, isn't it?\Nobu always used protection.\And he treated me like I was so precious.\But I'm trampling all over that\and am running to Takumi to have the baby.\Can someone so selfish be forgiven? response:	Well, Nobu may never forgive you.
context: So chances of the child being his are low.\It's a horrible situation, isn't it?\Nobu always used protection.\And he treated me like I was so precious.\But I'm trampling all over that\and am running to Takumi to have the baby.\Can someone so selfish be forgiven?\Well, Nobu may never forgive you. response:	Given the circumstances, it appears that he believes
context: It's a horrible situation, isn't it?\Nobu always used protection.\And he treated me like I was so precious.\But I'm trampling all over that\and am running to Takumi to have the baby.\Can someone so selfish be forgiven?\Well, Nobu may never forgive you.\Given the circumstances, it appears that he believes response:	you were dating them both at the same time.
context: Nobu always used protection.\And he treated me like I was so precious.\But I'm trampling all over that\and am running to Takumi to have the baby.\Can someone so selfish be forgiven?\Well, Nobu may never forgive you.\Given the circumstances, it appears that he believes\you were dating them both at the same time. response:	No, I think she needs to resolve this misunderstanding.
context: And he treated me like I was so precious.\But I'm trampling all over that\and am running to Takumi to have the baby.\Can someone so selfish be forgiven?\Well, Nobu may never forgive you.\Given the circumstances, it appears that he believes\you were dating them both at the same time.\No, I think she needs to resolve this misunderstanding. response:	But how? There's no proof.
context: But I'm trampling all over that\and am running to Takumi to have the baby.\Can someone so selfish be forgiven?\Well, Nobu may never forgive you.\Given the circumstances, it appears that he believes\you were dating them both at the same time.\No, I think she needs to resolve this misunderstanding.\But how? There's no proof. response:	I don't think he'll believe her explanations.
