context: I've lived in this world for a long time. response:	I see. You're leaving.
context: Simon.\Glad I bumped into you.\I wanted to give this to Chise-kun.\Has there been some good news?\Why?\You have a clearer air about you,\like you have a goal in mind.\You've seemed quite listless for the ten years I've known you. response:	I suppose so.
context: Glad I bumped into you.\I wanted to give this to Chise-kun.\Has there been some good news?\Why?\You have a clearer air about you,\like you have a goal in mind.\You've seemed quite listless for the ten years I've known you.\I suppose so. response:	This may be the first time I've been driven to accomplish something.
context: I wanted to give this to Chise-kun.\Has there been some good news?\Why?\You have a clearer air about you,\like you have a goal in mind.\You've seemed quite listless for the ten years I've known you.\I suppose so.\This may be the first time I've been driven to accomplish something. response:	Ah, Elias!
context: Has there been some good news?\Why?\You have a clearer air about you,\like you have a goal in mind.\You've seemed quite listless for the ten years I've known you.\I suppose so.\This may be the first time I've been driven to accomplish something.\Ah, Elias! response:	Perfect, I was about to go hang out.
context: Why?\You have a clearer air about you,\like you have a goal in mind.\You've seemed quite listless for the ten years I've known you.\I suppose so.\This may be the first time I've been driven to accomplish something.\Ah, Elias!\Perfect, I was about to go hang out. response:	Yeah, this is perfect.
context: You have a clearer air about you,\like you have a goal in mind.\You've seemed quite listless for the ten years I've known you.\I suppose so.\This may be the first time I've been driven to accomplish something.\Ah, Elias!\Perfect, I was about to go hang out.\Yeah, this is perfect. response:	I don't have to search for you anymore.
context: like you have a goal in mind.\You've seemed quite listless for the ten years I've known you.\I suppose so.\This may be the first time I've been driven to accomplish something.\Ah, Elias!\Perfect, I was about to go hang out.\Yeah, this is perfect.\I don't have to search for you anymore. response:	Count to seven and eight...
context: You've seemed quite listless for the ten years I've known you.\I suppose so.\This may be the first time I've been driven to accomplish something.\Ah, Elias!\Perfect, I was about to go hang out.\Yeah, this is perfect.\I don't have to search for you anymore.\Count to seven and eight... response:	In the dream in which the child sleeps.
context: I suppose so.\This may be the first time I've been driven to accomplish something.\Ah, Elias!\Perfect, I was about to go hang out.\Yeah, this is perfect.\I don't have to search for you anymore.\Count to seven and eight...\In the dream in which the child sleeps. response:	Let's find and count the flowers.
context: This may be the first time I've been driven to accomplish something.\Ah, Elias!\Perfect, I was about to go hang out.\Yeah, this is perfect.\I don't have to search for you anymore.\Count to seven and eight...\In the dream in which the child sleeps.\Let's find and count the flowers. response:	Mommy will give you a bouquet of flowers.
context: Ah, Elias!\Perfect, I was about to go hang out.\Yeah, this is perfect.\I don't have to search for you anymore.\Count to seven and eight...\In the dream in which the child sleeps.\Let's find and count the flowers.\Mommy will give you a bouquet of flowers. response:	What an awful smell.
context: Perfect, I was about to go hang out.\Yeah, this is perfect.\I don't have to search for you anymore.\Count to seven and eight...\In the dream in which the child sleeps.\Let's find and count the flowers.\Mommy will give you a bouquet of flowers.\What an awful smell. response:	Ariel.
context: Yeah, this is perfect.\I don't have to search for you anymore.\Count to seven and eight...\In the dream in which the child sleeps.\Let's find and count the flowers.\Mommy will give you a bouquet of flowers.\What an awful smell.\Ariel. response:	Long time no see.
context: I don't have to search for you anymore.\Count to seven and eight...\In the dream in which the child sleeps.\Let's find and count the flowers.\Mommy will give you a bouquet of flowers.\What an awful smell.\Ariel.\Long time no see. response:	You idiot!
context: Count to seven and eight...\In the dream in which the child sleeps.\Let's find and count the flowers.\Mommy will give you a bouquet of flowers.\What an awful smell.\Ariel.\Long time no see.\You idiot! response:	What happened to your body? You look awful.
context: In the dream in which the child sleeps.\Let's find and count the flowers.\Mommy will give you a bouquet of flowers.\What an awful smell.\Ariel.\Long time no see.\You idiot!\What happened to your body? You look awful. response:	You wouldn't have ended up like this if you'd come with me.
context: Let's find and count the flowers.\Mommy will give you a bouquet of flowers.\What an awful smell.\Ariel.\Long time no see.\You idiot!\What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me. response:	You idiot.
context: Mommy will give you a bouquet of flowers.\What an awful smell.\Ariel.\Long time no see.\You idiot!\What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me.\You idiot. response:	It's nothing.
context: What an awful smell.\Ariel.\Long time no see.\You idiot!\What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me.\You idiot.\It's nothing. response:	I'll be fine soon enough.
context: Ariel.\Long time no see.\You idiot!\What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me.\You idiot.\It's nothing.\I'll be fine soon enough. response:	It's like you've been reborn.
context: Long time no see.\You idiot!\What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me.\You idiot.\It's nothing.\I'll be fine soon enough.\It's like you've been reborn. response:	I decided to be more positive.
context: You idiot!\What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me.\You idiot.\It's nothing.\I'll be fine soon enough.\It's like you've been reborn.\I decided to be more positive. response:	Good girl.
context: What happened to your body? You look awful.\You wouldn't have ended up like this if you'd come with me.\You idiot.\It's nothing.\I'll be fine soon enough.\It's like you've been reborn.\I decided to be more positive.\Good girl. response:	Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?
context: You wouldn't have ended up like this if you'd come with me.\You idiot.\It's nothing.\I'll be fine soon enough.\It's like you've been reborn.\I decided to be more positive.\Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you? response:	So what?
context: You idiot.\It's nothing.\I'll be fine soon enough.\It's like you've been reborn.\I decided to be more positive.\Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what? response:	Elias is up to something.
context: It's nothing.\I'll be fine soon enough.\It's like you've been reborn.\I decided to be more positive.\Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what?\Elias is up to something. response:	Without telling me.
context: I'll be fine soon enough.\It's like you've been reborn.\I decided to be more positive.\Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what?\Elias is up to something.\Without telling me. response:	By himself.
context: It's like you've been reborn.\I decided to be more positive.\Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what?\Elias is up to something.\Without telling me.\By himself. response:	We agreed to do this together.
context: I decided to be more positive.\Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what?\Elias is up to something.\Without telling me.\By himself.\We agreed to do this together. response:	Ruth might be in on it, too.
context: Good girl.\Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what?\Elias is up to something.\Without telling me.\By himself.\We agreed to do this together.\Ruth might be in on it, too. response:	So...
context: Ariel, you wouldn't have worried about me if I hadn't been a Sleigh Beggy, would you?\So what?\Elias is up to something.\Without telling me.\By himself.\We agreed to do this together.\Ruth might be in on it, too.\So... response:	I want someone who will do as I say, no matter what happens to me.
context: So what?\Elias is up to something.\Without telling me.\By himself.\We agreed to do this together.\Ruth might be in on it, too.\So...\I want someone who will do as I say, no matter what happens to me. response:	Right now.
context: Elias is up to something.\Without telling me.\By himself.\We agreed to do this together.\Ruth might be in on it, too.\So...\I want someone who will do as I say, no matter what happens to me.\Right now. response:	Why me?
context: Without telling me.\By himself.\We agreed to do this together.\Ruth might be in on it, too.\So...\I want someone who will do as I say, no matter what happens to me.\Right now.\Why me? response:	You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?
context: By himself.\We agreed to do this together.\Ruth might be in on it, too.\So...\I want someone who will do as I say, no matter what happens to me.\Right now.\Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right? response:	You're not wrong, but I like you too, Chise.
context: We agreed to do this together.\Ruth might be in on it, too.\So...\I want someone who will do as I say, no matter what happens to me.\Right now.\Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise. response:	Thanks.
context: Ruth might be in on it, too.\So...\I want someone who will do as I say, no matter what happens to me.\Right now.\Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise.\Thanks. response:	I guess that means I can't give you the job.
context: So...\I want someone who will do as I say, no matter what happens to me.\Right now.\Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise.\Thanks.\I guess that means I can't give you the job. response:	So you're going to ask the same thing of someone else?
context: I want someone who will do as I say, no matter what happens to me.\Right now.\Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise.\Thanks.\I guess that means I can't give you the job.\So you're going to ask the same thing of someone else? response:	No way.
context: Right now.\Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise.\Thanks.\I guess that means I can't give you the job.\So you're going to ask the same thing of someone else?\No way. response:	What are you about to do, Elias?
context: Why me?\You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise.\Thanks.\I guess that means I can't give you the job.\So you're going to ask the same thing of someone else?\No way.\What are you about to do, Elias? response:	Chise won't last.
context: You like Sleigh Beggies, not me specifically. Otherwise, you wouldn't side with Elias, right?\You're not wrong, but I like you too, Chise.\Thanks.\I guess that means I can't give you the job.\So you're going to ask the same thing of someone else?\No way.\What are you about to do, Elias?\Chise won't last. response:	This is the only way for us not to lose her.
context: You're not wrong, but I like you too, Chise.\Thanks.\I guess that means I can't give you the job.\So you're going to ask the same thing of someone else?\No way.\What are you about to do, Elias?\Chise won't last.\This is the only way for us not to lose her. response:	Well, Ruth?
context: Thanks.\I guess that means I can't give you the job.\So you're going to ask the same thing of someone else?\No way.\What are you about to do, Elias?\Chise won't last.\This is the only way for us not to lose her.\Well, Ruth? response:	The answer's obvious.
context: I guess that means I can't give you the job.\So you're going to ask the same thing of someone else?\No way.\What are you about to do, Elias?\Chise won't last.\This is the only way for us not to lose her.\Well, Ruth?\The answer's obvious. response:	Elia
context: So you're going to ask the same thing of someone else?\No way.\What are you about to do, Elias?\Chise won't last.\This is the only way for us not to lose her.\Well, Ruth?\The answer's obvious.\Elia response:	Stella!
context: No way.\What are you about to do, Elias?\Chise won't last.\This is the only way for us not to lose her.\Well, Ruth?\The answer's obvious.\Elia\Stella! response:	Why
context: What are you about to do, Elias?\Chise won't last.\This is the only way for us not to lose her.\Well, Ruth?\The answer's obvious.\Elia\Stella!\Why response:	I'm sorry.
context: Chise won't last.\This is the only way for us not to lose her.\Well, Ruth?\The answer's obvious.\Elia\Stella!\Why\I'm sorry. response:	Elias...
context: This is the only way for us not to lose her.\Well, Ruth?\The answer's obvious.\Elia\Stella!\Why\I'm sorry.\Elias... response:	Ruth...
context: Well, Ruth?\The answer's obvious.\Elia\Stella!\Why\I'm sorry.\Elias...\Ruth... response:	Sorry.
context: The answer's obvious.\Elia\Stella!\Why\I'm sorry.\Elias...\Ruth...\Sorry. response:	When you wake up, everything should be better.
context: Elia\Stella!\Why\I'm sorry.\Elias...\Ruth...\Sorry.\When you wake up, everything should be better. response:	No... don't...
context: Stella!\Why\I'm sorry.\Elias...\Ruth...\Sorry.\When you wake up, everything should be better.\No... don't... response:	Nevin.
context: Why\I'm sorry.\Elias...\Ruth...\Sorry.\When you wake up, everything should be better.\No... don't...\Nevin. response:	Don't worry.
context: I'm sorry.\Elias...\Ruth...\Sorry.\When you wake up, everything should be better.\No... don't...\Nevin.\Don't worry. response:	You'll be able to stand and catch up.
context: Elias...\Ruth...\Sorry.\When you wake up, everything should be better.\No... don't...\Nevin.\Don't worry.\You'll be able to stand and catch up. response:	Your ability to do so is growing.
context: Ruth...\Sorry.\When you wake up, everything should be better.\No... don't...\Nevin.\Don't worry.\You'll be able to stand and catch up.\Your ability to do so is growing. response:	But I'm really scared.
context: Sorry.\When you wake up, everything should be better.\No... don't...\Nevin.\Don't worry.\You'll be able to stand and catch up.\Your ability to do so is growing.\But I'm really scared. response:	I don't want to know what I'll find when I catch up.
context: When you wake up, everything should be better.\No... don't...\Nevin.\Don't worry.\You'll be able to stand and catch up.\Your ability to do so is growing.\But I'm really scared.\I don't want to know what I'll find when I catch up. response:	What Elias is trying to do.
context: No... don't...\Nevin.\Don't worry.\You'll be able to stand and catch up.\Your ability to do so is growing.\But I'm really scared.\I don't want to know what I'll find when I catch up.\What Elias is trying to do. response:	What is he doing?
context: Nevin.\Don't worry.\You'll be able to stand and catch up.\Your ability to do so is growing.\But I'm really scared.\I don't want to know what I'll find when I catch up.\What Elias is trying to do.\What is he doing? response:	It doesn't matter.
context: Don't worry.\You'll be able to stand and catch up.\Your ability to do so is growing.\But I'm really scared.\I don't want to know what I'll find when I catch up.\What Elias is trying to do.\What is he doing?\It doesn't matter. response:	What matters is to always be clear on what you need to do.
context: You'll be able to stand and catch up.\Your ability to do so is growing.\But I'm really scared.\I don't want to know what I'll find when I catch up.\What Elias is trying to do.\What is he doing?\It doesn't matter.\What matters is to always be clear on what you need to do. response:	Why do you always come for me?
context: Your ability to do so is growing.\But I'm really scared.\I don't want to know what I'll find when I catch up.\What Elias is trying to do.\What is he doing?\It doesn't matter.\What matters is to always be clear on what you need to do.\Why do you always come for me? response:	I'm not guiding you at all.
context: But I'm really scared.\I don't want to know what I'll find when I catch up.\What Elias is trying to do.\What is he doing?\It doesn't matter.\What matters is to always be clear on what you need to do.\Why do you always come for me?\I'm not guiding you at all. response:	The me that exists here is the me that you've allowed to live inside your heart.
context: I don't want to know what I'll find when I catch up.\What Elias is trying to do.\What is he doing?\It doesn't matter.\What matters is to always be clear on what you need to do.\Why do you always come for me?\I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart. response:	You are the one guiding yourself.
context: What Elias is trying to do.\What is he doing?\It doesn't matter.\What matters is to always be clear on what you need to do.\Why do you always come for me?\I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself. response:	You need not drown yourself in hardships.
context: What is he doing?\It doesn't matter.\What matters is to always be clear on what you need to do.\Why do you always come for me?\I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself.\You need not drown yourself in hardships. response:	Fly strong across the stormy oceans.
context: It doesn't matter.\What matters is to always be clear on what you need to do.\Why do you always come for me?\I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself.\You need not drown yourself in hardships.\Fly strong across the stormy oceans. response:	What is it that you've decided you must do?
context: What matters is to always be clear on what you need to do.\Why do you always come for me?\I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself.\You need not drown yourself in hardships.\Fly strong across the stormy oceans.\What is it that you've decided you must do? response:	First, I need to know what Elias is trying to do.
context: Why do you always come for me?\I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself.\You need not drown yourself in hardships.\Fly strong across the stormy oceans.\What is it that you've decided you must do?\First, I need to know what Elias is trying to do. response:	Now, go on.
context: I'm not guiding you at all.\The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself.\You need not drown yourself in hardships.\Fly strong across the stormy oceans.\What is it that you've decided you must do?\First, I need to know what Elias is trying to do.\Now, go on. response:	Everything will better when I wake up, when I haven't done anything?
context: The me that exists here is the me that you've allowed to live inside your heart.\You are the one guiding yourself.\You need not drown yourself in hardships.\Fly strong across the stormy oceans.\What is it that you've decided you must do?\First, I need to know what Elias is trying to do.\Now, go on.\Everything will better when I wake up, when I haven't done anything? response:	Nothing so magical has ever happened to me before.
context: You are the one guiding yourself.\You need not drown yourself in hardships.\Fly strong across the stormy oceans.\What is it that you've decided you must do?\First, I need to know what Elias is trying to do.\Now, go on.\Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before. response:	Silky.
context: You need not drown yourself in hardships.\Fly strong across the stormy oceans.\What is it that you've decided you must do?\First, I need to know what Elias is trying to do.\Now, go on.\Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before.\Silky. response:	Thanks.
context: Fly strong across the stormy oceans.\What is it that you've decided you must do?\First, I need to know what Elias is trying to do.\Now, go on.\Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before.\Silky.\Thanks. response:	Ruth.
context: What is it that you've decided you must do?\First, I need to know what Elias is trying to do.\Now, go on.\Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before.\Silky.\Thanks.\Ruth. response:	Get Chise.
context: First, I need to know what Elias is trying to do.\Now, go on.\Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before.\Silky.\Thanks.\Ruth.\Get Chise. response:	Yeah.
context: Now, go on.\Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before.\Silky.\Thanks.\Ruth.\Get Chise.\Yeah. response:	She's awake.
context: Everything will better when I wake up, when I haven't done anything?\Nothing so magical has ever happened to me before.\Silky.\Thanks.\Ruth.\Get Chise.\Yeah.\She's awake. response:	That's odd.
context: Nothing so magical has ever happened to me before.\Silky.\Thanks.\Ruth.\Get Chise.\Yeah.\She's awake.\That's odd. response:	You called me a monster, and now you do this?
context: Silky.\Thanks.\Ruth.\Get Chise.\Yeah.\She's awake.\That's odd.\You called me a monster, and now you do this? response:	You...
context: Thanks.\Ruth.\Get Chise.\Yeah.\She's awake.\That's odd.\You called me a monster, and now you do this?\You... response:	Elias!
context: Ruth.\Get Chise.\Yeah.\She's awake.\That's odd.\You called me a monster, and now you do this?\You...\Elias! response:	Elias!
context: Get Chise.\Yeah.\She's awake.\That's odd.\You called me a monster, and now you do this?\You...\Elias!\Elias! response:	If I'm a monster for serving myself at the expense of others...
context: Yeah.\She's awake.\That's odd.\You called me a monster, and now you do this?\You...\Elias!\Elias!\If I'm a monster for serving myself at the expense of others... response:	Then I knew it! You're a monster, too!
context: She's awake.\That's odd.\You called me a monster, and now you do this?\You...\Elias!\Elias!\If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too! response:	Elias!
context: That's odd.\You called me a monster, and now you do this?\You...\Elias!\Elias!\If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too!\Elias! response:	Help me, Chise!
context: You called me a monster, and now you do this?\You...\Elias!\Elias!\If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too!\Elias!\Help me, Chise! response:	Stella.
context: You...\Elias!\Elias!\If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too!\Elias!\Help me, Chise!\Stella. response:	Elias wants to sacrifice me in your place.
context: Elias!\Elias!\If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too!\Elias!\Help me, Chise!\Stella.\Elias wants to sacrifice me in your place. response:	He says he's going to transfer your curse to me.
context: Elias!\If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too!\Elias!\Help me, Chise!\Stella.\Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me. response:	He's going to kill me.
context: If I'm a monster for serving myself at the expense of others...\Then I knew it! You're a monster, too!\Elias!\Help me, Chise!\Stella.\Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me.\He's going to kill me. response:	Chise, get away from her.
context: Then I knew it! You're a monster, too!\Elias!\Help me, Chise!\Stella.\Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me.\He's going to kill me.\Chise, get away from her. response:	She's...
context: Elias!\Help me, Chise!\Stella.\Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me.\He's going to kill me.\Chise, get away from her.\She's... response:	Elias.
context: Help me, Chise!\Stella.\Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me.\He's going to kill me.\Chise, get away from her.\She's...\Elias. response:	Elias, really?
context: Stella.\Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me.\He's going to kill me.\Chise, get away from her.\She's...\Elias.\Elias, really? response:	Stella, I'll catch up to you later.
context: Elias wants to sacrifice me in your place.\He says he's going to transfer your curse to me.\He's going to kill me.\Chise, get away from her.\She's...\Elias.\Elias, really?\Stella, I'll catch up to you later. response:	Run as far as you can.
context: He says he's going to transfer your curse to me.\He's going to kill me.\Chise, get away from her.\She's...\Elias.\Elias, really?\Stella, I'll catch up to you later.\Run as far as you can. response:	O-Okay!
context: He's going to kill me.\Chise, get away from her.\She's...\Elias.\Elias, really?\Stella, I'll catch up to you later.\Run as far as you can.\O-Okay! response:	Chise.
context: Chise, get away from her.\She's...\Elias.\Elias, really?\Stella, I'll catch up to you later.\Run as far as you can.\O-Okay!\Chise. response:	Don't come near me.
context: She's...\Elias.\Elias, really?\Stella, I'll catch up to you later.\Run as far as you can.\O-Okay!\Chise.\Don't come near me. response:	You don't go, either.
context: Elias.\Elias, really?\Stella, I'll catch up to you later.\Run as far as you can.\O-Okay!\Chise.\Don't come near me.\You don't go, either. response:	Sorry.
context: Elias, really?\Stella, I'll catch up to you later.\Run as far as you can.\O-Okay!\Chise.\Don't come near me.\You don't go, either.\Sorry. response:	About what?
context: Stella, I'll catch up to you later.\Run as far as you can.\O-Okay!\Chise.\Don't come near me.\You don't go, either.\Sorry.\About what? response:	For trying to sacrifice Stella in your place.
context: Run as far as you can.\O-Okay!\Chise.\Don't come near me.\You don't go, either.\Sorry.\About what?\For trying to sacrifice Stella in your place. response:	I wanted you to let me think about this together with you!
context: O-Okay!\Chise.\Don't come near me.\You don't go, either.\Sorry.\About what?\For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you! response:	I never promised anything.
context: Chise.\Don't come near me.\You don't go, either.\Sorry.\About what?\For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you!\I never promised anything. response:	Wh...
context: Don't come near me.\You don't go, either.\Sorry.\About what?\For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you!\I never promised anything.\Wh... response:	Are you...
context: You don't go, either.\Sorry.\About what?\For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you!\I never promised anything.\Wh...\Are you... response:	I'd decided if it had to be done, it would be Stella.
context: Sorry.\About what?\For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you!\I never promised anything.\Wh...\Are you...\I'd decided if it had to be done, it would be Stella. response:	You look at Stella with a different expression than you do me.
context: About what?\For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you!\I never promised anything.\Wh...\Are you...\I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me. response:	I can't stand that.
context: For trying to sacrifice Stella in your place.\I wanted you to let me think about this together with you!\I never promised anything.\Wh...\Are you...\I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me.\I can't stand that. response:	That's why...
context: I wanted you to let me think about this together with you!\I never promised anything.\Wh...\Are you...\I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me.\I can't stand that.\That's why... response:	As long as you'll live, I'm happy.
context: I never promised anything.\Wh...\Are you...\I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me.\I can't stand that.\That's why...\As long as you'll live, I'm happy. response:	You were no different.
context: Wh...\Are you...\I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me.\I can't stand that.\That's why...\As long as you'll live, I'm happy.\You were no different. response:	Ariel.
context: Are you...\I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me.\I can't stand that.\That's why...\As long as you'll live, I'm happy.\You were no different.\Ariel. response:	Chise!
context: I'd decided if it had to be done, it would be Stella.\You look at Stella with a different expression than you do me.\I can't stand that.\That's why...\As long as you'll live, I'm happy.\You were no different.\Ariel.\Chise! response:	You aren't going anywhere.
context: You look at Stella with a different expression than you do me.\I can't stand that.\That's why...\As long as you'll live, I'm happy.\You were no different.\Ariel.\Chise!\You aren't going anywhere. response:	You fool.
context: I can't stand that.\That's why...\As long as you'll live, I'm happy.\You were no different.\Ariel.\Chise!\You aren't going anywhere.\You fool. response:	Stella.
context: That's why...\As long as you'll live, I'm happy.\You were no different.\Ariel.\Chise!\You aren't going anywhere.\You fool.\Stella. response:	Car...
context: As long as you'll live, I'm happy.\You were no different.\Ariel.\Chise!\You aren't going anywhere.\You fool.\Stella.\Car... response:	Joseph...
context: You were no different.\Ariel.\Chise!\You aren't going anywhere.\You fool.\Stella.\Car...\Joseph... response:	Shucks, you got me.
context: Ariel.\Chise!\You aren't going anywhere.\You fool.\Stella.\Car...\Joseph...\Shucks, you got me. response:	Why are you doing this to Stella?
context: Chise!\You aren't going anywhere.\You fool.\Stella.\Car...\Joseph...\Shucks, you got me.\Why are you doing this to Stella? response:	Let's make a deal.
context: You aren't going anywhere.\You fool.\Stella.\Car...\Joseph...\Shucks, you got me.\Why are you doing this to Stella?\Let's make a deal. response:	A deal?
context: You fool.\Stella.\Car...\Joseph...\Shucks, you got me.\Why are you doing this to Stella?\Let's make a deal.\A deal? response:	If you agree, I'll give you a spell that'll ward off your inevitable death,
context: Stella.\Car...\Joseph...\Shucks, you got me.\Why are you doing this to Stella?\Let's make a deal.\A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death, response:	and I'll give this girl back.
context: Car...\Joseph...\Shucks, you got me.\Why are you doing this to Stella?\Let's make a deal.\A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back. response:	Well?
context: Joseph...\Shucks, you got me.\Why are you doing this to Stella?\Let's make a deal.\A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back.\Well? response:	If you don't...
context: Shucks, you got me.\Why are you doing this to Stella?\Let's make a deal.\A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back.\Well?\If you don't... response:	You understand, don't you?
context: Why are you doing this to Stella?\Let's make a deal.\A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back.\Well?\If you don't...\You understand, don't you? response:	Chise!
context: Let's make a deal.\A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back.\Well?\If you don't...\You understand, don't you?\Chise! response:	Come on, they're going catch up.
context: A deal?\If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back.\Well?\If you don't...\You understand, don't you?\Chise!\Come on, they're going catch up. response:	Well?
context: If you agree, I'll give you a spell that'll ward off your inevitable death,\and I'll give this girl back.\Well?\If you don't...\You understand, don't you?\Chise!\Come on, they're going catch up.\Well? response:	Chise.
context: and I'll give this girl back.\Well?\If you don't...\You understand, don't you?\Chise!\Come on, they're going catch up.\Well?\Chise. response:	I can't be with you as you are now.
context: Well?\If you don't...\You understand, don't you?\Chise!\Come on, they're going catch up.\Well?\Chise.\I can't be with you as you are now. response:	The girl parts ways with the mage.
context: If you don't...\You understand, don't you?\Chise!\Come on, they're going catch up.\Well?\Chise.\I can't be with you as you are now.\The girl parts ways with the mage. response:	She follows Joseph down into the nightmare that torments her.
context: You understand, don't you?\Chise!\Come on, they're going catch up.\Well?\Chise.\I can't be with you as you are now.\The girl parts ways with the mage.\She follows Joseph down into the nightmare that torments her. response:	Forgive me.
context: Chise!\Come on, they're going catch up.\Well?\Chise.\I can't be with you as you are now.\The girl parts ways with the mage.\She follows Joseph down into the nightmare that torments her.\Forgive me. response:	Forgive me, Chise.
