context: Spring, response:	this is the season when flowers color the Jungfrau.
context: Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip.\A guidebook for a field trip?\Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip...\Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days! response:	For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!
context: Alright! This is the guidebook for our field trip.\A guidebook for a field trip?\Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip...\Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue! response:	So, what's this dumpling-looking thing?
context: A guidebook for a field trip?\Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip...\Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing? response:	That's a snowman.
context: Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip...\Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing?\That's a snowman. response:	It's part of the Swiss Sechselauten festival!
context: I'm asking why we need a guidebook for a field trip...\Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing?\That's a snowman.\It's part of the Swiss Sechselauten festival! response:	Sechselauten?
context: Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing?\That's a snowman.\It's part of the Swiss Sechselauten festival!\Sechselauten? response:	Right!
context: Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!\To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing?\That's a snowman.\It's part of the Swiss Sechselauten festival!\Sechselauten?\Right! response:	That's a lie
context: To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!\For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing?\That's a snowman.\It's part of the Swiss Sechselauten festival!\Sechselauten?\Right!\That's a lie response:	That's a lie
context: For dinner, I've put together a menu of cheese fondue, meat fondue, and chocolate fondue!\So, what's this dumpling-looking thing?\That's a snowman.\It's part of the Swiss Sechselauten festival!\Sechselauten?\Right!\That's a lie\That's a lie response:	That's a lie
context: So, what's this dumpling-looking thing?\That's a snowman.\It's part of the Swiss Sechselauten festival!\Sechselauten?\Right!\That's a lie\That's a lie\That's a lie response:	That's a lie
context: That's a snowman.\It's part of the Swiss Sechselauten festival!\Sechselauten?\Right!\That's a lie\That's a lie\That's a lie\That's a lie response:	That's a lie
context: It's part of the Swiss Sechselauten festival!\Sechselauten?\Right!\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie response:	That's a lie
context: Sechselauten?\Right!\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie response:	That's a lie
context: Right!\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie response:	That's a lie
context: That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie response:	That's a lie
context: That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie response:	And cosplayers from all over Europe gather for the opening parade of the Sechselauten!
context: That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten! response:	It's an amazing festival that rivals Tokyo's famous Comic Market!
context: That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market! response:	Cos...
context: That's a lie\That's a lie\That's a lie\That's a lie\That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos... response:	Why?!
context: That's a lie\That's a lie\That's a lie\That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos...\Why?! response:	It suits you, Ao.
context: That's a lie\That's a lie\That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos...\Why?!\It suits you, Ao. response:	I'm not wearing a wig!
context: That's a lie\That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos...\Why?!\It suits you, Ao.\I'm not wearing a wig! response:	Ao! You ruined it!
context: That's a lie\And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos...\Why?!\It suits you, Ao.\I'm not wearing a wig!\Ao! You ruined it! response:	Ao can stand!
context: And cosplayers from all over Europe gather for the opening parade of the Sechselauten!\It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos...\Why?!\It suits you, Ao.\I'm not wearing a wig!\Ao! You ruined it!\Ao can stand! response:	This isn't right...!!!
context: It's an amazing festival that rivals Tokyo's famous Comic Market!\Cos...\Why?!\It suits you, Ao.\I'm not wearing a wig!\Ao! You ruined it!\Ao can stand!\This isn't right...!!! response:	Here.
context: Cos...\Why?!\It suits you, Ao.\I'm not wearing a wig!\Ao! You ruined it!\Ao can stand!\This isn't right...!!!\Here. response:	Why did I get stuck doing this...
context: Why?!\It suits you, Ao.\I'm not wearing a wig!\Ao! You ruined it!\Ao can stand!\This isn't right...!!!\Here.\Why did I get stuck doing this... response:	I'm really getting used to it.
context: It suits you, Ao.\I'm not wearing a wig!\Ao! You ruined it!\Ao can stand!\This isn't right...!!!\Here.\Why did I get stuck doing this...\I'm really getting used to it. response:	Ao looks like a girl no matter how you look at him now, right?
context: I'm not wearing a wig!\Ao! You ruined it!\Ao can stand!\This isn't right...!!!\Here.\Why did I get stuck doing this...\I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right? response:	I didn't even get to go sightseeing properly!
context: Ao! You ruined it!\Ao can stand!\This isn't right...!!!\Here.\Why did I get stuck doing this...\I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly! response:	Why, what is this nonsense you're spouting?
context: Ao can stand!\This isn't right...!!!\Here.\Why did I get stuck doing this...\I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting? response:	Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.
context: This isn't right...!!!\Here.\Why did I get stuck doing this...\I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower. response:	And this is Ao having fun at the prison tower!
context: Here.\Why did I get stuck doing this...\I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower! response:	Think I could have a copy of those?
context: Why did I get stuck doing this...\I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower!\Think I could have a copy of those? response:	It's an honor to meet you, Kriegsjungfrauen,
context: I'm really getting used to it.\Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower!\Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen, response:	especially the much-talked about new flower in your bouquet.
context: Ao looks like a girl no matter how you look at him now, right?\I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower!\Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet. response:	The turquoise-haired mademoiselle, Ao Fukai.
context: I didn't even get to go sightseeing properly!\Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower!\Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai. response:	I'm no
context: Why, what is this nonsense you're spouting?\Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower!\Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai.\I'm no response:	You've got the wrong person!
context: Here's Ao in the bear garden, Ao in the rose garden, Ao at the clock tower.\And this is Ao having fun at the prison tower!\Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai.\I'm no\You've got the wrong person! response:	Oh, there you are!
context: And this is Ao having fun at the prison tower!\Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai.\I'm no\You've got the wrong person!\Oh, there you are! response:	Sorry to barge in on your conversation like this!
context: Think I could have a copy of those?\It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai.\I'm no\You've got the wrong person!\Oh, there you are!\Sorry to barge in on your conversation like this! response:	The boss told us to take these guys back to the hotel.
context: It's an honor to meet you, Kriegsjungfrauen,\especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai.\I'm no\You've got the wrong person!\Oh, there you are!\Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel. response:	They are our precious, precious princesses after all.
context: especially the much-talked about new flower in your bouquet.\The turquoise-haired mademoiselle, Ao Fukai.\I'm no\You've got the wrong person!\Oh, there you are!\Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all. response:	Thanks for rescuing us.
context: The turquoise-haired mademoiselle, Ao Fukai.\I'm no\You've got the wrong person!\Oh, there you are!\Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all.\Thanks for rescuing us. response:	Make sure you contact HQ when you get to the hotel.
context: I'm no\You've got the wrong person!\Oh, there you are!\Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all.\Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel. response:	Still though, Ao,
context: You've got the wrong person!\Oh, there you are!\Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all.\Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel.\Still though, Ao, response:	you really look like a girl with your hair like that.
context: Oh, there you are!\Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all.\Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel.\Still though, Ao,\you really look like a girl with your hair like that. response:	Don't!
context: Sorry to barge in on your conversation like this!\The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all.\Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel.\Still though, Ao,\you really look like a girl with your hair like that.\Don't! response:	If you don't want to attract attention, you're best off pretending to be a girl for the time being.
context: The boss told us to take these guys back to the hotel.\They are our precious, precious princesses after all.\Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel.\Still though, Ao,\you really look like a girl with your hair like that.\Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being. response:	You... really think so?
context: They are our precious, precious princesses after all.\Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel.\Still though, Ao,\you really look like a girl with your hair like that.\Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so? response:	Absolutely!
context: Thanks for rescuing us.\Make sure you contact HQ when you get to the hotel.\Still though, Ao,\you really look like a girl with your hair like that.\Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so?\Absolutely! response:	Absolutely!
context: Make sure you contact HQ when you get to the hotel.\Still though, Ao,\you really look like a girl with your hair like that.\Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so?\Absolutely!\Absolutely! response:	I can't do it after all!
context: Still though, Ao,\you really look like a girl with your hair like that.\Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so?\Absolutely!\Absolutely!\I can't do it after all! response:	II might fall for you!
context: you really look like a girl with your hair like that.\Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so?\Absolutely!\Absolutely!\I can't do it after all!\II might fall for you! response:	It suits you so well!
context: Don't!\If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so?\Absolutely!\Absolutely!\I can't do it after all!\II might fall for you!\It suits you so well! response:	I'll lend you those clothes for now.
context: If you don't want to attract attention, you're best off pretending to be a girl for the time being.\You... really think so?\Absolutely!\Absolutely!\I can't do it after all!\II might fall for you!\It suits you so well!\I'll lend you those clothes for now. response:	It looks even better on you than I expected.
context: You... really think so?\Absolutely!\Absolutely!\I can't do it after all!\II might fall for you!\It suits you so well!\I'll lend you those clothes for now.\It looks even better on you than I expected. response:	You might be best off dressing like that for the time being.
context: Absolutely!\Absolutely!\I can't do it after all!\II might fall for you!\It suits you so well!\I'll lend you those clothes for now.\It looks even better on you than I expected.\You might be best off dressing like that for the time being. response:	It is surprisingly passable.
context: Absolutely!\I can't do it after all!\II might fall for you!\It suits you so well!\I'll lend you those clothes for now.\It looks even better on you than I expected.\You might be best off dressing like that for the time being.\It is surprisingly passable. response:	But why did it come to this?
context: I can't do it after all!\II might fall for you!\It suits you so well!\I'll lend you those clothes for now.\It looks even better on you than I expected.\You might be best off dressing like that for the time being.\It is surprisingly passable.\But why did it come to this? response:	There is a good reason.
context: II might fall for you!\It suits you so well!\I'll lend you those clothes for now.\It looks even better on you than I expected.\You might be best off dressing like that for the time being.\It is surprisingly passable.\But why did it come to this?\There is a good reason. response:	But why girl's clo
context: It suits you so well!\I'll lend you those clothes for now.\It looks even better on you than I expected.\You might be best off dressing like that for the time being.\It is surprisingly passable.\But why did it come to this?\There is a good reason.\But why girl's clo response:	Quit your whining!
context: I'll lend you those clothes for now.\It looks even better on you than I expected.\You might be best off dressing like that for the time being.\It is surprisingly passable.\But why did it come to this?\There is a good reason.\But why girl's clo\Quit your whining! response:	You're a boy, aren't you?
context: It looks even better on you than I expected.\You might be best off dressing like that for the time being.\It is surprisingly passable.\But why did it come to this?\There is a good reason.\But why girl's clo\Quit your whining!\You're a boy, aren't you? response:	That's what I've been saying... which is it? Jeez...
context: You might be best off dressing like that for the time being.\It is surprisingly passable.\But why did it come to this?\There is a good reason.\But why girl's clo\Quit your whining!\You're a boy, aren't you?\That's what I've been saying... which is it? Jeez... response:	Come on...
context: It is surprisingly passable.\But why did it come to this?\There is a good reason.\But why girl's clo\Quit your whining!\You're a boy, aren't you?\That's what I've been saying... which is it? Jeez...\Come on... response:	Alright, we're going back to our rooms.
context: But why did it come to this?\There is a good reason.\But why girl's clo\Quit your whining!\You're a boy, aren't you?\That's what I've been saying... which is it? Jeez...\Come on...\Alright, we're going back to our rooms. response:	Let us know if anything happens.
context: There is a good reason.\But why girl's clo\Quit your whining!\You're a boy, aren't you?\That's what I've been saying... which is it? Jeez...\Come on...\Alright, we're going back to our rooms.\Let us know if anything happens. response:	Don't forget to report in, either.
context: But why girl's clo\Quit your whining!\You're a boy, aren't you?\That's what I've been saying... which is it? Jeez...\Come on...\Alright, we're going back to our rooms.\Let us know if anything happens.\Don't forget to report in, either. response:	I'm doing it right now.
context: Quit your whining!\You're a boy, aren't you?\That's what I've been saying... which is it? Jeez...\Come on...\Alright, we're going back to our rooms.\Let us know if anything happens.\Don't forget to report in, either.\I'm doing it right now. response:	This is Pied Piper.
context: You're a boy, aren't you?\That's what I've been saying... which is it? Jeez...\Come on...\Alright, we're going back to our rooms.\Let us know if anything happens.\Don't forget to report in, either.\I'm doing it right now.\This is Pied Piper. response:	Sorry we're so late contacting you.
context: That's what I've been saying... which is it? Jeez...\Come on...\Alright, we're going back to our rooms.\Let us know if anything happens.\Don't forget to report in, either.\I'm doing it right now.\This is Pied Piper.\Sorry we're so late contacting you. response:	Yes, there were no problems.
context: Come on...\Alright, we're going back to our rooms.\Let us know if anything happens.\Don't forget to report in, either.\I'm doing it right now.\This is Pied Piper.\Sorry we're so late contacting you.\Yes, there were no problems. response:	Now that we've contacted HQ...
context: Alright, we're going back to our rooms.\Let us know if anything happens.\Don't forget to report in, either.\I'm doing it right now.\This is Pied Piper.\Sorry we're so late contacting you.\Yes, there were no problems.\Now that we've contacted HQ... response:	Should we go hit the pool?
context: Let us know if anything happens.\Don't forget to report in, either.\I'm doing it right now.\This is Pied Piper.\Sorry we're so late contacting you.\Yes, there were no problems.\Now that we've contacted HQ...\Should we go hit the pool? response:	Why would my swimsuit be a Chinese dress?! This makes no sense!
context: Don't forget to report in, either.\I'm doing it right now.\This is Pied Piper.\Sorry we're so late contacting you.\Yes, there were no problems.\Now that we've contacted HQ...\Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense! response:	Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!
context: I'm doing it right now.\This is Pied Piper.\Sorry we're so late contacting you.\Yes, there were no problems.\Now that we've contacted HQ...\Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl! response:	Wait, what?!
context: This is Pied Piper.\Sorry we're so late contacting you.\Yes, there were no problems.\Now that we've contacted HQ...\Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?! response:	Be good and become girl!
context: Sorry we're so late contacting you.\Yes, there were no problems.\Now that we've contacted HQ...\Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?!\Be good and become girl! response:	Elena, it's dangerous to throw around kettles.
context: Yes, there were no problems.\Now that we've contacted HQ...\Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?!\Be good and become girl!\Elena, it's dangerous to throw around kettles. response:	Sorry, sorry.
context: Now that we've contacted HQ...\Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?!\Be good and become girl!\Elena, it's dangerous to throw around kettles.\Sorry, sorry. response:	I'll be careful next time!
context: Should we go hit the pool?\Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?!\Be good and become girl!\Elena, it's dangerous to throw around kettles.\Sorry, sorry.\I'll be careful next time! response:	Now then, moving on...
context: Why would my swimsuit be a Chinese dress?! This makes no sense!\Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?!\Be good and become girl!\Elena, it's dangerous to throw around kettles.\Sorry, sorry.\I'll be careful next time!\Now then, moving on... response:	Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!
context: Splash hot water on him and he becomes a boy, splash cold water on him and he becomes a girl!\Wait, what?!\Be good and become girl!\Elena, it's dangerous to throw around kettles.\Sorry, sorry.\I'll be careful next time!\Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy! response:	Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!
context: Wait, what?!\Be good and become girl!\Elena, it's dangerous to throw around kettles.\Sorry, sorry.\I'll be careful next time!\Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy! response:	Splash cold water on him and he becomes a girl,
context: Be good and become girl!\Elena, it's dangerous to throw around kettles.\Sorry, sorry.\I'll be careful next time!\Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, response:	I'm a boy!
context: Elena, it's dangerous to throw around kettles.\Sorry, sorry.\I'll be careful next time!\Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl,\I'm a boy! response:	You should eat more if you're a boy!
context: Sorry, sorry.\I'll be careful next time!\Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl,\I'm a boy!\You should eat more if you're a boy! response:	No way, no way, no way, no way!
context: I'll be careful next time!\Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl,\I'm a boy!\You should eat more if you're a boy!\No way, no way, no way, no way! response:	I'm full already.
context: Now then, moving on...\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl,\I'm a boy!\You should eat more if you're a boy!\No way, no way, no way, no way!\I'm full already. response:	You two sure can eat, huh?
context: Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl,\I'm a boy!\You should eat more if you're a boy!\No way, no way, no way, no way!\I'm full already.\You two sure can eat, huh? response:	Desert goes into a separate stomach.
context: Splash cold water on him and he becomes a girl, splash hot water on him and he becomes a boy!\Splash cold water on him and he becomes a girl,\I'm a boy!\You should eat more if you're a boy!\No way, no way, no way, no way!\I'm full already.\You two sure can eat, huh?\Desert goes into a separate stomach. response:	Desert goes into a separate stomach.
context: Splash cold water on him and he becomes a girl,\I'm a boy!\You should eat more if you're a boy!\No way, no way, no way, no way!\I'm full already.\You two sure can eat, huh?\Desert goes into a separate stomach.\Desert goes into a separate stomach. response:	Elena, what are we going to do tomorrow?
context: I'm a boy!\You should eat more if you're a boy!\No way, no way, no way, no way!\I'm full already.\You two sure can eat, huh?\Desert goes into a separate stomach.\Desert goes into a separate stomach.\Elena, what are we going to do tomorrow? response:	Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,
context: You should eat more if you're a boy!\No way, no way, no way, no way!\I'm full already.\You two sure can eat, huh?\Desert goes into a separate stomach.\Desert goes into a separate stomach.\Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon, response:	and then, in the evening, we'll go see the Sechselauten opening parade.
context: No way, no way, no way, no way!\I'm full already.\You two sure can eat, huh?\Desert goes into a separate stomach.\Desert goes into a separate stomach.\Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade. response:	Um, do I have to dress like this tomorrow too?
context: I'm full already.\You two sure can eat, huh?\Desert goes into a separate stomach.\Desert goes into a separate stomach.\Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too? response:	Of course!
context: You two sure can eat, huh?\Desert goes into a separate stomach.\Desert goes into a separate stomach.\Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too?\Of course! response:	Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well
context: Desert goes into a separate stomach.\Desert goes into a separate stomach.\Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too?\Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well response:	Wait! I didn't hear anything about that!
context: Desert goes into a separate stomach.\Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too?\Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that! response:	Now, now, cosplay is the uniform for the Sechselauten.
context: Elena, what are we going to do tomorrow?\Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too?\Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten. response:	Hol
context: Shopping in the morning, then a lunch cruise on Lake Zurich in the afternoon,\and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too?\Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten.\Hol response:	Let's go to the aroma spa to prepare for tomorrow!
context: and then, in the evening, we'll go see the Sechselauten opening parade.\Um, do I have to dress like this tomorrow too?\Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten.\Hol\Let's go to the aroma spa to prepare for tomorrow! response:	I'm going to bed...
context: Um, do I have to dress like this tomorrow too?\Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten.\Hol\Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed... response:	Hol
context: Of course!\Tomorrow, as part of the Sechselauten opening parade, Fleur and I will both be cosplaying as well\Wait! I didn't hear anything about that!\Now, now, cosplay is the uniform for the Sechselauten.\Hol\Let's go to the aroma spa to prepare for tomorrow!\I'm going to bed...\Hol response:	Hold on!
