context: Hm... response:	Deadly Queen... is what I've named it.
context: who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira.\As long as you are out of the picture...\I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob.\Josuke!\This is Deadly Queen's power. response:	He's been eliminated without a trace.
context: But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira.\As long as you are out of the picture...\I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob.\Josuke!\This is Deadly Queen's power.\He's been eliminated without a trace. response:	Did someone call my name just now?
context: No one knows the identity of Yoshikage Kira.\As long as you are out of the picture...\I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob.\Josuke!\This is Deadly Queen's power.\He's been eliminated without a trace.\Did someone call my name just now? response:	Yeah, I heard it, too.
context: As long as you are out of the picture...\I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob.\Josuke!\This is Deadly Queen's power.\He's been eliminated without a trace.\Did someone call my name just now?\Yeah, I heard it, too. response:	H-Hey, Josuke, look!
context: I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob.\Josuke!\This is Deadly Queen's power.\He's been eliminated without a trace.\Did someone call my name just now?\Yeah, I heard it, too.\H-Hey, Josuke, look! response:	Sh-Shigechi?!
context: Deadly Queen has already touched the doorknob.\Josuke!\This is Deadly Queen's power.\He's been eliminated without a trace.\Did someone call my name just now?\Yeah, I heard it, too.\H-Hey, Josuke, look!\Sh-Shigechi?! response:	Shigechi!
context: Josuke!\This is Deadly Queen's power.\He's been eliminated without a trace.\Did someone call my name just now?\Yeah, I heard it, too.\H-Hey, Josuke, look!\Sh-Shigechi?!\Shigechi! response:	S-Something's not right, Josuke!
context: This is Deadly Queen's power.\He's been eliminated without a trace.\Did someone call my name just now?\Yeah, I heard it, too.\H-Hey, Josuke, look!\Sh-Shigechi?!\Shigechi!\S-Something's not right, Josuke! response:	Harvest was gushing blood when it disappeared.
context: He's been eliminated without a trace.\Did someone call my name just now?\Yeah, I heard it, too.\H-Hey, Josuke, look!\Sh-Shigechi?!\Shigechi!\S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared. response:	That's not a normal way for a Stand to disappear!
context: Did someone call my name just now?\Yeah, I heard it, too.\H-Hey, Josuke, look!\Sh-Shigechi?!\Shigechi!\S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear! response:	Why did just one of them show up in front of us?
context: Yeah, I heard it, too.\H-Hey, Josuke, look!\Sh-Shigechi?!\Shigechi!\S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us? response:	Let's go to the middle school.
context: H-Hey, Josuke, look!\Sh-Shigechi?!\Shigechi!\S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us?\Let's go to the middle school. response:	We have to find Shigechi!
context: Sh-Shigechi?!\Shigechi!\S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us?\Let's go to the middle school.\We have to find Shigechi! response:	Oh, dear. Where did that fall off?
context: Shigechi!\S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us?\Let's go to the middle school.\We have to find Shigechi!\Oh, dear. Where did that fall off? response:	Well, I guess I can't help it now.
context: S-Something's not right, Josuke!\Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us?\Let's go to the middle school.\We have to find Shigechi!\Oh, dear. Where did that fall off?\Well, I guess I can't help it now. response:	I hope my usual tailor has the same button...
context: Harvest was gushing blood when it disappeared.\That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us?\Let's go to the middle school.\We have to find Shigechi!\Oh, dear. Where did that fall off?\Well, I guess I can't help it now.\I hope my usual tailor has the same button... response:	How horrible...
context: That's not a normal way for a Stand to disappear!\Why did just one of them show up in front of us?\Let's go to the middle school.\We have to find Shigechi!\Oh, dear. Where did that fall off?\Well, I guess I can't help it now.\I hope my usual tailor has the same button...\How horrible... response:	It happened again. It's him again...
context: Why did just one of them show up in front of us?\Let's go to the middle school.\We have to find Shigechi!\Oh, dear. Where did that fall off?\Well, I guess I can't help it now.\I hope my usual tailor has the same button...\How horrible...\It happened again. It's him again... response:	Another soul killed by him is flying away...
context: Let's go to the middle school.\We have to find Shigechi!\Oh, dear. Where did that fall off?\Well, I guess I can't help it now.\I hope my usual tailor has the same button...\How horrible...\It happened again. It's him again...\Another soul killed by him is flying away... response:	He must have encountered him.
context: We have to find Shigechi!\Oh, dear. Where did that fall off?\Well, I guess I can't help it now.\I hope my usual tailor has the same button...\How horrible...\It happened again. It's him again...\Another soul killed by him is flying away...\He must have encountered him. response:	Shigechi...
context: Oh, dear. Where did that fall off?\Well, I guess I can't help it now.\I hope my usual tailor has the same button...\How horrible...\It happened again. It's him again...\Another soul killed by him is flying away...\He must have encountered him.\Shigechi... response:	There's no doubt about it.
context: Well, I guess I can't help it now.\I hope my usual tailor has the same button...\How horrible...\It happened again. It's him again...\Another soul killed by him is flying away...\He must have encountered him.\Shigechi...\There's no doubt about it. response:	This boy is dead.
context: I hope my usual tailor has the same button...\How horrible...\It happened again. It's him again...\Another soul killed by him is flying away...\He must have encountered him.\Shigechi...\There's no doubt about it.\This boy is dead. response:	Shigekiyo encountered him, and was killed by him.
context: How horrible...\It happened again. It's him again...\Another soul killed by him is flying away...\He must have encountered him.\Shigechi...\There's no doubt about it.\This boy is dead.\Shigekiyo encountered him, and was killed by him. response:	I can tell.
context: It happened again. It's him again...\Another soul killed by him is flying away...\He must have encountered him.\Shigechi...\There's no doubt about it.\This boy is dead.\Shigekiyo encountered him, and was killed by him.\I can tell. response:	Though I don't know why he encountered him,
context: Another soul killed by him is flying away...\He must have encountered him.\Shigechi...\There's no doubt about it.\This boy is dead.\Shigekiyo encountered him, and was killed by him.\I can tell.\Though I don't know why he encountered him, response:	or how he was killed.
context: He must have encountered him.\Shigechi...\There's no doubt about it.\This boy is dead.\Shigekiyo encountered him, and was killed by him.\I can tell.\Though I don't know why he encountered him,\or how he was killed. response:	But it was definitely him.
context: Shigechi...\There's no doubt about it.\This boy is dead.\Shigekiyo encountered him, and was killed by him.\I can tell.\Though I don't know why he encountered him,\or how he was killed.\But it was definitely him. response:	I can tell it was him because he killed me.
context: There's no doubt about it.\This boy is dead.\Shigekiyo encountered him, and was killed by him.\I can tell.\Though I don't know why he encountered him,\or how he was killed.\But it was definitely him.\I can tell it was him because he killed me. response:	I looked for Shigechi everywhere, but couldn't find him.
context: This boy is dead.\Shigekiyo encountered him, and was killed by him.\I can tell.\Though I don't know why he encountered him,\or how he was killed.\But it was definitely him.\I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him. response:	He disappeared within just five minutes
context: Shigekiyo encountered him, and was killed by him.\I can tell.\Though I don't know why he encountered him,\or how he was killed.\But it was definitely him.\I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes response:	after Okuyasu and I separated from him.
context: I can tell.\Though I don't know why he encountered him,\or how he was killed.\But it was definitely him.\I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes\after Okuyasu and I separated from him. response:	Shigechi's books and school supplies were all left behind,
context: Though I don't know why he encountered him,\or how he was killed.\But it was definitely him.\I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes\after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind, response:	and his parents have requested a police search.
context: or how he was killed.\But it was definitely him.\I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes\after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind,\and his parents have requested a police search. response:	That probably means...
context: But it was definitely him.\I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes\after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind,\and his parents have requested a police search.\That probably means... response:	Y-You're saying... The culprit is a Stand user?
context: I can tell it was him because he killed me.\I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes\after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind,\and his parents have requested a police search.\That probably means...\Y-You're saying... The culprit is a Stand user? response:	You guys probably don't know much about Shigechi,
context: I looked for Shigechi everywhere, but couldn't find him.\He disappeared within just five minutes\after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind,\and his parents have requested a police search.\That probably means...\Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi, response:	but I can't imagine there's anyone who can beat Shigechi's Harvest.
context: He disappeared within just five minutes\after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind,\and his parents have requested a police search.\That probably means...\Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest. response:	This guy killed Shigechi within five minutes,
context: after Okuyasu and I separated from him.\Shigechi's books and school supplies were all left behind,\and his parents have requested a police search.\That probably means...\Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes, response:	and managed to hide his body somewhere within the school.
context: Shigechi's books and school supplies were all left behind,\and his parents have requested a police search.\That probably means...\Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school. response:	Jotaro, now that it's clear we're dealing with a Stand user,
context: and his parents have requested a police search.\That probably means...\Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user, response:	we'll have to help out, as well.
context: That probably means...\Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well. response:	Josuke.
context: Y-You're saying... The culprit is a Stand user?\You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well.\Josuke. response:	I heard you picked up a button.
context: You guys probably don't know much about Shigechi,\but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well.\Josuke.\I heard you picked up a button. response:	Yeah... One of the Harvests brought it to me.
context: but I can't imagine there's anyone who can beat Shigechi's Harvest.\This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well.\Josuke.\I heard you picked up a button.\Yeah... One of the Harvests brought it to me. response:	This is it.
context: This guy killed Shigechi within five minutes,\and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well.\Josuke.\I heard you picked up a button.\Yeah... One of the Harvests brought it to me.\This is it. response:	This is Shigechi's final message.
context: and managed to hide his body somewhere within the school.\Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well.\Josuke.\I heard you picked up a button.\Yeah... One of the Harvests brought it to me.\This is it.\This is Shigechi's final message. response:	It could be that Harvest ripped it off of the murderer's clothes and brought it to you.
context: Jotaro, now that it's clear we're dealing with a Stand user,\we'll have to help out, as well.\Josuke.\I heard you picked up a button.\Yeah... One of the Harvests brought it to me.\This is it.\This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you. response:	Let me hold on to this button.
context: we'll have to help out, as well.\Josuke.\I heard you picked up a button.\Yeah... One of the Harvests brought it to me.\This is it.\This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button. response:	I'll do some research.
context: Josuke.\I heard you picked up a button.\Yeah... One of the Harvests brought it to me.\This is it.\This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button.\I'll do some research. response:	Y-You can locate the guy with the kind of button you could find anywhere?
context: I heard you picked up a button.\Yeah... One of the Harvests brought it to me.\This is it.\This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button.\I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere? response:	It's possible.
context: Yeah... One of the Harvests brought it to me.\This is it.\This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button.\I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere?\It's possible. response:	We might be able to figure out the brand of the clothes and where it came from.
context: This is it.\This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button.\I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere?\It's possible.\We might be able to figure out the brand of the clothes and where it came from. response:	I see...
context: This is Shigechi's final message.\It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button.\I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere?\It's possible.\We might be able to figure out the brand of the clothes and where it came from.\I see... response:	I-If we're done talking, I'm gonna go home.
context: It could be that Harvest ripped it off of the murderer's clothes and brought it to you.\Let me hold on to this button.\I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere?\It's possible.\We might be able to figure out the brand of the clothes and where it came from.\I see...\I-If we're done talking, I'm gonna go home. response:	I-I'm kind of in a weird mood.
context: Let me hold on to this button.\I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere?\It's possible.\We might be able to figure out the brand of the clothes and where it came from.\I see...\I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood. response:	I-I'm really annoyed...
context: I'll do some research.\Y-You can locate the guy with the kind of button you could find anywhere?\It's possible.\We might be able to figure out the brand of the clothes and where it came from.\I see...\I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood.\I-I'm really annoyed... response:	Let's go home, Dad.
context: Y-You can locate the guy with the kind of button you could find anywhere?\It's possible.\We might be able to figure out the brand of the clothes and where it came from.\I see...\I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood.\I-I'm really annoyed...\Let's go home, Dad. response:	There's something wrong with Okuyasu.
context: It's possible.\We might be able to figure out the brand of the clothes and where it came from.\I see...\I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood.\I-I'm really annoyed...\Let's go home, Dad.\There's something wrong with Okuyasu. response:	Yeah... Shigechi was a greedy, irritating little punk,
context: We might be able to figure out the brand of the clothes and where it came from.\I see...\I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood.\I-I'm really annoyed...\Let's go home, Dad.\There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk, response:	but he was the type you just couldn't leave alone.
context: I see...\I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood.\I-I'm really annoyed...\Let's go home, Dad.\There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone. response:	We can't believe he's gone.
context: I-If we're done talking, I'm gonna go home.\I-I'm kind of in a weird mood.\I-I'm really annoyed...\Let's go home, Dad.\There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone.\We can't believe he's gone. response:	Not to mention, he must feel annoyed because he can't tell
context: I-I'm kind of in a weird mood.\I-I'm really annoyed...\Let's go home, Dad.\There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone.\We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell response:	if he should be angry or sad right now.
context: I-I'm really annoyed...\Let's go home, Dad.\There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone.\We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now. response:	We both feel that way.
context: Let's go home, Dad.\There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone.\We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now.\We both feel that way. response:	I'm sure Okuyasu feels it far more.
context: There's something wrong with Okuyasu.\Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone.\We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now.\We both feel that way.\I'm sure Okuyasu feels it far more. response:	Damn it...
context: Yeah... Shigechi was a greedy, irritating little punk,\but he was the type you just couldn't leave alone.\We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now.\We both feel that way.\I'm sure Okuyasu feels it far more.\Damn it... response:	It appears something awful has happened outside my notice.
context: but he was the type you just couldn't leave alone.\We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now.\We both feel that way.\I'm sure Okuyasu feels it far more.\Damn it...\It appears something awful has happened outside my notice. response:	I'm going to warn all the customers who come to my restaurant.
context: We can't believe he's gone.\Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now.\We both feel that way.\I'm sure Okuyasu feels it far more.\Damn it...\It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant. response:	Phew... I don't think he'll come to my place, but just in case...
context: Not to mention, he must feel annoyed because he can't tell\if he should be angry or sad right now.\We both feel that way.\I'm sure Okuyasu feels it far more.\Damn it...\It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case... response:	Stand users eventually attract other Stand users...
context: if he should be angry or sad right now.\We both feel that way.\I'm sure Okuyasu feels it far more.\Damn it...\It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users... response:	Though I never want to meet that guy.
context: We both feel that way.\I'm sure Okuyasu feels it far more.\Damn it...\It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users...\Though I never want to meet that guy. response:	So now everyone's going to take action, huh?
context: I'm sure Okuyasu feels it far more.\Damn it...\It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users...\Though I never want to meet that guy.\So now everyone's going to take action, huh? response:	Oh?
context: Damn it...\It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users...\Though I never want to meet that guy.\So now everyone's going to take action, huh?\Oh? response:	That was Josuke just now...
context: It appears something awful has happened outside my notice.\I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users...\Though I never want to meet that guy.\So now everyone's going to take action, huh?\Oh?\That was Josuke just now... response:	And Okuyasu was there, too.
context: I'm going to warn all the customers who come to my restaurant.\Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users...\Though I never want to meet that guy.\So now everyone's going to take action, huh?\Oh?\That was Josuke just now...\And Okuyasu was there, too. response:	Hey, listen to this.
context: Phew... I don't think he'll come to my place, but just in case...\Stand users eventually attract other Stand users...\Though I never want to meet that guy.\So now everyone's going to take action, huh?\Oh?\That was Josuke just now...\And Okuyasu was there, too.\Hey, listen to this. response:	Last Friday was my birthday, right?
context: Stand users eventually attract other Stand users...\Though I never want to meet that guy.\So now everyone's going to take action, huh?\Oh?\That was Josuke just now...\And Okuyasu was there, too.\Hey, listen to this.\Last Friday was my birthday, right? response:	The guy I'm seeing gave me this super lame ring as a present.
context: Though I never want to meet that guy.\So now everyone's going to take action, huh?\Oh?\That was Josuke just now...\And Okuyasu was there, too.\Hey, listen to this.\Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present. response:	Look at it! Why would I want this thing?
context: So now everyone's going to take action, huh?\Oh?\That was Josuke just now...\And Okuyasu was there, too.\Hey, listen to this.\Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing? response:	Though I still put on an act like, Oh, my gosh! I'm so happy!
context: Oh?\That was Josuke just now...\And Okuyasu was there, too.\Hey, listen to this.\Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy! response:	I was dating him because his dad owns some land,
context: That was Josuke just now...\And Okuyasu was there, too.\Hey, listen to this.\Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land, response:	but he's a total bumpkin.
context: And Okuyasu was there, too.\Hey, listen to this.\Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land,\but he's a total bumpkin. response:	This really is a kiddie ring. How much was it?
context: Hey, listen to this.\Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land,\but he's a total bumpkin.\This really is a kiddie ring. How much was it? response:	Probably around 150,000 yen.
context: Last Friday was my birthday, right?\The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land,\but he's a total bumpkin.\This really is a kiddie ring. How much was it?\Probably around 150,000 yen. response:	I'm gonna go pawn it off for some money.
context: The guy I'm seeing gave me this super lame ring as a present.\Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land,\but he's a total bumpkin.\This really is a kiddie ring. How much was it?\Probably around 150,000 yen.\I'm gonna go pawn it off for some money. response:	It doesn't compliment my beautiful fingers at all.
context: Look at it! Why would I want this thing?\Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land,\but he's a total bumpkin.\This really is a kiddie ring. How much was it?\Probably around 150,000 yen.\I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all. response:	That woman's heart is ugly,
context: Though I still put on an act like, Oh, my gosh! I'm so happy!\I was dating him because his dad owns some land,\but he's a total bumpkin.\This really is a kiddie ring. How much was it?\Probably around 150,000 yen.\I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly, response:	but her hands and face are beautiful...
context: I was dating him because his dad owns some land,\but he's a total bumpkin.\This really is a kiddie ring. How much was it?\Probably around 150,000 yen.\I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly,\but her hands and face are beautiful... response:	If she comes to me, she can date me with a cleansed soul.
context: but he's a total bumpkin.\This really is a kiddie ring. How much was it?\Probably around 150,000 yen.\I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly,\but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul. response:	Oh, I have to go. See you later.
context: This really is a kiddie ring. How much was it?\Probably around 150,000 yen.\I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly,\but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later. response:	Okay, bye-bye!
context: Probably around 150,000 yen.\I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly,\but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later.\Okay, bye-bye! response:	I'm afraid we'll have to part ways now.
context: I'm gonna go pawn it off for some money.\It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly,\but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later.\Okay, bye-bye!\I'm afraid we'll have to part ways now. response:	Let's keep this farewell clean.
context: It doesn't compliment my beautiful fingers at all.\That woman's heart is ugly,\but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later.\Okay, bye-bye!\I'm afraid we'll have to part ways now.\Let's keep this farewell clean. response:	Shigekiyo Yangu: Deceased Stand: Harvest
context: That woman's heart is ugly,\but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later.\Okay, bye-bye!\I'm afraid we'll have to part ways now.\Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest response:	De
context: but her hands and face are beautiful...\If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later.\Okay, bye-bye!\I'm afraid we'll have to part ways now.\Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest\De response:	Dead
context: If she comes to me, she can date me with a cleansed soul.\Oh, I have to go. See you later.\Okay, bye-bye!\I'm afraid we'll have to part ways now.\Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest\De\Dead response:	Deadly
context: Oh, I have to go. See you later.\Okay, bye-bye!\I'm afraid we'll have to part ways now.\Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest\De\Dead\Deadly response:	Deadly Qu
context: Okay, bye-bye!\I'm afraid we'll have to part ways now.\Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest\De\Dead\Deadly\Deadly Qu response:	Deadly Que
context: I'm afraid we'll have to part ways now.\Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest\De\Dead\Deadly\Deadly Qu\Deadly Que response:	Deadly Quee
context: Let's keep this farewell clean.\Shigekiyo Yangu: Deceased Stand: Harvest\De\Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee response:	Deadly Queen
context: Shigekiyo Yangu: Deceased Stand: Harvest\De\Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen response:	Yoshi
context: De\Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Yoshi response:	Yoshikage
context: Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Yoshi\Yoshikage response:	Yoshikage Ki
context: Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Yoshi\Yoshikage\Yoshikage Ki response:	Yoshikage Kira
context: Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Yoshi\Yoshikage\Yoshikage Ki\Yoshikage Kira response:	Good morning. This is Morioh Radio,
context: Deadly Que\Deadly Quee\Deadly Queen\Yoshi\Yoshikage\Yoshikage Ki\Yoshikage Kira\Good morning. This is Morioh Radio, response:	brought to you again today by your neighbor, Kai Harada.
context: Deadly Quee\Deadly Queen\Yoshi\Yoshikage\Yoshikage Ki\Yoshikage Kira\Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada. response:	How is the beginning of the new week treating you so far?
context: Deadly Queen\Yoshi\Yoshikage\Yoshikage Ki\Yoshikage Kira\Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\How is the beginning of the new week treating you so far? response:	Already, there are only three days left in June.
context: Yoshi\Yoshikage\Yoshikage Ki\Yoshikage Kira\Good morning. This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\How is the beginning of the new week treating you so far?\Already, there are only three days left in June. response:	Now, let's eat.
