context: I-It's fine by me... response:	Usotsuki na anata nakimushi no atashi
context: I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes!\Hurry!\I can never show my face in front of your mom ever again...\Don't worry about it.\Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever...\Yeah, I guess so... response:	Isn't it funny? Like, really funny?
context: Ah! She must've seen my shoes!\Hurry!\I can never show my face in front of your mom ever again...\Don't worry about it.\Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever...\Yeah, I guess so...\Isn't it funny? Like, really funny? response:	It's just so like us.
context: Hurry!\I can never show my face in front of your mom ever again...\Don't worry about it.\Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever...\Yeah, I guess so...\Isn't it funny? Like, really funny?\It's just so like us. response:	Ah, sorry. Did I hurt your feelings?
context: I can never show my face in front of your mom ever again...\Don't worry about it.\Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever...\Yeah, I guess so...\Isn't it funny? Like, really funny?\It's just so like us.\Ah, sorry. Did I hurt your feelings? response:	Yeah, I'm a guy, after all.
context: Don't worry about it.\Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever...\Yeah, I guess so...\Isn't it funny? Like, really funny?\It's just so like us.\Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all. response:	Anyway, Yano, you're dressed pretty lightly, aren't you?
context: Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever...\Yeah, I guess so...\Isn't it funny? Like, really funny?\It's just so like us.\Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you? response:	I was in a rush.
context: After all, her coming home was the worst punch line ever...\Yeah, I guess so...\Isn't it funny? Like, really funny?\It's just so like us.\Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush. response:	Don't be disappointed, Yano.
context: Yeah, I guess so...\Isn't it funny? Like, really funny?\It's just so like us.\Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush.\Don't be disappointed, Yano. response:	But... I made such a huge thing out of it, and now I look completely uncool.
context: Isn't it funny? Like, really funny?\It's just so like us.\Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush.\Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool. response:	And anyway, didn't it feel like a play, with all of those overdramatic lines?
context: It's just so like us.\Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush.\Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines? response:	Yeah...
context: Ah, sorry. Did I hurt your feelings?\Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush.\Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah... response:	Is this supposed to be a theatre? Who do you think you are?
context: Yeah, I'm a guy, after all.\Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush.\Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah...\Is this supposed to be a theatre? Who do you think you are? response:	Please make me your own.
context: Anyway, Yano, you're dressed pretty lightly, aren't you?\I was in a rush.\Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah...\Is this supposed to be a theatre? Who do you think you are?\Please make me your own. response:	I feel embarrassed about it now.
context: I was in a rush.\Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah...\Is this supposed to be a theatre? Who do you think you are?\Please make me your own.\I feel embarrassed about it now. response:	But... I was moved by it.
context: Don't be disappointed, Yano.\But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah...\Is this supposed to be a theatre? Who do you think you are?\Please make me your own.\I feel embarrassed about it now.\But... I was moved by it. response:	I'm so glad the person I love is Yano.
context: But... I made such a huge thing out of it, and now I look completely uncool.\And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah...\Is this supposed to be a theatre? Who do you think you are?\Please make me your own.\I feel embarrassed about it now.\But... I was moved by it.\I'm so glad the person I love is Yano. response:	But there's no chance that we'll make this an anniversary, huh?
context: And anyway, didn't it feel like a play, with all of those overdramatic lines?\Yeah...\Is this supposed to be a theatre? Who do you think you are?\Please make me your own.\I feel embarrassed about it now.\But... I was moved by it.\I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh? response:	For our first...
context: Yeah...\Is this supposed to be a theatre? Who do you think you are?\Please make me your own.\I feel embarrassed about it now.\But... I was moved by it.\I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh?\For our first... response:	No... you see...
context: Is this supposed to be a theatre? Who do you think you are?\Please make me your own.\I feel embarrassed about it now.\But... I was moved by it.\I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh?\For our first...\No... you see... response:	I didn't even enter you!
context: Please make me your own.\I feel embarrassed about it now.\But... I was moved by it.\I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh?\For our first...\No... you see...\I didn't even enter you! response:	Though, I think you know that yourself.
context: I feel embarrassed about it now.\But... I was moved by it.\I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh?\For our first...\No... you see...\I didn't even enter you!\Though, I think you know that yourself. response:	No penetration. No nothing.
context: But... I was moved by it.\I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh?\For our first...\No... you see...\I didn't even enter you!\Though, I think you know that yourself.\No penetration. No nothing. response:	Not even my head.
context: I'm so glad the person I love is Yano.\But there's no chance that we'll make this an anniversary, huh?\For our first...\No... you see...\I didn't even enter you!\Though, I think you know that yourself.\No penetration. No nothing.\Not even my head. response:	Ah... is that so...?
context: But there's no chance that we'll make this an anniversary, huh?\For our first...\No... you see...\I didn't even enter you!\Though, I think you know that yourself.\No penetration. No nothing.\Not even my head.\Ah... is that so...? response:	Yes.
context: For our first...\No... you see...\I didn't even enter you!\Though, I think you know that yourself.\No penetration. No nothing.\Not even my head.\Ah... is that so...?\Yes. response:	Should we head back, then?
context: No... you see...\I didn't even enter you!\Though, I think you know that yourself.\No penetration. No nothing.\Not even my head.\Ah... is that so...?\Yes.\Should we head back, then? response:	Will things be okay with your mom?
context: I didn't even enter you!\Though, I think you know that yourself.\No penetration. No nothing.\Not even my head.\Ah... is that so...?\Yes.\Should we head back, then?\Will things be okay with your mom? response:	I'll pretend like nothing happened.
context: Though, I think you know that yourself.\No penetration. No nothing.\Not even my head.\Ah... is that so...?\Yes.\Should we head back, then?\Will things be okay with your mom?\I'll pretend like nothing happened. response:	Ah, damn it!
context: No penetration. No nothing.\Not even my head.\Ah... is that so...?\Yes.\Should we head back, then?\Will things be okay with your mom?\I'll pretend like nothing happened.\Ah, damn it! response:	Why'd the old hag have to come home at a time like that?!
context: Not even my head.\Ah... is that so...?\Yes.\Should we head back, then?\Will things be okay with your mom?\I'll pretend like nothing happened.\Ah, damn it!\Why'd the old hag have to come home at a time like that?! response:	I was almost there!
context: Ah... is that so...?\Yes.\Should we head back, then?\Will things be okay with your mom?\I'll pretend like nothing happened.\Ah, damn it!\Why'd the old hag have to come home at a time like that?!\I was almost there! response:	My house is no good at all! Totally out of the question!
context: Yes.\Should we head back, then?\Will things be okay with your mom?\I'll pretend like nothing happened.\Ah, damn it!\Why'd the old hag have to come home at a time like that?!\I was almost there!\My house is no good at all! Totally out of the question! response:	I love you.
context: Should we head back, then?\Will things be okay with your mom?\I'll pretend like nothing happened.\Ah, damn it!\Why'd the old hag have to come home at a time like that?!\I was almost there!\My house is no good at all! Totally out of the question!\I love you. response:	I love you.
context: Will things be okay with your mom?\I'll pretend like nothing happened.\Ah, damn it!\Why'd the old hag have to come home at a time like that?!\I was almost there!\My house is no good at all! Totally out of the question!\I love you.\I love you. response:	Up until now, I've just thought of sex as a sport!
context: I'll pretend like nothing happened.\Ah, damn it!\Why'd the old hag have to come home at a time like that?!\I was almost there!\My house is no good at all! Totally out of the question!\I love you.\I love you.\Up until now, I've just thought of sex as a sport! response:	But I was wrong.
context: Ah, damn it!\Why'd the old hag have to come home at a time like that?!\I was almost there!\My house is no good at all! Totally out of the question!\I love you.\I love you.\Up until now, I've just thought of sex as a sport!\But I was wrong. response:	Sex is something sacred.
context: Why'd the old hag have to come home at a time like that?!\I was almost there!\My house is no good at all! Totally out of the question!\I love you.\I love you.\Up until now, I've just thought of sex as a sport!\But I was wrong.\Sex is something sacred. response:	What's that? Who told you that?
context: I was almost there!\My house is no good at all! Totally out of the question!\I love you.\I love you.\Up until now, I've just thought of sex as a sport!\But I was wrong.\Sex is something sacred.\What's that? Who told you that? response:	Yano.
context: My house is no good at all! Totally out of the question!\I love you.\I love you.\Up until now, I've just thought of sex as a sport!\But I was wrong.\Sex is something sacred.\What's that? Who told you that?\Yano. response:	You serious?
context: I love you.\I love you.\Up until now, I've just thought of sex as a sport!\But I was wrong.\Sex is something sacred.\What's that? Who told you that?\Yano.\You serious? response:	Last night, he came over to my place and said that with a straight face.
context: I love you.\Up until now, I've just thought of sex as a sport!\But I was wrong.\Sex is something sacred.\What's that? Who told you that?\Yano.\You serious?\Last night, he came over to my place and said that with a straight face. response:	Does he have a loose screw or something?
context: Up until now, I've just thought of sex as a sport!\But I was wrong.\Sex is something sacred.\What's that? Who told you that?\Yano.\You serious?\Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something? response:	Or what? Is he really that into his current girlfriend?
context: But I was wrong.\Sex is something sacred.\What's that? Who told you that?\Yano.\You serious?\Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend? response:	Did he have sex with Takahashi?
context: Sex is something sacred.\What's that? Who told you that?\Yano.\You serious?\Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi? response:	Yeah, didn't you hear?
context: What's that? Who told you that?\Yano.\You serious?\Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi?\Yeah, didn't you hear? response:	No...
context: Yano.\You serious?\Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi?\Yeah, didn't you hear?\No... response:	Is that her name? What's she like? I've never seen her before.
context: You serious?\Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi?\Yeah, didn't you hear?\No...\Is that her name? What's she like? I've never seen her before. response:	Ah... I saw them walking and holding hands once, but...
context: Last night, he came over to my place and said that with a straight face.\Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi?\Yeah, didn't you hear?\No...\Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but... response:	Round?
context: Does he have a loose screw or something?\Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi?\Yeah, didn't you hear?\No...\Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but...\Round? response:	She's really normal.
context: Or what? Is he really that into his current girlfriend?\Did he have sex with Takahashi?\Yeah, didn't you hear?\No...\Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but...\Round?\She's really normal. response:	She's so normal that you'd be surprised.
context: Did he have sex with Takahashi?\Yeah, didn't you hear?\No...\Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but...\Round?\She's really normal.\She's so normal that you'd be surprised. response:	But she's a good girl.
context: Yeah, didn't you hear?\No...\Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but...\Round?\She's really normal.\She's so normal that you'd be surprised.\But she's a good girl. response:	Well, isn't it fine the way it is, though?
context: No...\Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but...\Round?\She's really normal.\She's so normal that you'd be surprised.\But she's a good girl.\Well, isn't it fine the way it is, though? response:	How so?
context: Is that her name? What's she like? I've never seen her before.\Ah... I saw them walking and holding hands once, but...\Round?\She's really normal.\She's so normal that you'd be surprised.\But she's a good girl.\Well, isn't it fine the way it is, though?\How so? response:	It means he's starting to heal from what happened with Nana-san, right?
context: Ah... I saw them walking and holding hands once, but...\Round?\She's really normal.\She's so normal that you'd be surprised.\But she's a good girl.\Well, isn't it fine the way it is, though?\How so?\It means he's starting to heal from what happened with Nana-san, right? response:	Who knows about that one?
context: Round?\She's really normal.\She's so normal that you'd be surprised.\But she's a good girl.\Well, isn't it fine the way it is, though?\How so?\It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one? response:	But you know, the one left behind just has to keep living.
context: She's really normal.\She's so normal that you'd be surprised.\But she's a good girl.\Well, isn't it fine the way it is, though?\How so?\It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one?\But you know, the one left behind just has to keep living. response:	You should do more than just that. You should have the time of your life.
context: She's so normal that you'd be surprised.\But she's a good girl.\Well, isn't it fine the way it is, though?\How so?\It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one?\But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life. response:	Your finest sake, please.
context: But she's a good girl.\Well, isn't it fine the way it is, though?\How so?\It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one?\But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life.\Your finest sake, please. response:	Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?
context: Well, isn't it fine the way it is, though?\How so?\It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one?\But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life.\Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he? response:	Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.
context: How so?\It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one?\But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life.\Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front. response:	How about it?
context: It means he's starting to heal from what happened with Nana-san, right?\Who knows about that one?\But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life.\Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it? response:	That's a little expensive. You sure you're not overcharging?
context: Who knows about that one?\But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life.\Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it?\That's a little expensive. You sure you're not overcharging? response:	I bought them for 14,000 yen, and they're practically right out of the box.
context: But you know, the one left behind just has to keep living.\You should do more than just that. You should have the time of your life.\Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it?\That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box. response:	It's not expensive at all.
context: You should do more than just that. You should have the time of your life.\Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it?\That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all. response:	How many times have you worn them?
context: Your finest sake, please.\Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it?\That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all.\How many times have you worn them? response:	Maybe two or three times?
context: Speaking of which, he had a couple screws loose when he was going out with Nana-san too, didn't he?\Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it?\That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all.\How many times have you worn them?\Maybe two or three times? response:	You're lying. They're dirty.
context: Only 8,000 yen. A special bargain, just for you! But you have to pay up-front.\How about it?\That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all.\How many times have you worn them?\Maybe two or three times?\You're lying. They're dirty. response:	Clean them off with an eraser.
context: How about it?\That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all.\How many times have you worn them?\Maybe two or three times?\You're lying. They're dirty.\Clean them off with an eraser. response:	Then, how about this?
context: That's a little expensive. You sure you're not overcharging?\I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all.\How many times have you worn them?\Maybe two or three times?\You're lying. They're dirty.\Clean them off with an eraser.\Then, how about this? response:	You still have more stuff?
context: I bought them for 14,000 yen, and they're practically right out of the box.\It's not expensive at all.\How many times have you worn them?\Maybe two or three times?\You're lying. They're dirty.\Clean them off with an eraser.\Then, how about this?\You still have more stuff? response:	I'll throw in a cap and this one-of-a-kind secret figure as a special service.
context: It's not expensive at all.\How many times have you worn them?\Maybe two or three times?\You're lying. They're dirty.\Clean them off with an eraser.\Then, how about this?\You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service. response:	What's up with that?
context: How many times have you worn them?\Maybe two or three times?\You're lying. They're dirty.\Clean them off with an eraser.\Then, how about this?\You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that? response:	10,000 yen altogether.
context: Maybe two or three times?\You're lying. They're dirty.\Clean them off with an eraser.\Then, how about this?\You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that?\10,000 yen altogether. response:	You're raising the price!
context: You're lying. They're dirty.\Clean them off with an eraser.\Then, how about this?\You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that?\10,000 yen altogether.\You're raising the price! response:	What's up with you, anyway?
context: Clean them off with an eraser.\Then, how about this?\You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that?\10,000 yen altogether.\You're raising the price!\What's up with you, anyway? response:	What's going on over there?
context: Then, how about this?\You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that?\10,000 yen altogether.\You're raising the price!\What's up with you, anyway?\What's going on over there? response:	What do you want to buy so badly?
context: You still have more stuff?\I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that?\10,000 yen altogether.\You're raising the price!\What's up with you, anyway?\What's going on over there?\What do you want to buy so badly? response:	Yano came to sell today.
context: I'll throw in a cap and this one-of-a-kind secret figure as a special service.\What's up with that?\10,000 yen altogether.\You're raising the price!\What's up with you, anyway?\What's going on over there?\What do you want to buy so badly?\Yano came to sell today. response:	Why's that?
context: What's up with that?\10,000 yen altogether.\You're raising the price!\What's up with you, anyway?\What's going on over there?\What do you want to buy so badly?\Yano came to sell today.\Why's that? response:	For the shoes alone, 3,000 yen.
context: 10,000 yen altogether.\You're raising the price!\What's up with you, anyway?\What's going on over there?\What do you want to buy so badly?\Yano came to sell today.\Why's that?\For the shoes alone, 3,000 yen. response:	7,500.
context: You're raising the price!\What's up with you, anyway?\What's going on over there?\What do you want to buy so badly?\Yano came to sell today.\Why's that?\For the shoes alone, 3,000 yen.\7,500. response:	3,250.
context: What's up with you, anyway?\What's going on over there?\What do you want to buy so badly?\Yano came to sell today.\Why's that?\For the shoes alone, 3,000 yen.\7,500.\3,250. response:	6,000.
context: What's going on over there?\What do you want to buy so badly?\Yano came to sell today.\Why's that?\For the shoes alone, 3,000 yen.\7,500.\3,250.\6,000. response:	3,500. I won't go any higher.
context: What do you want to buy so badly?\Yano came to sell today.\Why's that?\For the shoes alone, 3,000 yen.\7,500.\3,250.\6,000.\3,500. I won't go any higher. response:	I couldn't even pay for a hotel room with that.
context: Yano came to sell today.\Why's that?\For the shoes alone, 3,000 yen.\7,500.\3,250.\6,000.\3,500. I won't go any higher.\I couldn't even pay for a hotel room with that. response:	I'll get him. He's at the end of his rope.
context: Why's that?\For the shoes alone, 3,000 yen.\7,500.\3,250.\6,000.\3,500. I won't go any higher.\I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope. response:	If you were selling your One Stars, I wouldn't mind paying 8,000 yen.
context: For the shoes alone, 3,000 yen.\7,500.\3,250.\6,000.\3,500. I won't go any higher.\I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen. response:	Does he stare at my feet?!
context: 7,500.\3,250.\6,000.\3,500. I won't go any higher.\I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?! response:	Screw you. I'm not selling them.
context: 3,250.\6,000.\3,500. I won't go any higher.\I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?!\Screw you. I'm not selling them. response:	8,000 yen's too cheap in the first place, moron.
context: 6,000.\3,500. I won't go any higher.\I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?!\Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron. response:	Then I'll pay for them using my Internet account.
context: 3,500. I won't go any higher.\I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?!\Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account. response:	I need the cash right now. I'm in a rush.
context: I couldn't even pay for a hotel room with that.\I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?!\Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush. response:	Hey, Yano-kun. I'll buy this.
context: I'll get him. He's at the end of his rope.\If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?!\Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this. response:	How much is it?
context: If you were selling your One Stars, I wouldn't mind paying 8,000 yen.\Does he stare at my feet?!\Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this.\How much is it? response:	2,000 yen.
context: Does he stare at my feet?!\Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this.\How much is it?\2,000 yen. response:	What are you saying? You're so funny.
context: Screw you. I'm not selling them.\8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this.\How much is it?\2,000 yen.\What are you saying? You're so funny. response:	Here you go.
context: 8,000 yen's too cheap in the first place, moron.\Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this.\How much is it?\2,000 yen.\What are you saying? You're so funny.\Here you go. response:	What a cruel, cold world...
context: Then I'll pay for them using my Internet account.\I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this.\How much is it?\2,000 yen.\What are you saying? You're so funny.\Here you go.\What a cruel, cold world... response:	No... I think you're the cruel one here, no matter how I look at it.
context: I need the cash right now. I'm in a rush.\Hey, Yano-kun. I'll buy this.\How much is it?\2,000 yen.\What are you saying? You're so funny.\Here you go.\What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it. response:	And I had my hair just right, too...
context: Hey, Yano-kun. I'll buy this.\How much is it?\2,000 yen.\What are you saying? You're so funny.\Here you go.\What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too... response:	What do you mean, you had it just right?
context: How much is it?\2,000 yen.\What are you saying? You're so funny.\Here you go.\What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too...\What do you mean, you had it just right? response:	It'll all fall apart...
context: 2,000 yen.\What are you saying? You're so funny.\Here you go.\What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too...\What do you mean, you had it just right?\It'll all fall apart... response:	Like a marimo youkan?
context: What are you saying? You're so funny.\Here you go.\What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too...\What do you mean, you had it just right?\It'll all fall apart...\Like a marimo youkan? response:	Like a marimo youkan?
context: Here you go.\What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too...\What do you mean, you had it just right?\It'll all fall apart...\Like a marimo youkan?\Like a marimo youkan? response:	He smells good...
context: What a cruel, cold world...\No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too...\What do you mean, you had it just right?\It'll all fall apart...\Like a marimo youkan?\Like a marimo youkan?\He smells good... response:	Yano... there's some strange rumors going around.
context: No... I think you're the cruel one here, no matter how I look at it.\And I had my hair just right, too...\What do you mean, you had it just right?\It'll all fall apart...\Like a marimo youkan?\Like a marimo youkan?\He smells good...\Yano... there's some strange rumors going around. response:	Strange rumors?
context: And I had my hair just right, too...\What do you mean, you had it just right?\It'll all fall apart...\Like a marimo youkan?\Like a marimo youkan?\He smells good...\Yano... there's some strange rumors going around.\Strange rumors? response:	That you've become a miser.
context: What do you mean, you had it just right?\It'll all fall apart...\Like a marimo youkan?\Like a marimo youkan?\He smells good...\Yano... there's some strange rumors going around.\Strange rumors?\That you've become a miser. response:	Sign: A miser
context: It'll all fall apart...\Like a marimo youkan?\Like a marimo youkan?\He smells good...\Yano... there's some strange rumors going around.\Strange rumors?\That you've become a miser.\Sign: A miser response:	Are you saving up for a hotel room...?
context: Like a marimo youkan?\Like a marimo youkan?\He smells good...\Yano... there's some strange rumors going around.\Strange rumors?\That you've become a miser.\Sign: A miser\Are you saving up for a hotel room...? response:	Yeah... my house is just too dangerous.
context: Like a marimo youkan?\He smells good...\Yano... there's some strange rumors going around.\Strange rumors?\That you've become a miser.\Sign: A miser\Are you saving up for a hotel room...?\Yeah... my house is just too dangerous. response:	And I don't know when my parents will be out again.
context: He smells good...\Yano... there's some strange rumors going around.\Strange rumors?\That you've become a miser.\Sign: A miser\Are you saving up for a hotel room...?\Yeah... my house is just too dangerous.\And I don't know when my parents will be out again. response:	Ah... about that...
context: Yano... there's some strange rumors going around.\Strange rumors?\That you've become a miser.\Sign: A miser\Are you saving up for a hotel room...?\Yeah... my house is just too dangerous.\And I don't know when my parents will be out again.\Ah... about that... response:	I've done a lot of thinking about it too, but...
context: Strange rumors?\That you've become a miser.\Sign: A miser\Are you saving up for a hotel room...?\Yeah... my house is just too dangerous.\And I don't know when my parents will be out again.\Ah... about that...\I've done a lot of thinking about it too, but... response:	Ah, yeah.
