context: People do not live for the sake of clothing! response:	Satsuki Kiryuin is rising up to overthrow Life Fibers!
context: You're alive, my daughter?\Yep!\I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done!\Let's eat!\What's the matter with you, Mankanshoku?!\Matter? You mean Mata?\If you mean Mataro, that's me! response:	Enough with the word games!
context: Yep!\I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done!\Let's eat!\What's the matter with you, Mankanshoku?!\Matter? You mean Mata?\If you mean Mataro, that's me!\Enough with the word games! response:	Mankanshoku! Evacuate everyone in the spectator seats!
context: I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done!\Let's eat!\What's the matter with you, Mankanshoku?!\Matter? You mean Mata?\If you mean Mataro, that's me!\Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats! response:	Me?!
context: That's my big sister! You know how it's done!\Let's eat!\What's the matter with you, Mankanshoku?!\Matter? You mean Mata?\If you mean Mataro, that's me!\Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats!\Me?! response:	It's not safe here.
context: Let's eat!\What's the matter with you, Mankanshoku?!\Matter? You mean Mata?\If you mean Mataro, that's me!\Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats!\Me?!\It's not safe here. response:	We don't wish there to be any unnecessary casualties.
context: What's the matter with you, Mankanshoku?!\Matter? You mean Mata?\If you mean Mataro, that's me!\Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats!\Me?!\It's not safe here.\We don't wish there to be any unnecessary casualties. response:	- Do it! - 'Kay!
context: Matter? You mean Mata?\If you mean Mataro, that's me!\Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats!\Me?!\It's not safe here.\We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay! response:	Everyone! Please run away!
context: If you mean Mataro, that's me!\Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats!\Me?!\It's not safe here.\We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay!\Everyone! Please run away! response:	MANKANSHOKU BACK-ALLEY CLINIC
context: Enough with the word games!\Mankanshoku! Evacuate everyone in the spectator seats!\Me?!\It's not safe here.\We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay!\Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC response:	ALL-YOU-CAN-EAT KANSAI SOUVENIRS
context: Mankanshoku! Evacuate everyone in the spectator seats!\Me?!\It's not safe here.\We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay!\Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS response:	I've got yummy Kansai takoyaki! I have kushikatsu!
context: Me?!\It's not safe here.\We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay!\Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu! response:	It's all you can eat! Come and get it!
context: It's not safe here.\We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay!\Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it! response:	Tell me, when did you turn against me?
context: We don't wish there to be any unnecessary casualties.\- Do it! - 'Kay!\Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it!\Tell me, when did you turn against me? response:	I never turned against you.
context: - Do it! - 'Kay!\Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it!\Tell me, when did you turn against me?\I never turned against you. response:	I've been against you for as long as I can remember.
context: Everyone! Please run away!\MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it!\Tell me, when did you turn against me?\I never turned against you.\I've been against you for as long as I can remember. response:	My entire life was in preparation for this day.
context: MANKANSHOKU BACK-ALLEY CLINIC\ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it!\Tell me, when did you turn against me?\I never turned against you.\I've been against you for as long as I can remember.\My entire life was in preparation for this day. response:	What did you say?
context: ALL-YOU-CAN-EAT KANSAI SOUVENIRS\I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it!\Tell me, when did you turn against me?\I never turned against you.\I've been against you for as long as I can remember.\My entire life was in preparation for this day.\What did you say? response:	I learned the truth when I was five. Father told me everything.
context: I've got yummy Kansai takoyaki! I have kushikatsu!\It's all you can eat! Come and get it!\Tell me, when did you turn against me?\I never turned against you.\I've been against you for as long as I can remember.\My entire life was in preparation for this day.\What did you say?\I learned the truth when I was five. Father told me everything. response:	About Life Fibers. COVERS.
context: It's all you can eat! Come and get it!\Tell me, when did you turn against me?\I never turned against you.\I've been against you for as long as I can remember.\My entire life was in preparation for this day.\What did you say?\I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS. response:	And Ragyo Kiryuin,
context: Tell me, when did you turn against me?\I never turned against you.\I've been against you for as long as I can remember.\My entire life was in preparation for this day.\What did you say?\I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS.\And Ragyo Kiryuin, response:	the true aim of your vile deeds!
context: I never turned against you.\I've been against you for as long as I can remember.\My entire life was in preparation for this day.\What did you say?\I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS.\And Ragyo Kiryuin,\the true aim of your vile deeds! response:	All of it!
context: I've been against you for as long as I can remember.\My entire life was in preparation for this day.\What did you say?\I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS.\And Ragyo Kiryuin,\the true aim of your vile deeds!\All of it! response:	This will be your wedding dress.
context: My entire life was in preparation for this day.\What did you say?\I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS.\And Ragyo Kiryuin,\the true aim of your vile deeds!\All of it!\This will be your wedding dress. response:	Satsuki, this will be your wedding dress.
context: What did you say?\I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS.\And Ragyo Kiryuin,\the true aim of your vile deeds!\All of it!\This will be your wedding dress.\Satsuki, this will be your wedding dress. response:	But when you put it on,
context: I learned the truth when I was five. Father told me everything.\About Life Fibers. COVERS.\And Ragyo Kiryuin,\the true aim of your vile deeds!\All of it!\This will be your wedding dress.\Satsuki, this will be your wedding dress.\But when you put it on, response:	you will become a slave to clothing.
context: About Life Fibers. COVERS.\And Ragyo Kiryuin,\the true aim of your vile deeds!\All of it!\This will be your wedding dress.\Satsuki, this will be your wedding dress.\But when you put it on,\you will become a slave to clothing. response:	FATHER: SOICHIRO KIRYUIN
context: And Ragyo Kiryuin,\the true aim of your vile deeds!\All of it!\This will be your wedding dress.\Satsuki, this will be your wedding dress.\But when you put it on,\you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN response:	Father was a distinguished scientist.
context: the true aim of your vile deeds!\All of it!\This will be your wedding dress.\Satsuki, this will be your wedding dress.\But when you put it on,\you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist. response:	It was out of recognition of his skills
context: All of it!\This will be your wedding dress.\Satsuki, this will be your wedding dress.\But when you put it on,\you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist.\It was out of recognition of his skills response:	that he was adopted into the Kiryuin family.
context: This will be your wedding dress.\Satsuki, this will be your wedding dress.\But when you put it on,\you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist.\It was out of recognition of his skills\that he was adopted into the Kiryuin family. response:	A child was the result. Me.
context: Satsuki, this will be your wedding dress.\But when you put it on,\you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist.\It was out of recognition of his skills\that he was adopted into the Kiryuin family.\A child was the result. Me. response:	But I was only born to be used as a Life Fiber test subject.
context: But when you put it on,\you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist.\It was out of recognition of his skills\that he was adopted into the Kiryuin family.\A child was the result. Me.\But I was only born to be used as a Life Fiber test subject. response:	It's not working. One year is too old.
context: you will become a slave to clothing.\FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist.\It was out of recognition of his skills\that he was adopted into the Kiryuin family.\A child was the result. Me.\But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old. response:	I will have to use this one.
context: FATHER: SOICHIRO KIRYUIN\Father was a distinguished scientist.\It was out of recognition of his skills\that he was adopted into the Kiryuin family.\A child was the result. Me.\But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old.\I will have to use this one. response:	The following year, you conducted an experiment to fuse Life Fibers
context: Father was a distinguished scientist.\It was out of recognition of his skills\that he was adopted into the Kiryuin family.\A child was the result. Me.\But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old.\I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers response:	with your next child when it was barely out of the womb.
context: It was out of recognition of his skills\that he was adopted into the Kiryuin family.\A child was the result. Me.\But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old.\I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb. response:	Even in a subject that possesses my genes,
context: that he was adopted into the Kiryuin family.\A child was the result. Me.\But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old.\I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb.\Even in a subject that possesses my genes, response:	there is an unmistakable rejection of the Life Fibers?
context: A child was the result. Me.\But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old.\I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb.\Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers? response:	It can't be helped.
context: But I was only born to be used as a Life Fiber test subject.\It's not working. One year is too old.\I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb.\Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers?\It can't be helped. response:	That was the instant that Father made up his mind.
context: It's not working. One year is too old.\I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb.\Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers?\It can't be helped.\That was the instant that Father made up his mind. response:	That he would rebel against Life Fibers and Ragyo Kiryuin!
context: I will have to use this one.\The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb.\Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers?\It can't be helped.\That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin! response:	He was a hack.
context: The following year, you conducted an experiment to fuse Life Fibers\with your next child when it was barely out of the womb.\Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers?\It can't be helped.\That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack. response:	Soichiro could not fathom the truth of the universe.
context: with your next child when it was barely out of the womb.\Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers?\It can't be helped.\That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack.\Soichiro could not fathom the truth of the universe. response:	Father knew that you would come after him!
context: Even in a subject that possesses my genes,\there is an unmistakable rejection of the Life Fibers?\It can't be helped.\That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack.\Soichiro could not fathom the truth of the universe.\Father knew that you would come after him! response:	That's why he entrusted everything to me!
context: there is an unmistakable rejection of the Life Fibers?\It can't be helped.\That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack.\Soichiro could not fathom the truth of the universe.\Father knew that you would come after him!\That's why he entrusted everything to me! response:	A grown man, turning to his 5-year-old daughter for help...
context: It can't be helped.\That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack.\Soichiro could not fathom the truth of the universe.\Father knew that you would come after him!\That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help... response:	I was no ordinary 5-year-old!
context: That was the instant that Father made up his mind.\That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack.\Soichiro could not fathom the truth of the universe.\Father knew that you would come after him!\That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old! response:	Did you forget that I am Satsuki Kiryuin?!
context: That he would rebel against Life Fibers and Ragyo Kiryuin!\He was a hack.\Soichiro could not fathom the truth of the universe.\Father knew that you would come after him!\That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?! response:	SATSUKI KIRYUIN
context: He was a hack.\Soichiro could not fathom the truth of the universe.\Father knew that you would come after him!\That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN response:	You're skilled at monologuing, I'll give you that.
context: Soichiro could not fathom the truth of the universe.\Father knew that you would come after him!\That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that. response:	But even if you defeat me, Life Fibers will not die out.
context: Father knew that you would come after him!\That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out. response:	The Original Life Fiber, you mean?
context: That's why he entrusted everything to me!\A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean? response:	I already have a plan in motion.
context: A grown man, turning to his 5-year-old daughter for help...\I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean?\I already have a plan in motion. response:	Ah, you must be the members of the Honnouji Academy Sewing Club.
context: I was no ordinary 5-year-old!\Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean?\I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club. response:	I've been waiting for you.
context: Did you forget that I am Satsuki Kiryuin?!\SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean?\I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you. response:	So, those are COVERS...
context: SATSUKI KIRYUIN\You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean?\I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you.\So, those are COVERS... response:	Men, fire insta-freeze agent!
context: You're skilled at monologuing, I'll give you that.\But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean?\I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you.\So, those are COVERS...\Men, fire insta-freeze agent! response:	We've rendered the Original Life Fiber dormant.
context: But even if you defeat me, Life Fibers will not die out.\The Original Life Fiber, you mean?\I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you.\So, those are COVERS...\Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant. response:	Those scum are wandering around beneath the mansion?
context: The Original Life Fiber, you mean?\I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you.\So, those are COVERS...\Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion? response:	I had already dealt with Kuroido and the rest of your people.
context: I already have a plan in motion.\Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you.\So, those are COVERS...\Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people. response:	When I spent the night there.
context: Ah, you must be the members of the Honnouji Academy Sewing Club.\I've been waiting for you.\So, those are COVERS...\Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people.\When I spent the night there. response:	Ragyo! In the name of human liberation, your life is forfeit!
context: I've been waiting for you.\So, those are COVERS...\Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people.\When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit! response:	Lady Ragyo!
context: So, those are COVERS...\Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people.\When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo! response:	Don't interfere!
context: Men, fire insta-freeze agent!\We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people.\When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo!\Don't interfere! response:	Satsuki, I will help myself to your troops.
context: We've rendered the Original Life Fiber dormant.\Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people.\When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo!\Don't interfere!\Satsuki, I will help myself to your troops. response:	That bitch! She turned all the students into her puppets!
context: Those scum are wandering around beneath the mansion?\I had already dealt with Kuroido and the rest of your people.\When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo!\Don't interfere!\Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets! response:	This is Mind Stitching.
context: I had already dealt with Kuroido and the rest of your people.\When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo!\Don't interfere!\Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets!\This is Mind Stitching. response:	MIND STITCHING
context: When I spent the night there.\Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo!\Don't interfere!\Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets!\This is Mind Stitching.\MIND STITCHING response:	I have sewn my basting thread into their brains.
context: Ragyo! In the name of human liberation, your life is forfeit!\Lady Ragyo!\Don't interfere!\Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets!\This is Mind Stitching.\MIND STITCHING\I have sewn my basting thread into their brains. response:	Get her, my puppets.
context: Lady Ragyo!\Don't interfere!\Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets!\This is Mind Stitching.\MIND STITCHING\I have sewn my basting thread into their brains.\Get her, my puppets. response:	Lady Satsuki!
context: Don't interfere!\Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets!\This is Mind Stitching.\MIND STITCHING\I have sewn my basting thread into their brains.\Get her, my puppets.\Lady Satsuki! response:	Don't hold back!
context: Satsuki, I will help myself to your troops.\That bitch! She turned all the students into her puppets!\This is Mind Stitching.\MIND STITCHING\I have sewn my basting thread into their brains.\Get her, my puppets.\Lady Satsuki!\Don't hold back! response:	Consider anyone who attacks you to be the enemy!
context: That bitch! She turned all the students into her puppets!\This is Mind Stitching.\MIND STITCHING\I have sewn my basting thread into their brains.\Get her, my puppets.\Lady Satsuki!\Don't hold back!\Consider anyone who attacks you to be the enemy! response:	Until Ragyo is defeated, turn your hearts to steel!
context: This is Mind Stitching.\MIND STITCHING\I have sewn my basting thread into their brains.\Get her, my puppets.\Lady Satsuki!\Don't hold back!\Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel! response:	Life Fiber Override, Kamui Junketsu!
context: MIND STITCHING\I have sewn my basting thread into their brains.\Get her, my puppets.\Lady Satsuki!\Don't hold back!\Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu! response:	KAMUI JUNKETSU
context: I have sewn my basting thread into their brains.\Get her, my puppets.\Lady Satsuki!\Don't hold back!\Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU response:	Wha? Wait just a damn minute, Kiryuin!
context: Get her, my puppets.\Lady Satsuki!\Don't hold back!\Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin! response:	Ryuko! Leave this to us! You deal with Ragyo!
context: Lady Satsuki!\Don't hold back!\Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo! response:	Um. Okay...
context: Don't hold back!\Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay... response:	I can't believe that Satsuki Kiryuin had been plotting a rebellion.
context: Consider anyone who attacks you to be the enemy!\Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion. response:	Me neither, but at a time like this, I don't care who brings down Ragyo.
context: Until Ragyo is defeated, turn your hearts to steel!\Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo. response:	Damn it, what did we even come here for?
context: Life Fiber Override, Kamui Junketsu!\KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for? response:	Ragyo Kiryuin! You won't escape me!
context: KAMUI JUNKETSU\Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me! response:	Even though you're my daughter, I must say that I am impressed.
context: Wha? Wait just a damn minute, Kiryuin!\Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed. response:	However, you are making several grave mistakes.
context: Ryuko! Leave this to us! You deal with Ragyo!\Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes. response:	Matoi!
context: Um. Okay...\I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes.\Matoi! response:	Ryuko! I can't undo this thread!
context: I can't believe that Satsuki Kiryuin had been plotting a rebellion.\Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes.\Matoi!\Ryuko! I can't undo this thread! response:	Son of a...
context: Me neither, but at a time like this, I don't care who brings down Ragyo.\Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes.\Matoi!\Ryuko! I can't undo this thread!\Son of a... response:	For instance, you summoned this Matoi girl here.
context: Damn it, what did we even come here for?\Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes.\Matoi!\Ryuko! I can't undo this thread!\Son of a...\For instance, you summoned this Matoi girl here. response:	You may have expected her to fight for you,
context: Ragyo Kiryuin! You won't escape me!\Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes.\Matoi!\Ryuko! I can't undo this thread!\Son of a...\For instance, you summoned this Matoi girl here.\You may have expected her to fight for you, response:	but if I do this, she becomes my pawn.
context: Even though you're my daughter, I must say that I am impressed.\However, you are making several grave mistakes.\Matoi!\Ryuko! I can't undo this thread!\Son of a...\For instance, you summoned this Matoi girl here.\You may have expected her to fight for you,\but if I do this, she becomes my pawn. response:	What a shame...
context: However, you are making several grave mistakes.\Matoi!\Ryuko! I can't undo this thread!\Son of a...\For instance, you summoned this Matoi girl here.\You may have expected her to fight for you,\but if I do this, she becomes my pawn.\What a shame... response:	This much power without Life Fiber synchronization?
context: Matoi!\Ryuko! I can't undo this thread!\Son of a...\For instance, you summoned this Matoi girl here.\You may have expected her to fight for you,\but if I do this, she becomes my pawn.\What a shame...\This much power without Life Fiber synchronization? response:	Magnificent.
context: Ryuko! I can't undo this thread!\Son of a...\For instance, you summoned this Matoi girl here.\You may have expected her to fight for you,\but if I do this, she becomes my pawn.\What a shame...\This much power without Life Fiber synchronization?\Magnificent. response:	It would appear to be a inherent ability she possesses.
context: Son of a...\For instance, you summoned this Matoi girl here.\You may have expected her to fight for you,\but if I do this, she becomes my pawn.\What a shame...\This much power without Life Fiber synchronization?\Magnificent.\It would appear to be a inherent ability she possesses. response:	You little fool!
context: For instance, you summoned this Matoi girl here.\You may have expected her to fight for you,\but if I do this, she becomes my pawn.\What a shame...\This much power without Life Fiber synchronization?\Magnificent.\It would appear to be a inherent ability she possesses.\You little fool! response:	I have you now!
context: You may have expected her to fight for you,\but if I do this, she becomes my pawn.\What a shame...\This much power without Life Fiber synchronization?\Magnificent.\It would appear to be a inherent ability she possesses.\You little fool!\I have you now! response:	Shingan-Tensenzuki!
context: but if I do this, she becomes my pawn.\What a shame...\This much power without Life Fiber synchronization?\Magnificent.\It would appear to be a inherent ability she possesses.\You little fool!\I have you now!\Shingan-Tensenzuki! response:	What?!
context: What a shame...\This much power without Life Fiber synchronization?\Magnificent.\It would appear to be a inherent ability she possesses.\You little fool!\I have you now!\Shingan-Tensenzuki!\What?! response:	Mon mignon pret-a-porter! (My cute clothes!)
context: This much power without Life Fiber synchronization?\Magnificent.\It would appear to be a inherent ability she possesses.\You little fool!\I have you now!\Shingan-Tensenzuki!\What?!\Mon mignon pret-a-porter! (My cute clothes!) response:	You guys are boring because you're too uptight.
