context: Want to commit double suicide with me? response:	Just kidding... I just thought I'd say it.
context: Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away?\Look at me!\H-Hey... Kousei...\Watari...\What am I supposed to do?\You see, I...\It doesn't look good for me. response:	It's not true. It's not true.
context: After Kaori-chan did so much for you, why are you running away?\Look at me!\H-Hey... Kousei...\Watari...\What am I supposed to do?\You see, I...\It doesn't look good for me.\It's not true. It's not true. response:	I'm so sorry.
context: Look at me!\H-Hey... Kousei...\Watari...\What am I supposed to do?\You see, I...\It doesn't look good for me.\It's not true. It's not true.\I'm so sorry. response:	I guess maybe we never should've met, huh?
context: H-Hey... Kousei...\Watari...\What am I supposed to do?\You see, I...\It doesn't look good for me.\It's not true. It's not true.\I'm so sorry.\I guess maybe we never should've met, huh? response:	I couldn't say a word. What could I have said to her?
context: Watari...\What am I supposed to do?\You see, I...\It doesn't look good for me.\It's not true. It's not true.\I'm so sorry.\I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her? response:	How should I act when I see her?
context: What am I supposed to do?\You see, I...\It doesn't look good for me.\It's not true. It's not true.\I'm so sorry.\I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her?\How should I act when I see her? response:	Listen, Kousei.
context: You see, I...\It doesn't look good for me.\It's not true. It's not true.\I'm so sorry.\I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her?\How should I act when I see her?\Listen, Kousei. response:	This is just my opinion, but... I think you should go see Kaori-chan after all.
context: It doesn't look good for me.\It's not true. It's not true.\I'm so sorry.\I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her?\How should I act when I see her?\Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all. response:	Sure, if she was okay with me, I'd do anything in the world.
context: It's not true. It's not true.\I'm so sorry.\I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her?\How should I act when I see her?\Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world. response:	If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?
context: I'm so sorry.\I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her?\How should I act when I see her?\Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know? response:	But you know what, I think for Kaori-chan, I'm not the one, you know?
context: I guess maybe we never should've met, huh?\I couldn't say a word. What could I have said to her?\How should I act when I see her?\Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know? response:	When she wants her own way or needs to lean on somebody...
context: I couldn't say a word. What could I have said to her?\How should I act when I see her?\Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody... response:	Whenever she wants somebody to do something for her,
context: How should I act when I see her?\Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her, response:	it's you she always turns to, Kousei.
context: Listen, Kousei.\This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei. response:	Enter a competition!
context: This is just my opinion, but... I think you should go see Kaori-chan after all.\Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei.\Enter a competition! response:	Be my accompanist!
context: Sure, if she was okay with me, I'd do anything in the world.\If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei.\Enter a competition!\Be my accompanist! response:	I wish I could have a canele.
context: If it was for a girl I liked, I'd even drink muddy water, just slurp-slurp-slurp, you know?\But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei.\Enter a competition!\Be my accompanist!\I wish I could have a canele. response:	Please support me in this moment that I'm about to lose heart.
context: But you know what, I think for Kaori-chan, I'm not the one, you know?\When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei.\Enter a competition!\Be my accompanist!\I wish I could have a canele.\Please support me in this moment that I'm about to lose heart. response:	But I just don't know what to say to her.
context: When she wants her own way or needs to lean on somebody...\Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei.\Enter a competition!\Be my accompanist!\I wish I could have a canele.\Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her. response:	Don't sweat it... you'll know once you're there.
context: Whenever she wants somebody to do something for her,\it's you she always turns to, Kousei.\Enter a competition!\Be my accompanist!\I wish I could have a canele.\Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her.\Don't sweat it... you'll know once you're there. response:	A man can only take action!
context: it's you she always turns to, Kousei.\Enter a competition!\Be my accompanist!\I wish I could have a canele.\Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her.\Don't sweat it... you'll know once you're there.\A man can only take action! response:	But for me, it's impossible.
context: Enter a competition!\Be my accompanist!\I wish I could have a canele.\Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her.\Don't sweat it... you'll know once you're there.\A man can only take action!\But for me, it's impossible. response:	Whether or not it's impossible,
context: Be my accompanist!\I wish I could have a canele.\Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her.\Don't sweat it... you'll know once you're there.\A man can only take action!\But for me, it's impossible.\Whether or not it's impossible, response:	the girl will let you know.
context: I wish I could have a canele.\Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her.\Don't sweat it... you'll know once you're there.\A man can only take action!\But for me, it's impossible.\Whether or not it's impossible,\the girl will let you know. response:	I didn't think you'd ever come again.
context: Please support me in this moment that I'm about to lose heart.\But I just don't know what to say to her.\Don't sweat it... you'll know once you're there.\A man can only take action!\But for me, it's impossible.\Whether or not it's impossible,\the girl will let you know.\I didn't think you'd ever come again. response:	Because I promised to bring you some caneles.
context: But I just don't know what to say to her.\Don't sweat it... you'll know once you're there.\A man can only take action!\But for me, it's impossible.\Whether or not it's impossible,\the girl will let you know.\I didn't think you'd ever come again.\Because I promised to bring you some caneles. response:	Have you been practicing the piano?
context: Don't sweat it... you'll know once you're there.\A man can only take action!\But for me, it's impossible.\Whether or not it's impossible,\the girl will let you know.\I didn't think you'd ever come again.\Because I promised to bring you some caneles.\Have you been practicing the piano? response:	Yeah.
context: A man can only take action!\But for me, it's impossible.\Whether or not it's impossible,\the girl will let you know.\I didn't think you'd ever come again.\Because I promised to bring you some caneles.\Have you been practicing the piano?\Yeah. response:	How's school?
context: But for me, it's impossible.\Whether or not it's impossible,\the girl will let you know.\I didn't think you'd ever come again.\Because I promised to bring you some caneles.\Have you been practicing the piano?\Yeah.\How's school? response:	The same as usual.
context: Whether or not it's impossible,\the girl will let you know.\I didn't think you'd ever come again.\Because I promised to bring you some caneles.\Have you been practicing the piano?\Yeah.\How's school?\The same as usual. response:	How's everybody doing?
context: the girl will let you know.\I didn't think you'd ever come again.\Because I promised to bring you some caneles.\Have you been practicing the piano?\Yeah.\How's school?\The same as usual.\How's everybody doing? response:	So-so.
context: I didn't think you'd ever come again.\Because I promised to bring you some caneles.\Have you been practicing the piano?\Yeah.\How's school?\The same as usual.\How's everybody doing?\So-so. response:	What kind of answers are those? You don't even want to be here, do you?
context: Because I promised to bring you some caneles.\Have you been practicing the piano?\Yeah.\How's school?\The same as usual.\How's everybody doing?\So-so.\What kind of answers are those? You don't even want to be here, do you? response:	Yes I do!
context: Have you been practicing the piano?\Yeah.\How's school?\The same as usual.\How's everybody doing?\So-so.\What kind of answers are those? You don't even want to be here, do you?\Yes I do! response:	I do, but I don't know what to say, that's all.
context: Yeah.\How's school?\The same as usual.\How's everybody doing?\So-so.\What kind of answers are those? You don't even want to be here, do you?\Yes I do!\I do, but I don't know what to say, that's all. response:	Just go back to the way things were before.
context: How's school?\The same as usual.\How's everybody doing?\So-so.\What kind of answers are those? You don't even want to be here, do you?\Yes I do!\I do, but I don't know what to say, that's all.\Just go back to the way things were before. response:	You can just forget about it all, like you've pressed the reset button.
context: The same as usual.\How's everybody doing?\So-so.\What kind of answers are those? You don't even want to be here, do you?\Yes I do!\I do, but I don't know what to say, that's all.\Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button. response:	Tap, tap, tap... like that.
context: How's everybody doing?\So-so.\What kind of answers are those? You don't even want to be here, do you?\Yes I do!\I do, but I don't know what to say, that's all.\Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that. response:	Why would you...
context: So-so.\What kind of answers are those? You don't even want to be here, do you?\Yes I do!\I do, but I don't know what to say, that's all.\Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that.\Why would you... response:	I won't forget.
context: What kind of answers are those? You don't even want to be here, do you?\Yes I do!\I do, but I don't know what to say, that's all.\Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that.\Why would you...\I won't forget. response:	And that will make your heart lighter. There's no point in remembering, anyway.
context: Yes I do!\I do, but I don't know what to say, that's all.\Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that.\Why would you...\I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway. response:	A violinist who can't hold her own bow... that's pointless.
context: I do, but I don't know what to say, that's all.\Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that.\Why would you...\I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless. response:	Why would... why would you say such a thing?
context: Just go back to the way things were before.\You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that.\Why would you...\I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing? response:	After all that howling, slapping me around,
context: You can just forget about it all, like you've pressed the reset button.\Tap, tap, tap... like that.\Why would you...\I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing?\After all that howling, slapping me around, response:	forcing me up onstage against my will...
context: Tap, tap, tap... like that.\Why would you...\I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing?\After all that howling, slapping me around,\forcing me up onstage against my will... response:	After carving so many scenes into my mind that I don't want to forget...
context: Why would you...\I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing?\After all that howling, slapping me around,\forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget... response:	That's my canele!
context: I won't forget.\And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing?\After all that howling, slapping me around,\forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget...\That's my canele! response:	Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!
context: And that will make your heart lighter. There's no point in remembering, anyway.\A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing?\After all that howling, slapping me around,\forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget...\That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele! response:	But I'm the one who asked for it!
context: A violinist who can't hold her own bow... that's pointless.\Why would... why would you say such a thing?\After all that howling, slapping me around,\forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget...\That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it! response:	I'm the one who bought it!
context: Why would... why would you say such a thing?\After all that howling, slapping me around,\forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget...\That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it!\I'm the one who bought it! response:	What's that?
context: After all that howling, slapping me around,\forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget...\That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it!\I'm the one who bought it!\What's that? response:	That's that!
context: forcing me up onstage against my will...\After carving so many scenes into my mind that I don't want to forget...\That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it!\I'm the one who bought it!\What's that?\That's that! response:	Not again...
context: After carving so many scenes into my mind that I don't want to forget...\That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it!\I'm the one who bought it!\What's that?\That's that!\Not again... response:	You're irresponsible! I wash my hands of you!
context: That's my canele!\Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it!\I'm the one who bought it!\What's that?\That's that!\Not again...\You're irresponsible! I wash my hands of you! response:	Wait
context: Like I'd let such a cranky whiner have it? I'd feel sorry for the canele!\But I'm the one who asked for it!\I'm the one who bought it!\What's that?\That's that!\Not again...\You're irresponsible! I wash my hands of you!\Wait response:	You really are a weird one.
context: But I'm the one who asked for it!\I'm the one who bought it!\What's that?\That's that!\Not again...\You're irresponsible! I wash my hands of you!\Wait\You really are a weird one. response:	I feel so bitter... so bitter... And it's just so sad.
context: I'm the one who bought it!\What's that?\That's that!\Not again...\You're irresponsible! I wash my hands of you!\Wait\You really are a weird one.\I feel so bitter... so bitter... And it's just so sad. response:	You gave me so many things...
context: What's that?\That's that!\Not again...\You're irresponsible! I wash my hands of you!\Wait\You really are a weird one.\I feel so bitter... so bitter... And it's just so sad.\You gave me so many things... response:	Isn't there anything I can do for you?
context: That's that!\Not again...\You're irresponsible! I wash my hands of you!\Wait\You really are a weird one.\I feel so bitter... so bitter... And it's just so sad.\You gave me so many things...\Isn't there anything I can do for you? response:	If it was for a girl I liked, I'd even drink muddy water.
context: Not again...\You're irresponsible! I wash my hands of you!\Wait\You really are a weird one.\I feel so bitter... so bitter... And it's just so sad.\You gave me so many things...\Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water. response:	I want him to notice... that I'm here... with my playing.
context: You're irresponsible! I wash my hands of you!\Wait\You really are a weird one.\I feel so bitter... so bitter... And it's just so sad.\You gave me so many things...\Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing. response:	I drew this...
context: Wait\You really are a weird one.\I feel so bitter... so bitter... And it's just so sad.\You gave me so many things...\Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing.\I drew this... response:	Whaaat? You want to perform at the culture festival?
context: You really are a weird one.\I feel so bitter... so bitter... And it's just so sad.\You gave me so many things...\Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing.\I drew this...\Whaaat? You want to perform at the culture festival? response:	A bolt out of the blue? I don't get it! What are you thinking?
context: I feel so bitter... so bitter... And it's just so sad.\You gave me so many things...\Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing.\I drew this...\Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking? response:	You're really pushing it.
context: You gave me so many things...\Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing.\I drew this...\Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it. response:	Please!
context: Isn't there anything I can do for you?\If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing.\I drew this...\Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it.\Please! response:	Fine.
context: If it was for a girl I liked, I'd even drink muddy water.\I want him to notice... that I'm here... with my playing.\I drew this...\Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it.\Please!\Fine. response:	No way! But it's your big moment.
context: I want him to notice... that I'm here... with my playing.\I drew this...\Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it.\Please!\Fine.\No way! But it's your big moment. response:	What am I gonna do? Are you really sure?
context: I drew this...\Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it.\Please!\Fine.\No way! But it's your big moment.\What am I gonna do? Are you really sure? response:	I only asked because I had nothing to lose.
context: Whaaat? You want to perform at the culture festival?\A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it.\Please!\Fine.\No way! But it's your big moment.\What am I gonna do? Are you really sure?\I only asked because I had nothing to lose. response:	Grovel some more, Kousei Arima!
context: A bolt out of the blue? I don't get it! What are you thinking?\You're really pushing it.\Please!\Fine.\No way! But it's your big moment.\What am I gonna do? Are you really sure?\I only asked because I had nothing to lose.\Grovel some more, Kousei Arima! response:	I don't really know where this is coming from,
context: You're really pushing it.\Please!\Fine.\No way! But it's your big moment.\What am I gonna do? Are you really sure?\I only asked because I had nothing to lose.\Grovel some more, Kousei Arima!\I don't really know where this is coming from, response:	but since I was struggling to come up with a program...
context: Please!\Fine.\No way! But it's your big moment.\What am I gonna do? Are you really sure?\I only asked because I had nothing to lose.\Grovel some more, Kousei Arima!\I don't really know where this is coming from,\but since I was struggling to come up with a program... response:	and I think it'll be intriguing...
context: Fine.\No way! But it's your big moment.\What am I gonna do? Are you really sure?\I only asked because I had nothing to lose.\Grovel some more, Kousei Arima!\I don't really know where this is coming from,\but since I was struggling to come up with a program...\and I think it'll be intriguing... response:	Thanks.
context: No way! But it's your big moment.\What am I gonna do? Are you really sure?\I only asked because I had nothing to lose.\Grovel some more, Kousei Arima!\I don't really know where this is coming from,\but since I was struggling to come up with a program...\and I think it'll be intriguing...\Thanks. response:	Arima-sensei... why do you want to perform at the culture festival?
context: What am I gonna do? Are you really sure?\I only asked because I had nothing to lose.\Grovel some more, Kousei Arima!\I don't really know where this is coming from,\but since I was struggling to come up with a program...\and I think it'll be intriguing...\Thanks.\Arima-sensei... why do you want to perform at the culture festival? response:	Hey, there, my princess.
context: I only asked because I had nothing to lose.\Grovel some more, Kousei Arima!\I don't really know where this is coming from,\but since I was struggling to come up with a program...\and I think it'll be intriguing...\Thanks.\Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess. response:	Wanna discuss The Knight of the Rose with us?
context: Grovel some more, Kousei Arima!\I don't really know where this is coming from,\but since I was struggling to come up with a program...\and I think it'll be intriguing...\Thanks.\Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess.\Wanna discuss The Knight of the Rose with us? response:	We reserved a booth at a diner for you.
context: I don't really know where this is coming from,\but since I was struggling to come up with a program...\and I think it'll be intriguing...\Thanks.\Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess.\Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you. response:	Nagi, let's have a crepe on the way home.
context: but since I was struggling to come up with a program...\and I think it'll be intriguing...\Thanks.\Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess.\Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home. response:	Can't do it.
context: and I think it'll be intriguing...\Thanks.\Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess.\Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home.\Can't do it. response:	You have a date?
context: Thanks.\Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess.\Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home.\Can't do it.\You have a date? response:	Make it sound more springy. Use your wrists to play softly.
context: Arima-sensei... why do you want to perform at the culture festival?\Hey, there, my princess.\Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home.\Can't do it.\You have a date?\Make it sound more springy. Use your wrists to play softly. response:	Maybe you should wait an extra beat. Speed up the intro and vary the pace.
context: Hey, there, my princess.\Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home.\Can't do it.\You have a date?\Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace. response:	No way! How many times did you go over it?
context: Wanna discuss The Knight of the Rose with us?\We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home.\Can't do it.\You have a date?\Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it? response:	It's even more accurate than yesterday.
context: We reserved a booth at a diner for you.\Nagi, let's have a crepe on the way home.\Can't do it.\You have a date?\Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it?\It's even more accurate than yesterday. response:	You're not eating?
context: Nagi, let's have a crepe on the way home.\Can't do it.\You have a date?\Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it?\It's even more accurate than yesterday.\You're not eating? response:	No. I'm not really hungry.
context: Can't do it.\You have a date?\Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it?\It's even more accurate than yesterday.\You're not eating?\No. I'm not really hungry. response:	I'm gonna go practice.
context: You have a date?\Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it?\It's even more accurate than yesterday.\You're not eating?\No. I'm not really hungry.\I'm gonna go practice. response:	She's pushing herself too hard, don't you think?
context: Make it sound more springy. Use your wrists to play softly.\Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it?\It's even more accurate than yesterday.\You're not eating?\No. I'm not really hungry.\I'm gonna go practice.\She's pushing herself too hard, don't you think? response:	I made a mistake! I'm sorry!
context: Maybe you should wait an extra beat. Speed up the intro and vary the pace.\No way! How many times did you go over it?\It's even more accurate than yesterday.\You're not eating?\No. I'm not really hungry.\I'm gonna go practice.\She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry! response:	Don't worry about misplaying the notes sometimes. Let's hear you play it through.
context: No way! How many times did you go over it?\It's even more accurate than yesterday.\You're not eating?\No. I'm not really hungry.\I'm gonna go practice.\She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through. response:	I'm sorry, I'm sorry, I'm sorry...
context: It's even more accurate than yesterday.\You're not eating?\No. I'm not really hungry.\I'm gonna go practice.\She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry... response:	Good luck! We'll be there, no matter what!
context: You're not eating?\No. I'm not really hungry.\I'm gonna go practice.\She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what! response:	You're this year's main draw!
context: No. I'm not really hungry.\I'm gonna go practice.\She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what!\You're this year's main draw! response:	Ibata-sensei will be in the audience. So turn in a perfect performance.
context: I'm gonna go practice.\She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what!\You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance. response:	If he acknowledges your talent, you'll be set for life!
context: She's pushing herself too hard, don't you think?\I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what!\You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life! response:	I hear they're sending a reporter.
context: I made a mistake! I'm sorry!\Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what!\You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter. response:	They're doing a feature on a beautiful young female pianist.
context: Don't worry about misplaying the notes sometimes. Let's hear you play it through.\I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what!\You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist. response:	Four more days.
context: I'm sorry, I'm sorry, I'm sorry...\Good luck! We'll be there, no matter what!\You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist.\Four more days. response:	I'm looking forward to this.
context: Good luck! We'll be there, no matter what!\You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist.\Four more days.\I'm looking forward to this. response:	Four more days. I only have four more days to make this piece my own.
context: You're this year's main draw!\Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist.\Four more days.\I'm looking forward to this.\Four more days. I only have four more days to make this piece my own. response:	We have high hopes for you!
context: Ibata-sensei will be in the audience. So turn in a perfect performance.\If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist.\Four more days.\I'm looking forward to this.\Four more days. I only have four more days to make this piece my own.\We have high hopes for you! response:	She gets extra points for her looks, don't you think?
context: If he acknowledges your talent, you'll be set for life!\I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist.\Four more days.\I'm looking forward to this.\Four more days. I only have four more days to make this piece my own.\We have high hopes for you!\She gets extra points for her looks, don't you think? response:	The magazine writer's coming just to see Nagi.
context: I hear they're sending a reporter.\They're doing a feature on a beautiful young female pianist.\Four more days.\I'm looking forward to this.\Four more days. I only have four more days to make this piece my own.\We have high hopes for you!\She gets extra points for her looks, don't you think?\The magazine writer's coming just to see Nagi. response:	She'll own everyone else without even trying.
context: They're doing a feature on a beautiful young female pianist.\Four more days.\I'm looking forward to this.\Four more days. I only have four more days to make this piece my own.\We have high hopes for you!\She gets extra points for her looks, don't you think?\The magazine writer's coming just to see Nagi.\She'll own everyone else without even trying. response:	Lolicon bait!
