context: Move it! response:	We've waited and waited, but she hasn't come back.
context: Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh?\Right this way, please.\Are you done paying your respects, then?\Yes.\Time certainly flies, doesn't it? response:	How many times will I have heard you play now? Five?
context: Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh?\Right this way, please.\Are you done paying your respects, then?\Yes.\Time certainly flies, doesn't it?\How many times will I have heard you play now? Five? response:	By the way, did you manage to meet your friend this year? Your... young gentleman?
context: A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh?\Right this way, please.\Are you done paying your respects, then?\Yes.\Time certainly flies, doesn't it?\How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman? response:	Well, then, take your time.
context: In Paris, it's 2 o'clock, huh?\Right this way, please.\Are you done paying your respects, then?\Yes.\Time certainly flies, doesn't it?\How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time. response:	Thank you, Father. I appreciate it.
context: Right this way, please.\Are you done paying your respects, then?\Yes.\Time certainly flies, doesn't it?\How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time.\Thank you, Father. I appreciate it. response:	Hi there, Franz.
context: Are you done paying your respects, then?\Yes.\Time certainly flies, doesn't it?\How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time.\Thank you, Father. I appreciate it.\Hi there, Franz. response:	I just got back.
context: Yes.\Time certainly flies, doesn't it?\How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time.\Thank you, Father. I appreciate it.\Hi there, Franz.\I just got back. response:	As I said when we spoke over the phone, I simply wasn't able to find a buyer.
context: Time certainly flies, doesn't it?\How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time.\Thank you, Father. I appreciate it.\Hi there, Franz.\I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer. response:	As such, we will be taking the house to pay for the five years of accumulated back taxes.
context: How many times will I have heard you play now? Five?\By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time.\Thank you, Father. I appreciate it.\Hi there, Franz.\I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes. response:	Um...The state hereby assumes all legal rights to this land and all structures thereupon,
context: By the way, did you manage to meet your friend this year? Your... young gentleman?\Well, then, take your time.\Thank you, Father. I appreciate it.\Hi there, Franz.\I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon, response:	You're sure that's all right with you?
context: Well, then, take your time.\Thank you, Father. I appreciate it.\Hi there, Franz.\I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you? response:	Yes, sir. I have no objections.
context: Thank you, Father. I appreciate it.\Hi there, Franz.\I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you?\Yes, sir. I have no objections. response:	In that case, please sign this form.
context: Hi there, Franz.\I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you?\Yes, sir. I have no objections.\In that case, please sign this form. response:	Um... Would it be all right if I went into the mansion one last time?
context: I just got back.\As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you?\Yes, sir. I have no objections.\In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time? response:	Of course. Feel free to go in while you're here.
context: As I said when we spoke over the phone, I simply wasn't able to find a buyer.\As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you?\Yes, sir. I have no objections.\In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here. response:	If you don't mind...
context: As such, we will be taking the house to pay for the five years of accumulated back taxes.\Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you?\Yes, sir. I have no objections.\In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here.\If you don't mind... response:	Franz...
context: Um...The state hereby assumes all legal rights to this land and all structures thereupon,\You're sure that's all right with you?\Yes, sir. I have no objections.\In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here.\If you don't mind...\Franz... response:	I've been frantic these past five years.
context: You're sure that's all right with you?\Yes, sir. I have no objections.\In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here.\If you don't mind...\Franz...\I've been frantic these past five years. response:	I read books like crazy, always hunched over my desk.
context: Yes, sir. I have no objections.\In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here.\If you don't mind...\Franz...\I've been frantic these past five years.\I read books like crazy, always hunched over my desk. response:	And before I knew it, I'd turned 20.
context: In that case, please sign this form.\Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here.\If you don't mind...\Franz...\I've been frantic these past five years.\I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20. response:	I was... I was simply frantic.
context: Um... Would it be all right if I went into the mansion one last time?\Of course. Feel free to go in while you're here.\If you don't mind...\Franz...\I've been frantic these past five years.\I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20.\I was... I was simply frantic. response:	I told myself that I had to live.
context: Of course. Feel free to go in while you're here.\If you don't mind...\Franz...\I've been frantic these past five years.\I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20.\I was... I was simply frantic.\I told myself that I had to live. response:	That I had to live in your place, in Father's place, and in the Count's place.
context: If you don't mind...\Franz...\I've been frantic these past five years.\I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20.\I was... I was simply frantic.\I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place. response:	Franz, I was terrified.
context: Franz...\I've been frantic these past five years.\I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20.\I was... I was simply frantic.\I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified. response:	Of being trapped by the past.
context: I've been frantic these past five years.\I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20.\I was... I was simply frantic.\I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified.\Of being trapped by the past. response:	That I might become obsessed with the past and end up hating someone.
context: I read books like crazy, always hunched over my desk.\And before I knew it, I'd turned 20.\I was... I was simply frantic.\I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified.\Of being trapped by the past.\That I might become obsessed with the past and end up hating someone. response:	I'm sorry, Franz...
context: And before I knew it, I'd turned 20.\I was... I was simply frantic.\I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified.\Of being trapped by the past.\That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz... response:	I'm sorry it's been so long. I'm sorry I haven't come back for so long.
context: I was... I was simply frantic.\I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified.\Of being trapped by the past.\That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long. response:	Mademoiselle Mercedes Herrera.
context: I told myself that I had to live.\That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified.\Of being trapped by the past.\That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera. response:	It has been a long time. How are you?
context: That I had to live in your place, in Father's place, and in the Count's place.\Franz, I was terrified.\Of being trapped by the past.\That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera.\It has been a long time. How are you? response:	The ship has finally begun her return voyage to Earth.
context: Franz, I was terrified.\Of being trapped by the past.\That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera.\It has been a long time. How are you?\The ship has finally begun her return voyage to Earth. response:	Unfortunately, the Captain has fallen ill.
context: Of being trapped by the past.\That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera.\It has been a long time. How are you?\The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill. response:	I don't think that it is anything serious, but it looks as if our return will be delayed.
context: That I might become obsessed with the past and end up hating someone.\I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera.\It has been a long time. How are you?\The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed. response:	To be honest, I wish I could come home right now and hold you in my arms.
context: I'm sorry, Franz...\I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera.\It has been a long time. How are you?\The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms. response:	That day we set sail,
context: I'm sorry it's been so long. I'm sorry I haven't come back for so long.\Mademoiselle Mercedes Herrera.\It has been a long time. How are you?\The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail, response:	A day doesn't go by when I don't think back on that warm light, the light of my loved ones.
context: Mademoiselle Mercedes Herrera.\It has been a long time. How are you?\The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones. response:	Guided by that light, I never lose my way or stray from my path.
context: It has been a long time. How are you?\The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path. response:	That light that is shining so brightly in our future is happiness.
context: The ship has finally begun her return voyage to Earth.\Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness. response:	So please wait for me and don't worry.
context: Unfortunately, the Captain has fallen ill.\I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry. response:	Bide your time, and hold out hope.
context: I don't think that it is anything serious, but it looks as if our return will be delayed.\To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry.\Bide your time, and hold out hope. response:	To my beloved Mercedes.
context: To be honest, I wish I could come home right now and hold you in my arms.\That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry.\Bide your time, and hold out hope.\To my beloved Mercedes. response:	With all my heart, your Edmond Dantes.
context: That day we set sail,\A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry.\Bide your time, and hold out hope.\To my beloved Mercedes.\With all my heart, your Edmond Dantes. response:	You've been here all this time... Since long before I was born, haven't you?
context: A day doesn't go by when I don't think back on that warm light, the light of my loved ones.\Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry.\Bide your time, and hold out hope.\To my beloved Mercedes.\With all my heart, your Edmond Dantes.\You've been here all this time... Since long before I was born, haven't you? response:	I'll never forget the time I spent with you.
context: Guided by that light, I never lose my way or stray from my path.\That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry.\Bide your time, and hold out hope.\To my beloved Mercedes.\With all my heart, your Edmond Dantes.\You've been here all this time... Since long before I was born, haven't you?\I'll never forget the time I spent with you. response:	Or the time I spent with my father.
context: That light that is shining so brightly in our future is happiness.\So please wait for me and don't worry.\Bide your time, and hold out hope.\To my beloved Mercedes.\With all my heart, your Edmond Dantes.\You've been here all this time... Since long before I was born, haven't you?\I'll never forget the time I spent with you.\Or the time I spent with my father. response:	Or the time I spent with the Count.
context: So please wait for me and don't worry.\Bide your time, and hold out hope.\To my beloved Mercedes.\With all my heart, your Edmond Dantes.\You've been here all this time... Since long before I was born, haven't you?\I'll never forget the time I spent with you.\Or the time I spent with my father.\Or the time I spent with the Count. response:	I swear this to you.
context: Bide your time, and hold out hope.\To my beloved Mercedes.\With all my heart, your Edmond Dantes.\You've been here all this time... Since long before I was born, haven't you?\I'll never forget the time I spent with you.\Or the time I spent with my father.\Or the time I spent with the Count.\I swear this to you. response:	No matter where my life takes me, I'll never forget that summer.
context: To my beloved Mercedes.\With all my heart, your Edmond Dantes.\You've been here all this time... Since long before I was born, haven't you?\I'll never forget the time I spent with you.\Or the time I spent with my father.\Or the time I spent with the Count.\I swear this to you.\No matter where my life takes me, I'll never forget that summer. response:	Never.
