context: Sorry to call you here out of the blue. response:	It's okay...
context: It's just not coming to mind.\It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it.\Something like that won't just pop\Y-You're right!\This might be perfect!\Please repeat what you just said. response:	Kirino is a huge fan of that anime.
context: It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it.\Something like that won't just pop\Y-You're right!\This might be perfect!\Please repeat what you just said.\Kirino is a huge fan of that anime. response:	I know that.
context: Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it.\Something like that won't just pop\Y-You're right!\This might be perfect!\Please repeat what you just said.\Kirino is a huge fan of that anime.\I know that. response:	It doesn't look like something indecent.
context: Something hard to obtain, with real value behind it.\Something like that won't just pop\Y-You're right!\This might be perfect!\Please repeat what you just said.\Kirino is a huge fan of that anime.\I know that.\It doesn't look like something indecent. response:	So I was thinking, maybe a figure they don't sell would be perfect.
context: Something like that won't just pop\Y-You're right!\This might be perfect!\Please repeat what you just said.\Kirino is a huge fan of that anime.\I know that.\It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect. response:	It's hard to get your hands on, and for people into the stuff, it's invaluable.
context: Y-You're right!\This might be perfect!\Please repeat what you just said.\Kirino is a huge fan of that anime.\I know that.\It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable. response:	What do you think?
context: This might be perfect!\Please repeat what you just said.\Kirino is a huge fan of that anime.\I know that.\It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think? response:	Yes.
context: Please repeat what you just said.\Kirino is a huge fan of that anime.\I know that.\It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think?\Yes. response:	Goods for this anime are fine.
context: Kirino is a huge fan of that anime.\I know that.\It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think?\Yes.\Goods for this anime are fine. response:	But I don't see how we can obtain this item that isn't for sale.
context: I know that.\It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think?\Yes.\Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale. response:	It's the prize for winning a Meruru cosplay competition.
context: It doesn't look like something indecent.\So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think?\Yes.\Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition. response:	You're telling me to participate?
context: So I was thinking, maybe a figure they don't sell would be perfect.\It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think?\Yes.\Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition.\You're telling me to participate? response:	Well, I mean, you're a model...
context: It's hard to get your hands on, and for people into the stuff, it's invaluable.\What do you think?\Yes.\Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition.\You're telling me to participate?\Well, I mean, you're a model... response:	And you're beautiful, and you can definitely go for first place...
context: What do you think?\Yes.\Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition.\You're telling me to participate?\Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place... response:	Ayase-san?
context: Yes.\Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition.\You're telling me to participate?\Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place...\Ayase-san? response:	Might you be angry?
context: Goods for this anime are fine.\But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition.\You're telling me to participate?\Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place...\Ayase-san?\Might you be angry? response:	Of course I am!!
context: But I don't see how we can obtain this item that isn't for sale.\It's the prize for winning a Meruru cosplay competition.\You're telling me to participate?\Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place...\Ayase-san?\Might you be angry?\Of course I am!! response:	How could I appear on stage wearing something as embarrassing as this?!
context: It's the prize for winning a Meruru cosplay competition.\You're telling me to participate?\Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place...\Ayase-san?\Might you be angry?\Of course I am!!\How could I appear on stage wearing something as embarrassing as this?! response:	Do you want me to kill you, you pervert?!
context: You're telling me to participate?\Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place...\Ayase-san?\Might you be angry?\Of course I am!!\How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?! response:	C-Calm down!
context: Well, I mean, you're a model...\And you're beautiful, and you can definitely go for first place...\Ayase-san?\Might you be angry?\Of course I am!!\How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?!\C-Calm down! response:	Listen to everything I have to say!
context: And you're beautiful, and you can definitely go for first place...\Ayase-san?\Might you be angry?\Of course I am!!\How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?!\C-Calm down!\Listen to everything I have to say! response:	And you wouldn't look good in Meruru's outfit anyway!
context: Ayase-san?\Might you be angry?\Of course I am!!\How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?!\C-Calm down!\Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway! response:	I've done my research here!
context: Might you be angry?\Of course I am!!\How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?!\C-Calm down!\Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway!\I've done my research here! response:	This is the winner of the last one, Bridget-chan!
context: Of course I am!!\How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?!\C-Calm down!\Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway!\I've done my research here!\This is the winner of the last one, Bridget-chan! response:	No matter what kind of mind-melting performance you do, you can't win against this!
context: How could I appear on stage wearing something as embarrassing as this?!\Do you want me to kill you, you pervert?!\C-Calm down!\Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway!\I've done my research here!\This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this! response:	And I wouldn't do a mind-melting performance in the first place!
context: Do you want me to kill you, you pervert?!\C-Calm down!\Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway!\I've done my research here!\This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place! response:	Moron! Pervert!
context: C-Calm down!\Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway!\I've done my research here!\This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert! response:	Look closer! This contest is all about fitting the role!
context: Listen to everything I have to say!\And you wouldn't look good in Meruru's outfit anyway!\I've done my research here!\This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert!\Look closer! This contest is all about fitting the role! response:	It's more about looking like the character than the impact!
context: And you wouldn't look good in Meruru's outfit anyway!\I've done my research here!\This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert!\Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact! response:	And it's not like you don't have a chance.
context: I've done my research here!\This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert!\Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact!\And it's not like you don't have a chance. response:	You're definitely prettier than her.
context: This is the winner of the last one, Bridget-chan!\No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert!\Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact!\And it's not like you don't have a chance.\You're definitely prettier than her. response:	And you're a professional model, too.
context: No matter what kind of mind-melting performance you do, you can't win against this!\And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert!\Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact!\And it's not like you don't have a chance.\You're definitely prettier than her.\And you're a professional model, too. response:	You know how to bring out the best in clothes.
context: And I wouldn't do a mind-melting performance in the first place!\Moron! Pervert!\Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact!\And it's not like you don't have a chance.\You're definitely prettier than her.\And you're a professional model, too.\You know how to bring out the best in clothes. response:	You can definitely win with the right character.
context: Moron! Pervert!\Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact!\And it's not like you don't have a chance.\You're definitely prettier than her.\And you're a professional model, too.\You know how to bring out the best in clothes.\You can definitely win with the right character. response:	It sounds like you're saying there's a character that looks like me.
context: Look closer! This contest is all about fitting the role!\It's more about looking like the character than the impact!\And it's not like you don't have a chance.\You're definitely prettier than her.\And you're a professional model, too.\You know how to bring out the best in clothes.\You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me. response:	Yeah.
context: It's more about looking like the character than the impact!\And it's not like you don't have a chance.\You're definitely prettier than her.\And you're a professional model, too.\You know how to bring out the best in clothes.\You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me.\Yeah. response:	Fine. Show me.
context: And it's not like you don't have a chance.\You're definitely prettier than her.\And you're a professional model, too.\You know how to bring out the best in clothes.\You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me.\Yeah.\Fine. Show me. response:	What costume will I wear?
context: You're definitely prettier than her.\And you're a professional model, too.\You know how to bring out the best in clothes.\You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me.\Yeah.\Fine. Show me.\What costume will I wear? response:	This.
context: And you're a professional model, too.\You know how to bring out the best in clothes.\You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me.\Yeah.\Fine. Show me.\What costume will I wear?\This. response:	Dark Witch Tanatos Eros EX Mode
context: You know how to bring out the best in clothes.\You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me.\Yeah.\Fine. Show me.\What costume will I wear?\This.\Dark Witch Tanatos Eros EX Mode response:	She's practically nude!!
context: You can definitely win with the right character.\It sounds like you're saying there's a character that looks like me.\Yeah.\Fine. Show me.\What costume will I wear?\This.\Dark Witch Tanatos Eros EX Mode\She's practically nude!! response:	Die!
context: It sounds like you're saying there's a character that looks like me.\Yeah.\Fine. Show me.\What costume will I wear?\This.\Dark Witch Tanatos Eros EX Mode\She's practically nude!!\Die! response:	Look properly!
context: Yeah.\Fine. Show me.\What costume will I wear?\This.\Dark Witch Tanatos Eros EX Mode\She's practically nude!!\Die!\Look properly! response:	She's only nude in the transformation sequence!
context: Fine. Show me.\What costume will I wear?\This.\Dark Witch Tanatos Eros EX Mode\She's practically nude!!\Die!\Look properly!\She's only nude in the transformation sequence! response:	She's lewd enough even after the transformation sequence!
context: What costume will I wear?\This.\Dark Witch Tanatos Eros EX Mode\She's practically nude!!\Die!\Look properly!\She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence! response:	I will never wear such lecherous clothes!
context: This.\Dark Witch Tanatos Eros EX Mode\She's practically nude!!\Die!\Look properly!\She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes! response:	Then what about Kirino's present?
context: Dark Witch Tanatos Eros EX Mode\She's practically nude!!\Die!\Look properly!\She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes!\Then what about Kirino's present? response:	I can't think of anything she would want more than this!
context: She's practically nude!!\Die!\Look properly!\She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes!\Then what about Kirino's present?\I can't think of anything she would want more than this! response:	Y-You pervert!
context: Die!\Look properly!\She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes!\Then what about Kirino's present?\I can't think of anything she would want more than this!\Y-You pervert! response:	Why is she acting like I'm blackmailing her?!
context: Look properly!\She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes!\Then what about Kirino's present?\I can't think of anything she would want more than this!\Y-You pervert!\Why is she acting like I'm blackmailing her?! response:	We just need to win this contest and obtain the prize, correct?
context: She's only nude in the transformation sequence!\She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes!\Then what about Kirino's present?\I can't think of anything she would want more than this!\Y-You pervert!\Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct? response:	Well, yeah, but...
context: She's lewd enough even after the transformation sequence!\I will never wear such lecherous clothes!\Then what about Kirino's present?\I can't think of anything she would want more than this!\Y-You pervert!\Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct?\Well, yeah, but... response:	You can't win against this girl with any other character.
context: I will never wear such lecherous clothes!\Then what about Kirino's present?\I can't think of anything she would want more than this!\Y-You pervert!\Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct?\Well, yeah, but...\You can't win against this girl with any other character. response:	No. We can win.
context: Then what about Kirino's present?\I can't think of anything she would want more than this!\Y-You pervert!\Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct?\Well, yeah, but...\You can't win against this girl with any other character.\No. We can win. response:	We just need an even cuter cosplay that looks more like the character than this girl.
context: I can't think of anything she would want more than this!\Y-You pervert!\Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct?\Well, yeah, but...\You can't win against this girl with any other character.\No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl. response:	Good grief...
context: Y-You pervert!\Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct?\Well, yeah, but...\You can't win against this girl with any other character.\No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl.\Good grief... response:	Those two...
context: Why is she acting like I'm blackmailing her?!\We just need to win this contest and obtain the prize, correct?\Well, yeah, but...\You can't win against this girl with any other character.\No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl.\Good grief...\Those two... response:	Sorry!
context: We just need to win this contest and obtain the prize, correct?\Well, yeah, but...\You can't win against this girl with any other character.\No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl.\Good grief...\Those two...\Sorry! response:	Sorry to keep you waiting!
context: Well, yeah, but...\You can't win against this girl with any other character.\No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl.\Good grief...\Those two...\Sorry!\Sorry to keep you waiting! response:	This is my classmate, Kurusu Kanako.
context: You can't win against this girl with any other character.\No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl.\Good grief...\Those two...\Sorry!\Sorry to keep you waiting!\This is my classmate, Kurusu Kanako. response:	Nice to meet you!
context: No. We can win.\We just need an even cuter cosplay that looks more like the character than this girl.\Good grief...\Those two...\Sorry!\Sorry to keep you waiting!\This is my classmate, Kurusu Kanako.\Nice to meet you! response:	I'm Kurusu Kanako!
context: We just need an even cuter cosplay that looks more like the character than this girl.\Good grief...\Those two...\Sorry!\Sorry to keep you waiting!\This is my classmate, Kurusu Kanako.\Nice to meet you!\I'm Kurusu Kanako! response:	Call me Kanakana!
context: Good grief...\Those two...\Sorry!\Sorry to keep you waiting!\This is my classmate, Kurusu Kanako.\Nice to meet you!\I'm Kurusu Kanako!\Call me Kanakana! response:	Nice to meet you, Kanakana-chan.
context: Those two...\Sorry!\Sorry to keep you waiting!\This is my classmate, Kurusu Kanako.\Nice to meet you!\I'm Kurusu Kanako!\Call me Kanakana!\Nice to meet you, Kanakana-chan. response:	I'm Aragaki's manager, Akagi Kouhei.
context: Sorry!\Sorry to keep you waiting!\This is my classmate, Kurusu Kanako.\Nice to meet you!\I'm Kurusu Kanako!\Call me Kanakana!\Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei. response:	What? You're not a producer or anything?
context: Sorry to keep you waiting!\This is my classmate, Kurusu Kanako.\Nice to meet you!\I'm Kurusu Kanako!\Call me Kanakana!\Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything? response:	Dammit, I acted cute for nothing.
context: This is my classmate, Kurusu Kanako.\Nice to meet you!\I'm Kurusu Kanako!\Call me Kanakana!\Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything?\Dammit, I acted cute for nothing. response:	And don't call me Kanakana like you know me.
context: Nice to meet you!\I'm Kurusu Kanako!\Call me Kanakana!\Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything?\Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me. response:	It's gross.
context: I'm Kurusu Kanako!\Call me Kanakana!\Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything?\Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me.\It's gross. response:	This brat...
context: Call me Kanakana!\Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything?\Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me.\It's gross.\This brat... response:	Why don't we go put your clothes on?
context: Nice to meet you, Kanakana-chan.\I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything?\Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me.\It's gross.\This brat...\Why don't we go put your clothes on? response:	Damn, she looks like her!
context: I'm Aragaki's manager, Akagi Kouhei.\What? You're not a producer or anything?\Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me.\It's gross.\This brat...\Why don't we go put your clothes on?\Damn, she looks like her! response:	Is she the real thing?!
context: What? You're not a producer or anything?\Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me.\It's gross.\This brat...\Why don't we go put your clothes on?\Damn, she looks like her!\Is she the real thing?! response:	We're all good here.
context: Dammit, I acted cute for nothing.\And don't call me Kanakana like you know me.\It's gross.\This brat...\Why don't we go put your clothes on?\Damn, she looks like her!\Is she the real thing?!\We're all good here. response:	You can go now.
context: And don't call me Kanakana like you know me.\It's gross.\This brat...\Why don't we go put your clothes on?\Damn, she looks like her!\Is she the real thing?!\We're all good here.\You can go now. response:	And she cut off her escape route!
context: It's gross.\This brat...\Why don't we go put your clothes on?\Damn, she looks like her!\Is she the real thing?!\We're all good here.\You can go now.\And she cut off her escape route! response:	Now then, let's head to the event!
context: This brat...\Why don't we go put your clothes on?\Damn, she looks like her!\Is she the real thing?!\We're all good here.\You can go now.\And she cut off her escape route!\Now then, let's head to the event! response:	What?! The hell's this?!
context: Why don't we go put your clothes on?\Damn, she looks like her!\Is she the real thing?!\We're all good here.\You can go now.\And she cut off her escape route!\Now then, let's head to the event!\What?! The hell's this?! response:	This is like something out of brat anime crap!
context: Damn, she looks like her!\Is she the real thing?!\We're all good here.\You can go now.\And she cut off her escape route!\Now then, let's head to the event!\What?! The hell's this?!\This is like something out of brat anime crap! response:	What the hell?!
context: Is she the real thing?!\We're all good here.\You can go now.\And she cut off her escape route!\Now then, let's head to the event!\What?! The hell's this?!\This is like something out of brat anime crap!\What the hell?! response:	Sorry, I forgot to tell you.
context: We're all good here.\You can go now.\And she cut off her escape route!\Now then, let's head to the event!\What?! The hell's this?!\This is like something out of brat anime crap!\What the hell?!\Sorry, I forgot to tell you. response:	The contest today is actually a cosplay contest.
context: You can go now.\And she cut off her escape route!\Now then, let's head to the event!\What?! The hell's this?!\This is like something out of brat anime crap!\What the hell?!\Sorry, I forgot to tell you.\The contest today is actually a cosplay contest. response:	Cosplay?!
context: And she cut off her escape route!\Now then, let's head to the event!\What?! The hell's this?!\This is like something out of brat anime crap!\What the hell?!\Sorry, I forgot to tell you.\The contest today is actually a cosplay contest.\Cosplay?! response:	Why do I have to be in something stupid like that?!
context: Now then, let's head to the event!\What?! The hell's this?!\This is like something out of brat anime crap!\What the hell?!\Sorry, I forgot to tell you.\The contest today is actually a cosplay contest.\Cosplay?!\Why do I have to be in something stupid like that?! response:	I'm not doing it!
context: What?! The hell's this?!\This is like something out of brat anime crap!\What the hell?!\Sorry, I forgot to tell you.\The contest today is actually a cosplay contest.\Cosplay?!\Why do I have to be in something stupid like that?!\I'm not doing it! response:	I see...
context: This is like something out of brat anime crap!\What the hell?!\Sorry, I forgot to tell you.\The contest today is actually a cosplay contest.\Cosplay?!\Why do I have to be in something stupid like that?!\I'm not doing it!\I see... response:	That's too bad...
context: What the hell?!\Sorry, I forgot to tell you.\The contest today is actually a cosplay contest.\Cosplay?!\Why do I have to be in something stupid like that?!\I'm not doing it!\I see...\That's too bad... response:	I wonder where the car with your clothes has gone now...
context: Sorry, I forgot to tell you.\The contest today is actually a cosplay contest.\Cosplay?!\Why do I have to be in something stupid like that?!\I'm not doing it!\I see...\That's too bad...\I wonder where the car with your clothes has gone now... response:	You tricked me, damn you!
context: The contest today is actually a cosplay contest.\Cosplay?!\Why do I have to be in something stupid like that?!\I'm not doing it!\I see...\That's too bad...\I wonder where the car with your clothes has gone now...\You tricked me, damn you! response:	Stardust Witch Meruru...
context: Cosplay?!\Why do I have to be in something stupid like that?!\I'm not doing it!\I see...\That's too bad...\I wonder where the car with your clothes has gone now...\You tricked me, damn you!\Stardust Witch Meruru... response:	Starts now!
context: Why do I have to be in something stupid like that?!\I'm not doing it!\I see...\That's too bad...\I wonder where the car with your clothes has gone now...\You tricked me, damn you!\Stardust Witch Meruru...\Starts now! response:	Dang, that's a lot of people.
context: I'm not doing it!\I see...\That's too bad...\I wonder where the car with your clothes has gone now...\You tricked me, damn you!\Stardust Witch Meruru...\Starts now!\Dang, that's a lot of people. response:	This is an anime for kids, right?
context: I see...\That's too bad...\I wonder where the car with your clothes has gone now...\You tricked me, damn you!\Stardust Witch Meruru...\Starts now!\Dang, that's a lot of people.\This is an anime for kids, right? response:	Why are all these adult males here?
context: That's too bad...\I wonder where the car with your clothes has gone now...\You tricked me, damn you!\Stardust Witch Meruru...\Starts now!\Dang, that's a lot of people.\This is an anime for kids, right?\Why are all these adult males here? response:	You're asking me...
context: I wonder where the car with your clothes has gone now...\You tricked me, damn you!\Stardust Witch Meruru...\Starts now!\Dang, that's a lot of people.\This is an anime for kids, right?\Why are all these adult males here?\You're asking me... response:	It's proof that it's popular among all demographics maybe?
context: You tricked me, damn you!\Stardust Witch Meruru...\Starts now!\Dang, that's a lot of people.\This is an anime for kids, right?\Why are all these adult males here?\You're asking me...\It's proof that it's popular among all demographics maybe? response:	Today we have 23 girls who will be characters from Meruru on stage!
context: Stardust Witch Meruru...\Starts now!\Dang, that's a lot of people.\This is an anime for kids, right?\Why are all these adult males here?\You're asking me...\It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage! response:	It's going to be fun!
context: Starts now!\Dang, that's a lot of people.\This is an anime for kids, right?\Why are all these adult males here?\You're asking me...\It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun! response:	I'll be your host, Hoshino Kurara!
context: Dang, that's a lot of people.\This is an anime for kids, right?\Why are all these adult males here?\You're asking me...\It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun!\I'll be your host, Hoshino Kurara! response:	Are you ready?
context: This is an anime for kids, right?\Why are all these adult males here?\You're asking me...\It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun!\I'll be your host, Hoshino Kurara!\Are you ready? response:	They're really into it...
context: Why are all these adult males here?\You're asking me...\It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun!\I'll be your host, Hoshino Kurara!\Are you ready?\They're really into it... response:	What's wrong?
context: You're asking me...\It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun!\I'll be your host, Hoshino Kurara!\Are you ready?\They're really into it...\What's wrong? response:	Onii-san...
context: It's proof that it's popular among all demographics maybe?\Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun!\I'll be your host, Hoshino Kurara!\Are you ready?\They're really into it...\What's wrong?\Onii-san... response:	Look there.
context: Today we have 23 girls who will be characters from Meruru on stage!\It's going to be fun!\I'll be your host, Hoshino Kurara!\Are you ready?\They're really into it...\What's wrong?\Onii-san...\Look there. response:	Wahoo! Kurara!
context: It's going to be fun!\I'll be your host, Hoshino Kurara!\Are you ready?\They're really into it...\What's wrong?\Onii-san...\Look there.\Wahoo! Kurara! response:	Yeah! Yeah! Yeah! Kurara!
context: I'll be your host, Hoshino Kurara!\Are you ready?\They're really into it...\What's wrong?\Onii-san...\Look there.\Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara! response:	Kurara!
context: Are you ready?\They're really into it...\What's wrong?\Onii-san...\Look there.\Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara!\Kurara! response:	Th-That's Kirino, right?
context: They're really into it...\What's wrong?\Onii-san...\Look there.\Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara!\Kurara!\Th-That's Kirino, right? response:	Yeah, it is...
context: What's wrong?\Onii-san...\Look there.\Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara!\Kurara!\Th-That's Kirino, right?\Yeah, it is... response:	Well, it's no surprise she's here...
context: Onii-san...\Look there.\Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara!\Kurara!\Th-That's Kirino, right?\Yeah, it is...\Well, it's no surprise she's here... response:	Or rather, we should have figured she'd show up.
context: Look there.\Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara!\Kurara!\Th-That's Kirino, right?\Yeah, it is...\Well, it's no surprise she's here...\Or rather, we should have figured she'd show up. response:	Good thing she's not going up there.
context: Wahoo! Kurara!\Yeah! Yeah! Yeah! Kurara!\Kurara!\Th-That's Kirino, right?\Yeah, it is...\Well, it's no surprise she's here...\Or rather, we should have figured she'd show up.\Good thing she's not going up there. response:	I'm glad I'm not participating in this...
context: Yeah! Yeah! Yeah! Kurara!\Kurara!\Th-That's Kirino, right?\Yeah, it is...\Well, it's no surprise she's here...\Or rather, we should have figured she'd show up.\Good thing she's not going up there.\I'm glad I'm not participating in this... response:	If Kirino saw me cosplaying in that, I would die...
context: Kurara!\Th-That's Kirino, right?\Yeah, it is...\Well, it's no surprise she's here...\Or rather, we should have figured she'd show up.\Good thing she's not going up there.\I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die... response:	I think she'd be really happy, though...
context: Th-That's Kirino, right?\Yeah, it is...\Well, it's no surprise she's here...\Or rather, we should have figured she'd show up.\Good thing she's not going up there.\I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though... response:	Now then, this is the winner's prizethe trophy!
context: Yeah, it is...\Well, it's no surprise she's here...\Or rather, we should have figured she'd show up.\Good thing she's not going up there.\I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy! response:	A special Meruru figure!
context: Well, it's no surprise she's here...\Or rather, we should have figured she'd show up.\Good thing she's not going up there.\I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy!\A special Meruru figure! response:	There's only one of these in the world!
context: Or rather, we should have figured she'd show up.\Good thing she's not going up there.\I'm glad I'm not participating in this...\If Kirino saw me cosplaying in that, I would die...\I think she'd be really happy, though...\Now then, this is the winner's prizethe trophy!\A special Meruru figure!\There's only one of these in the world! response:	Special Meruru! Yes! Yes! Yes!
