context: Long have I awaited this moment, human filth. response:	With the Subterranean and Deep Sea kings gone,
context: She is an ESPer.\Oh yeah...?\It appears everyone is here.\We should join them.\Hey...\Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER response:	CLASS S RANK 16 GENOS
context: Oh yeah...?\It appears everyone is here.\We should join them.\Hey...\Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS response:	It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS
context: It appears everyone is here.\We should join them.\Hey...\Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS response:	CLASS S RANK 15 METAL BAT
context: We should join them.\Hey...\Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT response:	Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT
context: Hey...\Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT response:	CLASS S RANK 14 TANK-TOP MASTER
context: Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER response:	Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER
context: CLASS S RANK 17 PURI-PURI PRISONER\Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER response:	CLASS S RANK 13 FLASHY FLASH
context: Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER\CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH response:	CLASS S RANK 12 WATCHDOG MAN
context: CLASS S RANK 16 GENOS\It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN response:	Somebody farted. CLASS S RANK 12 WATCHDOG MAN
context: It must be serious. Almost everyone is here. CLASS S RANK 16 GENOS\CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN response:	CLASS S RANK 11 SUPERALLOY BLACKLUSTER
context: CLASS S RANK 15 METAL BAT\Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER response:	They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER
context: Demon or Dragon, bring it on! CLASS S RANK 15 METAL BAT\CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER response:	CLASS S RANK 10 PIG GOD
context: CLASS S RANK 14 TANK-TOP MASTER\Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD response:	CLASS S RANK 9 DRIVE KNIGHT
context: Saitama? The name rings a bell... CLASS S RANK 14 TANK-TOP MASTER\CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT response:	CLASS S RANK 8 ZOMBIEMAN
context: CLASS S RANK 13 FLASHY FLASH\CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN response:	No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN
context: CLASS S RANK 12 WATCHDOG MAN\Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN response:	CLASS S RANK 7 KING
context: Somebody farted. CLASS S RANK 12 WATCHDOG MAN\CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING response:	CLASS S RANK 6 METAL KNIGHT (ABSENT)
context: CLASS S RANK 11 SUPERALLOY BLACKLUSTER\They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT) response:	CLASS S RANK 5 CHILD EMPEROR
context: They're all checking out my guns. Hell yeah! CLASS S RANK 11 SUPERALLOY BLACKLUSTER\CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR response:	Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR
context: CLASS S RANK 10 PIG GOD\CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR response:	CLASS S RANK 4 ATOMIC SAMURAI
context: CLASS S RANK 9 DRIVE KNIGHT\CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI response:	Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI
context: CLASS S RANK 8 ZOMBIEMAN\No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI response:	CLASS S RANK 3 SILVERFANG
context: No one looks particularly enthusiastic. And does that pig ever stop eating? CLASS S RANK 8 ZOMBIEMAN\CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG response:	So...why are we all here? CLASS S RANK 3 SILVERFANG
context: CLASS S RANK 7 KING\CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG response:	Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO
context: CLASS S RANK 6 METAL KNIGHT (ABSENT)\CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO response:	CLASS S RANK 1 BLAST (ABSENT)
context: CLASS S RANK 5 CHILD EMPEROR\Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT) response:	CLASS B RANK 63 SAITAMA
context: Rank 1's a no show again? I was hoping to see him. CLASS S RANK 5 CHILD EMPEROR\CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA response:	Can I have some tea? CLASS B RANK 63 SAITAMA
context: CLASS S RANK 4 ATOMIC SAMURAI\Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA response:	My apologies for being late.
context: Is Silverfang going to take those youngsters on as students? CLASS S RANK 4 ATOMIC SAMURAI\CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late. response:	We do not know the whereabouts of Metal Knight or Blast,
context: CLASS S RANK 3 SILVERFANG\So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast, response:	nor can we reach them.
context: So...why are we all here? CLASS S RANK 3 SILVERFANG\Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them. response:	No sense waiting any longer,
context: Who knows? I had to drop everything and then got kept waiting for two hours. CLASS S RANK 2 TERRIBLE TORNADO\CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them.\No sense waiting any longer, response:	so let's begin this emergency meeting.
context: CLASS S RANK 1 BLAST (ABSENT)\CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them.\No sense waiting any longer,\so let's begin this emergency meeting. response:	You can call me Sitch.
context: CLASS B RANK 63 SAITAMA\Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them.\No sense waiting any longer,\so let's begin this emergency meeting.\You can call me Sitch. response:	I'm with the Association. I will be briefing you.
context: Can I have some tea? CLASS B RANK 63 SAITAMA\My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them.\No sense waiting any longer,\so let's begin this emergency meeting.\You can call me Sitch.\I'm with the Association. I will be briefing you. response:	Let's get right down to brass tacks.
context: My apologies for being late.\We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them.\No sense waiting any longer,\so let's begin this emergency meeting.\You can call me Sitch.\I'm with the Association. I will be briefing you.\Let's get right down to brass tacks. response:	You heroes are here because you're the best of the best.
context: We do not know the whereabouts of Metal Knight or Blast,\nor can we reach them.\No sense waiting any longer,\so let's begin this emergency meeting.\You can call me Sitch.\I'm with the Association. I will be briefing you.\Let's get right down to brass tacks.\You heroes are here because you're the best of the best. response:	And now...
context: nor can we reach them.\No sense waiting any longer,\so let's begin this emergency meeting.\You can call me Sitch.\I'm with the Association. I will be briefing you.\Let's get right down to brass tacks.\You heroes are here because you're the best of the best.\And now... response:	We're asking you to save the Earth!
context: No sense waiting any longer,\so let's begin this emergency meeting.\You can call me Sitch.\I'm with the Association. I will be briefing you.\Let's get right down to brass tacks.\You heroes are here because you're the best of the best.\And now...\We're asking you to save the Earth! response:	However, even with your Class S skills, there is no guarantee of survival.
context: so let's begin this emergency meeting.\You can call me Sitch.\I'm with the Association. I will be briefing you.\Let's get right down to brass tacks.\You heroes are here because you're the best of the best.\And now...\We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival. response:	Walking away also takes courage.
context: You can call me Sitch.\I'm with the Association. I will be briefing you.\Let's get right down to brass tacks.\You heroes are here because you're the best of the best.\And now...\We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage. response:	Should you choose to do so now, you will retain Class S status.
context: I'm with the Association. I will be briefing you.\Let's get right down to brass tacks.\You heroes are here because you're the best of the best.\And now...\We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage.\Should you choose to do so now, you will retain Class S status. response:	But those who stay and hear me out will not be allowed to walk away.
context: Let's get right down to brass tacks.\You heroes are here because you're the best of the best.\And now...\We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage.\Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away. response:	You will be confined here until the incident is over
context: You heroes are here because you're the best of the best.\And now...\We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage.\Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over response:	in order to avoid a general panic.
context: And now...\We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage.\Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over\in order to avoid a general panic. response:	Are you all willing to hear this?
context: We're asking you to save the Earth!\However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage.\Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over\in order to avoid a general panic.\Are you all willing to hear this? response:	Whatever's going on,
context: However, even with your Class S skills, there is no guarantee of survival.\Walking away also takes courage.\Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over\in order to avoid a general panic.\Are you all willing to hear this?\Whatever's going on, response:	it better be worth calling all of us here.
context: Walking away also takes courage.\Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over\in order to avoid a general panic.\Are you all willing to hear this?\Whatever's going on,\it better be worth calling all of us here. response:	I skipped out on my little sister's piano recital for this.
context: Should you choose to do so now, you will retain Class S status.\But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over\in order to avoid a general panic.\Are you all willing to hear this?\Whatever's going on,\it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this. response:	If it's a load of crap,
context: But those who stay and hear me out will not be allowed to walk away.\You will be confined here until the incident is over\in order to avoid a general panic.\Are you all willing to hear this?\Whatever's going on,\it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this.\If it's a load of crap, response:	I'm gonna tear this whole building apart.
context: You will be confined here until the incident is over\in order to avoid a general panic.\Are you all willing to hear this?\Whatever's going on,\it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this.\If it's a load of crap,\I'm gonna tear this whole building apart. response:	Like you could do that with that skinny stick.
context: in order to avoid a general panic.\Are you all willing to hear this?\Whatever's going on,\it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this.\If it's a load of crap,\I'm gonna tear this whole building apart.\Like you could do that with that skinny stick. response:	Yeah? How'bout I bust your head open instead?
context: Are you all willing to hear this?\Whatever's going on,\it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this.\If it's a load of crap,\I'm gonna tear this whole building apart.\Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead? response:	If you think you can, go on and try, pillbug head!
context: Whatever's going on,\it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this.\If it's a load of crap,\I'm gonna tear this whole building apart.\Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head! response:	Hurry up and get on with it.
context: it better be worth calling all of us here.\I skipped out on my little sister's piano recital for this.\If it's a load of crap,\I'm gonna tear this whole building apart.\Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head!\Hurry up and get on with it. response:	Otherwise Mr. Pompadour here is going to die.
context: I skipped out on my little sister's piano recital for this.\If it's a load of crap,\I'm gonna tear this whole building apart.\Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head!\Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die. response:	Hey, bobby pin, you siding with the girls?
context: If it's a load of crap,\I'm gonna tear this whole building apart.\Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head!\Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls? response:	The great seer, Madame Shibabawa, is dead!
context: I'm gonna tear this whole building apart.\Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head!\Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead! response:	Shibabawa? Was she killed?
context: Like you could do that with that skinny stick.\Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head!\Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed? response:	No.
context: Yeah? How'bout I bust your head open instead?\If you think you can, go on and try, pillbug head!\Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed?\No. response:	While looking into the future for the next six months,
context: If you think you can, go on and try, pillbug head!\Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed?\No.\While looking into the future for the next six months, response:	she became agitated and had a coughing fit.
context: Hurry up and get on with it.\Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed?\No.\While looking into the future for the next six months,\she became agitated and had a coughing fit. response:	She popped a cough drop in her mouth
context: Otherwise Mr. Pompadour here is going to die.\Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed?\No.\While looking into the future for the next six months,\she became agitated and had a coughing fit.\She popped a cough drop in her mouth response:	and ended up choking on it...
context: Hey, bobby pin, you siding with the girls?\The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed?\No.\While looking into the future for the next six months,\she became agitated and had a coughing fit.\She popped a cough drop in her mouth\and ended up choking on it... response:	I get it!
context: The great seer, Madame Shibabawa, is dead!\Shibabawa? Was she killed?\No.\While looking into the future for the next six months,\she became agitated and had a coughing fit.\She popped a cough drop in her mouth\and ended up choking on it...\I get it! response:	So we have to figure out how to prevent disasters
context: Shibabawa? Was she killed?\No.\While looking into the future for the next six months,\she became agitated and had a coughing fit.\She popped a cough drop in her mouth\and ended up choking on it...\I get it!\So we have to figure out how to prevent disasters response:	without the help of predictions.
context: No.\While looking into the future for the next six months,\she became agitated and had a coughing fit.\She popped a cough drop in her mouth\and ended up choking on it...\I get it!\So we have to figure out how to prevent disasters\without the help of predictions. response:	That's the focus of this meeting.
context: While looking into the future for the next six months,\she became agitated and had a coughing fit.\She popped a cough drop in her mouth\and ended up choking on it...\I get it!\So we have to figure out how to prevent disasters\without the help of predictions.\That's the focus of this meeting. response:	No. Madame Shibabawa has only been able to predict
context: she became agitated and had a coughing fit.\She popped a cough drop in her mouth\and ended up choking on it...\I get it!\So we have to figure out how to prevent disasters\without the help of predictions.\That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict response:	a handful of disasters.
context: She popped a cough drop in her mouth\and ended up choking on it...\I get it!\So we have to figure out how to prevent disasters\without the help of predictions.\That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict\a handful of disasters. response:	Excuse me!
context: and ended up choking on it...\I get it!\So we have to figure out how to prevent disasters\without the help of predictions.\That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict\a handful of disasters.\Excuse me! response:	Hey, you there.
context: I get it!\So we have to figure out how to prevent disasters\without the help of predictions.\That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict\a handful of disasters.\Excuse me!\Hey, you there. response:	Who's this Shibabawa? A hero?
context: So we have to figure out how to prevent disasters\without the help of predictions.\That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict\a handful of disasters.\Excuse me!\Hey, you there.\Who's this Shibabawa? A hero? response:	You don't know?
context: without the help of predictions.\That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict\a handful of disasters.\Excuse me!\Hey, you there.\Who's this Shibabawa? A hero?\You don't know? response:	She's a seer. A great one at that.
context: That's the focus of this meeting.\No. Madame Shibabawa has only been able to predict\a handful of disasters.\Excuse me!\Hey, you there.\Who's this Shibabawa? A hero?\You don't know?\She's a seer. A great one at that. response:	She correctly predicted earthquakes and monster attacks.
context: No. Madame Shibabawa has only been able to predict\a handful of disasters.\Excuse me!\Hey, you there.\Who's this Shibabawa? A hero?\You don't know?\She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks. response:	We've gotten through many crises without Madame Shibabawa's predictions.
context: a handful of disasters.\Excuse me!\Hey, you there.\Who's this Shibabawa? A hero?\You don't know?\She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions. response:	But even so, we provided a bodyguard
context: Excuse me!\Hey, you there.\Who's this Shibabawa? A hero?\You don't know?\She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard response:	and gave her special treatment.
context: Hey, you there.\Who's this Shibabawa? A hero?\You don't know?\She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard\and gave her special treatment. response:	Yes, because her few predictions were 100 accurate.
context: Who's this Shibabawa? A hero?\You don't know?\She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard\and gave her special treatment.\Yes, because her few predictions were 100 accurate. response:	The crux of the problem, though,
context: You don't know?\She's a seer. A great one at that.\She correctly predicted earthquakes and monster attacks.\We've gotten through many crises without Madame Shibabawa's predictions.\But even so, we provided a bodyguard\and gave her special treatment.\Yes, because her few predictions were 100 accurate.\The crux of the problem, though, response:	is her last, greatest prophecy.
