context: Papa fell down when he was on GALAX. response:	He's been sleeping in the hospital ever since.
context: The black heart that had slumbered deep within the earth\will appear before the people.\Oh, no!\You can't turn this off.\I'm gloomy.\Fuji Kindergarten\Yes?\In Call response:	Umeda-san, are you ready?
context: will appear before the people.\Oh, no!\You can't turn this off.\I'm gloomy.\Fuji Kindergarten\Yes?\In Call\Umeda-san, are you ready? response:	Have you gathered your friends?
context: Oh, no!\You can't turn this off.\I'm gloomy.\Fuji Kindergarten\Yes?\In Call\Umeda-san, are you ready?\Have you gathered your friends? response:	Yes, we are ready.
context: You can't turn this off.\I'm gloomy.\Fuji Kindergarten\Yes?\In Call\Umeda-san, are you ready?\Have you gathered your friends?\Yes, we are ready. response:	Umeda-san, your name will be in textbooks one day
context: I'm gloomy.\Fuji Kindergarten\Yes?\In Call\Umeda-san, are you ready?\Have you gathered your friends?\Yes, we are ready.\Umeda-san, your name will be in textbooks one day response:	as the great hero who saved this nation.
context: Fuji Kindergarten\Yes?\In Call\Umeda-san, are you ready?\Have you gathered your friends?\Yes, we are ready.\Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation. response:	Yes.
context: Yes?\In Call\Umeda-san, are you ready?\Have you gathered your friends?\Yes, we are ready.\Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation.\Yes. response:	Papa, why are you smiling?
context: In Call\Umeda-san, are you ready?\Have you gathered your friends?\Yes, we are ready.\Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation.\Yes.\Papa, why are you smiling? response:	Mana, Papa's become a great man.
context: Umeda-san, are you ready?\Have you gathered your friends?\Yes, we are ready.\Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation.\Yes.\Papa, why are you smiling?\Mana, Papa's become a great man. response:	Humans are so simple.
context: Have you gathered your friends?\Yes, we are ready.\Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation.\Yes.\Papa, why are you smiling?\Mana, Papa's become a great man.\Humans are so simple. response:	Hey, X.
context: Yes, we are ready.\Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation.\Yes.\Papa, why are you smiling?\Mana, Papa's become a great man.\Humans are so simple.\Hey, X. response:	How many people are too dangerous to ever give the CROWDS ability to?
context: Umeda-san, your name will be in textbooks one day\as the great hero who saved this nation.\Yes.\Papa, why are you smiling?\Mana, Papa's become a great man.\Humans are so simple.\Hey, X.\How many people are too dangerous to ever give the CROWDS ability to? response:	Are you referring to those you had decided
context: as the great hero who saved this nation.\Yes.\Papa, why are you smiling?\Mana, Papa's become a great man.\Humans are so simple.\Hey, X.\How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided response:	not to distribute the ability to, due to their lack of initiative?
context: Yes.\Papa, why are you smiling?\Mana, Papa's become a great man.\Humans are so simple.\Hey, X.\How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative? response:	Yes, that's it!
context: Papa, why are you smiling?\Mana, Papa's become a great man.\Humans are so simple.\Hey, X.\How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative?\Yes, that's it! response:	There are 29,533 users.
context: Mana, Papa's become a great man.\Humans are so simple.\Hey, X.\How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative?\Yes, that's it!\There are 29,533 users. response:	Let's give it to all of them.
context: Humans are so simple.\Hey, X.\How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative?\Yes, that's it!\There are 29,533 users.\Let's give it to all of them. response:	It'd be a lame festival if it's just Umeda-chan.
context: Hey, X.\How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative?\Yes, that's it!\There are 29,533 users.\Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan. response:	My dear comrades,
context: How many people are too dangerous to ever give the CROWDS ability to?\Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative?\Yes, that's it!\There are 29,533 users.\Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan.\My dear comrades, response:	to all of you who share a grave concern for this world,
context: Are you referring to those you had decided\not to distribute the ability to, due to their lack of initiative?\Yes, that's it!\There are 29,533 users.\Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan.\My dear comrades,\to all of you who share a grave concern for this world, response:	I will bestow a great power.
context: not to distribute the ability to, due to their lack of initiative?\Yes, that's it!\There are 29,533 users.\Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan.\My dear comrades,\to all of you who share a grave concern for this world,\I will bestow a great power. response:	Please use it to grant all of your unfulfilled wishes.
context: Yes, that's it!\There are 29,533 users.\Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan.\My dear comrades,\to all of you who share a grave concern for this world,\I will bestow a great power.\Please use it to grant all of your unfulfilled wishes. response:	You only live once.
context: There are 29,533 users.\Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan.\My dear comrades,\to all of you who share a grave concern for this world,\I will bestow a great power.\Please use it to grant all of your unfulfilled wishes.\You only live once. response:	No regrets.
context: Let's give it to all of them.\It'd be a lame festival if it's just Umeda-chan.\My dear comrades,\to all of you who share a grave concern for this world,\I will bestow a great power.\Please use it to grant all of your unfulfilled wishes.\You only live once.\No regrets. response:	Message Sent
context: It'd be a lame festival if it's just Umeda-chan.\My dear comrades,\to all of you who share a grave concern for this world,\I will bestow a great power.\Please use it to grant all of your unfulfilled wishes.\You only live once.\No regrets.\Message Sent response:	Send.
context: My dear comrades,\to all of you who share a grave concern for this world,\I will bestow a great power.\Please use it to grant all of your unfulfilled wishes.\You only live once.\No regrets.\Message Sent\Send. response:	Rui, were you not seeking a bloodless revolution?
context: to all of you who share a grave concern for this world,\I will bestow a great power.\Please use it to grant all of your unfulfilled wishes.\You only live once.\No regrets.\Message Sent\Send.\Rui, were you not seeking a bloodless revolution? response:	Switching gears!
context: I will bestow a great power.\Please use it to grant all of your unfulfilled wishes.\You only live once.\No regrets.\Message Sent\Send.\Rui, were you not seeking a bloodless revolution?\Switching gears! response:	I want to see blood!
context: Please use it to grant all of your unfulfilled wishes.\You only live once.\No regrets.\Message Sent\Send.\Rui, were you not seeking a bloodless revolution?\Switching gears!\I want to see blood! response:	See blood!
context: You only live once.\No regrets.\Message Sent\Send.\Rui, were you not seeking a bloodless revolution?\Switching gears!\I want to see blood!\See blood! response:	See blood-red blood!
context: No regrets.\Message Sent\Send.\Rui, were you not seeking a bloodless revolution?\Switching gears!\I want to see blood!\See blood!\See blood-red blood! response:	Come on, X.
context: Message Sent\Send.\Rui, were you not seeking a bloodless revolution?\Switching gears!\I want to see blood!\See blood!\See blood-red blood!\Come on, X. response:	We're friends, aren't we?
context: Send.\Rui, were you not seeking a bloodless revolution?\Switching gears!\I want to see blood!\See blood!\See blood-red blood!\Come on, X.\We're friends, aren't we? response:	Understood.
context: Rui, were you not seeking a bloodless revolution?\Switching gears!\I want to see blood!\See blood!\See blood-red blood!\Come on, X.\We're friends, aren't we?\Understood. response:	F-F-F-F-Fuel dropped!
context: Switching gears!\I want to see blood!\See blood!\See blood-red blood!\Come on, X.\We're friends, aren't we?\Understood.\F-F-F-F-Fuel dropped! response:	I am Future GALAX, leader of the Neo Hundred.
context: I want to see blood!\See blood!\See blood-red blood!\Come on, X.\We're friends, aren't we?\Understood.\F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred. response:	We hereby announce to Prime Minister Sugayama
context: See blood!\See blood-red blood!\Come on, X.\We're friends, aren't we?\Understood.\F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama response:	and the Japanese government that we will update the nation.
context: See blood-red blood!\Come on, X.\We're friends, aren't we?\Understood.\F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation. response:	Police Department
context: Come on, X.\We're friends, aren't we?\Understood.\F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation.\Police Department response:	Hurry, Prime Minister!
context: We're friends, aren't we?\Understood.\F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation.\Police Department\Hurry, Prime Minister! response:	Prime Minister's Official Residence
context: Understood.\F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation.\Police Department\Hurry, Prime Minister!\Prime Minister's Official Residence response:	Prime Minister, are you all right?!
context: F-F-F-F-Fuel dropped!\I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation.\Police Department\Hurry, Prime Minister!\Prime Minister's Official Residence\Prime Minister, are you all right?! response:	Wh-What the?
context: I am Future GALAX, leader of the Neo Hundred.\We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation.\Police Department\Hurry, Prime Minister!\Prime Minister's Official Residence\Prime Minister, are you all right?!\Wh-What the? response:	Watch out!
context: We hereby announce to Prime Minister Sugayama\and the Japanese government that we will update the nation.\Police Department\Hurry, Prime Minister!\Prime Minister's Official Residence\Prime Minister, are you all right?!\Wh-What the?\Watch out! response:	Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District
context: and the Japanese government that we will update the nation.\Police Department\Hurry, Prime Minister!\Prime Minister's Official Residence\Prime Minister, are you all right?!\Wh-What the?\Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District response:	Several government buildings have begun to collapse in the Kasumigaseki area.
context: Police Department\Hurry, Prime Minister!\Prime Minister's Official Residence\Prime Minister, are you all right?!\Wh-What the?\Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area. response:	There have been no reports of earthquakes or fires.
context: Hurry, Prime Minister!\Prime Minister's Official Residence\Prime Minister, are you all right?!\Wh-What the?\Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires. response:	Y-Y-Y-Yummy!
context: Prime Minister's Official Residence\Prime Minister, are you all right?!\Wh-What the?\Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy! response:	Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District
context: Prime Minister, are you all right?!\Wh-What the?\Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District response:	What is going on here?!
context: Wh-What the?\Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?! response:	Oh, it's collapsing!
context: Watch out!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?!\Oh, it's collapsing! response:	It's all collapsing!
context: Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?!\Oh, it's collapsing!\It's all collapsing! response:	It's the CROWDS.
context: Several government buildings have begun to collapse in the Kasumigaseki area.\There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?!\Oh, it's collapsing!\It's all collapsing!\It's the CROWDS. response:	Is this the great festival?
context: There have been no reports of earthquakes or fires.\Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?!\Oh, it's collapsing!\It's all collapsing!\It's the CROWDS.\Is this the great festival? response:	Run, me!
context: Y-Y-Y-Yummy!\Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?!\Oh, it's collapsing!\It's all collapsing!\It's the CROWDS.\Is this the great festival?\Run, me! response:	We hereby announce to Prime Minister Sugayama and the Japanese government
context: Multiple Buildings Collapse for Unknown Reasons in the Kasumigaseki Government District\What is going on here?!\Oh, it's collapsing!\It's all collapsing!\It's the CROWDS.\Is this the great festival?\Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government response:	that the police and the self-defense force
context: What is going on here?!\Oh, it's collapsing!\It's all collapsing!\It's the CROWDS.\Is this the great festival?\Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force response:	are powerless before us, the Neo Hundred.
context: Oh, it's collapsing!\It's all collapsing!\It's the CROWDS.\Is this the great festival?\Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force\are powerless before us, the Neo Hundred. response:	We urge you to relinquish authority immediately.
context: It's all collapsing!\It's the CROWDS.\Is this the great festival?\Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force\are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately. response:	Chaos, it's been a while!
context: It's the CROWDS.\Is this the great festival?\Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force\are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately.\Chaos, it's been a while! response:	We will update this nation.
context: Is this the great festival?\Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force\are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately.\Chaos, it's been a while!\We will update this nation. response:	But what's this all mean?
context: Run, me!\We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force\are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately.\Chaos, it's been a while!\We will update this nation.\But what's this all mean? response:	I am Future GALAX, leader of the Neo Hundred.
context: We hereby announce to Prime Minister Sugayama and the Japanese government\that the police and the self-defense force\are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately.\Chaos, it's been a while!\We will update this nation.\But what's this all mean?\I am Future GALAX, leader of the Neo Hundred. response:	Is this what the Gatchaman girl was talking about?
context: that the police and the self-defense force\are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately.\Chaos, it's been a while!\We will update this nation.\But what's this all mean?\I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about? response:	Then an alien's behind this?
context: are powerless before us, the Neo Hundred.\We urge you to relinquish authority immediately.\Chaos, it's been a while!\We will update this nation.\But what's this all mean?\I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about?\Then an alien's behind this? response:	We will continue to engage in acts of destruction
context: We urge you to relinquish authority immediately.\Chaos, it's been a while!\We will update this nation.\But what's this all mean?\I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about?\Then an alien's behind this?\We will continue to engage in acts of destruction response:	Seriously? Is Earth gonna go bust?!
context: Chaos, it's been a while!\We will update this nation.\But what's this all mean?\I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about?\Then an alien's behind this?\We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?! response:	until the government surrenders.
context: We will update this nation.\But what's this all mean?\I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about?\Then an alien's behind this?\We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?!\until the government surrenders. response:	A new world can only rise out of destruction.
context: But what's this all mean?\I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about?\Then an alien's behind this?\We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?!\until the government surrenders.\A new world can only rise out of destruction. response:	I'm super excited!
context: I am Future GALAX, leader of the Neo Hundred.\Is this what the Gatchaman girl was talking about?\Then an alien's behind this?\We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?!\until the government surrenders.\A new world can only rise out of destruction.\I'm super excited! response:	We will put an end to this corrupt world today.
context: Is this what the Gatchaman girl was talking about?\Then an alien's behind this?\We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?!\until the government surrenders.\A new world can only rise out of destruction.\I'm super excited!\We will put an end to this corrupt world today. response:	That alien...
context: Then an alien's behind this?\We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?!\until the government surrenders.\A new world can only rise out of destruction.\I'm super excited!\We will put an end to this corrupt world today.\That alien... response:	Umm... What was its name? Berg-something?
context: We will continue to engage in acts of destruction\Seriously? Is Earth gonna go bust?!\until the government surrenders.\A new world can only rise out of destruction.\I'm super excited!\We will put an end to this corrupt world today.\That alien...\Umm... What was its name? Berg-something? response:	I'm Katze!
context: Seriously? Is Earth gonna go bust?!\until the government surrenders.\A new world can only rise out of destruction.\I'm super excited!\We will put an end to this corrupt world today.\That alien...\Umm... What was its name? Berg-something?\I'm Katze! response:	Believe in us, the Neo Hundred.
context: until the government surrenders.\A new world can only rise out of destruction.\I'm super excited!\We will put an end to this corrupt world today.\That alien...\Umm... What was its name? Berg-something?\I'm Katze!\Believe in us, the Neo Hundred. response:	Oh, where's Sugayama?
context: A new world can only rise out of destruction.\I'm super excited!\We will put an end to this corrupt world today.\That alien...\Umm... What was its name? Berg-something?\I'm Katze!\Believe in us, the Neo Hundred.\Oh, where's Sugayama? response:	Don't tell me, he copped out?
context: I'm super excited!\We will put an end to this corrupt world today.\That alien...\Umm... What was its name? Berg-something?\I'm Katze!\Believe in us, the Neo Hundred.\Oh, where's Sugayama?\Don't tell me, he copped out? response:	Where are the Gatchaman?
context: We will put an end to this corrupt world today.\That alien...\Umm... What was its name? Berg-something?\I'm Katze!\Believe in us, the Neo Hundred.\Oh, where's Sugayama?\Don't tell me, he copped out?\Where are the Gatchaman? response:	Where are the heroes of justice?
context: That alien...\Umm... What was its name? Berg-something?\I'm Katze!\Believe in us, the Neo Hundred.\Oh, where's Sugayama?\Don't tell me, he copped out?\Where are the Gatchaman?\Where are the heroes of justice? response:	Was it all a lie?
context: Umm... What was its name? Berg-something?\I'm Katze!\Believe in us, the Neo Hundred.\Oh, where's Sugayama?\Don't tell me, he copped out?\Where are the Gatchaman?\Where are the heroes of justice?\Was it all a lie? response:	Leader, let's sortie ASAP.
context: I'm Katze!\Believe in us, the Neo Hundred.\Oh, where's Sugayama?\Don't tell me, he copped out?\Where are the Gatchaman?\Where are the heroes of justice?\Was it all a lie?\Leader, let's sortie ASAP. response:	Don't be ridiculous.
context: Believe in us, the Neo Hundred.\Oh, where's Sugayama?\Don't tell me, he copped out?\Where are the Gatchaman?\Where are the heroes of justice?\Was it all a lie?\Leader, let's sortie ASAP.\Don't be ridiculous. response:	The CROWDS are controlled by humans.
context: Oh, where's Sugayama?\Don't tell me, he copped out?\Where are the Gatchaman?\Where are the heroes of justice?\Was it all a lie?\Leader, let's sortie ASAP.\Don't be ridiculous.\The CROWDS are controlled by humans. response:	We can't just attack them.
context: Don't tell me, he copped out?\Where are the Gatchaman?\Where are the heroes of justice?\Was it all a lie?\Leader, let's sortie ASAP.\Don't be ridiculous.\The CROWDS are controlled by humans.\We can't just attack them. response:	But...
context: Where are the Gatchaman?\Where are the heroes of justice?\Was it all a lie?\Leader, let's sortie ASAP.\Don't be ridiculous.\The CROWDS are controlled by humans.\We can't just attack them.\But... response:	They're all waiting for us.
context: Where are the heroes of justice?\Was it all a lie?\Leader, let's sortie ASAP.\Don't be ridiculous.\The CROWDS are controlled by humans.\We can't just attack them.\But...\They're all waiting for us. response:	I'm scared,
context: Was it all a lie?\Leader, let's sortie ASAP.\Don't be ridiculous.\The CROWDS are controlled by humans.\We can't just attack them.\But...\They're all waiting for us.\I'm scared, response:	but I'm glad Gatchaman exist.
context: Leader, let's sortie ASAP.\Don't be ridiculous.\The CROWDS are controlled by humans.\We can't just attack them.\But...\They're all waiting for us.\I'm scared,\but I'm glad Gatchaman exist. response:	Just deal with them already, please!
context: Don't be ridiculous.\The CROWDS are controlled by humans.\We can't just attack them.\But...\They're all waiting for us.\I'm scared,\but I'm glad Gatchaman exist.\Just deal with them already, please! response:	I'm going.
context: The CROWDS are controlled by humans.\We can't just attack them.\But...\They're all waiting for us.\I'm scared,\but I'm glad Gatchaman exist.\Just deal with them already, please!\I'm going. response:	Wait, Sugane-kun.
context: We can't just attack them.\But...\They're all waiting for us.\I'm scared,\but I'm glad Gatchaman exist.\Just deal with them already, please!\I'm going.\Wait, Sugane-kun. response:	I'm sure Katze is behind this.
context: But...\They're all waiting for us.\I'm scared,\but I'm glad Gatchaman exist.\Just deal with them already, please!\I'm going.\Wait, Sugane-kun.\I'm sure Katze is behind this. response:	The CROWDS have destroyed Kasumigaseki.
context: They're all waiting for us.\I'm scared,\but I'm glad Gatchaman exist.\Just deal with them already, please!\I'm going.\Wait, Sugane-kun.\I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki. response:	Our next target is the Ministry of Defense.
context: I'm scared,\but I'm glad Gatchaman exist.\Just deal with them already, please!\I'm going.\Wait, Sugane-kun.\I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense. response:	Comrades, are you ready?
context: but I'm glad Gatchaman exist.\Just deal with them already, please!\I'm going.\Wait, Sugane-kun.\I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense.\Comrades, are you ready? response:	Play the Destruction!
context: Just deal with them already, please!\I'm going.\Wait, Sugane-kun.\I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense.\Comrades, are you ready?\Play the Destruction! response:	With the CROWDS,
context: I'm going.\Wait, Sugane-kun.\I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense.\Comrades, are you ready?\Play the Destruction!\With the CROWDS, response:	I've heard this voice before.
context: Wait, Sugane-kun.\I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense.\Comrades, are you ready?\Play the Destruction!\With the CROWDS,\I've heard this voice before. response:	regardless of distance,
context: I'm sure Katze is behind this.\The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense.\Comrades, are you ready?\Play the Destruction!\With the CROWDS,\I've heard this voice before.\regardless of distance, response:	we can destroy the target with our minds alone.
context: The CROWDS have destroyed Kasumigaseki.\Our next target is the Ministry of Defense.\Comrades, are you ready?\Play the Destruction!\With the CROWDS,\I've heard this voice before.\regardless of distance,\we can destroy the target with our minds alone. response:	He is an ex-Hundred member.
context: Our next target is the Ministry of Defense.\Comrades, are you ready?\Play the Destruction!\With the CROWDS,\I've heard this voice before.\regardless of distance,\we can destroy the target with our minds alone.\He is an ex-Hundred member. response:	Katze must've given him the CROWDS ability.
context: Comrades, are you ready?\Play the Destruction!\With the CROWDS,\I've heard this voice before.\regardless of distance,\we can destroy the target with our minds alone.\He is an ex-Hundred member.\Katze must've given him the CROWDS ability. response:	The CROWDS is an invisible weapon,
context: Play the Destruction!\With the CROWDS,\I've heard this voice before.\regardless of distance,\we can destroy the target with our minds alone.\He is an ex-Hundred member.\Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon, response:	Can the CROWDS actually be controlled from anywhere?
context: With the CROWDS,\I've heard this voice before.\regardless of distance,\we can destroy the target with our minds alone.\He is an ex-Hundred member.\Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere? response:	our sacred souls given material form.
context: I've heard this voice before.\regardless of distance,\we can destroy the target with our minds alone.\He is an ex-Hundred member.\Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form. response:	None may escape this weapon.
context: regardless of distance,\we can destroy the target with our minds alone.\He is an ex-Hundred member.\Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form.\None may escape this weapon. response:	Yes.
context: we can destroy the target with our minds alone.\He is an ex-Hundred member.\Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form.\None may escape this weapon.\Yes. response:	Impossible!
context: He is an ex-Hundred member.\Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form.\None may escape this weapon.\Yes.\Impossible! response:	Ministry of Defense
context: Katze must've given him the CROWDS ability.\The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form.\None may escape this weapon.\Yes.\Impossible!\Ministry of Defense response:	We have an update.
context: The CROWDS is an invisible weapon,\Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form.\None may escape this weapon.\Yes.\Impossible!\Ministry of Defense\We have an update. response:	The Ministry of Defense in Ichigaya has also begun to collapse.
context: Can the CROWDS actually be controlled from anywhere?\our sacred souls given material form.\None may escape this weapon.\Yes.\Impossible!\Ministry of Defense\We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse. response:	Ministry of Defense Collapses. Is it Connected to a Criminal Act?
context: our sacred souls given material form.\None may escape this weapon.\Yes.\Impossible!\Ministry of Defense\We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act? response:	A man claiming to be the leader of a group
context: None may escape this weapon.\Yes.\Impossible!\Ministry of Defense\We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group response:	called the Neo Hundred announced
context: Yes.\Impossible!\Ministry of Defense\We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group\called the Neo Hundred announced response:	their criminal intentions on a video-sharing website.
context: Impossible!\Ministry of Defense\We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group\called the Neo Hundred announced\their criminal intentions on a video-sharing website. response:	Ministry of Defense Collapses. Is it Connected to a Criminal Act?
context: Ministry of Defense\We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group\called the Neo Hundred announced\their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act? response:	Just now, his pronouncements have come true.
context: We have an update.\The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group\called the Neo Hundred announced\their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true. response:	This borders on the supernatural.
context: The Ministry of Defense in Ichigaya has also begun to collapse.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\A man claiming to be the leader of a group\called the Neo Hundred announced\their criminal intentions on a video-sharing website.\Ministry of Defense Collapses. Is it Connected to a Criminal Act?\Just now, his pronouncements have come true.\This borders on the supernatural. response:	Just who are the Neo Hundred?
