context: I am Amon Kotaro, newly assigned to Control Division One as of today! response:	Pleased to make your acquaintance!
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	Multiple bodies were found on the streets of the 11th Ward last night.
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night. response:	Multiple unidentified bodies discovered
context: When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered response:	CCG is investigating it as a ghoul-related crime...
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime... response:	Big Brother!
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime...\Big Brother! response:	Uh, H-Hinami?
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime...\Big Brother!\Uh, H-Hinami? response:	That's me!
context: of someone else's imagining\Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime...\Big Brother!\Uh, H-Hinami?\That's me! response:	What's up with that outfit?
context: Remember who I am\Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime...\Big Brother!\Uh, H-Hinami?\That's me!\What's up with that outfit? response:	I borrowed some stuff from Big Sister Touka.
context: Multiple bodies were found on the streets of the 11th Ward last night.\Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime...\Big Brother!\Uh, H-Hinami?\That's me!\What's up with that outfit?\I borrowed some stuff from Big Sister Touka. response:	I'm going to go out now with Mr. Yomo.
context: Multiple unidentified bodies discovered\CCG is investigating it as a ghoul-related crime...\Big Brother!\Uh, H-Hinami?\That's me!\What's up with that outfit?\I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo. response:	Going out?
context: CCG is investigating it as a ghoul-related crime...\Big Brother!\Uh, H-Hinami?\That's me!\What's up with that outfit?\I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo.\Going out? response:	We're going to go buy a home for Hetare.
context: Big Brother!\Uh, H-Hinami?\That's me!\What's up with that outfit?\I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo.\Going out?\We're going to go buy a home for Hetare. response:	Oh.
context: Uh, H-Hinami?\That's me!\What's up with that outfit?\I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo.\Going out?\We're going to go buy a home for Hetare.\Oh. response:	Hetare! Hetare!
context: That's me!\What's up with that outfit?\I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo.\Going out?\We're going to go buy a home for Hetare.\Oh.\Hetare! Hetare! response:	All right then, Yomo, look after Hinami, okay?
context: What's up with that outfit?\I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo.\Going out?\We're going to go buy a home for Hetare.\Oh.\Hetare! Hetare!\All right then, Yomo, look after Hinami, okay? response:	I'm a cat. Hetare!
context: I borrowed some stuff from Big Sister Touka.\I'm going to go out now with Mr. Yomo.\Going out?\We're going to go buy a home for Hetare.\Oh.\Hetare! Hetare!\All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare! response:	I'm a cat. Hetare!
context: I'm going to go out now with Mr. Yomo.\Going out?\We're going to go buy a home for Hetare.\Oh.\Hetare! Hetare!\All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare!\I'm a cat. Hetare! response:	Off we go!
context: Going out?\We're going to go buy a home for Hetare.\Oh.\Hetare! Hetare!\All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare!\I'm a cat. Hetare!\Off we go! response:	After what happened, Hinami ended up living with Touka.
context: We're going to go buy a home for Hetare.\Oh.\Hetare! Hetare!\All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare!\I'm a cat. Hetare!\Off we go!\After what happened, Hinami ended up living with Touka. response:	Little by little, she's regaining her cheerfulness from before.
context: Oh.\Hetare! Hetare!\All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare!\I'm a cat. Hetare!\Off we go!\After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before. response:	T-Touka...
context: Hetare! Hetare!\All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare!\I'm a cat. Hetare!\Off we go!\After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before.\T-Touka... response:	Where's Hetare?
context: All right then, Yomo, look after Hinami, okay?\I'm a cat. Hetare!\I'm a cat. Hetare!\Off we go!\After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before.\T-Touka...\Where's Hetare? response:	The manager took him inside.
context: I'm a cat. Hetare!\I'm a cat. Hetare!\Off we go!\After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before.\T-Touka...\Where's Hetare?\The manager took him inside. response:	There's no way I'm keeping that bird at home.
context: I'm a cat. Hetare!\Off we go!\After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before.\T-Touka...\Where's Hetare?\The manager took him inside.\There's no way I'm keeping that bird at home. response:	Touka sometimes has her head in the clouds...
context: Off we go!\After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before.\T-Touka...\Where's Hetare?\The manager took him inside.\There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds... response:	What are you looking at? I'll kill you!
context: After what happened, Hinami ended up living with Touka.\Little by little, she's regaining her cheerfulness from before.\T-Touka...\Where's Hetare?\The manager took him inside.\There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you! response:	Oh, sorry.
context: Little by little, she's regaining her cheerfulness from before.\T-Touka...\Where's Hetare?\The manager took him inside.\There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you!\Oh, sorry. response:	Things are just about back to normal. It actually feels that way.
context: T-Touka...\Where's Hetare?\The manager took him inside.\There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you!\Oh, sorry.\Things are just about back to normal. It actually feels that way. response:	However, such a thing just isn't possible.
context: Where's Hetare?\The manager took him inside.\There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you!\Oh, sorry.\Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible. response:	While everyone accepts the tragedy,
context: The manager took him inside.\There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you!\Oh, sorry.\Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible.\While everyone accepts the tragedy, response:	though we may be sad, we still have to go on living.
context: There's no way I'm keeping that bird at home.\Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you!\Oh, sorry.\Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible.\While everyone accepts the tragedy,\though we may be sad, we still have to go on living. response:	So we tried desperately to get our previous lives back.
context: Touka sometimes has her head in the clouds...\What are you looking at? I'll kill you!\Oh, sorry.\Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible.\While everyone accepts the tragedy,\though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back. response:	Ah, what do you think you're doing, you damn woman?!
context: What are you looking at? I'll kill you!\Oh, sorry.\Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible.\While everyone accepts the tragedy,\though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?! response:	Huh? Is that any way to speak to your senior, damn Nishiki?!
context: Oh, sorry.\Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible.\While everyone accepts the tragedy,\though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?! response:	Huh?! You, my senior, at this damn useless job?!
context: Things are just about back to normal. It actually feels that way.\However, such a thing just isn't possible.\While everyone accepts the tragedy,\though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?! response:	Ah, the future looks damn bleak indeed!
context: However, such a thing just isn't possible.\While everyone accepts the tragedy,\though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed! response:	Having a damn sickening college boy with a damn smart mouth
context: While everyone accepts the tragedy,\though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth response:	as my damn junior makes me pretty damn discouraged, as well!
context: though we may be sad, we still have to go on living.\So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well! response:	Why don't you hurry up and quit?
context: So we tried desperately to get our previous lives back.\Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit? response:	-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,
context: Ah, what do you think you're doing, you damn woman?!\Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade, response:	-What's your problem, damn Nishiki? -so would the two of you knock of the damns?
context: Huh? Is that any way to speak to your senior, damn Nishiki?!\Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns? response:	-Damn Touka! -Damn Nishiki!
context: Huh?! You, my senior, at this damn useless job?!\Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki! response:	-What is it with you? Can't you do anything but parrot me, damn Touka?!
context: Ah, the future looks damn bleak indeed!\Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?! response:	-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!
context: Having a damn sickening college boy with a damn smart mouth\as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?! response:	-I'm about ready to get angry, myself. -How dare you compare me to a bird...
context: as my damn junior makes me pretty damn discouraged, as well!\Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird... response:	-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!
context: Why don't you hurry up and quit?\-Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki! response:	-You guys do know the legend of the Devil Ape, don't you?
context: -Hey, you don't have the power to ask that, you damn woman! -Um, we're in the service trade,\-What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you? response:	Damn Touka!
context: -What's your problem, damn Nishiki? -so would the two of you knock of the damns?\-Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you?\Damn Touka! response:	Damn Nishiki!
context: -Damn Touka! -Damn Nishiki!\-What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you?\Damn Touka!\Damn Nishiki! response:	There it is! That's all an idiot like you knows!
context: -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you?\Damn Touka!\Damn Nishiki!\There it is! That's all an idiot like you knows! response:	Do you really think you can pass an entrance exam like that?!
context: -I'm about ready to get angry, myself. -What is it with you? Can't you do anything but parrot me, damn Touka?!\-I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you?\Damn Touka!\Damn Nishiki!\There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?! response:	Body of on-duty CCG investigator found
context: -I'm about ready to get angry, myself. -How dare you compare me to a bird...\-You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you?\Damn Touka!\Damn Nishiki!\There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found response:	That's none of your business, damn Nishiki!
context: -You guys do know the legend of the Devil Ape, don't you? -...of all things, damn Nishiki!\-You guys do know the legend of the Devil Ape, don't you?\Damn Touka!\Damn Nishiki!\There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found\That's none of your business, damn Nishiki! response:	Mr. Mado, I'm sorry. If I had only gotten there sooner...
context: -You guys do know the legend of the Devil Ape, don't you?\Damn Touka!\Damn Nishiki!\There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found\That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner... response:	I swear, I would have killed the rabbit myself. I swear it.
context: Damn Touka!\Damn Nishiki!\There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found\That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it. response:	So you mean, you were being controlled by Rize?
context: Damn Nishiki!\There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found\That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize? response:	No, I'm not sure how to describe it.
context: There it is! That's all an idiot like you knows!\Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found\That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it. response:	I don't remember anything that happened for that moment.
context: Do you really think you can pass an entrance exam like that?!\Body of on-duty CCG investigator found\That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it.\I don't remember anything that happened for that moment. response:	When I came back around, I had attacked Mr. Yomo.
context: Body of on-duty CCG investigator found\That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it.\I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo. response:	Hmm? Amazing. You actually stabbed through Ren's tough-looking body.
context: That's none of your business, damn Nishiki!\Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it.\I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body. response:	Kaneki, you must be strong, huh?
context: Mr. Mado, I'm sorry. If I had only gotten there sooner...\I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it.\I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh? response:	Miss Itori!
context: I swear, I would have killed the rabbit myself. I swear it.\So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it.\I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh?\Miss Itori! response:	I'm joking, I'm joking!
context: So you mean, you were being controlled by Rize?\No, I'm not sure how to describe it.\I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh?\Miss Itori!\I'm joking, I'm joking! response:	Kaneki, only Ren is worse than you at recognizing my jokes!
context: No, I'm not sure how to describe it.\I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh?\Miss Itori!\I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes! response:	Oh, sorry.
context: I don't remember anything that happened for that moment.\When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh?\Miss Itori!\I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry. response:	The same kind of thing happened, once before.
context: When I came back around, I had attacked Mr. Yomo.\Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh?\Miss Itori!\I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry.\The same kind of thing happened, once before. response:	It felt like Miss Rize had taken over me then, too.
context: Hmm? Amazing. You actually stabbed through Ren's tough-looking body.\Kaneki, you must be strong, huh?\Miss Itori!\I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry.\The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too. response:	So you came calling on me, to stock up on information about Rize?
context: Kaneki, you must be strong, huh?\Miss Itori!\I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry.\The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize? response:	Yes.
context: Miss Itori!\I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry.\The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize?\Yes. response:	Good for you, Kaneki. You know how to grease my wheels, don't you?
context: I'm joking, I'm joking!\Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry.\The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize?\Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you? response:	Rize, huh?
context: Kaneki, only Ren is worse than you at recognizing my jokes!\Oh, sorry.\The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize?\Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh? response:	The truth of it is, Kaneki...
context: Oh, sorry.\The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize?\Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh?\The truth of it is, Kaneki... response:	Yes?
context: The same kind of thing happened, once before.\It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize?\Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh?\The truth of it is, Kaneki...\Yes? response:	I can honestly say that I don't know a lot about Rize.
context: It felt like Miss Rize had taken over me then, too.\So you came calling on me, to stock up on information about Rize?\Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh?\The truth of it is, Kaneki...\Yes?\I can honestly say that I don't know a lot about Rize. response:	Huh?
context: So you came calling on me, to stock up on information about Rize?\Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh?\The truth of it is, Kaneki...\Yes?\I can honestly say that I don't know a lot about Rize.\Huh? response:	You see, one day, she just showed up.
context: Yes.\Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh?\The truth of it is, Kaneki...\Yes?\I can honestly say that I don't know a lot about Rize.\Huh?\You see, one day, she just showed up. response:	Just showed up one day?
context: Good for you, Kaneki. You know how to grease my wheels, don't you?\Rize, huh?\The truth of it is, Kaneki...\Yes?\I can honestly say that I don't know a lot about Rize.\Huh?\You see, one day, she just showed up.\Just showed up one day? response:	Nobody knows where she was, or what she was doing before then.
context: Rize, huh?\The truth of it is, Kaneki...\Yes?\I can honestly say that I don't know a lot about Rize.\Huh?\You see, one day, she just showed up.\Just showed up one day?\Nobody knows where she was, or what she was doing before then. response:	But, even so, it's not like Rize just popped out of some tree.
context: The truth of it is, Kaneki...\Yes?\I can honestly say that I don't know a lot about Rize.\Huh?\You see, one day, she just showed up.\Just showed up one day?\Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree. response:	If you dig around, you should be able to find some leads.
context: Yes?\I can honestly say that I don't know a lot about Rize.\Huh?\You see, one day, she just showed up.\Just showed up one day?\Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads. response:	Yes, I suppose.
context: I can honestly say that I don't know a lot about Rize.\Huh?\You see, one day, she just showed up.\Just showed up one day?\Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads.\Yes, I suppose. response:	Why don't you start by going to the 11th Ward?
context: Huh?\You see, one day, she just showed up.\Just showed up one day?\Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads.\Yes, I suppose.\Why don't you start by going to the 11th Ward? response:	The 11th Ward?
context: You see, one day, she just showed up.\Just showed up one day?\Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads.\Yes, I suppose.\Why don't you start by going to the 11th Ward?\The 11th Ward? response:	Before she came to the 20th Ward, Rize was in the 11th.
context: Just showed up one day?\Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads.\Yes, I suppose.\Why don't you start by going to the 11th Ward?\The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th. response:	I'm certain about that.
context: Nobody knows where she was, or what she was doing before then.\But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads.\Yes, I suppose.\Why don't you start by going to the 11th Ward?\The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that. response:	The 11th Ward...
context: But, even so, it's not like Rize just popped out of some tree.\If you dig around, you should be able to find some leads.\Yes, I suppose.\Why don't you start by going to the 11th Ward?\The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that.\The 11th Ward... response:	Maybe I'll go there the next day I have off.
context: If you dig around, you should be able to find some leads.\Yes, I suppose.\Why don't you start by going to the 11th Ward?\The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that.\The 11th Ward...\Maybe I'll go there the next day I have off. response:	Oh, excuse me!
context: Yes, I suppose.\Why don't you start by going to the 11th Ward?\The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that.\The 11th Ward...\Maybe I'll go there the next day I have off.\Oh, excuse me! response:	Ah, no, excuse me.
context: Why don't you start by going to the 11th Ward?\The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that.\The 11th Ward...\Maybe I'll go there the next day I have off.\Oh, excuse me!\Ah, no, excuse me. response:	I lost myself there for a bit.
context: The 11th Ward?\Before she came to the 20th Ward, Rize was in the 11th.\I'm certain about that.\The 11th Ward...\Maybe I'll go there the next day I have off.\Oh, excuse me!\Ah, no, excuse me.\I lost myself there for a bit. response:	Well, g'bye!
