context: Beer! Get your beer! response:	Alright, it's that time of year!
context: I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us!\Even though she's a ghost...\Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus!\Wild Four!\This is the year that we win, all you bastards! response:	In sixth place, the all-female guild,
context: After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us!\Even though she's a ghost...\Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus!\Wild Four!\This is the year that we win, all you bastards!\In sixth place, the all-female guild, response:	the dancing girls of the great deep, Mermaid Heel!
context: It's encouraging having the first master here to watch us!\Even though she's a ghost...\Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus!\Wild Four!\This is the year that we win, all you bastards!\In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel! response:	I never heard of that guild!
context: Even though she's a ghost...\Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus!\Wild Four!\This is the year that we win, all you bastards!\In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild! response:	In fifth place are the bright blue wings in pitch dark,
context: Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus!\Wild Four!\This is the year that we win, all you bastards!\In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild!\In fifth place are the bright blue wings in pitch dark, response:	Blue Pegasus!
context: the hounds of hell, Quatro Cerberus!\Wild Four!\This is the year that we win, all you bastards!\In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild!\In fifth place are the bright blue wings in pitch dark,\Blue Pegasus! response:	Do your best, everyone!
context: Wild Four!\This is the year that we win, all you bastards!\In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild!\In fifth place are the bright blue wings in pitch dark,\Blue Pegasus!\Do your best, everyone! response:	Continuing with fourth place! The goddess of love and war, the holy destroyer,
context: This is the year that we win, all you bastards!\In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild!\In fifth place are the bright blue wings in pitch dark,\Blue Pegasus!\Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer, response:	Lamia Scale!
context: In sixth place, the all-female guild,\the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild!\In fifth place are the bright blue wings in pitch dark,\Blue Pegasus!\Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale! response:	Why did you come in fourth place?! Were you slacking off, you idiots?!
context: the dancing girls of the great deep, Mermaid Heel!\I never heard of that guild!\In fifth place are the bright blue wings in pitch dark,\Blue Pegasus!\Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?! response:	Sorry, Obaba-sama.
context: I never heard of that guild!\In fifth place are the bright blue wings in pitch dark,\Blue Pegasus!\Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama. response:	I screwed up...
context: In fifth place are the bright blue wings in pitch dark,\Blue Pegasus!\Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama.\I screwed up... response:	Who the hell is she?
context: Blue Pegasus!\Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama.\I screwed up...\Who the hell is she? response:	What happened to her usual love? Where's the love?
context: Do your best, everyone!\Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama.\I screwed up...\Who the hell is she?\What happened to her usual love? Where's the love? response:	Cheria, don't get flustered.
context: Continuing with fourth place! The goddess of love and war, the holy destroyer,\Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama.\I screwed up...\Who the hell is she?\What happened to her usual love? Where's the love?\Cheria, don't get flustered. response:	Sorry, Lyon.
context: Lamia Scale!\Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama.\I screwed up...\Who the hell is she?\What happened to her usual love? Where's the love?\Cheria, don't get flustered.\Sorry, Lyon. response:	Cheria is Sherry's cousin.
context: Why did you come in fourth place?! Were you slacking off, you idiots?!\Sorry, Obaba-sama.\I screwed up...\Who the hell is she?\What happened to her usual love? Where's the love?\Cheria, don't get flustered.\Sorry, Lyon.\Cheria is Sherry's cousin. response:	Cousin?
context: Sorry, Obaba-sama.\I screwed up...\Who the hell is she?\What happened to her usual love? Where's the love?\Cheria, don't get flustered.\Sorry, Lyon.\Cheria is Sherry's cousin.\Cousin? response:	She's totally strong!
context: I screwed up...\Who the hell is she?\What happened to her usual love? Where's the love?\Cheria, don't get flustered.\Sorry, Lyon.\Cheria is Sherry's cousin.\Cousin?\She's totally strong! response:	No, I'm not.
context: Who the hell is she?\What happened to her usual love? Where's the love?\Cheria, don't get flustered.\Sorry, Lyon.\Cheria is Sherry's cousin.\Cousin?\She's totally strong!\No, I'm not. response:	I still don't have nearly enough love.
context: What happened to her usual love? Where's the love?\Cheria, don't get flustered.\Sorry, Lyon.\Cheria is Sherry's cousin.\Cousin?\She's totally strong!\No, I'm not.\I still don't have nearly enough love. response:	I'm complimenting you!
context: Cheria, don't get flustered.\Sorry, Lyon.\Cheria is Sherry's cousin.\Cousin?\She's totally strong!\No, I'm not.\I still don't have nearly enough love.\I'm complimenting you! response:	Don't blow your stack over that.
context: Sorry, Lyon.\Cheria is Sherry's cousin.\Cousin?\She's totally strong!\No, I'm not.\I still don't have nearly enough love.\I'm complimenting you!\Don't blow your stack over that. response:	I guess the cousin's all about love too, huh?
context: Cheria is Sherry's cousin.\Cousin?\She's totally strong!\No, I'm not.\I still don't have nearly enough love.\I'm complimenting you!\Don't blow your stack over that.\I guess the cousin's all about love too, huh? response:	Gray. Don't forget that promise.
context: Cousin?\She's totally strong!\No, I'm not.\I still don't have nearly enough love.\I'm complimenting you!\Don't blow your stack over that.\I guess the cousin's all about love too, huh?\Gray. Don't forget that promise. response:	If we win, Juvia joins our guild.
context: She's totally strong!\No, I'm not.\I still don't have nearly enough love.\I'm complimenting you!\Don't blow your stack over that.\I guess the cousin's all about love too, huh?\Gray. Don't forget that promise.\If we win, Juvia joins our guild. response:	I don't remember agreeing to that,
context: No, I'm not.\I still don't have nearly enough love.\I'm complimenting you!\Don't blow your stack over that.\I guess the cousin's all about love too, huh?\Gray. Don't forget that promise.\If we win, Juvia joins our guild.\I don't remember agreeing to that, response:	but we ain't gonna lose to you people.
context: I still don't have nearly enough love.\I'm complimenting you!\Don't blow your stack over that.\I guess the cousin's all about love too, huh?\Gray. Don't forget that promise.\If we win, Juvia joins our guild.\I don't remember agreeing to that,\but we ain't gonna lose to you people. response:	In that case, I'll take Erza-san.
context: I'm complimenting you!\Don't blow your stack over that.\I guess the cousin's all about love too, huh?\Gray. Don't forget that promise.\If we win, Juvia joins our guild.\I don't remember agreeing to that,\but we ain't gonna lose to you people.\In that case, I'll take Erza-san. response:	You're not taking me anywhere!
context: Don't blow your stack over that.\I guess the cousin's all about love too, huh?\Gray. Don't forget that promise.\If we win, Juvia joins our guild.\I don't remember agreeing to that,\but we ain't gonna lose to you people.\In that case, I'll take Erza-san.\You're not taking me anywhere! response:	As always, you exude an exquisite parfum...
context: I guess the cousin's all about love too, huh?\Gray. Don't forget that promise.\If we win, Juvia joins our guild.\I don't remember agreeing to that,\but we ain't gonna lose to you people.\In that case, I'll take Erza-san.\You're not taking me anywhere!\As always, you exude an exquisite parfum... response:	I'll choose you.
context: Gray. Don't forget that promise.\If we win, Juvia joins our guild.\I don't remember agreeing to that,\but we ain't gonna lose to you people.\In that case, I'll take Erza-san.\You're not taking me anywhere!\As always, you exude an exquisite parfum...\I'll choose you. response:	Although it's not because I especially like you...
context: If we win, Juvia joins our guild.\I don't remember agreeing to that,\but we ain't gonna lose to you people.\In that case, I'll take Erza-san.\You're not taking me anywhere!\As always, you exude an exquisite parfum...\I'll choose you.\Although it's not because I especially like you... response:	Have you been acting like this for the past seven years?
context: I don't remember agreeing to that,\but we ain't gonna lose to you people.\In that case, I'll take Erza-san.\You're not taking me anywhere!\As always, you exude an exquisite parfum...\I'll choose you.\Although it's not because I especially like you...\Have you been acting like this for the past seven years? response:	Then I choose Wendy-chan...
context: but we ain't gonna lose to you people.\In that case, I'll take Erza-san.\You're not taking me anywhere!\As always, you exude an exquisite parfum...\I'll choose you.\Although it's not because I especially like you...\Have you been acting like this for the past seven years?\Then I choose Wendy-chan... response:	You've sure grown. In an unfortunate way...
context: In that case, I'll take Erza-san.\You're not taking me anywhere!\As always, you exude an exquisite parfum...\I'll choose you.\Although it's not because I especially like you...\Have you been acting like this for the past seven years?\Then I choose Wendy-chan...\You've sure grown. In an unfortunate way... response:	Stupid.
context: You're not taking me anywhere!\As always, you exude an exquisite parfum...\I'll choose you.\Although it's not because I especially like you...\Have you been acting like this for the past seven years?\Then I choose Wendy-chan...\You've sure grown. In an unfortunate way...\Stupid. response:	Maybe I'll join Mermaid Heel!
context: As always, you exude an exquisite parfum...\I'll choose you.\Although it's not because I especially like you...\Have you been acting like this for the past seven years?\Then I choose Wendy-chan...\You've sure grown. In an unfortunate way...\Stupid.\Maybe I'll join Mermaid Heel! response:	That's off-topic!
context: I'll choose you.\Although it's not because I especially like you...\Have you been acting like this for the past seven years?\Then I choose Wendy-chan...\You've sure grown. In an unfortunate way...\Stupid.\Maybe I'll join Mermaid Heel!\That's off-topic! response:	Hey, I haven't seen that person before either...
context: Although it's not because I especially like you...\Have you been acting like this for the past seven years?\Then I choose Wendy-chan...\You've sure grown. In an unfortunate way...\Stupid.\Maybe I'll join Mermaid Heel!\That's off-topic!\Hey, I haven't seen that person before either... response:	Wild! Wild!
context: Have you been acting like this for the past seven years?\Then I choose Wendy-chan...\You've sure grown. In an unfortunate way...\Stupid.\Maybe I'll join Mermaid Heel!\That's off-topic!\Hey, I haven't seen that person before either...\Wild! Wild! response:	Are you sure that's a person?!
context: Then I choose Wendy-chan...\You've sure grown. In an unfortunate way...\Stupid.\Maybe I'll join Mermaid Heel!\That's off-topic!\Hey, I haven't seen that person before either...\Wild! Wild!\Are you sure that's a person?! response:	Wild Four!
context: You've sure grown. In an unfortunate way...\Stupid.\Maybe I'll join Mermaid Heel!\That's off-topic!\Hey, I haven't seen that person before either...\Wild! Wild!\Are you sure that's a person?!\Wild Four! response:	Next up, finishing third in the elimination round...
context: Stupid.\Maybe I'll join Mermaid Heel!\That's off-topic!\Hey, I haven't seen that person before either...\Wild! Wild!\Are you sure that's a person?!\Wild Four!\Next up, finishing third in the elimination round... response:	Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!
context: Maybe I'll join Mermaid Heel!\That's off-topic!\Hey, I haven't seen that person before either...\Wild! Wild!\Are you sure that's a person?!\Wild Four!\Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place! response:	The midnight mobile force, Raven Tail!
context: That's off-topic!\Hey, I haven't seen that person before either...\Wild! Wild!\Are you sure that's a person?!\Wild Four!\Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail! response:	Raven Tail?!
context: Hey, I haven't seen that person before either...\Wild! Wild!\Are you sure that's a person?!\Wild Four!\Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail!\Raven Tail?! response:	That's the guild of the master's son, Ivan...
context: Wild! Wild!\Are you sure that's a person?!\Wild Four!\Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail!\Raven Tail?!\That's the guild of the master's son, Ivan... response:	But that's...
context: Are you sure that's a person?!\Wild Four!\Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail!\Raven Tail?!\That's the guild of the master's son, Ivan...\But that's... response:	You're lettin' a guild like that participate in the Grand Magic Games?!
context: Wild Four!\Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail!\Raven Tail?!\That's the guild of the master's son, Ivan...\But that's...\You're lettin' a guild like that participate in the Grand Magic Games?! response:	Master, calm down.
context: Next up, finishing third in the elimination round...\Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail!\Raven Tail?!\That's the guild of the master's son, Ivan...\But that's...\You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down. response:	You'll fall from there...
context: Oh, my! This comes as a surprise! The first appearance of a guild, and in third place!\The midnight mobile force, Raven Tail!\Raven Tail?!\That's the guild of the master's son, Ivan...\But that's...\You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down.\You'll fall from there... response:	Certainly, I sense malice coming off of them.
context: The midnight mobile force, Raven Tail!\Raven Tail?!\That's the guild of the master's son, Ivan...\But that's...\You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down.\You'll fall from there...\Certainly, I sense malice coming off of them. response:	They said that's a Dark Guild.
context: Raven Tail?!\That's the guild of the master's son, Ivan...\But that's...\You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down.\You'll fall from there...\Certainly, I sense malice coming off of them.\They said that's a Dark Guild. response:	I don't think I've heard of them before.
context: That's the guild of the master's son, Ivan...\But that's...\You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down.\You'll fall from there...\Certainly, I sense malice coming off of them.\They said that's a Dark Guild.\I don't think I've heard of them before. response:	According to the official record,
context: But that's...\You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down.\You'll fall from there...\Certainly, I sense malice coming off of them.\They said that's a Dark Guild.\I don't think I've heard of them before.\According to the official record, response:	Raven Tail has been around for more than seven years,
context: You're lettin' a guild like that participate in the Grand Magic Games?!\Master, calm down.\You'll fall from there...\Certainly, I sense malice coming off of them.\They said that's a Dark Guild.\I don't think I've heard of them before.\According to the official record,\Raven Tail has been around for more than seven years, response:	but they've only recently been recognized as a legitimate guild.
context: Master, calm down.\You'll fall from there...\Certainly, I sense malice coming off of them.\They said that's a Dark Guild.\I don't think I've heard of them before.\According to the official record,\Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild. response:	Recognized by the Guild Federation,
context: You'll fall from there...\Certainly, I sense malice coming off of them.\They said that's a Dark Guild.\I don't think I've heard of them before.\According to the official record,\Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation, response:	and not as a Dark Guild, right?
context: Certainly, I sense malice coming off of them.\They said that's a Dark Guild.\I don't think I've heard of them before.\According to the official record,\Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation,\and not as a Dark Guild, right? response:	Damn you, Ivan... How dare you?!
context: They said that's a Dark Guild.\I don't think I've heard of them before.\According to the official record,\Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation,\and not as a Dark Guild, right?\Damn you, Ivan... How dare you?! response:	How did you manage that?!
context: I don't think I've heard of them before.\According to the official record,\Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation,\and not as a Dark Guild, right?\Damn you, Ivan... How dare you?!\How did you manage that?! response:	Keep it down, Father.
context: According to the official record,\Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation,\and not as a Dark Guild, right?\Damn you, Ivan... How dare you?!\How did you manage that?!\Keep it down, Father. response:	Don't spoil this day.
context: Raven Tail has been around for more than seven years,\but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation,\and not as a Dark Guild, right?\Damn you, Ivan... How dare you?!\How did you manage that?!\Keep it down, Father.\Don't spoil this day. response:	Fairy Tail...
context: but they've only recently been recognized as a legitimate guild.\Recognized by the Guild Federation,\and not as a Dark Guild, right?\Damn you, Ivan... How dare you?!\How did you manage that?!\Keep it down, Father.\Don't spoil this day.\Fairy Tail... response:	The girl was just by way of greeting.
context: Recognized by the Guild Federation,\and not as a Dark Guild, right?\Damn you, Ivan... How dare you?!\How did you manage that?!\Keep it down, Father.\Don't spoil this day.\Fairy Tail...\The girl was just by way of greeting. response:	You guys did that to Wendy...
context: and not as a Dark Guild, right?\Damn you, Ivan... How dare you?!\How did you manage that?!\Keep it down, Father.\Don't spoil this day.\Fairy Tail...\The girl was just by way of greeting.\You guys did that to Wendy... response:	I'll get you for that!
context: Damn you, Ivan... How dare you?!\How did you manage that?!\Keep it down, Father.\Don't spoil this day.\Fairy Tail...\The girl was just by way of greeting.\You guys did that to Wendy...\I'll get you for that! response:	Let's enjoy the festival.
context: How did you manage that?!\Keep it down, Father.\Don't spoil this day.\Fairy Tail...\The girl was just by way of greeting.\You guys did that to Wendy...\I'll get you for that!\Let's enjoy the festival. response:	Ivan...
context: Keep it down, Father.\Don't spoil this day.\Fairy Tail...\The girl was just by way of greeting.\You guys did that to Wendy...\I'll get you for that!\Let's enjoy the festival.\Ivan... response:	Alright, there are still two more teams that made it through the elimination round!
context: Don't spoil this day.\Fairy Tail...\The girl was just by way of greeting.\You guys did that to Wendy...\I'll get you for that!\Let's enjoy the festival.\Ivan...\Alright, there are still two more teams that made it through the elimination round! response:	That's right. There are still two more...
context: Fairy Tail...\The girl was just by way of greeting.\You guys did that to Wendy...\I'll get you for that!\Let's enjoy the festival.\Ivan...\Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more... response:	One must be Sabertooth, right?
context: The girl was just by way of greeting.\You guys did that to Wendy...\I'll get you for that!\Let's enjoy the festival.\Ivan...\Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more...\One must be Sabertooth, right? response:	And the other...
context: You guys did that to Wendy...\I'll get you for that!\Let's enjoy the festival.\Ivan...\Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more...\One must be Sabertooth, right?\And the other... response:	The main guilds are all already out here...
context: I'll get you for that!\Let's enjoy the festival.\Ivan...\Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more...\One must be Sabertooth, right?\And the other...\The main guilds are all already out here... response:	Was there another strong guild that kept itself hidden?
context: Let's enjoy the festival.\Ivan...\Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more...\One must be Sabertooth, right?\And the other...\The main guilds are all already out here...\Was there another strong guild that kept itself hidden? response:	Does it have a connection to the magic power that Jellal was talking about?
context: Ivan...\Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more...\One must be Sabertooth, right?\And the other...\The main guilds are all already out here...\Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about? response:	The second-place finisher... oh, this is a shocker!
context: Alright, there are still two more teams that made it through the elimination round!\That's right. There are still two more...\One must be Sabertooth, right?\And the other...\The main guilds are all already out here...\Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker! response:	Will they become the soaring key with tattered wings?
context: That's right. There are still two more...\One must be Sabertooth, right?\And the other...\The main guilds are all already out here...\Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings? response:	The unbelievable, improbable...
context: One must be Sabertooth, right?\And the other...\The main guilds are all already out here...\Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings?\The unbelievable, improbable... response:	Nee-chan!
context: And the other...\The main guilds are all already out here...\Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings?\The unbelievable, improbable...\Nee-chan! response:	Gajeel?!
context: The main guilds are all already out here...\Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings?\The unbelievable, improbable...\Nee-chan!\Gajeel?! response:	Juvia?!
context: Was there another strong guild that kept itself hidden?\Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings?\The unbelievable, improbable...\Nee-chan!\Gajeel?!\Juvia?! response:	Isn't it against the rules for Laxus to be on the team?!
context: Does it have a connection to the magic power that Jellal was talking about?\The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings?\The unbelievable, improbable...\Nee-chan!\Gajeel?!\Juvia?!\Isn't it against the rules for Laxus to be on the team?! response:	Another Fairy Tail team...
context: The second-place finisher... oh, this is a shocker!\Will they become the soaring key with tattered wings?\The unbelievable, improbable...\Nee-chan!\Gajeel?!\Juvia?!\Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team... response:	And what's Mystogan doin' there?!
context: Will they become the soaring key with tattered wings?\The unbelievable, improbable...\Nee-chan!\Gajeel?!\Juvia?!\Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team...\And what's Mystogan doin' there?! response:	Don't tell me, you're... Jellal?!
context: The unbelievable, improbable...\Nee-chan!\Gajeel?!\Juvia?!\Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team...\And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?! response:	Seriously?!
context: Nee-chan!\Gajeel?!\Juvia?!\Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team...\And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?!\Seriously?! response:	Juvia...
context: Gajeel?!\Juvia?!\Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team...\And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?!\Seriously?!\Juvia... response:	That's the one you love, Lyon?
context: Juvia?!\Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team...\And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?!\Seriously?!\Juvia...\That's the one you love, Lyon? response:	That's Fairy Tail for you. Two teams made the cut...
context: Isn't it against the rules for Laxus to be on the team?!\Another Fairy Tail team...\And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?!\Seriously?!\Juvia...\That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut... response:	Laxus... and Gajeel...
context: Another Fairy Tail team...\And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?!\Seriously?!\Juvia...\That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel... response:	What the hell is this?!
context: And what's Mystogan doin' there?!\Don't tell me, you're... Jellal?!\Seriously?!\Juvia...\That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel...\What the hell is this?! response:	Why does Fairy Tail get two teams?!
context: Don't tell me, you're... Jellal?!\Seriously?!\Juvia...\That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel...\What the hell is this?!\Why does Fairy Tail get two teams?! response:	That's too wild!
context: Seriously?!\Juvia...\That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel...\What the hell is this?!\Why does Fairy Tail get two teams?!\That's too wild! response:	Well, it looks like a lot of people are up in arms
context: Juvia...\That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel...\What the hell is this?!\Why does Fairy Tail get two teams?!\That's too wild!\Well, it looks like a lot of people are up in arms response:	over a revision of the rules this time, Yajima-san.
context: That's the one you love, Lyon?\That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel...\What the hell is this?!\Why does Fairy Tail get two teams?!\That's too wild!\Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san. response:	For this tournament, each guild can have one team, which is nice,
context: That's Fairy Tail for you. Two teams made the cut...\Laxus... and Gajeel...\What the hell is this?!\Why does Fairy Tail get two teams?!\That's too wild!\Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice, response:	but they can also have two teams participating.
context: Laxus... and Gajeel...\What the hell is this?!\Why does Fairy Tail get two teams?!\That's too wild!\Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating. response:	I didn't hear anything about that, Master!
context: What the hell is this?!\Why does Fairy Tail get two teams?!\That's too wild!\Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating.\I didn't hear anything about that, Master! response:	You see that?! That's Fairy Tail!
context: Why does Fairy Tail get two teams?!\That's too wild!\Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating.\I didn't hear anything about that, Master!\You see that?! That's Fairy Tail! response:	The final round will be a battle between all of the teams,
context: That's too wild!\Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating.\I didn't hear anything about that, Master!\You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams, response:	but will members of the same guild be able to fight each other?
context: Well, it looks like a lot of people are up in arms\over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating.\I didn't hear anything about that, Master!\You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other? response:	I don't think they'd have a problem with it...
context: over a revision of the rules this time, Yajima-san.\For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating.\I didn't hear anything about that, Master!\You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other?\I don't think they'd have a problem with it... response:	But it's not really fair, is it?
context: For this tournament, each guild can have one team, which is nice,\but they can also have two teams participating.\I didn't hear anything about that, Master!\You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other?\I don't think they'd have a problem with it...\But it's not really fair, is it? response:	For example, if one member from each team competes in an event,
context: but they can also have two teams participating.\I didn't hear anything about that, Master!\You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other?\I don't think they'd have a problem with it...\But it's not really fair, is it?\For example, if one member from each team competes in an event, response:	it's like only Fairy Tail gets to fight as a pair, right?
context: I didn't hear anything about that, Master!\You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other?\I don't think they'd have a problem with it...\But it's not really fair, is it?\For example, if one member from each team competes in an event,\it's like only Fairy Tail gets to fight as a pair, right? response:	You're saying that out of over 100 teams,
context: You see that?! That's Fairy Tail!\The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other?\I don't think they'd have a problem with it...\But it's not really fair, is it?\For example, if one member from each team competes in an event,\it's like only Fairy Tail gets to fight as a pair, right?\You're saying that out of over 100 teams, response:	the two winning Fairy Tail teams have an advantage, yes?
context: The final round will be a battle between all of the teams,\but will members of the same guild be able to fight each other?\I don't think they'd have a problem with it...\But it's not really fair, is it?\For example, if one member from each team competes in an event,\it's like only Fairy Tail gets to fight as a pair, right?\You're saying that out of over 100 teams,\the two winning Fairy Tail teams have an advantage, yes? response:	That is an advantage to them-mabo.
