context: The Rising of the Shield Hero response:	In the Midst of Turmoil
context: It's all thanks to you.\Your traveling trade was very profitable for me as well.\What do you mean?\First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc\contacted me to ask how they could procure one for themselves.\Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves. response:	The money hasn't stopped rolling in since!
context: Your traveling trade was very profitable for me as well.\What do you mean?\First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc\contacted me to ask how they could procure one for themselves.\Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since! response:	Anyway, how may I help you today? Would you like another slave?
context: What do you mean?\First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc\contacted me to ask how they could procure one for themselves.\Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave? response:	Or do you need assistance with a filolial experiment?
context: First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc\contacted me to ask how they could procure one for themselves.\Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment? response:	Can you arrange class upgrades for us?
context: Nobles all across Melromarc\contacted me to ask how they could procure one for themselves.\Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us? response:	Class upgrades, is it?
context: contacted me to ask how they could procure one for themselves.\Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us?\Class upgrades, is it? response:	They're refusing to let us do it in this country.
context: Secondly, you.\You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us?\Class upgrades, is it?\They're refusing to let us do it in this country. response:	It's a real pain.
context: You've helped my business gain a reputation for providing high-quality slaves.\The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us?\Class upgrades, is it?\They're refusing to let us do it in this country.\It's a real pain. response:	I remember you having a slave that was over level 40.
context: The money hasn't stopped rolling in since!\Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us?\Class upgrades, is it?\They're refusing to let us do it in this country.\It's a real pain.\I remember you having a slave that was over level 40. response:	I'm truly sorry to say this, but we don't provide that service.
context: Anyway, how may I help you today? Would you like another slave?\Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us?\Class upgrades, is it?\They're refusing to let us do it in this country.\It's a real pain.\I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service. response:	I see.
context: Or do you need assistance with a filolial experiment?\Can you arrange class upgrades for us?\Class upgrades, is it?\They're refusing to let us do it in this country.\It's a real pain.\I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service.\I see. response:	However, worry not.
context: Can you arrange class upgrades for us?\Class upgrades, is it?\They're refusing to let us do it in this country.\It's a real pain.\I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service.\I see.\However, worry not. response:	You can simply get it done at another country's dragon hourglass.
context: Class upgrades, is it?\They're refusing to let us do it in this country.\It's a real pain.\I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service.\I see.\However, worry not.\You can simply get it done at another country's dragon hourglass. response:	There are others?
context: They're refusing to let us do it in this country.\It's a real pain.\I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service.\I see.\However, worry not.\You can simply get it done at another country's dragon hourglass.\There are others? response:	Indeed. Ordinarily, I would charge for this information,
context: It's a real pain.\I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service.\I see.\However, worry not.\You can simply get it done at another country's dragon hourglass.\There are others?\Indeed. Ordinarily, I would charge for this information, response:	but since you're the one asking, I'll tell you for free.
context: I remember you having a slave that was over level 40.\I'm truly sorry to say this, but we don't provide that service.\I see.\However, worry not.\You can simply get it done at another country's dragon hourglass.\There are others?\Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free. response:	If we're talking favorable countries for you to upgrade classes,
context: I'm truly sorry to say this, but we don't provide that service.\I see.\However, worry not.\You can simply get it done at another country's dragon hourglass.\There are others?\Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes, response:	there's Mercenary Nation Zeltoble,
context: I see.\However, worry not.\You can simply get it done at another country's dragon hourglass.\There are others?\Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble, response:	Demi-Human Country Siltvelt,
context: However, worry not.\You can simply get it done at another country's dragon hourglass.\There are others?\Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt, response:	and Shieldfreeden.
context: You can simply get it done at another country's dragon hourglass.\There are others?\Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt,\and Shieldfreeden. response:	I recommend Shieldfreeden.
context: There are others?\Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt,\and Shieldfreeden.\I recommend Shieldfreeden. response:	For a country of demi-humans, it's very welcoming to humans.
context: Indeed. Ordinarily, I would charge for this information,\but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt,\and Shieldfreeden.\I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans. response:	How long will it take to get there?
context: but since you're the one asking, I'll tell you for free.\If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt,\and Shieldfreeden.\I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there? response:	By ship, two weeks.
context: If we're talking favorable countries for you to upgrade classes,\there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt,\and Shieldfreeden.\I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there?\By ship, two weeks. response:	And by wagon, a month.
context: there's Mercenary Nation Zeltoble,\Demi-Human Country Siltvelt,\and Shieldfreeden.\I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there?\By ship, two weeks.\And by wagon, a month. response:	That's far.
context: Demi-Human Country Siltvelt,\and Shieldfreeden.\I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there?\By ship, two weeks.\And by wagon, a month.\That's far. response:	Yeah.
context: and Shieldfreeden.\I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there?\By ship, two weeks.\And by wagon, a month.\That's far.\Yeah. response:	We won't get there before the Wave.
context: I recommend Shieldfreeden.\For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there?\By ship, two weeks.\And by wagon, a month.\That's far.\Yeah.\We won't get there before the Wave. response:	Then how about making do this time by equipping your filolial queen with a weapon?
context: For a country of demi-humans, it's very welcoming to humans.\How long will it take to get there?\By ship, two weeks.\And by wagon, a month.\That's far.\Yeah.\We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon? response:	A weapon for me?
context: How long will it take to get there?\By ship, two weeks.\And by wagon, a month.\That's far.\Yeah.\We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me? response:	How do you like these wyvern talons?
context: By ship, two weeks.\And by wagon, a month.\That's far.\Yeah.\We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me?\How do you like these wyvern talons? response:	What's a wyvern?
context: And by wagon, a month.\That's far.\Yeah.\We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me?\How do you like these wyvern talons?\What's a wyvern? response:	How much are they?
context: That's far.\Yeah.\We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me?\How do you like these wyvern talons?\What's a wyvern?\How much are they? response:	In light of your continued patronage,
context: Yeah.\We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me?\How do you like these wyvern talons?\What's a wyvern?\How much are they?\In light of your continued patronage, response:	I'll offer you a special price of five gold pieces.
context: We won't get there before the Wave.\Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me?\How do you like these wyvern talons?\What's a wyvern?\How much are they?\In light of your continued patronage,\I'll offer you a special price of five gold pieces. response:	Four. And throw in reins.
context: Then how about making do this time by equipping your filolial queen with a weapon?\A weapon for me?\How do you like these wyvern talons?\What's a wyvern?\How much are they?\In light of your continued patronage,\I'll offer you a special price of five gold pieces.\Four. And throw in reins. response:	We have a deal!
context: A weapon for me?\How do you like these wyvern talons?\What's a wyvern?\How much are they?\In light of your continued patronage,\I'll offer you a special price of five gold pieces.\Four. And throw in reins.\We have a deal! response:	How you've grown into the kind of man I just love!
context: How do you like these wyvern talons?\What's a wyvern?\How much are they?\In light of your continued patronage,\I'll offer you a special price of five gold pieces.\Four. And throw in reins.\We have a deal!\How you've grown into the kind of man I just love! response:	You make my spine tingle!
context: What's a wyvern?\How much are they?\In light of your continued patronage,\I'll offer you a special price of five gold pieces.\Four. And throw in reins.\We have a deal!\How you've grown into the kind of man I just love!\You make my spine tingle! response:	What's with him?
context: How much are they?\In light of your continued patronage,\I'll offer you a special price of five gold pieces.\Four. And throw in reins.\We have a deal!\How you've grown into the kind of man I just love!\You make my spine tingle!\What's with him? response:	This feels kinda weird.
context: In light of your continued patronage,\I'll offer you a special price of five gold pieces.\Four. And throw in reins.\We have a deal!\How you've grown into the kind of man I just love!\You make my spine tingle!\What's with him?\This feels kinda weird. response:	Getting used to them might take a while.
context: I'll offer you a special price of five gold pieces.\Four. And throw in reins.\We have a deal!\How you've grown into the kind of man I just love!\You make my spine tingle!\What's with him?\This feels kinda weird.\Getting used to them might take a while. response:	Oh yeah, Slave Merchant.
context: Four. And throw in reins.\We have a deal!\How you've grown into the kind of man I just love!\You make my spine tingle!\What's with him?\This feels kinda weird.\Getting used to them might take a while.\Oh yeah, Slave Merchant. response:	Can we test these talons out somewhere?
context: We have a deal!\How you've grown into the kind of man I just love!\You make my spine tingle!\What's with him?\This feels kinda weird.\Getting used to them might take a while.\Oh yeah, Slave Merchant.\Can we test these talons out somewhere? response:	Well, all the monsters here are merchandise.
context: How you've grown into the kind of man I just love!\You make my spine tingle!\What's with him?\This feels kinda weird.\Getting used to them might take a while.\Oh yeah, Slave Merchant.\Can we test these talons out somewhere?\Well, all the monsters here are merchandise. response:	Come to think of it,
context: You make my spine tingle!\What's with him?\This feels kinda weird.\Getting used to them might take a while.\Oh yeah, Slave Merchant.\Can we test these talons out somewhere?\Well, all the monsters here are merchandise.\Come to think of it, response:	I have just the job request!
context: What's with him?\This feels kinda weird.\Getting used to them might take a while.\Oh yeah, Slave Merchant.\Can we test these talons out somewhere?\Well, all the monsters here are merchandise.\Come to think of it,\I have just the job request! response:	Ew...
context: This feels kinda weird.\Getting used to them might take a while.\Oh yeah, Slave Merchant.\Can we test these talons out somewhere?\Well, all the monsters here are merchandise.\Come to think of it,\I have just the job request!\Ew... response:	This stench is too much.
context: Getting used to them might take a while.\Oh yeah, Slave Merchant.\Can we test these talons out somewhere?\Well, all the monsters here are merchandise.\Come to think of it,\I have just the job request!\Ew...\This stench is too much. response:	Damn that slave merchant.
context: Oh yeah, Slave Merchant.\Can we test these talons out somewhere?\Well, all the monsters here are merchandise.\Come to think of it,\I have just the job request!\Ew...\This stench is too much.\Damn that slave merchant. response:	Why would there be monsters in the capital's sewers?
context: Can we test these talons out somewhere?\Well, all the monsters here are merchandise.\Come to think of it,\I have just the job request!\Ew...\This stench is too much.\Damn that slave merchant.\Why would there be monsters in the capital's sewers? response:	Someone must've dumped them here after they grew too hard to control.
context: Well, all the monsters here are merchandise.\Come to think of it,\I have just the job request!\Ew...\This stench is too much.\Damn that slave merchant.\Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control. response:	We're fighting this thing?
context: Come to think of it,\I have just the job request!\Ew...\This stench is too much.\Damn that slave merchant.\Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control.\We're fighting this thing? response:	Yeah, looks like it.
context: I have just the job request!\Ew...\This stench is too much.\Damn that slave merchant.\Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control.\We're fighting this thing?\Yeah, looks like it. response:	Raphtalia!
context: Ew...\This stench is too much.\Damn that slave merchant.\Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control.\We're fighting this thing?\Yeah, looks like it.\Raphtalia! response:	You're done!
context: This stench is too much.\Damn that slave merchant.\Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control.\We're fighting this thing?\Yeah, looks like it.\Raphtalia!\You're done! response:	This sword is really sharp!
context: Damn that slave merchant.\Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control.\We're fighting this thing?\Yeah, looks like it.\Raphtalia!\You're done!\This sword is really sharp! response:	These talons are awesome, too.
context: Why would there be monsters in the capital's sewers?\Someone must've dumped them here after they grew too hard to control.\We're fighting this thing?\Yeah, looks like it.\Raphtalia!\You're done!\This sword is really sharp!\These talons are awesome, too. response:	Hey...
context: Someone must've dumped them here after they grew too hard to control.\We're fighting this thing?\Yeah, looks like it.\Raphtalia!\You're done!\This sword is really sharp!\These talons are awesome, too.\Hey... response:	Are you okay?
context: We're fighting this thing?\Yeah, looks like it.\Raphtalia!\You're done!\This sword is really sharp!\These talons are awesome, too.\Hey...\Are you okay? response:	Yes.
context: Yeah, looks like it.\Raphtalia!\You're done!\This sword is really sharp!\These talons are awesome, too.\Hey...\Are you okay?\Yes. response:	The parts you bandage heal really fast.
context: Raphtalia!\You're done!\This sword is really sharp!\These talons are awesome, too.\Hey...\Are you okay?\Yes.\The parts you bandage heal really fast. response:	Ten days until the Wave, huh?
context: You're done!\This sword is really sharp!\These talons are awesome, too.\Hey...\Are you okay?\Yes.\The parts you bandage heal really fast.\Ten days until the Wave, huh? response:	I hope you've recovered by then.
context: This sword is really sharp!\These talons are awesome, too.\Hey...\Are you okay?\Yes.\The parts you bandage heal really fast.\Ten days until the Wave, huh?\I hope you've recovered by then. response:	Yes.
context: These talons are awesome, too.\Hey...\Are you okay?\Yes.\The parts you bandage heal really fast.\Ten days until the Wave, huh?\I hope you've recovered by then.\Yes. response:	As long as we don't know where the next Wave will arrive,
context: Hey...\Are you okay?\Yes.\The parts you bandage heal really fast.\Ten days until the Wave, huh?\I hope you've recovered by then.\Yes.\As long as we don't know where the next Wave will arrive, response:	we have to prepare for anything and everything.
context: Are you okay?\Yes.\The parts you bandage heal really fast.\Ten days until the Wave, huh?\I hope you've recovered by then.\Yes.\As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything. response:	And given the possibility of casualties in a town or village,
context: Yes.\The parts you bandage heal really fast.\Ten days until the Wave, huh?\I hope you've recovered by then.\Yes.\As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything.\And given the possibility of casualties in a town or village, response:	we should stock up on a ton of medicine.
context: The parts you bandage heal really fast.\Ten days until the Wave, huh?\I hope you've recovered by then.\Yes.\As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything.\And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine. response:	And we should scout out possible combat zones and strategize...
context: Ten days until the Wave, huh?\I hope you've recovered by then.\Yes.\As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything.\And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize... response:	Does it hurt?
context: I hope you've recovered by then.\Yes.\As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything.\And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize...\Does it hurt? response:	Once all the Waves are repelled,
context: Yes.\As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything.\And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize...\Does it hurt?\Once all the Waves are repelled, response:	you'll go back to your own world, won't you?
context: As long as we don't know where the next Wave will arrive,\we have to prepare for anything and everything.\And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize...\Does it hurt?\Once all the Waves are repelled,\you'll go back to your own world, won't you? response:	May I...
context: we have to prepare for anything and everything.\And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize...\Does it hurt?\Once all the Waves are repelled,\you'll go back to your own world, won't you?\May I... response:	May I go with you?
context: And given the possibility of casualties in a town or village,\we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize...\Does it hurt?\Once all the Waves are repelled,\you'll go back to your own world, won't you?\May I...\May I go with you? response:	Naofumi-sama, I...
context: we should stock up on a ton of medicine.\And we should scout out possible combat zones and strategize...\Does it hurt?\Once all the Waves are repelled,\you'll go back to your own world, won't you?\May I...\May I go with you?\Naofumi-sama, I... response:	Hey!
context: And we should scout out possible combat zones and strategize...\Does it hurt?\Once all the Waves are repelled,\you'll go back to your own world, won't you?\May I...\May I go with you?\Naofumi-sama, I...\Hey! response:	Onee-chan's being lovey-dovey with Master.
context: Does it hurt?\Once all the Waves are repelled,\you'll go back to your own world, won't you?\May I...\May I go with you?\Naofumi-sama, I...\Hey!\Onee-chan's being lovey-dovey with Master. response:	No fair!
context: Once all the Waves are repelled,\you'll go back to your own world, won't you?\May I...\May I go with you?\Naofumi-sama, I...\Hey!\Onee-chan's being lovey-dovey with Master.\No fair! response:	I was not!
context: you'll go back to your own world, won't you?\May I...\May I go with you?\Naofumi-sama, I...\Hey!\Onee-chan's being lovey-dovey with Master.\No fair!\I was not! response:	You were!
context: May I...\May I go with you?\Naofumi-sama, I...\Hey!\Onee-chan's being lovey-dovey with Master.\No fair!\I was not!\You were! response:	You were trying to kiss him!
context: May I go with you?\Naofumi-sama, I...\Hey!\Onee-chan's being lovey-dovey with Master.\No fair!\I was not!\You were!\You were trying to kiss him! response:	I was not!
context: Naofumi-sama, I...\Hey!\Onee-chan's being lovey-dovey with Master.\No fair!\I was not!\You were!\You were trying to kiss him!\I was not! response:	You were! I saw you!
context: Hey!\Onee-chan's being lovey-dovey with Master.\No fair!\I was not!\You were!\You were trying to kiss him!\I was not!\You were! I saw you! response:	God, shut up!
context: Onee-chan's being lovey-dovey with Master.\No fair!\I was not!\You were!\You were trying to kiss him!\I was not!\You were! I saw you!\God, shut up! response:	We have an early start tomorrow! Go to bed!
context: No fair!\I was not!\You were!\You were trying to kiss him!\I was not!\You were! I saw you!\God, shut up!\We have an early start tomorrow! Go to bed! response:	You've got it rough, huh?
context: I was not!\You were!\You were trying to kiss him!\I was not!\You were! I saw you!\God, shut up!\We have an early start tomorrow! Go to bed!\You've got it rough, huh? response:	I'm sorry.
context: You were!\You were trying to kiss him!\I was not!\You were! I saw you!\God, shut up!\We have an early start tomorrow! Go to bed!\You've got it rough, huh?\I'm sorry. response:	What a sad-looking town.
context: You were trying to kiss him!\I was not!\You were! I saw you!\God, shut up!\We have an early start tomorrow! Go to bed!\You've got it rough, huh?\I'm sorry.\What a sad-looking town. response:	The lord here must be a scumbag.
context: I was not!\You were! I saw you!\God, shut up!\We have an early start tomorrow! Go to bed!\You've got it rough, huh?\I'm sorry.\What a sad-looking town.\The lord here must be a scumbag. response:	That toll told the whole story.
context: You were! I saw you!\God, shut up!\We have an early start tomorrow! Go to bed!\You've got it rough, huh?\I'm sorry.\What a sad-looking town.\The lord here must be a scumbag.\That toll told the whole story. response:	If this town was attacked in the Wave...
context: God, shut up!\We have an early start tomorrow! Go to bed!\You've got it rough, huh?\I'm sorry.\What a sad-looking town.\The lord here must be a scumbag.\That toll told the whole story.\If this town was attacked in the Wave... response:	Please! Trade us food!
context: We have an early start tomorrow! Go to bed!\You've got it rough, huh?\I'm sorry.\What a sad-looking town.\The lord here must be a scumbag.\That toll told the whole story.\If this town was attacked in the Wave...\Please! Trade us food! response:	I'd honestly prefer money.
context: You've got it rough, huh?\I'm sorry.\What a sad-looking town.\The lord here must be a scumbag.\That toll told the whole story.\If this town was attacked in the Wave...\Please! Trade us food!\I'd honestly prefer money. response:	We don't have any.
context: I'm sorry.\What a sad-looking town.\The lord here must be a scumbag.\That toll told the whole story.\If this town was attacked in the Wave...\Please! Trade us food!\I'd honestly prefer money.\We don't have any. response:	We have nothing else left.
context: What a sad-looking town.\The lord here must be a scumbag.\That toll told the whole story.\If this town was attacked in the Wave...\Please! Trade us food!\I'd honestly prefer money.\We don't have any.\We have nothing else left. response:	Are you people not from Melromarc?
context: The lord here must be a scumbag.\That toll told the whole story.\If this town was attacked in the Wave...\Please! Trade us food!\I'd honestly prefer money.\We don't have any.\We have nothing else left.\Are you people not from Melromarc? response:	N-No. We're refugees from the north.
context: That toll told the whole story.\If this town was attacked in the Wave...\Please! Trade us food!\I'd honestly prefer money.\We don't have any.\We have nothing else left.\Are you people not from Melromarc?\N-No. We're refugees from the north. response:	Some adventurer apparently sent from here
context: If this town was attacked in the Wave...\Please! Trade us food!\I'd honestly prefer money.\We don't have any.\We have nothing else left.\Are you people not from Melromarc?\N-No. We're refugees from the north.\Some adventurer apparently sent from here response:	put together a resistance force and started a revolution.
context: Please! Trade us food!\I'd honestly prefer money.\We don't have any.\We have nothing else left.\Are you people not from Melromarc?\N-No. We're refugees from the north.\Some adventurer apparently sent from here\put together a resistance force and started a revolution. response:	And now we're in this mess.
context: I'd honestly prefer money.\We don't have any.\We have nothing else left.\Are you people not from Melromarc?\N-No. We're refugees from the north.\Some adventurer apparently sent from here\put together a resistance force and started a revolution.\And now we're in this mess. response:	What was this adventurer like?
context: We don't have any.\We have nothing else left.\Are you people not from Melromarc?\N-No. We're refugees from the north.\Some adventurer apparently sent from here\put together a resistance force and started a revolution.\And now we're in this mess.\What was this adventurer like? response:	We don't really know, but the rumors say he used a bow.
context: We have nothing else left.\Are you people not from Melromarc?\N-No. We're refugees from the north.\Some adventurer apparently sent from here\put together a resistance force and started a revolution.\And now we're in this mess.\What was this adventurer like?\We don't really know, but the rumors say he used a bow. response:	A bow?
context: Are you people not from Melromarc?\N-No. We're refugees from the north.\Some adventurer apparently sent from here\put together a resistance force and started a revolution.\And now we're in this mess.\What was this adventurer like?\We don't really know, but the rumors say he used a bow.\A bow? response:	Naofumi-sama...
context: N-No. We're refugees from the north.\Some adventurer apparently sent from here\put together a resistance force and started a revolution.\And now we're in this mess.\What was this adventurer like?\We don't really know, but the rumors say he used a bow.\A bow?\Naofumi-sama... response:	Set up an emergency kitchen.
context: Some adventurer apparently sent from here\put together a resistance force and started a revolution.\And now we're in this mess.\What was this adventurer like?\We don't really know, but the rumors say he used a bow.\A bow?\Naofumi-sama...\Set up an emergency kitchen. response:	Right away.
context: put together a resistance force and started a revolution.\And now we're in this mess.\What was this adventurer like?\We don't really know, but the rumors say he used a bow.\A bow?\Naofumi-sama...\Set up an emergency kitchen.\Right away. response:	The Wave hits in 27 hours.
context: And now we're in this mess.\What was this adventurer like?\We don't really know, but the rumors say he used a bow.\A bow?\Naofumi-sama...\Set up an emergency kitchen.\Right away.\The Wave hits in 27 hours. response:	I'm hungry.
context: What was this adventurer like?\We don't really know, but the rumors say he used a bow.\A bow?\Naofumi-sama...\Set up an emergency kitchen.\Right away.\The Wave hits in 27 hours.\I'm hungry. response:	Okay, let's grab some lunch.
context: We don't really know, but the rumors say he used a bow.\A bow?\Naofumi-sama...\Set up an emergency kitchen.\Right away.\The Wave hits in 27 hours.\I'm hungry.\Okay, let's grab some lunch. response:	Aren't they...
context: A bow?\Naofumi-sama...\Set up an emergency kitchen.\Right away.\The Wave hits in 27 hours.\I'm hungry.\Okay, let's grab some lunch.\Aren't they... response:	Ren and Itsuki?
context: Naofumi-sama...\Set up an emergency kitchen.\Right away.\The Wave hits in 27 hours.\I'm hungry.\Okay, let's grab some lunch.\Aren't they...\Ren and Itsuki? response:	I overthrew a despot in the country to the north.
context: Set up an emergency kitchen.\Right away.\The Wave hits in 27 hours.\I'm hungry.\Okay, let's grab some lunch.\Aren't they...\Ren and Itsuki?\I overthrew a despot in the country to the north. response:	But when I went to the Guild,
context: Right away.\The Wave hits in 27 hours.\I'm hungry.\Okay, let's grab some lunch.\Aren't they...\Ren and Itsuki?\I overthrew a despot in the country to the north.\But when I went to the Guild, response:	they'd already paid the reward out to someone else.
context: The Wave hits in 27 hours.\I'm hungry.\Okay, let's grab some lunch.\Aren't they...\Ren and Itsuki?\I overthrew a despot in the country to the north.\But when I went to the Guild,\they'd already paid the reward out to someone else. response:	Same here. Somebody stole a job request from me.
context: I'm hungry.\Okay, let's grab some lunch.\Aren't they...\Ren and Itsuki?\I overthrew a despot in the country to the north.\But when I went to the Guild,\they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me. response:	Looks like someone's going around pretending to be us.
context: Okay, let's grab some lunch.\Aren't they...\Ren and Itsuki?\I overthrew a despot in the country to the north.\But when I went to the Guild,\they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us. response:	We'll have the daily special, and she'll have a large kids' meal.
context: Aren't they...\Ren and Itsuki?\I overthrew a despot in the country to the north.\But when I went to the Guild,\they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal. response:	Got it.
context: Ren and Itsuki?\I overthrew a despot in the country to the north.\But when I went to the Guild,\they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal.\Got it. response:	Itsuki-sama...
context: I overthrew a despot in the country to the north.\But when I went to the Guild,\they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal.\Got it.\Itsuki-sama... response:	We've received a Guild request to overthrow a town lord to the north.
context: But when I went to the Guild,\they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal.\Got it.\Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north. response:	What will we do?
context: they'd already paid the reward out to someone else.\Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal.\Got it.\Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north.\What will we do? response:	From the Guild?
context: Same here. Somebody stole a job request from me.\Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal.\Got it.\Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north.\What will we do?\From the Guild? response:	Yes.
context: Looks like someone's going around pretending to be us.\We'll have the daily special, and she'll have a large kids' meal.\Got it.\Itsuki-sama...\We've received a Guild request to overthrow a town lord to the north.\What will we do?\From the Guild?\Yes. response:	From looking into it,
