context: I understand it in my head, but why can't I move? response:	I say I have no reason to win, but why is it so painful when I lose?
context: Freeze\Since second grade?\Freeze\Um, Hina?\Freeze\Hey, let's have curry already.\Freeze\Freeze response:	Ughhh
context: Since second grade?\Freeze\Um, Hina?\Freeze\Hey, let's have curry already.\Freeze\Freeze\Ughhh response:	Ahhh
context: Freeze\Um, Hina?\Freeze\Hey, let's have curry already.\Freeze\Freeze\Ughhh\Ahhh response:	Come on, Hina. Get it together.
context: Um, Hina?\Freeze\Hey, let's have curry already.\Freeze\Freeze\Ughhh\Ahhh\Come on, Hina. Get it together. response:	Is this enough rice?
context: Freeze\Hey, let's have curry already.\Freeze\Freeze\Ughhh\Ahhh\Come on, Hina. Get it together.\Is this enough rice? response:	Do you think curry will be enough?
context: Hey, let's have curry already.\Freeze\Freeze\Ughhh\Ahhh\Come on, Hina. Get it together.\Is this enough rice?\Do you think curry will be enough? response:	Maybe a fancier dinner would've been better.
context: Freeze\Freeze\Ughhh\Ahhh\Come on, Hina. Get it together.\Is this enough rice?\Do you think curry will be enough?\Maybe a fancier dinner would've been better. response:	Curry is too ordinary. It won't make him happy!
context: Freeze\Ughhh\Ahhh\Come on, Hina. Get it together.\Is this enough rice?\Do you think curry will be enough?\Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy! response:	It'll be fine. It came out really well.
context: Ughhh\Ahhh\Come on, Hina. Get it together.\Is this enough rice?\Do you think curry will be enough?\Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well. response:	Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?
context: Ahhh\Come on, Hina. Get it together.\Is this enough rice?\Do you think curry will be enough?\Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday? response:	1 New Message
context: Come on, Hina. Get it together.\Is this enough rice?\Do you think curry will be enough?\Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message response:	I just got a message from Takahashi, asking if I'm free on Saturday.
context: Is this enough rice?\Do you think curry will be enough?\Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday. response:	Can we both go to your house, Hina?
context: Do you think curry will be enough?\Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina? response:	Fuhpoof
context: Maybe a fancier dinner would've been better.\Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina?\Fuhpoof response:	Umm...
context: Curry is too ordinary. It won't make him happy!\It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina?\Fuhpoof\Umm... response:	I feel kind of bad now, to get her so nervous.
context: It'll be fine. It came out really well.\Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina?\Fuhpoof\Umm...\I feel kind of bad now, to get her so nervous. response:	Rei, Momo is hungry.
context: Received Messages From: Takahashi Title: It's Takahashi. Mr. Kiriyama, are you free on Saturday?\1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina?\Fuhpoof\Umm...\I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry. response:	No way! Why aren't you going to be home Saturday night, Sis?!
context: 1 New Message\I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina?\Fuhpoof\Umm...\I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?! response:	I asked him to eat dinner with us!
context: I just got a message from Takahashi, asking if I'm free on Saturday.\Can we both go to your house, Hina?\Fuhpoof\Umm...\I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us! response:	This is problematic.
context: Can we both go to your house, Hina?\Fuhpoof\Umm...\I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us!\This is problematic. response:	I was suddenly asked to work at the store on Saturday.
context: Fuhpoof\Umm...\I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us!\This is problematic.\I was suddenly asked to work at the store on Saturday. response:	Let's see...
context: Umm...\I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us!\This is problematic.\I was suddenly asked to work at the store on Saturday.\Let's see... response:	Why don't you make curry?
context: I feel kind of bad now, to get her so nervous.\Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us!\This is problematic.\I was suddenly asked to work at the store on Saturday.\Let's see...\Why don't you make curry? response:	You can make it in advance and just warm it up when he gets here. Easy, right?
context: Rei, Momo is hungry.\No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us!\This is problematic.\I was suddenly asked to work at the store on Saturday.\Let's see...\Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right? response:	No worries about messing up either.
context: No way! Why aren't you going to be home Saturday night, Sis?!\I asked him to eat dinner with us!\This is problematic.\I was suddenly asked to work at the store on Saturday.\Let's see...\Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either. response:	But that's too ordinary!
context: I asked him to eat dinner with us!\This is problematic.\I was suddenly asked to work at the store on Saturday.\Let's see...\Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either.\But that's too ordinary! response:	It has to be, let's see, fancier and more elaborate!
context: This is problematic.\I was suddenly asked to work at the store on Saturday.\Let's see...\Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either.\But that's too ordinary!\It has to be, let's see, fancier and more elaborate! response:	You haven't learned your lesson at all, have you?
context: I was suddenly asked to work at the store on Saturday.\Let's see...\Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either.\But that's too ordinary!\It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you? response:	Have you forgotten about the bento already?
context: Let's see...\Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either.\But that's too ordinary!\It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you?\Have you forgotten about the bento already? response:	Sheesh...
context: Why don't you make curry?\You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either.\But that's too ordinary!\It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you?\Have you forgotten about the bento already?\Sheesh... response:	Look, when it comes to making dinner...
context: You can make it in advance and just warm it up when he gets here. Easy, right?\No worries about messing up either.\But that's too ordinary!\It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you?\Have you forgotten about the bento already?\Sheesh...\Look, when it comes to making dinner... response:	Ping!!
context: No worries about messing up either.\But that's too ordinary!\It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you?\Have you forgotten about the bento already?\Sheesh...\Look, when it comes to making dinner...\Ping!! response:	What? Dinner? Did you just say dinner?
context: But that's too ordinary!\It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you?\Have you forgotten about the bento already?\Sheesh...\Look, when it comes to making dinner...\Ping!!\What? Dinner? Did you just say dinner? response:	- Right, right? - Yeah Senpai, I totally heard it.
context: It has to be, let's see, fancier and more elaborate!\You haven't learned your lesson at all, have you?\Have you forgotten about the bento already?\Sheesh...\Look, when it comes to making dinner...\Ping!!\What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it. response:	Oh, no! The dinner I'm talking about isn't your dinner...
context: You haven't learned your lesson at all, have you?\Have you forgotten about the bento already?\Sheesh...\Look, when it comes to making dinner...\Ping!!\What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner... response:	Oh, I just said it twice!
context: Have you forgotten about the bento already?\Sheesh...\Look, when it comes to making dinner...\Ping!!\What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice! response:	Dinner? Dinner? Sis, are you making our dinner?
context: Sheesh...\Look, when it comes to making dinner...\Ping!!\What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner? response:	Snack
context: Look, when it comes to making dinner...\Ping!!\What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner?\Snack response:	Looks like she lost
context: Ping!!\What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner?\Snack\Looks like she lost response:	Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr
context: What? Dinner? Did you just say dinner?\- Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner?\Snack\Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr response:	Okay, then how about deep-fried chicken as a topping bonus?
context: - Right, right? - Yeah Senpai, I totally heard it.\Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner?\Snack\Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus? response:	Curry (Tasty)
context: Oh, no! The dinner I'm talking about isn't your dinner...\Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner?\Snack\Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty) response:	Deep-fried Chicken (Tasty)
context: Oh, I just said it twice!\Dinner? Dinner? Sis, are you making our dinner?\Snack\Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty)\Deep-fried Chicken (Tasty) response:	Deep-fried...
context: Dinner? Dinner? Sis, are you making our dinner?\Snack\Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty)\Deep-fried Chicken (Tasty)\Deep-fried... response:	Super Tasty
context: Snack\Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty)\Deep-fried Chicken (Tasty)\Deep-fried...\Super Tasty response:	And what would you say to adding a hot spring egg on top of that? Well?
context: Looks like she lost\Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty)\Deep-fried Chicken (Tasty)\Deep-fried...\Super Tasty\And what would you say to adding a hot spring egg on top of that? Well? response:	Well!?
context: Meow Nom Nom Meroweow Delicious Crunch Crunch Mrawrawr\Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty)\Deep-fried Chicken (Tasty)\Deep-fried...\Super Tasty\And what would you say to adding a hot spring egg on top of that? Well?\Well!? response:	Super Tasty
context: Okay, then how about deep-fried chicken as a topping bonus?\Curry (Tasty)\Deep-fried Chicken (Tasty)\Deep-fried...\Super Tasty\And what would you say to adding a hot spring egg on top of that? Well?\Well!?\Super Tasty response:	Hohohohoho
context: Curry (Tasty)\Deep-fried Chicken (Tasty)\Deep-fried...\Super Tasty\And what would you say to adding a hot spring egg on top of that? Well?\Well!?\Super Tasty\Hohohohoho response:	A hot spring egg, too?
context: Deep-fried Chicken (Tasty)\Deep-fried...\Super Tasty\And what would you say to adding a hot spring egg on top of that? Well?\Well!?\Super Tasty\Hohohohoho\A hot spring egg, too? response:	Tasty
context: Deep-fried...\Super Tasty\And what would you say to adding a hot spring egg on top of that? Well?\Well!?\Super Tasty\Hohohohoho\A hot spring egg, too?\Tasty response:	Mega Tasty
context: Super Tasty\And what would you say to adding a hot spring egg on top of that? Well?\Well!?\Super Tasty\Hohohohoho\A hot spring egg, too?\Tasty\Mega Tasty response:	Looks like that's settled.
context: And what would you say to adding a hot spring egg on top of that? Well?\Well!?\Super Tasty\Hohohohoho\A hot spring egg, too?\Tasty\Mega Tasty\Looks like that's settled. response:	Phew
context: Well!?\Super Tasty\Hohohohoho\A hot spring egg, too?\Tasty\Mega Tasty\Looks like that's settled.\Phew response:	And as for Takahashi...
context: Super Tasty\Hohohohoho\A hot spring egg, too?\Tasty\Mega Tasty\Looks like that's settled.\Phew\And as for Takahashi... response:	There's a hot spring egg on top.
context: Hohohohoho\A hot spring egg, too?\Tasty\Mega Tasty\Looks like that's settled.\Phew\And as for Takahashi...\There's a hot spring egg on top. response:	Thump Thump Got effected by it
context: A hot spring egg, too?\Tasty\Mega Tasty\Looks like that's settled.\Phew\And as for Takahashi...\There's a hot spring egg on top.\Thump Thump Got effected by it response:	Thump Thump Thump
context: Tasty\Mega Tasty\Looks like that's settled.\Phew\And as for Takahashi...\There's a hot spring egg on top.\Thump Thump Got effected by it\Thump Thump Thump response:	Thank you for the meal!
context: Mega Tasty\Looks like that's settled.\Phew\And as for Takahashi...\There's a hot spring egg on top.\Thump Thump Got effected by it\Thump Thump Thump\Thank you for the meal! response:	Thank you for the meal!
context: Looks like that's settled.\Phew\And as for Takahashi...\There's a hot spring egg on top.\Thump Thump Got effected by it\Thump Thump Thump\Thank you for the meal!\Thank you for the meal! response:	Thump Thump Thump Thump Thump Thump
context: Phew\And as for Takahashi...\There's a hot spring egg on top.\Thump Thump Got effected by it\Thump Thump Thump\Thank you for the meal!\Thank you for the meal!\Thump Thump Thump Thump Thump Thump response:	He's eating it in such a delicious way.
context: And as for Takahashi...\There's a hot spring egg on top.\Thump Thump Got effected by it\Thump Thump Thump\Thank you for the meal!\Thank you for the meal!\Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way. response:	Kawamoto, your curry is awesome!
context: There's a hot spring egg on top.\Thump Thump Got effected by it\Thump Thump Thump\Thank you for the meal!\Thank you for the meal!\Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way.\Kawamoto, your curry is awesome! response:	The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!
context: Thump Thump Got effected by it\Thump Thump Thump\Thank you for the meal!\Thank you for the meal!\Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way.\Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy! response:	It's like at a restaurant!
context: Thump Thump Thump\Thank you for the meal!\Thank you for the meal!\Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way.\Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant! response:	Really? You can have seconds, too!
context: Thank you for the meal!\Thank you for the meal!\Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way.\Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant!\Really? You can have seconds, too! response:	Yes! Thank you, Sis!
context: Thank you for the meal!\Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way.\Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant!\Really? You can have seconds, too!\Yes! Thank you, Sis! response:	Oh, that's right.
context: Thump Thump Thump Thump Thump Thump\He's eating it in such a delicious way.\Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant!\Really? You can have seconds, too!\Yes! Thank you, Sis!\Oh, that's right. response:	I wanted to ask Mr. Kiriyama something.
context: He's eating it in such a delicious way.\Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant!\Really? You can have seconds, too!\Yes! Thank you, Sis!\Oh, that's right.\I wanted to ask Mr. Kiriyama something. response:	- Kawamoto, can I borrow your VCR? - S-Sure.
context: Kawamoto, your curry is awesome!\The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant!\Really? You can have seconds, too!\Yes! Thank you, Sis!\Oh, that's right.\I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure. response:	57th NHK Cup (7)
context: The deep-fried chicken topping alone is great, but then hot spring egg, too? Pretty fancy!\It's like at a restaurant!\Really? You can have seconds, too!\Yes! Thank you, Sis!\Oh, that's right.\I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7) response:	Um... It's this...
context: It's like at a restaurant!\Really? You can have seconds, too!\Yes! Thank you, Sis!\Oh, that's right.\I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7)\Um... It's this... response:	Crisp
context: Really? You can have seconds, too!\Yes! Thank you, Sis!\Oh, that's right.\I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7)\Um... It's this...\Crisp response:	- That's the guy who came over last time! - B-Bodoro!
context: Yes! Thank you, Sis!\Oh, that's right.\I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7)\Um... It's this...\Crisp\- That's the guy who came over last time! - B-Bodoro! response:	Wh-Wh-Why?
context: Oh, that's right.\I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7)\Um... It's this...\Crisp\- That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why? response:	What? Nikaidou 4th-Dan has been here, too?
context: I wanted to ask Mr. Kiriyama something.\- Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7)\Um... It's this...\Crisp\- That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too? response:	Incredible!
context: - Kawamoto, can I borrow your VCR? - S-Sure.\57th NHK Cup (7)\Um... It's this...\Crisp\- That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too?\Incredible! response:	I-Incredible? He's a person on TV? He never said anything like that.
context: 57th NHK Cup (7)\Um... It's this...\Crisp\- That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too?\Incredible!\I-Incredible? He's a person on TV? He never said anything like that. response:	Oh, I see. He's your best friend, right, Mr. Kiriyama?
context: Um... It's this...\Crisp\- That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too?\Incredible!\I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama? response:	Best friend? H-How did it get to that?
context: Crisp\- That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too?\Incredible!\I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that? response:	You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.
context: - That's the guy who came over last time! - B-Bodoro!\Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too?\Incredible!\I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff. response:	Wait a second. If Nikaidou is commentating...
context: Wh-Wh-Why?\What? Nikaidou 4th-Dan has been here, too?\Incredible!\I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating... response:	Hey, why don't we save this video for next time?
context: What? Nikaidou 4th-Dan has been here, too?\Incredible!\I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time? response:	Black, 6-f-Gold General. White, 3-d-Bishop+.
context: Incredible!\I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+. response:	Black, 6-d-Dragon Horse.
context: I-Incredible? He's a person on TV? He never said anything like that.\Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse. response:	Kiriyama 5th-Dan, has seven minutes left.
context: Oh, I see. He's your best friend, right, Mr. Kiriyama?\Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left. response:	Um... Thank you for dinner.
context: Best friend? H-How did it get to that?\You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner. response:	R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?
context: You two are close, huh? Mr. Nikaidou often says that, in interviews and stuff.\Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right? response:	- Rei, no run away! - Momo, you're heavy...
context: Wait a second. If Nikaidou is commentating...\Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy... response:	Oh shoot.
context: Hey, why don't we save this video for next time?\Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy...\Oh shoot. response:	Crap. I didn't know Mr. Kiriyama was keeping it a secret.
context: Black, 6-f-Gold General. White, 3-d-Bishop+.\Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy...\Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret. response:	What's up, kid? Your secret's been disclosed?
context: Black, 6-d-Dragon Horse.\Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy...\Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed? response:	Hello. Thank you for letting me come over.
context: Kiriyama 5th-Dan, has seven minutes left.\Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy...\Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over. response:	Hey, Takahashi's kid. You've gotten big!
context: Um... Thank you for dinner.\R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy...\Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big! response:	How's your old man and granddad?
context: R-R-Rei! Why are you on TV? You said you're in a shogi club, at school, right?\- Rei, no run away! - Momo, you're heavy...\Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad? response:	They're both well, sir. They were playing shogi and fighting over it again last night.
context: - Rei, no run away! - Momo, you're heavy...\Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night. response:	So they wanted me to ask Kiriyama 5th-Dan a question.
context: Oh shoot.\Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question. response:	The NHK Cup?
context: Crap. I didn't know Mr. Kiriyama was keeping it a secret.\What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup? response:	Which part? I was watching it, too.
context: What's up, kid? Your secret's been disclosed?\Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup?\Which part? I was watching it, too. response:	Oh, it's right here.
context: Hello. Thank you for letting me come over.\Hey, Takahashi's kid. You've gotten big!\How's your old man and granddad?\They're both well, sir. They were playing shogi and fighting over it again last night.\So they wanted me to ask Kiriyama 5th-Dan a question.\The NHK Cup?\Which part? I was watching it, too.\Oh, it's right here. response:	Black, 4-b-Dragon Horse.
