context: Hey, Myoga... I hope you're not deceiving me. response:	Has this Inu-whatever really mastered the Tetsusaiga?
context: You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do?\At night, when everyone has settled down...\I will quietly steal it away.\Oh, no... I won't steal it!\Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga... response:	which enables one to slay a hundred demons in one sweep.
context: Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do?\At night, when everyone has settled down...\I will quietly steal it away.\Oh, no... I won't steal it!\Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep. response:	But this Totosai knows its secret.
context: Stop hedging. What are you going to do?\At night, when everyone has settled down...\I will quietly steal it away.\Oh, no... I won't steal it!\Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret. response:	I think you both need to get to know each other...
context: At night, when everyone has settled down...\I will quietly steal it away.\Oh, no... I won't steal it!\Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret.\I think you both need to get to know each other... response:	and you must cooperate to awaken the Tetsusaiga's true power.
context: I will quietly steal it away.\Oh, no... I won't steal it!\Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret.\I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power. response:	What mystery?!
context: Oh, no... I won't steal it!\Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret.\I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?! response:	I'll get the hang of it in time.
context: Master Inuyasha...\as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret.\I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?!\I'll get the hang of it in time. response:	You are collecting fragments of the Sacred Jewel.
context: as it is, you won't be able to master the mystery of the Tetsusaiga...\which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret.\I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?!\I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel. response:	Some time has passed since the fragments were scattered.
context: which enables one to slay a hundred demons in one sweep.\But this Totosai knows its secret.\I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?!\I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered. response:	There may even be a demon who already possesses...
context: But this Totosai knows its secret.\I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?!\I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered.\There may even be a demon who already possesses... response:	two or three fragments.
context: I think you both need to get to know each other...\and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?!\I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered.\There may even be a demon who already possesses...\two or three fragments. response:	In order to destroy a demon whose strength is enhanced...
context: and you must cooperate to awaken the Tetsusaiga's true power.\What mystery?!\I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered.\There may even be a demon who already possesses...\two or three fragments.\In order to destroy a demon whose strength is enhanced... response:	don't you want the Tetsusaiga to be awakened to its true potential?
context: What mystery?!\I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered.\There may even be a demon who already possesses...\two or three fragments.\In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential? response:	Inuyasha, he has a point.
context: I'll get the hang of it in time.\You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered.\There may even be a demon who already possesses...\two or three fragments.\In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point. response:	I think you should listen to him.
context: You are collecting fragments of the Sacred Jewel.\Some time has passed since the fragments were scattered.\There may even be a demon who already possesses...\two or three fragments.\In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point.\I think you should listen to him. response:	Awright!
context: Some time has passed since the fragments were scattered.\There may even be a demon who already possesses...\two or three fragments.\In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point.\I think you should listen to him.\Awright! response:	So what'm I supposed to do, Totosai?
context: There may even be a demon who already possesses...\two or three fragments.\In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point.\I think you should listen to him.\Awright!\So what'm I supposed to do, Totosai? response:	Someone seeks my life!
context: two or three fragments.\In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point.\I think you should listen to him.\Awright!\So what'm I supposed to do, Totosai?\Someone seeks my life! response:	Huh?!
context: In order to destroy a demon whose strength is enhanced...\don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point.\I think you should listen to him.\Awright!\So what'm I supposed to do, Totosai?\Someone seeks my life!\Huh?! response:	There is a fool who has ordered me to forge a sword...
context: don't you want the Tetsusaiga to be awakened to its true potential?\Inuyasha, he has a point.\I think you should listen to him.\Awright!\So what'm I supposed to do, Totosai?\Someone seeks my life!\Huh?!\There is a fool who has ordered me to forge a sword... response:	to rival the power of the Tetsusaiga... else he will kill me.
context: Inuyasha, he has a point.\I think you should listen to him.\Awright!\So what'm I supposed to do, Totosai?\Someone seeks my life!\Huh?!\There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me. response:	Show me that you can protect me from him.
context: I think you should listen to him.\Awright!\So what'm I supposed to do, Totosai?\Someone seeks my life!\Huh?!\There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him. response:	Why don't you say please?!
context: Awright!\So what'm I supposed to do, Totosai?\Someone seeks my life!\Huh?!\There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him.\Why don't you say please?! response:	I never heard of that! Describe this person.
context: So what'm I supposed to do, Totosai?\Someone seeks my life!\Huh?!\There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him.\Why don't you say please?!\I never heard of that! Describe this person. response:	He has white hair and wears furry, warm-Iooking clothing.
context: Someone seeks my life!\Huh?!\There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him.\Why don't you say please?!\I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing. response:	What?! Another old geezer?
context: Huh?!\There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him.\Why don't you say please?!\I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer? response:	Wrong!
context: There is a fool who has ordered me to forge a sword...\to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him.\Why don't you say please?!\I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer?\Wrong! response:	Wait a minute... If he's dressed like that... and not old... and...
context: to rival the power of the Tetsusaiga... else he will kill me.\Show me that you can protect me from him.\Why don't you say please?!\I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer?\Wrong!\Wait a minute... If he's dressed like that... and not old... and... response:	he wants a sword stronger than the Tetsusaiga...
context: Show me that you can protect me from him.\Why don't you say please?!\I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer?\Wrong!\Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga... response:	Could he be?!
context: Why don't you say please?!\I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer?\Wrong!\Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga...\Could he be?! response:	He's here!
context: I never heard of that! Describe this person.\He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer?\Wrong!\Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga...\Could he be?!\He's here! response:	Huh?
context: He has white hair and wears furry, warm-Iooking clothing.\What?! Another old geezer?\Wrong!\Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga...\Could he be?!\He's here!\Huh? response:	Sesshomaru!
context: What?! Another old geezer?\Wrong!\Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga...\Could he be?!\He's here!\Huh?\Sesshomaru! response:	Who is he?
context: Wrong!\Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga...\Could he be?!\He's here!\Huh?\Sesshomaru!\Who is he? response:	Inuyasha's older brother.
context: Wait a minute... If he's dressed like that... and not old... and...\he wants a sword stronger than the Tetsusaiga...\Could he be?!\He's here!\Huh?\Sesshomaru!\Who is he?\Inuyasha's older brother. response:	So he is the one who's after you!
context: he wants a sword stronger than the Tetsusaiga...\Could he be?!\He's here!\Huh?\Sesshomaru!\Who is he?\Inuyasha's older brother.\So he is the one who's after you! response:	Exactly! It's that Sesshomaru!
context: Could he be?!\He's here!\Huh?\Sesshomaru!\Who is he?\Inuyasha's older brother.\So he is the one who's after you!\Exactly! It's that Sesshomaru! response:	Inuyasha... why do you plot with Totosai?
context: He's here!\Huh?\Sesshomaru!\Who is he?\Inuyasha's older brother.\So he is the one who's after you!\Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai? response:	Isn't it obvious? To punish you!
context: Huh?\Sesshomaru!\Who is he?\Inuyasha's older brother.\So he is the one who's after you!\Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you! response:	Oh, Totosai... I see you are rushing headlong into death.
context: Sesshomaru!\Who is he?\Inuyasha's older brother.\So he is the one who's after you!\Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death. response:	Oh no... I just thought...
context: Who is he?\Inuyasha's older brother.\So he is the one who's after you!\Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought... response:	after you beat Inuyasha, maybe I can make you a new sword...
context: Inuyasha's older brother.\So he is the one who's after you!\Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword... response:	- What? - Just a thought...
context: So he is the one who's after you!\Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought... response:	Hey! What you said earlier is the exact opposite!
context: Exactly! It's that Sesshomaru!\Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought...\Hey! What you said earlier is the exact opposite! response:	Huh? Is that so?
context: Inuyasha... why do you plot with Totosai?\Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought...\Hey! What you said earlier is the exact opposite!\Huh? Is that so? response:	Totosai, do not forget what you just said.
context: Isn't it obvious? To punish you!\Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought...\Hey! What you said earlier is the exact opposite!\Huh? Is that so?\Totosai, do not forget what you just said. response:	You heard him, Inuyasha...
context: Oh, Totosai... I see you are rushing headlong into death.\Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought...\Hey! What you said earlier is the exact opposite!\Huh? Is that so?\Totosai, do not forget what you just said.\You heard him, Inuyasha... response:	You can die for the sake of my new sword.
context: Oh no... I just thought...\after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought...\Hey! What you said earlier is the exact opposite!\Huh? Is that so?\Totosai, do not forget what you just said.\You heard him, Inuyasha...\You can die for the sake of my new sword. response:	Kagome, hurry and get away!
context: after you beat Inuyasha, maybe I can make you a new sword...\- What? - Just a thought...\Hey! What you said earlier is the exact opposite!\Huh? Is that so?\Totosai, do not forget what you just said.\You heard him, Inuyasha...\You can die for the sake of my new sword.\Kagome, hurry and get away! response:	Uh-huh...
context: - What? - Just a thought...\Hey! What you said earlier is the exact opposite!\Huh? Is that so?\Totosai, do not forget what you just said.\You heard him, Inuyasha...\You can die for the sake of my new sword.\Kagome, hurry and get away!\Uh-huh... response:	I'll kill you instead!
context: Hey! What you said earlier is the exact opposite!\Huh? Is that so?\Totosai, do not forget what you just said.\You heard him, Inuyasha...\You can die for the sake of my new sword.\Kagome, hurry and get away!\Uh-huh...\I'll kill you instead! response:	They are both so hot-headed...
context: Huh? Is that so?\Totosai, do not forget what you just said.\You heard him, Inuyasha...\You can die for the sake of my new sword.\Kagome, hurry and get away!\Uh-huh...\I'll kill you instead!\They are both so hot-headed... response:	You're the one who instigated this!
context: Totosai, do not forget what you just said.\You heard him, Inuyasha...\You can die for the sake of my new sword.\Kagome, hurry and get away!\Uh-huh...\I'll kill you instead!\They are both so hot-headed...\You're the one who instigated this! response:	Oh... is that right?
context: You heard him, Inuyasha...\You can die for the sake of my new sword.\Kagome, hurry and get away!\Uh-huh...\I'll kill you instead!\They are both so hot-headed...\You're the one who instigated this!\Oh... is that right? response:	You!
context: You can die for the sake of my new sword.\Kagome, hurry and get away!\Uh-huh...\I'll kill you instead!\They are both so hot-headed...\You're the one who instigated this!\Oh... is that right?\You! response:	No wonder he's Old Myoga's friend! Acting so innocent!
context: Kagome, hurry and get away!\Uh-huh...\I'll kill you instead!\They are both so hot-headed...\You're the one who instigated this!\Oh... is that right?\You!\No wonder he's Old Myoga's friend! Acting so innocent! response:	Huh? Old Myoga...
context: Uh-huh...\I'll kill you instead!\They are both so hot-headed...\You're the one who instigated this!\Oh... is that right?\You!\No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga... response:	Where are you, Myoga?
context: I'll kill you instead!\They are both so hot-headed...\You're the one who instigated this!\Oh... is that right?\You!\No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga...\Where are you, Myoga? response:	Kagome, Old Myoga is on Miroku's shoulder.
context: They are both so hot-headed...\You're the one who instigated this!\Oh... is that right?\You!\No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga...\Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder. response:	Hurry here! It's dangerous over there!
context: You're the one who instigated this!\Oh... is that right?\You!\No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga...\Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there! response:	Oh no!
context: Oh... is that right?\You!\No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga...\Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there!\Oh no! response:	Hey, what're you doing?!
context: You!\No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga...\Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there!\Oh no!\Hey, what're you doing?! response:	How awful!
context: No wonder he's Old Myoga's friend! Acting so innocent!\Huh? Old Myoga...\Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there!\Oh no!\Hey, what're you doing?!\How awful! response:	Too slow.
context: Huh? Old Myoga...\Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there!\Oh no!\Hey, what're you doing?!\How awful!\Too slow. response:	Gotta be kidding! No good at all!
context: Where are you, Myoga?\Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there!\Oh no!\Hey, what're you doing?!\How awful!\Too slow.\Gotta be kidding! No good at all! response:	Hey, Myoga...
context: Kagome, Old Myoga is on Miroku's shoulder.\Hurry here! It's dangerous over there!\Oh no!\Hey, what're you doing?!\How awful!\Too slow.\Gotta be kidding! No good at all!\Hey, Myoga... response:	has Inuyasha really mastered the Tetsusaiga?
context: Hurry here! It's dangerous over there!\Oh no!\Hey, what're you doing?!\How awful!\Too slow.\Gotta be kidding! No good at all!\Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga? response:	Well, just once...
context: Oh no!\Hey, what're you doing?!\How awful!\Too slow.\Gotta be kidding! No good at all!\Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga?\Well, just once... response:	It's not a lie!
context: Hey, what're you doing?!\How awful!\Too slow.\Gotta be kidding! No good at all!\Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga?\Well, just once...\It's not a lie! response:	Besides, each time it's Inuyasha who ends up beating Sesshomaru!
context: How awful!\Too slow.\Gotta be kidding! No good at all!\Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga?\Well, just once...\It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru! response:	Miss, are you sure you haven't been dreaming?
context: Too slow.\Gotta be kidding! No good at all!\Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga?\Well, just once...\It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming? response:	I am not like you!
context: Gotta be kidding! No good at all!\Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga?\Well, just once...\It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming?\I am not like you! response:	Pardon me.
context: Hey, Myoga...\has Inuyasha really mastered the Tetsusaiga?\Well, just once...\It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming?\I am not like you!\Pardon me. response:	Totosai... do you not feel sad for the Tetsusaiga?
context: has Inuyasha really mastered the Tetsusaiga?\Well, just once...\It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming?\I am not like you!\Pardon me.\Totosai... do you not feel sad for the Tetsusaiga? response:	The famous sword is no better than a piece of log.
context: Well, just once...\It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming?\I am not like you!\Pardon me.\Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log. response:	All Inuyasha does is swing it around.
context: It's not a lie!\Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming?\I am not like you!\Pardon me.\Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log.\All Inuyasha does is swing it around. response:	Depending on its user, a sword can live or die.
context: Besides, each time it's Inuyasha who ends up beating Sesshomaru!\Miss, are you sure you haven't been dreaming?\I am not like you!\Pardon me.\Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log.\All Inuyasha does is swing it around.\Depending on its user, a sword can live or die. response:	A wise observation... my opinion precisely.
context: Miss, are you sure you haven't been dreaming?\I am not like you!\Pardon me.\Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log.\All Inuyasha does is swing it around.\Depending on its user, a sword can live or die.\A wise observation... my opinion precisely. response:	Don't agree!
context: I am not like you!\Pardon me.\Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log.\All Inuyasha does is swing it around.\Depending on its user, a sword can live or die.\A wise observation... my opinion precisely.\Don't agree! response:	Damn! You can cut your jokes.
context: Pardon me.\Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log.\All Inuyasha does is swing it around.\Depending on its user, a sword can live or die.\A wise observation... my opinion precisely.\Don't agree!\Damn! You can cut your jokes. response:	I'm only warming up!
context: Totosai... do you not feel sad for the Tetsusaiga?\The famous sword is no better than a piece of log.\All Inuyasha does is swing it around.\Depending on its user, a sword can live or die.\A wise observation... my opinion precisely.\Don't agree!\Damn! You can cut your jokes.\I'm only warming up! response:	Don't be shocked at my real power!
context: The famous sword is no better than a piece of log.\All Inuyasha does is swing it around.\Depending on its user, a sword can live or die.\A wise observation... my opinion precisely.\Don't agree!\Damn! You can cut your jokes.\I'm only warming up!\Don't be shocked at my real power! response:	Prepare yourself!
context: All Inuyasha does is swing it around.\Depending on its user, a sword can live or die.\A wise observation... my opinion precisely.\Don't agree!\Damn! You can cut your jokes.\I'm only warming up!\Don't be shocked at my real power!\Prepare yourself! response:	Oh no... the blood's rushed to his head...
context: Depending on its user, a sword can live or die.\A wise observation... my opinion precisely.\Don't agree!\Damn! You can cut your jokes.\I'm only warming up!\Don't be shocked at my real power!\Prepare yourself!\Oh no... the blood's rushed to his head... response:	This is bad.
context: A wise observation... my opinion precisely.\Don't agree!\Damn! You can cut your jokes.\I'm only warming up!\Don't be shocked at my real power!\Prepare yourself!\Oh no... the blood's rushed to his head...\This is bad. response:	Well, Totosai...
context: Don't agree!\Damn! You can cut your jokes.\I'm only warming up!\Don't be shocked at my real power!\Prepare yourself!\Oh no... the blood's rushed to his head...\This is bad.\Well, Totosai... response:	do you still refuse to make me a sword?
context: Damn! You can cut your jokes.\I'm only warming up!\Don't be shocked at my real power!\Prepare yourself!\Oh no... the blood's rushed to his head...\This is bad.\Well, Totosai...\do you still refuse to make me a sword? response:	No way!
context: I'm only warming up!\Don't be shocked at my real power!\Prepare yourself!\Oh no... the blood's rushed to his head...\This is bad.\Well, Totosai...\do you still refuse to make me a sword?\No way! response:	What're you doing, stupid?!
context: Don't be shocked at my real power!\Prepare yourself!\Oh no... the blood's rushed to his head...\This is bad.\Well, Totosai...\do you still refuse to make me a sword?\No way!\What're you doing, stupid?! response:	So you absolutely refuse?
context: Prepare yourself!\Oh no... the blood's rushed to his head...\This is bad.\Well, Totosai...\do you still refuse to make me a sword?\No way!\What're you doing, stupid?!\So you absolutely refuse? response:	Shut up!
context: Oh no... the blood's rushed to his head...\This is bad.\Well, Totosai...\do you still refuse to make me a sword?\No way!\What're you doing, stupid?!\So you absolutely refuse?\Shut up! response:	I have already made you a fine sword!
context: This is bad.\Well, Totosai...\do you still refuse to make me a sword?\No way!\What're you doing, stupid?!\So you absolutely refuse?\Shut up!\I have already made you a fine sword! response:	That famous sword at your hip: Tenseiga!
context: Well, Totosai...\do you still refuse to make me a sword?\No way!\What're you doing, stupid?!\So you absolutely refuse?\Shut up!\I have already made you a fine sword!\That famous sword at your hip: Tenseiga! response:	I, Totosai, made the sword from a fang given to me by your father!
context: do you still refuse to make me a sword?\No way!\What're you doing, stupid?!\So you absolutely refuse?\Shut up!\I have already made you a fine sword!\That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father! response:	The Tenseiga for the older brother...
context: No way!\What're you doing, stupid?!\So you absolutely refuse?\Shut up!\I have already made you a fine sword!\That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother... response:	the Tetsusaiga for the younger one...
context: What're you doing, stupid?!\So you absolutely refuse?\Shut up!\I have already made you a fine sword!\That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother...\the Tetsusaiga for the younger one... response:	that was your father's last will.
context: So you absolutely refuse?\Shut up!\I have already made you a fine sword!\That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother...\the Tetsusaiga for the younger one...\that was your father's last will. response:	It is a great sword of swords...
context: Shut up!\I have already made you a fine sword!\That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother...\the Tetsusaiga for the younger one...\that was your father's last will.\It is a great sword of swords... response:	no worse and no better than the Tetsusaiga!
context: I have already made you a fine sword!\That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother...\the Tetsusaiga for the younger one...\that was your father's last will.\It is a great sword of swords...\no worse and no better than the Tetsusaiga! response:	Why don't you learn to love it more!
context: That famous sword at your hip: Tenseiga!\I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother...\the Tetsusaiga for the younger one...\that was your father's last will.\It is a great sword of swords...\no worse and no better than the Tetsusaiga!\Why don't you learn to love it more! response:	So that old man also made Sesshomaru's sword!
context: I, Totosai, made the sword from a fang given to me by your father!\The Tenseiga for the older brother...\the Tetsusaiga for the younger one...\that was your father's last will.\It is a great sword of swords...\no worse and no better than the Tetsusaiga!\Why don't you learn to love it more!\So that old man also made Sesshomaru's sword! response:	However, in all the battles until now...
context: The Tenseiga for the older brother...\the Tetsusaiga for the younger one...\that was your father's last will.\It is a great sword of swords...\no worse and no better than the Tetsusaiga!\Why don't you learn to love it more!\So that old man also made Sesshomaru's sword!\However, in all the battles until now... response:	I've never seen Sesshomaru unsheathe that sword.
context: the Tetsusaiga for the younger one...\that was your father's last will.\It is a great sword of swords...\no worse and no better than the Tetsusaiga!\Why don't you learn to love it more!\So that old man also made Sesshomaru's sword!\However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword. response:	You're right...
context: that was your father's last will.\It is a great sword of swords...\no worse and no better than the Tetsusaiga!\Why don't you learn to love it more!\So that old man also made Sesshomaru's sword!\However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword.\You're right... response:	You dare imply that this stupid, useless sword...
context: It is a great sword of swords...\no worse and no better than the Tetsusaiga!\Why don't you learn to love it more!\So that old man also made Sesshomaru's sword!\However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword.\You're right...\You dare imply that this stupid, useless sword... response:	is worthy of me?!
context: no worse and no better than the Tetsusaiga!\Why don't you learn to love it more!\So that old man also made Sesshomaru's sword!\However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword.\You're right...\You dare imply that this stupid, useless sword...\is worthy of me?! response:	Oh! He's angry! He's angry!
context: Why don't you learn to love it more!\So that old man also made Sesshomaru's sword!\However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword.\You're right...\You dare imply that this stupid, useless sword...\is worthy of me?!\Oh! He's angry! He's angry! response:	I guess I'll take my leave!
context: So that old man also made Sesshomaru's sword!\However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword.\You're right...\You dare imply that this stupid, useless sword...\is worthy of me?!\Oh! He's angry! He's angry!\I guess I'll take my leave! response:	They've escaped.
context: However, in all the battles until now...\I've never seen Sesshomaru unsheathe that sword.\You're right...\You dare imply that this stupid, useless sword...\is worthy of me?!\Oh! He's angry! He's angry!\I guess I'll take my leave!\They've escaped. response:	Wow! You're so strong!
context: I've never seen Sesshomaru unsheathe that sword.\You're right...\You dare imply that this stupid, useless sword...\is worthy of me?!\Oh! He's angry! He's angry!\I guess I'll take my leave!\They've escaped.\Wow! You're so strong! response:	I'll say.
context: You're right...\You dare imply that this stupid, useless sword...\is worthy of me?!\Oh! He's angry! He's angry!\I guess I'll take my leave!\They've escaped.\Wow! You're so strong!\I'll say. response:	Why bother to have Inuyasha to protect you...
