context: Interviews with Monster Girls response:	Thank you for taking the time to visit.
context: Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner?\What? Wow, really?\I'd appreciate that.\You two.\Sensei is having dinner with us.\What do you want to eat?\Liver and onions! response:	Liver and on
context: If you don't have plans after this, would you care to stay for dinner?\What? Wow, really?\I'd appreciate that.\You two.\Sensei is having dinner with us.\What do you want to eat?\Liver and onions!\Liver and on response:	I can understand your liking liver and onions, but...
context: What? Wow, really?\I'd appreciate that.\You two.\Sensei is having dinner with us.\What do you want to eat?\Liver and onions!\Liver and on\I can understand your liking liver and onions, but... response:	That's right!
context: I'd appreciate that.\You two.\Sensei is having dinner with us.\What do you want to eat?\Liver and onions!\Liver and on\I can understand your liking liver and onions, but...\That's right! response:	Maybe Himari's short on blood because she's always so angry?
context: You two.\Sensei is having dinner with us.\What do you want to eat?\Liver and onions!\Liver and on\I can understand your liking liver and onions, but...\That's right!\Maybe Himari's short on blood because she's always so angry? response:	Say something to her, Sensei.
context: Sensei is having dinner with us.\What do you want to eat?\Liver and onions!\Liver and on\I can understand your liking liver and onions, but...\That's right!\Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei. response:	Can't fight what's in your blood, huh?
context: What do you want to eat?\Liver and onions!\Liver and on\I can understand your liking liver and onions, but...\That's right!\Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei.\Can't fight what's in your blood, huh? response:	Sensei, not you, too!
context: Liver and onions!\Liver and on\I can understand your liking liver and onions, but...\That's right!\Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei.\Can't fight what's in your blood, huh?\Sensei, not you, too! response:	Come on, Sensei... Make a good face.
context: Liver and on\I can understand your liking liver and onions, but...\That's right!\Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei.\Can't fight what's in your blood, huh?\Sensei, not you, too!\Come on, Sensei... Make a good face. response:	You just took a picture earlier.
context: I can understand your liking liver and onions, but...\That's right!\Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei.\Can't fight what's in your blood, huh?\Sensei, not you, too!\Come on, Sensei... Make a good face.\You just took a picture earlier. response:	But not one with us together!
context: That's right!\Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei.\Can't fight what's in your blood, huh?\Sensei, not you, too!\Come on, Sensei... Make a good face.\You just took a picture earlier.\But not one with us together! response:	I've gotta send it to Macchi and Yukki.
context: Maybe Himari's short on blood because she's always so angry?\Say something to her, Sensei.\Can't fight what's in your blood, huh?\Sensei, not you, too!\Come on, Sensei... Make a good face.\You just took a picture earlier.\But not one with us together!\I've gotta send it to Macchi and Yukki. response:	Onee-chan, you could at least settle down a little while Sensei's here.
context: Say something to her, Sensei.\Can't fight what's in your blood, huh?\Sensei, not you, too!\Come on, Sensei... Make a good face.\You just took a picture earlier.\But not one with us together!\I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here. response:	Oh, you want in the picture, too?
context: Can't fight what's in your blood, huh?\Sensei, not you, too!\Come on, Sensei... Make a good face.\You just took a picture earlier.\But not one with us together!\I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too? response:	Wha? I never said that!
context: Sensei, not you, too!\Come on, Sensei... Make a good face.\You just took a picture earlier.\But not one with us together!\I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too?\Wha? I never said that! response:	I'm home.
context: Come on, Sensei... Make a good face.\You just took a picture earlier.\But not one with us together!\I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too?\Wha? I never said that!\I'm home. response:	It sounds awfully loud in here... Oh!
context: You just took a picture earlier.\But not one with us together!\I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too?\Wha? I never said that!\I'm home.\It sounds awfully loud in here... Oh! response:	Ah, pardon my intrusion.
context: But not one with us together!\I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too?\Wha? I never said that!\I'm home.\It sounds awfully loud in here... Oh!\Ah, pardon my intrusion. response:	This is Sensei!
context: I've gotta send it to Macchi and Yukki.\Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too?\Wha? I never said that!\I'm home.\It sounds awfully loud in here... Oh!\Ah, pardon my intrusion.\This is Sensei! response:	Hello. I'm Takahashi.
context: Onee-chan, you could at least settle down a little while Sensei's here.\Oh, you want in the picture, too?\Wha? I never said that!\I'm home.\It sounds awfully loud in here... Oh!\Ah, pardon my intrusion.\This is Sensei!\Hello. I'm Takahashi. response:	Oh, my daughters always talk about you!
context: Oh, you want in the picture, too?\Wha? I never said that!\I'm home.\It sounds awfully loud in here... Oh!\Ah, pardon my intrusion.\This is Sensei!\Hello. I'm Takahashi.\Oh, my daughters always talk about you! response:	It sounds like you've done a great deal for Hikari.
context: Wha? I never said that!\I'm home.\It sounds awfully loud in here... Oh!\Ah, pardon my intrusion.\This is Sensei!\Hello. I'm Takahashi.\Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari. response:	Oh, not at all.
context: I'm home.\It sounds awfully loud in here... Oh!\Ah, pardon my intrusion.\This is Sensei!\Hello. I'm Takahashi.\Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari.\Oh, not at all. response:	Dinner's ready.
context: It sounds awfully loud in here... Oh!\Ah, pardon my intrusion.\This is Sensei!\Hello. I'm Takahashi.\Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari.\Oh, not at all.\Dinner's ready. response:	Thanks for dinner!
context: Ah, pardon my intrusion.\This is Sensei!\Hello. I'm Takahashi.\Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari.\Oh, not at all.\Dinner's ready.\Thanks for dinner! response:	Onee-chan!
context: This is Sensei!\Hello. I'm Takahashi.\Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari.\Oh, not at all.\Dinner's ready.\Thanks for dinner!\Onee-chan! response:	You ate the ice cream I was saving, didn't you?
context: Hello. I'm Takahashi.\Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari.\Oh, not at all.\Dinner's ready.\Thanks for dinner!\Onee-chan!\You ate the ice cream I was saving, didn't you? response:	Sorry! I ate it by mistake yesterday.
context: Oh, my daughters always talk about you!\It sounds like you've done a great deal for Hikari.\Oh, not at all.\Dinner's ready.\Thanks for dinner!\Onee-chan!\You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday. response:	How do you do that by mistake?
context: It sounds like you've done a great deal for Hikari.\Oh, not at all.\Dinner's ready.\Thanks for dinner!\Onee-chan!\You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday.\How do you do that by mistake? response:	I thought maybe I'd bought it...
context: Oh, not at all.\Dinner's ready.\Thanks for dinner!\Onee-chan!\You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday.\How do you do that by mistake?\I thought maybe I'd bought it... response:	You know that'd never actually happen!
context: Dinner's ready.\Thanks for dinner!\Onee-chan!\You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday.\How do you do that by mistake?\I thought maybe I'd bought it...\You know that'd never actually happen! response:	It's true!
context: Thanks for dinner!\Onee-chan!\You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday.\How do you do that by mistake?\I thought maybe I'd bought it...\You know that'd never actually happen!\It's true! response:	You said that the last time you ate it!
context: Onee-chan!\You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday.\How do you do that by mistake?\I thought maybe I'd bought it...\You know that'd never actually happen!\It's true!\You said that the last time you ate it! response:	Honestly, they're always like this.
context: You ate the ice cream I was saving, didn't you?\Sorry! I ate it by mistake yesterday.\How do you do that by mistake?\I thought maybe I'd bought it...\You know that'd never actually happen!\It's true!\You said that the last time you ate it!\Honestly, they're always like this. response:	Ever since she was born, Hikari's hair has been so bright, it seems to glow.
context: Sorry! I ate it by mistake yesterday.\How do you do that by mistake?\I thought maybe I'd bought it...\You know that'd never actually happen!\It's true!\You said that the last time you ate it!\Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow. response:	Oh, that's why you named her Hikari?
context: How do you do that by mistake?\I thought maybe I'd bought it...\You know that'd never actually happen!\It's true!\You said that the last time you ate it!\Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari? response:	As for Himari,
context: I thought maybe I'd bought it...\You know that'd never actually happen!\It's true!\You said that the last time you ate it!\Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari?\As for Himari, response:	we wanted to give her a name similar to Hikari.
context: You know that'd never actually happen!\It's true!\You said that the last time you ate it!\Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari?\As for Himari,\we wanted to give her a name similar to Hikari. response:	Hmm...
context: It's true!\You said that the last time you ate it!\Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari?\As for Himari,\we wanted to give her a name similar to Hikari.\Hmm... response:	I'm pretty sure there's still one left in my fridge.
context: You said that the last time you ate it!\Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari?\As for Himari,\we wanted to give her a name similar to Hikari.\Hmm...\I'm pretty sure there's still one left in my fridge. response:	If you have your own, don't eat mine.
context: Honestly, they're always like this.\Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari?\As for Himari,\we wanted to give her a name similar to Hikari.\Hmm...\I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine. response:	I told you, it was a mistake!
context: Ever since she was born, Hikari's hair has been so bright, it seems to glow.\Oh, that's why you named her Hikari?\As for Himari,\we wanted to give her a name similar to Hikari.\Hmm...\I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine.\I told you, it was a mistake! response:	She may be a vampire, but she isn't that different from other girls.
context: Oh, that's why you named her Hikari?\As for Himari,\we wanted to give her a name similar to Hikari.\Hmm...\I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine.\I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls. response:	At least, I used to say that to make light of the situation...
context: As for Himari,\we wanted to give her a name similar to Hikari.\Hmm...\I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine.\I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation... response:	Of course, I'd be lying if I said I never felt troubled by it.
context: we wanted to give her a name similar to Hikari.\Hmm...\I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine.\I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it. response:	If we face it together,
context: Hmm...\I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine.\I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it.\If we face it together, response:	we can think of it as part of what makes her unique.
context: I'm pretty sure there's still one left in my fridge.\If you have your own, don't eat mine.\I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it.\If we face it together,\we can think of it as part of what makes her unique. response:	Even besides being a demi,
context: If you have your own, don't eat mine.\I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it.\If we face it together,\we can think of it as part of what makes her unique.\Even besides being a demi, response:	no two people are the same, are they?
context: I told you, it was a mistake!\She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it.\If we face it together,\we can think of it as part of what makes her unique.\Even besides being a demi,\no two people are the same, are they? response:	Right.
context: She may be a vampire, but she isn't that different from other girls.\At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it.\If we face it together,\we can think of it as part of what makes her unique.\Even besides being a demi,\no two people are the same, are they?\Right. response:	Hikari-san and Himari-san may look similar,
context: At least, I used to say that to make light of the situation...\Of course, I'd be lying if I said I never felt troubled by it.\If we face it together,\we can think of it as part of what makes her unique.\Even besides being a demi,\no two people are the same, are they?\Right.\Hikari-san and Himari-san may look similar, response:	but see how different they are.
context: Of course, I'd be lying if I said I never felt troubled by it.\If we face it together,\we can think of it as part of what makes her unique.\Even besides being a demi,\no two people are the same, are they?\Right.\Hikari-san and Himari-san may look similar,\but see how different they are. response:	I really can't believe you.
context: If we face it together,\we can think of it as part of what makes her unique.\Even besides being a demi,\no two people are the same, are they?\Right.\Hikari-san and Himari-san may look similar,\but see how different they are.\I really can't believe you. response:	How could you forget you ate it?
context: we can think of it as part of what makes her unique.\Even besides being a demi,\no two people are the same, are they?\Right.\Hikari-san and Himari-san may look similar,\but see how different they are.\I really can't believe you.\How could you forget you ate it? response:	Sorry. I'll go buy a new one.
context: Even besides being a demi,\no two people are the same, are they?\Right.\Hikari-san and Himari-san may look similar,\but see how different they are.\I really can't believe you.\How could you forget you ate it?\Sorry. I'll go buy a new one. response:	Sure, sure. Fine.
context: no two people are the same, are they?\Right.\Hikari-san and Himari-san may look similar,\but see how different they are.\I really can't believe you.\How could you forget you ate it?\Sorry. I'll go buy a new one.\Sure, sure. Fine. response:	So on that note, we're going to buy ice cream at the convenience store.
context: Right.\Hikari-san and Himari-san may look similar,\but see how different they are.\I really can't believe you.\How could you forget you ate it?\Sorry. I'll go buy a new one.\Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store. response:	We?
context: Hikari-san and Himari-san may look similar,\but see how different they are.\I really can't believe you.\How could you forget you ate it?\Sorry. I'll go buy a new one.\Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store.\We? response:	I'd be worried, letting my precious little sister go alone at this hour!
context: but see how different they are.\I really can't believe you.\How could you forget you ate it?\Sorry. I'll go buy a new one.\Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store.\We?\I'd be worried, letting my precious little sister go alone at this hour! response:	Why do you assume I'd be the one to go?
context: I really can't believe you.\How could you forget you ate it?\Sorry. I'll go buy a new one.\Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store.\We?\I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go? response:	Go by yourself.
context: How could you forget you ate it?\Sorry. I'll go buy a new one.\Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store.\We?\I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go?\Go by yourself. response:	Okay, Hikari, you can go with me.
context: Sorry. I'll go buy a new one.\Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store.\We?\I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go?\Go by yourself.\Okay, Hikari, you can go with me. response:	And you don't have to spoil her like that, Dad!
context: Sure, sure. Fine.\So on that note, we're going to buy ice cream at the convenience store.\We?\I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go?\Go by yourself.\Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad! response:	She always goes alone to buy sweets at night!
context: So on that note, we're going to buy ice cream at the convenience store.\We?\I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go?\Go by yourself.\Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night! response:	I'll go. There's something I forgot to buy.
context: We?\I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go?\Go by yourself.\Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy. response:	Really, Mom?
context: I'd be worried, letting my precious little sister go alone at this hour!\Why do you assume I'd be the one to go?\Go by yourself.\Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy.\Really, Mom? response:	All right, then I'll just
context: Why do you assume I'd be the one to go?\Go by yourself.\Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy.\Really, Mom?\All right, then I'll just response:	Oh, Sensei, I'm sorry!
context: Go by yourself.\Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy.\Really, Mom?\All right, then I'll just\Oh, Sensei, I'm sorry! response:	We're stepping out for a bit, but the store is nearby.
context: Okay, Hikari, you can go with me.\And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy.\Really, Mom?\All right, then I'll just\Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby. response:	We won't be long,
context: And you don't have to spoil her like that, Dad!\She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy.\Really, Mom?\All right, then I'll just\Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby.\We won't be long, response:	so you'll have to excuse us for just a few minutes.
context: She always goes alone to buy sweets at night!\I'll go. There's something I forgot to buy.\Really, Mom?\All right, then I'll just\Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby.\We won't be long,\so you'll have to excuse us for just a few minutes. response:	S-Sure...
context: I'll go. There's something I forgot to buy.\Really, Mom?\All right, then I'll just\Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby.\We won't be long,\so you'll have to excuse us for just a few minutes.\S-Sure... response:	Himari!
context: Really, Mom?\All right, then I'll just\Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby.\We won't be long,\so you'll have to excuse us for just a few minutes.\S-Sure...\Himari! response:	Keep Sensei company.
context: All right, then I'll just\Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby.\We won't be long,\so you'll have to excuse us for just a few minutes.\S-Sure...\Himari!\Keep Sensei company. response:	Okay, let's go.
context: Oh, Sensei, I'm sorry!\We're stepping out for a bit, but the store is nearby.\We won't be long,\so you'll have to excuse us for just a few minutes.\S-Sure...\Himari!\Keep Sensei company.\Okay, let's go. response:	Fine.
context: We're stepping out for a bit, but the store is nearby.\We won't be long,\so you'll have to excuse us for just a few minutes.\S-Sure...\Himari!\Keep Sensei company.\Okay, let's go.\Fine. response:	Let's go!
context: We won't be long,\so you'll have to excuse us for just a few minutes.\S-Sure...\Himari!\Keep Sensei company.\Okay, let's go.\Fine.\Let's go! response:	See you in a few!
context: so you'll have to excuse us for just a few minutes.\S-Sure...\Himari!\Keep Sensei company.\Okay, let's go.\Fine.\Let's go!\See you in a few! response:	Sensei, I'll buy one for you, too.
context: S-Sure...\Himari!\Keep Sensei company.\Okay, let's go.\Fine.\Let's go!\See you in a few!\Sensei, I'll buy one for you, too. response:	I let the timing slip by.
context: Himari!\Keep Sensei company.\Okay, let's go.\Fine.\Let's go!\See you in a few!\Sensei, I'll buy one for you, too.\I let the timing slip by. response:	Everyone's so soft on her.
context: Keep Sensei company.\Okay, let's go.\Fine.\Let's go!\See you in a few!\Sensei, I'll buy one for you, too.\I let the timing slip by.\Everyone's so soft on her. response:	You two really are close, huh?
context: Okay, let's go.\Fine.\Let's go!\See you in a few!\Sensei, I'll buy one for you, too.\I let the timing slip by.\Everyone's so soft on her.\You two really are close, huh? response:	What makes you say that?
context: Fine.\Let's go!\See you in a few!\Sensei, I'll buy one for you, too.\I let the timing slip by.\Everyone's so soft on her.\You two really are close, huh?\What makes you say that? response:	Your dad's hair is really light in color.
context: Let's go!\See you in a few!\Sensei, I'll buy one for you, too.\I let the timing slip by.\Everyone's so soft on her.\You two really are close, huh?\What makes you say that?\Your dad's hair is really light in color. response:	Does he...
context: See you in a few!\Sensei, I'll buy one for you, too.\I let the timing slip by.\Everyone's so soft on her.\You two really are close, huh?\What makes you say that?\Your dad's hair is really light in color.\Does he... response:	Yes, so that Onee-chan won't be too conspicuous within our family.
context: Sensei, I'll buy one for you, too.\I let the timing slip by.\Everyone's so soft on her.\You two really are close, huh?\What makes you say that?\Your dad's hair is really light in color.\Does he...\Yes, so that Onee-chan won't be too conspicuous within our family. response:	Yeah? That's really nice.
context: I let the timing slip by.\Everyone's so soft on her.\You two really are close, huh?\What makes you say that?\Your dad's hair is really light in color.\Does he...\Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice. response:	Actually, it looks like you've lightened your hair a little, too.
context: Everyone's so soft on her.\You two really are close, huh?\What makes you say that?\Your dad's hair is really light in color.\Does he...\Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too. response:	N-No! Th-This is just... for fashion.
context: You two really are close, huh?\What makes you say that?\Your dad's hair is really light in color.\Does he...\Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion. response:	They really are close.
context: What makes you say that?\Your dad's hair is really light in color.\Does he...\Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion.\They really are close. response:	Hey, Mom, what did you forget to buy?
context: Your dad's hair is really light in color.\Does he...\Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion.\They really are close.\Hey, Mom, what did you forget to buy? response:	Beer.
context: Does he...\Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion.\They really are close.\Hey, Mom, what did you forget to buy?\Beer. response:	Sensei looks like a drinker, doesn't he?
context: Yes, so that Onee-chan won't be too conspicuous within our family.\Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion.\They really are close.\Hey, Mom, what did you forget to buy?\Beer.\Sensei looks like a drinker, doesn't he? response:	Interviews with Monster Girls
context: Yeah? That's really nice.\Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion.\They really are close.\Hey, Mom, what did you forget to buy?\Beer.\Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls response:	Takanashi
context: Actually, it looks like you've lightened your hair a little, too.\N-No! Th-This is just... for fashion.\They really are close.\Hey, Mom, what did you forget to buy?\Beer.\Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls\Takanashi response:	I'm going now
context: N-No! Th-This is just... for fashion.\They really are close.\Hey, Mom, what did you forget to buy?\Beer.\Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls\Takanashi\I'm going now response:	Himari!
context: They really are close.\Hey, Mom, what did you forget to buy?\Beer.\Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls\Takanashi\I'm going now\Himari! response:	Wait a second!
context: Hey, Mom, what did you forget to buy?\Beer.\Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls\Takanashi\I'm going now\Himari!\Wait a second! response:	First, help me with my hair!
context: Beer.\Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls\Takanashi\I'm going now\Himari!\Wait a second!\First, help me with my hair! response:	No!
context: Sensei looks like a drinker, doesn't he?\Interviews with Monster Girls\Takanashi\I'm going now\Himari!\Wait a second!\First, help me with my hair!\No! response:	And that's how I forced my sister to become more independent.
context: Interviews with Monster Girls\Takanashi\I'm going now\Himari!\Wait a second!\First, help me with my hair!\No!\And that's how I forced my sister to become more independent. response:	You're so harsh, Himari-chan...
context: Takanashi\I'm going now\Himari!\Wait a second!\First, help me with my hair!\No!\And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan... response:	I can just picture Hikari's face when you said that to her.
context: I'm going now\Himari!\Wait a second!\First, help me with my hair!\No!\And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her. response:	She's just too negligent.
context: Himari!\Wait a second!\First, help me with my hair!\No!\And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her.\She's just too negligent. response:	She's in high school now.
context: Wait a second!\First, help me with my hair!\No!\And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her.\She's just too negligent.\She's in high school now. response:	She has to get it together.
context: First, help me with my hair!\No!\And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her.\She's just too negligent.\She's in high school now.\She has to get it together. response:	Not long ago...
context: No!\And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her.\She's just too negligent.\She's in high school now.\She has to get it together.\Not long ago... response:	She went to the bathroom at night, and then fell asleep there.
context: And that's how I forced my sister to become more independent.\You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her.\She's just too negligent.\She's in high school now.\She has to get it together.\Not long ago...\She went to the bathroom at night, and then fell asleep there. response:	Huh?
context: You're so harsh, Himari-chan...\I can just picture Hikari's face when you said that to her.\She's just too negligent.\She's in high school now.\She has to get it together.\Not long ago...\She went to the bathroom at night, and then fell asleep there.\Huh? response:	Oh, but don't you think being a vampire had something to do with that?
context: I can just picture Hikari's face when you said that to her.\She's just too negligent.\She's in high school now.\She has to get it together.\Not long ago...\She went to the bathroom at night, and then fell asleep there.\Huh?\Oh, but don't you think being a vampire had something to do with that? response:	Vampires can get by in the middle of the night, without any light.
context: She's just too negligent.\She's in high school now.\She has to get it together.\Not long ago...\She went to the bathroom at night, and then fell asleep there.\Huh?\Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light. response:	In fact...
context: She's in high school now.\She has to get it together.\Not long ago...\She went to the bathroom at night, and then fell asleep there.\Huh?\Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light.\In fact... response:	Yeah, when she uses the bathroom at night,
context: She has to get it together.\Not long ago...\She went to the bathroom at night, and then fell asleep there.\Huh?\Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light.\In fact...\Yeah, when she uses the bathroom at night, response:	the light's too bright for her.
context: Not long ago...\She went to the bathroom at night, and then fell asleep there.\Huh?\Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light.\In fact...\Yeah, when she uses the bathroom at night,\the light's too bright for her. response:	For anyone else, that would make it a lot easier to fall asleep.
context: She went to the bathroom at night, and then fell asleep there.\Huh?\Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light.\In fact...\Yeah, when she uses the bathroom at night,\the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep. response:	Even considering that, I think her negligence comes out on top.
context: Huh?\Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light.\In fact...\Yeah, when she uses the bathroom at night,\the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top. response:	And what you said a minute ago, about her hairstyle...
context: Oh, but don't you think being a vampire had something to do with that?\Vampires can get by in the middle of the night, without any light.\In fact...\Yeah, when she uses the bathroom at night,\the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle... response:	That might have something to do with her vampire nature, too.
context: Vampires can get by in the middle of the night, without any light.\In fact...\Yeah, when she uses the bathroom at night,\the light's too bright for her.\For anyone else, that would make it a lot easier to fall asleep.\Even considering that, I think her negligence comes out on top.\And what you said a minute ago, about her hairstyle...\That might have something to do with her vampire nature, too. response:	Huh?
