context: By joining our revolt, Princess, you will strengthen our solidarity. response:	There will be a victory prayer service today at the new Royal Cathedral.
context: Miss Ange is back?\Yup. She just got here.\Where have you been?!\We've been ready and waiting for ages!\Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar!\You can forgive a little white lie. response:	Besides, if you had been open with me from the start,
context: Yup. She just got here.\Where have you been?!\We've been ready and waiting for ages!\Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar!\You can forgive a little white lie.\Besides, if you had been open with me from the start, response:	this would've gone a little more smoothly.
context: Where have you been?!\We've been ready and waiting for ages!\Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar!\You can forgive a little white lie.\Besides, if you had been open with me from the start,\this would've gone a little more smoothly. response:	I'm sorry.
context: We've been ready and waiting for ages!\Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar!\You can forgive a little white lie.\Besides, if you had been open with me from the start,\this would've gone a little more smoothly.\I'm sorry. response:	Come on, you two!
context: Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar!\You can forgive a little white lie.\Besides, if you had been open with me from the start,\this would've gone a little more smoothly.\I'm sorry.\Come on, you two! response:	Never mind that!
context: Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar!\You can forgive a little white lie.\Besides, if you had been open with me from the start,\this would've gone a little more smoothly.\I'm sorry.\Come on, you two!\Never mind that! response:	If we don't hurry, Her Highness will...!
context: Liar!\You can forgive a little white lie.\Besides, if you had been open with me from the start,\this would've gone a little more smoothly.\I'm sorry.\Come on, you two!\Never mind that!\If we don't hurry, Her Highness will...! response:	Stop!
context: You can forgive a little white lie.\Besides, if you had been open with me from the start,\this would've gone a little more smoothly.\I'm sorry.\Come on, you two!\Never mind that!\If we don't hurry, Her Highness will...!\Stop! response:	The service starts at 1900 hours.
context: Besides, if you had been open with me from the start,\this would've gone a little more smoothly.\I'm sorry.\Come on, you two!\Never mind that!\If we don't hurry, Her Highness will...!\Stop!\The service starts at 1900 hours. response:	If we take normal roads, we'll be late.
context: this would've gone a little more smoothly.\I'm sorry.\Come on, you two!\Never mind that!\If we don't hurry, Her Highness will...!\Stop!\The service starts at 1900 hours.\If we take normal roads, we'll be late. response:	Can we make it?
context: I'm sorry.\Come on, you two!\Never mind that!\If we don't hurry, Her Highness will...!\Stop!\The service starts at 1900 hours.\If we take normal roads, we'll be late.\Can we make it? response:	Leave it to me!
context: Come on, you two!\Never mind that!\If we don't hurry, Her Highness will...!\Stop!\The service starts at 1900 hours.\If we take normal roads, we'll be late.\Can we make it?\Leave it to me! response:	Princess!
context: Never mind that!\If we don't hurry, Her Highness will...!\Stop!\The service starts at 1900 hours.\If we take normal roads, we'll be late.\Can we make it?\Leave it to me!\Princess! response:	It's true! She's here!
context: If we don't hurry, Her Highness will...!\Stop!\The service starts at 1900 hours.\If we take normal roads, we'll be late.\Can we make it?\Leave it to me!\Princess!\It's true! She's here! response:	Please wait here.
context: Stop!\The service starts at 1900 hours.\If we take normal roads, we'll be late.\Can we make it?\Leave it to me!\Princess!\It's true! She's here!\Please wait here. response:	For you, Princess.
context: The service starts at 1900 hours.\If we take normal roads, we'll be late.\Can we make it?\Leave it to me!\Princess!\It's true! She's here!\Please wait here.\For you, Princess. response:	Thank you.
context: If we take normal roads, we'll be late.\Can we make it?\Leave it to me!\Princess!\It's true! She's here!\Please wait here.\For you, Princess.\Thank you. response:	I-it's nothing.
context: Can we make it?\Leave it to me!\Princess!\It's true! She's here!\Please wait here.\For you, Princess.\Thank you.\I-it's nothing. response:	We have scones, too, if you like.
context: Leave it to me!\Princess!\It's true! She's here!\Please wait here.\For you, Princess.\Thank you.\I-it's nothing.\We have scones, too, if you like. response:	P-please excuse me!
context: Princess!\It's true! She's here!\Please wait here.\For you, Princess.\Thank you.\I-it's nothing.\We have scones, too, if you like.\P-please excuse me! response:	Don't worry about it.
context: It's true! She's here!\Please wait here.\For you, Princess.\Thank you.\I-it's nothing.\We have scones, too, if you like.\P-please excuse me!\Don't worry about it. response:	I know. Why don't you join me?
context: Please wait here.\For you, Princess.\Thank you.\I-it's nothing.\We have scones, too, if you like.\P-please excuse me!\Don't worry about it.\I know. Why don't you join me? response:	Why don't you ALL join me?
context: For you, Princess.\Thank you.\I-it's nothing.\We have scones, too, if you like.\P-please excuse me!\Don't worry about it.\I know. Why don't you join me?\Why don't you ALL join me? response:	Your concern is unnecessary, Princess.
context: Thank you.\I-it's nothing.\We have scones, too, if you like.\P-please excuse me!\Don't worry about it.\I know. Why don't you join me?\Why don't you ALL join me?\Your concern is unnecessary, Princess. response:	Satisfying the hunger of four or five men will hardly-
context: I-it's nothing.\We have scones, too, if you like.\P-please excuse me!\Don't worry about it.\I know. Why don't you join me?\Why don't you ALL join me?\Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly- response:	No.
context: We have scones, too, if you like.\P-please excuse me!\Don't worry about it.\I know. Why don't you join me?\Why don't you ALL join me?\Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly-\No. response:	I'm doing it for myself.
context: P-please excuse me!\Don't worry about it.\I know. Why don't you join me?\Why don't you ALL join me?\Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly-\No.\I'm doing it for myself. response:	I mean, eating is so much nicer with good company, don't you think?
context: Don't worry about it.\I know. Why don't you join me?\Why don't you ALL join me?\Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly-\No.\I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think? response:	What's this...?
context: I know. Why don't you join me?\Why don't you ALL join me?\Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly-\No.\I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think?\What's this...? response:	Oi! Stop! Stop the car!
context: Why don't you ALL join me?\Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly-\No.\I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think?\What's this...?\Oi! Stop! Stop the car! response:	This road is closed today!
context: Your concern is unnecessary, Princess.\Satisfying the hunger of four or five men will hardly-\No.\I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think?\What's this...?\Oi! Stop! Stop the car!\This road is closed today! response:	I'm sorry.
context: Satisfying the hunger of four or five men will hardly-\No.\I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think?\What's this...?\Oi! Stop! Stop the car!\This road is closed today!\I'm sorry. response:	We're just in such a hurry.
context: No.\I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think?\What's this...?\Oi! Stop! Stop the car!\This road is closed today!\I'm sorry.\We're just in such a hurry. response:	We're running late for the service.
context: I'm doing it for myself.\I mean, eating is so much nicer with good company, don't you think?\What's this...?\Oi! Stop! Stop the car!\This road is closed today!\I'm sorry.\We're just in such a hurry.\We're running late for the service. response:	Won't you please let us use the Wall Road?
context: I mean, eating is so much nicer with good company, don't you think?\What's this...?\Oi! Stop! Stop the car!\This road is closed today!\I'm sorry.\We're just in such a hurry.\We're running late for the service.\Won't you please let us use the Wall Road? response:	Oh, is that the problem?
context: What's this...?\Oi! Stop! Stop the car!\This road is closed today!\I'm sorry.\We're just in such a hurry.\We're running late for the service.\Won't you please let us use the Wall Road?\Oh, is that the problem? response:	Let us open the-
context: Oi! Stop! Stop the car!\This road is closed today!\I'm sorry.\We're just in such a hurry.\We're running late for the service.\Won't you please let us use the Wall Road?\Oh, is that the problem?\Let us open the- response:	Wait a moment.
context: This road is closed today!\I'm sorry.\We're just in such a hurry.\We're running late for the service.\Won't you please let us use the Wall Road?\Oh, is that the problem?\Let us open the-\Wait a moment. response:	I heard that the princess was already inside the Royal Cathedral.
context: I'm sorry.\We're just in such a hurry.\We're running late for the service.\Won't you please let us use the Wall Road?\Oh, is that the problem?\Let us open the-\Wait a moment.\I heard that the princess was already inside the Royal Cathedral. response:	We're going to have to see some identification.
context: We're just in such a hurry.\We're running late for the service.\Won't you please let us use the Wall Road?\Oh, is that the problem?\Let us open the-\Wait a moment.\I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification. response:	Floor it.
context: We're running late for the service.\Won't you please let us use the Wall Road?\Oh, is that the problem?\Let us open the-\Wait a moment.\I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification.\Floor it. response:	Hey!
context: Won't you please let us use the Wall Road?\Oh, is that the problem?\Let us open the-\Wait a moment.\I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification.\Floor it.\Hey! response:	Stop!
context: Oh, is that the problem?\Let us open the-\Wait a moment.\I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification.\Floor it.\Hey!\Stop! response:	Intruders?
context: Let us open the-\Wait a moment.\I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification.\Floor it.\Hey!\Stop!\Intruders? response:	Yes.
context: Wait a moment.\I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification.\Floor it.\Hey!\Stop!\Intruders?\Yes. response:	One disguised as Princess Charlotte.
context: I heard that the princess was already inside the Royal Cathedral.\We're going to have to see some identification.\Floor it.\Hey!\Stop!\Intruders?\Yes.\One disguised as Princess Charlotte. response:	Find them and dispose of them.
context: We're going to have to see some identification.\Floor it.\Hey!\Stop!\Intruders?\Yes.\One disguised as Princess Charlotte.\Find them and dispose of them. response:	Yes, Sir.
context: Floor it.\Hey!\Stop!\Intruders?\Yes.\One disguised as Princess Charlotte.\Find them and dispose of them.\Yes, Sir. response:	Her Majesty has arrived!
context: Hey!\Stop!\Intruders?\Yes.\One disguised as Princess Charlotte.\Find them and dispose of them.\Yes, Sir.\Her Majesty has arrived! response:	Major.
context: Stop!\Intruders?\Yes.\One disguised as Princess Charlotte.\Find them and dispose of them.\Yes, Sir.\Her Majesty has arrived!\Major. response:	The Queen is here.
context: Intruders?\Yes.\One disguised as Princess Charlotte.\Find them and dispose of them.\Yes, Sir.\Her Majesty has arrived!\Major.\The Queen is here. response:	So it's time then.
context: Yes.\One disguised as Princess Charlotte.\Find them and dispose of them.\Yes, Sir.\Her Majesty has arrived!\Major.\The Queen is here.\So it's time then. response:	Don't worry, Your Highness.
context: One disguised as Princess Charlotte.\Find them and dispose of them.\Yes, Sir.\Her Majesty has arrived!\Major.\The Queen is here.\So it's time then.\Don't worry, Your Highness. response:	Our plan is foolproof.
context: Find them and dispose of them.\Yes, Sir.\Her Majesty has arrived!\Major.\The Queen is here.\So it's time then.\Don't worry, Your Highness.\Our plan is foolproof. response:	But Major Yngwie...
context: Yes, Sir.\Her Majesty has arrived!\Major.\The Queen is here.\So it's time then.\Don't worry, Your Highness.\Our plan is foolproof.\But Major Yngwie... response:	How exactly are you going to drop the ceiling?
context: Her Majesty has arrived!\Major.\The Queen is here.\So it's time then.\Don't worry, Your Highness.\Our plan is foolproof.\But Major Yngwie...\How exactly are you going to drop the ceiling? response:	I'll use a key to activate the-
context: Major.\The Queen is here.\So it's time then.\Don't worry, Your Highness.\Our plan is foolproof.\But Major Yngwie...\How exactly are you going to drop the ceiling?\I'll use a key to activate the- response:	Major.
context: The Queen is here.\So it's time then.\Don't worry, Your Highness.\Our plan is foolproof.\But Major Yngwie...\How exactly are you going to drop the ceiling?\I'll use a key to activate the-\Major. response:	Show some consideration.
context: So it's time then.\Don't worry, Your Highness.\Our plan is foolproof.\But Major Yngwie...\How exactly are you going to drop the ceiling?\I'll use a key to activate the-\Major.\Show some consideration. response:	The Queen is a member of Princess' family.
context: Don't worry, Your Highness.\Our plan is foolproof.\But Major Yngwie...\How exactly are you going to drop the ceiling?\I'll use a key to activate the-\Major.\Show some consideration.\The Queen is a member of Princess' family. response:	She's right.
context: Our plan is foolproof.\But Major Yngwie...\How exactly are you going to drop the ceiling?\I'll use a key to activate the-\Major.\Show some consideration.\The Queen is a member of Princess' family.\She's right. response:	That was thoughtless of me.
context: But Major Yngwie...\How exactly are you going to drop the ceiling?\I'll use a key to activate the-\Major.\Show some consideration.\The Queen is a member of Princess' family.\She's right.\That was thoughtless of me. response:	Not at all.
context: How exactly are you going to drop the ceiling?\I'll use a key to activate the-\Major.\Show some consideration.\The Queen is a member of Princess' family.\She's right.\That was thoughtless of me.\Not at all. response:	I agreed to this plan for my own ambition.
context: I'll use a key to activate the-\Major.\Show some consideration.\The Queen is a member of Princess' family.\She's right.\That was thoughtless of me.\Not at all.\I agreed to this plan for my own ambition. response:	But I don't think it's right to be the only one whose hands stay clean.
context: Major.\Show some consideration.\The Queen is a member of Princess' family.\She's right.\That was thoughtless of me.\Not at all.\I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean. response:	Major.
context: Show some consideration.\The Queen is a member of Princess' family.\She's right.\That was thoughtless of me.\Not at all.\I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean.\Major. response:	I don't suppose you would let me hold on to that key?
context: The Queen is a member of Princess' family.\She's right.\That was thoughtless of me.\Not at all.\I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean.\Major.\I don't suppose you would let me hold on to that key? response:	No, that would...
context: She's right.\That was thoughtless of me.\Not at all.\I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean.\Major.\I don't suppose you would let me hold on to that key?\No, that would... response:	Princess.
context: That was thoughtless of me.\Not at all.\I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean.\Major.\I don't suppose you would let me hold on to that key?\No, that would...\Princess. response:	I'll have a private room prepared.
context: Not at all.\I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean.\Major.\I don't suppose you would let me hold on to that key?\No, that would...\Princess.\I'll have a private room prepared. response:	You should get some rest.
context: I agreed to this plan for my own ambition.\But I don't think it's right to be the only one whose hands stay clean.\Major.\I don't suppose you would let me hold on to that key?\No, that would...\Princess.\I'll have a private room prepared.\You should get some rest. response:	I'm not tired.
context: But I don't think it's right to be the only one whose hands stay clean.\Major.\I don't suppose you would let me hold on to that key?\No, that would...\Princess.\I'll have a private room prepared.\You should get some rest.\I'm not tired. response:	Please get some rest.
context: Major.\I don't suppose you would let me hold on to that key?\No, that would...\Princess.\I'll have a private room prepared.\You should get some rest.\I'm not tired.\Please get some rest. response:	Alright. I'll accept your offer.
context: I don't suppose you would let me hold on to that key?\No, that would...\Princess.\I'll have a private room prepared.\You should get some rest.\I'm not tired.\Please get some rest.\Alright. I'll accept your offer. response:	Thank you. It was delicious.
context: No, that would...\Princess.\I'll have a private room prepared.\You should get some rest.\I'm not tired.\Please get some rest.\Alright. I'll accept your offer.\Thank you. It was delicious. response:	It is an honor.
context: Princess.\I'll have a private room prepared.\You should get some rest.\I'm not tired.\Please get some rest.\Alright. I'll accept your offer.\Thank you. It was delicious.\It is an honor. response:	Major.
context: I'll have a private room prepared.\You should get some rest.\I'm not tired.\Please get some rest.\Alright. I'll accept your offer.\Thank you. It was delicious.\It is an honor.\Major. response:	I'll take care of that key.
context: You should get some rest.\I'm not tired.\Please get some rest.\Alright. I'll accept your offer.\Thank you. It was delicious.\It is an honor.\Major.\I'll take care of that key. response:	Certainly.
context: I'm not tired.\Please get some rest.\Alright. I'll accept your offer.\Thank you. It was delicious.\It is an honor.\Major.\I'll take care of that key.\Certainly. response:	It's gone!
context: Please get some rest.\Alright. I'll accept your offer.\Thank you. It was delicious.\It is an honor.\Major.\I'll take care of that key.\Certainly.\It's gone! response:	But that's impossible!
context: Alright. I'll accept your offer.\Thank you. It was delicious.\It is an honor.\Major.\I'll take care of that key.\Certainly.\It's gone!\But that's impossible! response:	Princess!
context: Thank you. It was delicious.\It is an honor.\Major.\I'll take care of that key.\Certainly.\It's gone!\But that's impossible!\Princess! response:	Wait!
context: It is an honor.\Major.\I'll take care of that key.\Certainly.\It's gone!\But that's impossible!\Princess!\Wait! response:	Before you retire to your room, I'd like to search your effects.
context: Major.\I'll take care of that key.\Certainly.\It's gone!\But that's impossible!\Princess!\Wait!\Before you retire to your room, I'd like to search your effects. response:	Oh?
context: I'll take care of that key.\Certainly.\It's gone!\But that's impossible!\Princess!\Wait!\Before you retire to your room, I'd like to search your effects.\Oh? response:	Does this mean you suspect me?
context: Certainly.\It's gone!\But that's impossible!\Princess!\Wait!\Before you retire to your room, I'd like to search your effects.\Oh?\Does this mean you suspect me? response:	We never were going to get along, were we?
context: It's gone!\But that's impossible!\Princess!\Wait!\Before you retire to your room, I'd like to search your effects.\Oh?\Does this mean you suspect me?\We never were going to get along, were we? response:	You sneaky little brat.
context: But that's impossible!\Princess!\Wait!\Before you retire to your room, I'd like to search your effects.\Oh?\Does this mean you suspect me?\We never were going to get along, were we?\You sneaky little brat. response:	You were careless, Major.
context: Princess!\Wait!\Before you retire to your room, I'd like to search your effects.\Oh?\Does this mean you suspect me?\We never were going to get along, were we?\You sneaky little brat.\You were careless, Major. response:	Zelda, what just...?
context: Wait!\Before you retire to your room, I'd like to search your effects.\Oh?\Does this mean you suspect me?\We never were going to get along, were we?\You sneaky little brat.\You were careless, Major.\Zelda, what just...? response:	Don't worry about it.
context: Before you retire to your room, I'd like to search your effects.\Oh?\Does this mean you suspect me?\We never were going to get along, were we?\You sneaky little brat.\You were careless, Major.\Zelda, what just...?\Don't worry about it. response:	I hadn't told her about the assassination.
context: Oh?\Does this mean you suspect me?\We never were going to get along, were we?\You sneaky little brat.\You were careless, Major.\Zelda, what just...?\Don't worry about it.\I hadn't told her about the assassination. response:	Yngwie, you're still in charge of the ceiling.
context: Does this mean you suspect me?\We never were going to get along, were we?\You sneaky little brat.\You were careless, Major.\Zelda, what just...?\Don't worry about it.\I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling. response:	Do what you have to do.
context: We never were going to get along, were we?\You sneaky little brat.\You were careless, Major.\Zelda, what just...?\Don't worry about it.\I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling.\Do what you have to do. response:	The trumpets of Jericho have already sounded.
context: You sneaky little brat.\You were careless, Major.\Zelda, what just...?\Don't worry about it.\I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling.\Do what you have to do.\The trumpets of Jericho have already sounded. response:	They're coming after us!
context: You were careless, Major.\Zelda, what just...?\Don't worry about it.\I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling.\Do what you have to do.\The trumpets of Jericho have already sounded.\They're coming after us! response:	Fire!
context: Zelda, what just...?\Don't worry about it.\I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling.\Do what you have to do.\The trumpets of Jericho have already sounded.\They're coming after us!\Fire! response:	On the right! Fire!
context: Don't worry about it.\I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling.\Do what you have to do.\The trumpets of Jericho have already sounded.\They're coming after us!\Fire!\On the right! Fire! response:	I have a request.
context: I hadn't told her about the assassination.\Yngwie, you're still in charge of the ceiling.\Do what you have to do.\The trumpets of Jericho have already sounded.\They're coming after us!\Fire!\On the right! Fire!\I have a request. response:	I ask permission to leave your side to attend to urgent business.
context: Yngwie, you're still in charge of the ceiling.\Do what you have to do.\The trumpets of Jericho have already sounded.\They're coming after us!\Fire!\On the right! Fire!\I have a request.\I ask permission to leave your side to attend to urgent business. response:	You would abandon your duty?
context: Do what you have to do.\The trumpets of Jericho have already sounded.\They're coming after us!\Fire!\On the right! Fire!\I have a request.\I ask permission to leave your side to attend to urgent business.\You would abandon your duty? response:	I beg of you.
context: The trumpets of Jericho have already sounded.\They're coming after us!\Fire!\On the right! Fire!\I have a request.\I ask permission to leave your side to attend to urgent business.\You would abandon your duty?\I beg of you. response:	Miss Dorothy, can't you go any faster?!
context: They're coming after us!\Fire!\On the right! Fire!\I have a request.\I ask permission to leave your side to attend to urgent business.\You would abandon your duty?\I beg of you.\Miss Dorothy, can't you go any faster?! response:	If I could, I would!
context: Fire!\On the right! Fire!\I have a request.\I ask permission to leave your side to attend to urgent business.\You would abandon your duty?\I beg of you.\Miss Dorothy, can't you go any faster?!\If I could, I would! response:	How's that?
context: On the right! Fire!\I have a request.\I ask permission to leave your side to attend to urgent business.\You would abandon your duty?\I beg of you.\Miss Dorothy, can't you go any faster?!\If I could, I would!\How's that? response:	Dammit!
context: I have a request.\I ask permission to leave your side to attend to urgent business.\You would abandon your duty?\I beg of you.\Miss Dorothy, can't you go any faster?!\If I could, I would!\How's that?\Dammit! response:	Fire!
context: I ask permission to leave your side to attend to urgent business.\You would abandon your duty?\I beg of you.\Miss Dorothy, can't you go any faster?!\If I could, I would!\How's that?\Dammit!\Fire! response:	Are we out of options?
context: You would abandon your duty?\I beg of you.\Miss Dorothy, can't you go any faster?!\If I could, I would!\How's that?\Dammit!\Fire!\Are we out of options? response:	Should we capture them?
context: I beg of you.\Miss Dorothy, can't you go any faster?!\If I could, I would!\How's that?\Dammit!\Fire!\Are we out of options?\Should we capture them? response:	No. Corpses are easier to deal with.
context: Miss Dorothy, can't you go any faster?!\If I could, I would!\How's that?\Dammit!\Fire!\Are we out of options?\Should we capture them?\No. Corpses are easier to deal with. response:	What the-?
context: If I could, I would!\How's that?\Dammit!\Fire!\Are we out of options?\Should we capture them?\No. Corpses are easier to deal with.\What the-? response:	Something's not right.
context: How's that?\Dammit!\Fire!\Are we out of options?\Should we capture them?\No. Corpses are easier to deal with.\What the-?\Something's not right. response:	I wonder what's wrong.
context: Dammit!\Fire!\Are we out of options?\Should we capture them?\No. Corpses are easier to deal with.\What the-?\Something's not right.\I wonder what's wrong. response:	Chise! Miss Chise!
context: Fire!\Are we out of options?\Should we capture them?\No. Corpses are easier to deal with.\What the-?\Something's not right.\I wonder what's wrong.\Chise! Miss Chise! response:	To repay your hospitality.
context: Are we out of options?\Should we capture them?\No. Corpses are easier to deal with.\What the-?\Something's not right.\I wonder what's wrong.\Chise! Miss Chise!\To repay your hospitality. response:	All of you, forward!
context: Should we capture them?\No. Corpses are easier to deal with.\What the-?\Something's not right.\I wonder what's wrong.\Chise! Miss Chise!\To repay your hospitality.\All of you, forward! response:	What?
context: No. Corpses are easier to deal with.\What the-?\Something's not right.\I wonder what's wrong.\Chise! Miss Chise!\To repay your hospitality.\All of you, forward!\What? response:	Assassinate the Queen?
context: What the-?\Something's not right.\I wonder what's wrong.\Chise! Miss Chise!\To repay your hospitality.\All of you, forward!\What?\Assassinate the Queen? response:	How unsettling.
context: Something's not right.\I wonder what's wrong.\Chise! Miss Chise!\To repay your hospitality.\All of you, forward!\What?\Assassinate the Queen?\How unsettling. response:	We think Princess is in the Royal Cathedral with Zelda.
context: I wonder what's wrong.\Chise! Miss Chise!\To repay your hospitality.\All of you, forward!\What?\Assassinate the Queen?\How unsettling.\We think Princess is in the Royal Cathedral with Zelda. response:	I saw Zelda in a room above the stairwell.
context: Chise! Miss Chise!\To repay your hospitality.\All of you, forward!\What?\Assassinate the Queen?\How unsettling.\We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell. response:	Really?
context: To repay your hospitality.\All of you, forward!\What?\Assassinate the Queen?\How unsettling.\We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell.\Really? response:	I would not lie about this.
context: All of you, forward!\What?\Assassinate the Queen?\How unsettling.\We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell.\Really?\I would not lie about this. response:	I saw it from the chapel.
context: What?\Assassinate the Queen?\How unsettling.\We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell.\Really?\I would not lie about this.\I saw it from the chapel. response:	Ange, you go help Princess!
context: Assassinate the Queen?\How unsettling.\We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell.\Really?\I would not lie about this.\I saw it from the chapel.\Ange, you go help Princess! response:	Take me with you!
context: How unsettling.\We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell.\Really?\I would not lie about this.\I saw it from the chapel.\Ange, you go help Princess!\Take me with you! response:	You can't drop the ceiling!
context: We think Princess is in the Royal Cathedral with Zelda.\I saw Zelda in a room above the stairwell.\Really?\I would not lie about this.\I saw it from the chapel.\Ange, you go help Princess!\Take me with you!\You can't drop the ceiling! response:	If you start a revolution through bloodshed,
context: I saw Zelda in a room above the stairwell.\Really?\I would not lie about this.\I saw it from the chapel.\Ange, you go help Princess!\Take me with you!\You can't drop the ceiling!\If you start a revolution through bloodshed, response:	someone else will start a new revolution to right all your wrongs!
context: Really?\I would not lie about this.\I saw it from the chapel.\Ange, you go help Princess!\Take me with you!\You can't drop the ceiling!\If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs! response:	Princess, this nation is corrupt.
context: I would not lie about this.\I saw it from the chapel.\Ange, you go help Princess!\Take me with you!\You can't drop the ceiling!\If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt. response:	We are going to take action, and eliminate the social hierarchy!
context: I saw it from the chapel.\Ange, you go help Princess!\Take me with you!\You can't drop the ceiling!\If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy! response:	I know how you feel!
context: Ange, you go help Princess!\Take me with you!\You can't drop the ceiling!\If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy!\I know how you feel! response:	And so I promise you that I will become Queen, and I will change this country.
context: Take me with you!\You can't drop the ceiling!\If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy!\I know how you feel!\And so I promise you that I will become Queen, and I will change this country. response:	Major.
context: You can't drop the ceiling!\If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy!\I know how you feel!\And so I promise you that I will become Queen, and I will change this country.\Major. response:	Don't listen to her. You've already-
context: If you start a revolution through bloodshed,\someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy!\I know how you feel!\And so I promise you that I will become Queen, and I will change this country.\Major.\Don't listen to her. You've already- response:	Princess.
context: someone else will start a new revolution to right all your wrongs!\Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy!\I know how you feel!\And so I promise you that I will become Queen, and I will change this country.\Major.\Don't listen to her. You've already-\Princess. response:	The promise you just made would mean renouncing your own position.
context: Princess, this nation is corrupt.\We are going to take action, and eliminate the social hierarchy!\I know how you feel!\And so I promise you that I will become Queen, and I will change this country.\Major.\Don't listen to her. You've already-\Princess.\The promise you just made would mean renouncing your own position. response:	Do you really think you can change the country?
context: We are going to take action, and eliminate the social hierarchy!\I know how you feel!\And so I promise you that I will become Queen, and I will change this country.\Major.\Don't listen to her. You've already-\Princess.\The promise you just made would mean renouncing your own position.\Do you really think you can change the country? response:	Yes.
context: I know how you feel!\And so I promise you that I will become Queen, and I will change this country.\Major.\Don't listen to her. You've already-\Princess.\The promise you just made would mean renouncing your own position.\Do you really think you can change the country?\Yes. response:	And I will likely be its last queen.
context: And so I promise you that I will become Queen, and I will change this country.\Major.\Don't listen to her. You've already-\Princess.\The promise you just made would mean renouncing your own position.\Do you really think you can change the country?\Yes.\And I will likely be its last queen. response:	I suspect my reign will end on the guillotine.
context: Major.\Don't listen to her. You've already-\Princess.\The promise you just made would mean renouncing your own position.\Do you really think you can change the country?\Yes.\And I will likely be its last queen.\I suspect my reign will end on the guillotine. response:	How could you...
context: Don't listen to her. You've already-\Princess.\The promise you just made would mean renouncing your own position.\Do you really think you can change the country?\Yes.\And I will likely be its last queen.\I suspect my reign will end on the guillotine.\How could you... response:	Zelda! What are you...!
