context: So this is the city of Tokyo... response:	What a beautiful place.
context: so I won't step on the hem of my dress!\She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now!\Huh? A kouhai?\Did you think I was a first-year like you?\I may not look it, but I'm a second-year!\I'm sorry! response:	People always think I look younger than I am.
context: She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now!\Huh? A kouhai?\Did you think I was a first-year like you?\I may not look it, but I'm a second-year!\I'm sorry!\People always think I look younger than I am. response:	I can't tell her I thought she was in elementary school...
context: Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now!\Huh? A kouhai?\Did you think I was a first-year like you?\I may not look it, but I'm a second-year!\I'm sorry!\People always think I look younger than I am.\I can't tell her I thought she was in elementary school... response:	But don't worry, it doesn't bother me.
context: I'm so glad I'll have a kouhai there now!\Huh? A kouhai?\Did you think I was a first-year like you?\I may not look it, but I'm a second-year!\I'm sorry!\People always think I look younger than I am.\I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me. response:	By the way, I'm a first-year, too.
context: Huh? A kouhai?\Did you think I was a first-year like you?\I may not look it, but I'm a second-year!\I'm sorry!\People always think I look younger than I am.\I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me.\By the way, I'm a first-year, too. response:	So we'll be together.
context: Did you think I was a first-year like you?\I may not look it, but I'm a second-year!\I'm sorry!\People always think I look younger than I am.\I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me.\By the way, I'm a first-year, too.\So we'll be together. response:	Yeah! I'm looking forward to it!
context: I may not look it, but I'm a second-year!\I'm sorry!\People always think I look younger than I am.\I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me.\By the way, I'm a first-year, too.\So we'll be together.\Yeah! I'm looking forward to it! response:	The toilet is in the middle of the hallway.
context: I'm sorry!\People always think I look younger than I am.\I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me.\By the way, I'm a first-year, too.\So we'll be together.\Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway. response:	We only have a given amount of time to use the bath, so be careful of that.
context: People always think I look younger than I am.\I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me.\By the way, I'm a first-year, too.\So we'll be together.\Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that. response:	Kuu-chan, that's immodest!
context: I can't tell her I thought she was in elementary school...\But don't worry, it doesn't bother me.\By the way, I'm a first-year, too.\So we'll be together.\Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest! response:	Bad!
context: But don't worry, it doesn't bother me.\By the way, I'm a first-year, too.\So we'll be together.\Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest!\Bad! response:	Well, I didn't finish my breakfast...
context: By the way, I'm a first-year, too.\So we'll be together.\Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest!\Bad!\Well, I didn't finish my breakfast... response:	Oh, all right.
context: So we'll be together.\Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest!\Bad!\Well, I didn't finish my breakfast...\Oh, all right. response:	It's noon, anyway. Why don't we have lunch?
context: Yeah! I'm looking forward to it!\The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest!\Bad!\Well, I didn't finish my breakfast...\Oh, all right.\It's noon, anyway. Why don't we have lunch? response:	In a bookstore?
context: The toilet is in the middle of the hallway.\We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest!\Bad!\Well, I didn't finish my breakfast...\Oh, all right.\It's noon, anyway. Why don't we have lunch?\In a bookstore? response:	Nope.
context: We only have a given amount of time to use the bath, so be careful of that.\Kuu-chan, that's immodest!\Bad!\Well, I didn't finish my breakfast...\Oh, all right.\It's noon, anyway. Why don't we have lunch?\In a bookstore?\Nope. response:	See? This is the coffee shop where I work.
context: Kuu-chan, that's immodest!\Bad!\Well, I didn't finish my breakfast...\Oh, all right.\It's noon, anyway. Why don't we have lunch?\In a bookstore?\Nope.\See? This is the coffee shop where I work. response:	You're right!
context: Bad!\Well, I didn't finish my breakfast...\Oh, all right.\It's noon, anyway. Why don't we have lunch?\In a bookstore?\Nope.\See? This is the coffee shop where I work.\You're right! response:	Coffee shop
context: Well, I didn't finish my breakfast...\Oh, all right.\It's noon, anyway. Why don't we have lunch?\In a bookstore?\Nope.\See? This is the coffee shop where I work.\You're right!\Coffee shop response:	Used Bookstore
context: Oh, all right.\It's noon, anyway. Why don't we have lunch?\In a bookstore?\Nope.\See? This is the coffee shop where I work.\You're right!\Coffee shop\Used Bookstore response:	You Are Here
context: It's noon, anyway. Why don't we have lunch?\In a bookstore?\Nope.\See? This is the coffee shop where I work.\You're right!\Coffee shop\Used Bookstore\You Are Here response:	There's a coffee shop in the back of the bookstore!
context: In a bookstore?\Nope.\See? This is the coffee shop where I work.\You're right!\Coffee shop\Used Bookstore\You Are Here\There's a coffee shop in the back of the bookstore! response:	Here, Hina-chan.
context: Nope.\See? This is the coffee shop where I work.\You're right!\Coffee shop\Used Bookstore\You Are Here\There's a coffee shop in the back of the bookstore!\Here, Hina-chan. response:	Take this.
context: See? This is the coffee shop where I work.\You're right!\Coffee shop\Used Bookstore\You Are Here\There's a coffee shop in the back of the bookstore!\Here, Hina-chan.\Take this. response:	Huh?
context: You're right!\Coffee shop\Used Bookstore\You Are Here\There's a coffee shop in the back of the bookstore!\Here, Hina-chan.\Take this.\Huh? response:	I have to eat a book, too?
context: Coffee shop\Used Bookstore\You Are Here\There's a coffee shop in the back of the bookstore!\Here, Hina-chan.\Take this.\Huh?\I have to eat a book, too? response:	This is a menu.
context: Used Bookstore\You Are Here\There's a coffee shop in the back of the bookstore!\Here, Hina-chan.\Take this.\Huh?\I have to eat a book, too?\This is a menu. response:	Oh, so it is.
context: You Are Here\There's a coffee shop in the back of the bookstore!\Here, Hina-chan.\Take this.\Huh?\I have to eat a book, too?\This is a menu.\Oh, so it is. response:	Why did you enroll at our high school, Hina-chan?
context: There's a coffee shop in the back of the bookstore!\Here, Hina-chan.\Take this.\Huh?\I have to eat a book, too?\This is a menu.\Oh, so it is.\Why did you enroll at our high school, Hina-chan? response:	Huh?
context: Here, Hina-chan.\Take this.\Huh?\I have to eat a book, too?\This is a menu.\Oh, so it is.\Why did you enroll at our high school, Hina-chan?\Huh? response:	What do I do?
context: Take this.\Huh?\I have to eat a book, too?\This is a menu.\Oh, so it is.\Why did you enroll at our high school, Hina-chan?\Huh?\What do I do? response:	Where should I start explaining?
context: Huh?\I have to eat a book, too?\This is a menu.\Oh, so it is.\Why did you enroll at our high school, Hina-chan?\Huh?\What do I do?\Where should I start explaining? response:	Well... when I was a scarecrow out in the country...
context: I have to eat a book, too?\This is a menu.\Oh, so it is.\Why did you enroll at our high school, Hina-chan?\Huh?\What do I do?\Where should I start explaining?\Well... when I was a scarecrow out in the country... response:	Huh? A scarecrow?
context: This is a menu.\Oh, so it is.\Why did you enroll at our high school, Hina-chan?\Huh?\What do I do?\Where should I start explaining?\Well... when I was a scarecrow out in the country...\Huh? A scarecrow? response:	You mean those dolls that stand in fields?
context: Oh, so it is.\Why did you enroll at our high school, Hina-chan?\Huh?\What do I do?\Where should I start explaining?\Well... when I was a scarecrow out in the country...\Huh? A scarecrow?\You mean those dolls that stand in fields? response:	What did you do?
context: Why did you enroll at our high school, Hina-chan?\Huh?\What do I do?\Where should I start explaining?\Well... when I was a scarecrow out in the country...\Huh? A scarecrow?\You mean those dolls that stand in fields?\What did you do? response:	She froze up...
context: Huh?\What do I do?\Where should I start explaining?\Well... when I was a scarecrow out in the country...\Huh? A scarecrow?\You mean those dolls that stand in fields?\What did you do?\She froze up... response:	She really does look like a scarecrow.
context: What do I do?\Where should I start explaining?\Well... when I was a scarecrow out in the country...\Huh? A scarecrow?\You mean those dolls that stand in fields?\What did you do?\She froze up...\She really does look like a scarecrow. response:	Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script
context: Where should I start explaining?\Well... when I was a scarecrow out in the country...\Huh? A scarecrow?\You mean those dolls that stand in fields?\What did you do?\She froze up...\She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script response:	-Review strong and weak points and check on props -Check on costume
context: Well... when I was a scarecrow out in the country...\Huh? A scarecrow?\You mean those dolls that stand in fields?\What did you do?\She froze up...\She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume response:	I wondered what exactly she did.
context: Huh? A scarecrow?\You mean those dolls that stand in fields?\What did you do?\She froze up...\She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume\I wondered what exactly she did. response:	So she literally freezes up and does nothing...
context: You mean those dolls that stand in fields?\What did you do?\She froze up...\She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume\I wondered what exactly she did.\So she literally freezes up and does nothing... response:	As you can see, I get nervous easily...
context: What did you do?\She froze up...\She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume\I wondered what exactly she did.\So she literally freezes up and does nothing...\As you can see, I get nervous easily... response:	It's unusual to see someone become a scarecrow because of nerves.
context: She froze up...\She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume\I wondered what exactly she did.\So she literally freezes up and does nothing...\As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves. response:	But during my school's field trip last year,
context: She really does look like a scarecrow.\Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume\I wondered what exactly she did.\So she literally freezes up and does nothing...\As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year, response:	I saw a theater club play here.
context: Today's practice menu -Stretches <- Do them properly! -3 kilo marathon <- Try your best not to walk -Vocal exercises -Review the script\-Review strong and weak points and check on props -Check on costume\I wondered what exactly she did.\So she literally freezes up and does nothing...\As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year,\I saw a theater club play here. response:	I was so moved by the actors' bold performances.
context: -Review strong and weak points and check on props -Check on costume\I wondered what exactly she did.\So she literally freezes up and does nothing...\As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year,\I saw a theater club play here.\I was so moved by the actors' bold performances. response:	I wanted to be like that, too.
context: I wondered what exactly she did.\So she literally freezes up and does nothing...\As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year,\I saw a theater club play here.\I was so moved by the actors' bold performances.\I wanted to be like that, too. response:	So I decided I wanted to be in theater, too.
context: So she literally freezes up and does nothing...\As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year,\I saw a theater club play here.\I was so moved by the actors' bold performances.\I wanted to be like that, too.\So I decided I wanted to be in theater, too. response:	And that's why you enrolled at our high school?
context: As you can see, I get nervous easily...\It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year,\I saw a theater club play here.\I was so moved by the actors' bold performances.\I wanted to be like that, too.\So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school? response:	Um, are you two in theater or anything?
context: It's unusual to see someone become a scarecrow because of nerves.\But during my school's field trip last year,\I saw a theater club play here.\I was so moved by the actors' bold performances.\I wanted to be like that, too.\So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school?\Um, are you two in theater or anything? response:	You're both really cute,
context: But during my school's field trip last year,\I saw a theater club play here.\I was so moved by the actors' bold performances.\I wanted to be like that, too.\So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school?\Um, are you two in theater or anything?\You're both really cute, response:	and I bet Kuu-chan could write good stories.
context: I saw a theater club play here.\I was so moved by the actors' bold performances.\I wanted to be like that, too.\So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school?\Um, are you two in theater or anything?\You're both really cute,\and I bet Kuu-chan could write good stories. response:	And Mayu-chan could play a princess, maybe...
context: I was so moved by the actors' bold performances.\I wanted to be like that, too.\So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school?\Um, are you two in theater or anything?\You're both really cute,\and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe... response:	I'd probably eat the script right after writing it...
context: I wanted to be like that, too.\So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school?\Um, are you two in theater or anything?\You're both really cute,\and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it... response:	Really?
context: So I decided I wanted to be in theater, too.\And that's why you enrolled at our high school?\Um, are you two in theater or anything?\You're both really cute,\and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it...\Really? response:	I could never wear a dress! I'd be too embarrassed!
context: And that's why you enrolled at our high school?\Um, are you two in theater or anything?\You're both really cute,\and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it...\Really?\I could never wear a dress! I'd be too embarrassed! response:	But that outfit doesn't embarrass her?
context: Um, are you two in theater or anything?\You're both really cute,\and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it...\Really?\I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her? response:	So you're going to join the theater club, then?
context: You're both really cute,\and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it...\Really?\I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her?\So you're going to join the theater club, then? response:	Yeah.
context: and I bet Kuu-chan could write good stories.\And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it...\Really?\I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her?\So you're going to join the theater club, then?\Yeah. response:	Our school is pretty prestigious.
context: And Mayu-chan could play a princess, maybe...\I'd probably eat the script right after writing it...\Really?\I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her?\So you're going to join the theater club, then?\Yeah.\Our school is pretty prestigious. response:	I want to be able to talk a lot in front of people,
context: I'd probably eat the script right after writing it...\Really?\I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her?\So you're going to join the theater club, then?\Yeah.\Our school is pretty prestigious.\I want to be able to talk a lot in front of people, response:	Huh?
context: Really?\I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her?\So you're going to join the theater club, then?\Yeah.\Our school is pretty prestigious.\I want to be able to talk a lot in front of people,\Huh? response:	and I want to make lots of friends, too.
context: I could never wear a dress! I'd be too embarrassed!\But that outfit doesn't embarrass her?\So you're going to join the theater club, then?\Yeah.\Our school is pretty prestigious.\I want to be able to talk a lot in front of people,\Huh?\and I want to make lots of friends, too. response:	Good luck!
context: But that outfit doesn't embarrass her?\So you're going to join the theater club, then?\Yeah.\Our school is pretty prestigious.\I want to be able to talk a lot in front of people,\Huh?\and I want to make lots of friends, too.\Good luck! response:	I'm rooting for you!
context: So you're going to join the theater club, then?\Yeah.\Our school is pretty prestigious.\I want to be able to talk a lot in front of people,\Huh?\and I want to make lots of friends, too.\Good luck!\I'm rooting for you! response:	Thanks!
context: Yeah.\Our school is pretty prestigious.\I want to be able to talk a lot in front of people,\Huh?\and I want to make lots of friends, too.\Good luck!\I'm rooting for you!\Thanks! response:	I heard the theater club was shut down last year, though.
context: Our school is pretty prestigious.\I want to be able to talk a lot in front of people,\Huh?\and I want to make lots of friends, too.\Good luck!\I'm rooting for you!\Thanks!\I heard the theater club was shut down last year, though. response:	Oh, yeah, come to think of it...
context: I want to be able to talk a lot in front of people,\Huh?\and I want to make lots of friends, too.\Good luck!\I'm rooting for you!\Thanks!\I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it... response:	You're kidding!
context: Huh?\and I want to make lots of friends, too.\Good luck!\I'm rooting for you!\Thanks!\I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it...\You're kidding! response:	I didn't hear about that!
context: and I want to make lots of friends, too.\Good luck!\I'm rooting for you!\Thanks!\I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it...\You're kidding!\I didn't hear about that! response:	I know it's my fault for not checking before I enrolled there, but...
context: Good luck!\I'm rooting for you!\Thanks!\I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it...\You're kidding!\I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but... response:	But, but... there was no Internet out in the country!
context: I'm rooting for you!\Thanks!\I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it...\You're kidding!\I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country! response:	And I just bought that cell phone yesterday!
context: Thanks!\I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it...\You're kidding!\I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday! response:	I'm going to join the theater club!
context: I heard the theater club was shut down last year, though.\Oh, yeah, come to think of it...\You're kidding!\I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday!\I'm going to join the theater club! response:	I'm not interested in any other clubs,
context: Oh, yeah, come to think of it...\You're kidding!\I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday!\I'm going to join the theater club!\I'm not interested in any other clubs, response:	and I'm not good at any sports or arts...
context: You're kidding!\I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday!\I'm going to join the theater club!\I'm not interested in any other clubs,\and I'm not good at any sports or arts... response:	Good at... The only thing I'm good at is...
context: I didn't hear about that!\I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday!\I'm going to join the theater club!\I'm not interested in any other clubs,\and I'm not good at any sports or arts...\Good at... The only thing I'm good at is... response:	Scarecrows wouldn't be of any use in Tokyo, would they?
context: I know it's my fault for not checking before I enrolled there, but...\But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday!\I'm going to join the theater club!\I'm not interested in any other clubs,\and I'm not good at any sports or arts...\Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they? response:	I almost forgot.
context: But, but... there was no Internet out in the country!\And I just bought that cell phone yesterday!\I'm going to join the theater club!\I'm not interested in any other clubs,\and I'm not good at any sports or arts...\Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot. response:	If I'm going to live here, I have to work.
context: And I just bought that cell phone yesterday!\I'm going to join the theater club!\I'm not interested in any other clubs,\and I'm not good at any sports or arts...\Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot.\If I'm going to live here, I have to work. response:	Which means...
context: I'm going to join the theater club!\I'm not interested in any other clubs,\and I'm not good at any sports or arts...\Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot.\If I'm going to live here, I have to work.\Which means... response:	No way, no way! I could never do that!
context: I'm not interested in any other clubs,\and I'm not good at any sports or arts...\Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot.\If I'm going to live here, I have to work.\Which means...\No way, no way! I could never do that! response:	Hina-chan?
context: and I'm not good at any sports or arts...\Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot.\If I'm going to live here, I have to work.\Which means...\No way, no way! I could never do that!\Hina-chan? response:	What's wrong?
context: Good at... The only thing I'm good at is...\Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot.\If I'm going to live here, I have to work.\Which means...\No way, no way! I could never do that!\Hina-chan?\What's wrong? response:	Why were you yelling?
context: Scarecrows wouldn't be of any use in Tokyo, would they?\I almost forgot.\If I'm going to live here, I have to work.\Which means...\No way, no way! I could never do that!\Hina-chan?\What's wrong?\Why were you yelling? response:	S-Sorry! It was nothing!
context: I almost forgot.\If I'm going to live here, I have to work.\Which means...\No way, no way! I could never do that!\Hina-chan?\What's wrong?\Why were you yelling?\S-Sorry! It was nothing! response:	Tears
context: If I'm going to live here, I have to work.\Which means...\No way, no way! I could never do that!\Hina-chan?\What's wrong?\Why were you yelling?\S-Sorry! It was nothing!\Tears response:	Family Photo
context: Which means...\No way, no way! I could never do that!\Hina-chan?\What's wrong?\Why were you yelling?\S-Sorry! It was nothing!\Tears\Family Photo response:	Hina-chan, are you...
context: No way, no way! I could never do that!\Hina-chan?\What's wrong?\Why were you yelling?\S-Sorry! It was nothing!\Tears\Family Photo\Hina-chan, are you... response:	I'm sorry I didn't notice!
context: Hina-chan?\What's wrong?\Why were you yelling?\S-Sorry! It was nothing!\Tears\Family Photo\Hina-chan, are you...\I'm sorry I didn't notice! response:	Uh...
context: What's wrong?\Why were you yelling?\S-Sorry! It was nothing!\Tears\Family Photo\Hina-chan, are you...\I'm sorry I didn't notice!\Uh... response:	Of course. You just moved to Tokyo.
context: Why were you yelling?\S-Sorry! It was nothing!\Tears\Family Photo\Hina-chan, are you...\I'm sorry I didn't notice!\Uh...\Of course. You just moved to Tokyo. response:	H-Huh?
context: S-Sorry! It was nothing!\Tears\Family Photo\Hina-chan, are you...\I'm sorry I didn't notice!\Uh...\Of course. You just moved to Tokyo.\H-Huh? response:	Want to go out for a change of pace?
context: Tears\Family Photo\Hina-chan, are you...\I'm sorry I didn't notice!\Uh...\Of course. You just moved to Tokyo.\H-Huh?\Want to go out for a change of pace? response:	There's a big park nearby.
context: Family Photo\Hina-chan, are you...\I'm sorry I didn't notice!\Uh...\Of course. You just moved to Tokyo.\H-Huh?\Want to go out for a change of pace?\There's a big park nearby. response:	Really? A park?
context: Hina-chan, are you...\I'm sorry I didn't notice!\Uh...\Of course. You just moved to Tokyo.\H-Huh?\Want to go out for a change of pace?\There's a big park nearby.\Really? A park? response:	There's lots of greenery there, too. I'm sure you'll like it.
context: I'm sorry I didn't notice!\Uh...\Of course. You just moved to Tokyo.\H-Huh?\Want to go out for a change of pace?\There's a big park nearby.\Really? A park?\There's lots of greenery there, too. I'm sure you'll like it. response:	There's a place near there that has great chicken skewers,
context: Uh...\Of course. You just moved to Tokyo.\H-Huh?\Want to go out for a change of pace?\There's a big park nearby.\Really? A park?\There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers, response:	and a stand that has great dumplings, too.
context: Of course. You just moved to Tokyo.\H-Huh?\Want to go out for a change of pace?\There's a big park nearby.\Really? A park?\There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too. response:	And also ice cream...
context: H-Huh?\Want to go out for a change of pace?\There's a big park nearby.\Really? A park?\There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too.\And also ice cream... response:	No description of the actual park, huh?
context: Want to go out for a change of pace?\There's a big park nearby.\Really? A park?\There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too.\And also ice cream...\No description of the actual park, huh? response:	Kuu-chan, are you hungry again?
context: There's a big park nearby.\Really? A park?\There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too.\And also ice cream...\No description of the actual park, huh?\Kuu-chan, are you hungry again? response:	Once we're on this road, it's straight ahead.
context: Really? A park?\There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too.\And also ice cream...\No description of the actual park, huh?\Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead. response:	Oh, the cafe there has amazing cakes!
context: There's lots of greenery there, too. I'm sure you'll like it.\There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too.\And also ice cream...\No description of the actual park, huh?\Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes! response:	Hey, come on. We just ate lunch.
context: There's a place near there that has great chicken skewers,\and a stand that has great dumplings, too.\And also ice cream...\No description of the actual park, huh?\Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch. response:	And once we turn this corner...
context: and a stand that has great dumplings, too.\And also ice cream...\No description of the actual park, huh?\Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch.\And once we turn this corner... response:	Taiyaki
context: And also ice cream...\No description of the actual park, huh?\Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch.\And once we turn this corner...\Taiyaki response:	Hey! Kuu-chan, not there!
context: No description of the actual park, huh?\Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch.\And once we turn this corner...\Taiyaki\Hey! Kuu-chan, not there! response:	Honestly, you're so easily tempted by food.
context: Kuu-chan, are you hungry again?\Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch.\And once we turn this corner...\Taiyaki\Hey! Kuu-chan, not there!\Honestly, you're so easily tempted by food. response:	Sorry... I smelled delicious taiyaki, so I couldn't help myself.
context: Once we're on this road, it's straight ahead.\Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch.\And once we turn this corner...\Taiyaki\Hey! Kuu-chan, not there!\Honestly, you're so easily tempted by food.\Sorry... I smelled delicious taiyaki, so I couldn't help myself. response:	Don't blame me if you get lost.
context: Oh, the cafe there has amazing cakes!\Hey, come on. We just ate lunch.\And once we turn this corner...\Taiyaki\Hey! Kuu-chan, not there!\Honestly, you're so easily tempted by food.\Sorry... I smelled delicious taiyaki, so I couldn't help myself.\Don't blame me if you get lost. response:	You're like an older sister, Mayu-chan.
context: Hey, come on. We just ate lunch.\And once we turn this corner...\Taiyaki\Hey! Kuu-chan, not there!\Honestly, you're so easily tempted by food.\Sorry... I smelled delicious taiyaki, so I couldn't help myself.\Don't blame me if you get lost.\You're like an older sister, Mayu-chan. response:	An older sister...
context: And once we turn this corner...\Taiyaki\Hey! Kuu-chan, not there!\Honestly, you're so easily tempted by food.\Sorry... I smelled delicious taiyaki, so I couldn't help myself.\Don't blame me if you get lost.\You're like an older sister, Mayu-chan.\An older sister... response:	Taiyaki...
context: Taiyaki\Hey! Kuu-chan, not there!\Honestly, you're so easily tempted by food.\Sorry... I smelled delicious taiyaki, so I couldn't help myself.\Don't blame me if you get lost.\You're like an older sister, Mayu-chan.\An older sister...\Taiyaki... response:	H-Honestly, Kuu-chan, you're hopeless without me.
