context: They're going to choose the Moon Princess response:	by her looks, athletic ability and gracefulness?!
context: That's right!\But Miss Usagi,\you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain.\What?!\That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier.\No way... response:	What will you do, Usagi? Will you forfeit?
context: But Miss Usagi,\you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain.\What?!\That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier.\No way...\What will you do, Usagi? Will you forfeit? response:	Then, maybe I'll take the crown of the princess!
context: you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain.\What?!\That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier.\No way...\What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess! response:	I'm going!
context: Because the contest hall is at the top of this mountain.\What?!\That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier.\No way...\What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess!\I'm going! response:	How could the real Moon Princess not participate?!
context: What?!\That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier.\No way...\What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess!\I'm going!\How could the real Moon Princess not participate?! response:	Moon Princess Contest
context: That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier.\No way...\What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess!\I'm going!\How could the real Moon Princess not participate?!\Moon Princess Contest response:	Have any likely candidates shown up?
context: but you can't be chosen unless you're also a good skier.\No way...\What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess!\I'm going!\How could the real Moon Princess not participate?!\Moon Princess Contest\Have any likely candidates shown up? response:	No, not yet.
context: No way...\What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess!\I'm going!\How could the real Moon Princess not participate?!\Moon Princess Contest\Have any likely candidates shown up?\No, not yet. response:	I see.
context: What will you do, Usagi? Will you forfeit?\Then, maybe I'll take the crown of the princess!\I'm going!\How could the real Moon Princess not participate?!\Moon Princess Contest\Have any likely candidates shown up?\No, not yet.\I see. response:	Just remember, if you use the monster power that I gave you,
context: Then, maybe I'll take the crown of the princess!\I'm going!\How could the real Moon Princess not participate?!\Moon Princess Contest\Have any likely candidates shown up?\No, not yet.\I see.\Just remember, if you use the monster power that I gave you, response:	you will be able to uncover Sailor Moon's identity.
context: I'm going!\How could the real Moon Princess not participate?!\Moon Princess Contest\Have any likely candidates shown up?\No, not yet.\I see.\Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity. response:	Make sure you do it right.
context: How could the real Moon Princess not participate?!\Moon Princess Contest\Have any likely candidates shown up?\No, not yet.\I see.\Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity.\Make sure you do it right. response:	Yes, Sir. Please leave it to me.
context: Moon Princess Contest\Have any likely candidates shown up?\No, not yet.\I see.\Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity.\Make sure you do it right.\Yes, Sir. Please leave it to me. response:	Don't tell me we're going to ski down that thing.
context: Have any likely candidates shown up?\No, not yet.\I see.\Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity.\Make sure you do it right.\Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing. response:	Not at all! This is nothing compared to the area near the top.
context: No, not yet.\I see.\Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity.\Make sure you do it right.\Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top. response:	Oh, no!
context: I see.\Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity.\Make sure you do it right.\Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top.\Oh, no! response:	These people are all a bunch of daredevils!
context: Just remember, if you use the monster power that I gave you,\you will be able to uncover Sailor Moon's identity.\Make sure you do it right.\Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top.\Oh, no!\These people are all a bunch of daredevils! response:	Moon Princess Contest
context: you will be able to uncover Sailor Moon's identity.\Make sure you do it right.\Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top.\Oh, no!\These people are all a bunch of daredevils!\Moon Princess Contest response:	Moon Princess Contest Ladies, thank you for coming to this event!
context: Make sure you do it right.\Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top.\Oh, no!\These people are all a bunch of daredevils!\Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event! response:	Moon Princess Contest
context: Yes, Sir. Please leave it to me.\Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top.\Oh, no!\These people are all a bunch of daredevils!\Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest response:	Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.
context: Don't tell me we're going to ski down that thing.\Not at all! This is nothing compared to the area near the top.\Oh, no!\These people are all a bunch of daredevils!\Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest. response:	Your hostess, who will guide you through this contest,
context: Not at all! This is nothing compared to the area near the top.\Oh, no!\These people are all a bunch of daredevils!\Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest, response:	is the first Moon Princess
context: Oh, no!\These people are all a bunch of daredevils!\Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest,\is the first Moon Princess response:	Moon Princess Contest and our very own instructor here at the Moonlight Slopes,
context: These people are all a bunch of daredevils!\Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest,\is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes, response:	Moon Princess Contest Ms. Saeko Yamamoto!
context: Moon Princess Contest\Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest,\is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto! response:	Moon Princess Contest
context: Moon Princess Contest Ladies, thank you for coming to this event!\Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest,\is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest response:	Moon Princess Contest Then, I will now explain the judging process to you.
context: Moon Princess Contest\Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest,\is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you. response:	Then, I will now explain the judging process to you.
context: Moon Princess Contest In a moment, we will start the fourth Moon Princess Contest.\Your hostess, who will guide you through this contest,\is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you. response:	The woman who gets to the bottom of this Moonlight Course first
context: Your hostess, who will guide you through this contest,\is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first response:	and does so most gracefully will be this year's Moon Princess.
context: is the first Moon Princess\Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess. response:	It is a night course, but it is completely safe,
context: Moon Princess Contest and our very own instructor here at the Moonlight Slopes,\Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe, response:	so please ski without any worries.
context: Moon Princess Contest Ms. Saeko Yamamoto!\Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe,\so please ski without any worries. response:	Then, start!
context: Moon Princess Contest\Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe,\so please ski without any worries.\Then, start! response:	I'm going to quit after all!
context: Moon Princess Contest Then, I will now explain the judging process to you.\Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe,\so please ski without any worries.\Then, start!\I'm going to quit after all! response:	Miss Usagi, you can't afford to get a late start.
context: Then, I will now explain the judging process to you.\The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe,\so please ski without any worries.\Then, start!\I'm going to quit after all!\Miss Usagi, you can't afford to get a late start. response:	There you go!
context: The woman who gets to the bottom of this Moonlight Course first\and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe,\so please ski without any worries.\Then, start!\I'm going to quit after all!\Miss Usagi, you can't afford to get a late start.\There you go! response:	See? Nothing's impossible, if you try!
context: and does so most gracefully will be this year's Moon Princess.\It is a night course, but it is completely safe,\so please ski without any worries.\Then, start!\I'm going to quit after all!\Miss Usagi, you can't afford to get a late start.\There you go!\See? Nothing's impossible, if you try! response:	This course is actually going right to Hell.
context: It is a night course, but it is completely safe,\so please ski without any worries.\Then, start!\I'm going to quit after all!\Miss Usagi, you can't afford to get a late start.\There you go!\See? Nothing's impossible, if you try!\This course is actually going right to Hell. response:	I just felt something like an evil aura, but...
context: so please ski without any worries.\Then, start!\I'm going to quit after all!\Miss Usagi, you can't afford to get a late start.\There you go!\See? Nothing's impossible, if you try!\This course is actually going right to Hell.\I just felt something like an evil aura, but... response:	It can't be.
context: Then, start!\I'm going to quit after all!\Miss Usagi, you can't afford to get a late start.\There you go!\See? Nothing's impossible, if you try!\This course is actually going right to Hell.\I just felt something like an evil aura, but...\It can't be. response:	There's no way a monster would appear here, right?
context: I'm going to quit after all!\Miss Usagi, you can't afford to get a late start.\There you go!\See? Nothing's impossible, if you try!\This course is actually going right to Hell.\I just felt something like an evil aura, but...\It can't be.\There's no way a monster would appear here, right? response:	Usagi?!
context: Miss Usagi, you can't afford to get a late start.\There you go!\See? Nothing's impossible, if you try!\This course is actually going right to Hell.\I just felt something like an evil aura, but...\It can't be.\There's no way a monster would appear here, right?\Usagi?! response:	I can't stop!
context: There you go!\See? Nothing's impossible, if you try!\This course is actually going right to Hell.\I just felt something like an evil aura, but...\It can't be.\There's no way a monster would appear here, right?\Usagi?!\I can't stop! response:	Usagi isn't half-bad! All right! I'm not going to be outdone!
context: See? Nothing's impossible, if you try!\This course is actually going right to Hell.\I just felt something like an evil aura, but...\It can't be.\There's no way a monster would appear here, right?\Usagi?!\I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone! response:	Someone stop me!
context: This course is actually going right to Hell.\I just felt something like an evil aura, but...\It can't be.\There's no way a monster would appear here, right?\Usagi?!\I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me! response:	It seems one of those two must be
context: I just felt something like an evil aura, but...\It can't be.\There's no way a monster would appear here, right?\Usagi?!\I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me!\It seems one of those two must be response:	the princess of the moon, Sailor Moon.
context: It can't be.\There's no way a monster would appear here, right?\Usagi?!\I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me!\It seems one of those two must be\the princess of the moon, Sailor Moon. response:	Usagi, it'll be dangerous if you don't slow down more!
context: There's no way a monster would appear here, right?\Usagi?!\I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me!\It seems one of those two must be\the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more! response:	I know that! But there's nothing I can do about it!
context: Usagi?!\I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me!\It seems one of those two must be\the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it! response:	Usagi! Go, faster!
context: I can't stop!\Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me!\It seems one of those two must be\the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it!\Usagi! Go, faster! response:	I told you, I have no control at all!
context: Usagi isn't half-bad! All right! I'm not going to be outdone!\Someone stop me!\It seems one of those two must be\the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it!\Usagi! Go, faster!\I told you, I have no control at all! response:	I'm pretty sure I just heard an avalanche!
context: Someone stop me!\It seems one of those two must be\the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it!\Usagi! Go, faster!\I told you, I have no control at all!\I'm pretty sure I just heard an avalanche! response:	I hope Miss Rei isn't...
context: It seems one of those two must be\the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it!\Usagi! Go, faster!\I told you, I have no control at all!\I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't... response:	Hurry!
context: the princess of the moon, Sailor Moon.\Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it!\Usagi! Go, faster!\I told you, I have no control at all!\I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't...\Hurry! response:	How about this?!
context: Usagi, it'll be dangerous if you don't slow down more!\I know that! But there's nothing I can do about it!\Usagi! Go, faster!\I told you, I have no control at all!\I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't...\Hurry!\How about this?! response:	Blizzar!
context: I know that! But there's nothing I can do about it!\Usagi! Go, faster!\I told you, I have no control at all!\I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't...\Hurry!\How about this?!\Blizzar! response:	What is this?!
context: Usagi! Go, faster!\I told you, I have no control at all!\I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't...\Hurry!\How about this?!\Blizzar!\What is this?! response:	I'm scared!
context: I told you, I have no control at all!\I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't...\Hurry!\How about this?!\Blizzar!\What is this?!\I'm scared! response:	Miss Rei!
context: I'm pretty sure I just heard an avalanche!\I hope Miss Rei isn't...\Hurry!\How about this?!\Blizzar!\What is this?!\I'm scared!\Miss Rei! response:	Miss Rei, I'll be right there to rescue you!
context: I hope Miss Rei isn't...\Hurry!\How about this?!\Blizzar!\What is this?!\I'm scared!\Miss Rei!\Miss Rei, I'll be right there to rescue you! response:	Miss Rei!
context: Hurry!\How about this?!\Blizzar!\What is this?!\I'm scared!\Miss Rei!\Miss Rei, I'll be right there to rescue you!\Miss Rei! response:	I thought I just heard someone's voice...
context: How about this?!\Blizzar!\What is this?!\I'm scared!\Miss Rei!\Miss Rei, I'll be right there to rescue you!\Miss Rei!\I thought I just heard someone's voice... response:	There is something to being the princess.
context: Blizzar!\What is this?!\I'm scared!\Miss Rei!\Miss Rei, I'll be right there to rescue you!\Miss Rei!\I thought I just heard someone's voice...\There is something to being the princess. response:	But I doubt you can escape from this!
context: What is this?!\I'm scared!\Miss Rei!\Miss Rei, I'll be right there to rescue you!\Miss Rei!\I thought I just heard someone's voice...\There is something to being the princess.\But I doubt you can escape from this! response:	Bli! Bli! Bli! Bli!
context: I'm scared!\Miss Rei!\Miss Rei, I'll be right there to rescue you!\Miss Rei!\I thought I just heard someone's voice...\There is something to being the princess.\But I doubt you can escape from this!\Bli! Bli! Bli! Bli! response:	Usagi!
context: Miss Rei!\Miss Rei, I'll be right there to rescue you!\Miss Rei!\I thought I just heard someone's voice...\There is something to being the princess.\But I doubt you can escape from this!\Bli! Bli! Bli! Bli!\Usagi! response:	What'll we do now?
context: Miss Rei, I'll be right there to rescue you!\Miss Rei!\I thought I just heard someone's voice...\There is something to being the princess.\But I doubt you can escape from this!\Bli! Bli! Bli! Bli!\Usagi!\What'll we do now? response:	Something is wrong here. Could it be a monster?
context: Miss Rei!\I thought I just heard someone's voice...\There is something to being the princess.\But I doubt you can escape from this!\Bli! Bli! Bli! Bli!\Usagi!\What'll we do now?\Something is wrong here. Could it be a monster? response:	Rei, are you all right?
context: I thought I just heard someone's voice...\There is something to being the princess.\But I doubt you can escape from this!\Bli! Bli! Bli! Bli!\Usagi!\What'll we do now?\Something is wrong here. Could it be a monster?\Rei, are you all right? response:	Of course, I'm not all right!
context: There is something to being the princess.\But I doubt you can escape from this!\Bli! Bli! Bli! Bli!\Usagi!\What'll we do now?\Something is wrong here. Could it be a monster?\Rei, are you all right?\Of course, I'm not all right! response:	Come on! Hurry up and climb out of here!
context: But I doubt you can escape from this!\Bli! Bli! Bli! Bli!\Usagi!\What'll we do now?\Something is wrong here. Could it be a monster?\Rei, are you all right?\Of course, I'm not all right!\Come on! Hurry up and climb out of here! response:	Say, Rei, let's think of some other way.
context: Bli! Bli! Bli! Bli!\Usagi!\What'll we do now?\Something is wrong here. Could it be a monster?\Rei, are you all right?\Of course, I'm not all right!\Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way. response:	What are you saying?!
context: Usagi!\What'll we do now?\Something is wrong here. Could it be a monster?\Rei, are you all right?\Of course, I'm not all right!\Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way.\What are you saying?! response:	You'll become less of a woman if you give up so easily!
context: What'll we do now?\Something is wrong here. Could it be a monster?\Rei, are you all right?\Of course, I'm not all right!\Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way.\What are you saying?!\You'll become less of a woman if you give up so easily! response:	You have to show your willpower! Willpower!
context: Something is wrong here. Could it be a monster?\Rei, are you all right?\Of course, I'm not all right!\Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way.\What are you saying?!\You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower! response:	Man, I guess they will have already picked somebody else
context: Rei, are you all right?\Of course, I'm not all right!\Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way.\What are you saying?!\You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else response:	to be the Moon Princess.
context: Of course, I'm not all right!\Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way.\What are you saying?!\You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else\to be the Moon Princess. response:	I'm sure they did! Thanks to someone,
context: Come on! Hurry up and climb out of here!\Say, Rei, let's think of some other way.\What are you saying?!\You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else\to be the Moon Princess.\I'm sure they did! Thanks to someone, response:	I've missed my chance at the crown!
context: Say, Rei, let's think of some other way.\What are you saying?!\You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else\to be the Moon Princess.\I'm sure they did! Thanks to someone,\I've missed my chance at the crown! response:	I'm sorry.
context: What are you saying?!\You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else\to be the Moon Princess.\I'm sure they did! Thanks to someone,\I've missed my chance at the crown!\I'm sorry. response:	Tuxedo Mask...
context: You'll become less of a woman if you give up so easily!\You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else\to be the Moon Princess.\I'm sure they did! Thanks to someone,\I've missed my chance at the crown!\I'm sorry.\Tuxedo Mask... response:	Oh, Rei!
context: You have to show your willpower! Willpower!\Man, I guess they will have already picked somebody else\to be the Moon Princess.\I'm sure they did! Thanks to someone,\I've missed my chance at the crown!\I'm sorry.\Tuxedo Mask...\Oh, Rei! response:	That belongs to Tuxedo Mask, right?
context: Man, I guess they will have already picked somebody else\to be the Moon Princess.\I'm sure they did! Thanks to someone,\I've missed my chance at the crown!\I'm sorry.\Tuxedo Mask...\Oh, Rei!\That belongs to Tuxedo Mask, right? response:	Yeah.
context: to be the Moon Princess.\I'm sure they did! Thanks to someone,\I've missed my chance at the crown!\I'm sorry.\Tuxedo Mask...\Oh, Rei!\That belongs to Tuxedo Mask, right?\Yeah. response:	When I'm feeling Ionely and stuff, listening to this makes me feel better.
context: I'm sure they did! Thanks to someone,\I've missed my chance at the crown!\I'm sorry.\Tuxedo Mask...\Oh, Rei!\That belongs to Tuxedo Mask, right?\Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better. response:	Oh, I'm not trying to show this off or anything!
context: I've missed my chance at the crown!\I'm sorry.\Tuxedo Mask...\Oh, Rei!\That belongs to Tuxedo Mask, right?\Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything! response:	I just wanted a change of pace...
context: I'm sorry.\Tuxedo Mask...\Oh, Rei!\That belongs to Tuxedo Mask, right?\Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything!\I just wanted a change of pace... response:	I'm sorry, Rei. Did I hurt your feelings?
context: Tuxedo Mask...\Oh, Rei!\That belongs to Tuxedo Mask, right?\Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything!\I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings? response:	Why? I don't care about that anymore.
context: Oh, Rei!\That belongs to Tuxedo Mask, right?\Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything!\I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore. response:	What? But...
context: That belongs to Tuxedo Mask, right?\Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything!\I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore.\What? But... response:	To be honest, I've already given up on Mamoru...
context: Yeah.\When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything!\I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore.\What? But...\To be honest, I've already given up on Mamoru... response:	No, I mean, Tuxedo Mask.
context: When I'm feeling Ionely and stuff, listening to this makes me feel better.\Oh, I'm not trying to show this off or anything!\I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore.\What? But...\To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask. response:	After all, he tried to protect you and put his own life at risk.
context: Oh, I'm not trying to show this off or anything!\I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore.\What? But...\To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk. response:	I can't possibly win against that.
context: I just wanted a change of pace...\I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore.\What? But...\To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk.\I can't possibly win against that. response:	Rei...
context: I'm sorry, Rei. Did I hurt your feelings?\Why? I don't care about that anymore.\What? But...\To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk.\I can't possibly win against that.\Rei... response:	But remember this, Usagi Tsukino.
context: Why? I don't care about that anymore.\What? But...\To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk.\I can't possibly win against that.\Rei...\But remember this, Usagi Tsukino. response:	If you don't become happy with Mamoru, I will punish you!
context: What? But...\To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk.\I can't possibly win against that.\Rei...\But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you! response:	Okay.
context: To be honest, I've already given up on Mamoru...\No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk.\I can't possibly win against that.\Rei...\But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you!\Okay. response:	And to do that,
context: No, I mean, Tuxedo Mask.\After all, he tried to protect you and put his own life at risk.\I can't possibly win against that.\Rei...\But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you!\Okay.\And to do that, response:	we have to defeat the bad guys in the Dark Kingdom,
context: After all, he tried to protect you and put his own life at risk.\I can't possibly win against that.\Rei...\But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you!\Okay.\And to do that,\we have to defeat the bad guys in the Dark Kingdom, response:	and restore peace to the world.
context: I can't possibly win against that.\Rei...\But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you!\Okay.\And to do that,\we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world. response:	You're right. Oh, I just remembered something!
context: Rei...\But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you!\Okay.\And to do that,\we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world.\You're right. Oh, I just remembered something! response:	What's this all of a sudden?!
context: But remember this, Usagi Tsukino.\If you don't become happy with Mamoru, I will punish you!\Okay.\And to do that,\we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world.\You're right. Oh, I just remembered something!\What's this all of a sudden?! response:	Rei, we can get right out of here if you use your Fire Soul!
context: If you don't become happy with Mamoru, I will punish you!\Okay.\And to do that,\we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world.\You're right. Oh, I just remembered something!\What's this all of a sudden?!\Rei, we can get right out of here if you use your Fire Soul! response:	You're right! Why didn't you notice that earlier?!
context: Okay.\And to do that,\we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world.\You're right. Oh, I just remembered something!\What's this all of a sudden?!\Rei, we can get right out of here if you use your Fire Soul!\You're right! Why didn't you notice that earlier?! response:	Usagi, you are such a slowpoke!
context: And to do that,\we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world.\You're right. Oh, I just remembered something!\What's this all of a sudden?!\Rei, we can get right out of here if you use your Fire Soul!\You're right! Why didn't you notice that earlier?!\Usagi, you are such a slowpoke! response:	How about you, Rei?!
context: we have to defeat the bad guys in the Dark Kingdom,\and restore peace to the world.\You're right. Oh, I just remembered something!\What's this all of a sudden?!\Rei, we can get right out of here if you use your Fire Soul!\You're right! Why didn't you notice that earlier?!\Usagi, you are such a slowpoke!\How about you, Rei?! response:	Okay, let's transform! Mars Power...
