context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: Are you actually slow, Sir?\Heard about the knives specially made to kill you.\I've tested and inserted some in my hand.\It's really effective against you.\The reason he got suspended was because of the violent behaviour during 2nd year.\Even though he's good in class,\he still ends up in Class E.\Karma is good with fights and foul play. response:	Maybe among us students in the assassination classroom,
context: Heard about the knives specially made to kill you.\I've tested and inserted some in my hand.\It's really effective against you.\The reason he got suspended was because of the violent behaviour during 2nd year.\Even though he's good in class,\he still ends up in Class E.\Karma is good with fights and foul play.\Maybe among us students in the assassination classroom, response:	he might simply be the top of the class.
context: I've tested and inserted some in my hand.\It's really effective against you.\The reason he got suspended was because of the violent behaviour during 2nd year.\Even though he's good in class,\he still ends up in Class E.\Karma is good with fights and foul play.\Maybe among us students in the assassination classroom,\he might simply be the top of the class. response:	Karma Akabane.
context: It's really effective against you.\The reason he got suspended was because of the violent behaviour during 2nd year.\Even though he's good in class,\he still ends up in Class E.\Karma is good with fights and foul play.\Maybe among us students in the assassination classroom,\he might simply be the top of the class.\Karma Akabane. response:	He already got full marks even though he just got back.
context: The reason he got suspended was because of the violent behaviour during 2nd year.\Even though he's good in class,\he still ends up in Class E.\Karma is good with fights and foul play.\Maybe among us students in the assassination classroom,\he might simply be the top of the class.\Karma Akabane.\He already got full marks even though he just got back. response:	Now then, how should I guide him.
context: Even though he's good in class,\he still ends up in Class E.\Karma is good with fights and foul play.\Maybe among us students in the assassination classroom,\he might simply be the top of the class.\Karma Akabane.\He already got full marks even though he just got back.\Now then, how should I guide him. response:	Good morning everyone!
context: he still ends up in Class E.\Karma is good with fights and foul play.\Maybe among us students in the assassination classroom,\he might simply be the top of the class.\Karma Akabane.\He already got full marks even though he just got back.\Now then, how should I guide him.\Good morning everyone! response:	Oh my.
context: Karma is good with fights and foul play.\Maybe among us students in the assassination classroom,\he might simply be the top of the class.\Karma Akabane.\He already got full marks even though he just got back.\Now then, how should I guide him.\Good morning everyone!\Oh my. response:	Whoops! My bad!
context: Maybe among us students in the assassination classroom,\he might simply be the top of the class.\Karma Akabane.\He already got full marks even though he just got back.\Now then, how should I guide him.\Good morning everyone!\Oh my.\Whoops! My bad! response:	I killed that creature thinking it was you.
context: he might simply be the top of the class.\Karma Akabane.\He already got full marks even though he just got back.\Now then, how should I guide him.\Good morning everyone!\Oh my.\Whoops! My bad!\I killed that creature thinking it was you. response:	Bring it here. I'll dispose of it.
context: Karma Akabane.\He already got full marks even though he just got back.\Now then, how should I guide him.\Good morning everyone!\Oh my.\Whoops! My bad!\I killed that creature thinking it was you.\Bring it here. I'll dispose of it. response:	I'll start by slowly destroying your soul.
context: He already got full marks even though he just got back.\Now then, how should I guide him.\Good morning everyone!\Oh my.\Whoops! My bad!\I killed that creature thinking it was you.\Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul. response:	Now, now, Karma. Allow me to show you
context: Now then, how should I guide him.\Good morning everyone!\Oh my.\Whoops! My bad!\I killed that creature thinking it was you.\Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you response:	the power of these drill tentacles and this missile I filched from the Self Defense-Force.
context: Good morning everyone!\Oh my.\Whoops! My bad!\I killed that creature thinking it was you.\Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force. response:	I'm not about to let my assassin get away scot-free.
context: Oh my.\Whoops! My bad!\I killed that creature thinking it was you.\Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free. response:	Hot!
context: Whoops! My bad!\I killed that creature thinking it was you.\Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free.\Hot! response:	I could tell by your pallor that you hadn't eaten breakfast, you see.
context: I killed that creature thinking it was you.\Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free.\Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see. response:	So I whipped up a batch of takoyaki at Mach speed.
context: Bring it here. I'll dispose of it.\I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free.\Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed. response:	Takoyaki?
context: I'll start by slowly destroying your soul.\Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free.\Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed.\Takoyaki? response:	With these, you'll be well on your way to being nice and healthy.
context: Now, now, Karma. Allow me to show you\the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free.\Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed.\Takoyaki?\With these, you'll be well on your way to being nice and healthy. response:	Ah, I also got to give you a little nail art.
context: the power of these drill tentacles and this missile I filched from the Self Defense-Force.\I'm not about to let my assassin get away scot-free.\Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed.\Takoyaki?\With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art. response:	Are you done over there?
context: I'm not about to let my assassin get away scot-free.\Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed.\Takoyaki?\With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art.\Are you done over there? response:	It has this kind of sharp tang to it.
context: Hot!\I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed.\Takoyaki?\With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art.\Are you done over there?\It has this kind of sharp tang to it. response:	Well, why don't you start over?
context: I could tell by your pallor that you hadn't eaten breakfast, you see.\So I whipped up a batch of takoyaki at Mach speed.\Takoyaki?\With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art.\Are you done over there?\It has this kind of sharp tang to it.\Well, why don't you start over? response:	Toss that batch out.
context: So I whipped up a batch of takoyaki at Mach speed.\Takoyaki?\With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art.\Are you done over there?\It has this kind of sharp tang to it.\Well, why don't you start over?\Toss that batch out. response:	You forgot your apron, Karma.
context: Takoyaki?\With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art.\Are you done over there?\It has this kind of sharp tang to it.\Well, why don't you start over?\Toss that batch out.\You forgot your apron, Karma. response:	How cute!
context: With these, you'll be well on your way to being nice and healthy.\Ah, I also got to give you a little nail art.\Are you done over there?\It has this kind of sharp tang to it.\Well, why don't you start over?\Toss that batch out.\You forgot your apron, Karma.\How cute! response:	Don't worry about the soup.
context: Ah, I also got to give you a little nail art.\Are you done over there?\It has this kind of sharp tang to it.\Well, why don't you start over?\Toss that batch out.\You forgot your apron, Karma.\How cute!\Don't worry about the soup. response:	I collected it all in midair with an eyedropper.
context: Are you done over there?\It has this kind of sharp tang to it.\Well, why don't you start over?\Toss that batch out.\You forgot your apron, Karma.\How cute!\Don't worry about the soup.\I collected it all in midair with an eyedropper. response:	I added a little sugar while I was at it, too.
context: It has this kind of sharp tang to it.\Well, why don't you start over?\Toss that batch out.\You forgot your apron, Karma.\How cute!\Don't worry about the soup.\I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too. response:	Hmm. It's much milder now.
context: Well, why don't you start over?\Toss that batch out.\You forgot your apron, Karma.\How cute!\Don't worry about the soup.\I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too.\Hmm. It's much milder now. response:	You're really good at cooking.
context: Toss that batch out.\You forgot your apron, Karma.\How cute!\Don't worry about the soup.\I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too.\Hmm. It's much milder now.\You're really good at cooking. response:	That's because I've been living alone for a long time now.
context: You forgot your apron, Karma.\How cute!\Don't worry about the soup.\I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too.\Hmm. It's much milder now.\You're really good at cooking.\That's because I've been living alone for a long time now. response:	Karma.
context: How cute!\Don't worry about the soup.\I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too.\Hmm. It's much milder now.\You're really good at cooking.\That's because I've been living alone for a long time now.\Karma. response:	Looks like you went wild again.
context: Don't worry about the soup.\I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too.\Hmm. It's much milder now.\You're really good at cooking.\That's because I've been living alone for a long time now.\Karma.\Looks like you went wild again. response:	Heard it's six versus one?
context: I collected it all in midair with an eyedropper.\I added a little sugar while I was at it, too.\Hmm. It's much milder now.\You're really good at cooking.\That's because I've been living alone for a long time now.\Karma.\Looks like you went wild again.\Heard it's six versus one? response:	The PTA from other school might file a complaint.
context: I added a little sugar while I was at it, too.\Hmm. It's much milder now.\You're really good at cooking.\That's because I've been living alone for a long time now.\Karma.\Looks like you went wild again.\Heard it's six versus one?\The PTA from other school might file a complaint. response:	But I think you did the right thing.
context: Hmm. It's much milder now.\You're really good at cooking.\That's because I've been living alone for a long time now.\Karma.\Looks like you went wild again.\Heard it's six versus one?\The PTA from other school might file a complaint.\But I think you did the right thing. response:	But even though you get into fights easily,
context: You're really good at cooking.\That's because I've been living alone for a long time now.\Karma.\Looks like you went wild again.\Heard it's six versus one?\The PTA from other school might file a complaint.\But I think you did the right thing.\But even though you get into fights easily, response:	I'll always be on your side!
context: That's because I've been living alone for a long time now.\Karma.\Looks like you went wild again.\Heard it's six versus one?\The PTA from other school might file a complaint.\But I think you did the right thing.\But even though you get into fights easily,\I'll always be on your side! response:	Too bitter! It's unsweetened?!
context: Karma.\Looks like you went wild again.\Heard it's six versus one?\The PTA from other school might file a complaint.\But I think you did the right thing.\But even though you get into fights easily,\I'll always be on your side!\Too bitter! It's unsweetened?! response:	It's bad.
context: Looks like you went wild again.\Heard it's six versus one?\The PTA from other school might file a complaint.\But I think you did the right thing.\But even though you get into fights easily,\I'll always be on your side!\Too bitter! It's unsweetened?!\It's bad. response:	I should have gotten the sweetened one.
context: Heard it's six versus one?\The PTA from other school might file a complaint.\But I think you did the right thing.\But even though you get into fights easily,\I'll always be on your side!\Too bitter! It's unsweetened?!\It's bad.\I should have gotten the sweetened one. response:	The hell you're thinking?
context: The PTA from other school might file a complaint.\But I think you did the right thing.\But even though you get into fights easily,\I'll always be on your side!\Too bitter! It's unsweetened?!\It's bad.\I should have gotten the sweetened one.\The hell you're thinking? response:	What's so funny?
context: But I think you did the right thing.\But even though you get into fights easily,\I'll always be on your side!\Too bitter! It's unsweetened?!\It's bad.\I should have gotten the sweetened one.\The hell you're thinking?\What's so funny? response:	Say, Nagisa.
context: But even though you get into fights easily,\I'll always be on your side!\Too bitter! It's unsweetened?!\It's bad.\I should have gotten the sweetened one.\The hell you're thinking?\What's so funny?\Say, Nagisa. response:	Hmm?
context: I'll always be on your side!\Too bitter! It's unsweetened?!\It's bad.\I should have gotten the sweetened one.\The hell you're thinking?\What's so funny?\Say, Nagisa.\Hmm? response:	What kind of guy is he?
context: Too bitter! It's unsweetened?!\It's bad.\I should have gotten the sweetened one.\The hell you're thinking?\What's so funny?\Say, Nagisa.\Hmm?\What kind of guy is he? response:	Korosensei's a bit weird
context: It's bad.\I should have gotten the sweetened one.\The hell you're thinking?\What's so funny?\Say, Nagisa.\Hmm?\What kind of guy is he?\Korosensei's a bit weird response:	but he's a good teacher.
context: I should have gotten the sweetened one.\The hell you're thinking?\What's so funny?\Say, Nagisa.\Hmm?\What kind of guy is he?\Korosensei's a bit weird\but he's a good teacher. response:	Even though he's a powerful who can destroy the world
context: The hell you're thinking?\What's so funny?\Say, Nagisa.\Hmm?\What kind of guy is he?\Korosensei's a bit weird\but he's a good teacher.\Even though he's a powerful who can destroy the world response:	but everyone is saying he's quite good at teaching.
context: What's so funny?\Say, Nagisa.\Hmm?\What kind of guy is he?\Korosensei's a bit weird\but he's a good teacher.\Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching. response:	It's a good thing he's doing his job as a teacher.
context: Say, Nagisa.\Hmm?\What kind of guy is he?\Korosensei's a bit weird\but he's a good teacher.\Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher. response:	But still, there are orders to kill him, huh?
context: Hmm?\What kind of guy is he?\Korosensei's a bit weird\but he's a good teacher.\Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh? response:	Karma.
context: What kind of guy is he?\Korosensei's a bit weird\but he's a good teacher.\Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh?\Karma. response:	That surprised me.
context: Korosensei's a bit weird\but he's a good teacher.\Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh?\Karma.\That surprised me. response:	You see, I'm also sharpening the dull and rusty skills of assassins.
context: but he's a good teacher.\Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh?\Karma.\That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins. response:	As you observed, I've certainly taken good care of you today.
context: Even though he's a powerful who can destroy the world\but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh?\Karma.\That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today. response:	Please go ahead and still try to kill me.
context: but everyone is saying he's quite good at teaching.\It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh?\Karma.\That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me. response:	I'll polish you up even shinier.
context: It's a good thing he's doing his job as a teacher.\But still, there are orders to kill him, huh?\Karma.\That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me.\I'll polish you up even shinier. response:	I want to ask...
context: But still, there are orders to kill him, huh?\Karma.\That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me.\I'll polish you up even shinier.\I want to ask... response:	Would you be able to risk your life to protect one of your students?
context: Karma.\That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me.\I'll polish you up even shinier.\I want to ask...\Would you be able to risk your life to protect one of your students? response:	Of course.
context: That surprised me.\You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me.\I'll polish you up even shinier.\I want to ask...\Would you be able to risk your life to protect one of your students?\Of course. response:	I'm a teacher after all.
context: You see, I'm also sharpening the dull and rusty skills of assassins.\As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me.\I'll polish you up even shinier.\I want to ask...\Would you be able to risk your life to protect one of your students?\Of course.\I'm a teacher after all. response:	If that's so...
context: As you observed, I've certainly taken good care of you today.\Please go ahead and still try to kill me.\I'll polish you up even shinier.\I want to ask...\Would you be able to risk your life to protect one of your students?\Of course.\I'm a teacher after all.\If that's so... response:	Then I'll be able to kill you.
context: Please go ahead and still try to kill me.\I'll polish you up even shinier.\I want to ask...\Would you be able to risk your life to protect one of your students?\Of course.\I'm a teacher after all.\If that's so...\Then I'll be able to kill you. response:	For sure.
context: I'll polish you up even shinier.\I want to ask...\Would you be able to risk your life to protect one of your students?\Of course.\I'm a teacher after all.\If that's so...\Then I'll be able to kill you.\For sure. response:	Stop it!
context: I want to ask...\Would you be able to risk your life to protect one of your students?\Of course.\I'm a teacher after all.\If that's so...\Then I'll be able to kill you.\For sure.\Stop it! response:	Hey!
context: Would you be able to risk your life to protect one of your students?\Of course.\I'm a teacher after all.\If that's so...\Then I'll be able to kill you.\For sure.\Stop it!\Hey! response:	Give it back! I beg you!
context: Of course.\I'm a teacher after all.\If that's so...\Then I'll be able to kill you.\For sure.\Stop it!\Hey!\Give it back! I beg you! response:	How dare you!
context: I'm a teacher after all.\If that's so...\Then I'll be able to kill you.\For sure.\Stop it!\Hey!\Give it back! I beg you!\How dare you! response:	You okay with this?
context: If that's so...\Then I'll be able to kill you.\For sure.\Stop it!\Hey!\Give it back! I beg you!\How dare you!\You okay with this? response:	Don't worry about it. You're my senior. Just because you're at E Class,
context: Then I'll be able to kill you.\For sure.\Stop it!\Hey!\Give it back! I beg you!\How dare you!\You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class, response:	I can't just let them bully you.
context: For sure.\Stop it!\Hey!\Give it back! I beg you!\How dare you!\You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you. response:	You're in the wrong!
context: Stop it!\Hey!\Give it back! I beg you!\How dare you!\You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you.\You're in the wrong! response:	What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!
context: Hey!\Give it back! I beg you!\How dare you!\You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you.\You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?! response:	If something bad happens to them, it'll be on my head!
context: Give it back! I beg you!\How dare you!\You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you.\You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head! response:	He let me down.
context: How dare you!\You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you.\You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head!\He let me down. response:	Now he's dead to me.
context: You okay with this?\Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you.\You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head!\He let me down.\Now he's dead to me. response:	You'll get killed by my shot if you come and rescue me.
context: Don't worry about it. You're my senior. Just because you're at E Class,\I can't just let them bully you.\You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head!\He let me down.\Now he's dead to me.\You'll get killed by my shot if you come and rescue me. response:	If you let me die, you're good as dead as a teacher.
context: I can't just let them bully you.\You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head!\He let me down.\Now he's dead to me.\You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher. response:	Now, which death would you choose?
context: You're in the wrong!\What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head!\He let me down.\Now he's dead to me.\You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher.\Now, which death would you choose? response:	Karma, splendid job on the premeditated assassinations starring yourself.
context: What were you thinking siding with the E Class and hurt students from A class who had a bright future ahead?!\If something bad happens to them, it'll be on my head!\He let me down.\Now he's dead to me.\You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher.\Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself. response:	If I'd saved you at Mach speed, your body wouldn't have been able to take it,
context: If something bad happens to them, it'll be on my head!\He let me down.\Now he's dead to me.\You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher.\Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it, response:	and if I'd move slowly, I'd have been hit.
context: He let me down.\Now he's dead to me.\You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher.\Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit. response:	So I thought I'd try a stickier approach.
context: Now he's dead to me.\You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher.\Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach. response:	What can't these tentacles do?!
context: You'll get killed by my shot if you come and rescue me.\If you let me die, you're good as dead as a teacher.\Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach.\What can't these tentacles do?! response:	Oh, and for the record: Letting you die is not an option for me.
context: If you let me die, you're good as dead as a teacher.\Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach.\What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me. response:	Feel free to take a leap of faith any time you like.
context: Now, which death would you choose?\Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach.\What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like. response:	It's no use.
context: Karma, splendid job on the premeditated assassinations starring yourself.\If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach.\What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like.\It's no use. response:	He won't die, no matter what I do.
context: If I'd saved you at Mach speed, your body wouldn't have been able to take it,\and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach.\What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like.\It's no use.\He won't die, no matter what I do. response:	Not the teacher part of him, anyway.
context: and if I'd move slowly, I'd have been hit.\So I thought I'd try a stickier approach.\What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like.\It's no use.\He won't die, no matter what I do.\Not the teacher part of him, anyway. response:	Korosensei.
context: So I thought I'd try a stickier approach.\What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like.\It's no use.\He won't die, no matter what I do.\Not the teacher part of him, anyway.\Korosensei. response:	Yes?
context: What can't these tentacles do?!\Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like.\It's no use.\He won't die, no matter what I do.\Not the teacher part of him, anyway.\Korosensei.\Yes? response:	I'll be sure to kill you someday.
context: Oh, and for the record: Letting you die is not an option for me.\Feel free to take a leap of faith any time you like.\It's no use.\He won't die, no matter what I do.\Not the teacher part of him, anyway.\Korosensei.\Yes?\I'll be sure to kill you someday. response:	I'm looking forward to it.
context: Feel free to take a leap of faith any time you like.\It's no use.\He won't die, no matter what I do.\Not the teacher part of him, anyway.\Korosensei.\Yes?\I'll be sure to kill you someday.\I'm looking forward to it. response:	Why does he, as a teacher, go that far for us as his students?
context: It's no use.\He won't die, no matter what I do.\Not the teacher part of him, anyway.\Korosensei.\Yes?\I'll be sure to kill you someday.\I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students? response:	It has been two months since that mysterious creature destroyed the moon.
context: He won't die, no matter what I do.\Not the teacher part of him, anyway.\Korosensei.\Yes?\I'll be sure to kill you someday.\I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon. response:	Although the world leaders have agreed to entrust it all to us Japanese,
context: Not the teacher part of him, anyway.\Korosensei.\Yes?\I'll be sure to kill you someday.\I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese, response:	military satellites and ballistic missiles are still sent to destroy the super creature.
context: Korosensei.\Yes?\I'll be sure to kill you someday.\I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature. response:	And I'm afraid along with whole of Japan.
context: Yes?\I'll be sure to kill you someday.\I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan. response:	But it has been reported that any of those attacks have been stopped by the super creature.
context: I'll be sure to kill you someday.\I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature. response:	And in the end, we ended up being protected by him.
context: I'm looking forward to it.\Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him. response:	It's ironic.
context: Why does he, as a teacher, go that far for us as his students?\It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him.\It's ironic. response:	If this goes on, we won't be able to stop him of destroying the world before March.
context: It has been two months since that mysterious creature destroyed the moon.\Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him.\It's ironic.\If this goes on, we won't be able to stop him of destroying the world before March. response:	Even though I intended to let you handle this,
context: Although the world leaders have agreed to entrust it all to us Japanese,\military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him.\It's ironic.\If this goes on, we won't be able to stop him of destroying the world before March.\Even though I intended to let you handle this, response:	looks like I don't see any progress at all.
context: military satellites and ballistic missiles are still sent to destroy the super creature.\And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him.\It's ironic.\If this goes on, we won't be able to stop him of destroying the world before March.\Even though I intended to let you handle this,\looks like I don't see any progress at all. response:	My apologies, Sir.
context: And I'm afraid along with whole of Japan.\But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him.\It's ironic.\If this goes on, we won't be able to stop him of destroying the world before March.\Even though I intended to let you handle this,\looks like I don't see any progress at all.\My apologies, Sir. response:	But we'll be sending a transfer student.
context: But it has been reported that any of those attacks have been stopped by the super creature.\And in the end, we ended up being protected by him.\It's ironic.\If this goes on, we won't be able to stop him of destroying the world before March.\Even though I intended to let you handle this,\looks like I don't see any progress at all.\My apologies, Sir.\But we'll be sending a transfer student. response:	A transfer student?
