context: In the summer when I was 16, response:	I changed my brand of cigarettes to Seven Stars.
context: So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent.\What kinda place should I be looking for?\You're even hastier than I am.\You that eager to play newlyweds?\I was just thinking you're really busy,\so I wanted to help in any way that I can. response:	You wanna move out fast
context: But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent.\What kinda place should I be looking for?\You're even hastier than I am.\You that eager to play newlyweds?\I was just thinking you're really busy,\so I wanted to help in any way that I can.\You wanna move out fast response:	because you're finding it hard to face Nana, right?
context: While you're away, I'll go see a real estate agent.\What kinda place should I be looking for?\You're even hastier than I am.\You that eager to play newlyweds?\I was just thinking you're really busy,\so I wanted to help in any way that I can.\You wanna move out fast\because you're finding it hard to face Nana, right? response:	She seems to be very good friends with Nobu,
context: What kinda place should I be looking for?\You're even hastier than I am.\You that eager to play newlyweds?\I was just thinking you're really busy,\so I wanted to help in any way that I can.\You wanna move out fast\because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu, response:	so it's gotta be uncomfortable.
context: You're even hastier than I am.\You that eager to play newlyweds?\I was just thinking you're really busy,\so I wanted to help in any way that I can.\You wanna move out fast\because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu,\so it's gotta be uncomfortable. response:	And she doesn't hide the fact that she's upset about this.
context: You that eager to play newlyweds?\I was just thinking you're really busy,\so I wanted to help in any way that I can.\You wanna move out fast\because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu,\so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this. response:	FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA
context: I was just thinking you're really busy,\so I wanted to help in any way that I can.\You wanna move out fast\because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu,\so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA response:	I'll talk to someone at my agency about finding a place,
context: so I wanted to help in any way that I can.\You wanna move out fast\because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu,\so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place, response:	and have him list up a few options.
context: You wanna move out fast\because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu,\so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place,\and have him list up a few options. response:	You can go view these places when you're feeling better
context: because you're finding it hard to face Nana, right?\She seems to be very good friends with Nobu,\so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place,\and have him list up a few options.\You can go view these places when you're feeling better response:	and decide on a place you like.
context: She seems to be very good friends with Nobu,\so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place,\and have him list up a few options.\You can go view these places when you're feeling better\and decide on a place you like. response:	You're not looking as pale. Are you feeling less nauseous?
context: so it's gotta be uncomfortable.\And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place,\and have him list up a few options.\You can go view these places when you're feeling better\and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous? response:	Mhm. Thanks. I feel much better.
context: And she doesn't hide the fact that she's upset about this.\FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place,\and have him list up a few options.\You can go view these places when you're feeling better\and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better. response:	Takumi...
context: FROM: REIRA SUBJECT: GOOD MORNING. I'M DONE WITH THE LYRICS. IT'S AN INNOCENT LOVE STORY. FROM LOVELY REIRA\I'll talk to someone at my agency about finding a place,\and have him list up a few options.\You can go view these places when you're feeling better\and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better.\Takumi... response:	Shouldn't you be going to your recording?
context: I'll talk to someone at my agency about finding a place,\and have him list up a few options.\You can go view these places when you're feeling better\and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better.\Takumi...\Shouldn't you be going to your recording? response:	I still have plenty of time.
context: and have him list up a few options.\You can go view these places when you're feeling better\and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better.\Takumi...\Shouldn't you be going to your recording?\I still have plenty of time. response:	But this may not be good for the baby in my tummy.
context: You can go view these places when you're feeling better\and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better.\Takumi...\Shouldn't you be going to your recording?\I still have plenty of time.\But this may not be good for the baby in my tummy. response:	It'll be fine. It'll be fine.
context: and decide on a place you like.\You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better.\Takumi...\Shouldn't you be going to your recording?\I still have plenty of time.\But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine. response:	Nana will hear us.
context: You're not looking as pale. Are you feeling less nauseous?\Mhm. Thanks. I feel much better.\Takumi...\Shouldn't you be going to your recording?\I still have plenty of time.\But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine.\Nana will hear us. response:	Don't worry.
context: Mhm. Thanks. I feel much better.\Takumi...\Shouldn't you be going to your recording?\I still have plenty of time.\But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine.\Nana will hear us.\Don't worry. response:	Just keep your voice down, and she'll never notice.
context: Takumi...\Shouldn't you be going to your recording?\I still have plenty of time.\But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine.\Nana will hear us.\Don't worry.\Just keep your voice down, and she'll never notice. response:	But she's already pretty angry!
context: Shouldn't you be going to your recording?\I still have plenty of time.\But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine.\Nana will hear us.\Don't worry.\Just keep your voice down, and she'll never notice.\But she's already pretty angry! response:	I need you to tame my anger first!
context: I still have plenty of time.\But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine.\Nana will hear us.\Don't worry.\Just keep your voice down, and she'll never notice.\But she's already pretty angry!\I need you to tame my anger first! response:	I can't stand the thought of other guy doing it with you.
context: But this may not be good for the baby in my tummy.\It'll be fine. It'll be fine.\Nana will hear us.\Don't worry.\Just keep your voice down, and she'll never notice.\But she's already pretty angry!\I need you to tame my anger first!\I can't stand the thought of other guy doing it with you. response:	Don't you worry about a thing and just focus on pleasing me.
context: It'll be fine. It'll be fine.\Nana will hear us.\Don't worry.\Just keep your voice down, and she'll never notice.\But she's already pretty angry!\I need you to tame my anger first!\I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me. response:	The bed we got from Mizukoshi's store was old
context: Nana will hear us.\Don't worry.\Just keep your voice down, and she'll never notice.\But she's already pretty angry!\I need you to tame my anger first!\I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old response:	and the bedsprings would squeak.
context: Don't worry.\Just keep your voice down, and she'll never notice.\But she's already pretty angry!\I need you to tame my anger first!\I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old\and the bedsprings would squeak. response:	It's driving me crazy.
context: Just keep your voice down, and she'll never notice.\But she's already pretty angry!\I need you to tame my anger first!\I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old\and the bedsprings would squeak.\It's driving me crazy. response:	You're a lot more important to me than a boyfriend, Nana.
context: But she's already pretty angry!\I need you to tame my anger first!\I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old\and the bedsprings would squeak.\It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana. response:	Liar!
context: I need you to tame my anger first!\I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old\and the bedsprings would squeak.\It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana.\Liar! response:	It seems like I'm head over heels in love with Nobu.
context: I can't stand the thought of other guy doing it with you.\Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old\and the bedsprings would squeak.\It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana.\Liar!\It seems like I'm head over heels in love with Nobu. response:	Traitor!
context: Don't you worry about a thing and just focus on pleasing me.\The bed we got from Mizukoshi's store was old\and the bedsprings would squeak.\It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana.\Liar!\It seems like I'm head over heels in love with Nobu.\Traitor! response:	Could you find a new roommate?
context: The bed we got from Mizukoshi's store was old\and the bedsprings would squeak.\It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana.\Liar!\It seems like I'm head over heels in love with Nobu.\Traitor!\Could you find a new roommate? response:	Tell me that yourself!
context: and the bedsprings would squeak.\It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana.\Liar!\It seems like I'm head over heels in love with Nobu.\Traitor!\Could you find a new roommate?\Tell me that yourself! response:	If you don't want it, I don't want it either.
context: It's driving me crazy.\You're a lot more important to me than a boyfriend, Nana.\Liar!\It seems like I'm head over heels in love with Nobu.\Traitor!\Could you find a new roommate?\Tell me that yourself!\If you don't want it, I don't want it either. response:	I wanna use the same things you do.
context: You're a lot more important to me than a boyfriend, Nana.\Liar!\It seems like I'm head over heels in love with Nobu.\Traitor!\Could you find a new roommate?\Tell me that yourself!\If you don't want it, I don't want it either.\I wanna use the same things you do. response:	Why don't you use the strawberry glass?
context: Liar!\It seems like I'm head over heels in love with Nobu.\Traitor!\Could you find a new roommate?\Tell me that yourself!\If you don't want it, I don't want it either.\I wanna use the same things you do.\Why don't you use the strawberry glass? response:	Because there are only two of them. What if I break one?
context: It seems like I'm head over heels in love with Nobu.\Traitor!\Could you find a new roommate?\Tell me that yourself!\If you don't want it, I don't want it either.\I wanna use the same things you do.\Why don't you use the strawberry glass?\Because there are only two of them. What if I break one? response:	But if you don't use them, what's the point of having them?
context: Traitor!\Could you find a new roommate?\Tell me that yourself!\If you don't want it, I don't want it either.\I wanna use the same things you do.\Why don't you use the strawberry glass?\Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them? response:	Yeah, but still, it's too sad if one of a set breaks.
context: Could you find a new roommate?\Tell me that yourself!\If you don't want it, I don't want it either.\I wanna use the same things you do.\Why don't you use the strawberry glass?\Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks. response:	You can use it, but be sure to be careful, okay?
context: Tell me that yourself!\If you don't want it, I don't want it either.\I wanna use the same things you do.\Why don't you use the strawberry glass?\Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay? response:	It's too sad if one of a set breaks.
context: If you don't want it, I don't want it either.\I wanna use the same things you do.\Why don't you use the strawberry glass?\Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks. response:	Nana?
context: I wanna use the same things you do.\Why don't you use the strawberry glass?\Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks.\Nana? response:	Leave her alone.
context: Why don't you use the strawberry glass?\Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks.\Nana?\Leave her alone. response:	Good...
context: Because there are only two of them. What if I break one?\But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks.\Nana?\Leave her alone.\Good... response:	They're together.
context: But if you don't use them, what's the point of having them?\Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks.\Nana?\Leave her alone.\Good...\They're together. response:	I'm not sad anymore.
context: Yeah, but still, it's too sad if one of a set breaks.\You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks.\Nana?\Leave her alone.\Good...\They're together.\I'm not sad anymore. response:	Huh?
context: You can use it, but be sure to be careful, okay?\It's too sad if one of a set breaks.\Nana?\Leave her alone.\Good...\They're together.\I'm not sad anymore.\Huh? response:	When did she get here?
context: It's too sad if one of a set breaks.\Nana?\Leave her alone.\Good...\They're together.\I'm not sad anymore.\Huh?\When did she get here? response:	A ring of oath
context: Nana?\Leave her alone.\Good...\They're together.\I'm not sad anymore.\Huh?\When did she get here?\A ring of oath response:	Our red string We can't see it now
context: Leave her alone.\Good...\They're together.\I'm not sad anymore.\Huh?\When did she get here?\A ring of oath\Our red string We can't see it now response:	No promises either
context: Good...\They're together.\I'm not sad anymore.\Huh?\When did she get here?\A ring of oath\Our red string We can't see it now\No promises either response:	What part of this is an innocent love story?
context: They're together.\I'm not sad anymore.\Huh?\When did she get here?\A ring of oath\Our red string We can't see it now\No promises either\What part of this is an innocent love story? response:	It seems to me more like a song about infidelity.
context: I'm not sad anymore.\Huh?\When did she get here?\A ring of oath\Our red string We can't see it now\No promises either\What part of this is an innocent love story?\It seems to me more like a song about infidelity. response:	Huh?!
context: Huh?\When did she get here?\A ring of oath\Our red string We can't see it now\No promises either\What part of this is an innocent love story?\It seems to me more like a song about infidelity.\Huh?! response:	Huh? But there's no ring of oath, right?
context: When did she get here?\A ring of oath\Our red string We can't see it now\No promises either\What part of this is an innocent love story?\It seems to me more like a song about infidelity.\Huh?!\Huh? But there's no ring of oath, right? response:	Yes, but you could interpret this
context: A ring of oath\Our red string We can't see it now\No promises either\What part of this is an innocent love story?\It seems to me more like a song about infidelity.\Huh?!\Huh? But there's no ring of oath, right?\Yes, but you could interpret this response:	as the other guy having a ring on his finger.
context: Our red string We can't see it now\No promises either\What part of this is an innocent love story?\It seems to me more like a song about infidelity.\Huh?!\Huh? But there's no ring of oath, right?\Yes, but you could interpret this\as the other guy having a ring on his finger. response:	Huh?!
context: No promises either\What part of this is an innocent love story?\It seems to me more like a song about infidelity.\Huh?!\Huh? But there's no ring of oath, right?\Yes, but you could interpret this\as the other guy having a ring on his finger.\Huh?! response:	You know, you've been acting awfully suspicious lately, Reira.
context: What part of this is an innocent love story?\It seems to me more like a song about infidelity.\Huh?!\Huh? But there's no ring of oath, right?\Yes, but you could interpret this\as the other guy having a ring on his finger.\Huh?!\You know, you've been acting awfully suspicious lately, Reira. response:	Are you having an affair?
context: It seems to me more like a song about infidelity.\Huh?!\Huh? But there's no ring of oath, right?\Yes, but you could interpret this\as the other guy having a ring on his finger.\Huh?!\You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair? response:	That's not what it means!
context: Huh?!\Huh? But there's no ring of oath, right?\Yes, but you could interpret this\as the other guy having a ring on his finger.\Huh?!\You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair?\That's not what it means! response:	But songs about infidelity sell pretty well!
context: Huh? But there's no ring of oath, right?\Yes, but you could interpret this\as the other guy having a ring on his finger.\Huh?!\You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair?\That's not what it means!\But songs about infidelity sell pretty well! response:	But it's not like that, Mari! This is about pure love!
context: Yes, but you could interpret this\as the other guy having a ring on his finger.\Huh?!\You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair?\That's not what it means!\But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love! response:	A love that binds people together! But one where you don't even kiss!
context: as the other guy having a ring on his finger.\Huh?!\You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair?\That's not what it means!\But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss! response:	Speaking of ring of oath, Take...
context: Huh?!\You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair?\That's not what it means!\But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take... response:	Hm?
context: You know, you've been acting awfully suspicious lately, Reira.\Are you having an affair?\That's not what it means!\But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take...\Hm? response:	I'm getting married.
context: Are you having an affair?\That's not what it means!\But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take...\Hm?\I'm getting married. response:	- Huh?! - It's all right, isn't it?
context: That's not what it means!\But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take...\Hm?\I'm getting married.\- Huh?! - It's all right, isn't it? response:	- You're getting married?! - You're getting married?!
context: But songs about infidelity sell pretty well!\But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take...\Hm?\I'm getting married.\- Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?! response:	What are you saying all of a sudden, Takumi?
context: But it's not like that, Mari! This is about pure love!\A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take...\Hm?\I'm getting married.\- Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi? response:	And to say it here?
context: A love that binds people together! But one where you don't even kiss!\Speaking of ring of oath, Take...\Hm?\I'm getting married.\- Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi?\And to say it here? response:	I trust the staff members here.
context: Speaking of ring of oath, Take...\Hm?\I'm getting married.\- Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi?\And to say it here?\I trust the staff members here. response:	I-I-I need an explanation!
context: Hm?\I'm getting married.\- Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi?\And to say it here?\I trust the staff members here.\I-I-I need an explanation! response:	Huh?
context: I'm getting married.\- Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi?\And to say it here?\I trust the staff members here.\I-I-I need an explanation!\Huh? response:	You getting married is even less likely
context: - Huh?! - It's all right, isn't it?\- You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi?\And to say it here?\I trust the staff members here.\I-I-I need an explanation!\Huh?\You getting married is even less likely response:	than this single selling ten million copies!
context: - You're getting married?! - You're getting married?!\What are you saying all of a sudden, Takumi?\And to say it here?\I trust the staff members here.\I-I-I need an explanation!\Huh?\You getting married is even less likely\than this single selling ten million copies! response:	My woman's pregnant.
context: What are you saying all of a sudden, Takumi?\And to say it here?\I trust the staff members here.\I-I-I need an explanation!\Huh?\You getting married is even less likely\than this single selling ten million copies!\My woman's pregnant. response:	Hachiko?!
context: And to say it here?\I trust the staff members here.\I-I-I need an explanation!\Huh?\You getting married is even less likely\than this single selling ten million copies!\My woman's pregnant.\Hachiko?! response:	You sure know a lot.
context: I trust the staff members here.\I-I-I need an explanation!\Huh?\You getting married is even less likely\than this single selling ten million copies!\My woman's pregnant.\Hachiko?!\You sure know a lot. response:	It's not like you, Takumi. It's not like you!
context: I-I-I need an explanation!\Huh?\You getting married is even less likely\than this single selling ten million copies!\My woman's pregnant.\Hachiko?!\You sure know a lot.\It's not like you, Takumi. It's not like you! response:	It's not Nobu's baby?
context: Huh?\You getting married is even less likely\than this single selling ten million copies!\My woman's pregnant.\Hachiko?!\You sure know a lot.\It's not like you, Takumi. It's not like you!\It's not Nobu's baby? response:	Why would you fall for Hachiko's tactics so easily like that?!
context: You getting married is even less likely\than this single selling ten million copies!\My woman's pregnant.\Hachiko?!\You sure know a lot.\It's not like you, Takumi. It's not like you!\It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?! response:	Tactics?
context: than this single selling ten million copies!\My woman's pregnant.\Hachiko?!\You sure know a lot.\It's not like you, Takumi. It's not like you!\It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?!\Tactics? response:	Hachiko's objectives are to earn
context: My woman's pregnant.\Hachiko?!\You sure know a lot.\It's not like you, Takumi. It's not like you!\It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?!\Tactics?\Hachiko's objectives are to earn response:	the status of being the wife of a popular musician and your money!
context: Hachiko?!\You sure know a lot.\It's not like you, Takumi. It's not like you!\It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?!\Tactics?\Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money! response:	She may have even lured you into doing it when she was ovulating!
context: You sure know a lot.\It's not like you, Takumi. It's not like you!\It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?!\Tactics?\Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating! response:	TAKUMI
context: It's not like you, Takumi. It's not like you!\It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?!\Tactics?\Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating!\TAKUMI response:	TAKUMI Takumi, I wanna see you!
context: It's not Nobu's baby?\Why would you fall for Hachiko's tactics so easily like that?!\Tactics?\Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating!\TAKUMI\TAKUMI Takumi, I wanna see you! response:	COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!
context: Why would you fall for Hachiko's tactics so easily like that?!\Tactics?\Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating!\TAKUMI\TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you! response:	COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!
context: Tactics?\Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating!\TAKUMI\TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! response:	No, I doubt it was something she did on purpose.
context: Hachiko's objectives are to earn\the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating!\TAKUMI\TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose. response:	But her objectives may be as you say.
context: the status of being the wife of a popular musician and your money!\She may have even lured you into doing it when she was ovulating!\TAKUMI\TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose.\But her objectives may be as you say. response:	I DID COME OUTSIDE. But her objectives may be as you say.
context: She may have even lured you into doing it when she was ovulating!\TAKUMI\TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose.\But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say. response:	I DID COME OUTSIDE. Are you fine with a loveless relationship?!
context: TAKUMI\TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose.\But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?! response:	Are you fine with a loveless relationship?!
context: TAKUMI Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose.\But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?! response:	Love comes later.
context: COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU! Takumi, I wanna see you!\COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose.\But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?!\Love comes later. response:	People love themselves more than anyone else.
context: COME INSIDE ME. (SHE NEVER SAID THAT.) I WANNA SEE YOU!\No, I doubt it was something she did on purpose.\But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?!\Love comes later.\People love themselves more than anyone else. response:	They end up loving those who can fulfill the most desires they have.
context: No, I doubt it was something she did on purpose.\But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?!\Love comes later.\People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have. response:	In a way, that's the truth.
context: But her objectives may be as you say.\I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?!\Love comes later.\People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have.\In a way, that's the truth. response:	HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.
context: I DID COME OUTSIDE. But her objectives may be as you say.\I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?!\Love comes later.\People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have.\In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth. response:	HIDEKI KASAI (45) DIRECTOR Huh?!
context: I DID COME OUTSIDE. Are you fine with a loveless relationship?!\Are you fine with a loveless relationship?!\Love comes later.\People love themselves more than anyone else.\They end up loving those who can fulfill the most desires they have.\In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR In a way, that's the truth.\HIDEKI KASAI (45) DIRECTOR Huh?! response:	Why not? Let them get married, Take.
