context: Higashinohashi High School response:	Well then, any suggestions for the cultural festival next month?
context: Rely on me. Okay?\Thanks!\Well, then\Hey!\You can count on me, too, ya know?\Nanashima-kun!\Senpai! I came by to help out!\You, too, Shinomiya-kun? response:	What the hell, Princess?! Don't skip out on your own class.
context: Thanks!\Well, then\Hey!\You can count on me, too, ya know?\Nanashima-kun!\Senpai! I came by to help out!\You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class. response:	My class is already finished for the day!
context: Well, then\Hey!\You can count on me, too, ya know?\Nanashima-kun!\Senpai! I came by to help out!\You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day! response:	Serinuma-san.
context: Hey!\You can count on me, too, ya know?\Nanashima-kun!\Senpai! I came by to help out!\You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day!\Serinuma-san. response:	Sorry, but can you come help out at the history club now?
context: You can count on me, too, ya know?\Nanashima-kun!\Senpai! I came by to help out!\You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day!\Serinuma-san.\Sorry, but can you come help out at the history club now? response:	Huh? Th-That's right, I totally forgot!
context: Nanashima-kun!\Senpai! I came by to help out!\You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day!\Serinuma-san.\Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot! response:	Sorry! I'm on my way!
context: Senpai! I came by to help out!\You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day!\Serinuma-san.\Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way! response:	Sorry to ask when you're so busy,
context: You, too, Shinomiya-kun?\What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day!\Serinuma-san.\Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way!\Sorry to ask when you're so busy, response:	we don't have enough hands.
context: What the hell, Princess?! Don't skip out on your own class.\My class is already finished for the day!\Serinuma-san.\Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way!\Sorry to ask when you're so busy,\we don't have enough hands. response:	No, no! It's my responsibility.
context: My class is already finished for the day!\Serinuma-san.\Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way!\Sorry to ask when you're so busy,\we don't have enough hands.\No, no! It's my responsibility. response:	This still needs buttons, though...
context: Serinuma-san.\Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way!\Sorry to ask when you're so busy,\we don't have enough hands.\No, no! It's my responsibility.\This still needs buttons, though... response:	But, the history club!
context: Sorry, but can you come help out at the history club now?\Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way!\Sorry to ask when you're so busy,\we don't have enough hands.\No, no! It's my responsibility.\This still needs buttons, though...\But, the history club! response:	I'll go in your place, then.
context: Huh? Th-That's right, I totally forgot!\Sorry! I'm on my way!\Sorry to ask when you're so busy,\we don't have enough hands.\No, no! It's my responsibility.\This still needs buttons, though...\But, the history club!\I'll go in your place, then. response:	You come, too, Igarashi.
context: Sorry! I'm on my way!\Sorry to ask when you're so busy,\we don't have enough hands.\No, no! It's my responsibility.\This still needs buttons, though...\But, the history club!\I'll go in your place, then.\You come, too, Igarashi. response:	And you.
context: Sorry to ask when you're so busy,\we don't have enough hands.\No, no! It's my responsibility.\This still needs buttons, though...\But, the history club!\I'll go in your place, then.\You come, too, Igarashi.\And you. response:	Is that okay?
context: we don't have enough hands.\No, no! It's my responsibility.\This still needs buttons, though...\But, the history club!\I'll go in your place, then.\You come, too, Igarashi.\And you.\Is that okay? response:	Totally! Come to think about it, sewing doesn't suit us, anyway!
context: No, no! It's my responsibility.\This still needs buttons, though...\But, the history club!\I'll go in your place, then.\You come, too, Igarashi.\And you.\Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway! response:	Thank you! Sorry, but I'd be really grateful!
context: This still needs buttons, though...\But, the history club!\I'll go in your place, then.\You come, too, Igarashi.\And you.\Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful! response:	Social Studies Material Room
context: But, the history club!\I'll go in your place, then.\You come, too, Igarashi.\And you.\Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room response:	Whoa, your writing is so messy!
context: I'll go in your place, then.\You come, too, Igarashi.\And you.\Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room\Whoa, your writing is so messy! response:	What a letdown.
context: You come, too, Igarashi.\And you.\Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room\Whoa, your writing is so messy!\What a letdown. response:	You don't get to talk when you get kanji wrong
context: And you.\Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room\Whoa, your writing is so messy!\What a letdown.\You don't get to talk when you get kanji wrong response:	even when you're copying them!
context: Is that okay?\Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room\Whoa, your writing is so messy!\What a letdown.\You don't get to talk when you get kanji wrong\even when you're copying them! response:	Shut it!
context: Totally! Come to think about it, sewing doesn't suit us, anyway!\Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room\Whoa, your writing is so messy!\What a letdown.\You don't get to talk when you get kanji wrong\even when you're copying them!\Shut it! response:	No need to rush.
context: Thank you! Sorry, but I'd be really grateful!\Social Studies Material Room\Whoa, your writing is so messy!\What a letdown.\You don't get to talk when you get kanji wrong\even when you're copying them!\Shut it!\No need to rush. response:	Okay...
context: Social Studies Material Room\Whoa, your writing is so messy!\What a letdown.\You don't get to talk when you get kanji wrong\even when you're copying them!\Shut it!\No need to rush.\Okay... response:	Huh? What am I doing here?
context: Whoa, your writing is so messy!\What a letdown.\You don't get to talk when you get kanji wrong\even when you're copying them!\Shut it!\No need to rush.\Okay...\Huh? What am I doing here? response:	It's for Serinuma-san, but she's not even here.
context: What a letdown.\You don't get to talk when you get kanji wrong\even when you're copying them!\Shut it!\No need to rush.\Okay...\Huh? What am I doing here?\It's for Serinuma-san, but she's not even here. response:	Hey!
context: You don't get to talk when you get kanji wrong\even when you're copying them!\Shut it!\No need to rush.\Okay...\Huh? What am I doing here?\It's for Serinuma-san, but she's not even here.\Hey! response:	Nana.
context: even when you're copying them!\Shut it!\No need to rush.\Okay...\Huh? What am I doing here?\It's for Serinuma-san, but she's not even here.\Hey!\Nana. response:	Is this fun for you?
context: Shut it!\No need to rush.\Okay...\Huh? What am I doing here?\It's for Serinuma-san, but she's not even here.\Hey!\Nana.\Is this fun for you? response:	Well, it's not so bad.
context: No need to rush.\Okay...\Huh? What am I doing here?\It's for Serinuma-san, but she's not even here.\Hey!\Nana.\Is this fun for you?\Well, it's not so bad. response:	It feels real festive!
context: Okay...\Huh? What am I doing here?\It's for Serinuma-san, but she's not even here.\Hey!\Nana.\Is this fun for you?\Well, it's not so bad.\It feels real festive! response:	I see.
context: Huh? What am I doing here?\It's for Serinuma-san, but she's not even here.\Hey!\Nana.\Is this fun for you?\Well, it's not so bad.\It feels real festive!\I see. response:	And so, preparations moved along steadily.
context: It's for Serinuma-san, but she's not even here.\Hey!\Nana.\Is this fun for you?\Well, it's not so bad.\It feels real festive!\I see.\And so, preparations moved along steadily. response:	And with a lot of commotion.
context: Hey!\Nana.\Is this fun for you?\Well, it's not so bad.\It feels real festive!\I see.\And so, preparations moved along steadily.\And with a lot of commotion. response:	The Day Before the Festival
context: Nana.\Is this fun for you?\Well, it's not so bad.\It feels real festive!\I see.\And so, preparations moved along steadily.\And with a lot of commotion.\The Day Before the Festival response:	All done!
context: Is this fun for you?\Well, it's not so bad.\It feels real festive!\I see.\And so, preparations moved along steadily.\And with a lot of commotion.\The Day Before the Festival\All done! response:	Good job!
context: Well, it's not so bad.\It feels real festive!\I see.\And so, preparations moved along steadily.\And with a lot of commotion.\The Day Before the Festival\All done!\Good job! response:	The accessories are done, too.
context: It feels real festive!\I see.\And so, preparations moved along steadily.\And with a lot of commotion.\The Day Before the Festival\All done!\Good job!\The accessories are done, too. response:	Thanks so much, A-chan!
context: I see.\And so, preparations moved along steadily.\And with a lot of commotion.\The Day Before the Festival\All done!\Good job!\The accessories are done, too.\Thanks so much, A-chan! response:	How about we try them on?
context: And so, preparations moved along steadily.\And with a lot of commotion.\The Day Before the Festival\All done!\Good job!\The accessories are done, too.\Thanks so much, A-chan!\How about we try them on? response:	Okay!
context: And with a lot of commotion.\The Day Before the Festival\All done!\Good job!\The accessories are done, too.\Thanks so much, A-chan!\How about we try them on?\Okay! response:	What about everyone else?
context: The Day Before the Festival\All done!\Good job!\The accessories are done, too.\Thanks so much, A-chan!\How about we try them on?\Okay!\What about everyone else? response:	I think they're changing right now.
context: All done!\Good job!\The accessories are done, too.\Thanks so much, A-chan!\How about we try them on?\Okay!\What about everyone else?\I think they're changing right now. response:	Here they come.
context: Good job!\The accessories are done, too.\Thanks so much, A-chan!\How about we try them on?\Okay!\What about everyone else?\I think they're changing right now.\Here they come. response:	It's so good!
context: The accessories are done, too.\Thanks so much, A-chan!\How about we try them on?\Okay!\What about everyone else?\I think they're changing right now.\Here they come.\It's so good! response:	Can I take a pic?
context: Thanks so much, A-chan!\How about we try them on?\Okay!\What about everyone else?\I think they're changing right now.\Here they come.\It's so good!\Can I take a pic? response:	Those three look better than I ever imagined!
context: How about we try them on?\Okay!\What about everyone else?\I think they're changing right now.\Here they come.\It's so good!\Can I take a pic?\Those three look better than I ever imagined! response:	Shion.
context: Okay!\What about everyone else?\I think they're changing right now.\Here they come.\It's so good!\Can I take a pic?\Those three look better than I ever imagined!\Shion. response:	Y-Yeah...
context: What about everyone else?\I think they're changing right now.\Here they come.\It's so good!\Can I take a pic?\Those three look better than I ever imagined!\Shion.\Y-Yeah... response:	Whatever way I look at you, you're Shion! Shion in 3D!
context: I think they're changing right now.\Here they come.\It's so good!\Can I take a pic?\Those three look better than I ever imagined!\Shion.\Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D! response:	Wonderful! Shion, you're wonderful!
context: Here they come.\It's so good!\Can I take a pic?\Those three look better than I ever imagined!\Shion.\Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful! response:	You, too, Shinomiya-kun!
context: It's so good!\Can I take a pic?\Those three look better than I ever imagined!\Shion.\Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun! response:	You're incredibly cute, just as I expected!
context: Can I take a pic?\Those three look better than I ever imagined!\Shion.\Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun!\You're incredibly cute, just as I expected! response:	No one would even think you're a boy!
context: Those three look better than I ever imagined!\Shion.\Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun!\You're incredibly cute, just as I expected!\No one would even think you're a boy! response:	I-Is that right?
context: Shion.\Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun!\You're incredibly cute, just as I expected!\No one would even think you're a boy!\I-Is that right? response:	She doesn't even see you as a man.
context: Y-Yeah...\Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun!\You're incredibly cute, just as I expected!\No one would even think you're a boy!\I-Is that right?\She doesn't even see you as a man. response:	And she doesn't even see you as a real person.
context: Whatever way I look at you, you're Shion! Shion in 3D!\Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun!\You're incredibly cute, just as I expected!\No one would even think you're a boy!\I-Is that right?\She doesn't even see you as a man.\And she doesn't even see you as a real person. response:	Igarashi-kun, you look perfect!
context: Wonderful! Shion, you're wonderful!\You, too, Shinomiya-kun!\You're incredibly cute, just as I expected!\No one would even think you're a boy!\I-Is that right?\She doesn't even see you as a man.\And she doesn't even see you as a real person.\Igarashi-kun, you look perfect! response:	Such a great figure!
context: You, too, Shinomiya-kun!\You're incredibly cute, just as I expected!\No one would even think you're a boy!\I-Is that right?\She doesn't even see you as a man.\And she doesn't even see you as a real person.\Igarashi-kun, you look perfect!\Such a great figure! response:	I'm so happy that you're all wearing the costumes I made.
context: You're incredibly cute, just as I expected!\No one would even think you're a boy!\I-Is that right?\She doesn't even see you as a man.\And she doesn't even see you as a real person.\Igarashi-kun, you look perfect!\Such a great figure!\I'm so happy that you're all wearing the costumes I made. response:	Thank you, guys!
context: No one would even think you're a boy!\I-Is that right?\She doesn't even see you as a man.\And she doesn't even see you as a real person.\Igarashi-kun, you look perfect!\Such a great figure!\I'm so happy that you're all wearing the costumes I made.\Thank you, guys! response:	I can't wait for tomorrow!
context: I-Is that right?\She doesn't even see you as a man.\And she doesn't even see you as a real person.\Igarashi-kun, you look perfect!\Such a great figure!\I'm so happy that you're all wearing the costumes I made.\Thank you, guys!\I can't wait for tomorrow! response:	I'm glad you managed to finish.
context: She doesn't even see you as a man.\And she doesn't even see you as a real person.\Igarashi-kun, you look perfect!\Such a great figure!\I'm so happy that you're all wearing the costumes I made.\Thank you, guys!\I can't wait for tomorrow!\I'm glad you managed to finish. response:	Our class is amazing! You have to come see the cosplay cafe.
context: And she doesn't even see you as a real person.\Igarashi-kun, you look perfect!\Such a great figure!\I'm so happy that you're all wearing the costumes I made.\Thank you, guys!\I can't wait for tomorrow!\I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe. response:	Sure.
context: Igarashi-kun, you look perfect!\Such a great figure!\I'm so happy that you're all wearing the costumes I made.\Thank you, guys!\I can't wait for tomorrow!\I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe.\Sure. response:	I'm going to go see your play, too, Shinomiya-kun.
context: Such a great figure!\I'm so happy that you're all wearing the costumes I made.\Thank you, guys!\I can't wait for tomorrow!\I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe.\Sure.\I'm going to go see your play, too, Shinomiya-kun. response:	It starts at 2 PM, right?
context: I'm so happy that you're all wearing the costumes I made.\Thank you, guys!\I can't wait for tomorrow!\I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe.\Sure.\I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right? response:	Huh?!
context: Thank you, guys!\I can't wait for tomorrow!\I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe.\Sure.\I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right?\Huh?! response:	I'll go see, too!
context: I can't wait for tomorrow!\I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe.\Sure.\I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right?\Huh?!\I'll go see, too! response:	I'll make sure you're not allowed in.
context: I'm glad you managed to finish.\Our class is amazing! You have to come see the cosplay cafe.\Sure.\I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right?\Huh?!\I'll go see, too!\I'll make sure you're not allowed in. response:	What did you say?!
context: Our class is amazing! You have to come see the cosplay cafe.\Sure.\I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right?\Huh?!\I'll go see, too!\I'll make sure you're not allowed in.\What did you say?! response:	I know! If we have time, let's go around the festival together!
context: Sure.\I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right?\Huh?!\I'll go see, too!\I'll make sure you're not allowed in.\What did you say?!\I know! If we have time, let's go around the festival together! response:	Sounds good!
context: I'm going to go see your play, too, Shinomiya-kun.\It starts at 2 PM, right?\Huh?!\I'll go see, too!\I'll make sure you're not allowed in.\What did you say?!\I know! If we have time, let's go around the festival together!\Sounds good! response:	Sure!
context: It starts at 2 PM, right?\Huh?!\I'll go see, too!\I'll make sure you're not allowed in.\What did you say?!\I know! If we have time, let's go around the festival together!\Sounds good!\Sure! response:	You can count me out.
context: Huh?!\I'll go see, too!\I'll make sure you're not allowed in.\What did you say?!\I know! If we have time, let's go around the festival together!\Sounds good!\Sure!\You can count me out. response:	I'll pass.
context: I'll go see, too!\I'll make sure you're not allowed in.\What did you say?!\I know! If we have time, let's go around the festival together!\Sounds good!\Sure!\You can count me out.\I'll pass. response:	What? But, it's a one-time thing, and if we all make the time...
context: I'll make sure you're not allowed in.\What did you say?!\I know! If we have time, let's go around the festival together!\Sounds good!\Sure!\You can count me out.\I'll pass.\What? But, it's a one-time thing, and if we all make the time... response:	Sorry.
context: What did you say?!\I know! If we have time, let's go around the festival together!\Sounds good!\Sure!\You can count me out.\I'll pass.\What? But, it's a one-time thing, and if we all make the time...\Sorry. response:	I'm not interested in playing buddy-buddy with everyone anymore.
context: I know! If we have time, let's go around the festival together!\Sounds good!\Sure!\You can count me out.\I'll pass.\What? But, it's a one-time thing, and if we all make the time...\Sorry.\I'm not interested in playing buddy-buddy with everyone anymore. response:	Kiss Him, Not Me
context: Sounds good!\Sure!\You can count me out.\I'll pass.\What? But, it's a one-time thing, and if we all make the time...\Sorry.\I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me response:	Kiss Him, Not Me
context: Sure!\You can count me out.\I'll pass.\What? But, it's a one-time thing, and if we all make the time...\Sorry.\I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me\Kiss Him, Not Me response:	Igarashi-kun.
context: You can count me out.\I'll pass.\What? But, it's a one-time thing, and if we all make the time...\Sorry.\I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me\Kiss Him, Not Me\Igarashi-kun. response:	I like you, Serinuma-san,
context: I'll pass.\What? But, it's a one-time thing, and if we all make the time...\Sorry.\I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me\Kiss Him, Not Me\Igarashi-kun.\I like you, Serinuma-san, response:	so I'd like to see the festival with just you, alone.
context: What? But, it's a one-time thing, and if we all make the time...\Sorry.\I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me\Kiss Him, Not Me\Igarashi-kun.\I like you, Serinuma-san,\so I'd like to see the festival with just you, alone. response:	Sound good?
context: Sorry.\I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me\Kiss Him, Not Me\Igarashi-kun.\I like you, Serinuma-san,\so I'd like to see the festival with just you, alone.\Sound good? response:	Not at all!
context: I'm not interested in playing buddy-buddy with everyone anymore.\Kiss Him, Not Me\Kiss Him, Not Me\Igarashi-kun.\I like you, Serinuma-san,\so I'd like to see the festival with just you, alone.\Sound good?\Not at all! response:	Right, I forgot! Why do I have to do anything with you?
context: Kiss Him, Not Me\Kiss Him, Not Me\Igarashi-kun.\I like you, Serinuma-san,\so I'd like to see the festival with just you, alone.\Sound good?\Not at all!\Right, I forgot! Why do I have to do anything with you? response:	I don't like it, either!
context: Kiss Him, Not Me\Igarashi-kun.\I like you, Serinuma-san,\so I'd like to see the festival with just you, alone.\Sound good?\Not at all!\Right, I forgot! Why do I have to do anything with you?\I don't like it, either! response:	I don't want to play buddy-buddy with everyone, either!
context: Igarashi-kun.\I like you, Serinuma-san,\so I'd like to see the festival with just you, alone.\Sound good?\Not at all!\Right, I forgot! Why do I have to do anything with you?\I don't like it, either!\I don't want to play buddy-buddy with everyone, either! response:	Same.
context: I like you, Serinuma-san,\so I'd like to see the festival with just you, alone.\Sound good?\Not at all!\Right, I forgot! Why do I have to do anything with you?\I don't like it, either!\I don't want to play buddy-buddy with everyone, either!\Same. response:	What's with this deja-vu?
context: so I'd like to see the festival with just you, alone.\Sound good?\Not at all!\Right, I forgot! Why do I have to do anything with you?\I don't like it, either!\I don't want to play buddy-buddy with everyone, either!\Same.\What's with this deja-vu? response:	I mean, why does it have to be like this anyway?
context: Sound good?\Not at all!\Right, I forgot! Why do I have to do anything with you?\I don't like it, either!\I don't want to play buddy-buddy with everyone, either!\Same.\What's with this deja-vu?\I mean, why does it have to be like this anyway? response:	I just want to enjoy the festival!
context: Not at all!\Right, I forgot! Why do I have to do anything with you?\I don't like it, either!\I don't want to play buddy-buddy with everyone, either!\Same.\What's with this deja-vu?\I mean, why does it have to be like this anyway?\I just want to enjoy the festival! response:	Hold on a minute.
context: Right, I forgot! Why do I have to do anything with you?\I don't like it, either!\I don't want to play buddy-buddy with everyone, either!\Same.\What's with this deja-vu?\I mean, why does it have to be like this anyway?\I just want to enjoy the festival!\Hold on a minute. response:	Everyone, calm down.
context: I don't like it, either!\I don't want to play buddy-buddy with everyone, either!\Same.\What's with this deja-vu?\I mean, why does it have to be like this anyway?\I just want to enjoy the festival!\Hold on a minute.\Everyone, calm down. response:	S-Senpai!
context: I don't want to play buddy-buddy with everyone, either!\Same.\What's with this deja-vu?\I mean, why does it have to be like this anyway?\I just want to enjoy the festival!\Hold on a minute.\Everyone, calm down.\S-Senpai! response:	What if we make a schedule so we all get equal time alone with her?
context: Same.\What's with this deja-vu?\I mean, why does it have to be like this anyway?\I just want to enjoy the festival!\Hold on a minute.\Everyone, calm down.\S-Senpai!\What if we make a schedule so we all get equal time alone with her? response:	Huh?
context: What's with this deja-vu?\I mean, why does it have to be like this anyway?\I just want to enjoy the festival!\Hold on a minute.\Everyone, calm down.\S-Senpai!\What if we make a schedule so we all get equal time alone with her?\Huh? response:	A schedule?
context: I mean, why does it have to be like this anyway?\I just want to enjoy the festival!\Hold on a minute.\Everyone, calm down.\S-Senpai!\What if we make a schedule so we all get equal time alone with her?\Huh?\A schedule? response:	In short, we decide a time for everyone,
context: I just want to enjoy the festival!\Hold on a minute.\Everyone, calm down.\S-Senpai!\What if we make a schedule so we all get equal time alone with her?\Huh?\A schedule?\In short, we decide a time for everyone, response:	and in that slot, we each get alone time with her.
context: Hold on a minute.\Everyone, calm down.\S-Senpai!\What if we make a schedule so we all get equal time alone with her?\Huh?\A schedule?\In short, we decide a time for everyone,\and in that slot, we each get alone time with her. response:	And during that time, the others can't interfere.
context: Everyone, calm down.\S-Senpai!\What if we make a schedule so we all get equal time alone with her?\Huh?\A schedule?\In short, we decide a time for everyone,\and in that slot, we each get alone time with her.\And during that time, the others can't interfere. response:	Sounds good to me!
context: S-Senpai!\What if we make a schedule so we all get equal time alone with her?\Huh?\A schedule?\In short, we decide a time for everyone,\and in that slot, we each get alone time with her.\And during that time, the others can't interfere.\Sounds good to me! response:	Okay, we'll go with that!
context: What if we make a schedule so we all get equal time alone with her?\Huh?\A schedule?\In short, we decide a time for everyone,\and in that slot, we each get alone time with her.\And during that time, the others can't interfere.\Sounds good to me!\Okay, we'll go with that! response:	What?
context: Huh?\A schedule?\In short, we decide a time for everyone,\and in that slot, we each get alone time with her.\And during that time, the others can't interfere.\Sounds good to me!\Okay, we'll go with that!\What? response:	The Day of the Festival
context: A schedule?\In short, we decide a time for everyone,\and in that slot, we each get alone time with her.\And during that time, the others can't interfere.\Sounds good to me!\Okay, we'll go with that!\What?\The Day of the Festival response:	What?!
context: In short, we decide a time for everyone,\and in that slot, we each get alone time with her.\And during that time, the others can't interfere.\Sounds good to me!\Okay, we'll go with that!\What?\The Day of the Festival\What?! response:	Current wait: 20 minutes
context: and in that slot, we each get alone time with her.\And during that time, the others can't interfere.\Sounds good to me!\Okay, we'll go with that!\What?\The Day of the Festival\What?!\Current wait: 20 minutes response:	This way, please.
context: And during that time, the others can't interfere.\Sounds good to me!\Okay, we'll go with that!\What?\The Day of the Festival\What?!\Current wait: 20 minutes\This way, please. response:	Kae-chan! It's about time to change shifts.
context: Sounds good to me!\Okay, we'll go with that!\What?\The Day of the Festival\What?!\Current wait: 20 minutes\This way, please.\Kae-chan! It's about time to change shifts. response:	Okay!
context: Okay, we'll go with that!\What?\The Day of the Festival\What?!\Current wait: 20 minutes\This way, please.\Kae-chan! It's about time to change shifts.\Okay! response:	13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya
context: What?\The Day of the Festival\What?!\Current wait: 20 minutes\This way, please.\Kae-chan! It's about time to change shifts.\Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya response:	Four dates lined up with four hotties, huh?
context: The Day of the Festival\What?!\Current wait: 20 minutes\This way, please.\Kae-chan! It's about time to change shifts.\Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh? response:	Stop! Cut it out, A-chan!
context: What?!\Current wait: 20 minutes\This way, please.\Kae-chan! It's about time to change shifts.\Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan! response:	I really don't know how to handle being alone with a guy!
context: Current wait: 20 minutes\This way, please.\Kae-chan! It's about time to change shifts.\Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy! response:	It'll be fine.
context: This way, please.\Kae-chan! It's about time to change shifts.\Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy!\It'll be fine. response:	It's not like you'll be completely alone with any of them.
context: Kae-chan! It's about time to change shifts.\Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy!\It'll be fine.\It's not like you'll be completely alone with any of them. response:	Just have fun the way you always do!
context: Okay!\13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy!\It'll be fine.\It's not like you'll be completely alone with any of them.\Just have fun the way you always do! response:	I-I see! You're right!
context: 13:00 Nanashima 13:30 Mutsumi 14:00 Igarashi 14:30 Shinomiya\Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy!\It'll be fine.\It's not like you'll be completely alone with any of them.\Just have fun the way you always do!\I-I see! You're right! response:	Hey!
context: Four dates lined up with four hotties, huh?\Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy!\It'll be fine.\It's not like you'll be completely alone with any of them.\Just have fun the way you always do!\I-I see! You're right!\Hey! response:	Let's get going.
context: Stop! Cut it out, A-chan!\I really don't know how to handle being alone with a guy!\It'll be fine.\It's not like you'll be completely alone with any of them.\Just have fun the way you always do!\I-I see! You're right!\Hey!\Let's get going. response:	Sure.
context: I really don't know how to handle being alone with a guy!\It'll be fine.\It's not like you'll be completely alone with any of them.\Just have fun the way you always do!\I-I see! You're right!\Hey!\Let's get going.\Sure. response:	I guess I should probably change first.
context: It'll be fine.\It's not like you'll be completely alone with any of them.\Just have fun the way you always do!\I-I see! You're right!\Hey!\Let's get going.\Sure.\I guess I should probably change first. response:	No! Stay as you are! Let's go with you as Shion!
context: It's not like you'll be completely alone with any of them.\Just have fun the way you always do!\I-I see! You're right!\Hey!\Let's get going.\Sure.\I guess I should probably change first.\No! Stay as you are! Let's go with you as Shion! response:	The Usual
context: Just have fun the way you always do!\I-I see! You're right!\Hey!\Let's get going.\Sure.\I guess I should probably change first.\No! Stay as you are! Let's go with you as Shion!\The Usual response:	You two, advertise the cafe for us!
