context: Kishou... Kishou Yanagihara... response:	How long do you think you can remain in Class A?
context: And we'll see it...\together!\Burnt Field (Part 3)\Burnt Field (Part 4)\He had gone far beyond his limits.\Anyone watching could see that.\His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward. response:	But each move those quivering fingers sent out
context: together!\Burnt Field (Part 3)\Burnt Field (Part 4)\He had gone far beyond his limits.\Anyone watching could see that.\His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out response:	was like slowly flowing lava, heavy, red...
context: Burnt Field (Part 3)\Burnt Field (Part 4)\He had gone far beyond his limits.\Anyone watching could see that.\His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red... response:	and glowing brilliantly.
context: Burnt Field (Part 4)\He had gone far beyond his limits.\Anyone watching could see that.\His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red...\and glowing brilliantly. response:	It was a fierce battle.
context: He had gone far beyond his limits.\Anyone watching could see that.\His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red...\and glowing brilliantly.\It was a fierce battle. response:	Any professional shogi player...
context: Anyone watching could see that.\His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red...\and glowing brilliantly.\It was a fierce battle.\Any professional shogi player... response:	would desire from the bottom of their hearts...
context: His body leaned heavily on the armrest,\just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red...\and glowing brilliantly.\It was a fierce battle.\Any professional shogi player...\would desire from the bottom of their hearts... response:	that they've always wanted to play...
context: just staring at the board as if he were going to fall forward.\But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red...\and glowing brilliantly.\It was a fierce battle.\Any professional shogi player...\would desire from the bottom of their hearts...\that they've always wanted to play... response:	a match like this.
context: But each move those quivering fingers sent out\was like slowly flowing lava, heavy, red...\and glowing brilliantly.\It was a fierce battle.\Any professional shogi player...\would desire from the bottom of their hearts...\that they've always wanted to play...\a match like this. response:	SHOGI HALL
context: was like slowly flowing lava, heavy, red...\and glowing brilliantly.\It was a fierce battle.\Any professional shogi player...\would desire from the bottom of their hearts...\that they've always wanted to play...\a match like this.\SHOGI HALL response:	And then...
context: and glowing brilliantly.\It was a fierce battle.\Any professional shogi player...\would desire from the bottom of their hearts...\that they've always wanted to play...\a match like this.\SHOGI HALL\And then... response:	after a heated battle that covered 169 moves,
context: It was a fierce battle.\Any professional shogi player...\would desire from the bottom of their hearts...\that they've always wanted to play...\a match like this.\SHOGI HALL\And then...\after a heated battle that covered 169 moves, response:	it took all of Mr. Shimada's strength to utter two words,
context: Any professional shogi player...\would desire from the bottom of their hearts...\that they've always wanted to play...\a match like this.\SHOGI HALL\And then...\after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words, response:	and brought it to an end.
context: would desire from the bottom of their hearts...\that they've always wanted to play...\a match like this.\SHOGI HALL\And then...\after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words,\and brought it to an end. response:	After 169 moves, the winner is Kishou Yanagihara.
context: that they've always wanted to play...\a match like this.\SHOGI HALL\And then...\after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words,\and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara. response:	By the rules of the Kishou Championship, since he retained the title ten times,
context: a match like this.\SHOGI HALL\And then...\after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words,\and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times, response:	he receives the official title Eternal Kishou.
context: SHOGI HALL\And then...\after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words,\and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou. response:	Saku, you did it! Ten wins!
context: And then...\after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words,\and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou.\Saku, you did it! Ten wins! response:	He did it! He's the Eternal Kishou!
context: after a heated battle that covered 169 moves,\it took all of Mr. Shimada's strength to utter two words,\and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou.\Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou! response:	Yeah!
context: it took all of Mr. Shimada's strength to utter two words,\and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou.\Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou!\Yeah! response:	Yanagihara-sensei, are you okay?
context: and brought it to an end.\After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou.\Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou!\Yeah!\Yanagihara-sensei, are you okay? response:	I'm fine.
context: After 169 moves, the winner is Kishou Yanagihara.\By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou.\Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou!\Yeah!\Yanagihara-sensei, are you okay?\I'm fine. response:	My knees just gave way.
context: By the rules of the Kishou Championship, since he retained the title ten times,\he receives the official title Eternal Kishou.\Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou!\Yeah!\Yanagihara-sensei, are you okay?\I'm fine.\My knees just gave way. response:	Thank you.
context: he receives the official title Eternal Kishou.\Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou!\Yeah!\Yanagihara-sensei, are you okay?\I'm fine.\My knees just gave way.\Thank you. response:	Saku!
context: Saku, you did it! Ten wins!\He did it! He's the Eternal Kishou!\Yeah!\Yanagihara-sensei, are you okay?\I'm fine.\My knees just gave way.\Thank you.\Saku! response:	Kishou Yanagihara...
context: He did it! He's the Eternal Kishou!\Yeah!\Yanagihara-sensei, are you okay?\I'm fine.\My knees just gave way.\Thank you.\Saku!\Kishou Yanagihara... response:	Wh-What about the post-mortem?
context: Yeah!\Yanagihara-sensei, are you okay?\I'm fine.\My knees just gave way.\Thank you.\Saku!\Kishou Yanagihara...\Wh-What about the post-mortem? response:	Yanagihara-sensei! Congratulations!
context: Yanagihara-sensei, are you okay?\I'm fine.\My knees just gave way.\Thank you.\Saku!\Kishou Yanagihara...\Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations! response:	Saku!
context: I'm fine.\My knees just gave way.\Thank you.\Saku!\Kishou Yanagihara...\Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations!\Saku! response:	That was awesome! That was awesome shogi!
context: My knees just gave way.\Thank you.\Saku!\Kishou Yanagihara...\Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations!\Saku!\That was awesome! That was awesome shogi! response:	Gan!
context: Thank you.\Saku!\Kishou Yanagihara...\Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations!\Saku!\That was awesome! That was awesome shogi!\Gan! response:	H-Huh? Me? What is it, Saku?
context: Saku!\Kishou Yanagihara...\Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations!\Saku!\That was awesome! That was awesome shogi!\Gan!\H-Huh? Me? What is it, Saku? response:	Take a photo!
context: Kishou Yanagihara...\Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations!\Saku!\That was awesome! That was awesome shogi!\Gan!\H-Huh? Me? What is it, Saku?\Take a photo! response:	What?
context: Wh-What about the post-mortem?\Yanagihara-sensei! Congratulations!\Saku!\That was awesome! That was awesome shogi!\Gan!\H-Huh? Me? What is it, Saku?\Take a photo!\What? response:	You brought your camera, right?
context: Yanagihara-sensei! Congratulations!\Saku!\That was awesome! That was awesome shogi!\Gan!\H-Huh? Me? What is it, Saku?\Take a photo!\What?\You brought your camera, right? response:	Take a photo!
context: Saku!\That was awesome! That was awesome shogi!\Gan!\H-Huh? Me? What is it, Saku?\Take a photo!\What?\You brought your camera, right?\Take a photo! response:	With everyone here!
context: That was awesome! That was awesome shogi!\Gan!\H-Huh? Me? What is it, Saku?\Take a photo!\What?\You brought your camera, right?\Take a photo!\With everyone here! response:	O-Oh, wait a second!
context: Gan!\H-Huh? Me? What is it, Saku?\Take a photo!\What?\You brought your camera, right?\Take a photo!\With everyone here!\O-Oh, wait a second! response:	33RD KISHOU CHAMPIONSHIP, FIFTH MATCH
context: H-Huh? Me? What is it, Saku?\Take a photo!\What?\You brought your camera, right?\Take a photo!\With everyone here!\O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH response:	Maybe someone should hold this to commemorate it.
context: Take a photo!\What?\You brought your camera, right?\Take a photo!\With everyone here!\O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it. response:	Good thinking, kiddo. Come on over.
context: What?\You brought your camera, right?\Take a photo!\With everyone here!\O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over. response:	R-Right!
context: You brought your camera, right?\Take a photo!\With everyone here!\O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over.\R-Right! response:	And, there.
context: Take a photo!\With everyone here!\O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over.\R-Right!\And, there. response:	Wow, I'm right next to him!
context: With everyone here!\O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over.\R-Right!\And, there.\Wow, I'm right next to him! response:	Well, I guess I'll go here. Since I am the observer.
context: O-Oh, wait a second!\33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over.\R-Right!\And, there.\Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer. response:	Should the second row sit here?
context: 33RD KISHOU CHAMPIONSHIP, FIFTH MATCH\Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over.\R-Right!\And, there.\Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer.\Should the second row sit here? response:	Mr. Tanabe! Get behind Saku!
context: Maybe someone should hold this to commemorate it.\Good thinking, kiddo. Come on over.\R-Right!\And, there.\Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer.\Should the second row sit here?\Mr. Tanabe! Get behind Saku! response:	What the hell? I can't fit everyone in when you're milling about.
context: Good thinking, kiddo. Come on over.\R-Right!\And, there.\Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer.\Should the second row sit here?\Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about. response:	Scoot in closer.
context: R-Right!\And, there.\Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer.\Should the second row sit here?\Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about.\Scoot in closer. response:	Don't you have a wide-angle lens?
context: And, there.\Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer.\Should the second row sit here?\Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about.\Scoot in closer.\Don't you have a wide-angle lens? response:	What's the difference, as long as you fit?
context: Wow, I'm right next to him!\Well, I guess I'll go here. Since I am the observer.\Should the second row sit here?\Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about.\Scoot in closer.\Don't you have a wide-angle lens?\What's the difference, as long as you fit? response:	Hey Gan, you're getting in here too. Use a timer!
context: Well, I guess I'll go here. Since I am the observer.\Should the second row sit here?\Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about.\Scoot in closer.\Don't you have a wide-angle lens?\What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer! response:	Oh, there he is!
context: Should the second row sit here?\Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about.\Scoot in closer.\Don't you have a wide-angle lens?\What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer!\Oh, there he is! response:	Shimada, you too!
context: Mr. Tanabe! Get behind Saku!\What the hell? I can't fit everyone in when you're milling about.\Scoot in closer.\Don't you have a wide-angle lens?\What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer!\Oh, there he is!\Shimada, you too! response:	Would you be in the photo too?
context: What the hell? I can't fit everyone in when you're milling about.\Scoot in closer.\Don't you have a wide-angle lens?\What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer!\Oh, there he is!\Shimada, you too!\Would you be in the photo too? response:	A commemorative photo? Me too?
context: Scoot in closer.\Don't you have a wide-angle lens?\What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer!\Oh, there he is!\Shimada, you too!\Would you be in the photo too?\A commemorative photo? Me too? response:	GLEAMING LIVELY SHINING
context: Don't you have a wide-angle lens?\What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer!\Oh, there he is!\Shimada, you too!\Would you be in the photo too?\A commemorative photo? Me too?\GLEAMING LIVELY SHINING response:	Yanagihara Merchandise
context: What's the difference, as long as you fit?\Hey Gan, you're getting in here too. Use a timer!\Oh, there he is!\Shimada, you too!\Would you be in the photo too?\A commemorative photo? Me too?\GLEAMING LIVELY SHINING\Yanagihara Merchandise response:	Didn't you guys come here to support me?
context: Hey Gan, you're getting in here too. Use a timer!\Oh, there he is!\Shimada, you too!\Would you be in the photo too?\A commemorative photo? Me too?\GLEAMING LIVELY SHINING\Yanagihara Merchandise\Didn't you guys come here to support me? response:	GLOSSY GLOSSY
context: Oh, there he is!\Shimada, you too!\Would you be in the photo too?\A commemorative photo? Me too?\GLEAMING LIVELY SHINING\Yanagihara Merchandise\Didn't you guys come here to support me?\GLOSSY GLOSSY response:	We can't help it, Kai!
context: Shimada, you too!\Would you be in the photo too?\A commemorative photo? Me too?\GLEAMING LIVELY SHINING\Yanagihara Merchandise\Didn't you guys come here to support me?\GLOSSY GLOSSY\We can't help it, Kai! response:	Yanagihara-sensei is a hero to our generation!
context: Would you be in the photo too?\A commemorative photo? Me too?\GLEAMING LIVELY SHINING\Yanagihara Merchandise\Didn't you guys come here to support me?\GLOSSY GLOSSY\We can't help it, Kai!\Yanagihara-sensei is a hero to our generation! response:	He was so cool!
context: A commemorative photo? Me too?\GLEAMING LIVELY SHINING\Yanagihara Merchandise\Didn't you guys come here to support me?\GLOSSY GLOSSY\We can't help it, Kai!\Yanagihara-sensei is a hero to our generation!\He was so cool! response:	Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!
context: GLEAMING LIVELY SHINING\Yanagihara Merchandise\Didn't you guys come here to support me?\GLOSSY GLOSSY\We can't help it, Kai!\Yanagihara-sensei is a hero to our generation!\He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either! response:	That's right!
context: Yanagihara Merchandise\Didn't you guys come here to support me?\GLOSSY GLOSSY\We can't help it, Kai!\Yanagihara-sensei is a hero to our generation!\He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right! response:	Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.
context: Didn't you guys come here to support me?\GLOSSY GLOSSY\We can't help it, Kai!\Yanagihara-sensei is a hero to our generation!\He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse. response:	Yeah, maybe I'll grow more garlic chives and green onions next year!
context: GLOSSY GLOSSY\We can't help it, Kai!\Yanagihara-sensei is a hero to our generation!\He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year! response:	I can't work away from home anymore,
context: We can't help it, Kai!\Yanagihara-sensei is a hero to our generation!\He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore, response:	but I can make some money from the greenhouse in the winter.
context: Yanagihara-sensei is a hero to our generation!\He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore,\but I can make some money from the greenhouse in the winter. response:	After all, I still want to give the grandkids some pocket money.
context: He was so cool!\Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore,\but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money. response:	Hold on!
context: Yanagihara-sensei is still working hard, so we can't be put out to pasture, either!\That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore,\but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money.\Hold on! response:	Saku! Get me in the photo too!
context: That's right!\Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore,\but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money.\Hold on!\Saku! Get me in the photo too! response:	Of course, next! To! You!
context: Maybe I'll plant more plantain lilies and angelica trees in my greenhouse.\Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore,\but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money.\Hold on!\Saku! Get me in the photo too!\Of course, next! To! You! response:	What the hell? The match is already over!
context: Yeah, maybe I'll grow more garlic chives and green onions next year!\I can't work away from home anymore,\but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money.\Hold on!\Saku! Get me in the photo too!\Of course, next! To! You!\What the hell? The match is already over! response:	Bastard. You just came to drink.
context: I can't work away from home anymore,\but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money.\Hold on!\Saku! Get me in the photo too!\Of course, next! To! You!\What the hell? The match is already over!\Bastard. You just came to drink. response:	No, Saku. Sheesh, you're going senile.
context: but I can make some money from the greenhouse in the winter.\After all, I still want to give the grandkids some pocket money.\Hold on!\Saku! Get me in the photo too!\Of course, next! To! You!\What the hell? The match is already over!\Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile. response:	Then what's going on?
context: After all, I still want to give the grandkids some pocket money.\Hold on!\Saku! Get me in the photo too!\Of course, next! To! You!\What the hell? The match is already over!\Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile.\Then what's going on? response:	You're the one who said, Toku, I always lose when you come to watch, so stay away!
context: Hold on!\Saku! Get me in the photo too!\Of course, next! To! You!\What the hell? The match is already over!\Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile.\Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away! response:	Huh? Did I say that?
context: Saku! Get me in the photo too!\Of course, next! To! You!\What the hell? The match is already over!\Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile.\Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that? response:	That's awful!
context: Of course, next! To! You!\What the hell? The match is already over!\Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile.\Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that?\That's awful! response:	Okay, okay! Quit making a fuss! I'm taking the shot!
context: What the hell? The match is already over!\Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile.\Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that?\That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot! response:	All right, all right! Shush, everyone!
context: Bastard. You just came to drink.\No, Saku. Sheesh, you're going senile.\Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that?\That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone! response:	Everybody, smile!
context: No, Saku. Sheesh, you're going senile.\Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that?\That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone!\Everybody, smile! response:	Okay, ten seconds!
context: Then what's going on?\You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that?\That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone!\Everybody, smile!\Okay, ten seconds! response:	Ten... Nine...
context: You're the one who said, Toku, I always lose when you come to watch, so stay away!\Huh? Did I say that?\That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone!\Everybody, smile!\Okay, ten seconds!\Ten... Nine... response:	Life is nothing but goodbyes.
context: Huh? Did I say that?\That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone!\Everybody, smile!\Okay, ten seconds!\Ten... Nine...\Life is nothing but goodbyes. response:	Who said that again? It's a good, accurate expression.
context: That's awful!\Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone!\Everybody, smile!\Okay, ten seconds!\Ten... Nine...\Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression. response:	I know I'm going to lose them one by one.
context: Okay, okay! Quit making a fuss! I'm taking the shot!\All right, all right! Shush, everyone!\Everybody, smile!\Okay, ten seconds!\Ten... Nine...\Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one. response:	From shogi and from life.
context: All right, all right! Shush, everyone!\Everybody, smile!\Okay, ten seconds!\Ten... Nine...\Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one.\From shogi and from life. response:	But I remember.
context: Everybody, smile!\Okay, ten seconds!\Ten... Nine...\Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one.\From shogi and from life.\But I remember. response:	There were a lot of people I liked, and people I disliked.
context: Okay, ten seconds!\Ten... Nine...\Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one.\From shogi and from life.\But I remember.\There were a lot of people I liked, and people I disliked. response:	There's no mistake.
context: Ten... Nine...\Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one.\From shogi and from life.\But I remember.\There were a lot of people I liked, and people I disliked.\There's no mistake. response:	Who I am now is made up of all those fragments.
context: Life is nothing but goodbyes.\Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one.\From shogi and from life.\But I remember.\There were a lot of people I liked, and people I disliked.\There's no mistake.\Who I am now is made up of all those fragments. response:	These sashes are hope.
context: Who said that again? It's a good, accurate expression.\I know I'm going to lose them one by one.\From shogi and from life.\But I remember.\There were a lot of people I liked, and people I disliked.\There's no mistake.\Who I am now is made up of all those fragments.\These sashes are hope. response:	I'm bearing hundreds, even thousands of them now,
context: I know I'm going to lose them one by one.\From shogi and from life.\But I remember.\There were a lot of people I liked, and people I disliked.\There's no mistake.\Who I am now is made up of all those fragments.\These sashes are hope.\I'm bearing hundreds, even thousands of them now, response:	and sometimes they're so heavy that I can't even move.
context: From shogi and from life.\But I remember.\There were a lot of people I liked, and people I disliked.\There's no mistake.\Who I am now is made up of all those fragments.\These sashes are hope.\I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move. response:	But because of that weight...
context: But I remember.\There were a lot of people I liked, and people I disliked.\There's no mistake.\Who I am now is made up of all those fragments.\These sashes are hope.\I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move.\But because of that weight... response:	because it's bound so tightly...
context: There were a lot of people I liked, and people I disliked.\There's no mistake.\Who I am now is made up of all those fragments.\These sashes are hope.\I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move.\But because of that weight...\because it's bound so tightly... response:	it won't let me run away from my fear of becoming a human torch.
context: There's no mistake.\Who I am now is made up of all those fragments.\These sashes are hope.\I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move.\But because of that weight...\because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch. response:	It's ironic.
context: Who I am now is made up of all those fragments.\These sashes are hope.\I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move.\But because of that weight...\because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch.\It's ironic. response:	Then I guess I could also say that thanks to that weight,
context: These sashes are hope.\I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move.\But because of that weight...\because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch.\It's ironic.\Then I guess I could also say that thanks to that weight, response:	I made it this far without running away.
context: I'm bearing hundreds, even thousands of them now,\and sometimes they're so heavy that I can't even move.\But because of that weight...\because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch.\It's ironic.\Then I guess I could also say that thanks to that weight,\I made it this far without running away. response:	But I won't say thanks!
context: and sometimes they're so heavy that I can't even move.\But because of that weight...\because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch.\It's ironic.\Then I guess I could also say that thanks to that weight,\I made it this far without running away.\But I won't say thanks! response:	ANGER
context: But because of that weight...\because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch.\It's ironic.\Then I guess I could also say that thanks to that weight,\I made it this far without running away.\But I won't say thanks!\ANGER response:	Because I'm serious and passionate every time!
context: because it's bound so tightly...\it won't let me run away from my fear of becoming a human torch.\It's ironic.\Then I guess I could also say that thanks to that weight,\I made it this far without running away.\But I won't say thanks!\ANGER\Because I'm serious and passionate every time! response:	Every single time, I think, This time for sure, I'll seriously die! Damn it!
context: it won't let me run away from my fear of becoming a human torch.\It's ironic.\Then I guess I could also say that thanks to that weight,\I made it this far without running away.\But I won't say thanks!\ANGER\Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it! response:	Huh? Wh-What?
context: It's ironic.\Then I guess I could also say that thanks to that weight,\I made it this far without running away.\But I won't say thanks!\ANGER\Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What? response:	They foist their dreams on me!
context: Then I guess I could also say that thanks to that weight,\I made it this far without running away.\But I won't say thanks!\ANGER\Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What?\They foist their dreams on me! response:	They sit on the sidelines and go, Hang in there!
context: I made it this far without running away.\But I won't say thanks!\ANGER\Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What?\They foist their dreams on me!\They sit on the sidelines and go, Hang in there! response:	Keep your head in the game! Be grateful you can still play!
context: But I won't say thanks!\ANGER\Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What?\They foist their dreams on me!\They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play! response:	I'm doing my best without being told, every time!
context: ANGER\Because I'm serious and passionate every time!\Every single time, I think, This time for sure, I'll seriously die! Damn it!\Huh? Wh-What?\They foist their dreams on me!\They sit on the sidelines and go, Hang in there!\Keep your head in the game! Be grateful you can still play!\I'm doing my best without being told, every time! response:	What are you going on about? And you're even crying.
