context: It's no good if yer always lookin' up. response:	Wait patiently...
context: He's a master at video games.\You need the telephone, right?\Yeah.\Akki, huh...\I feel like I've seen him somewhere before...\Are you Tama's younger brother?!\Well... yes, I am...\Wow, you look so much like her! response:	Are you a clone?!
context: You need the telephone, right?\Yeah.\Akki, huh...\I feel like I've seen him somewhere before...\Are you Tama's younger brother?!\Well... yes, I am...\Wow, you look so much like her!\Are you a clone?! response:	Please stop. We don't look alike.
context: Yeah.\Akki, huh...\I feel like I've seen him somewhere before...\Are you Tama's younger brother?!\Well... yes, I am...\Wow, you look so much like her!\Are you a clone?!\Please stop. We don't look alike. response:	No, you do!
context: Akki, huh...\I feel like I've seen him somewhere before...\Are you Tama's younger brother?!\Well... yes, I am...\Wow, you look so much like her!\Are you a clone?!\Please stop. We don't look alike.\No, you do! response:	Genetics are amazing!
context: I feel like I've seen him somewhere before...\Are you Tama's younger brother?!\Well... yes, I am...\Wow, you look so much like her!\Are you a clone?!\Please stop. We don't look alike.\No, you do!\Genetics are amazing! response:	Please, just hurry up and use the phone!
context: Are you Tama's younger brother?!\Well... yes, I am...\Wow, you look so much like her!\Are you a clone?!\Please stop. We don't look alike.\No, you do!\Genetics are amazing!\Please, just hurry up and use the phone! response:	It bothers you that much?
context: Well... yes, I am...\Wow, you look so much like her!\Are you a clone?!\Please stop. We don't look alike.\No, you do!\Genetics are amazing!\Please, just hurry up and use the phone!\It bothers you that much? response:	Here!
context: Wow, you look so much like her!\Are you a clone?!\Please stop. We don't look alike.\No, you do!\Genetics are amazing!\Please, just hurry up and use the phone!\It bothers you that much?\Here! response:	Woah, it's black!
context: Are you a clone?!\Please stop. We don't look alike.\No, you do!\Genetics are amazing!\Please, just hurry up and use the phone!\It bothers you that much?\Here!\Woah, it's black! response:	Yes, because it's a black telephone.
context: Please stop. We don't look alike.\No, you do!\Genetics are amazing!\Please, just hurry up and use the phone!\It bothers you that much?\Here!\Woah, it's black!\Yes, because it's a black telephone. response:	What is this thing?
context: No, you do!\Genetics are amazing!\Please, just hurry up and use the phone!\It bothers you that much?\Here!\Woah, it's black!\Yes, because it's a black telephone.\What is this thing? response:	I've only seen these on television.
context: Genetics are amazing!\Please, just hurry up and use the phone!\It bothers you that much?\Here!\Woah, it's black!\Yes, because it's a black telephone.\What is this thing?\I've only seen these on television. response:	In an era of cell phones with cameras and touch-sensitive screens, why is this here?
context: Please, just hurry up and use the phone!\It bothers you that much?\Here!\Woah, it's black!\Yes, because it's a black telephone.\What is this thing?\I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here? response:	I scared ya!
context: It bothers you that much?\Here!\Woah, it's black!\Yes, because it's a black telephone.\What is this thing?\I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya! response:	I'll be playing a game, so help yourself to the phone.
context: Here!\Woah, it's black!\Yes, because it's a black telephone.\What is this thing?\I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya!\I'll be playing a game, so help yourself to the phone. response:	Uh, sure.
context: Woah, it's black!\Yes, because it's a black telephone.\What is this thing?\I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya!\I'll be playing a game, so help yourself to the phone.\Uh, sure. response:	I'm about to make an important phone call, so be quiet.
context: Yes, because it's a black telephone.\What is this thing?\I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya!\I'll be playing a game, so help yourself to the phone.\Uh, sure.\I'm about to make an important phone call, so be quiet. response:	Let's see...
context: What is this thing?\I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya!\I'll be playing a game, so help yourself to the phone.\Uh, sure.\I'm about to make an important phone call, so be quiet.\Let's see... response:	Zero...
context: I've only seen these on television.\In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya!\I'll be playing a game, so help yourself to the phone.\Uh, sure.\I'm about to make an important phone call, so be quiet.\Let's see...\Zero... response:	What the heck?
context: In an era of cell phones with cameras and touch-sensitive screens, why is this here?\I scared ya!\I'll be playing a game, so help yourself to the phone.\Uh, sure.\I'm about to make an important phone call, so be quiet.\Let's see...\Zero...\What the heck? response:	Nothing happens when I press it.
context: I scared ya!\I'll be playing a game, so help yourself to the phone.\Uh, sure.\I'm about to make an important phone call, so be quiet.\Let's see...\Zero...\What the heck?\Nothing happens when I press it. response:	Is this thing broken?
context: I'll be playing a game, so help yourself to the phone.\Uh, sure.\I'm about to make an important phone call, so be quiet.\Let's see...\Zero...\What the heck?\Nothing happens when I press it.\Is this thing broken? response:	Um...
context: Uh, sure.\I'm about to make an important phone call, so be quiet.\Let's see...\Zero...\What the heck?\Nothing happens when I press it.\Is this thing broken?\Um... response:	You don't press on it.
context: I'm about to make an important phone call, so be quiet.\Let's see...\Zero...\What the heck?\Nothing happens when I press it.\Is this thing broken?\Um...\You don't press on it. response:	You turn it.
context: Let's see...\Zero...\What the heck?\Nothing happens when I press it.\Is this thing broken?\Um...\You don't press on it.\You turn it. response:	I knew that!
context: Zero...\What the heck?\Nothing happens when I press it.\Is this thing broken?\Um...\You don't press on it.\You turn it.\I knew that! response:	This black phone is just stiff and hard to turn!
context: What the heck?\Nothing happens when I press it.\Is this thing broken?\Um...\You don't press on it.\You turn it.\I knew that!\This black phone is just stiff and hard to turn! response:	He blamed the phone...
context: Nothing happens when I press it.\Is this thing broken?\Um...\You don't press on it.\You turn it.\I knew that!\This black phone is just stiff and hard to turn!\He blamed the phone... response:	Like this, right?
context: Is this thing broken?\Um...\You don't press on it.\You turn it.\I knew that!\This black phone is just stiff and hard to turn!\He blamed the phone...\Like this, right? response:	See? I turned it!
context: Um...\You don't press on it.\You turn it.\I knew that!\This black phone is just stiff and hard to turn!\He blamed the phone...\Like this, right?\See? I turned it! response:	Indeed, you did.
context: You don't press on it.\You turn it.\I knew that!\This black phone is just stiff and hard to turn!\He blamed the phone...\Like this, right?\See? I turned it!\Indeed, you did. response:	You can take yer finger out now.
context: You turn it.\I knew that!\This black phone is just stiff and hard to turn!\He blamed the phone...\Like this, right?\See? I turned it!\Indeed, you did.\You can take yer finger out now. response:	I knew that!
context: I knew that!\This black phone is just stiff and hard to turn!\He blamed the phone...\Like this, right?\See? I turned it!\Indeed, you did.\You can take yer finger out now.\I knew that! response:	It won't work unless you pick up the receiver before dialing.
context: This black phone is just stiff and hard to turn!\He blamed the phone...\Like this, right?\See? I turned it!\Indeed, you did.\You can take yer finger out now.\I knew that!\It won't work unless you pick up the receiver before dialing. response:	Just tell me the number you want to call.
context: He blamed the phone...\Like this, right?\See? I turned it!\Indeed, you did.\You can take yer finger out now.\I knew that!\It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call. response:	I'll dial it for you.
context: Like this, right?\See? I turned it!\Indeed, you did.\You can take yer finger out now.\I knew that!\It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call.\I'll dial it for you. response:	If you pity me, give me money!
context: See? I turned it!\Indeed, you did.\You can take yer finger out now.\I knew that!\It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call.\I'll dial it for you.\If you pity me, give me money! response:	Yes, hello...
context: Indeed, you did.\You can take yer finger out now.\I knew that!\It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call.\I'll dial it for you.\If you pity me, give me money!\Yes, hello... response:	Be quiet, I'm on the phone!
context: You can take yer finger out now.\I knew that!\It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call.\I'll dial it for you.\If you pity me, give me money!\Yes, hello...\Be quiet, I'm on the phone! response:	Oh, Kawafuji?
context: I knew that!\It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call.\I'll dial it for you.\If you pity me, give me money!\Yes, hello...\Be quiet, I'm on the phone!\Oh, Kawafuji? response:	Sounds lively on your end.
context: It won't work unless you pick up the receiver before dialing.\Just tell me the number you want to call.\I'll dial it for you.\If you pity me, give me money!\Yes, hello...\Be quiet, I'm on the phone!\Oh, Kawafuji?\Sounds lively on your end. response:	What do you need?
context: Just tell me the number you want to call.\I'll dial it for you.\If you pity me, give me money!\Yes, hello...\Be quiet, I'm on the phone!\Oh, Kawafuji?\Sounds lively on your end.\What do you need? response:	My computer broke, so I need to get a new one.
context: I'll dial it for you.\If you pity me, give me money!\Yes, hello...\Be quiet, I'm on the phone!\Oh, Kawafuji?\Sounds lively on your end.\What do you need?\My computer broke, so I need to get a new one. response:	I can't get work without it.
context: If you pity me, give me money!\Yes, hello...\Be quiet, I'm on the phone!\Oh, Kawafuji?\Sounds lively on your end.\What do you need?\My computer broke, so I need to get a new one.\I can't get work without it. response:	About that, Handa.
context: Yes, hello...\Be quiet, I'm on the phone!\Oh, Kawafuji?\Sounds lively on your end.\What do you need?\My computer broke, so I need to get a new one.\I can't get work without it.\About that, Handa. response:	I'd like you to take a break from work for a while.
context: Be quiet, I'm on the phone!\Oh, Kawafuji?\Sounds lively on your end.\What do you need?\My computer broke, so I need to get a new one.\I can't get work without it.\About that, Handa.\I'd like you to take a break from work for a while. response:	Huh? What do you mean?
context: Oh, Kawafuji?\Sounds lively on your end.\What do you need?\My computer broke, so I need to get a new one.\I can't get work without it.\About that, Handa.\I'd like you to take a break from work for a while.\Huh? What do you mean? response:	Autumn's the deadline for the Naruka Institute Exhibition.
context: Sounds lively on your end.\What do you need?\My computer broke, so I need to get a new one.\I can't get work without it.\About that, Handa.\I'd like you to take a break from work for a while.\Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition. response:	This is no time for you to be working.
context: What do you need?\My computer broke, so I need to get a new one.\I can't get work without it.\About that, Handa.\I'd like you to take a break from work for a while.\Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working. response:	As your friend, I thought I should look out for you.
context: My computer broke, so I need to get a new one.\I can't get work without it.\About that, Handa.\I'd like you to take a break from work for a while.\Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working.\As your friend, I thought I should look out for you. response:	What's the date?
context: I can't get work without it.\About that, Handa.\I'd like you to take a break from work for a while.\Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working.\As your friend, I thought I should look out for you.\What's the date? response:	September 10th.
context: About that, Handa.\I'd like you to take a break from work for a while.\Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working.\As your friend, I thought I should look out for you.\What's the date?\September 10th. response:	41st Naruka Institute Calligraphy Exhibition
context: I'd like you to take a break from work for a while.\Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working.\As your friend, I thought I should look out for you.\What's the date?\September 10th.\41st Naruka Institute Calligraphy Exhibition response:	Naruka Sept. 10 Handa Kanzaki
context: Huh? What do you mean?\Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working.\As your friend, I thought I should look out for you.\What's the date?\September 10th.\41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki response:	Well, we can let it go this time if you don't feel up to it,
context: Autumn's the deadline for the Naruka Institute Exhibition.\This is no time for you to be working.\As your friend, I thought I should look out for you.\What's the date?\September 10th.\41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it, response:	but if you consider...
context: This is no time for you to be working.\As your friend, I thought I should look out for you.\What's the date?\September 10th.\41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it,\but if you consider... response:	Order the writing equipment I'm about to describe.
context: As your friend, I thought I should look out for you.\What's the date?\September 10th.\41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it,\but if you consider...\Order the writing equipment I'm about to describe. response:	Can I expect you to get the grand prize this time?
context: What's the date?\September 10th.\41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it,\but if you consider...\Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time? response:	I'm not sure.
context: September 10th.\41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it,\but if you consider...\Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time?\I'm not sure. response:	Right now I'm in total darkness,
context: 41st Naruka Institute Calligraphy Exhibition\Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it,\but if you consider...\Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time?\I'm not sure.\Right now I'm in total darkness, response:	but I'll definitely find the light, someday.
context: Naruka Sept. 10 Handa Kanzaki\Well, we can let it go this time if you don't feel up to it,\but if you consider...\Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time?\I'm not sure.\Right now I'm in total darkness,\but I'll definitely find the light, someday. response:	Definitely.
context: Well, we can let it go this time if you don't feel up to it,\but if you consider...\Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time?\I'm not sure.\Right now I'm in total darkness,\but I'll definitely find the light, someday.\Definitely. response:	So, what's the cost per minute?
context: but if you consider...\Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time?\I'm not sure.\Right now I'm in total darkness,\but I'll definitely find the light, someday.\Definitely.\So, what's the cost per minute? response:	Right now I'm in total darkness...
context: Order the writing equipment I'm about to describe.\Can I expect you to get the grand prize this time?\I'm not sure.\Right now I'm in total darkness,\but I'll definitely find the light, someday.\Definitely.\So, what's the cost per minute?\Right now I'm in total darkness... response:	But I'll definitely find the light.
context: Can I expect you to get the grand prize this time?\I'm not sure.\Right now I'm in total darkness,\but I'll definitely find the light, someday.\Definitely.\So, what's the cost per minute?\Right now I'm in total darkness...\But I'll definitely find the light. response:	Was what I said that bad?
context: I'm not sure.\Right now I'm in total darkness,\but I'll definitely find the light, someday.\Definitely.\So, what's the cost per minute?\Right now I'm in total darkness...\But I'll definitely find the light.\Was what I said that bad? response:	In eighth grade, you claimed to harbor some power in your left arm, didn't you?
context: Right now I'm in total darkness,\but I'll definitely find the light, someday.\Definitely.\So, what's the cost per minute?\Right now I'm in total darkness...\But I'll definitely find the light.\Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you? response:	That's beside the point!
context: but I'll definitely find the light, someday.\Definitely.\So, what's the cost per minute?\Right now I'm in total darkness...\But I'll definitely find the light.\Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point! response:	I talked for about five minutes, so will fifty yen be enough?
context: Definitely.\So, what's the cost per minute?\Right now I'm in total darkness...\But I'll definitely find the light.\Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point!\I talked for about five minutes, so will fifty yen be enough? response:	The phone costs ten yen per call.
context: So, what's the cost per minute?\Right now I'm in total darkness...\But I'll definitely find the light.\Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point!\I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call. response:	Is that really enough?
context: Right now I'm in total darkness...\But I'll definitely find the light.\Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point!\I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call.\Is that really enough? response:	Gramma says to use it for free,
context: But I'll definitely find the light.\Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point!\I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call.\Is that really enough?\Gramma says to use it for free, response:	but everyone leaves ten yen.
context: Was what I said that bad?\In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point!\I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call.\Is that really enough?\Gramma says to use it for free,\but everyone leaves ten yen. response:	Okay, here's ten yen.
context: In eighth grade, you claimed to harbor some power in your left arm, didn't you?\That's beside the point!\I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call.\Is that really enough?\Gramma says to use it for free,\but everyone leaves ten yen.\Okay, here's ten yen. response:	And this comes to forty yen.
context: That's beside the point!\I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call.\Is that really enough?\Gramma says to use it for free,\but everyone leaves ten yen.\Okay, here's ten yen.\And this comes to forty yen. response:	Naru!
context: I talked for about five minutes, so will fifty yen be enough?\The phone costs ten yen per call.\Is that really enough?\Gramma says to use it for free,\but everyone leaves ten yen.\Okay, here's ten yen.\And this comes to forty yen.\Naru! response:	Yay!
context: The phone costs ten yen per call.\Is that really enough?\Gramma says to use it for free,\but everyone leaves ten yen.\Okay, here's ten yen.\And this comes to forty yen.\Naru!\Yay! response:	And Hina!
context: Is that really enough?\Gramma says to use it for free,\but everyone leaves ten yen.\Okay, here's ten yen.\And this comes to forty yen.\Naru!\Yay!\And Hina! response:	Sorry about that.
context: Gramma says to use it for free,\but everyone leaves ten yen.\Okay, here's ten yen.\And this comes to forty yen.\Naru!\Yay!\And Hina!\Sorry about that. response:	Here, you too, Akki.
context: but everyone leaves ten yen.\Okay, here's ten yen.\And this comes to forty yen.\Naru!\Yay!\And Hina!\Sorry about that.\Here, you too, Akki. response:	Thank you very much.
context: Okay, here's ten yen.\And this comes to forty yen.\Naru!\Yay!\And Hina!\Sorry about that.\Here, you too, Akki.\Thank you very much. response:	Look!
context: And this comes to forty yen.\Naru!\Yay!\And Hina!\Sorry about that.\Here, you too, Akki.\Thank you very much.\Look! response:	I made a nice, fat balloon!
context: Naru!\Yay!\And Hina!\Sorry about that.\Here, you too, Akki.\Thank you very much.\Look!\I made a nice, fat balloon! response:	Hey! Don't touch it with your dirty hand!
context: Yay!\And Hina!\Sorry about that.\Here, you too, Akki.\Thank you very much.\Look!\I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand! response:	Hina!
context: And Hina!\Sorry about that.\Here, you too, Akki.\Thank you very much.\Look!\I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand!\Hina! response:	What the heck did you do?!
context: Sorry about that.\Here, you too, Akki.\Thank you very much.\Look!\I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand!\Hina!\What the heck did you do?! response:	I'd assumed that a calligrapher would be more stuffy.
context: Here, you too, Akki.\Thank you very much.\Look!\I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand!\Hina!\What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy. response:	I never would've known the truth if I hadn't met you.
context: Thank you very much.\Look!\I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand!\Hina!\What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you. response:	You're an odd person, like they say.
context: Look!\I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand!\Hina!\What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you.\You're an odd person, like they say. response:	Odd?
context: I made a nice, fat balloon!\Hey! Don't touch it with your dirty hand!\Hina!\What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you.\You're an odd person, like they say.\Odd? response:	Can I come to visit sometime?
context: Hey! Don't touch it with your dirty hand!\Hina!\What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you.\You're an odd person, like they say.\Odd?\Can I come to visit sometime? response:	You mean I'll have both siblings coming to trash my house?
context: Hina!\What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you.\You're an odd person, like they say.\Odd?\Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house? response:	C'mon over!
context: What the heck did you do?!\I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you.\You're an odd person, like they say.\Odd?\Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house?\C'mon over! response:	Don't answer for me!
context: I'd assumed that a calligrapher would be more stuffy.\I never would've known the truth if I hadn't met you.\You're an odd person, like they say.\Odd?\Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house?\C'mon over!\Don't answer for me! response:	Damn...
context: I never would've known the truth if I hadn't met you.\You're an odd person, like they say.\Odd?\Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house?\C'mon over!\Don't answer for me!\Damn... response:	None of this is good enough!
context: You're an odd person, like they say.\Odd?\Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house?\C'mon over!\Don't answer for me!\Damn...\None of this is good enough! response:	Can't write anything...
context: Odd?\Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house?\C'mon over!\Don't answer for me!\Damn...\None of this is good enough!\Can't write anything... response:	Maybe it's because I stopped working to focus on the exhibition.
context: Can I come to visit sometime?\You mean I'll have both siblings coming to trash my house?\C'mon over!\Don't answer for me!\Damn...\None of this is good enough!\Can't write anything...\Maybe it's because I stopped working to focus on the exhibition. response:	Writing even a single sheet feels like a huge undertaking.
context: You mean I'll have both siblings coming to trash my house?\C'mon over!\Don't answer for me!\Damn...\None of this is good enough!\Can't write anything...\Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking. response:	If I can't improve my mood and write something, the deadline
context: C'mon over!\Don't answer for me!\Damn...\None of this is good enough!\Can't write anything...\Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline response:	Hey! What're you tryin' to do?!
context: Don't answer for me!\Damn...\None of this is good enough!\Can't write anything...\Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?! response:	Ya spilled all the seaweed I worked hard to collect!
context: Damn...\None of this is good enough!\Can't write anything...\Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect! response:	Sorry! I was lost in thought...
context: None of this is good enough!\Can't write anything...\Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought... response:	Lost in thought?
context: Can't write anything...\Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought...\Lost in thought? response:	Ya expect to get off the hook with an excuse like that?
context: Maybe it's because I stopped working to focus on the exhibition.\Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought...\Lost in thought?\Ya expect to get off the hook with an excuse like that? response:	Ya think that's enough?!
context: Writing even a single sheet feels like a huge undertaking.\If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought...\Lost in thought?\Ya expect to get off the hook with an excuse like that?\Ya think that's enough?! response:	He's a gangster!
context: If I can't improve my mood and write something, the deadline\Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought...\Lost in thought?\Ya expect to get off the hook with an excuse like that?\Ya think that's enough?!\He's a gangster! response:	Ain't seen your face before...
context: Hey! What're you tryin' to do?!\Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought...\Lost in thought?\Ya expect to get off the hook with an excuse like that?\Ya think that's enough?!\He's a gangster!\Ain't seen your face before... response:	I moved in recently
context: Ya spilled all the seaweed I worked hard to collect!\Sorry! I was lost in thought...\Lost in thought?\Ya expect to get off the hook with an excuse like that?\Ya think that's enough?!\He's a gangster!\Ain't seen your face before...\I moved in recently response:	Yer the penmanship teacher?!
context: Sorry! I was lost in thought...\Lost in thought?\Ya expect to get off the hook with an excuse like that?\Ya think that's enough?!\He's a gangster!\Ain't seen your face before...\I moved in recently\Yer the penmanship teacher?! response:	Y-Yes, I am.
context: Lost in thought?\Ya expect to get off the hook with an excuse like that?\Ya think that's enough?!\He's a gangster!\Ain't seen your face before...\I moved in recently\Yer the penmanship teacher?!\Y-Yes, I am. response:	I heard yer an odd person, but a bad apple?!
context: Ya expect to get off the hook with an excuse like that?\Ya think that's enough?!\He's a gangster!\Ain't seen your face before...\I moved in recently\Yer the penmanship teacher?!\Y-Yes, I am.\I heard yer an odd person, but a bad apple?! response:	Odd again...
context: Ya think that's enough?!\He's a gangster!\Ain't seen your face before...\I moved in recently\Yer the penmanship teacher?!\Y-Yes, I am.\I heard yer an odd person, but a bad apple?!\Odd again... response:	Yer gonna do me a little favor, Sensei...
context: He's a gangster!\Ain't seen your face before...\I moved in recently\Yer the penmanship teacher?!\Y-Yes, I am.\I heard yer an odd person, but a bad apple?!\Odd again...\Yer gonna do me a little favor, Sensei... response:	Hey, wait! Where are we going?!
context: Ain't seen your face before...\I moved in recently\Yer the penmanship teacher?!\Y-Yes, I am.\I heard yer an odd person, but a bad apple?!\Odd again...\Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?! response:	Don't worry about it!
context: I moved in recently\Yer the penmanship teacher?!\Y-Yes, I am.\I heard yer an odd person, but a bad apple?!\Odd again...\Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?!\Don't worry about it! response:	Oh, forgot my bike.
context: Yer the penmanship teacher?!\Y-Yes, I am.\I heard yer an odd person, but a bad apple?!\Odd again...\Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?!\Don't worry about it!\Oh, forgot my bike. response:	Caught by a Grade-A annoying old guy!
context: Y-Yes, I am.\I heard yer an odd person, but a bad apple?!\Odd again...\Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?!\Don't worry about it!\Oh, forgot my bike.\Caught by a Grade-A annoying old guy! response:	Okay, Sensei!
context: I heard yer an odd person, but a bad apple?!\Odd again...\Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?!\Don't worry about it!\Oh, forgot my bike.\Caught by a Grade-A annoying old guy!\Okay, Sensei! response:	Do yer thing.
context: Odd again...\Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?!\Don't worry about it!\Oh, forgot my bike.\Caught by a Grade-A annoying old guy!\Okay, Sensei!\Do yer thing. response:	Write on it, real flashy!
context: Yer gonna do me a little favor, Sensei...\Hey, wait! Where are we going?!\Don't worry about it!\Oh, forgot my bike.\Caught by a Grade-A annoying old guy!\Okay, Sensei!\Do yer thing.\Write on it, real flashy! response:	Yer outta luck, gettin' caught up with my dad.
context: Hey, wait! Where are we going?!\Don't worry about it!\Oh, forgot my bike.\Caught by a Grade-A annoying old guy!\Okay, Sensei!\Do yer thing.\Write on it, real flashy!\Yer outta luck, gettin' caught up with my dad. response:	After I told him'bout you,
context: Don't worry about it!\Oh, forgot my bike.\Caught by a Grade-A annoying old guy!\Okay, Sensei!\Do yer thing.\Write on it, real flashy!\Yer outta luck, gettin' caught up with my dad.\After I told him'bout you, response:	he exclaimed, I'll have him write my boat's name!
context: Oh, forgot my bike.\Caught by a Grade-A annoying old guy!\Okay, Sensei!\Do yer thing.\Write on it, real flashy!\Yer outta luck, gettin' caught up with my dad.\After I told him'bout you,\he exclaimed, I'll have him write my boat's name! response:	He's your dad?
context: Caught by a Grade-A annoying old guy!\Okay, Sensei!\Do yer thing.\Write on it, real flashy!\Yer outta luck, gettin' caught up with my dad.\After I told him'bout you,\he exclaimed, I'll have him write my boat's name!\He's your dad? response:	I give up on everything.
context: Okay, Sensei!\Do yer thing.\Write on it, real flashy!\Yer outta luck, gettin' caught up with my dad.\After I told him'bout you,\he exclaimed, I'll have him write my boat's name!\He's your dad?\I give up on everything. response:	I can't wait...
