context: You know, the universe is so large that we can't even begin to fathom it. response:	And time has been spinning for an eternity...
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami response:	I wish Muginami were here too...
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too... response:	Do you think we'll all meet again?
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too...\Do you think we'll all meet again? response:	Yes, absolutely.
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too...\Do you think we'll all meet again?\Yes, absolutely. response:	After all,
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too...\Do you think we'll all meet again?\Yes, absolutely.\After all, response:	the view before us is still here.
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too...\Do you think we'll all meet again?\Yes, absolutely.\After all,\the view before us is still here. response:	That's right.
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too...\Do you think we'll all meet again?\Yes, absolutely.\After all,\the view before us is still here.\That's right. response:	Yes.
context: Until we meet again hhhhhhhhhhin Kamogawa! Madoka Lan Muginami\I wish Muginami were here too...\Do you think we'll all meet again?\Yes, absolutely.\After all,\the view before us is still here.\That's right.\Yes. response:	It's because you protected it.
context: I wish Muginami were here too...\Do you think we'll all meet again?\Yes, absolutely.\After all,\the view before us is still here.\That's right.\Yes.\It's because you protected it. response:	Flowers?
context: Do you think we'll all meet again?\Yes, absolutely.\After all,\the view before us is still here.\That's right.\Yes.\It's because you protected it.\Flowers? response:	Why did it have to be Big Sis...
context: Yes, absolutely.\After all,\the view before us is still here.\That's right.\Yes.\It's because you protected it.\Flowers?\Why did it have to be Big Sis... response:	and everyone else?
context: After all,\the view before us is still here.\That's right.\Yes.\It's because you protected it.\Flowers?\Why did it have to be Big Sis...\and everyone else? response:	If you wanted to hurt someone,
context: the view before us is still here.\That's right.\Yes.\It's because you protected it.\Flowers?\Why did it have to be Big Sis...\and everyone else?\If you wanted to hurt someone, response:	Madoka!
context: That's right.\Yes.\It's because you protected it.\Flowers?\Why did it have to be Big Sis...\and everyone else?\If you wanted to hurt someone,\Madoka! response:	you should've just done it to me.
context: Yes.\It's because you protected it.\Flowers?\Why did it have to be Big Sis...\and everyone else?\If you wanted to hurt someone,\Madoka!\you should've just done it to me. response:	I've been ready to risk my life for a long time.
context: It's because you protected it.\Flowers?\Why did it have to be Big Sis...\and everyone else?\If you wanted to hurt someone,\Madoka!\you should've just done it to me.\I've been ready to risk my life for a long time. response:	I was prepared...
context: Flowers?\Why did it have to be Big Sis...\and everyone else?\If you wanted to hurt someone,\Madoka!\you should've just done it to me.\I've been ready to risk my life for a long time.\I was prepared... response:	Madoka...
context: Why did it have to be Big Sis...\and everyone else?\If you wanted to hurt someone,\Madoka!\you should've just done it to me.\I've been ready to risk my life for a long time.\I was prepared...\Madoka... response:	Why does it always have to be the ones I love?
context: and everyone else?\If you wanted to hurt someone,\Madoka!\you should've just done it to me.\I've been ready to risk my life for a long time.\I was prepared...\Madoka...\Why does it always have to be the ones I love? response:	If I try to go in for close-range combat, my craft will mutate.
context: If you wanted to hurt someone,\Madoka!\you should've just done it to me.\I've been ready to risk my life for a long time.\I was prepared...\Madoka...\Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate. response:	Damage report!
context: Madoka!\you should've just done it to me.\I've been ready to risk my life for a long time.\I was prepared...\Madoka...\Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate.\Damage report! response:	But long-range attacks are also ineffective.
context: you should've just done it to me.\I've been ready to risk my life for a long time.\I was prepared...\Madoka...\Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate.\Damage report!\But long-range attacks are also ineffective. response:	Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!
context: I've been ready to risk my life for a long time.\I was prepared...\Madoka...\Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate.\Damage report!\But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly! response:	So what are my options now?
context: I was prepared...\Madoka...\Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate.\Damage report!\But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now? response:	Detecting a massive energy field!
context: Madoka...\Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate.\Damage report!\But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now?\Detecting a massive energy field! response:	What's that?
context: Why does it always have to be the ones I love?\If I try to go in for close-range combat, my craft will mutate.\Damage report!\But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now?\Detecting a massive energy field!\What's that? response:	What's gonna happen?
context: If I try to go in for close-range combat, my craft will mutate.\Damage report!\But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now?\Detecting a massive energy field!\What's that?\What's gonna happen? response:	What's the situation with the energy field?!
context: Damage report!\But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now?\Detecting a massive energy field!\What's that?\What's gonna happen?\What's the situation with the energy field?! response:	It's growing even larger!
context: But long-range attacks are also ineffective.\Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now?\Detecting a massive energy field!\What's that?\What's gonna happen?\What's the situation with the energy field?!\It's growing even larger! response:	Phochville ships 1 and 2 are going to be swallowed up!
context: Ovids Garua, Baizand, and Nekusan are out of commission due to the effects of the anomaly!\So what are my options now?\Detecting a massive energy field!\What's that?\What's gonna happen?\What's the situation with the energy field?!\It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up! response:	All ships within effective range are to activate overdrive if necessary!
context: So what are my options now?\Detecting a massive energy field!\What's that?\What's gonna happen?\What's the situation with the energy field?!\It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary! response:	Get out of there!
context: Detecting a massive energy field!\What's that?\What's gonna happen?\What's the situation with the energy field?!\It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary!\Get out of there! response:	Aura, Lympha and Ignis...
context: What's that?\What's gonna happen?\What's the situation with the energy field?!\It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary!\Get out of there!\Aura, Lympha and Ignis... response:	The telemetry from each one is off the grid!
context: What's gonna happen?\What's the situation with the energy field?!\It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary!\Get out of there!\Aura, Lympha and Ignis...\The telemetry from each one is off the grid! response:	Just what is happening, Moid?
context: What's the situation with the energy field?!\It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary!\Get out of there!\Aura, Lympha and Ignis...\The telemetry from each one is off the grid!\Just what is happening, Moid? response:	Shut the hell up!
context: It's growing even larger!\Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary!\Get out of there!\Aura, Lympha and Ignis...\The telemetry from each one is off the grid!\Just what is happening, Moid?\Shut the hell up! response:	Don't talk to me now!
context: Phochville ships 1 and 2 are going to be swallowed up!\All ships within effective range are to activate overdrive if necessary!\Get out of there!\Aura, Lympha and Ignis...\The telemetry from each one is off the grid!\Just what is happening, Moid?\Shut the hell up!\Don't talk to me now! response:	This is the best part, and I'm trying to enjoy it.
context: All ships within effective range are to activate overdrive if necessary!\Get out of there!\Aura, Lympha and Ignis...\The telemetry from each one is off the grid!\Just what is happening, Moid?\Shut the hell up!\Don't talk to me now!\This is the best part, and I'm trying to enjoy it. response:	Uehara!
context: Get out of there!\Aura, Lympha and Ignis...\The telemetry from each one is off the grid!\Just what is happening, Moid?\Shut the hell up!\Don't talk to me now!\This is the best part, and I'm trying to enjoy it.\Uehara! response:	Yes sir!
context: Aura, Lympha and Ignis...\The telemetry from each one is off the grid!\Just what is happening, Moid?\Shut the hell up!\Don't talk to me now!\This is the best part, and I'm trying to enjoy it.\Uehara!\Yes sir! response:	Can we communicate with the pilots?
context: The telemetry from each one is off the grid!\Just what is happening, Moid?\Shut the hell up!\Don't talk to me now!\This is the best part, and I'm trying to enjoy it.\Uehara!\Yes sir!\Can we communicate with the pilots? response:	We can't.
context: Just what is happening, Moid?\Shut the hell up!\Don't talk to me now!\This is the best part, and I'm trying to enjoy it.\Uehara!\Yes sir!\Can we communicate with the pilots?\We can't. response:	We're disconnected from all three.
context: Shut the hell up!\Don't talk to me now!\This is the best part, and I'm trying to enjoy it.\Uehara!\Yes sir!\Can we communicate with the pilots?\We can't.\We're disconnected from all three. response:	No, wait...
context: Don't talk to me now!\This is the best part, and I'm trying to enjoy it.\Uehara!\Yes sir!\Can we communicate with the pilots?\We can't.\We're disconnected from all three.\No, wait... response:	It's Aura...
context: This is the best part, and I'm trying to enjoy it.\Uehara!\Yes sir!\Can we communicate with the pilots?\We can't.\We're disconnected from all three.\No, wait...\It's Aura... response:	What is this static?
context: Uehara!\Yes sir!\Can we communicate with the pilots?\We can't.\We're disconnected from all three.\No, wait...\It's Aura...\What is this static? response:	There are lots of people I want to protect.
context: Yes sir!\Can we communicate with the pilots?\We can't.\We're disconnected from all three.\No, wait...\It's Aura...\What is this static?\There are lots of people I want to protect. response:	There's Big Sis,
context: Can we communicate with the pilots?\We can't.\We're disconnected from all three.\No, wait...\It's Aura...\What is this static?\There are lots of people I want to protect.\There's Big Sis, response:	Uncle,
context: We can't.\We're disconnected from all three.\No, wait...\It's Aura...\What is this static?\There are lots of people I want to protect.\There's Big Sis,\Uncle, response:	everyone at school...
context: We're disconnected from all three.\No, wait...\It's Aura...\What is this static?\There are lots of people I want to protect.\There's Big Sis,\Uncle,\everyone at school... response:	The people of Kamogawa...
context: No, wait...\It's Aura...\What is this static?\There are lots of people I want to protect.\There's Big Sis,\Uncle,\everyone at school...\The people of Kamogawa... response:	and...
context: It's Aura...\What is this static?\There are lots of people I want to protect.\There's Big Sis,\Uncle,\everyone at school...\The people of Kamogawa...\and... response:	also... also...
context: What is this static?\There are lots of people I want to protect.\There's Big Sis,\Uncle,\everyone at school...\The people of Kamogawa...\and...\also... also... response:	Hey,
context: There are lots of people I want to protect.\There's Big Sis,\Uncle,\everyone at school...\The people of Kamogawa...\and...\also... also...\Hey, response:	was I really the right choice?
context: There's Big Sis,\Uncle,\everyone at school...\The people of Kamogawa...\and...\also... also...\Hey,\was I really the right choice? response:	Can I really do it?
context: Uncle,\everyone at school...\The people of Kamogawa...\and...\also... also...\Hey,\was I really the right choice?\Can I really do it? response:	If I say you can't, are you going to give up?
context: everyone at school...\The people of Kamogawa...\and...\also... also...\Hey,\was I really the right choice?\Can I really do it?\If I say you can't, are you going to give up? response:	But if it's impossible, it's impossible.
context: The people of Kamogawa...\and...\also... also...\Hey,\was I really the right choice?\Can I really do it?\If I say you can't, are you going to give up?\But if it's impossible, it's impossible. response:	You don't know that until you try.
context: and...\also... also...\Hey,\was I really the right choice?\Can I really do it?\If I say you can't, are you going to give up?\But if it's impossible, it's impossible.\You don't know that until you try. response:	It's a fact that you were chosen.
context: also... also...\Hey,\was I really the right choice?\Can I really do it?\If I say you can't, are you going to give up?\But if it's impossible, it's impossible.\You don't know that until you try.\It's a fact that you were chosen. response:	But whether or not you can do it, no one knows.
context: Hey,\was I really the right choice?\Can I really do it?\If I say you can't, are you going to give up?\But if it's impossible, it's impossible.\You don't know that until you try.\It's a fact that you were chosen.\But whether or not you can do it, no one knows. response:	In other words...
context: was I really the right choice?\Can I really do it?\If I say you can't, are you going to give up?\But if it's impossible, it's impossible.\You don't know that until you try.\It's a fact that you were chosen.\But whether or not you can do it, no one knows.\In other words... response:	It's all up to you.
context: Can I really do it?\If I say you can't, are you going to give up?\But if it's impossible, it's impossible.\You don't know that until you try.\It's a fact that you were chosen.\But whether or not you can do it, no one knows.\In other words...\It's all up to you. response:	All up to me?
context: If I say you can't, are you going to give up?\But if it's impossible, it's impossible.\You don't know that until you try.\It's a fact that you were chosen.\But whether or not you can do it, no one knows.\In other words...\It's all up to you.\All up to me? response:	Before I came here,
context: But if it's impossible, it's impossible.\You don't know that until you try.\It's a fact that you were chosen.\But whether or not you can do it, no one knows.\In other words...\It's all up to you.\All up to me?\Before I came here, response:	there was someone else here.
context: You don't know that until you try.\It's a fact that you were chosen.\But whether or not you can do it, no one knows.\In other words...\It's all up to you.\All up to me?\Before I came here,\there was someone else here. response:	She went back to her own world, almost like she was switching places with me.
context: It's a fact that you were chosen.\But whether or not you can do it, no one knows.\In other words...\It's all up to you.\All up to me?\Before I came here,\there was someone else here.\She went back to her own world, almost like she was switching places with me. response:	She said she was going to try one more time.
context: But whether or not you can do it, no one knows.\In other words...\It's all up to you.\All up to me?\Before I came here,\there was someone else here.\She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time. response:	But I didn't ask what she was going to do.
context: In other words...\It's all up to you.\All up to me?\Before I came here,\there was someone else here.\She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time.\But I didn't ask what she was going to do. response:	Do you want to leave this place?
context: It's all up to you.\All up to me?\Before I came here,\there was someone else here.\She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time.\But I didn't ask what she was going to do.\Do you want to leave this place? response:	I'm staying here because...
context: All up to me?\Before I came here,\there was someone else here.\She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time.\But I didn't ask what she was going to do.\Do you want to leave this place?\I'm staying here because... response:	that's the path I've chosen.
context: Before I came here,\there was someone else here.\She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time.\But I didn't ask what she was going to do.\Do you want to leave this place?\I'm staying here because...\that's the path I've chosen. response:	I see...
context: there was someone else here.\She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time.\But I didn't ask what she was going to do.\Do you want to leave this place?\I'm staying here because...\that's the path I've chosen.\I see... response:	So... who are you?
context: She went back to her own world, almost like she was switching places with me.\She said she was going to try one more time.\But I didn't ask what she was going to do.\Do you want to leave this place?\I'm staying here because...\that's the path I've chosen.\I see...\So... who are you? response:	That's the path I've chosen, huh.
context: She said she was going to try one more time.\But I didn't ask what she was going to do.\Do you want to leave this place?\I'm staying here because...\that's the path I've chosen.\I see...\So... who are you?\That's the path I've chosen, huh. response:	That's so cool!
context: But I didn't ask what she was going to do.\Do you want to leave this place?\I'm staying here because...\that's the path I've chosen.\I see...\So... who are you?\That's the path I've chosen, huh.\That's so cool! response:	Let's try this...
context: Do you want to leave this place?\I'm staying here because...\that's the path I've chosen.\I see...\So... who are you?\That's the path I've chosen, huh.\That's so cool!\Let's try this... response:	my way!
context: I'm staying here because...\that's the path I've chosen.\I see...\So... who are you?\That's the path I've chosen, huh.\That's so cool!\Let's try this...\my way! response:	Lan!
context: that's the path I've chosen.\I see...\So... who are you?\That's the path I've chosen, huh.\That's so cool!\Let's try this...\my way!\Lan! response:	Muginami!
context: I see...\So... who are you?\That's the path I've chosen, huh.\That's so cool!\Let's try this...\my way!\Lan!\Muginami! response:	Let's go
context: So... who are you?\That's the path I've chosen, huh.\That's so cool!\Let's try this...\my way!\Lan!\Muginami!\Let's go response:	together!
context: That's the path I've chosen, huh.\That's so cool!\Let's try this...\my way!\Lan!\Muginami!\Let's go\together! response:	What?
context: That's so cool!\Let's try this...\my way!\Lan!\Muginami!\Let's go\together!\What? response:	The only thing I can do...
context: Let's try this...\my way!\Lan!\Muginami!\Let's go\together!\What?\The only thing I can do... response:	is to fly with everything I've got, just like this!
context: my way!\Lan!\Muginami!\Let's go\together!\What?\The only thing I can do...\is to fly with everything I've got, just like this! response:	A-Aura!
context: Lan!\Muginami!\Let's go\together!\What?\The only thing I can do...\is to fly with everything I've got, just like this!\A-Aura! response:	It's beautiful...
context: Muginami!\Let's go\together!\What?\The only thing I can do...\is to fly with everything I've got, just like this!\A-Aura!\It's beautiful... response:	Well?
context: Let's go\together!\What?\The only thing I can do...\is to fly with everything I've got, just like this!\A-Aura!\It's beautiful...\Well? response:	Does my kid sister have potential?
context: together!\What?\The only thing I can do...\is to fly with everything I've got, just like this!\A-Aura!\It's beautiful...\Well?\Does my kid sister have potential? response:	Yes.
context: What?\The only thing I can do...\is to fly with everything I've got, just like this!\A-Aura!\It's beautiful...\Well?\Does my kid sister have potential?\Yes. response:	She's an outrageous girl,
context: The only thing I can do...\is to fly with everything I've got, just like this!\A-Aura!\It's beautiful...\Well?\Does my kid sister have potential?\Yes.\She's an outrageous girl, response:	that Kyono Madoka.
context: is to fly with everything I've got, just like this!\A-Aura!\It's beautiful...\Well?\Does my kid sister have potential?\Yes.\She's an outrageous girl,\that Kyono Madoka. response:	Big Sis?
context: A-Aura!\It's beautiful...\Well?\Does my kid sister have potential?\Yes.\She's an outrageous girl,\that Kyono Madoka.\Big Sis? response:	She's alive!
context: It's beautiful...\Well?\Does my kid sister have potential?\Yes.\She's an outrageous girl,\that Kyono Madoka.\Big Sis?\She's alive! response:	Midori, Big Sis is okay!
