context: Huh? When did I happen to get down from that cliff? response:	Last night, I was looking at the moon, and then...
context: W- well, I guess so. Shall I fry those up for you?\Open up my head.\Right.\Set it down inside.\Right.\-Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style?\My mother's style! response:	How should I know what that is?
context: Open up my head.\Right.\Set it down inside.\Right.\-Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style?\My mother's style!\How should I know what that is? response:	It's done.
context: Right.\Set it down inside.\Right.\-Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style?\My mother's style!\How should I know what that is?\It's done. response:	Yow-ow-ow...
context: Set it down inside.\Right.\-Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style?\My mother's style!\How should I know what that is?\It's done.\Yow-ow-ow... response:	Mister, it's too hot.
context: Right.\-Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style?\My mother's style!\How should I know what that is?\It's done.\Yow-ow-ow...\Mister, it's too hot. response:	Am I to blame for that as well?
context: -Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style?\My mother's style!\How should I know what that is?\It's done.\Yow-ow-ow...\Mister, it's too hot.\Am I to blame for that as well? response:	I humbly accept this food.
context: What kind of flavor do you want? Chinese-style? Western-style?\My mother's style!\How should I know what that is?\It's done.\Yow-ow-ow...\Mister, it's too hot.\Am I to blame for that as well?\I humbly accept this food. response:	How is it that you're in this sort of place?
context: My mother's style!\How should I know what that is?\It's done.\Yow-ow-ow...\Mister, it's too hot.\Am I to blame for that as well?\I humbly accept this food.\How is it that you're in this sort of place? response:	This is yucky.
context: How should I know what that is?\It's done.\Yow-ow-ow...\Mister, it's too hot.\Am I to blame for that as well?\I humbly accept this food.\How is it that you're in this sort of place?\This is yucky. response:	I'm lost. I want to go back to my mother's place,
context: It's done.\Yow-ow-ow...\Mister, it's too hot.\Am I to blame for that as well?\I humbly accept this food.\How is it that you're in this sort of place?\This is yucky.\I'm lost. I want to go back to my mother's place, response:	but I don't know what I should do.
context: Yow-ow-ow...\Mister, it's too hot.\Am I to blame for that as well?\I humbly accept this food.\How is it that you're in this sort of place?\This is yucky.\I'm lost. I want to go back to my mother's place,\but I don't know what I should do. response:	That is rough, huh?
context: Mister, it's too hot.\Am I to blame for that as well?\I humbly accept this food.\How is it that you're in this sort of place?\This is yucky.\I'm lost. I want to go back to my mother's place,\but I don't know what I should do.\That is rough, huh? response:	It's not possible for a little kid like you to cross the desert.
context: Am I to blame for that as well?\I humbly accept this food.\How is it that you're in this sort of place?\This is yucky.\I'm lost. I want to go back to my mother's place,\but I don't know what I should do.\That is rough, huh?\It's not possible for a little kid like you to cross the desert. response:	Having said that, it will be even harder for you to live in this desert.
context: I humbly accept this food.\How is it that you're in this sort of place?\This is yucky.\I'm lost. I want to go back to my mother's place,\but I don't know what I should do.\That is rough, huh?\It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert. response:	Mister, what is it that brought you here?
context: How is it that you're in this sort of place?\This is yucky.\I'm lost. I want to go back to my mother's place,\but I don't know what I should do.\That is rough, huh?\It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here? response:	An accident.
context: This is yucky.\I'm lost. I want to go back to my mother's place,\but I don't know what I should do.\That is rough, huh?\It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here?\An accident. response:	An accident?
context: I'm lost. I want to go back to my mother's place,\but I don't know what I should do.\That is rough, huh?\It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here?\An accident.\An accident? response:	It was an investigation into excavating these ruins.
context: but I don't know what I should do.\That is rough, huh?\It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here?\An accident.\An accident?\It was an investigation into excavating these ruins. response:	No sooner had I found this place than, hmm, I ended up like this.
context: That is rough, huh?\It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here?\An accident.\An accident?\It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this. response:	The ground around here is not very firm, so earthquakes are constantly occurring.
context: It's not possible for a little kid like you to cross the desert.\Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here?\An accident.\An accident?\It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring. response:	I've been here in the sand ever since.
context: Having said that, it will be even harder for you to live in this desert.\Mister, what is it that brought you here?\An accident.\An accident?\It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since. response:	This Nemurian temple was a great discovery, wasn't it?
context: Mister, what is it that brought you here?\An accident.\An accident?\It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it? response:	How do you know about that?
context: An accident.\An accident?\It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it?\How do you know about that? response:	It said so in a picture book. Anyhow, there might be someone else
context: An accident?\It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it?\How do you know about that?\It said so in a picture book. Anyhow, there might be someone else response:	who comes searching the area that helps us out, huh?
context: It was an investigation into excavating these ruins.\No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it?\How do you know about that?\It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh? response:	It's been eighty years now since I've been buried in the sand.
context: No sooner had I found this place than, hmm, I ended up like this.\The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it?\How do you know about that?\It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand. response:	Hey, what are you doing!?
context: The ground around here is not very firm, so earthquakes are constantly occurring.\I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it?\How do you know about that?\It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!? response:	I'm going... to get you... out of here, Mister!
context: I've been here in the sand ever since.\This Nemurian temple was a great discovery, wasn't it?\How do you know about that?\It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!?\I'm going... to get you... out of here, Mister! response:	Stop that! I want to stay with this city!
context: This Nemurian temple was a great discovery, wasn't it?\How do you know about that?\It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!?\I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city! response:	Mind your own business! Leave me alone like this!
context: How do you know about that?\It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!?\I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this! response:	You can leave here together with me!
context: It said so in a picture book. Anyhow, there might be someone else\who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!?\I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this!\You can leave here together with me! response:	Don't worry about me.
context: who comes searching the area that helps us out, huh?\It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!?\I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this!\You can leave here together with me!\Don't worry about me. response:	I can store up energy and leap out of here all at once. Stop!
context: It's been eighty years now since I've been buried in the sand.\Hey, what are you doing!?\I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this!\You can leave here together with me!\Don't worry about me.\I can store up energy and leap out of here all at once. Stop! response:	I'm losing my balance!
context: Hey, what are you doing!?\I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this!\You can leave here together with me!\Don't worry about me.\I can store up energy and leap out of here all at once. Stop!\I'm losing my balance! response:	Watch out!
context: I'm going... to get you... out of here, Mister!\Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this!\You can leave here together with me!\Don't worry about me.\I can store up energy and leap out of here all at once. Stop!\I'm losing my balance!\Watch out! response:	Get out of here, quickly! The cave is collapsing!
context: Stop that! I want to stay with this city!\Mind your own business! Leave me alone like this!\You can leave here together with me!\Don't worry about me.\I can store up energy and leap out of here all at once. Stop!\I'm losing my balance!\Watch out!\Get out of here, quickly! The cave is collapsing! response:	-But... -Hurry and get to the exit!
context: Mind your own business! Leave me alone like this!\You can leave here together with me!\Don't worry about me.\I can store up energy and leap out of here all at once. Stop!\I'm losing my balance!\Watch out!\Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit! response:	You don't want to die, do you?
context: You can leave here together with me!\Don't worry about me.\I can store up energy and leap out of here all at once. Stop!\I'm losing my balance!\Watch out!\Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit!\You don't want to die, do you? response:	You come with me too, Mister!
context: Don't worry about me.\I can store up energy and leap out of here all at once. Stop!\I'm losing my balance!\Watch out!\Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit!\You don't want to die, do you?\You come with me too, Mister! response:	That's all right. I will turn out okay. I'm a superior 3-S type, after all.
context: I can store up energy and leap out of here all at once. Stop!\I'm losing my balance!\Watch out!\Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit!\You don't want to die, do you?\You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all. response:	Hurry and get going!
context: I'm losing my balance!\Watch out!\Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit!\You don't want to die, do you?\You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going! response:	There, it's settled down. Go now, while you can!
context: Watch out!\Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit!\You don't want to die, do you?\You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going!\There, it's settled down. Go now, while you can! response:	Don't cause me any more trouble!
context: Get out of here, quickly! The cave is collapsing!\-But... -Hurry and get to the exit!\You don't want to die, do you?\You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going!\There, it's settled down. Go now, while you can!\Don't cause me any more trouble! response:	Right...
context: -But... -Hurry and get to the exit!\You don't want to die, do you?\You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going!\There, it's settled down. Go now, while you can!\Don't cause me any more trouble!\Right... response:	Now, summon up your courage and jump with all your might.
context: You don't want to die, do you?\You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going!\There, it's settled down. Go now, while you can!\Don't cause me any more trouble!\Right...\Now, summon up your courage and jump with all your might. response:	What's the matter? Son Gohan!
context: You come with me too, Mister!\That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going!\There, it's settled down. Go now, while you can!\Don't cause me any more trouble!\Right...\Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan! response:	Jump! Jump, I say!
context: That's all right. I will turn out okay. I'm a superior 3-S type, after all.\Hurry and get going!\There, it's settled down. Go now, while you can!\Don't cause me any more trouble!\Right...\Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan!\Jump! Jump, I say! response:	All right!
context: Hurry and get going!\There, it's settled down. Go now, while you can!\Don't cause me any more trouble!\Right...\Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan!\Jump! Jump, I say!\All right! response:	I have to turn off your switch!
context: There, it's settled down. Go now, while you can!\Don't cause me any more trouble!\Right...\Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan!\Jump! Jump, I say!\All right!\I have to turn off your switch! response:	You fool! Don't come back!
context: Don't cause me any more trouble!\Right...\Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan!\Jump! Jump, I say!\All right!\I have to turn off your switch!\You fool! Don't come back! response:	Mister!
context: Right...\Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan!\Jump! Jump, I say!\All right!\I have to turn off your switch!\You fool! Don't come back!\Mister! response:	Son Gohan...
context: Now, summon up your courage and jump with all your might.\What's the matter? Son Gohan!\Jump! Jump, I say!\All right!\I have to turn off your switch!\You fool! Don't come back!\Mister!\Son Gohan... response:	It appears you're okay, right?
context: What's the matter? Son Gohan!\Jump! Jump, I say!\All right!\I have to turn off your switch!\You fool! Don't come back!\Mister!\Son Gohan...\It appears you're okay, right? response:	The exit has been blocked.
context: Jump! Jump, I say!\All right!\I have to turn off your switch!\You fool! Don't come back!\Mister!\Son Gohan...\It appears you're okay, right?\The exit has been blocked. response:	Son Gohan... listen to me...
context: All right!\I have to turn off your switch!\You fool! Don't come back!\Mister!\Son Gohan...\It appears you're okay, right?\The exit has been blocked.\Son Gohan... listen to me... response:	Open up my head and connect the blue wire to the red wire.
context: I have to turn off your switch!\You fool! Don't come back!\Mister!\Son Gohan...\It appears you're okay, right?\The exit has been blocked.\Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire. response:	-Do it quickly. -Right.
context: You fool! Don't come back!\Mister!\Son Gohan...\It appears you're okay, right?\The exit has been blocked.\Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right. response:	If you don't hurry, the ceiling is going to come down!
context: Mister!\Son Gohan...\It appears you're okay, right?\The exit has been blocked.\Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down! response:	Dammit, my energy is beginning to leak out...
context: Son Gohan...\It appears you're okay, right?\The exit has been blocked.\Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out... response:	I've connected them!
context: It appears you're okay, right?\The exit has been blocked.\Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out...\I've connected them! response:	Damn it all!
context: The exit has been blocked.\Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out...\I've connected them!\Damn it all! response:	Mister!
context: Son Gohan... listen to me...\Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out...\I've connected them!\Damn it all!\Mister! response:	Power at full! Now, Son Gohan!
context: Open up my head and connect the blue wire to the red wire.\-Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out...\I've connected them!\Damn it all!\Mister!\Power at full! Now, Son Gohan! response:	Mister!
context: -Do it quickly. -Right.\If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out...\I've connected them!\Damn it all!\Mister!\Power at full! Now, Son Gohan!\Mister! response:	Take care of yourself.
context: If you don't hurry, the ceiling is going to come down!\Dammit, my energy is beginning to leak out...\I've connected them!\Damn it all!\Mister!\Power at full! Now, Son Gohan!\Mister!\Take care of yourself. response:	Mister!!
context: Dammit, my energy is beginning to leak out...\I've connected them!\Damn it all!\Mister!\Power at full! Now, Son Gohan!\Mister!\Take care of yourself.\Mister!! response:	Mister!
context: I've connected them!\Damn it all!\Mister!\Power at full! Now, Son Gohan!\Mister!\Take care of yourself.\Mister!!\Mister! response:	Mister...
context: Damn it all!\Mister!\Power at full! Now, Son Gohan!\Mister!\Take care of yourself.\Mister!!\Mister!\Mister... response:	This is all my fault!
context: Mister!\Power at full! Now, Son Gohan!\Mister!\Take care of yourself.\Mister!!\Mister!\Mister...\This is all my fault! response:	Son... Gohan...
context: Power at full! Now, Son Gohan!\Mister!\Take care of yourself.\Mister!!\Mister!\Mister...\This is all my fault!\Son... Gohan... response:	Thank goodness! You're still alive!
context: Mister!\Take care of yourself.\Mister!!\Mister!\Mister...\This is all my fault!\Son... Gohan...\Thank goodness! You're still alive! response:	More or less. But it appears that my energy is all used up.
context: Take care of yourself.\Mister!!\Mister!\Mister...\This is all my fault!\Son... Gohan...\Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up. response:	Never mind about that, hurry up and go on.
context: Mister!!\Mister!\Mister...\This is all my fault!\Son... Gohan...\Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on. response:	Mister!
context: Mister!\Mister...\This is all my fault!\Son... Gohan...\Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on.\Mister! response:	Don't cry, even when you're all alone.
context: Mister...\This is all my fault!\Son... Gohan...\Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on.\Mister!\Don't cry, even when you're all alone. response:	You can't rely on anyone else around here if you're going to survive.
context: This is all my fault!\Son... Gohan...\Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on.\Mister!\Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive. response:	No!
context: Son... Gohan...\Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on.\Mister!\Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive.\No! response:	Hush, would you? I can't take any more. Be... quiet...
context: Thank goodness! You're still alive!\More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on.\Mister!\Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive.\No!\Hush, would you? I can't take any more. Be... quiet... response:	Mister?
context: More or less. But it appears that my energy is all used up.\Never mind about that, hurry up and go on.\Mister!\Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive.\No!\Hush, would you? I can't take any more. Be... quiet...\Mister? response:	Mister!
context: Never mind about that, hurry up and go on.\Mister!\Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive.\No!\Hush, would you? I can't take any more. Be... quiet...\Mister?\Mister! response:	Wake up! Mister! Mister, wake up!
context: Mister!\Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive.\No!\Hush, would you? I can't take any more. Be... quiet...\Mister?\Mister!\Wake up! Mister! Mister, wake up! response:	Mister!!
context: Don't cry, even when you're all alone.\You can't rely on anyone else around here if you're going to survive.\No!\Hush, would you? I can't take any more. Be... quiet...\Mister?\Mister!\Wake up! Mister! Mister, wake up!\Mister!! response:	Goku and Gohan - what sort of adventures await them next?
context: You can't rely on anyone else around here if you're going to survive.\No!\Hush, would you? I can't take any more. Be... quiet...\Mister?\Mister!\Wake up! Mister! Mister, wake up!\Mister!!\Goku and Gohan - what sort of adventures await them next? response:	The Saiyans are closing in with every passing moment!
