context: Birth of the Mightiest Warrior? Nail and Piccolo Merge response:	There are no readings for the Ginyu Toksentai.
context: He's right...\If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm?\Transform yourself, Freeza!\Transform?\Transform? response:	He can transform?
context: If the three of us fight together, there's a definite chance of us making it through.\He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm?\Transform yourself, Freeza!\Transform?\Transform?\He can transform? response:	Let's get right to it. Why don't you transform and show us your true self?
context: He's certainly very powerful, but our power has risen too.\That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm?\Transform yourself, Freeza!\Transform?\Transform?\He can transform?\Let's get right to it. Why don't you transform and show us your true self? response:	So, you knew about that, did you? How did you come to find out?
context: That's right, ever since Vegeta has come here, he's managed to keep overcoming his limits and grow stronger.\So, why is Freeza still so calm?\Transform yourself, Freeza!\Transform?\Transform?\He can transform?\Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out? response:	That punk Zarbon let it slip.
context: So, why is Freeza still so calm?\Transform yourself, Freeza!\Transform?\Transform?\He can transform?\Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip. response:	What are you talking about?
context: Transform yourself, Freeza!\Transform?\Transform?\He can transform?\Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip.\What are you talking about? response:	Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-
context: Transform?\Transform?\He can transform?\Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip.\What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed- response:	- Whether for camouflage, or to conserve energy consumption when it's unnecessary.
context: Transform?\He can transform?\Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip.\What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary. response:	In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.
context: He can transform?\Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip.\What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise. response:	What was that?
context: Let's get right to it. Why don't you transform and show us your true self?\So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip.\What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that? response:	Don't let him scare you. He's bluffing, he won't change all that much.
context: So, you knew about that, did you? How did you come to find out?\That punk Zarbon let it slip.\What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that?\Don't let him scare you. He's bluffing, he won't change all that much. response:	Is that so?
context: That punk Zarbon let it slip.\What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that?\Don't let him scare you. He's bluffing, he won't change all that much.\Is that so? response:	Fine, then. If you want to die that badly, I'll show you.
context: What are you talking about?\Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that?\Don't let him scare you. He's bluffing, he won't change all that much.\Is that so?\Fine, then. If you want to die that badly, I'll show you. response:	Watch very carefully. This is not something you'll see every day.
context: Among the universe's races, there is a very small number that have the odd ability of changing their forms when needed-\- Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that?\Don't let him scare you. He's bluffing, he won't change all that much.\Is that so?\Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day. response:	When I attacked the planet Vegeta, home to the Saiyajins,
context: - Whether for camouflage, or to conserve energy consumption when it's unnecessary.\In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that?\Don't let him scare you. He's bluffing, he won't change all that much.\Is that so?\Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins, response:	you realize there was utterly no reason for me to transform.
context: In my case, the reason is different. I have so much power, it's difficult for me to control it otherwise.\What was that?\Don't let him scare you. He's bluffing, he won't change all that much.\Is that so?\Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform. response:	Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know.
context: What was that?\Don't let him scare you. He's bluffing, he won't change all that much.\Is that so?\Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform.\Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know. response:	Don't flatter yourself too much about that.
context: Don't let him scare you. He's bluffing, he won't change all that much.\Is that so?\Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform.\Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know.\Don't flatter yourself too much about that. response:	I had overcome the king's power way back when I was still little.
context: Is that so?\Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform.\Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know.\Don't flatter yourself too much about that.\I had overcome the king's power way back when I was still little. response:	Then the Saiyajin's planet was destroyed by him?
context: Fine, then. If you want to die that badly, I'll show you.\Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform.\Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know.\Don't flatter yourself too much about that.\I had overcome the king's power way back when I was still little.\Then the Saiyajin's planet was destroyed by him? response:	Now then, marvel at this!
context: Watch very carefully. This is not something you'll see every day.\When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform.\Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know.\Don't flatter yourself too much about that.\I had overcome the king's power way back when I was still little.\Then the Saiyajin's planet was destroyed by him?\Now then, marvel at this! response:	At last, Freeza begins to change. However, how much terror will this account for?
context: When I attacked the planet Vegeta, home to the Saiyajins,\you realize there was utterly no reason for me to transform.\Vegeta-san, your father, the king of Planet Vegeta, was none too spectacular a warrior, you know.\Don't flatter yourself too much about that.\I had overcome the king's power way back when I was still little.\Then the Saiyajin's planet was destroyed by him?\Now then, marvel at this!\At last, Freeza begins to change. However, how much terror will this account for? response:	And will Piccolo and Goku arrive in time for this terrific battle?
