context: Norman's getting shipped? response:	Yes. It's been decided that it'll be tomorrow.
context: That's a great idea. All right, let's get cracking.\Right?\But wouldn't my arm be enough?\Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold.\The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right? response:	Yeah.
context: Right?\But wouldn't my arm be enough?\Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold.\The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah. response:	We can discuss escape plans through string telephones or something.
context: But wouldn't my arm be enough?\Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold.\The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah.\We can discuss escape plans through string telephones or something. response:	That's good. We won't have to worry about Mom hearing us.
context: Oh yeah. Then let's break your arm.\No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold.\The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah.\We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us. response:	But...
context: No, wait. It's not guaranteed that you won't get shipped out if you get hurt.\Then catch a horrible cold.\The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah.\We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us.\But... response:	If that doesn't work, we'll think of something else. I'll do anything.
context: Then catch a horrible cold.\The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah.\We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us.\But...\If that doesn't work, we'll think of something else. I'll do anything. response:	Why?
context: The demons won't eat me if I'm sick, right?\Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah.\We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us.\But...\If that doesn't work, we'll think of something else. I'll do anything.\Why? response:	You're crazy for doing this.
context: Breaking your arm is super painful and it'll be exhausting to be sick, but you'll be fine, right?\Yeah.\We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us.\But...\If that doesn't work, we'll think of something else. I'll do anything.\Why?\You're crazy for doing this. response:	It's way better than having you die, Norman.
context: Yeah.\We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us.\But...\If that doesn't work, we'll think of something else. I'll do anything.\Why?\You're crazy for doing this.\It's way better than having you die, Norman. response:	Do you remember what you said?
context: We can discuss escape plans through string telephones or something.\That's good. We won't have to worry about Mom hearing us.\But...\If that doesn't work, we'll think of something else. I'll do anything.\Why?\You're crazy for doing this.\It's way better than having you die, Norman.\Do you remember what you said? response:	We'll all escape together, with everyone.
context: That's good. We won't have to worry about Mom hearing us.\But...\If that doesn't work, we'll think of something else. I'll do anything.\Why?\You're crazy for doing this.\It's way better than having you die, Norman.\Do you remember what you said?\We'll all escape together, with everyone. response:	If you're not part of this, I won't accept it!
context: But...\If that doesn't work, we'll think of something else. I'll do anything.\Why?\You're crazy for doing this.\It's way better than having you die, Norman.\Do you remember what you said?\We'll all escape together, with everyone.\If you're not part of this, I won't accept it! response:	Let's keep living, together. Okay, Norman?
context: If that doesn't work, we'll think of something else. I'll do anything.\Why?\You're crazy for doing this.\It's way better than having you die, Norman.\Do you remember what you said?\We'll all escape together, with everyone.\If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman? response:	Yeah.
context: Why?\You're crazy for doing this.\It's way better than having you die, Norman.\Do you remember what you said?\We'll all escape together, with everyone.\If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman?\Yeah. response:	Norman.
context: You're crazy for doing this.\It's way better than having you die, Norman.\Do you remember what you said?\We'll all escape together, with everyone.\If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman?\Yeah.\Norman. response:	Use this to disable your tracking device tomorrow, and then go hide in the forest.
context: It's way better than having you die, Norman.\Do you remember what you said?\We'll all escape together, with everyone.\If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman?\Yeah.\Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest. response:	And then climb the wall...
context: Do you remember what you said?\We'll all escape together, with everyone.\If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman?\Yeah.\Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall... response:	Don and Gilda are making new rope right now.
context: We'll all escape together, with everyone.\If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman?\Yeah.\Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall...\Don and Gilda are making new rope right now. response:	They're using spare sheets stolen from the linen room.
context: If you're not part of this, I won't accept it!\Let's keep living, together. Okay, Norman?\Yeah.\Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall...\Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room. response:	So it's complete.
context: Let's keep living, together. Okay, Norman?\Yeah.\Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall...\Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room.\So it's complete. response:	Press it against your left ear and push the button.
context: Yeah.\Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall...\Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room.\So it's complete.\Press it against your left ear and push the button. response:	That'll disable the tracking device.
context: Norman.\Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall...\Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room.\So it's complete.\Press it against your left ear and push the button.\That'll disable the tracking device. response:	With this method, it won't notify Mom.
context: Use this to disable your tracking device tomorrow, and then go hide in the forest.\And then climb the wall...\Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room.\So it's complete.\Press it against your left ear and push the button.\That'll disable the tracking device.\With this method, it won't notify Mom. response:	Did you make that from camera parts?
context: And then climb the wall...\Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room.\So it's complete.\Press it against your left ear and push the button.\That'll disable the tracking device.\With this method, it won't notify Mom.\Did you make that from camera parts? response:	Not just the camera. I used parts from all the other rewards I got beforehand.
context: Don and Gilda are making new rope right now.\They're using spare sheets stolen from the linen room.\So it's complete.\Press it against your left ear and push the button.\That'll disable the tracking device.\With this method, it won't notify Mom.\Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand. response:	I just wanted the strobe light from the camera.
context: They're using spare sheets stolen from the linen room.\So it's complete.\Press it against your left ear and push the button.\That'll disable the tracking device.\With this method, it won't notify Mom.\Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera. response:	You spent six years getting parts from different items so Mom wouldn't figure it out.
context: So it's complete.\Press it against your left ear and push the button.\That'll disable the tracking device.\With this method, it won't notify Mom.\Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out. response:	Amazing.
context: Press it against your left ear and push the button.\That'll disable the tracking device.\With this method, it won't notify Mom.\Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing. response:	It's not amazing or anything.
context: That'll disable the tracking device.\With this method, it won't notify Mom.\Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing.\It's not amazing or anything. response:	After I realized the secret of the House, I had to do it.
context: With this method, it won't notify Mom.\Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing.\It's not amazing or anything.\After I realized the secret of the House, I had to do it. response:	That's all.
context: Did you make that from camera parts?\Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing.\It's not amazing or anything.\After I realized the secret of the House, I had to do it.\That's all. response:	Ray.
context: Not just the camera. I used parts from all the other rewards I got beforehand.\I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing.\It's not amazing or anything.\After I realized the secret of the House, I had to do it.\That's all.\Ray. response:	How did you find out about the House's secret?
context: I just wanted the strobe light from the camera.\You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing.\It's not amazing or anything.\After I realized the secret of the House, I had to do it.\That's all.\Ray.\How did you find out about the House's secret? response:	I asked you about it before, too.
context: You spent six years getting parts from different items so Mom wouldn't figure it out.\Amazing.\It's not amazing or anything.\After I realized the secret of the House, I had to do it.\That's all.\Ray.\How did you find out about the House's secret?\I asked you about it before, too. response:	Because normally, no one would find out.
context: Amazing.\It's not amazing or anything.\After I realized the secret of the House, I had to do it.\That's all.\Ray.\How did you find out about the House's secret?\I asked you about it before, too.\Because normally, no one would find out. response:	From the beginning.
context: It's not amazing or anything.\After I realized the secret of the House, I had to do it.\That's all.\Ray.\How did you find out about the House's secret?\I asked you about it before, too.\Because normally, no one would find out.\From the beginning. response:	I knew from the beginning.
context: After I realized the secret of the House, I had to do it.\That's all.\Ray.\How did you find out about the House's secret?\I asked you about it before, too.\Because normally, no one would find out.\From the beginning.\I knew from the beginning. response:	Do you know what infantile amnesia is?
context: That's all.\Ray.\How did you find out about the House's secret?\I asked you about it before, too.\Because normally, no one would find out.\From the beginning.\I knew from the beginning.\Do you know what infantile amnesia is? response:	What's that?
context: Ray.\How did you find out about the House's secret?\I asked you about it before, too.\Because normally, no one would find out.\From the beginning.\I knew from the beginning.\Do you know what infantile amnesia is?\What's that? response:	Without being aware, people forget their memories from when they were a baby.
context: How did you find out about the House's secret?\I asked you about it before, too.\Because normally, no one would find out.\From the beginning.\I knew from the beginning.\Do you know what infantile amnesia is?\What's that?\Without being aware, people forget their memories from when they were a baby. response:	That's infantile amnesia.
context: I asked you about it before, too.\Because normally, no one would find out.\From the beginning.\I knew from the beginning.\Do you know what infantile amnesia is?\What's that?\Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia. response:	In rare cases, it doesn't happen to some people.
context: Because normally, no one would find out.\From the beginning.\I knew from the beginning.\Do you know what infantile amnesia is?\What's that?\Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia.\In rare cases, it doesn't happen to some people. response:	Ray, do you mean...
context: From the beginning.\I knew from the beginning.\Do you know what infantile amnesia is?\What's that?\Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia.\In rare cases, it doesn't happen to some people.\Ray, do you mean... response:	I have memories from when I was a fetus.
context: I knew from the beginning.\Do you know what infantile amnesia is?\What's that?\Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia.\In rare cases, it doesn't happen to some people.\Ray, do you mean...\I have memories from when I was a fetus. response:	There were inconsistencies between my own memories and my life at this House.
context: Do you know what infantile amnesia is?\What's that?\Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia.\In rare cases, it doesn't happen to some people.\Ray, do you mean...\I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House. response:	That's how I found out.
context: What's that?\Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia.\In rare cases, it doesn't happen to some people.\Ray, do you mean...\I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House.\That's how I found out. response:	My first memory is being inside a dark, warm liquid.
context: Without being aware, people forget their memories from when they were a baby.\That's infantile amnesia.\In rare cases, it doesn't happen to some people.\Ray, do you mean...\I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House.\That's how I found out.\My first memory is being inside a dark, warm liquid. response:	A lullaby I could hear from a distance.
context: That's infantile amnesia.\In rare cases, it doesn't happen to some people.\Ray, do you mean...\I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House.\That's how I found out.\My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance. response:	How much do you remember?
context: In rare cases, it doesn't happen to some people.\Ray, do you mean...\I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House.\That's how I found out.\My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance.\How much do you remember? response:	It's in fragments, but highly detailed.
context: Ray, do you mean...\I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House.\That's how I found out.\My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance.\How much do you remember?\It's in fragments, but highly detailed. response:	I remember how the demons looked, and that there were other babies.
context: I have memories from when I was a fetus.\There were inconsistencies between my own memories and my life at this House.\That's how I found out.\My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance.\How much do you remember?\It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies. response:	The tracking devices were implanted, and we were divided into groups of five.
context: There were inconsistencies between my own memories and my life at this House.\That's how I found out.\My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance.\How much do you remember?\It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five. response:	Groups of five...
context: That's how I found out.\My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance.\How much do you remember?\It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five.\Groups of five... response:	After that, I passed through a dark tunnel and arrived here.
context: My first memory is being inside a dark, warm liquid.\A lullaby I could hear from a distance.\How much do you remember?\It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five.\Groups of five...\After that, I passed through a dark tunnel and arrived here. response:	The tunnel being the gate?
context: A lullaby I could hear from a distance.\How much do you remember?\It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five.\Groups of five...\After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate? response:	Yeah.
context: How much do you remember?\It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five.\Groups of five...\After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate?\Yeah. response:	Wait. So past the gate isn't the outside, but...
context: It's in fragments, but highly detailed.\I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five.\Groups of five...\After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate?\Yeah.\Wait. So past the gate isn't the outside, but... response:	Headquarters.
context: I remember how the demons looked, and that there were other babies.\The tracking devices were implanted, and we were divided into groups of five.\Groups of five...\After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate?\Yeah.\Wait. So past the gate isn't the outside, but...\Headquarters. response:	The headquarters and the adjacent five plants.
context: The tracking devices were implanted, and we were divided into groups of five.\Groups of five...\After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate?\Yeah.\Wait. So past the gate isn't the outside, but...\Headquarters.\The headquarters and the adjacent five plants. response:	That's what makes this House.
context: Groups of five...\After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate?\Yeah.\Wait. So past the gate isn't the outside, but...\Headquarters.\The headquarters and the adjacent five plants.\That's what makes this House. response:	So what Sister said was true, after all.
context: After that, I passed through a dark tunnel and arrived here.\The tunnel being the gate?\Yeah.\Wait. So past the gate isn't the outside, but...\Headquarters.\The headquarters and the adjacent five plants.\That's what makes this House.\So what Sister said was true, after all. response:	The gate won't serve as an escape route.
context: The tunnel being the gate?\Yeah.\Wait. So past the gate isn't the outside, but...\Headquarters.\The headquarters and the adjacent five plants.\That's what makes this House.\So what Sister said was true, after all.\The gate won't serve as an escape route. response:	Beyond that is not just a few guards out there. It's swarming with demons and adults.
context: Yeah.\Wait. So past the gate isn't the outside, but...\Headquarters.\The headquarters and the adjacent five plants.\That's what makes this House.\So what Sister said was true, after all.\The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults. response:	Isn't that bad?
context: Wait. So past the gate isn't the outside, but...\Headquarters.\The headquarters and the adjacent five plants.\That's what makes this House.\So what Sister said was true, after all.\The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad? response:	No. That's why the security towards us is light.
context: Headquarters.\The headquarters and the adjacent five plants.\That's what makes this House.\So what Sister said was true, after all.\The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad?\No. That's why the security towards us is light. response:	They'll only focus on the gate and won't increase security.
context: The headquarters and the adjacent five plants.\That's what makes this House.\So what Sister said was true, after all.\The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad?\No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security. response:	Once Emma's leg is healed, we'll escape.
context: That's what makes this House.\So what Sister said was true, after all.\The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad?\No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape. response:	I see.
context: So what Sister said was true, after all.\The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad?\No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape.\I see. response:	There's no need to be afraid.
context: The gate won't serve as an escape route.\Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad?\No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape.\I see.\There's no need to be afraid. response:	Tomorrow, you'll disappear.
context: Beyond that is not just a few guards out there. It's swarming with demons and adults.\Isn't that bad?\No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape.\I see.\There's no need to be afraid.\Tomorrow, you'll disappear. response:	Got it.
context: Isn't that bad?\No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape.\I see.\There's no need to be afraid.\Tomorrow, you'll disappear.\Got it. response:	Listen up, everyone. I have good news.
context: No. That's why the security towards us is light.\They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape.\I see.\There's no need to be afraid.\Tomorrow, you'll disappear.\Got it.\Listen up, everyone. I have good news. response:	A foster family has been decided for Norman.
context: They'll only focus on the gate and won't increase security.\Once Emma's leg is healed, we'll escape.\I see.\There's no need to be afraid.\Tomorrow, you'll disappear.\Got it.\Listen up, everyone. I have good news.\A foster family has been decided for Norman. response:	I know this is sudden, but he's leaving tomorrow night.
context: Once Emma's leg is healed, we'll escape.\I see.\There's no need to be afraid.\Tomorrow, you'll disappear.\Got it.\Listen up, everyone. I have good news.\A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night. response:	Tomorrow?
context: I see.\There's no need to be afraid.\Tomorrow, you'll disappear.\Got it.\Listen up, everyone. I have good news.\A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night.\Tomorrow? response:	Congratulations!
context: There's no need to be afraid.\Tomorrow, you'll disappear.\Got it.\Listen up, everyone. I have good news.\A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night.\Tomorrow?\Congratulations! response:	Congratulations, Norman!
context: Tomorrow, you'll disappear.\Got it.\Listen up, everyone. I have good news.\A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night.\Tomorrow?\Congratulations!\Congratulations, Norman! response:	Is this goodbye?
context: Got it.\Listen up, everyone. I have good news.\A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night.\Tomorrow?\Congratulations!\Congratulations, Norman!\Is this goodbye? response:	This suddenly?
context: Listen up, everyone. I have good news.\A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night.\Tomorrow?\Congratulations!\Congratulations, Norman!\Is this goodbye?\This suddenly? response:	We're going to miss him, huh?
context: A foster family has been decided for Norman.\I know this is sudden, but he's leaving tomorrow night.\Tomorrow?\Congratulations!\Congratulations, Norman!\Is this goodbye?\This suddenly?\We're going to miss him, huh? response:	Congratulations!
context: I know this is sudden, but he's leaving tomorrow night.\Tomorrow?\Congratulations!\Congratulations, Norman!\Is this goodbye?\This suddenly?\We're going to miss him, huh?\Congratulations! response:	Congwats!
context: Tomorrow?\Congratulations!\Congratulations, Norman!\Is this goodbye?\This suddenly?\We're going to miss him, huh?\Congratulations!\Congwats! response:	Let's play a lot tomorrow!
context: Congratulations!\Congratulations, Norman!\Is this goodbye?\This suddenly?\We're going to miss him, huh?\Congratulations!\Congwats!\Let's play a lot tomorrow! response:	- We'll miss you. - Congratulations.
context: Congratulations, Norman!\Is this goodbye?\This suddenly?\We're going to miss him, huh?\Congratulations!\Congwats!\Let's play a lot tomorrow!\- We'll miss you. - Congratulations. response:	- Congratulations. - Congratulations!
context: Is this goodbye?\This suddenly?\We're going to miss him, huh?\Congratulations!\Congwats!\Let's play a lot tomorrow!\- We'll miss you. - Congratulations.\- Congratulations. - Congratulations! response:	- Congratulations, Norman! - Please don't go.
context: This suddenly?\We're going to miss him, huh?\Congratulations!\Congwats!\Let's play a lot tomorrow!\- We'll miss you. - Congratulations.\- Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go. response:	Congratulations...
context: We're going to miss him, huh?\Congratulations!\Congwats!\Let's play a lot tomorrow!\- We'll miss you. - Congratulations.\- Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go.\Congratulations... response:	Norman... congratulations!
context: Congratulations!\Congwats!\Let's play a lot tomorrow!\- We'll miss you. - Congratulations.\- Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go.\Congratulations...\Norman... congratulations! response:	Thanks, everyone.
context: Congwats!\Let's play a lot tomorrow!\- We'll miss you. - Congratulations.\- Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go.\Congratulations...\Norman... congratulations!\Thanks, everyone. response:	Please write us letters.
context: Let's play a lot tomorrow!\- We'll miss you. - Congratulations.\- Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go.\Congratulations...\Norman... congratulations!\Thanks, everyone.\Please write us letters. response:	It's kind of sad though.
context: - We'll miss you. - Congratulations.\- Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go.\Congratulations...\Norman... congratulations!\Thanks, everyone.\Please write us letters.\It's kind of sad though. response:	She's still crying.
context: - Congratulations. - Congratulations!\- Congratulations, Norman! - Please don't go.\Congratulations...\Norman... congratulations!\Thanks, everyone.\Please write us letters.\It's kind of sad though.\She's still crying. response:	Okay, let's eat dinner.
context: - Congratulations, Norman! - Please don't go.\Congratulations...\Norman... congratulations!\Thanks, everyone.\Please write us letters.\It's kind of sad though.\She's still crying.\Okay, let's eat dinner. response:	Ba-baam!
context: Congratulations...\Norman... congratulations!\Thanks, everyone.\Please write us letters.\It's kind of sad though.\She's still crying.\Okay, let's eat dinner.\Ba-baam! response:	Ba-ba-baam!
context: Norman... congratulations!\Thanks, everyone.\Please write us letters.\It's kind of sad though.\She's still crying.\Okay, let's eat dinner.\Ba-baam!\Ba-ba-baam! response:	- That felt good. - Hey, Mom.
context: Thanks, everyone.\Please write us letters.\It's kind of sad though.\She's still crying.\Okay, let's eat dinner.\Ba-baam!\Ba-ba-baam!\- That felt good. - Hey, Mom. response:	What's this?
context: Please write us letters.\It's kind of sad though.\She's still crying.\Okay, let's eat dinner.\Ba-baam!\Ba-ba-baam!\- That felt good. - Hey, Mom.\What's this? response:	Don't worry.
context: It's kind of sad though.\She's still crying.\Okay, let's eat dinner.\Ba-baam!\Ba-ba-baam!\- That felt good. - Hey, Mom.\What's this?\Don't worry. response:	It'll go as planned.
context: She's still crying.\Okay, let's eat dinner.\Ba-baam!\Ba-ba-baam!\- That felt good. - Hey, Mom.\What's this?\Don't worry.\It'll go as planned. response:	Norman.
context: Okay, let's eat dinner.\Ba-baam!\Ba-ba-baam!\- That felt good. - Hey, Mom.\What's this?\Don't worry.\It'll go as planned.\Norman. response:	Phew, I'm tired.
context: Ba-baam!\Ba-ba-baam!\- That felt good. - Hey, Mom.\What's this?\Don't worry.\It'll go as planned.\Norman.\Phew, I'm tired. response:	That was fun.
context: Ba-ba-baam!\- That felt good. - Hey, Mom.\What's this?\Don't worry.\It'll go as planned.\Norman.\Phew, I'm tired.\That was fun. response:	Where's Norman?
context: - That felt good. - Hey, Mom.\What's this?\Don't worry.\It'll go as planned.\Norman.\Phew, I'm tired.\That was fun.\Where's Norman? response:	Norman.
context: What's this?\Don't worry.\It'll go as planned.\Norman.\Phew, I'm tired.\That was fun.\Where's Norman?\Norman. response:	Why?
context: Don't worry.\It'll go as planned.\Norman.\Phew, I'm tired.\That was fun.\Where's Norman?\Norman.\Why? response:	You bastard, what the hell?
context: It'll go as planned.\Norman.\Phew, I'm tired.\That was fun.\Where's Norman?\Norman.\Why?\You bastard, what the hell? response:	You can still run away!
context: Norman.\Phew, I'm tired.\That was fun.\Where's Norman?\Norman.\Why?\You bastard, what the hell?\You can still run away! response:	No.
context: Phew, I'm tired.\That was fun.\Where's Norman?\Norman.\Why?\You bastard, what the hell?\You can still run away!\No. response:	I have no intention of running away.
context: That was fun.\Where's Norman?\Norman.\Why?\You bastard, what the hell?\You can still run away!\No.\I have no intention of running away. response:	Anyway, I want you to listen.
context: Where's Norman?\Norman.\Why?\You bastard, what the hell?\You can still run away!\No.\I have no intention of running away.\Anyway, I want you to listen. response:	It was a cliff.
context: Norman.\Why?\You bastard, what the hell?\You can still run away!\No.\I have no intention of running away.\Anyway, I want you to listen.\It was a cliff. response:	Past the wall...
