context: Flowers that bloom in the darkness can only be at ease in the darkness response:	Flowers that bloom in the darkness
context: and he agreed to make a special exception.\Come back, Kyouka.\You are a flower born of darkness.\You will only be at ease in the darkness.\No.\I am not a flower of darkness.\She has been blinded by the light.\It is a light you showed her. response:	But fortunately, all is not lost.
context: Come back, Kyouka.\You are a flower born of darkness.\You will only be at ease in the darkness.\No.\I am not a flower of darkness.\She has been blinded by the light.\It is a light you showed her.\But fortunately, all is not lost. response:	I doubt you would want to stay if the Agency no longer has him,
context: You are a flower born of darkness.\You will only be at ease in the darkness.\No.\I am not a flower of darkness.\She has been blinded by the light.\It is a light you showed her.\But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him, response:	even more so if he is killed because of you.
context: You will only be at ease in the darkness.\No.\I am not a flower of darkness.\She has been blinded by the light.\It is a light you showed her.\But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you. response:	Okay!
context: No.\I am not a flower of darkness.\She has been blinded by the light.\It is a light you showed her.\But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you.\Okay! response:	I'll come back. So please.
context: I am not a flower of darkness.\She has been blinded by the light.\It is a light you showed her.\But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you.\Okay!\I'll come back. So please. response:	Everything is for you, Kyouka.
context: She has been blinded by the light.\It is a light you showed her.\But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you.\Okay!\I'll come back. So please.\Everything is for you, Kyouka. response:	You'll understand someday.
context: It is a light you showed her.\But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you.\Okay!\I'll come back. So please.\Everything is for you, Kyouka.\You'll understand someday. response:	How precious you are.
context: But fortunately, all is not lost.\I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you.\Okay!\I'll come back. So please.\Everything is for you, Kyouka.\You'll understand someday.\How precious you are. response:	Well done, Kyouka.
context: I doubt you would want to stay if the Agency no longer has him,\even more so if he is killed because of you.\Okay!\I'll come back. So please.\Everything is for you, Kyouka.\You'll understand someday.\How precious you are.\Well done, Kyouka. response:	I did not sense anything from you.
context: even more so if he is killed because of you.\Okay!\I'll come back. So please.\Everything is for you, Kyouka.\You'll understand someday.\How precious you are.\Well done, Kyouka.\I did not sense anything from you. response:	I saw a bright world.
context: Okay!\I'll come back. So please.\Everything is for you, Kyouka.\You'll understand someday.\How precious you are.\Well done, Kyouka.\I did not sense anything from you.\I saw a bright world. response:	I cannot go back to a time when I did not know such a thing existed.
context: I'll come back. So please.\Everything is for you, Kyouka.\You'll understand someday.\How precious you are.\Well done, Kyouka.\I did not sense anything from you.\I saw a bright world.\I cannot go back to a time when I did not know such a thing existed. response:	Don't use it, Kyouka.
context: Everything is for you, Kyouka.\You'll understand someday.\How precious you are.\Well done, Kyouka.\I did not sense anything from you.\I saw a bright world.\I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka. response:	If you use it, you will...
context: You'll understand someday.\How precious you are.\Well done, Kyouka.\I did not sense anything from you.\I saw a bright world.\I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka.\If you use it, you will... response:	Demon Snow, defeat my enemy!
context: How precious you are.\Well done, Kyouka.\I did not sense anything from you.\I saw a bright world.\I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka.\If you use it, you will...\Demon Snow, defeat my enemy! response:	My Rocinante...
context: Well done, Kyouka.\I did not sense anything from you.\I saw a bright world.\I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka.\If you use it, you will...\Demon Snow, defeat my enemy!\My Rocinante... response:	The roads in this country are too narrow.
context: I did not sense anything from you.\I saw a bright world.\I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka.\If you use it, you will...\Demon Snow, defeat my enemy!\My Rocinante...\The roads in this country are too narrow. response:	We'll just have to walk to our destination.
context: I saw a bright world.\I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka.\If you use it, you will...\Demon Snow, defeat my enemy!\My Rocinante...\The roads in this country are too narrow.\We'll just have to walk to our destination. response:	I really want to finish this so we can go back.
context: I cannot go back to a time when I did not know such a thing existed.\Don't use it, Kyouka.\If you use it, you will...\Demon Snow, defeat my enemy!\My Rocinante...\The roads in this country are too narrow.\We'll just have to walk to our destination.\I really want to finish this so we can go back. response:	It's been four years since I was last outside.
context: Don't use it, Kyouka.\If you use it, you will...\Demon Snow, defeat my enemy!\My Rocinante...\The roads in this country are too narrow.\We'll just have to walk to our destination.\I really want to finish this so we can go back.\It's been four years since I was last outside. response:	Oh, well!
context: If you use it, you will...\Demon Snow, defeat my enemy!\My Rocinante...\The roads in this country are too narrow.\We'll just have to walk to our destination.\I really want to finish this so we can go back.\It's been four years since I was last outside.\Oh, well! response:	Let's go.
context: Demon Snow, defeat my enemy!\My Rocinante...\The roads in this country are too narrow.\We'll just have to walk to our destination.\I really want to finish this so we can go back.\It's been four years since I was last outside.\Oh, well!\Let's go. response:	Our luggage is about to arrive.
context: My Rocinante...\The roads in this country are too narrow.\We'll just have to walk to our destination.\I really want to finish this so we can go back.\It's been four years since I was last outside.\Oh, well!\Let's go.\Our luggage is about to arrive. response:	This blade is your true nature.
context: The roads in this country are too narrow.\We'll just have to walk to our destination.\I really want to finish this so we can go back.\It's been four years since I was last outside.\Oh, well!\Let's go.\Our luggage is about to arrive.\This blade is your true nature. response:	You kill anyone as soon as you believe they are in your way.
context: We'll just have to walk to our destination.\I really want to finish this so we can go back.\It's been four years since I was last outside.\Oh, well!\Let's go.\Our luggage is about to arrive.\This blade is your true nature.\You kill anyone as soon as you believe they are in your way. response:	You are like a demon, yourself.
context: I really want to finish this so we can go back.\It's been four years since I was last outside.\Oh, well!\Let's go.\Our luggage is about to arrive.\This blade is your true nature.\You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself. response:	No!
context: It's been four years since I was last outside.\Oh, well!\Let's go.\Our luggage is about to arrive.\This blade is your true nature.\You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself.\No! response:	I can understand why you think that.
context: Oh, well!\Let's go.\Our luggage is about to arrive.\This blade is your true nature.\You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself.\No!\I can understand why you think that. response:	But a flower that has bloomed in the darkness
context: Let's go.\Our luggage is about to arrive.\This blade is your true nature.\You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself.\No!\I can understand why you think that.\But a flower that has bloomed in the darkness response:	can only be at ease in the darkness.
context: Our luggage is about to arrive.\This blade is your true nature.\You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself.\No!\I can understand why you think that.\But a flower that has bloomed in the darkness\can only be at ease in the darkness. response:	Why do I know that?
context: This blade is your true nature.\You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself.\No!\I can understand why you think that.\But a flower that has bloomed in the darkness\can only be at ease in the darkness.\Why do I know that? response:	Because there was a woman who also craved the same light,
context: You kill anyone as soon as you believe they are in your way.\You are like a demon, yourself.\No!\I can understand why you think that.\But a flower that has bloomed in the darkness\can only be at ease in the darkness.\Why do I know that?\Because there was a woman who also craved the same light, response:	but was burned by it and fell into the darkness.
context: You are like a demon, yourself.\No!\I can understand why you think that.\But a flower that has bloomed in the darkness\can only be at ease in the darkness.\Why do I know that?\Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness. response:	Come back, Kyouka.
context: No!\I can understand why you think that.\But a flower that has bloomed in the darkness\can only be at ease in the darkness.\Why do I know that?\Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness.\Come back, Kyouka. response:	I don't want to.
context: I can understand why you think that.\But a flower that has bloomed in the darkness\can only be at ease in the darkness.\Why do I know that?\Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness.\Come back, Kyouka.\I don't want to. response:	Despite everything, I still...
context: But a flower that has bloomed in the darkness\can only be at ease in the darkness.\Why do I know that?\Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness.\Come back, Kyouka.\I don't want to.\Despite everything, I still... response:	You cannot change your true nature.
context: can only be at ease in the darkness.\Why do I know that?\Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness.\Come back, Kyouka.\I don't want to.\Despite everything, I still...\You cannot change your true nature. response:	You justify any killing to achieve our goals.
context: Why do I know that?\Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness.\Come back, Kyouka.\I don't want to.\Despite everything, I still...\You cannot change your true nature.\You justify any killing to achieve our goals. response:	If that were not true,
context: Because there was a woman who also craved the same light,\but was burned by it and fell into the darkness.\Come back, Kyouka.\I don't want to.\Despite everything, I still...\You cannot change your true nature.\You justify any killing to achieve our goals.\If that were not true, response:	you would not be able to use your demon like so.
context: but was burned by it and fell into the darkness.\Come back, Kyouka.\I don't want to.\Despite everything, I still...\You cannot change your true nature.\You justify any killing to achieve our goals.\If that were not true,\you would not be able to use your demon like so. response:	After all, your demon...
context: Come back, Kyouka.\I don't want to.\Despite everything, I still...\You cannot change your true nature.\You justify any killing to achieve our goals.\If that were not true,\you would not be able to use your demon like so.\After all, your demon... response:	killed your parents.
context: I don't want to.\Despite everything, I still...\You cannot change your true nature.\You justify any killing to achieve our goals.\If that were not true,\you would not be able to use your demon like so.\After all, your demon...\killed your parents. response:	That's...
context: Despite everything, I still...\You cannot change your true nature.\You justify any killing to achieve our goals.\If that were not true,\you would not be able to use your demon like so.\After all, your demon...\killed your parents.\That's... response:	But why?
context: You cannot change your true nature.\You justify any killing to achieve our goals.\If that were not true,\you would not be able to use your demon like so.\After all, your demon...\killed your parents.\That's...\But why? response:	No, this is...
context: You justify any killing to achieve our goals.\If that were not true,\you would not be able to use your demon like so.\After all, your demon...\killed your parents.\That's...\But why?\No, this is... response:	He would not understand.
context: If that were not true,\you would not be able to use your demon like so.\After all, your demon...\killed your parents.\That's...\But why?\No, this is...\He would not understand. response:	No one who lives in the world of light can.
context: you would not be able to use your demon like so.\After all, your demon...\killed your parents.\That's...\But why?\No, this is...\He would not understand.\No one who lives in the world of light can. response:	You no longer have to wield that blade in search of a place where you can belong.
context: After all, your demon...\killed your parents.\That's...\But why?\No, this is...\He would not understand.\No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong. response:	I will protect you.
context: killed your parents.\That's...\But why?\No, this is...\He would not understand.\No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong.\I will protect you. response:	Please duck.
context: That's...\But why?\No, this is...\He would not understand.\No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong.\I will protect you.\Please duck. response:	Oh, look how it flies!
context: But why?\No, this is...\He would not understand.\No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong.\I will protect you.\Please duck.\Oh, look how it flies! response:	Are you okay, Atsushi?!
context: No, this is...\He would not understand.\No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong.\I will protect you.\Please duck.\Oh, look how it flies!\Are you okay, Atsushi?! response:	Kunikida-san... Why are you here?
context: He would not understand.\No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong.\I will protect you.\Please duck.\Oh, look how it flies!\Are you okay, Atsushi?!\Kunikida-san... Why are you here? response:	I modified Kyouka's cell so that it'd send a signal if anyone called it.
context: No one who lives in the world of light can.\You no longer have to wield that blade in search of a place where you can belong.\I will protect you.\Please duck.\Oh, look how it flies!\Are you okay, Atsushi?!\Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it. response:	Get up.
context: You no longer have to wield that blade in search of a place where you can belong.\I will protect you.\Please duck.\Oh, look how it flies!\Are you okay, Atsushi?!\Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up. response:	Why're you acting like a damsel in distress?
context: I will protect you.\Please duck.\Oh, look how it flies!\Are you okay, Atsushi?!\Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up.\Why're you acting like a damsel in distress? response:	A weretiger's supposed to be tough!
context: Please duck.\Oh, look how it flies!\Are you okay, Atsushi?!\Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up.\Why're you acting like a damsel in distress?\A weretiger's supposed to be tough! response:	Agency vermin!
context: Oh, look how it flies!\Are you okay, Atsushi?!\Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up.\Why're you acting like a damsel in distress?\A weretiger's supposed to be tough!\Agency vermin! response:	Don't show Kyouka any more of your toxic light!
context: Are you okay, Atsushi?!\Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up.\Why're you acting like a damsel in distress?\A weretiger's supposed to be tough!\Agency vermin!\Don't show Kyouka any more of your toxic light! response:	Wow, what great timing.
context: Kunikida-san... Why are you here?\I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up.\Why're you acting like a damsel in distress?\A weretiger's supposed to be tough!\Agency vermin!\Don't show Kyouka any more of your toxic light!\Wow, what great timing. response:	It's like the split second before a collision.
context: I modified Kyouka's cell so that it'd send a signal if anyone called it.\Get up.\Why're you acting like a damsel in distress?\A weretiger's supposed to be tough!\Agency vermin!\Don't show Kyouka any more of your toxic light!\Wow, what great timing.\It's like the split second before a collision. response:	If we could've come just a bit later, we would've had it easy.
context: Get up.\Why're you acting like a damsel in distress?\A weretiger's supposed to be tough!\Agency vermin!\Don't show Kyouka any more of your toxic light!\Wow, what great timing.\It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy. response:	Do you want in?
context: Why're you acting like a damsel in distress?\A weretiger's supposed to be tough!\Agency vermin!\Don't show Kyouka any more of your toxic light!\Wow, what great timing.\It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy.\Do you want in? response:	I don't care either way,
context: A weretiger's supposed to be tough!\Agency vermin!\Don't show Kyouka any more of your toxic light!\Wow, what great timing.\It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy.\Do you want in?\I don't care either way, response:	but all the stares are making me uncomfortable.
context: Agency vermin!\Don't show Kyouka any more of your toxic light!\Wow, what great timing.\It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy.\Do you want in?\I don't care either way,\but all the stares are making me uncomfortable. response:	Ability: Grapes of Wrath
context: Don't show Kyouka any more of your toxic light!\Wow, what great timing.\It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy.\Do you want in?\I don't care either way,\but all the stares are making me uncomfortable.\Ability: Grapes of Wrath response:	Guild Operative John S
context: Wow, what great timing.\It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy.\Do you want in?\I don't care either way,\but all the stares are making me uncomfortable.\Ability: Grapes of Wrath\Guild Operative John S response:	Oh, fine.
context: It's like the split second before a collision.\If we could've come just a bit later, we would've had it easy.\Do you want in?\I don't care either way,\but all the stares are making me uncomfortable.\Ability: Grapes of Wrath\Guild Operative John S\Oh, fine. response:	I guess I'll work for my keep for the Guild.
context: If we could've come just a bit later, we would've had it easy.\Do you want in?\I don't care either way,\but all the stares are making me uncomfortable.\Ability: Grapes of Wrath\Guild Operative John S\Oh, fine.\I guess I'll work for my keep for the Guild. response:	Guild Operative Lovecraft
context: Do you want in?\I don't care either way,\but all the stares are making me uncomfortable.\Ability: Grapes of Wrath\Guild Operative John S\Oh, fine.\I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft response:	Ability: The Great Old One
context: I don't care either way,\but all the stares are making me uncomfortable.\Ability: Grapes of Wrath\Guild Operative John S\Oh, fine.\I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft\Ability: The Great Old One response:	I'm tired.
context: but all the stares are making me uncomfortable.\Ability: Grapes of Wrath\Guild Operative John S\Oh, fine.\I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft\Ability: The Great Old One\I'm tired. response:	Ugh, itchy.
context: Ability: Grapes of Wrath\Guild Operative John S\Oh, fine.\I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft\Ability: The Great Old One\I'm tired.\Ugh, itchy. response:	Yuck, tired and itchy.
context: Guild Operative John S\Oh, fine.\I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft\Ability: The Great Old One\I'm tired.\Ugh, itchy.\Yuck, tired and itchy. response:	Are they gifted Guild members?
context: Oh, fine.\I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft\Ability: The Great Old One\I'm tired.\Ugh, itchy.\Yuck, tired and itchy.\Are they gifted Guild members? response:	Oh, keep the middle clear, will you?
context: I guess I'll work for my keep for the Guild.\Guild Operative Lovecraft\Ability: The Great Old One\I'm tired.\Ugh, itchy.\Yuck, tired and itchy.\Are they gifted Guild members?\Oh, keep the middle clear, will you? response:	Our luggage will be arriving soon.
context: Guild Operative Lovecraft\Ability: The Great Old One\I'm tired.\Ugh, itchy.\Yuck, tired and itchy.\Are they gifted Guild members?\Oh, keep the middle clear, will you?\Our luggage will be arriving soon. response:	Something's up there!
context: Ability: The Great Old One\I'm tired.\Ugh, itchy.\Yuck, tired and itchy.\Are they gifted Guild members?\Oh, keep the middle clear, will you?\Our luggage will be arriving soon.\Something's up there! response:	No!
context: I'm tired.\Ugh, itchy.\Yuck, tired and itchy.\Are they gifted Guild members?\Oh, keep the middle clear, will you?\Our luggage will be arriving soon.\Something's up there!\No! response:	Fire!
context: Ugh, itchy.\Yuck, tired and itchy.\Are they gifted Guild members?\Oh, keep the middle clear, will you?\Our luggage will be arriving soon.\Something's up there!\No!\Fire! response:	Episode Seventeen Three Companies Conflict
context: Yuck, tired and itchy.\Are they gifted Guild members?\Oh, keep the middle clear, will you?\Our luggage will be arriving soon.\Something's up there!\No!\Fire!\Episode Seventeen Three Companies Conflict response:	Come to think of it...
context: Are they gifted Guild members?\Oh, keep the middle clear, will you?\Our luggage will be arriving soon.\Something's up there!\No!\Fire!\Episode Seventeen Three Companies Conflict\Come to think of it... response:	Where is Sir Poe and Lady Louisa?
context: Oh, keep the middle clear, will you?\Our luggage will be arriving soon.\Something's up there!\No!\Fire!\Episode Seventeen Three Companies Conflict\Come to think of it...\Where is Sir Poe and Lady Louisa? response:	They have a fear of heights, so they stayed behind.
context: Our luggage will be arriving soon.\Something's up there!\No!\Fire!\Episode Seventeen Three Companies Conflict\Come to think of it...\Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind. response:	They should just die.
context: Something's up there!\No!\Fire!\Episode Seventeen Three Companies Conflict\Come to think of it...\Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind.\They should just die. response:	That was easy, Reverend.
context: No!\Fire!\Episode Seventeen Three Companies Conflict\Come to think of it...\Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind.\They should just die.\That was easy, Reverend. response:	May God have mercy on the sinful.
context: Fire!\Episode Seventeen Three Companies Conflict\Come to think of it...\Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind.\They should just die.\That was easy, Reverend.\May God have mercy on the sinful. response:	Where am I?
context: Episode Seventeen Three Companies Conflict\Come to think of it...\Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind.\They should just die.\That was easy, Reverend.\May God have mercy on the sinful.\Where am I? response:	I think there was an enemy attack...
context: Come to think of it...\Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind.\They should just die.\That was easy, Reverend.\May God have mercy on the sinful.\Where am I?\I think there was an enemy attack... response:	That's quite a superb critical injury you've got there, Atsushi.
context: Where is Sir Poe and Lady Louisa?\They have a fear of heights, so they stayed behind.\They should just die.\That was easy, Reverend.\May God have mercy on the sinful.\Where am I?\I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi. response:	Well, it's time for treatment.
context: They have a fear of heights, so they stayed behind.\They should just die.\That was easy, Reverend.\May God have mercy on the sinful.\Where am I?\I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment. response:	I'll use this one today.
context: They should just die.\That was easy, Reverend.\May God have mercy on the sinful.\Where am I?\I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment.\I'll use this one today. response:	The detectives have fully recovered, physically.
context: That was easy, Reverend.\May God have mercy on the sinful.\Where am I?\I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment.\I'll use this one today.\The detectives have fully recovered, physically. response:	What a helpless lot you are.
context: May God have mercy on the sinful.\Where am I?\I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment.\I'll use this one today.\The detectives have fully recovered, physically.\What a helpless lot you are. response:	Without my ability,
context: Where am I?\I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment.\I'll use this one today.\The detectives have fully recovered, physically.\What a helpless lot you are.\Without my ability, response:	you'd all be pushing up daisies by now.
context: I think there was an enemy attack...\That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment.\I'll use this one today.\The detectives have fully recovered, physically.\What a helpless lot you are.\Without my ability,\you'd all be pushing up daisies by now. response:	How are you all feeling?
context: That's quite a superb critical injury you've got there, Atsushi.\Well, it's time for treatment.\I'll use this one today.\The detectives have fully recovered, physically.\What a helpless lot you are.\Without my ability,\you'd all be pushing up daisies by now.\How are you all feeling? response:	President...
context: Well, it's time for treatment.\I'll use this one today.\The detectives have fully recovered, physically.\What a helpless lot you are.\Without my ability,\you'd all be pushing up daisies by now.\How are you all feeling?\President... response:	I'm sorry.
context: I'll use this one today.\The detectives have fully recovered, physically.\What a helpless lot you are.\Without my ability,\you'd all be pushing up daisies by now.\How are you all feeling?\President...\I'm sorry. response:	I was there, and yet...
context: The detectives have fully recovered, physically.\What a helpless lot you are.\Without my ability,\you'd all be pushing up daisies by now.\How are you all feeling?\President...\I'm sorry.\I was there, and yet... response:	All good.
context: What a helpless lot you are.\Without my ability,\you'd all be pushing up daisies by now.\How are you all feeling?\President...\I'm sorry.\I was there, and yet...\All good. response:	I'll be out for a bit.
context: Without my ability,\you'd all be pushing up daisies by now.\How are you all feeling?\President...\I'm sorry.\I was there, and yet...\All good.\I'll be out for a bit. response:	But isn't it dangerous to go out right now?
context: you'd all be pushing up daisies by now.\How are you all feeling?\President...\I'm sorry.\I was there, and yet...\All good.\I'll be out for a bit.\But isn't it dangerous to go out right now? response:	He's pretty riled up, from the looks of him.
context: How are you all feeling?\President...\I'm sorry.\I was there, and yet...\All good.\I'll be out for a bit.\But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him. response:	Hey, Elise-chan...
context: President...\I'm sorry.\I was there, and yet...\All good.\I'll be out for a bit.\But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him.\Hey, Elise-chan... response:	Eating that much isn't good for your health...
context: I'm sorry.\I was there, and yet...\All good.\I'll be out for a bit.\But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him.\Hey, Elise-chan...\Eating that much isn't good for your health... response:	Why?
context: I was there, and yet...\All good.\I'll be out for a bit.\But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him.\Hey, Elise-chan...\Eating that much isn't good for your health...\Why? response:	Sweetness is justice.
context: All good.\I'll be out for a bit.\But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him.\Hey, Elise-chan...\Eating that much isn't good for your health...\Why?\Sweetness is justice. response:	Well, sure, but...
context: I'll be out for a bit.\But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him.\Hey, Elise-chan...\Eating that much isn't good for your health...\Why?\Sweetness is justice.\Well, sure, but... response:	I can consider trying on the dress you bought me earlier, Rintarou.
context: But isn't it dangerous to go out right now?\He's pretty riled up, from the looks of him.\Hey, Elise-chan...\Eating that much isn't good for your health...\Why?\Sweetness is justice.\Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou. response:	Do you want seconds?
context: He's pretty riled up, from the looks of him.\Hey, Elise-chan...\Eating that much isn't good for your health...\Why?\Sweetness is justice.\Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds? response:	Boss, we received word that the Agency got to the scene ahead of us
context: Hey, Elise-chan...\Eating that much isn't good for your health...\Why?\Sweetness is justice.\Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us response:	and took Kouyou away.
context: Eating that much isn't good for your health...\Why?\Sweetness is justice.\Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away. response:	We can't take rash action
context: Why?\Sweetness is justice.\Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away.\We can't take rash action response:	now that one of the top five executives has been taken hostage.
context: Sweetness is justice.\Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away.\We can't take rash action\now that one of the top five executives has been taken hostage. response:	Right...
context: Well, sure, but...\I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away.\We can't take rash action\now that one of the top five executives has been taken hostage.\Right... response:	Okay!
context: I can consider trying on the dress you bought me earlier, Rintarou.\Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away.\We can't take rash action\now that one of the top five executives has been taken hostage.\Right...\Okay! response:	Let's kill the president of the Agency!
context: Do you want seconds?\Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away.\We can't take rash action\now that one of the top five executives has been taken hostage.\Right...\Okay!\Let's kill the president of the Agency! response:	I prefer assassination.
context: Boss, we received word that the Agency got to the scene ahead of us\and took Kouyou away.\We can't take rash action\now that one of the top five executives has been taken hostage.\Right...\Okay!\Let's kill the president of the Agency!\I prefer assassination. response:	If we hire outside contractors,
context: and took Kouyou away.\We can't take rash action\now that one of the top five executives has been taken hostage.\Right...\Okay!\Let's kill the president of the Agency!\I prefer assassination.\If we hire outside contractors, response:	we'll spare ourselves the labor
context: We can't take rash action\now that one of the top five executives has been taken hostage.\Right...\Okay!\Let's kill the president of the Agency!\I prefer assassination.\If we hire outside contractors,\we'll spare ourselves the labor response:	and we can focus on confronting the Guild.
context: now that one of the top five executives has been taken hostage.\Right...\Okay!\Let's kill the president of the Agency!\I prefer assassination.\If we hire outside contractors,\we'll spare ourselves the labor\and we can focus on confronting the Guild. response:	Hey, Sister.
context: Right...\Okay!\Let's kill the president of the Agency!\I prefer assassination.\If we hire outside contractors,\we'll spare ourselves the labor\and we can focus on confronting the Guild.\Hey, Sister. response:	It's been a while.
context: Okay!\Let's kill the president of the Agency!\I prefer assassination.\If we hire outside contractors,\we'll spare ourselves the labor\and we can focus on confronting the Guild.\Hey, Sister.\It's been a while. response:	It has indeed been a while, traitor.
context: Let's kill the president of the Agency!\I prefer assassination.\If we hire outside contractors,\we'll spare ourselves the labor\and we can focus on confronting the Guild.\Hey, Sister.\It's been a while.\It has indeed been a while, traitor. response:	Boy, is Kyouka safe?
context: I prefer assassination.\If we hire outside contractors,\we'll spare ourselves the labor\and we can focus on confronting the Guild.\Hey, Sister.\It's been a while.\It has indeed been a while, traitor.\Boy, is Kyouka safe? response:	She's missing.
context: If we hire outside contractors,\we'll spare ourselves the labor\and we can focus on confronting the Guild.\Hey, Sister.\It's been a while.\It has indeed been a while, traitor.\Boy, is Kyouka safe?\She's missing. response:	Because of you.
context: we'll spare ourselves the labor\and we can focus on confronting the Guild.\Hey, Sister.\It's been a while.\It has indeed been a while, traitor.\Boy, is Kyouka safe?\She's missing.\Because of you. response:	What's so funny?!
