context: Naraku! response:	What's this?
context: Kagura's ghostly wind is being blown away!\All right!\There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot!\What are you thinking?!\Inuyasha, if this arrow hits you...\even you could die!\But... I must have faith in Inuyasha! response:	This arrow... is purifying my ghostly wind.
context: All right!\There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot!\What are you thinking?!\Inuyasha, if this arrow hits you...\even you could die!\But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind. response:	I knew it!
context: There is a way to create the Wind Scar!\Stop dallying! Hurry and shoot!\What are you thinking?!\Inuyasha, if this arrow hits you...\even you could die!\But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind.\I knew it! response:	The ghostly wind has disappeared!
context: Stop dallying! Hurry and shoot!\What are you thinking?!\Inuyasha, if this arrow hits you...\even you could die!\But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind.\I knew it!\The ghostly wind has disappeared! response:	Fool! Wind is easily created!
context: What are you thinking?!\Inuyasha, if this arrow hits you...\even you could die!\But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind.\I knew it!\The ghostly wind has disappeared!\Fool! Wind is easily created! response:	When the two ghostly winds appear once more...
context: Inuyasha, if this arrow hits you...\even you could die!\But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind.\I knew it!\The ghostly wind has disappeared!\Fool! Wind is easily created!\When the two ghostly winds appear once more... response:	the Wind Scar...
context: even you could die!\But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind.\I knew it!\The ghostly wind has disappeared!\Fool! Wind is easily created!\When the two ghostly winds appear once more...\the Wind Scar... response:	will be created!
context: But... I must have faith in Inuyasha!\This arrow... is purifying my ghostly wind.\I knew it!\The ghostly wind has disappeared!\Fool! Wind is easily created!\When the two ghostly winds appear once more...\the Wind Scar...\will be created! response:	Take that!
context: This arrow... is purifying my ghostly wind.\I knew it!\The ghostly wind has disappeared!\Fool! Wind is easily created!\When the two ghostly winds appear once more...\the Wind Scar...\will be created!\Take that! response:	The Wind Scar...!
context: I knew it!\The ghostly wind has disappeared!\Fool! Wind is easily created!\When the two ghostly winds appear once more...\the Wind Scar...\will be created!\Take that!\The Wind Scar...! response:	What's that?!
context: The ghostly wind has disappeared!\Fool! Wind is easily created!\When the two ghostly winds appear once more...\the Wind Scar...\will be created!\Take that!\The Wind Scar...!\What's that?! response:	That scar?!
context: Fool! Wind is easily created!\When the two ghostly winds appear once more...\the Wind Scar...\will be created!\Take that!\The Wind Scar...!\What's that?!\That scar?! response:	The castle is disappearing!
context: When the two ghostly winds appear once more...\the Wind Scar...\will be created!\Take that!\The Wind Scar...!\What's that?!\That scar?!\The castle is disappearing! response:	This castle was an illusion, too!
context: the Wind Scar...\will be created!\Take that!\The Wind Scar...!\What's that?!\That scar?!\The castle is disappearing!\This castle was an illusion, too! response:	Inuyasha! Are you all right?!
context: will be created!\Take that!\The Wind Scar...!\What's that?!\That scar?!\The castle is disappearing!\This castle was an illusion, too!\Inuyasha! Are you all right?! response:	Where's that woman!
context: Take that!\The Wind Scar...!\What's that?!\That scar?!\The castle is disappearing!\This castle was an illusion, too!\Inuyasha! Are you all right?!\Where's that woman! response:	I let her get away...
context: The Wind Scar...!\What's that?!\That scar?!\The castle is disappearing!\This castle was an illusion, too!\Inuyasha! Are you all right?!\Where's that woman!\I let her get away... response:	I couldn't use my broken right arm...
context: What's that?!\That scar?!\The castle is disappearing!\This castle was an illusion, too!\Inuyasha! Are you all right?!\Where's that woman!\I let her get away...\I couldn't use my broken right arm... response:	so I couldn't deliver the finishing blow.
context: That scar?!\The castle is disappearing!\This castle was an illusion, too!\Inuyasha! Are you all right?!\Where's that woman!\I let her get away...\I couldn't use my broken right arm...\so I couldn't deliver the finishing blow. response:	Koga! Are you all right?!
context: The castle is disappearing!\This castle was an illusion, too!\Inuyasha! Are you all right?!\Where's that woman!\I let her get away...\I couldn't use my broken right arm...\so I couldn't deliver the finishing blow.\Koga! Are you all right?! response:	The color in the skin is different.
context: This castle was an illusion, too!\Inuyasha! Are you all right?!\Where's that woman!\I let her get away...\I couldn't use my broken right arm...\so I couldn't deliver the finishing blow.\Koga! Are you all right?!\The color in the skin is different. response:	The poison from the fake fragment is spreading!
context: Inuyasha! Are you all right?!\Where's that woman!\I let her get away...\I couldn't use my broken right arm...\so I couldn't deliver the finishing blow.\Koga! Are you all right?!\The color in the skin is different.\The poison from the fake fragment is spreading! response:	What'll we do?! We can't let him die!
context: Where's that woman!\I let her get away...\I couldn't use my broken right arm...\so I couldn't deliver the finishing blow.\Koga! Are you all right?!\The color in the skin is different.\The poison from the fake fragment is spreading!\What'll we do?! We can't let him die! response:	It's no use. The barrier is too strong.
context: I let her get away...\I couldn't use my broken right arm...\so I couldn't deliver the finishing blow.\Koga! Are you all right?!\The color in the skin is different.\The poison from the fake fragment is spreading!\What'll we do?! We can't let him die!\It's no use. The barrier is too strong. response:	It deflected your hands, Kagome.
context: I couldn't use my broken right arm...\so I couldn't deliver the finishing blow.\Koga! Are you all right?!\The color in the skin is different.\The poison from the fake fragment is spreading!\What'll we do?! We can't let him die!\It's no use. The barrier is too strong.\It deflected your hands, Kagome. response:	But we must do something quickly!
context: so I couldn't deliver the finishing blow.\Koga! Are you all right?!\The color in the skin is different.\The poison from the fake fragment is spreading!\What'll we do?! We can't let him die!\It's no use. The barrier is too strong.\It deflected your hands, Kagome.\But we must do something quickly! response:	Are you sure, Kagome?
context: Koga! Are you all right?!\The color in the skin is different.\The poison from the fake fragment is spreading!\What'll we do?! We can't let him die!\It's no use. The barrier is too strong.\It deflected your hands, Kagome.\But we must do something quickly!\Are you sure, Kagome? response:	I tried to kill Inuyasha...
context: The color in the skin is different.\The poison from the fake fragment is spreading!\What'll we do?! We can't let him die!\It's no use. The barrier is too strong.\It deflected your hands, Kagome.\But we must do something quickly!\Are you sure, Kagome?\I tried to kill Inuyasha... response:	What are you saying?! You were just tricked by Naraku!
context: The poison from the fake fragment is spreading!\What'll we do?! We can't let him die!\It's no use. The barrier is too strong.\It deflected your hands, Kagome.\But we must do something quickly!\Are you sure, Kagome?\I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku! response:	Even Inuyasha has no desire to settle it like this.
context: What'll we do?! We can't let him die!\It's no use. The barrier is too strong.\It deflected your hands, Kagome.\But we must do something quickly!\Are you sure, Kagome?\I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this. response:	Inuyasha?
context: It's no use. The barrier is too strong.\It deflected your hands, Kagome.\But we must do something quickly!\Are you sure, Kagome?\I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this.\Inuyasha? response:	Since we both fell right into Naraku's trap...
context: It deflected your hands, Kagome.\But we must do something quickly!\Are you sure, Kagome?\I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this.\Inuyasha?\Since we both fell right into Naraku's trap... response:	if you only want to save his life, there's a way.
context: But we must do something quickly!\Are you sure, Kagome?\I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this.\Inuyasha?\Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way. response:	Hold out your arm!
context: Are you sure, Kagome?\I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this.\Inuyasha?\Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way.\Hold out your arm! response:	I'll chop it off with the fake jewel!
context: I tried to kill Inuyasha...\What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this.\Inuyasha?\Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way.\Hold out your arm!\I'll chop it off with the fake jewel! response:	No! Just wait, Inuyasha!
context: What are you saying?! You were just tricked by Naraku!\Even Inuyasha has no desire to settle it like this.\Inuyasha?\Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way.\Hold out your arm!\I'll chop it off with the fake jewel!\No! Just wait, Inuyasha! response:	There must be another way!
context: Even Inuyasha has no desire to settle it like this.\Inuyasha?\Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way.\Hold out your arm!\I'll chop it off with the fake jewel!\No! Just wait, Inuyasha!\There must be another way! response:	That's right!
context: Inuyasha?\Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way.\Hold out your arm!\I'll chop it off with the fake jewel!\No! Just wait, Inuyasha!\There must be another way!\That's right! response:	We can't touch the barrier...
context: Since we both fell right into Naraku's trap...\if you only want to save his life, there's a way.\Hold out your arm!\I'll chop it off with the fake jewel!\No! Just wait, Inuyasha!\There must be another way!\That's right!\We can't touch the barrier... response:	but Kagome, the sacred arrow can dissolve the barrier!
context: if you only want to save his life, there's a way.\Hold out your arm!\I'll chop it off with the fake jewel!\No! Just wait, Inuyasha!\There must be another way!\That's right!\We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier! response:	Kagura who killed my comrades and Naraku...
context: Hold out your arm!\I'll chop it off with the fake jewel!\No! Just wait, Inuyasha!\There must be another way!\That's right!\We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku... response:	with my own hands... Someday...
context: I'll chop it off with the fake jewel!\No! Just wait, Inuyasha!\There must be another way!\That's right!\We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku...\with my own hands... Someday... response:	I will kill them...
context: No! Just wait, Inuyasha!\There must be another way!\That's right!\We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku...\with my own hands... Someday...\I will kill them... response:	I wonder if Koga will be okay?
context: There must be another way!\That's right!\We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku...\with my own hands... Someday...\I will kill them...\I wonder if Koga will be okay? response:	He looks like a very proud man. Better to let him be.
context: That's right!\We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku...\with my own hands... Someday...\I will kill them...\I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be. response:	It's a funny way to put it...
context: We can't touch the barrier...\but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku...\with my own hands... Someday...\I will kill them...\I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be.\It's a funny way to put it... response:	but we're used to being tricked by Naraku.
context: but Kagome, the sacred arrow can dissolve the barrier!\Kagura who killed my comrades and Naraku...\with my own hands... Someday...\I will kill them...\I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be.\It's a funny way to put it...\but we're used to being tricked by Naraku. response:	Now then... let's see how strong the other proud one is.
context: Kagura who killed my comrades and Naraku...\with my own hands... Someday...\I will kill them...\I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be.\It's a funny way to put it...\but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is. response:	He's... fast asleep.
context: with my own hands... Someday...\I will kill them...\I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be.\It's a funny way to put it...\but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is.\He's... fast asleep. response:	He fought so hard. Even Inuyasha must be exhausted.
context: I will kill them...\I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be.\It's a funny way to put it...\but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is.\He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted. response:	We should let him sleep.
context: I wonder if Koga will be okay?\He looks like a very proud man. Better to let him be.\It's a funny way to put it...\but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is.\He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep. response:	She had the same spider-shaped burn scar on her back... like Naraku.
context: He looks like a very proud man. Better to let him be.\It's a funny way to put it...\but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is.\He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku. response:	I wonder what that means?
context: It's a funny way to put it...\but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is.\He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means? response:	A woman who has the same scent as Naraku.
context: but we're used to being tricked by Naraku.\Now then... let's see how strong the other proud one is.\He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means?\A woman who has the same scent as Naraku. response:	Naraku!
context: Now then... let's see how strong the other proud one is.\He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means?\A woman who has the same scent as Naraku.\Naraku! response:	Naraku, where are you?!
context: He's... fast asleep.\He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means?\A woman who has the same scent as Naraku.\Naraku!\Naraku, where are you?! response:	Naraku...
context: He fought so hard. Even Inuyasha must be exhausted.\We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means?\A woman who has the same scent as Naraku.\Naraku!\Naraku, where are you?!\Naraku... response:	Fifty years ago, in order to steal the Sacred Jewel...
context: We should let him sleep.\She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means?\A woman who has the same scent as Naraku.\Naraku!\Naraku, where are you?!\Naraku...\Fifty years ago, in order to steal the Sacred Jewel... response:	Naraku tricked Inuyasha and Kikyo to battle each other.
context: She had the same spider-shaped burn scar on her back... like Naraku.\I wonder what that means?\A woman who has the same scent as Naraku.\Naraku!\Naraku, where are you?!\Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other. response:	Die, Inuyasha!
context: I wonder what that means?\A woman who has the same scent as Naraku.\Naraku!\Naraku, where are you?!\Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha! response:	He is gathering the Sacred Jewel fragments...
context: A woman who has the same scent as Naraku.\Naraku!\Naraku, where are you?!\Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\He is gathering the Sacred Jewel fragments... response:	and his evil power is growing steadily.
context: Naraku!\Naraku, where are you?!\Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily. response:	Miroku has been cursed by Naraku...
context: Naraku, where are you?!\Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku... response:	with a Wind Tunnel in his right hand.
context: Naraku...\Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand. response:	One day, the Wind Tunnel will devour Miroku himself.
context: Fifty years ago, in order to steal the Sacred Jewel...\Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself. response:	He must destroy Naraku before that happens.
context: Naraku tricked Inuyasha and Kikyo to battle each other.\Die, Inuyasha!\He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens. response:	Sango's father and fellow demon slayers...
context: Die, Inuyasha!\He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow demon slayers... response:	were killed before her very eyes.
context: He is gathering the Sacred Jewel fragments...\and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow demon slayers...\were killed before her very eyes. response:	Naraku had resorted to the dirty trick...
context: and his evil power is growing steadily.\Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow demon slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick... response:	- of using her brother Kohaku. - Kohaku!
context: Miroku has been cursed by Naraku...\with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow demon slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku! response:	It was also Naraku who gave the deadly poison wasps to Sesshomaru...
context: with a Wind Tunnel in his right hand.\One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow demon slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru... response:	and deceived Sango into fighting Inuyasha!
context: One day, the Wind Tunnel will devour Miroku himself.\He must destroy Naraku before that happens.\Sango's father and fellow demon slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha! response:	He never dirties his hands... a despicable coward!
context: He must destroy Naraku before that happens.\Sango's father and fellow demon slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward! response:	Someday, we'll get him!
context: Sango's father and fellow demon slayers...\were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward!\Someday, we'll get him! response:	Naraku!
context: were killed before her very eyes.\Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\Naraku! response:	Kagura... so you came out of this alive.
context: Naraku had resorted to the dirty trick...\- of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\Naraku!\Kagura... so you came out of this alive. response:	Shut up!
context: - of using her brother Kohaku. - Kohaku!\It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\Naraku!\Kagura... so you came out of this alive.\Shut up! response:	You tricked me, didn't you?
context: It was also Naraku who gave the deadly poison wasps to Sesshomaru...\and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\Naraku!\Kagura... so you came out of this alive.\Shut up!\You tricked me, didn't you? response:	You never told me about the power of that Inuyasha's sword!
context: and deceived Sango into fighting Inuyasha!\He never dirties his hands... a despicable coward!\Someday, we'll get him!\Naraku!\Kagura... so you came out of this alive.\Shut up!\You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword! response:	The sword that cuts through the Wind Scar.
context: He never dirties his hands... a despicable coward!\Someday, we'll get him!\Naraku!\Kagura... so you came out of this alive.\Shut up!\You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar. response:	I wondered just how powerful it was...
context: Someday, we'll get him!\Naraku!\Kagura... so you came out of this alive.\Shut up!\You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar.\I wondered just how powerful it was... response:	but if you can make it back alive...
context: Naraku!\Kagura... so you came out of this alive.\Shut up!\You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar.\I wondered just how powerful it was...\but if you can make it back alive... response:	I guess it wasn't much of a sword.
context: Kagura... so you came out of this alive.\Shut up!\You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar.\I wondered just how powerful it was...\but if you can make it back alive...\I guess it wasn't much of a sword. response:	So you did trick me?
context: Shut up!\You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar.\I wondered just how powerful it was...\but if you can make it back alive...\I guess it wasn't much of a sword.\So you did trick me? response:	How dare you!
context: You tricked me, didn't you?\You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar.\I wondered just how powerful it was...\but if you can make it back alive...\I guess it wasn't much of a sword.\So you did trick me?\How dare you! response:	T-that's!
context: You never told me about the power of that Inuyasha's sword!\The sword that cuts through the Wind Scar.\I wondered just how powerful it was...\but if you can make it back alive...\I guess it wasn't much of a sword.\So you did trick me?\How dare you!\T-that's! response:	Don't forget, Kagura.
context: The sword that cuts through the Wind Scar.\I wondered just how powerful it was...\but if you can make it back alive...\I guess it wasn't much of a sword.\So you did trick me?\How dare you!\T-that's!\Don't forget, Kagura. response:	Your heart is in my hands!
context: I wondered just how powerful it was...\but if you can make it back alive...\I guess it wasn't much of a sword.\So you did trick me?\How dare you!\T-that's!\Don't forget, Kagura.\Your heart is in my hands! response:	Damn!
context: but if you can make it back alive...\I guess it wasn't much of a sword.\So you did trick me?\How dare you!\T-that's!\Don't forget, Kagura.\Your heart is in my hands!\Damn! response:	It's simple to turn you back into what you were.
context: I guess it wasn't much of a sword.\So you did trick me?\How dare you!\T-that's!\Don't forget, Kagura.\Your heart is in my hands!\Damn!\It's simple to turn you back into what you were. response:	So Kagura... do not forget.
context: So you did trick me?\How dare you!\T-that's!\Don't forget, Kagura.\Your heart is in my hands!\Damn!\It's simple to turn you back into what you were.\So Kagura... do not forget. response:	In essence... you were created from a part of me.
context: How dare you!\T-that's!\Don't forget, Kagura.\Your heart is in my hands!\Damn!\It's simple to turn you back into what you were.\So Kagura... do not forget.\In essence... you were created from a part of me. response:	We met up with a girl named Koharu who is an acquaintance of Miroku.
context: T-that's!\Don't forget, Kagura.\Your heart is in my hands!\Damn!\It's simple to turn you back into what you were.\So Kagura... do not forget.\In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku. response:	What?! You asked her to bear your child when she was just eleven?!
context: Don't forget, Kagura.\Your heart is in my hands!\Damn!\It's simple to turn you back into what you were.\So Kagura... do not forget.\In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?! response:	Miroku is definitely a pervert!
context: Your heart is in my hands!\Damn!\It's simple to turn you back into what you were.\So Kagura... do not forget.\In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?!\Miroku is definitely a pervert! response:	We must leave this village quickly, for Koharu's sake!
context: Damn!\It's simple to turn you back into what you were.\So Kagura... do not forget.\In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?!\Miroku is definitely a pervert!\We must leave this village quickly, for Koharu's sake! response:	But something's wrong.
context: It's simple to turn you back into what you were.\So Kagura... do not forget.\In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?!\Miroku is definitely a pervert!\We must leave this village quickly, for Koharu's sake!\But something's wrong. response:	The villagers are attacking us!
context: So Kagura... do not forget.\In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?!\Miroku is definitely a pervert!\We must leave this village quickly, for Koharu's sake!\But something's wrong.\The villagers are attacking us! response:	I'll bet that female demon is behind this!
context: In essence... you were created from a part of me.\We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?!\Miroku is definitely a pervert!\We must leave this village quickly, for Koharu's sake!\But something's wrong.\The villagers are attacking us!\I'll bet that female demon is behind this! response:	Next on Inuyasha: Kagura's Dance and Kanna's Mirror!
context: We met up with a girl named Koharu who is an acquaintance of Miroku.\What?! You asked her to bear your child when she was just eleven?!\Miroku is definitely a pervert!\We must leave this village quickly, for Koharu's sake!\But something's wrong.\The villagers are attacking us!\I'll bet that female demon is behind this!\Next on Inuyasha: Kagura's Dance and Kanna's Mirror! response:	Don't miss it!
