context: Once upon a time, there was a man who died. response:	All the stories the man spun came true,
context: Nonsense!\Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today.\Yes, sir!\This is killing me.\So this is the pain of pointe...\I want to let Ahiru feel it too.\I'm just watching. response:	Even if Fakir is trying really hard, I'm just watching.
context: Marrying you is too great an honor; Ahiru would be afraid to even think of it!\Ahiru-san, watch everyone else's practice today.\Yes, sir!\This is killing me.\So this is the pain of pointe...\I want to let Ahiru feel it too.\I'm just watching.\Even if Fakir is trying really hard, I'm just watching. response:	Maybe that really was a prophetic dream.
context: Ahiru-san, watch everyone else's practice today.\Yes, sir!\This is killing me.\So this is the pain of pointe...\I want to let Ahiru feel it too.\I'm just watching.\Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream. response:	A guy from the music division... What is this about?
context: Yes, sir!\This is killing me.\So this is the pain of pointe...\I want to let Ahiru feel it too.\I'm just watching.\Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream.\A guy from the music division... What is this about? response:	You're late.
context: This is killing me.\So this is the pain of pointe...\I want to let Ahiru feel it too.\I'm just watching.\Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream.\A guy from the music division... What is this about?\You're late. response:	You took eighteen days, seven hours, and twenty-four minutes.
context: So this is the pain of pointe...\I want to let Ahiru feel it too.\I'm just watching.\Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream.\A guy from the music division... What is this about?\You're late.\You took eighteen days, seven hours, and twenty-four minutes. response:	What are you talking about?
context: I want to let Ahiru feel it too.\I'm just watching.\Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream.\A guy from the music division... What is this about?\You're late.\You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about? response:	That's how long it took from the time you began to research your power until you noticed me.
context: I'm just watching.\Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream.\A guy from the music division... What is this about?\You're late.\You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about?\That's how long it took from the time you began to research your power until you noticed me. response:	Fakir-kun.
context: Even if Fakir is trying really hard, I'm just watching.\Maybe that really was a prophetic dream.\A guy from the music division... What is this about?\You're late.\You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about?\That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun. response:	So you're Autor.
context: Maybe that really was a prophetic dream.\A guy from the music division... What is this about?\You're late.\You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about?\That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun.\So you're Autor. response:	What is this about?
context: A guy from the music division... What is this about?\You're late.\You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about?\That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun.\So you're Autor.\What is this about? response:	I put that aside for you because I assumed you hadn't read it yet.
context: You're late.\You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about?\That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun.\So you're Autor.\What is this about?\I put that aside for you because I assumed you hadn't read it yet. response:	I think it'll be useful to you when you write your stories.
context: You took eighteen days, seven hours, and twenty-four minutes.\What are you talking about?\That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun.\So you're Autor.\What is this about?\I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories. response:	What do you know?
context: What are you talking about?\That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun.\So you're Autor.\What is this about?\I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories.\What do you know? response:	Everything you want to know.
context: That's how long it took from the time you began to research your power until you noticed me.\Fakir-kun.\So you're Autor.\What is this about?\I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories.\What do you know?\Everything you want to know. response:	What?
context: Fakir-kun.\So you're Autor.\What is this about?\I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories.\What do you know?\Everything you want to know.\What? response:	Huh?
context: So you're Autor.\What is this about?\I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories.\What do you know?\Everything you want to know.\What?\Huh? response:	Who was that just now?
context: What is this about?\I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories.\What do you know?\Everything you want to know.\What?\Huh?\Who was that just now? response:	I'm asking you who you are.
context: I put that aside for you because I assumed you hadn't read it yet.\I think it'll be useful to you when you write your stories.\What do you know?\Everything you want to know.\What?\Huh?\Who was that just now?\I'm asking you who you are. response:	Fakir?
context: I think it'll be useful to you when you write your stories.\What do you know?\Everything you want to know.\What?\Huh?\Who was that just now?\I'm asking you who you are.\Fakir? response:	You're as short-tempered as everyone says you are.
context: What do you know?\Everything you want to know.\What?\Huh?\Who was that just now?\I'm asking you who you are.\Fakir?\You're as short-tempered as everyone says you are. response:	Brute force has no power in the face of words.
context: Everything you want to know.\What?\Huh?\Who was that just now?\I'm asking you who you are.\Fakir?\You're as short-tempered as everyone says you are.\Brute force has no power in the face of words. response:	You want Drosselmeyer's power because you know that too, right?
context: What?\Huh?\Who was that just now?\I'm asking you who you are.\Fakir?\You're as short-tempered as everyone says you are.\Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right? response:	Drosselmeyer's power?
context: Huh?\Who was that just now?\I'm asking you who you are.\Fakir?\You're as short-tempered as everyone says you are.\Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power? response:	The power to make stories into reality. It's magnificent.
context: Who was that just now?\I'm asking you who you are.\Fakir?\You're as short-tempered as everyone says you are.\Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power?\The power to make stories into reality. It's magnificent. response:	And the books who've had their endings stolen by those who stop them from becoming reality...
context: I'm asking you who you are.\Fakir?\You're as short-tempered as everyone says you are.\Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power?\The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality... response:	Isn't it thrilling?
context: Fakir?\You're as short-tempered as everyone says you are.\Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power?\The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling? response:	They took out the endings to stop the stories from becoming real?
context: You're as short-tempered as everyone says you are.\Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power?\The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling?\They took out the endings to stop the stories from becoming real? response:	Yes!
context: Brute force has no power in the face of words.\You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power?\The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling?\They took out the endings to stop the stories from becoming real?\Yes! response:	Although the originals are sealed away, and all we can get hold of are the copies.
context: You want Drosselmeyer's power because you know that too, right?\Drosselmeyer's power?\The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling?\They took out the endings to stop the stories from becoming real?\Yes!\Although the originals are sealed away, and all we can get hold of are the copies. response:	A power so strong those endings still had to be torn out...
context: Drosselmeyer's power?\The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling?\They took out the endings to stop the stories from becoming real?\Yes!\Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out... response:	If you want that power, I won't mind helping you.
context: The power to make stories into reality. It's magnificent.\And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling?\They took out the endings to stop the stories from becoming real?\Yes!\Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you. response:	But you'll have to follow my every order.
context: And the books who've had their endings stolen by those who stop them from becoming reality...\Isn't it thrilling?\They took out the endings to stop the stories from becoming real?\Yes!\Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you.\But you'll have to follow my every order. response:	And be prepared to die if you fail.
context: Isn't it thrilling?\They took out the endings to stop the stories from becoming real?\Yes!\Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you.\But you'll have to follow my every order.\And be prepared to die if you fail. response:	What's with that?!
context: They took out the endings to stop the stories from becoming real?\Yes!\Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you.\But you'll have to follow my every order.\And be prepared to die if you fail.\What's with that?! response:	Follow my every order? Prepare to die? What are you talking about?!
context: Yes!\Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you.\But you'll have to follow my every order.\And be prepared to die if you fail.\What's with that?!\Follow my every order? Prepare to die? What are you talking about?! response:	Why should he have to do those things?!
context: Although the originals are sealed away, and all we can get hold of are the copies.\A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you.\But you'll have to follow my every order.\And be prepared to die if you fail.\What's with that?!\Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?! response:	I'm giving him a warning!
context: A power so strong those endings still had to be torn out...\If you want that power, I won't mind helping you.\But you'll have to follow my every order.\And be prepared to die if you fail.\What's with that?!\Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?!\I'm giving him a warning! response:	Don't take Drosselmeyer's power lightly.
context: If you want that power, I won't mind helping you.\But you'll have to follow my every order.\And be prepared to die if you fail.\What's with that?!\Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?!\I'm giving him a warning!\Don't take Drosselmeyer's power lightly. response:	If you use it the wrong way, there will be hell to pay.
context: But you'll have to follow my every order.\And be prepared to die if you fail.\What's with that?!\Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?!\I'm giving him a warning!\Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay. response:	People may even die.
context: And be prepared to die if you fail.\What's with that?!\Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?!\I'm giving him a warning!\Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay.\People may even die. response:	What?!
context: What's with that?!\Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?!\I'm giving him a warning!\Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay.\People may even die.\What?! response:	So you need to be prepared for that much.
context: Follow my every order? Prepare to die? What are you talking about?!\Why should he have to do those things?!\I'm giving him a warning!\Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay.\People may even die.\What?!\So you need to be prepared for that much. response:	If you don't want to do it, I won't force you.
context: Why should he have to do those things?!\I'm giving him a warning!\Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay.\People may even die.\What?!\So you need to be prepared for that much.\If you don't want to do it, I won't force you. response:	No, please teach me.
context: I'm giving him a warning!\Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay.\People may even die.\What?!\So you need to be prepared for that much.\If you don't want to do it, I won't force you.\No, please teach me. response:	Fakir...
context: Don't take Drosselmeyer's power lightly.\If you use it the wrong way, there will be hell to pay.\People may even die.\What?!\So you need to be prepared for that much.\If you don't want to do it, I won't force you.\No, please teach me.\Fakir... response:	Wise choice.
context: If you use it the wrong way, there will be hell to pay.\People may even die.\What?!\So you need to be prepared for that much.\If you don't want to do it, I won't force you.\No, please teach me.\Fakir...\Wise choice. response:	Come to my house tomorrow. I'll be waiting for you, Fakir-kun.
context: People may even die.\What?!\So you need to be prepared for that much.\If you don't want to do it, I won't force you.\No, please teach me.\Fakir...\Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun. response:	He's awakened.
context: What?!\So you need to be prepared for that much.\If you don't want to do it, I won't force you.\No, please teach me.\Fakir...\Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened. response:	This is dangerous.
context: So you need to be prepared for that much.\If you don't want to do it, I won't force you.\No, please teach me.\Fakir...\Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened.\This is dangerous. response:	We must take steps.
context: If you don't want to do it, I won't force you.\No, please teach me.\Fakir...\Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened.\This is dangerous.\We must take steps. response:	Then let us kill him.
context: No, please teach me.\Fakir...\Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened.\This is dangerous.\We must take steps.\Then let us kill him. response:	Now, now, wait.
context: Fakir...\Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened.\This is dangerous.\We must take steps.\Then let us kill him.\Now, now, wait. response:	Certainly, it seems he's gained the knowledge, but that's all.
context: Wise choice.\Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened.\This is dangerous.\We must take steps.\Then let us kill him.\Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all. response:	It wouldn't be a bad thing for us to watch for a little longer.
context: Come to my house tomorrow. I'll be waiting for you, Fakir-kun.\He's awakened.\This is dangerous.\We must take steps.\Then let us kill him.\Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer. response:	After all, nothing could be better than if this matter settled itself without mishap.
context: He's awakened.\This is dangerous.\We must take steps.\Then let us kill him.\Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap. response:	But...
context: This is dangerous.\We must take steps.\Then let us kill him.\Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap.\But... response:	If necessary, we'll take steps.
context: We must take steps.\Then let us kill him.\Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap.\But...\If necessary, we'll take steps. response:	If the time comes when it's necessary to do so.
context: Then let us kill him.\Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap.\But...\If necessary, we'll take steps.\If the time comes when it's necessary to do so. response:	Oh, dear, they've finally begun to go into action.
context: Now, now, wait.\Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap.\But...\If necessary, we'll take steps.\If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action. response:	If they do that, the story will stop!
context: Certainly, it seems he's gained the knowledge, but that's all.\It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap.\But...\If necessary, we'll take steps.\If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action.\If they do that, the story will stop! response:	This is bad! This is very bad, Little Duck!
context: It wouldn't be a bad thing for us to watch for a little longer.\After all, nothing could be better than if this matter settled itself without mishap.\But...\If necessary, we'll take steps.\If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action.\If they do that, the story will stop!\This is bad! This is very bad, Little Duck! response:	You know, Fakir, I've decided to help you.
context: After all, nothing could be better than if this matter settled itself without mishap.\But...\If necessary, we'll take steps.\If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action.\If they do that, the story will stop!\This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you. response:	Huh?
context: But...\If necessary, we'll take steps.\If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action.\If they do that, the story will stop!\This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you.\Huh? response:	Because that's the only thing I can do right now.
context: If necessary, we'll take steps.\If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action.\If they do that, the story will stop!\This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you.\Huh?\Because that's the only thing I can do right now. response:	So I'm going to do what I can with all I've got!
context: If the time comes when it's necessary to do so.\Oh, dear, they've finally begun to go into action.\If they do that, the story will stop!\This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you.\Huh?\Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got! response:	If there's something I can help you with, tell me, no matter what it is!
context: Oh, dear, they've finally begun to go into action.\If they do that, the story will stop!\This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you.\Huh?\Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is! response:	But isn't there something weird about that Autor guy?
context: If they do that, the story will stop!\This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you.\Huh?\Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy? response:	I wonder if things will be okay...
context: This is bad! This is very bad, Little Duck!\You know, Fakir, I've decided to help you.\Huh?\Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy?\I wonder if things will be okay... response:	He may be weird, but right now, we have no choice but to believe in him.
context: You know, Fakir, I've decided to help you.\Huh?\Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy?\I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him. response:	No entourage.
context: Huh?\Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy?\I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him.\No entourage. response:	What? Do you mean me, Autor-san? I...
context: Because that's the only thing I can do right now.\So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy?\I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him.\No entourage.\What? Do you mean me, Autor-san? I... response:	Don't make me repeat myself.
context: So I'm going to do what I can with all I've got!\If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy?\I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him.\No entourage.\What? Do you mean me, Autor-san? I...\Don't make me repeat myself. response:	Things relating to Drosselmeyer are gathered inside this house.
context: If there's something I can help you with, tell me, no matter what it is!\But isn't there something weird about that Autor guy?\I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him.\No entourage.\What? Do you mean me, Autor-san? I...\Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house. response:	It's a holy place.
context: But isn't there something weird about that Autor guy?\I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him.\No entourage.\What? Do you mean me, Autor-san? I...\Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house.\It's a holy place. response:	Are you the weird Autor zura?
context: I wonder if things will be okay...\He may be weird, but right now, we have no choice but to believe in him.\No entourage.\What? Do you mean me, Autor-san? I...\Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house.\It's a holy place.\Are you the weird Autor zura? response:	People like you two who are totally unrelated aren't allowed inside!
context: He may be weird, but right now, we have no choice but to believe in him.\No entourage.\What? Do you mean me, Autor-san? I...\Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house.\It's a holy place.\Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside! response:	Now, come, Fakir.
context: No entourage.\What? Do you mean me, Autor-san? I...\Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house.\It's a holy place.\Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir. response:	Unrelated?
context: What? Do you mean me, Autor-san? I...\Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house.\It's a holy place.\Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir.\Unrelated? response:	Take Uzura and go home, all right?
context: Don't make me repeat myself.\Things relating to Drosselmeyer are gathered inside this house.\It's a holy place.\Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir.\Unrelated?\Take Uzura and go home, all right? response:	Okay.
context: Things relating to Drosselmeyer are gathered inside this house.\It's a holy place.\Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir.\Unrelated?\Take Uzura and go home, all right?\Okay. response:	Good luck.
context: It's a holy place.\Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir.\Unrelated?\Take Uzura and go home, all right?\Okay.\Good luck. response:	This is Drosselmeyer's study, perfectly recreated from data I gathered.
context: Are you the weird Autor zura?\People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir.\Unrelated?\Take Uzura and go home, all right?\Okay.\Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered. response:	The paper is made from 10-year-old reeds.
context: People like you two who are totally unrelated aren't allowed inside!\Now, come, Fakir.\Unrelated?\Take Uzura and go home, all right?\Okay.\Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds. response:	The ink is blue and black, with a ratio of seven to three.
context: Now, come, Fakir.\Unrelated?\Take Uzura and go home, all right?\Okay.\Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three. response:	The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.
context: Unrelated?\Take Uzura and go home, all right?\Okay.\Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather. response:	So...
context: Take Uzura and go home, all right?\Okay.\Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So... response:	What was that for?
context: Okay.\Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So...\What was that for? response:	Ritual purification.
context: Good luck.\This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So...\What was that for?\Ritual purification. response:	They say Drosselmeyer always cleansed his body with water before he wrote his stories.
context: This is Drosselmeyer's study, perfectly recreated from data I gathered.\The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So...\What was that for?\Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories. response:	Didn't you know?
context: The paper is made from 10-year-old reeds.\The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So...\What was that for?\Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know? response:	Why should I?
context: The ink is blue and black, with a ratio of seven to three.\The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So...\What was that for?\Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know?\Why should I? response:	You're a direct descendant of Drosselmeyer's, and this is your level?
context: The feather of a white swan that's crossed the sea three times is best for the pen, it's acceptable to substitute a duck's feather.\So...\What was that for?\Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know?\Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level? response:	A direct descendent of Drosselmeyer?
context: So...\What was that for?\Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know?\Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer? response:	Hey, now, you're not going to say you didn't know that either, are you?
context: What was that for?\Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know?\Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you? response:	It's a fact about yourself.
context: Ritual purification.\They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know?\Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself. response:	You appall me.
context: They say Drosselmeyer always cleansed his body with water before he wrote his stories.\Didn't you know?\Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself.\You appall me. response:	This is a Drosselmeyer family tree I drew after doing my own research.
context: Didn't you know?\Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself.\You appall me.\This is a Drosselmeyer family tree I drew after doing my own research. response:	Look. Drosselmeyer is here. And you are here.
context: Why should I?\You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself.\You appall me.\This is a Drosselmeyer family tree I drew after doing my own research.\Look. Drosselmeyer is here. And you are here. response:	I believe I'm probably connected this way from this branch, but I don't have all the evidence yet.
context: You're a direct descendant of Drosselmeyer's, and this is your level?\A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself.\You appall me.\This is a Drosselmeyer family tree I drew after doing my own research.\Look. Drosselmeyer is here. And you are here.\I believe I'm probably connected this way from this branch, but I don't have all the evidence yet. response:	But the one who helped my father when he was lost as a boy is this person written here, I know that much.
context: A direct descendent of Drosselmeyer?\Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself.\You appall me.\This is a Drosselmeyer family tree I drew after doing my own research.\Look. Drosselmeyer is here. And you are here.\I believe I'm probably connected this way from this branch, but I don't have all the evidence yet.\But the one who helped my father when he was lost as a boy is this person written here, I know that much. response:	I have Drosselmeyer's blood...
context: Hey, now, you're not going to say you didn't know that either, are you?\It's a fact about yourself.\You appall me.\This is a Drosselmeyer family tree I drew after doing my own research.\Look. Drosselmeyer is here. And you are here.\I believe I'm probably connected this way from this branch, but I don't have all the evidence yet.\But the one who helped my father when he was lost as a boy is this person written here, I know that much.\I have Drosselmeyer's blood... response:	Does that mean those books missing their endings are things Drosselmeyer wrote?
context: It's a fact about yourself.\You appall me.\This is a Drosselmeyer family tree I drew after doing my own research.\Look. Drosselmeyer is here. And you are here.\I believe I'm probably connected this way from this branch, but I don't have all the evidence yet.\But the one who helped my father when he was lost as a boy is this person written here, I know that much.\I have Drosselmeyer's blood...\Does that mean those books missing their endings are things Drosselmeyer wrote? response:	The fact that I saw one of those endings is...
context: You appall me.\This is a Drosselmeyer family tree I drew after doing my own research.\Look. Drosselmeyer is here. And you are here.\I believe I'm probably connected this way from this branch, but I don't have all the evidence yet.\But the one who helped my father when he was lost as a boy is this person written here, I know that much.\I have Drosselmeyer's blood...\Does that mean those books missing their endings are things Drosselmeyer wrote?\The fact that I saw one of those endings is... response:	Fakir hasn't come back from Autor's house since then.
