context: Mitaka Jin response:	Letter of Exam Success
context: I'll go back and get her!\Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right?\Who knows? I can't look after them all the time.\If you'll excuse me...\Jin-san!\What's wrong?\Mashiro-chan, that's some face you're pulling. response:	Could you come with us for a bit?
context: Thanks! I'll keep Jin-san from leaving!\Do you think it'll be all right?\Who knows? I can't look after them all the time.\If you'll excuse me...\Jin-san!\What's wrong?\Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit? response:	It's forbidden love.
context: Do you think it'll be all right?\Who knows? I can't look after them all the time.\If you'll excuse me...\Jin-san!\What's wrong?\Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit?\It's forbidden love. response:	Fine, fine. Do whatever you want with me.
context: Who knows? I can't look after them all the time.\If you'll excuse me...\Jin-san!\What's wrong?\Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit?\It's forbidden love.\Fine, fine. Do whatever you want with me. response:	Why did you bring me here?
context: If you'll excuse me...\Jin-san!\What's wrong?\Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit?\It's forbidden love.\Fine, fine. Do whatever you want with me.\Why did you bring me here? response:	You're not actually confessing your love to me, are you?
context: Jin-san!\What's wrong?\Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit?\It's forbidden love.\Fine, fine. Do whatever you want with me.\Why did you bring me here?\You're not actually confessing your love to me, are you? response:	It's about Misaki-senpai.
context: What's wrong?\Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit?\It's forbidden love.\Fine, fine. Do whatever you want with me.\Why did you bring me here?\You're not actually confessing your love to me, are you?\It's about Misaki-senpai. response:	How has she been lately?
context: Mashiro-chan, that's some face you're pulling.\Could you come with us for a bit?\It's forbidden love.\Fine, fine. Do whatever you want with me.\Why did you bring me here?\You're not actually confessing your love to me, are you?\It's about Misaki-senpai.\How has she been lately? response:	She's making an animation.
context: Could you come with us for a bit?\It's forbidden love.\Fine, fine. Do whatever you want with me.\Why did you bring me here?\You're not actually confessing your love to me, are you?\It's about Misaki-senpai.\How has she been lately?\She's making an animation. response:	That's what she should be doing.
context: It's forbidden love.\Fine, fine. Do whatever you want with me.\Why did you bring me here?\You're not actually confessing your love to me, are you?\It's about Misaki-senpai.\How has she been lately?\She's making an animation.\That's what she should be doing. response:	She'll forget about me soon enough.
context: Fine, fine. Do whatever you want with me.\Why did you bring me here?\You're not actually confessing your love to me, are you?\It's about Misaki-senpai.\How has she been lately?\She's making an animation.\That's what she should be doing.\She'll forget about me soon enough. response:	Are you serious?
context: Why did you bring me here?\You're not actually confessing your love to me, are you?\It's about Misaki-senpai.\How has she been lately?\She's making an animation.\That's what she should be doing.\She'll forget about me soon enough.\Are you serious? response:	Would it be better if I said I was joking?
context: You're not actually confessing your love to me, are you?\It's about Misaki-senpai.\How has she been lately?\She's making an animation.\That's what she should be doing.\She'll forget about me soon enough.\Are you serious?\Would it be better if I said I was joking? response:	Of course not.
context: It's about Misaki-senpai.\How has she been lately?\She's making an animation.\That's what she should be doing.\She'll forget about me soon enough.\Are you serious?\Would it be better if I said I was joking?\Of course not. response:	I'm going to Osaka.
context: How has she been lately?\She's making an animation.\That's what she should be doing.\She'll forget about me soon enough.\Are you serious?\Would it be better if I said I was joking?\Of course not.\I'm going to Osaka. response:	Please talk to Misaki-senpai!
context: She's making an animation.\That's what she should be doing.\She'll forget about me soon enough.\Are you serious?\Would it be better if I said I was joking?\Of course not.\I'm going to Osaka.\Please talk to Misaki-senpai! response:	I can't date Misaki.
context: That's what she should be doing.\She'll forget about me soon enough.\Are you serious?\Would it be better if I said I was joking?\Of course not.\I'm going to Osaka.\Please talk to Misaki-senpai!\I can't date Misaki. response:	Jin-san!
context: She'll forget about me soon enough.\Are you serious?\Would it be better if I said I was joking?\Of course not.\I'm going to Osaka.\Please talk to Misaki-senpai!\I can't date Misaki.\Jin-san! response:	What else am I supposed to say?
context: Are you serious?\Would it be better if I said I was joking?\Of course not.\I'm going to Osaka.\Please talk to Misaki-senpai!\I can't date Misaki.\Jin-san!\What else am I supposed to say? response:	You're not acting like your usual self.
context: Would it be better if I said I was joking?\Of course not.\I'm going to Osaka.\Please talk to Misaki-senpai!\I can't date Misaki.\Jin-san!\What else am I supposed to say?\You're not acting like your usual self. response:	And what's my usual self?
context: Of course not.\I'm going to Osaka.\Please talk to Misaki-senpai!\I can't date Misaki.\Jin-san!\What else am I supposed to say?\You're not acting like your usual self.\And what's my usual self? response:	Always cool, always smart, capable of anything,
context: I'm going to Osaka.\Please talk to Misaki-senpai!\I can't date Misaki.\Jin-san!\What else am I supposed to say?\You're not acting like your usual self.\And what's my usual self?\Always cool, always smart, capable of anything, response:	mature, dependable, and always gives me advice.
context: Please talk to Misaki-senpai!\I can't date Misaki.\Jin-san!\What else am I supposed to say?\You're not acting like your usual self.\And what's my usual self?\Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice. response:	That's the person I expect you to be!
context: I can't date Misaki.\Jin-san!\What else am I supposed to say?\You're not acting like your usual self.\And what's my usual self?\Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice.\That's the person I expect you to be! response:	You're mistaken. Give it up.
context: Jin-san!\What else am I supposed to say?\You're not acting like your usual self.\And what's my usual self?\Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice.\That's the person I expect you to be!\You're mistaken. Give it up. response:	I can't give up!
context: What else am I supposed to say?\You're not acting like your usual self.\And what's my usual self?\Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice.\That's the person I expect you to be!\You're mistaken. Give it up.\I can't give up! response:	How can you think I'd give up on you and Misaki-senpai?
context: You're not acting like your usual self.\And what's my usual self?\Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice.\That's the person I expect you to be!\You're mistaken. Give it up.\I can't give up!\How can you think I'd give up on you and Misaki-senpai? response:	Don't be ridiculous!
context: And what's my usual self?\Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice.\That's the person I expect you to be!\You're mistaken. Give it up.\I can't give up!\How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous! response:	What if someone takes Misaki-senpai away from you?
context: Always cool, always smart, capable of anything,\mature, dependable, and always gives me advice.\That's the person I expect you to be!\You're mistaken. Give it up.\I can't give up!\How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous!\What if someone takes Misaki-senpai away from you? response:	Let go.
context: mature, dependable, and always gives me advice.\That's the person I expect you to be!\You're mistaken. Give it up.\I can't give up!\How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous!\What if someone takes Misaki-senpai away from you?\Let go. response:	What if they start dating?
context: That's the person I expect you to be!\You're mistaken. Give it up.\I can't give up!\How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous!\What if someone takes Misaki-senpai away from you?\Let go.\What if they start dating? response:	Let go.
context: You're mistaken. Give it up.\I can't give up!\How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous!\What if someone takes Misaki-senpai away from you?\Let go.\What if they start dating?\Let go. response:	I'm asking you whether you'd mind...
context: I can't give up!\How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous!\What if someone takes Misaki-senpai away from you?\Let go.\What if they start dating?\Let go.\I'm asking you whether you'd mind... response:	if Misaki-senpai gave all of her being to another man!
context: How can you think I'd give up on you and Misaki-senpai?\Don't be ridiculous!\What if someone takes Misaki-senpai away from you?\Let go.\What if they start dating?\Let go.\I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man! response:	Do you understand?
context: Don't be ridiculous!\What if someone takes Misaki-senpai away from you?\Let go.\What if they start dating?\Let go.\I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man!\Do you understand? response:	Don't think you can say whatever you like!
context: What if someone takes Misaki-senpai away from you?\Let go.\What if they start dating?\Let go.\I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man!\Do you understand?\Don't think you can say whatever you like! response:	You're the one making me say it!
context: Let go.\What if they start dating?\Let go.\I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man!\Do you understand?\Don't think you can say whatever you like!\You're the one making me say it! response:	That hurt!
context: What if they start dating?\Let go.\I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man!\Do you understand?\Don't think you can say whatever you like!\You're the one making me say it!\That hurt! response:	Smart, mature, and dependable? Who are you talking about?
context: Let go.\I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man!\Do you understand?\Don't think you can say whatever you like!\You're the one making me say it!\That hurt!\Smart, mature, and dependable? Who are you talking about? response:	I couldn't take any more!
context: I'm asking you whether you'd mind...\if Misaki-senpai gave all of her being to another man!\Do you understand?\Don't think you can say whatever you like!\You're the one making me say it!\That hurt!\Smart, mature, and dependable? Who are you talking about?\I couldn't take any more! response:	I didn't even know if I'd get into college!
context: if Misaki-senpai gave all of her being to another man!\Do you understand?\Don't think you can say whatever you like!\You're the one making me say it!\That hurt!\Smart, mature, and dependable? Who are you talking about?\I couldn't take any more!\I didn't even know if I'd get into college! response:	I couldn't focus on anything because of Misaki!
context: Do you understand?\Don't think you can say whatever you like!\You're the one making me say it!\That hurt!\Smart, mature, and dependable? Who are you talking about?\I couldn't take any more!\I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki! response:	It's not easy for me to confess my feelings to Misaki!
context: Don't think you can say whatever you like!\You're the one making me say it!\That hurt!\Smart, mature, and dependable? Who are you talking about?\I couldn't take any more!\I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki! response:	I need to be prepared to spend the rest of my life with her!
context: You're the one making me say it!\That hurt!\Smart, mature, and dependable? Who are you talking about?\I couldn't take any more!\I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her! response:	How can you say that when you've always been ready?
context: That hurt!\Smart, mature, and dependable? Who are you talking about?\I couldn't take any more!\I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready? response:	Sorata, are you alive?
context: Smart, mature, and dependable? Who are you talking about?\I couldn't take any more!\I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready?\Sorata, are you alive? response:	I feel like I'm dying.
context: I couldn't take any more!\I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready?\Sorata, are you alive?\I feel like I'm dying. response:	Listen, Shiina...
context: I didn't even know if I'd get into college!\I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready?\Sorata, are you alive?\I feel like I'm dying.\Listen, Shiina... response:	What?
context: I couldn't focus on anything because of Misaki!\It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready?\Sorata, are you alive?\I feel like I'm dying.\Listen, Shiina...\What? response:	I can almost see your panties.
context: It's not easy for me to confess my feelings to Misaki!\I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready?\Sorata, are you alive?\I feel like I'm dying.\Listen, Shiina...\What?\I can almost see your panties. response:	Don't look.
context: I need to be prepared to spend the rest of my life with her!\How can you say that when you've always been ready?\Sorata, are you alive?\I feel like I'm dying.\Listen, Shiina...\What?\I can almost see your panties.\Don't look. response:	You've grown up a bit if you're shamelessly looking up girls' skirts now.
context: How can you say that when you've always been ready?\Sorata, are you alive?\I feel like I'm dying.\Listen, Shiina...\What?\I can almost see your panties.\Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now. response:	Jin-san.
context: Sorata, are you alive?\I feel like I'm dying.\Listen, Shiina...\What?\I can almost see your panties.\Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san. response:	What?
context: I feel like I'm dying.\Listen, Shiina...\What?\I can almost see your panties.\Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san.\What? response:	Why don't you stop this if you like her so much?
context: Listen, Shiina...\What?\I can almost see your panties.\Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san.\What?\Why don't you stop this if you like her so much? response:	Please go out with Misaki-senpai.
context: What?\I can almost see your panties.\Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san.\What?\Why don't you stop this if you like her so much?\Please go out with Misaki-senpai. response:	Haven't you been listening to me?
context: I can almost see your panties.\Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san.\What?\Why don't you stop this if you like her so much?\Please go out with Misaki-senpai.\Haven't you been listening to me? response:	Misaki will be here soon.
context: Don't look.\You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san.\What?\Why don't you stop this if you like her so much?\Please go out with Misaki-senpai.\Haven't you been listening to me?\Misaki will be here soon. response:	Aoyama went to get her. So, please...
context: You've grown up a bit if you're shamelessly looking up girls' skirts now.\Jin-san.\What?\Why don't you stop this if you like her so much?\Please go out with Misaki-senpai.\Haven't you been listening to me?\Misaki will be here soon.\Aoyama went to get her. So, please... response:	She won't come.
context: Jin-san.\What?\Why don't you stop this if you like her so much?\Please go out with Misaki-senpai.\Haven't you been listening to me?\Misaki will be here soon.\Aoyama went to get her. So, please...\She won't come. response:	What?
context: What?\Why don't you stop this if you like her so much?\Please go out with Misaki-senpai.\Haven't you been listening to me?\Misaki will be here soon.\Aoyama went to get her. So, please...\She won't come.\What? response:	She won't come.
context: Why don't you stop this if you like her so much?\Please go out with Misaki-senpai.\Haven't you been listening to me?\Misaki will be here soon.\Aoyama went to get her. So, please...\She won't come.\What?\She won't come. response:	Kamiigusa-senpai!
context: Please go out with Misaki-senpai.\Haven't you been listening to me?\Misaki will be here soon.\Aoyama went to get her. So, please...\She won't come.\What?\She won't come.\Kamiigusa-senpai! response:	You're full of energy, Nanamin.
context: Haven't you been listening to me?\Misaki will be here soon.\Aoyama went to get her. So, please...\She won't come.\What?\She won't come.\Kamiigusa-senpai!\You're full of energy, Nanamin. response:	Mitaka-senpai's at school right now!
context: Misaki will be here soon.\Aoyama went to get her. So, please...\She won't come.\What?\She won't come.\Kamiigusa-senpai!\You're full of energy, Nanamin.\Mitaka-senpai's at school right now! response:	Come with me!
context: Aoyama went to get her. So, please...\She won't come.\What?\She won't come.\Kamiigusa-senpai!\You're full of energy, Nanamin.\Mitaka-senpai's at school right now!\Come with me! response:	I'm not going.
context: She won't come.\What?\She won't come.\Kamiigusa-senpai!\You're full of energy, Nanamin.\Mitaka-senpai's at school right now!\Come with me!\I'm not going. response:	What? Senpai...
context: What?\She won't come.\Kamiigusa-senpai!\You're full of energy, Nanamin.\Mitaka-senpai's at school right now!\Come with me!\I'm not going.\What? Senpai... response:	Why not?
context: She won't come.\Kamiigusa-senpai!\You're full of energy, Nanamin.\Mitaka-senpai's at school right now!\Come with me!\I'm not going.\What? Senpai...\Why not? response:	Because I'm finishing this right now.
context: Kamiigusa-senpai!\You're full of energy, Nanamin.\Mitaka-senpai's at school right now!\Come with me!\I'm not going.\What? Senpai...\Why not?\Because I'm finishing this right now. response:	Let's do it! I'm gonna do it!
context: You're full of energy, Nanamin.\Mitaka-senpai's at school right now!\Come with me!\I'm not going.\What? Senpai...\Why not?\Because I'm finishing this right now.\Let's do it! I'm gonna do it! response:	Are you sure, Kamiigusa-senpai?
context: Mitaka-senpai's at school right now!\Come with me!\I'm not going.\What? Senpai...\Why not?\Because I'm finishing this right now.\Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai? response:	I'm sure.
context: Come with me!\I'm not going.\What? Senpai...\Why not?\Because I'm finishing this right now.\Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai?\I'm sure. response:	You're lying.
context: I'm not going.\What? Senpai...\Why not?\Because I'm finishing this right now.\Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai?\I'm sure.\You're lying. response:	You're the one who taught me not to hold my feelings in!
context: What? Senpai...\Why not?\Because I'm finishing this right now.\Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai?\I'm sure.\You're lying.\You're the one who taught me not to hold my feelings in! response:	That's why I did my best.
context: Why not?\Because I'm finishing this right now.\Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai?\I'm sure.\You're lying.\You're the one who taught me not to hold my feelings in!\That's why I did my best. response:	Senpai, are you going to do another...
context: Because I'm finishing this right now.\Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai?\I'm sure.\You're lying.\You're the one who taught me not to hold my feelings in!\That's why I did my best.\Senpai, are you going to do another... response:	hundred laps around that same circle?
context: Let's do it! I'm gonna do it!\Are you sure, Kamiigusa-senpai?\I'm sure.\You're lying.\You're the one who taught me not to hold my feelings in!\That's why I did my best.\Senpai, are you going to do another...\hundred laps around that same circle? response:	I don't want to either,
context: Are you sure, Kamiigusa-senpai?\I'm sure.\You're lying.\You're the one who taught me not to hold my feelings in!\That's why I did my best.\Senpai, are you going to do another...\hundred laps around that same circle?\I don't want to either, response:	but...
context: I'm sure.\You're lying.\You're the one who taught me not to hold my feelings in!\That's why I did my best.\Senpai, are you going to do another...\hundred laps around that same circle?\I don't want to either,\but... response:	Misaki-chan, you're amazing!
context: You're lying.\You're the one who taught me not to hold my feelings in!\That's why I did my best.\Senpai, are you going to do another...\hundred laps around that same circle?\I don't want to either,\but...\Misaki-chan, you're amazing! response:	Jin, look!
context: You're the one who taught me not to hold my feelings in!\That's why I did my best.\Senpai, are you going to do another...\hundred laps around that same circle?\I don't want to either,\but...\Misaki-chan, you're amazing!\Jin, look! response:	I was always with Jin.
context: That's why I did my best.\Senpai, are you going to do another...\hundred laps around that same circle?\I don't want to either,\but...\Misaki-chan, you're amazing!\Jin, look!\I was always with Jin. response:	It's snow! It's a fight!
context: Senpai, are you going to do another...\hundred laps around that same circle?\I don't want to either,\but...\Misaki-chan, you're amazing!\Jin, look!\I was always with Jin.\It's snow! It's a fight! response:	It's a snowball fight!
context: hundred laps around that same circle?\I don't want to either,\but...\Misaki-chan, you're amazing!\Jin, look!\I was always with Jin.\It's snow! It's a fight!\It's a snowball fight! response:	Let's see who wants to play!
context: I don't want to either,\but...\Misaki-chan, you're amazing!\Jin, look!\I was always with Jin.\It's snow! It's a fight!\It's a snowball fight!\Let's see who wants to play! response:	I don't want to play if you're playing.
context: but...\Misaki-chan, you're amazing!\Jin, look!\I was always with Jin.\It's snow! It's a fight!\It's a snowball fight!\Let's see who wants to play!\I don't want to play if you're playing. response:	What? Why not?
context: Misaki-chan, you're amazing!\Jin, look!\I was always with Jin.\It's snow! It's a fight!\It's a snowball fight!\Let's see who wants to play!\I don't want to play if you're playing.\What? Why not? response:	Because we can't win.
context: Jin, look!\I was always with Jin.\It's snow! It's a fight!\It's a snowball fight!\Let's see who wants to play!\I don't want to play if you're playing.\What? Why not?\Because we can't win. response:	Yeah.
context: I was always with Jin.\It's snow! It's a fight!\It's a snowball fight!\Let's see who wants to play!\I don't want to play if you're playing.\What? Why not?\Because we can't win.\Yeah. response:	We'll beat Misaki today!
context: It's snow! It's a fight!\It's a snowball fight!\Let's see who wants to play!\I don't want to play if you're playing.\What? Why not?\Because we can't win.\Yeah.\We'll beat Misaki today! response:	Our pride depends on it!
context: It's a snowball fight!\Let's see who wants to play!\I don't want to play if you're playing.\What? Why not?\Because we can't win.\Yeah.\We'll beat Misaki today!\Our pride depends on it! response:	I thought Jin would always be by my side.
context: Let's see who wants to play!\I don't want to play if you're playing.\What? Why not?\Because we can't win.\Yeah.\We'll beat Misaki today!\Our pride depends on it!\I thought Jin would always be by my side. response:	Jin, it's morning! Wake up!
context: I don't want to play if you're playing.\What? Why not?\Because we can't win.\Yeah.\We'll beat Misaki today!\Our pride depends on it!\I thought Jin would always be by my side.\Jin, it's morning! Wake up! response:	If you don't get up, I'm giving you a good morning kiss!
context: What? Why not?\Because we can't win.\Yeah.\We'll beat Misaki today!\Our pride depends on it!\I thought Jin would always be by my side.\Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss! response:	Okay, okay. Good morning.
context: Because we can't win.\Yeah.\We'll beat Misaki today!\Our pride depends on it!\I thought Jin would always be by my side.\Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning. response:	Hey, how do I look?
context: Yeah.\We'll beat Misaki today!\Our pride depends on it!\I thought Jin would always be by my side.\Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning.\Hey, how do I look? response:	Don't do that outside.
context: We'll beat Misaki today!\Our pride depends on it!\I thought Jin would always be by my side.\Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning.\Hey, how do I look?\Don't do that outside. response:	Why not?
context: Our pride depends on it!\I thought Jin would always be by my side.\Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning.\Hey, how do I look?\Don't do that outside.\Why not? response:	Because he doesn't want other people to see you.
context: I thought Jin would always be by my side.\Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning.\Hey, how do I look?\Don't do that outside.\Why not?\Because he doesn't want other people to see you. response:	Fuuka.
context: Jin, it's morning! Wake up!\If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning.\Hey, how do I look?\Don't do that outside.\Why not?\Because he doesn't want other people to see you.\Fuuka. response:	Misaki, let's take a picture.
context: If you don't get up, I'm giving you a good morning kiss!\Okay, okay. Good morning.\Hey, how do I look?\Don't do that outside.\Why not?\Because he doesn't want other people to see you.\Fuuka.\Misaki, let's take a picture. response:	Come here.
context: Okay, okay. Good morning.\Hey, how do I look?\Don't do that outside.\Why not?\Because he doesn't want other people to see you.\Fuuka.\Misaki, let's take a picture.\Come here. response:	Got it.
context: Hey, how do I look?\Don't do that outside.\Why not?\Because he doesn't want other people to see you.\Fuuka.\Misaki, let's take a picture.\Come here.\Got it. response:	Our parents get so excited over everything Misaki does.
context: Don't do that outside.\Why not?\Because he doesn't want other people to see you.\Fuuka.\Misaki, let's take a picture.\Come here.\Got it.\Our parents get so excited over everything Misaki does. response:	And as her older sister, you're not happy about it.
context: Why not?\Because he doesn't want other people to see you.\Fuuka.\Misaki, let's take a picture.\Come here.\Got it.\Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it. response:	They even bought a new camera.
context: Because he doesn't want other people to see you.\Fuuka.\Misaki, let's take a picture.\Come here.\Got it.\Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it.\They even bought a new camera. response:	Anyway, aren't you going to change?
context: Fuuka.\Misaki, let's take a picture.\Come here.\Got it.\Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it.\They even bought a new camera.\Anyway, aren't you going to change? response:	I was waiting for you to leave.
context: Misaki, let's take a picture.\Come here.\Got it.\Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it.\They even bought a new camera.\Anyway, aren't you going to change?\I was waiting for you to leave. response:	How cheeky of you to worry about me.
context: Come here.\Got it.\Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it.\They even bought a new camera.\Anyway, aren't you going to change?\I was waiting for you to leave.\How cheeky of you to worry about me. response:	What are you talking about?
context: Got it.\Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it.\They even bought a new camera.\Anyway, aren't you going to change?\I was waiting for you to leave.\How cheeky of you to worry about me.\What are you talking about? response:	Jin, hurry.
context: Our parents get so excited over everything Misaki does.\And as her older sister, you're not happy about it.\They even bought a new camera.\Anyway, aren't you going to change?\I was waiting for you to leave.\How cheeky of you to worry about me.\What are you talking about?\Jin, hurry. response:	I wonder whether...
context: And as her older sister, you're not happy about it.\They even bought a new camera.\Anyway, aren't you going to change?\I was waiting for you to leave.\How cheeky of you to worry about me.\What are you talking about?\Jin, hurry.\I wonder whether... response:	it would have been better if I'd realized how I felt sooner.
context: They even bought a new camera.\Anyway, aren't you going to change?\I was waiting for you to leave.\How cheeky of you to worry about me.\What are you talking about?\Jin, hurry.\I wonder whether...\it would have been better if I'd realized how I felt sooner. response:	We've finished our first semester!
context: Anyway, aren't you going to change?\I was waiting for you to leave.\How cheeky of you to worry about me.\What are you talking about?\Jin, hurry.\I wonder whether...\it would have been better if I'd realized how I felt sooner.\We've finished our first semester! response:	Yahoo!
context: I was waiting for you to leave.\How cheeky of you to worry about me.\What are you talking about?\Jin, hurry.\I wonder whether...\it would have been better if I'd realized how I felt sooner.\We've finished our first semester!\Yahoo! response:	Look. How embarrassing.
context: How cheeky of you to worry about me.\What are you talking about?\Jin, hurry.\I wonder whether...\it would have been better if I'd realized how I felt sooner.\We've finished our first semester!\Yahoo!\Look. How embarrassing. response:	I can't get my head around the fact she's a brainiac.
context: What are you talking about?\Jin, hurry.\I wonder whether...\it would have been better if I'd realized how I felt sooner.\We've finished our first semester!\Yahoo!\Look. How embarrassing.\I can't get my head around the fact she's a brainiac. response:	Exam Results
context: Jin, hurry.\I wonder whether...\it would have been better if I'd realized how I felt sooner.\We've finished our first semester!\Yahoo!\Look. How embarrassing.\I can't get my head around the fact she's a brainiac.\Exam Results response:	Mitaka-kun, are you going home already?
context: I wonder whether...\it would have been better if I'd realized how I felt sooner.\We've finished our first semester!\Yahoo!\Look. How embarrassing.\I can't get my head around the fact she's a brainiac.\Exam Results\Mitaka-kun, are you going home already? response:	We're off to sing karaoke. Do you want to join us?
context: it would have been better if I'd realized how I felt sooner.\We've finished our first semester!\Yahoo!\Look. How embarrassing.\I can't get my head around the fact she's a brainiac.\Exam Results\Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us? response:	Some other girls from our class are coming.
context: We've finished our first semester!\Yahoo!\Look. How embarrassing.\I can't get my head around the fact she's a brainiac.\Exam Results\Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming. response:	Is there anyone cuter than her?
context: Yahoo!\Look. How embarrassing.\I can't get my head around the fact she's a brainiac.\Exam Results\Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming.\Is there anyone cuter than her? response:	What?
context: Look. How embarrassing.\I can't get my head around the fact she's a brainiac.\Exam Results\Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming.\Is there anyone cuter than her?\What? response:	I said I've got something I have to do today.
context: I can't get my head around the fact she's a brainiac.\Exam Results\Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming.\Is there anyone cuter than her?\What?\I said I've got something I have to do today. response:	You're no fun.
context: Exam Results\Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming.\Is there anyone cuter than her?\What?\I said I've got something I have to do today.\You're no fun. response:	Next time, then. Promise?
context: Mitaka-kun, are you going home already?\We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming.\Is there anyone cuter than her?\What?\I said I've got something I have to do today.\You're no fun.\Next time, then. Promise? response:	She's kinda sexy, isn't she?
context: We're off to sing karaoke. Do you want to join us?\Some other girls from our class are coming.\Is there anyone cuter than her?\What?\I said I've got something I have to do today.\You're no fun.\Next time, then. Promise?\She's kinda sexy, isn't she? response:	Her personality's beyond belief, though.
context: Some other girls from our class are coming.\Is there anyone cuter than her?\What?\I said I've got something I have to do today.\You're no fun.\Next time, then. Promise?\She's kinda sexy, isn't she?\Her personality's beyond belief, though. response:	I wonder if she'd let me
