context: Iread your letter. response:	You're really going, then?
context: We still have second class tickets.\Second... class?\If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York.\What'll it be?\Well, that will have to do.\Round-trip? response:	No... one way.
context: Second... class?\If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York.\What'll it be?\Well, that will have to do.\Round-trip?\No... one way. response:	Oranges, oranges!
context: If you'd have come just a bit earlier you might have gotten into third class.\It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York.\What'll it be?\Well, that will have to do.\Round-trip?\No... one way.\Oranges, oranges! response:	They're two for a penny!
context: It's only a difference of 5 or 6 shillings.\One first class round-trip ticket to York.\What'll it be?\Well, that will have to do.\Round-trip?\No... one way.\Oranges, oranges!\They're two for a penny! response:	Extra! Extra!
context: One first class round-trip ticket to York.\What'll it be?\Well, that will have to do.\Round-trip?\No... one way.\Oranges, oranges!\They're two for a penny!\Extra! Extra! response:	This is the engine of the Midland Railways...
context: What'll it be?\Well, that will have to do.\Round-trip?\No... one way.\Oranges, oranges!\They're two for a penny!\Extra! Extra!\This is the engine of the Midland Railways... response:	Really?
context: Well, that will have to do.\Round-trip?\No... one way.\Oranges, oranges!\They're two for a penny!\Extra! Extra!\This is the engine of the Midland Railways...\Really? response:	It's really, really fast. It can hit 50 miles an hour!
context: Round-trip?\No... one way.\Oranges, oranges!\They're two for a penny!\Extra! Extra!\This is the engine of the Midland Railways...\Really?\It's really, really fast. It can hit 50 miles an hour! response:	Hey now! You're not supposed to doodle there!
context: No... one way.\Oranges, oranges!\They're two for a penny!\Extra! Extra!\This is the engine of the Midland Railways...\Really?\It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there! response:	'Scuse me! Make way, please!
context: Oranges, oranges!\They're two for a penny!\Extra! Extra!\This is the engine of the Midland Railways...\Really?\It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please! response:	Luggage coming through!
context: They're two for a penny!\Extra! Extra!\This is the engine of the Midland Railways...\Really?\It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please!\Luggage coming through! response:	Oh, it seems we've got the wrong number.
context: Extra! Extra!\This is the engine of the Midland Railways...\Really?\It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please!\Luggage coming through!\Oh, it seems we've got the wrong number. response:	We still have time to change it, so please hurry back to the ticket window.
context: This is the engine of the Midland Railways...\Really?\It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please!\Luggage coming through!\Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window. response:	Oh!
context: Really?\It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please!\Luggage coming through!\Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window.\Oh! response:	I'm so sorry. I mistook you for someone else.
context: It's really, really fast. It can hit 50 miles an hour!\Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please!\Luggage coming through!\Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window.\Oh!\I'm so sorry. I mistook you for someone else. response:	It's all right.
context: Hey now! You're not supposed to doodle there!\'Scuse me! Make way, please!\Luggage coming through!\Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window.\Oh!\I'm so sorry. I mistook you for someone else.\It's all right. response:	Madam!
context: 'Scuse me! Make way, please!\Luggage coming through!\Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window.\Oh!\I'm so sorry. I mistook you for someone else.\It's all right.\Madam! response:	It's really crowded over there too!
context: Luggage coming through!\Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window.\Oh!\I'm so sorry. I mistook you for someone else.\It's all right.\Madam!\It's really crowded over there too! response:	Eh? You mistook her for me? Whatever shall I do with you, Madam?
context: Oh, it seems we've got the wrong number.\We still have time to change it, so please hurry back to the ticket window.\Oh!\I'm so sorry. I mistook you for someone else.\It's all right.\Madam!\It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam? response:	I wonder if you will notice this letter...
context: We still have time to change it, so please hurry back to the ticket window.\Oh!\I'm so sorry. I mistook you for someone else.\It's all right.\Madam!\It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter... response:	That we must part this way... it is my one regret.
context: Oh!\I'm so sorry. I mistook you for someone else.\It's all right.\Madam!\It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter...\That we must part this way... it is my one regret. response:	However, my heart now feels strangely peaceful and calm.
context: I'm so sorry. I mistook you for someone else.\It's all right.\Madam!\It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter...\That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm. response:	Even though our love crossed classes and was never meant to be,
context: It's all right.\Madam!\It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter...\That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be, response:	that our hearts have touched in this way...
context: Madam!\It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter...\That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way... response:	The memories we shared will stay with me, always.
context: It's really crowded over there too!\Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter...\That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way...\The memories we shared will stay with me, always. response:	No matter how far away I am, I will always pray for your happiness.
context: Eh? You mistook her for me? Whatever shall I do with you, Madam?\I wonder if you will notice this letter...\That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way...\The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness. response:	Um, please buy a flower.
context: I wonder if you will notice this letter...\That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way...\The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower. response:	How much is it?
context: That we must part this way... it is my one regret.\However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way...\The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower.\How much is it? response:	One penny.
context: However, my heart now feels strangely peaceful and calm.\Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way...\The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower.\How much is it?\One penny. response:	I'll have one, then.
context: Even though our love crossed classes and was never meant to be,\that our hearts have touched in this way...\The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower.\How much is it?\One penny.\I'll have one, then. response:	Thank you.
context: that our hearts have touched in this way...\The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower.\How much is it?\One penny.\I'll have one, then.\Thank you. response:	May the grace of God go with you.
context: The memories we shared will stay with me, always.\No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower.\How much is it?\One penny.\I'll have one, then.\Thank you.\May the grace of God go with you. response:	Oranges, oranges! Sweet, delicious oranges!
context: No matter how far away I am, I will always pray for your happiness.\Um, please buy a flower.\How much is it?\One penny.\I'll have one, then.\Thank you.\May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges! response:	The train is about to depart. Please hurry to your seats!
context: Um, please buy a flower.\How much is it?\One penny.\I'll have one, then.\Thank you.\May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats! response:	Emma!
context: How much is it?\One penny.\I'll have one, then.\Thank you.\May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats!\Emma! response:	Mr. Jones...
context: One penny.\I'll have one, then.\Thank you.\May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats!\Emma!\Mr. Jones... response:	Emma...
context: I'll have one, then.\Thank you.\May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats!\Emma!\Mr. Jones...\Emma... response:	Emma, l...
context: Thank you.\May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats!\Emma!\Mr. Jones...\Emma...\Emma, l... response:	Thank you.
context: May the grace of God go with you.\Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats!\Emma!\Mr. Jones...\Emma...\Emma, l...\Thank you. response:	What?
context: Oranges, oranges! Sweet, delicious oranges!\The train is about to depart. Please hurry to your seats!\Emma!\Mr. Jones...\Emma...\Emma, l...\Thank you.\What? response:	Thank you so much.
context: The train is about to depart. Please hurry to your seats!\Emma!\Mr. Jones...\Emma...\Emma, l...\Thank you.\What?\Thank you so much. response:	Emma...
context: Emma!\Mr. Jones...\Emma...\Emma, l...\Thank you.\What?\Thank you so much.\Emma... response:	Emma!
context: Mr. Jones...\Emma...\Emma, l...\Thank you.\What?\Thank you so much.\Emma...\Emma! response:	Emma!
context: Emma...\Emma, l...\Thank you.\What?\Thank you so much.\Emma...\Emma!\Emma! response:	Emma!
context: Emma, l...\Thank you.\What?\Thank you so much.\Emma...\Emma!\Emma!\Emma! response:	Sir?
context: Thank you.\What?\Thank you so much.\Emma...\Emma!\Emma!\Emma!\Sir? response:	Please buy a flower.
context: What?\Thank you so much.\Emma...\Emma!\Emma!\Emma!\Sir?\Please buy a flower. response:	Thank you, sir!
context: Thank you so much.\Emma...\Emma!\Emma!\Emma!\Sir?\Please buy a flower.\Thank you, sir! response:	May the grace of God go with you.
context: Emma...\Emma!\Emma!\Emma!\Sir?\Please buy a flower.\Thank you, sir!\May the grace of God go with you. response:	That's beautiful...
context: Emma!\Emma!\Emma!\Sir?\Please buy a flower.\Thank you, sir!\May the grace of God go with you.\That's beautiful... response:	It's a lily of the valley, isn't it?
context: Emma!\Emma!\Sir?\Please buy a flower.\Thank you, sir!\May the grace of God go with you.\That's beautiful...\It's a lily of the valley, isn't it? response:	Yes... though I'm not sure why I bought it.
context: Emma!\Sir?\Please buy a flower.\Thank you, sir!\May the grace of God go with you.\That's beautiful...\It's a lily of the valley, isn't it?\Yes... though I'm not sure why I bought it. response:	Oh, don't worry about that! Flowers are great to have anywhere.
context: Sir?\Please buy a flower.\Thank you, sir!\May the grace of God go with you.\That's beautiful...\It's a lily of the valley, isn't it?\Yes... though I'm not sure why I bought it.\Oh, don't worry about that! Flowers are great to have anywhere. response:	In the language of flowers, that lily is wonderful, too. Do you know what it means?
context: Please buy a flower.\Thank you, sir!\May the grace of God go with you.\That's beautiful...\It's a lily of the valley, isn't it?\Yes... though I'm not sure why I bought it.\Oh, don't worry about that! Flowers are great to have anywhere.\In the language of flowers, that lily is wonderful, too. Do you know what it means? response:	No...
context: Thank you, sir!\May the grace of God go with you.\That's beautiful...\It's a lily of the valley, isn't it?\Yes... though I'm not sure why I bought it.\Oh, don't worry about that! Flowers are great to have anywhere.\In the language of flowers, that lily is wonderful, too. Do you know what it means?\No... response:	It means that happiness will return.
