context: N-Now, now, let's calm down, Ryuko. response:	Bite me! What the hell is going on?
context: happens when I see someone powerful.\Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL) response:	You've got guts, Kiryuin, picking a fight with me!
context: Just like three years ago, then?\THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me! response:	I have no intention of fighting.
context: THREE YEARS AGO NORTHERN KANTO, SUSUKIGAHARA\One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting. response:	SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)
context: One against 500, eh?\This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL) response:	I'm telling you to surrender.
context: This will make it clear whether or not Satsuki Kiryuin is worthy to lead us.\I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender. response:	Who do you think you're messing with?!
context: I suggest you start practicing your bowing, then.\I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender.\Who do you think you're messing with?! response:	You used the Chi technique, huh? Impressive.
context: I'm Uzu Sanageyama, Northern Kanto Gang Leader Alliance Representative!\NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender.\Who do you think you're messing with?!\You used the Chi technique, huh? Impressive. response:	But that won't work on me!
context: NORTHERN KANTO GANG LEADER ALLIANCE REPRESENTATIVE UZU SANAGEYAMA (THIRD YEAR MIDDLE SCHOOL)\You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender.\Who do you think you're messing with?!\You used the Chi technique, huh? Impressive.\But that won't work on me! response:	I've seen through your moves!
context: You've got guts, Kiryuin, picking a fight with me!\I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender.\Who do you think you're messing with?!\You used the Chi technique, huh? Impressive.\But that won't work on me!\I've seen through your moves! response:	You're mine!
context: I have no intention of fighting.\SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender.\Who do you think you're messing with?!\You used the Chi technique, huh? Impressive.\But that won't work on me!\I've seen through your moves!\You're mine! response:	You think you've snuck up behind me?
context: SATSUKI KIRYUIN (THIRD YEAR MIDDLE SCHOOL)\I'm telling you to surrender.\Who do you think you're messing with?!\You used the Chi technique, huh? Impressive.\But that won't work on me!\I've seen through your moves!\You're mine!\You think you've snuck up behind me? response:	Come.
context: I'm telling you to surrender.\Who do you think you're messing with?!\You used the Chi technique, huh? Impressive.\But that won't work on me!\I've seen through your moves!\You're mine!\You think you've snuck up behind me?\Come. response:	I'll provide you with the ultimate
context: Who do you think you're messing with?!\You used the Chi technique, huh? Impressive.\But that won't work on me!\I've seen through your moves!\You're mine!\You think you've snuck up behind me?\Come.\I'll provide you with the ultimate response:	stage where you can unleash your strength...
context: You used the Chi technique, huh? Impressive.\But that won't work on me!\I've seen through your moves!\You're mine!\You think you've snuck up behind me?\Come.\I'll provide you with the ultimate\stage where you can unleash your strength... response:	My bamboo sword is itching to test out the skills of this girl
context: But that won't work on me!\I've seen through your moves!\You're mine!\You think you've snuck up behind me?\Come.\I'll provide you with the ultimate\stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl response:	who's infiltrated the stage you've provided for me.
context: I've seen through your moves!\You're mine!\You think you've snuck up behind me?\Come.\I'll provide you with the ultimate\stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me. response:	You know the price of failure, I assume?
context: You're mine!\You think you've snuck up behind me?\Come.\I'll provide you with the ultimate\stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me.\You know the price of failure, I assume? response:	Not to worry.
context: You think you've snuck up behind me?\Come.\I'll provide you with the ultimate\stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me.\You know the price of failure, I assume?\Not to worry. response:	I have these eyes. I can't possibly lose.
context: Come.\I'll provide you with the ultimate\stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me.\You know the price of failure, I assume?\Not to worry.\I have these eyes. I can't possibly lose. response:	Nicely blocked.
context: I'll provide you with the ultimate\stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me.\You know the price of failure, I assume?\Not to worry.\I have these eyes. I can't possibly lose.\Nicely blocked. response:	I would manage to win in a fight against your middle-school self now.
context: stage where you can unleash your strength...\My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me.\You know the price of failure, I assume?\Not to worry.\I have these eyes. I can't possibly lose.\Nicely blocked.\I would manage to win in a fight against your middle-school self now. response:	That was the way you moved three years ago.
context: My bamboo sword is itching to test out the skills of this girl\who's infiltrated the stage you've provided for me.\You know the price of failure, I assume?\Not to worry.\I have these eyes. I can't possibly lose.\Nicely blocked.\I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago. response:	I assume you were holding back.
context: who's infiltrated the stage you've provided for me.\You know the price of failure, I assume?\Not to worry.\I have these eyes. I can't possibly lose.\Nicely blocked.\I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago.\I assume you were holding back. response:	As you wish. See what you can do.
context: You know the price of failure, I assume?\Not to worry.\I have these eyes. I can't possibly lose.\Nicely blocked.\I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago.\I assume you were holding back.\As you wish. See what you can do. response:	Thanks, I appreciate it.
context: Not to worry.\I have these eyes. I can't possibly lose.\Nicely blocked.\I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago.\I assume you were holding back.\As you wish. See what you can do.\Thanks, I appreciate it. response:	If I win, treat me to tea or something.
context: I have these eyes. I can't possibly lose.\Nicely blocked.\I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago.\I assume you were holding back.\As you wish. See what you can do.\Thanks, I appreciate it.\If I win, treat me to tea or something. response:	That was rude of me, Soroi.
context: Nicely blocked.\I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago.\I assume you were holding back.\As you wish. See what you can do.\Thanks, I appreciate it.\If I win, treat me to tea or something.\That was rude of me, Soroi. response:	No Milady, though I do find it a shame. This was your favorite cup.
context: I would manage to win in a fight against your middle-school self now.\That was the way you moved three years ago.\I assume you were holding back.\As you wish. See what you can do.\Thanks, I appreciate it.\If I win, treat me to tea or something.\That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup. response:	Make a fresh pot for me.
context: That was the way you moved three years ago.\I assume you were holding back.\As you wish. See what you can do.\Thanks, I appreciate it.\If I win, treat me to tea or something.\That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me. response:	Very good, Milady.
context: I assume you were holding back.\As you wish. See what you can do.\Thanks, I appreciate it.\If I win, treat me to tea or something.\That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me.\Very good, Milady. response:	Hello, you have reached the
context: As you wish. See what you can do.\Thanks, I appreciate it.\If I win, treat me to tea or something.\That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me.\Very good, Milady.\Hello, you have reached the response:	Honnouji Academy Student Council President's Office.
context: Thanks, I appreciate it.\If I win, treat me to tea or something.\That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me.\Very good, Milady.\Hello, you have reached the\Honnouji Academy Student Council President's Office. response:	Y-Yes, ma'am. One moment, ma'am.
context: If I win, treat me to tea or something.\That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me.\Very good, Milady.\Hello, you have reached the\Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am. response:	It is Mistress Ragyo.
context: That was rude of me, Soroi.\No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me.\Very good, Milady.\Hello, you have reached the\Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo. response:	This is Satsuki.
context: No Milady, though I do find it a shame. This was your favorite cup.\Make a fresh pot for me.\Very good, Milady.\Hello, you have reached the\Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo.\This is Satsuki. response:	What's this I hear about you putting on your wedding dress?
context: Make a fresh pot for me.\Very good, Milady.\Hello, you have reached the\Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo.\This is Satsuki.\What's this I hear about you putting on your wedding dress? response:	CHALLENGE TO A DUEL
context: Very good, Milady.\Hello, you have reached the\Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo.\This is Satsuki.\What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL response:	Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama
context: Hello, you have reached the\Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo.\This is Satsuki.\What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama response:	SPORTS GYM 1
context: Honnouji Academy Student Council President's Office.\Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo.\This is Satsuki.\What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1 response:	That wild monkey beat us to the punch.
context: Y-Yes, ma'am. One moment, ma'am.\It is Mistress Ragyo.\This is Satsuki.\What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1\That wild monkey beat us to the punch. response:	If I'd gotten permission to make a move on her, I would've taken her out first.
context: It is Mistress Ragyo.\This is Satsuki.\What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1\That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first. response:	Where is Lady Satsuki?
context: This is Satsuki.\What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1\That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki? response:	She has stepped out.
context: What's this I hear about you putting on your wedding dress?\CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1\That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki?\She has stepped out. response:	She said this battle was not worth watching.
context: CHALLENGE TO A DUEL\Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1\That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki?\She has stepped out.\She said this battle was not worth watching. response:	What's that mean?
context: Attention, Ryuko Matoi of Second Year, Class K. I will be waiting in the Kendo Club dojo after school. Sanageyama\SPORTS GYM 1\That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki?\She has stepped out.\She said this battle was not worth watching.\What's that mean? response:	So you've come, Matoi.
context: SPORTS GYM 1\That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki?\She has stepped out.\She said this battle was not worth watching.\What's that mean?\So you've come, Matoi. response:	I was called out by name by one of the Elite Four.
context: That wild monkey beat us to the punch.\If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki?\She has stepped out.\She said this battle was not worth watching.\What's that mean?\So you've come, Matoi.\I was called out by name by one of the Elite Four. response:	I couldn't run away from that, could I?
context: If I'd gotten permission to make a move on her, I would've taken her out first.\Where is Lady Satsuki?\She has stepped out.\She said this battle was not worth watching.\What's that mean?\So you've come, Matoi.\I was called out by name by one of the Elite Four.\I couldn't run away from that, could I? response:	I like your spirit!
context: Where is Lady Satsuki?\She has stepped out.\She said this battle was not worth watching.\What's that mean?\So you've come, Matoi.\I was called out by name by one of the Elite Four.\I couldn't run away from that, could I?\I like your spirit! response:	Let's get right to it!
context: She has stepped out.\She said this battle was not worth watching.\What's that mean?\So you've come, Matoi.\I was called out by name by one of the Elite Four.\I couldn't run away from that, could I?\I like your spirit!\Let's get right to it! response:	Three-Star Goku Uniform: Blade Regalia!
context: She said this battle was not worth watching.\What's that mean?\So you've come, Matoi.\I was called out by name by one of the Elite Four.\I couldn't run away from that, could I?\I like your spirit!\Let's get right to it!\Three-Star Goku Uniform: Blade Regalia! response:	THREE-STAR GOKU UNIFORM: BLADE REGALIA
context: What's that mean?\So you've come, Matoi.\I was called out by name by one of the Elite Four.\I couldn't run away from that, could I?\I like your spirit!\Let's get right to it!\Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA response:	It's not just the Kamui that can transform!
context: So you've come, Matoi.\I was called out by name by one of the Elite Four.\I couldn't run away from that, could I?\I like your spirit!\Let's get right to it!\Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform! response:	Hey, I'm impressed, Elite! Then I'll do the same!
context: I was called out by name by one of the Elite Four.\I couldn't run away from that, could I?\I like your spirit!\Let's get right to it!\Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same! response:	Life Fiber Synchronize, Kamui Senketsu!
context: I couldn't run away from that, could I?\I like your spirit!\Let's get right to it!\Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu! response:	KAMUI SENKETSU
context: I like your spirit!\Let's get right to it!\Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU response:	Why, you!
context: Let's get right to it!\Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Why, you! response:	I can see all your moves!
context: Three-Star Goku Uniform: Blade Regalia!\THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Why, you!\I can see all your moves! response:	Senketsu! I'm going full-speed!
context: THREE-STAR GOKU UNIFORM: BLADE REGALIA\It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Why, you!\I can see all your moves!\Senketsu! I'm going full-speed! response:	Understood.
context: It's not just the Kamui that can transform!\Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Why, you!\I can see all your moves!\Senketsu! I'm going full-speed!\Understood. response:	What the Ow!
context: Hey, I'm impressed, Elite! Then I'll do the same!\Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Why, you!\I can see all your moves!\Senketsu! I'm going full-speed!\Understood.\What the Ow! response:	Ow! Ow! Ow!
context: Life Fiber Synchronize, Kamui Senketsu!\KAMUI SENKETSU\Why, you!\I can see all your moves!\Senketsu! I'm going full-speed!\Understood.\What the Ow!\Ow! Ow! Ow! response:	No matter how quickly you move, you can't escape my blade!
context: KAMUI SENKETSU\Why, you!\I can see all your moves!\Senketsu! I'm going full-speed!\Understood.\What the Ow!\Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade! response:	Behold! Secret Weapon: Higi Tengantsu!
context: Why, you!\I can see all your moves!\Senketsu! I'm going full-speed!\Understood.\What the Ow!\Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu! response:	SECRET WEAPON: HIGI TENGANTSU
context: I can see all your moves!\Senketsu! I'm going full-speed!\Understood.\What the Ow!\Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU response:	As long as I have these eyes,
context: Senketsu! I'm going full-speed!\Understood.\What the Ow!\Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes, response:	I can anticipate any move my opponent makes!
context: Understood.\What the Ow!\Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes,\I can anticipate any move my opponent makes! response:	Say what?!
context: What the Ow!\Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes,\I can anticipate any move my opponent makes!\Say what?! response:	For every motion a human makes, there is a preparatory motion.
context: Ow! Ow! Ow!\No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes,\I can anticipate any move my opponent makes!\Say what?!\For every motion a human makes, there is a preparatory motion. response:	ORBICULARIS OCULI
context: No matter how quickly you move, you can't escape my blade!\Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes,\I can anticipate any move my opponent makes!\Say what?!\For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI response:	Of the eyes. Of the muscles.
context: Behold! Secret Weapon: Higi Tengantsu!\SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes,\I can anticipate any move my opponent makes!\Say what?!\For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI\Of the eyes. Of the muscles. response:	DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS
context: SECRET WEAPON: HIGI TENGANTSU\As long as I have these eyes,\I can anticipate any move my opponent makes!\Say what?!\For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI\Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS response:	Sanageyama instantly reads all of those preparatory motions
context: As long as I have these eyes,\I can anticipate any move my opponent makes!\Say what?!\For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI\Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions response:	PECTORALIS MAJOR
context: I can anticipate any move my opponent makes!\Say what?!\For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI\Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR response:	GLUTEUS MAXIMUS
context: Say what?!\For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI\Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR\GLUTEUS MAXIMUS response:	and preempts any move his opponent makes.
context: For every motion a human makes, there is a preparatory motion.\ORBICULARIS OCULI\Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR\GLUTEUS MAXIMUS\and preempts any move his opponent makes. response:	That is what the Tengantsu does.
context: ORBICULARIS OCULI\Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR\GLUTEUS MAXIMUS\and preempts any move his opponent makes.\That is what the Tengantsu does. response:	And his Goku Uniform succeeds magnificently in amplifying that ability.
context: Of the eyes. Of the muscles.\DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR\GLUTEUS MAXIMUS\and preempts any move his opponent makes.\That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability. response:	Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?
context: DORSAL INTEROSSEOUS/ ADDUCTOR POLLICIS\Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR\GLUTEUS MAXIMUS\and preempts any move his opponent makes.\That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he? response:	Is that what Lady Satsuki meant when she
context: Sanageyama instantly reads all of those preparatory motions\PECTORALIS MAJOR\GLUTEUS MAXIMUS\and preempts any move his opponent makes.\That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she response:	said this fight was not worth watching? But
context: PECTORALIS MAJOR\GLUTEUS MAXIMUS\and preempts any move his opponent makes.\That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she\said this fight was not worth watching? But response:	I didn't hear it that way at all.
context: GLUTEUS MAXIMUS\and preempts any move his opponent makes.\That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she\said this fight was not worth watching? But\I didn't hear it that way at all. response:	Keep it together, Ryuko!
context: and preempts any move his opponent makes.\That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she\said this fight was not worth watching? But\I didn't hear it that way at all.\Keep it together, Ryuko! response:	I'd love to, but it's all I can do to deflect all these strikes!
context: That is what the Tengantsu does.\And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she\said this fight was not worth watching? But\I didn't hear it that way at all.\Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes! response:	I'm impressed!
context: And his Goku Uniform succeeds magnificently in amplifying that ability.\Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she\said this fight was not worth watching? But\I didn't hear it that way at all.\Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed! response:	But let's see... how you handle... this!
context: Gosh, Mr. Wild Monkey has learned some new tricks, hasn't he?\Is that what Lady Satsuki meant when she\said this fight was not worth watching? But\I didn't hear it that way at all.\Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed!\But let's see... how you handle... this! response:	Shinsoku-Senbonzuki!
context: Is that what Lady Satsuki meant when she\said this fight was not worth watching? But\I didn't hear it that way at all.\Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed!\But let's see... how you handle... this!\Shinsoku-Senbonzuki! response:	I've read all your blocking moves now, too!
context: said this fight was not worth watching? But\I didn't hear it that way at all.\Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed!\But let's see... how you handle... this!\Shinsoku-Senbonzuki!\I've read all your blocking moves now, too! response:	Even your Scissor Blade that can slice a Goku
context: I didn't hear it that way at all.\Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed!\But let's see... how you handle... this!\Shinsoku-Senbonzuki!\I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku response:	Uniform to pieces is worthless if it can't hit its target!
context: Keep it together, Ryuko!\I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed!\But let's see... how you handle... this!\Shinsoku-Senbonzuki!\I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target! response:	Come on, is it over already?
context: I'd love to, but it's all I can do to deflect all these strikes!\I'm impressed!\But let's see... how you handle... this!\Shinsoku-Senbonzuki!\I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already? response:	That's a little disappointing, don't you think?
context: I'm impressed!\But let's see... how you handle... this!\Shinsoku-Senbonzuki!\I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already?\That's a little disappointing, don't you think? response:	That's more like it!
context: But let's see... how you handle... this!\Shinsoku-Senbonzuki!\I've read all your blocking moves now, too!\Even your Scissor Blade that can slice a Goku\Uniform to pieces is worthless if it can't hit its target!\Come on, is it over already?\That's a little disappointing, don't you think?\That's more like it! response:	Senketsu. I need you to do me a favor.
