context: It was only a short time, but thank you for taking care of me! response:	Pro Hero - Gran Torino - Quirk: Jet
context: I heard Endeavor saved you, right?\That's amazing! As expected from the number two hero!\Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility\Yeah.\I saw on the news\that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms response:	Imagining someone that scary coming to USJ freaks me out.
context: That's amazing! As expected from the number two hero!\Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility\Yeah.\I saw on the news\that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out. response:	He is scary, but did you see the video, Ojiro?
context: Yeah. He saved us.\Toru Hagakure - Quirk: Invisibility\Yeah.\I saw on the news\that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro? response:	Video? You mean of the hero killer?
context: Toru Hagakure - Quirk: Invisibility\Yeah.\I saw on the news\that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer? response:	Yeah.
context: Yeah.\I saw on the news\that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer?\Yeah. response:	Seeing that, you can see how he's really single-minded and, like, tenacious.
context: I saw on the news\that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer?\Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious. response:	Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.
context: that the hero killer was connected to the League of Villains.\Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer?\Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero. response:	He enrolled in a private hero high school
context: Rikido Sato - Quirk: Sugar Rush Mashirao Ojiro - Quirk: Tail Mezo Shoji - Quirk: Dupli-Arms\Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer?\Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school response:	Doesn't it almost make you think he's cool?
context: Imagining someone that scary coming to USJ freaks me out.\He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer?\Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\Doesn't it almost make you think he's cool? response:	but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...
context: He is scary, but did you see the video, Ojiro?\Video? You mean of the hero killer?\Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out... response:	Kaminari!
context: Video? You mean of the hero killer?\Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari! response:	Huh?
context: Yeah.\Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari!\Huh? response:	Oh, Ii-
context: Seeing that, you can see how he's really single-minded and, like, tenacious.\Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari!\Huh?\Oh, Ii- response:	Sorry!
context: Hero Killer: Stain. Real name: Chizome Akaguro. All Might's debut left a deep impression on him, and he set his sights on becoming a hero.\He enrolled in a private hero high school\Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari!\Huh?\Oh, Ii-\Sorry! response:	No, it's fine.
context: He enrolled in a private hero high school\Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari!\Huh?\Oh, Ii-\Sorry!\No, it's fine. response:	It's true that he was tenacious.
context: Doesn't it almost make you think he's cool?\but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari!\Huh?\Oh, Ii-\Sorry!\No, it's fine.\It's true that he was tenacious. response:	I understand how people could think he's cool.
context: but was disappointed in the fundamentally depraved view of heroes taught by the educational system. He dropped out...\Kaminari!\Huh?\Oh, Ii-\Sorry!\No, it's fine.\It's true that he was tenacious.\I understand how people could think he's cool. response:	But he chose purging as a result of his beliefs.
context: Kaminari!\Huh?\Oh, Ii-\Sorry!\No, it's fine.\It's true that he was tenacious.\I understand how people could think he's cool.\But he chose purging as a result of his beliefs. response:	No matter what he thinks, that part is definitely wrong.
context: Huh?\Oh, Ii-\Sorry!\No, it's fine.\It's true that he was tenacious.\I understand how people could think he's cool.\But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong. response:	In order to keep anyone else from turning out like me,
context: Oh, Ii-\Sorry!\No, it's fine.\It's true that he was tenacious.\I understand how people could think he's cool.\But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me, response:	I will once again walk on the path to becoming a hero!
context: Sorry!\No, it's fine.\It's true that he was tenacious.\I understand how people could think he's cool.\But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero! response:	Yeah, Iida!
context: No, it's fine.\It's true that he was tenacious.\I understand how people could think he's cool.\But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero!\Yeah, Iida! response:	Now, it is time to commence class!
context: It's true that he was tenacious.\I understand how people could think he's cool.\But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero!\Yeah, Iida!\Now, it is time to commence class! response:	Everyone, take your seats!
context: I understand how people could think he's cool.\But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero!\Yeah, Iida!\Now, it is time to commence class!\Everyone, take your seats! response:	He's so loud...
context: But he chose purging as a result of his beliefs.\No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero!\Yeah, Iida!\Now, it is time to commence class!\Everyone, take your seats!\He's so loud... response:	It's'cause you talked about weird stuff, Kaminari!
context: No matter what he thinks, that part is definitely wrong.\In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero!\Yeah, Iida!\Now, it is time to commence class!\Everyone, take your seats!\He's so loud...\It's'cause you talked about weird stuff, Kaminari! response:	Sorry about that.
context: In order to keep anyone else from turning out like me,\I will once again walk on the path to becoming a hero!\Yeah, Iida!\Now, it is time to commence class!\Everyone, take your seats!\He's so loud...\It's'cause you talked about weird stuff, Kaminari!\Sorry about that. response:	Until I become a true hero,
context: I will once again walk on the path to becoming a hero!\Yeah, Iida!\Now, it is time to commence class!\Everyone, take your seats!\He's so loud...\It's'cause you talked about weird stuff, Kaminari!\Sorry about that.\Until I become a true hero, response:	I think I want to leave my left hand as it is.
context: Yeah, Iida!\Now, it is time to commence class!\Everyone, take your seats!\He's so loud...\It's'cause you talked about weird stuff, Kaminari!\Sorry about that.\Until I become a true hero,\I think I want to leave my left hand as it is. response:	You're cool, Iida!
context: Now, it is time to commence class!\Everyone, take your seats!\He's so loud...\It's'cause you talked about weird stuff, Kaminari!\Sorry about that.\Until I become a true hero,\I think I want to leave my left hand as it is.\You're cool, Iida! response:	Okay, I am here.
context: Everyone, take your seats!\He's so loud...\It's'cause you talked about weird stuff, Kaminari!\Sorry about that.\Until I become a true hero,\I think I want to leave my left hand as it is.\You're cool, Iida!\Okay, I am here. response:	Anyway, we'll start now. Right. It's hero basic training!
context: He's so loud...\It's'cause you talked about weird stuff, Kaminari!\Sorry about that.\Until I become a true hero,\I think I want to leave my left hand as it is.\You're cool, Iida!\Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training! response:	Long time no see, boys and girls!
context: It's'cause you talked about weird stuff, Kaminari!\Sorry about that.\Until I become a true hero,\I think I want to leave my left hand as it is.\You're cool, Iida!\Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls! response:	How've you been?
context: Sorry about that.\Until I become a true hero,\I think I want to leave my left hand as it is.\You're cool, Iida!\Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls!\How've you been? response:	Pro Hero - All Might - Quirk: One For All
context: Until I become a true hero,\I think I want to leave my left hand as it is.\You're cool, Iida!\Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls!\How've you been?\Pro Hero - All Might - Quirk: One For All response:	For this time's hero basic training-
context: I think I want to leave my left hand as it is.\You're cool, Iida!\Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls!\How've you been?\Pro Hero - All Might - Quirk: One For All\For this time's hero basic training- response:	Since you've all just gotten back from your internships,
context: You're cool, Iida!\Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls!\How've you been?\Pro Hero - All Might - Quirk: One For All\For this time's hero basic training-\Since you've all just gotten back from your internships, response:	we'll have some fun with a rescue training race!
context: Okay, I am here.\Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls!\How've you been?\Pro Hero - All Might - Quirk: One For All\For this time's hero basic training-\Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race! response:	If we are doing rescue training, then shouldn't we do it at USJ?
context: Anyway, we'll start now. Right. It's hero basic training!\Long time no see, boys and girls!\How've you been?\Pro Hero - All Might - Quirk: One For All\For this time's hero basic training-\Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ? response:	That place is for training for disasters.
context: Long time no see, boys and girls!\How've you been?\Pro Hero - All Might - Quirk: One For All\For this time's hero basic training-\Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters. response:	Do you remember what I said?
context: How've you been?\Pro Hero - All Might - Quirk: One For All\For this time's hero basic training-\Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters.\Do you remember what I said? response:	That's right! I said race!
context: Pro Hero - All Might - Quirk: One For All\For this time's hero basic training-\Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters.\Do you remember what I said?\That's right! I said race! response:	This is Field Gamma!
context: For this time's hero basic training-\Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters.\Do you remember what I said?\That's right! I said race!\This is Field Gamma! response:	A dense area filled with factories laid out like an intricate labyrinth.
context: Since you've all just gotten back from your internships,\we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters.\Do you remember what I said?\That's right! I said race!\This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth. response:	You'll break up into four 5-person groups
context: we'll have some fun with a rescue training race!\If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters.\Do you remember what I said?\That's right! I said race!\This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups response:	and go through the training one group at a time.
context: If we are doing rescue training, then shouldn't we do it at USJ?\That place is for training for disasters.\Do you remember what I said?\That's right! I said race!\This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups\and go through the training one group at a time. response:	When I send out a distress signal from somewhere inside,
context: That place is for training for disasters.\Do you remember what I said?\That's right! I said race!\This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups\and go through the training one group at a time.\When I send out a distress signal from somewhere inside, response:	you'll all start at once from the outskirts of the city!
context: Do you remember what I said?\That's right! I said race!\This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups\and go through the training one group at a time.\When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city! response:	It's a race to see who will rescue me first!
context: That's right! I said race!\This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups\and go through the training one group at a time.\When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first! response:	Of course, you'll have to keep damage to buildings to a minimum.
context: This is Field Gamma!\A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups\and go through the training one group at a time.\When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum. response:	Don't point at me!
context: A dense area filled with factories laid out like an intricate labyrinth.\You'll break up into four 5-person groups\and go through the training one group at a time.\When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me! response:	All right, first group, get in place!
context: You'll break up into four 5-person groups\and go through the training one group at a time.\When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me!\All right, first group, get in place! response:	Iida hasn't completely recovered yet, right?
context: and go through the training one group at a time.\When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me!\All right, first group, get in place!\Iida hasn't completely recovered yet, right? response:	He should just watch.
context: When I send out a distress signal from somewhere inside,\you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me!\All right, first group, get in place!\Iida hasn't completely recovered yet, right?\He should just watch. response:	This group has everyone in the class with good mobility.
context: you'll all start at once from the outskirts of the city!\It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me!\All right, first group, get in place!\Iida hasn't completely recovered yet, right?\He should just watch.\This group has everyone in the class with good mobility. response:	Hmm, perhaps Midoriya is at a slight disadvantage.
context: It's a race to see who will rescue me first!\Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me!\All right, first group, get in place!\Iida hasn't completely recovered yet, right?\He should just watch.\This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage. response:	That's true. Honestly, I'm still not sure how good he is.
context: Of course, you'll have to keep damage to buildings to a minimum.\Don't point at me!\All right, first group, get in place!\Iida hasn't completely recovered yet, right?\He should just watch.\This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is. response:	And whenever he does something, he always gets badly injured...
context: Don't point at me!\All right, first group, get in place!\Iida hasn't completely recovered yet, right?\He should just watch.\This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured... response:	Who do you think'll win? I think Sero'll be first!
context: All right, first group, get in place!\Iida hasn't completely recovered yet, right?\He should just watch.\This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first! response:	But Ojiro's there, too.
context: Iida hasn't completely recovered yet, right?\He should just watch.\This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too. response:	I think it'll be Ashido. She's really athletic!
context: He should just watch.\This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too.\I think it'll be Ashido. She's really athletic! response:	Deku will be last!
context: This group has everyone in the class with good mobility.\Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too.\I think it'll be Ashido. She's really athletic!\Deku will be last! response:	Even if he's injured, I still think it'll be Iida.
context: Hmm, perhaps Midoriya is at a slight disadvantage.\That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too.\I think it'll be Ashido. She's really athletic!\Deku will be last!\Even if he's injured, I still think it'll be Iida. response:	Ribbit.
context: That's true. Honestly, I'm still not sure how good he is.\And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too.\I think it'll be Ashido. She's really athletic!\Deku will be last!\Even if he's injured, I still think it'll be Iida.\Ribbit. response:	Okay, here we go!
context: And whenever he does something, he always gets badly injured...\Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too.\I think it'll be Ashido. She's really athletic!\Deku will be last!\Even if he's injured, I still think it'll be Iida.\Ribbit.\Okay, here we go! response:	Start!
context: Who do you think'll win? I think Sero'll be first!\But Ojiro's there, too.\I think it'll be Ashido. She's really athletic!\Deku will be last!\Even if he's injured, I still think it'll be Iida.\Ribbit.\Okay, here we go!\Start! response:	1st Place
context: But Ojiro's there, too.\I think it'll be Ashido. She's really athletic!\Deku will be last!\Even if he's injured, I still think it'll be Iida.\Ribbit.\Okay, here we go!\Start!\1st Place response:	See, look!
context: I think it'll be Ashido. She's really athletic!\Deku will be last!\Even if he's injured, I still think it'll be Iida.\Ribbit.\Okay, here we go!\Start!\1st Place\See, look! response:	In a place all jumbled together like this, it's standard practice to go up!
context: Deku will be last!\Even if he's injured, I still think it'll be Iida.\Ribbit.\Okay, here we go!\Start!\1st Place\See, look!\In a place all jumbled together like this, it's standard practice to go up! response:	Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda
context: Even if he's injured, I still think it'll be Iida.\Ribbit.\Okay, here we go!\Start!\1st Place\See, look!\In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda response:	Which means, Sero's got an advantage since he's good in the air, huh?
context: Ribbit.\Okay, here we go!\Start!\1st Place\See, look!\In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh? response:	Hey, isn't this place a little too perfect for me?
context: Okay, here we go!\Start!\1st Place\See, look!\In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me? response:	It's too perfect... for the training I did!
context: Start!\1st Place\See, look!\In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did! response:	Wow, Midoriya?!
context: 1st Place\See, look!\In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did!\Wow, Midoriya?! response:	What's with those moves?
context: See, look!\In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did!\Wow, Midoriya?!\What's with those moves? response:	No way!
context: In a place all jumbled together like this, it's standard practice to go up!\Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did!\Wow, Midoriya?!\What's with those moves?\No way! response:	Yeah, now that I think about it, those moves are...
context: Fumikage Tokoyami - Quirk: Dark Shadow Koji Koda\Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did!\Wow, Midoriya?!\What's with those moves?\No way!\Yeah, now that I think about it, those moves are... response:	Wow! He's hopping... like...
context: Which means, Sero's got an advantage since he's good in the air, huh?\Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did!\Wow, Midoriya?!\What's with those moves?\No way!\Yeah, now that I think about it, those moves are...\Wow! He's hopping... like... response:	My moves!
context: Hey, isn't this place a little too perfect for me?\It's too perfect... for the training I did!\Wow, Midoriya?!\What's with those moves?\No way!\Yeah, now that I think about it, those moves are...\Wow! He's hopping... like...\My moves! response:	While I was spending my time uselessly at my internship...
context: It's too perfect... for the training I did!\Wow, Midoriya?!\What's with those moves?\No way!\Yeah, now that I think about it, those moves are...\Wow! He's hopping... like...\My moves!\While I was spending my time uselessly at my internship... response:	Again...
context: Wow, Midoriya?!\What's with those moves?\No way!\Yeah, now that I think about it, those moves are...\Wow! He's hopping... like...\My moves!\While I was spending my time uselessly at my internship...\Again... response:	Again...!
context: What's with those moves?\No way!\Yeah, now that I think about it, those moves are...\Wow! He's hopping... like...\My moves!\While I was spending my time uselessly at my internship...\Again...\Again...! response:	Midoriya's jumping?
context: No way!\Yeah, now that I think about it, those moves are...\Wow! He's hopping... like...\My moves!\While I was spending my time uselessly at my internship...\Again...\Again...!\Midoriya's jumping? response:	His broken bones are already healed?
context: Yeah, now that I think about it, those moves are...\Wow! He's hopping... like...\My moves!\While I was spending my time uselessly at my internship...\Again...\Again...!\Midoriya's jumping?\His broken bones are already healed? response:	Calm down!
context: Wow! He's hopping... like...\My moves!\While I was spending my time uselessly at my internship...\Again...\Again...!\Midoriya's jumping?\His broken bones are already healed?\Calm down! response:	I can do this. Just calm down! Stay at 5!
context: My moves!\While I was spending my time uselessly at my internship...\Again...\Again...!\Midoriya's jumping?\His broken bones are already healed?\Calm down!\I can do this. Just calm down! Stay at 5! response:	Always be alert and calm...
context: While I was spending my time uselessly at my internship...\Again...\Again...!\Midoriya's jumping?\His broken bones are already healed?\Calm down!\I can do this. Just calm down! Stay at 5!\Always be alert and calm... response:	Huh?
context: Again...\Again...!\Midoriya's jumping?\His broken bones are already healed?\Calm down!\I can do this. Just calm down! Stay at 5!\Always be alert and calm...\Huh? response:	Finish!
context: Again...!\Midoriya's jumping?\His broken bones are already healed?\Calm down!\I can do this. Just calm down! Stay at 5!\Always be alert and calm...\Huh?\Finish! response:	Thanks for saving me
context: Midoriya's jumping?\His broken bones are already healed?\Calm down!\I can do this. Just calm down! Stay at 5!\Always be alert and calm...\Huh?\Finish!\Thanks for saving me response:	Thank you! And congrats.
context: His broken bones are already healed?\Calm down!\I can do this. Just calm down! Stay at 5!\Always be alert and calm...\Huh?\Finish!\Thanks for saving me\Thank you! And congrats. response:	Thanks!
context: Calm down!\I can do this. Just calm down! Stay at 5!\Always be alert and calm...\Huh?\Finish!\Thanks for saving me\Thank you! And congrats.\Thanks! response:	-I can't believe this! -Midoriya, are you all right?
context: I can do this. Just calm down! Stay at 5!\Always be alert and calm...\Huh?\Finish!\Thanks for saving me\Thank you! And congrats.\Thanks!\-I can't believe this! -Midoriya, are you all right? response:	I see, when jumping in an area with unstable footing,
context: Always be alert and calm...\Huh?\Finish!\Thanks for saving me\Thank you! And congrats.\Thanks!\-I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing, response:	I have to take where I'm jumping into consideration, too...
context: Huh?\Finish!\Thanks for saving me\Thank you! And congrats.\Thanks!\-I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too... response:	I have a lot to learn.
context: Finish!\Thanks for saving me\Thank you! And congrats.\Thanks!\-I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too...\I have a lot to learn. response:	Young Sero came in first, but compared to the beginning of the year,
context: Thanks for saving me\Thank you! And congrats.\Thanks!\-I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too...\I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year, response:	you've all gotten a lot better at using your Quirks.
context: Thank you! And congrats.\Thanks!\-I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too...\I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks. response:	Keep going like this and start preparing for your final exam!
context: Thanks!\-I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too...\I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam! response:	Yes, sir!
context: -I can't believe this! -Midoriya, are you all right?\I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too...\I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam!\Yes, sir! response:	Group one, you can leave the field. Next group, get ready!
context: I see, when jumping in an area with unstable footing,\I have to take where I'm jumping into consideration, too...\I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam!\Yes, sir!\Group one, you can leave the field. Next group, get ready! response:	You surprised me. I couldn't believe my eyes!
context: I have to take where I'm jumping into consideration, too...\I have a lot to learn.\Young Sero came in first, but compared to the beginning of the year,\you've all gotten a lot better at using your Quirks.\Keep going like this and start preparing for your final exam!\Yes, sir!\Group one, you can leave the field. Next group, get ready!\You surprised me. I couldn't believe my eyes! response:	Come find me after class is over.
