context: 24 Hours with Asamori-san Today's release! response:	I'll buy you!
context: Whoa.\And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well.\Huh?\They had more straight from the beginning!\That's so unfair!\S-so we lost.\No, their repeat order is different. response:	We have a repeat order of 6,000.
context: And looking at Typhoon's sales...\They sold out of all 4,000 of their initial order as well.\Huh?\They had more straight from the beginning!\That's so unfair!\S-so we lost.\No, their repeat order is different.\We have a repeat order of 6,000. response:	Theirs is only 2,000.
context: They sold out of all 4,000 of their initial order as well.\Huh?\They had more straight from the beginning!\That's so unfair!\S-so we lost.\No, their repeat order is different.\We have a repeat order of 6,000.\Theirs is only 2,000. response:	Congratulations. We've won.
context: Huh?\They had more straight from the beginning!\That's so unfair!\S-so we lost.\No, their repeat order is different.\We have a repeat order of 6,000.\Theirs is only 2,000.\Congratulations. We've won. response:	Yes!
context: They had more straight from the beginning!\That's so unfair!\S-so we lost.\No, their repeat order is different.\We have a repeat order of 6,000.\Theirs is only 2,000.\Congratulations. We've won.\Yes! response:	Atomu!
context: That's so unfair!\S-so we lost.\No, their repeat order is different.\We have a repeat order of 6,000.\Theirs is only 2,000.\Congratulations. We've won.\Yes!\Atomu! response:	We did it, Bunta!
context: S-so we lost.\No, their repeat order is different.\We have a repeat order of 6,000.\Theirs is only 2,000.\Congratulations. We've won.\Yes!\Atomu!\We did it, Bunta! response:	9,000 versus 6,000, isn't that kinda crazy?
context: No, their repeat order is different.\We have a repeat order of 6,000.\Theirs is only 2,000.\Congratulations. We've won.\Yes!\Atomu!\We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy? response:	Maybe we're geniuses!
context: We have a repeat order of 6,000.\Theirs is only 2,000.\Congratulations. We've won.\Yes!\Atomu!\We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses! response:	We did it!
context: Theirs is only 2,000.\Congratulations. We've won.\Yes!\Atomu!\We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses!\We did it! response:	Asamori-san is a low-priced game.
context: Congratulations. We've won.\Yes!\Atomu!\We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses!\We did it!\Asamori-san is a low-priced game. response:	Taiga, on the other hand, is a full-priced game.
context: Yes!\Atomu!\We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses!\We did it!\Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game. response:	The price difference may have influenced the difference in sales.
context: Atomu!\We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses!\We did it!\Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales. response:	So we had the advantage from the start, just'cause we went with sale numbers?
context: We did it, Bunta!\9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses!\We did it!\Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers? response:	I didn't know if we would win until today.
context: 9,000 versus 6,000, isn't that kinda crazy?\Maybe we're geniuses!\We did it!\Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today. response:	This is a direct result from our genuine hard work.
context: Maybe we're geniuses!\We did it!\Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today.\This is a direct result from our genuine hard work. response:	Kuroda-san?
context: We did it!\Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today.\This is a direct result from our genuine hard work.\Kuroda-san? response:	What's up?
context: Asamori-san is a low-priced game.\Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today.\This is a direct result from our genuine hard work.\Kuroda-san?\What's up? response:	What's this?
context: Taiga, on the other hand, is a full-priced game.\The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today.\This is a direct result from our genuine hard work.\Kuroda-san?\What's up?\What's this? response:	To celebrate?
context: The price difference may have influenced the difference in sales.\So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today.\This is a direct result from our genuine hard work.\Kuroda-san?\What's up?\What's this?\To celebrate? response:	It's a cake, right?
context: So we had the advantage from the start, just'cause we went with sale numbers?\I didn't know if we would win until today.\This is a direct result from our genuine hard work.\Kuroda-san?\What's up?\What's this?\To celebrate?\It's a cake, right? response:	Damn, you prepped well for this, Kuroda.
context: I didn't know if we would win until today.\This is a direct result from our genuine hard work.\Kuroda-san?\What's up?\What's this?\To celebrate?\It's a cake, right?\Damn, you prepped well for this, Kuroda. response:	Huh?
context: This is a direct result from our genuine hard work.\Kuroda-san?\What's up?\What's this?\To celebrate?\It's a cake, right?\Damn, you prepped well for this, Kuroda.\Huh? response:	Kuroda-san?
context: Kuroda-san?\What's up?\What's this?\To celebrate?\It's a cake, right?\Damn, you prepped well for this, Kuroda.\Huh?\Kuroda-san? response:	Brother!
context: What's up?\What's this?\To celebrate?\It's a cake, right?\Damn, you prepped well for this, Kuroda.\Huh?\Kuroda-san?\Brother! response:	Wait!
context: What's this?\To celebrate?\It's a cake, right?\Damn, you prepped well for this, Kuroda.\Huh?\Kuroda-san?\Brother!\Wait! response:	Sorry to interrupt.
context: To celebrate?\It's a cake, right?\Damn, you prepped well for this, Kuroda.\Huh?\Kuroda-san?\Brother!\Wait!\Sorry to interrupt. response:	Thanks.
context: It's a cake, right?\Damn, you prepped well for this, Kuroda.\Huh?\Kuroda-san?\Brother!\Wait!\Sorry to interrupt.\Thanks. response:	Yakiniku Kaifutei
context: Damn, you prepped well for this, Kuroda.\Huh?\Kuroda-san?\Brother!\Wait!\Sorry to interrupt.\Thanks.\Yakiniku Kaifutei response:	Cheers!
context: Huh?\Kuroda-san?\Brother!\Wait!\Sorry to interrupt.\Thanks.\Yakiniku Kaifutei\Cheers! response:	Yakiniku Kaifutei
context: Kuroda-san?\Brother!\Wait!\Sorry to interrupt.\Thanks.\Yakiniku Kaifutei\Cheers!\Yakiniku Kaifutei response:	That hits the spot!
context: Brother!\Wait!\Sorry to interrupt.\Thanks.\Yakiniku Kaifutei\Cheers!\Yakiniku Kaifutei\That hits the spot! response:	After working hard, you've gotta drink a cold one of these!
context: Wait!\Sorry to interrupt.\Thanks.\Yakiniku Kaifutei\Cheers!\Yakiniku Kaifutei\That hits the spot!\After working hard, you've gotta drink a cold one of these! response:	That's cola... right?
context: Sorry to interrupt.\Thanks.\Yakiniku Kaifutei\Cheers!\Yakiniku Kaifutei\That hits the spot!\After working hard, you've gotta drink a cold one of these!\That's cola... right? response:	Yup, cola.
context: Thanks.\Yakiniku Kaifutei\Cheers!\Yakiniku Kaifutei\That hits the spot!\After working hard, you've gotta drink a cold one of these!\That's cola... right?\Yup, cola. response:	Bunta, cook up some meat! Meat!
context: Yakiniku Kaifutei\Cheers!\Yakiniku Kaifutei\That hits the spot!\After working hard, you've gotta drink a cold one of these!\That's cola... right?\Yup, cola.\Bunta, cook up some meat! Meat! response:	Alright, alright.
context: Cheers!\Yakiniku Kaifutei\That hits the spot!\After working hard, you've gotta drink a cold one of these!\That's cola... right?\Yup, cola.\Bunta, cook up some meat! Meat!\Alright, alright. response:	I wanna have some skirt steak. The top cut.
context: Yakiniku Kaifutei\That hits the spot!\After working hard, you've gotta drink a cold one of these!\That's cola... right?\Yup, cola.\Bunta, cook up some meat! Meat!\Alright, alright.\I wanna have some skirt steak. The top cut. response:	The top?! Can we really order that?
context: That hits the spot!\After working hard, you've gotta drink a cold one of these!\That's cola... right?\Yup, cola.\Bunta, cook up some meat! Meat!\Alright, alright.\I wanna have some skirt steak. The top cut.\The top?! Can we really order that? response:	Then let's do the special cut.
context: After working hard, you've gotta drink a cold one of these!\That's cola... right?\Yup, cola.\Bunta, cook up some meat! Meat!\Alright, alright.\I wanna have some skirt steak. The top cut.\The top?! Can we really order that?\Then let's do the special cut. response:	That's even more expensive!
context: That's cola... right?\Yup, cola.\Bunta, cook up some meat! Meat!\Alright, alright.\I wanna have some skirt steak. The top cut.\The top?! Can we really order that?\Then let's do the special cut.\That's even more expensive! response:	What do you want to eat, Atomu?
context: Yup, cola.\Bunta, cook up some meat! Meat!\Alright, alright.\I wanna have some skirt steak. The top cut.\The top?! Can we really order that?\Then let's do the special cut.\That's even more expensive!\What do you want to eat, Atomu? response:	I'll have the beef tongue, I guess?
context: Bunta, cook up some meat! Meat!\Alright, alright.\I wanna have some skirt steak. The top cut.\The top?! Can we really order that?\Then let's do the special cut.\That's even more expensive!\What do you want to eat, Atomu?\I'll have the beef tongue, I guess? response:	Is the salted beef tongue good? How about you, Yuka?
context: Alright, alright.\I wanna have some skirt steak. The top cut.\The top?! Can we really order that?\Then let's do the special cut.\That's even more expensive!\What do you want to eat, Atomu?\I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka? response:	One order of kalbi!
context: I wanna have some skirt steak. The top cut.\The top?! Can we really order that?\Then let's do the special cut.\That's even more expensive!\What do you want to eat, Atomu?\I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka?\One order of kalbi! response:	Then let's get the special cut of all of that!
context: The top?! Can we really order that?\Then let's do the special cut.\That's even more expensive!\What do you want to eat, Atomu?\I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka?\One order of kalbi!\Then let's get the special cut of all of that! response:	No, the special cut is too much...
context: Then let's do the special cut.\That's even more expensive!\What do you want to eat, Atomu?\I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka?\One order of kalbi!\Then let's get the special cut of all of that!\No, the special cut is too much... response:	Let's get the special cut.
context: That's even more expensive!\What do you want to eat, Atomu?\I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka?\One order of kalbi!\Then let's get the special cut of all of that!\No, the special cut is too much...\Let's get the special cut. response:	Are you sure?!
context: What do you want to eat, Atomu?\I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka?\One order of kalbi!\Then let's get the special cut of all of that!\No, the special cut is too much...\Let's get the special cut.\Are you sure?! response:	It's way tougher than the top cut!
context: I'll have the beef tongue, I guess?\Is the salted beef tongue good? How about you, Yuka?\One order of kalbi!\Then let's get the special cut of all of that!\No, the special cut is too much...\Let's get the special cut.\Are you sure?!\It's way tougher than the top cut! response:	It's a seriously heavy cut!
context: Is the salted beef tongue good? How about you, Yuka?\One order of kalbi!\Then let's get the special cut of all of that!\No, the special cut is too much...\Let's get the special cut.\Are you sure?!\It's way tougher than the top cut!\It's a seriously heavy cut! response:	What're you talking about?
context: One order of kalbi!\Then let's get the special cut of all of that!\No, the special cut is too much...\Let's get the special cut.\Are you sure?!\It's way tougher than the top cut!\It's a seriously heavy cut!\What're you talking about? response:	T-then I'll have the special green onion-stuffed cut.
context: Then let's get the special cut of all of that!\No, the special cut is too much...\Let's get the special cut.\Are you sure?!\It's way tougher than the top cut!\It's a seriously heavy cut!\What're you talking about?\T-then I'll have the special green onion-stuffed cut. response:	Torry's way less hesitant than she used to be, huh?
context: No, the special cut is too much...\Let's get the special cut.\Are you sure?!\It's way tougher than the top cut!\It's a seriously heavy cut!\What're you talking about?\T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh? response:	Huh? Y-you think so?
context: Let's get the special cut.\Are you sure?!\It's way tougher than the top cut!\It's a seriously heavy cut!\What're you talking about?\T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so? response:	At first you'd be like...
context: Are you sure?!\It's way tougher than the top cut!\It's a seriously heavy cut!\What're you talking about?\T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so?\At first you'd be like... response:	I-I think everything is fine like this...
context: It's way tougher than the top cut!\It's a seriously heavy cut!\What're you talking about?\T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so?\At first you'd be like...\I-I think everything is fine like this... response:	You said that, right?
context: It's a seriously heavy cut!\What're you talking about?\T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so?\At first you'd be like...\I-I think everything is fine like this...\You said that, right? response:	Yeah, yeah!
context: What're you talking about?\T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so?\At first you'd be like...\I-I think everything is fine like this...\You said that, right?\Yeah, yeah! response:	Huh? Whaa? Yeah, yeah!
context: T-then I'll have the special green onion-stuffed cut.\Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so?\At first you'd be like...\I-I think everything is fine like this...\You said that, right?\Yeah, yeah!\Huh? Whaa? Yeah, yeah! response:	Huh? Whaa?
context: Torry's way less hesitant than she used to be, huh?\Huh? Y-you think so?\At first you'd be like...\I-I think everything is fine like this...\You said that, right?\Yeah, yeah!\Huh? Whaa? Yeah, yeah!\Huh? Whaa? response:	Really? I think she was always like this.
context: Huh? Y-you think so?\At first you'd be like...\I-I think everything is fine like this...\You said that, right?\Yeah, yeah!\Huh? Whaa? Yeah, yeah!\Huh? Whaa?\Really? I think she was always like this. response:	Shyness and a lack thereof can coexist.
context: At first you'd be like...\I-I think everything is fine like this...\You said that, right?\Yeah, yeah!\Huh? Whaa? Yeah, yeah!\Huh? Whaa?\Really? I think she was always like this.\Shyness and a lack thereof can coexist. response:	So you can have your cake and eat it, too?
context: I-I think everything is fine like this...\You said that, right?\Yeah, yeah!\Huh? Whaa? Yeah, yeah!\Huh? Whaa?\Really? I think she was always like this.\Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too? response:	Either way, it's good that you're more honest.
context: You said that, right?\Yeah, yeah!\Huh? Whaa? Yeah, yeah!\Huh? Whaa?\Really? I think she was always like this.\Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too?\Either way, it's good that you're more honest. response:	Just be yourself!
context: Yeah, yeah!\Huh? Whaa? Yeah, yeah!\Huh? Whaa?\Really? I think she was always like this.\Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too?\Either way, it's good that you're more honest.\Just be yourself! response:	You take that to the extreme, though, Yuka. Just be yourself!
context: Huh? Whaa? Yeah, yeah!\Huh? Whaa?\Really? I think she was always like this.\Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too?\Either way, it's good that you're more honest.\Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself! response:	You take that to the extreme, though, Yuka.
context: Huh? Whaa?\Really? I think she was always like this.\Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too?\Either way, it's good that you're more honest.\Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka. response:	What'd you say?!
context: Really? I think she was always like this.\Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too?\Either way, it's good that you're more honest.\Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka.\What'd you say?! response:	But man, there aren't many teams out there that make it to the end
context: Shyness and a lack thereof can coexist.\So you can have your cake and eat it, too?\Either way, it's good that you're more honest.\Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka.\What'd you say?!\But man, there aren't many teams out there that make it to the end response:	with everyone being honest and saying how they feel.
context: So you can have your cake and eat it, too?\Either way, it's good that you're more honest.\Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka.\What'd you say?!\But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel. response:	W-what?
context: Either way, it's good that you're more honest.\Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka.\What'd you say?!\But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel.\W-what? response:	For once, we agree.
context: Just be yourself!\You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka.\What'd you say?!\But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel.\W-what?\For once, we agree. response:	Hey, I was cooking that!
context: You take that to the extreme, though, Yuka. Just be yourself!\You take that to the extreme, though, Yuka.\What'd you say?!\But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel.\W-what?\For once, we agree.\Hey, I was cooking that! response:	Give it back!
context: You take that to the extreme, though, Yuka.\What'd you say?!\But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel.\W-what?\For once, we agree.\Hey, I was cooking that!\Give it back! response:	It's the rules of the wasteland.
context: What'd you say?!\But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel.\W-what?\For once, we agree.\Hey, I was cooking that!\Give it back!\It's the rules of the wasteland. response:	If you didn't want me to take it, you should've written your name on it.
context: But man, there aren't many teams out there that make it to the end\with everyone being honest and saying how they feel.\W-what?\For once, we agree.\Hey, I was cooking that!\Give it back!\It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it. response:	The hell?!
context: with everyone being honest and saying how they feel.\W-what?\For once, we agree.\Hey, I was cooking that!\Give it back!\It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it.\The hell?! response:	C'mon, it's all cooked, so let's eat, okay?
context: W-what?\For once, we agree.\Hey, I was cooking that!\Give it back!\It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it.\The hell?!\C'mon, it's all cooked, so let's eat, okay? response:	Excuse me, we'd like to put in an order.
context: For once, we agree.\Hey, I was cooking that!\Give it back!\It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it.\The hell?!\C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order. response:	Alright, here we are.
context: Hey, I was cooking that!\Give it back!\It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it.\The hell?!\C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order.\Alright, here we are. response:	Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...
context: Give it back!\It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it.\The hell?!\C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order.\Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed... response:	All special cuts!
context: It's the rules of the wasteland.\If you didn't want me to take it, you should've written your name on it.\The hell?!\C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order.\Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts! response:	Coming right up!
context: If you didn't want me to take it, you should've written your name on it.\The hell?!\C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order.\Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts!\Coming right up! response:	Huh?
context: The hell?!\C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order.\Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts!\Coming right up!\Huh? response:	What?!
context: C'mon, it's all cooked, so let's eat, okay?\Excuse me, we'd like to put in an order.\Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts!\Coming right up!\Huh?\What?! response:	Brother?!
context: Excuse me, we'd like to put in an order.\Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts!\Coming right up!\Huh?\What?!\Brother?! response:	Kuroda's brother?!
context: Alright, here we are.\Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts!\Coming right up!\Huh?\What?!\Brother?!\Kuroda's brother?! response:	Why are you here?!
context: Um, one skirt steak, kalbi, beef tongue, and a green onion stuffed...\All special cuts!\Coming right up!\Huh?\What?!\Brother?!\Kuroda's brother?!\Why are you here?! response:	Why? I work here part time!
context: All special cuts!\Coming right up!\Huh?\What?!\Brother?!\Kuroda's brother?!\Why are you here?!\Why? I work here part time! response:	At a yakiniku restaurant?
context: Coming right up!\Huh?\What?!\Brother?!\Kuroda's brother?!\Why are you here?!\Why? I work here part time!\At a yakiniku restaurant? response:	The hourly pay's great.
context: Huh?\What?!\Brother?!\Kuroda's brother?!\Why are you here?!\Why? I work here part time!\At a yakiniku restaurant?\The hourly pay's great. response:	But what about your debt?
context: What?!\Brother?!\Kuroda's brother?!\Why are you here?!\Why? I work here part time!\At a yakiniku restaurant?\The hourly pay's great.\But what about your debt? response:	The money you're making will go into your next work.
context: Brother?!\Kuroda's brother?!\Why are you here?!\Why? I work here part time!\At a yakiniku restaurant?\The hourly pay's great.\But what about your debt?\The money you're making will go into your next work. response:	Thanks to all of you, I've started moving again.
context: Kuroda's brother?!\Why are you here?!\Why? I work here part time!\At a yakiniku restaurant?\The hourly pay's great.\But what about your debt?\The money you're making will go into your next work.\Thanks to all of you, I've started moving again. response:	Thank you so much, and...
context: Why are you here?!\Why? I work here part time!\At a yakiniku restaurant?\The hourly pay's great.\But what about your debt?\The money you're making will go into your next work.\Thanks to all of you, I've started moving again.\Thank you so much, and... response:	I'm so sorry.
context: Why? I work here part time!\At a yakiniku restaurant?\The hourly pay's great.\But what about your debt?\The money you're making will go into your next work.\Thanks to all of you, I've started moving again.\Thank you so much, and...\I'm so sorry. response:	Please, it's alright.
context: At a yakiniku restaurant?\The hourly pay's great.\But what about your debt?\The money you're making will go into your next work.\Thanks to all of you, I've started moving again.\Thank you so much, and...\I'm so sorry.\Please, it's alright. response:	That's all in the past for us.
context: The hourly pay's great.\But what about your debt?\The money you're making will go into your next work.\Thanks to all of you, I've started moving again.\Thank you so much, and...\I'm so sorry.\Please, it's alright.\That's all in the past for us. response:	Oh, that's right, hold on a sec!
context: But what about your debt?\The money you're making will go into your next work.\Thanks to all of you, I've started moving again.\Thank you so much, and...\I'm so sorry.\Please, it's alright.\That's all in the past for us.\Oh, that's right, hold on a sec! response:	Hopefully this makes up for it a little!
context: The money you're making will go into your next work.\Thanks to all of you, I've started moving again.\Thank you so much, and...\I'm so sorry.\Please, it's alright.\That's all in the past for us.\Oh, that's right, hold on a sec!\Hopefully this makes up for it a little! response:	Leaves?!
context: Thanks to all of you, I've started moving again.\Thank you so much, and...\I'm so sorry.\Please, it's alright.\That's all in the past for us.\Oh, that's right, hold on a sec!\Hopefully this makes up for it a little!\Leaves?! response:	I want meat! Meat!
context: Thank you so much, and...\I'm so sorry.\Please, it's alright.\That's all in the past for us.\Oh, that's right, hold on a sec!\Hopefully this makes up for it a little!\Leaves?!\I want meat! Meat! response:	I'd like something sweet...
context: I'm so sorry.\Please, it's alright.\That's all in the past for us.\Oh, that's right, hold on a sec!\Hopefully this makes up for it a little!\Leaves?!\I want meat! Meat!\I'd like something sweet... response:	But I just work part-time...
context: Please, it's alright.\That's all in the past for us.\Oh, that's right, hold on a sec!\Hopefully this makes up for it a little!\Leaves?!\I want meat! Meat!\I'd like something sweet...\But I just work part-time... response:	Uh, you could have it if you like.
context: That's all in the past for us.\Oh, that's right, hold on a sec!\Hopefully this makes up for it a little!\Leaves?!\I want meat! Meat!\I'd like something sweet...\But I just work part-time...\Uh, you could have it if you like. response:	Huh, me?
context: Oh, that's right, hold on a sec!\Hopefully this makes up for it a little!\Leaves?!\I want meat! Meat!\I'd like something sweet...\But I just work part-time...\Uh, you could have it if you like.\Huh, me? response:	Yeah. You seem like a nice guy who'd eat this kinda stuff.
context: Hopefully this makes up for it a little!\Leaves?!\I want meat! Meat!\I'd like something sweet...\But I just work part-time...\Uh, you could have it if you like.\Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff. response:	A nice guy?
context: Leaves?!\I want meat! Meat!\I'd like something sweet...\But I just work part-time...\Uh, you could have it if you like.\Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy? response:	Crap, he's reopening Atomu's old wounds!
context: I want meat! Meat!\I'd like something sweet...\But I just work part-time...\Uh, you could have it if you like.\Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy?\Crap, he's reopening Atomu's old wounds! response:	Hey, uh, I'll eat it!
context: I'd like something sweet...\But I just work part-time...\Uh, you could have it if you like.\Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy?\Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it! response:	Wow, I love veggies, they're so yummy!
context: But I just work part-time...\Uh, you could have it if you like.\Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy?\Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy! response:	She said she loved me.
context: Uh, you could have it if you like.\Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy?\Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy!\She said she loved me. response:	She said she loved nice guys.
context: Huh, me?\Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy?\Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy!\She said she loved me.\She said she loved nice guys. response:	Nice guys...
context: Yeah. You seem like a nice guy who'd eat this kinda stuff.\A nice guy?\Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy!\She said she loved me.\She said she loved nice guys.\Nice guys... response:	I'm sorry my brother was so rude.
context: A nice guy?\Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy!\She said she loved me.\She said she loved nice guys.\Nice guys...\I'm sorry my brother was so rude. response:	That's my kalbi!
context: Crap, he's reopening Atomu's old wounds!\Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy!\She said she loved me.\She said she loved nice guys.\Nice guys...\I'm sorry my brother was so rude.\That's my kalbi! response:	It's really juicy'n warm!
context: Hey, uh, I'll eat it!\Wow, I love veggies, they're so yummy!\She said she loved me.\She said she loved nice guys.\Nice guys...\I'm sorry my brother was so rude.\That's my kalbi!\It's really juicy'n warm! response:	Normies?!
context: Wow, I love veggies, they're so yummy!\She said she loved me.\She said she loved nice guys.\Nice guys...\I'm sorry my brother was so rude.\That's my kalbi!\It's really juicy'n warm!\Normies?! response:	Burn'em all! No, cook'em! Cook all the normies alive!
context: She said she loved me.\She said she loved nice guys.\Nice guys...\I'm sorry my brother was so rude.\That's my kalbi!\It's really juicy'n warm!\Normies?!\Burn'em all! No, cook'em! Cook all the normies alive! response:	Yay! Cook up that meat!
context: She said she loved nice guys.\Nice guys...\I'm sorry my brother was so rude.\That's my kalbi!\It's really juicy'n warm!\Normies?!\Burn'em all! No, cook'em! Cook all the normies alive!\Yay! Cook up that meat! response:	Atomu, eat, eat! Okay?
context: Nice guys...\I'm sorry my brother was so rude.\That's my kalbi!\It's really juicy'n warm!\Normies?!\Burn'em all! No, cook'em! Cook all the normies alive!\Yay! Cook up that meat!\Atomu, eat, eat! Okay? response:	Meat!
context: I'm sorry my brother was so rude.\That's my kalbi!\It's really juicy'n warm!\Normies?!\Burn'em all! No, cook'em! Cook all the normies alive!\Yay! Cook up that meat!\Atomu, eat, eat! Okay?\Meat! response:	Man, I ate a lot!
context: That's my kalbi!\It's really juicy'n warm!\Normies?!\Burn'em all! No, cook'em! Cook all the normies alive!\Yay! Cook up that meat!\Atomu, eat, eat! Okay?\Meat!\Man, I ate a lot! response:	I don't want to see meat for a while.
