context: Time's up! response:	I studied when I was in the other dimension.
context: Without Kagome, we can't get any leads on the Sacred Jewel.\And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you.\Who was that? My younger brother?\He's different from you all. Let's go.\Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake! response:	Sounds great!
context: And there was no sign of Naraku either.\If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you.\Who was that? My younger brother?\He's different from you all. Let's go.\Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake!\Sounds great! response:	Huh? What's that?
context: If only I had a scent of him, I'd get on his track immediately.\Want to come out? Then I'll let you.\Who was that? My younger brother?\He's different from you all. Let's go.\Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake!\Sounds great!\Huh? What's that? response:	Boss, come over here!
context: Want to come out? Then I'll let you.\Who was that? My younger brother?\He's different from you all. Let's go.\Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake!\Sounds great!\Huh? What's that?\Boss, come over here! response:	What's up?
context: Who was that? My younger brother?\He's different from you all. Let's go.\Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake!\Sounds great!\Huh? What's that?\Boss, come over here!\What's up? response:	What is that?
context: He's different from you all. Let's go.\Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake!\Sounds great!\Huh? What's that?\Boss, come over here!\What's up?\What is that? response:	It's alive!
context: Hey, Boss! Which village will be hit next?\Someplace with lots of women and sake!\Sounds great!\Huh? What's that?\Boss, come over here!\What's up?\What is that?\It's alive! response:	Creepy thing! Kill it!
context: Someplace with lots of women and sake!\Sounds great!\Huh? What's that?\Boss, come over here!\What's up?\What is that?\It's alive!\Creepy thing! Kill it! response:	Huh?! A hand!
context: Sounds great!\Huh? What's that?\Boss, come over here!\What's up?\What is that?\It's alive!\Creepy thing! Kill it!\Huh?! A hand! response:	What is he?!
context: Huh? What's that?\Boss, come over here!\What's up?\What is that?\It's alive!\Creepy thing! Kill it!\Huh?! A hand!\What is he?! response:	H-He... hasn't got a face!
context: Boss, come over here!\What's up?\What is that?\It's alive!\Creepy thing! Kill it!\Huh?! A hand!\What is he?!\H-He... hasn't got a face! response:	Who am I?!
context: What's up?\What is that?\It's alive!\Creepy thing! Kill it!\Huh?! A hand!\What is he?!\H-He... hasn't got a face!\Who am I?! response:	Are you sure, Inuyasha?
context: What is that?\It's alive!\Creepy thing! Kill it!\Huh?! A hand!\What is he?!\H-He... hasn't got a face!\Who am I?!\Are you sure, Inuyasha? response:	Who can mistake this scent?! This way!
context: It's alive!\Creepy thing! Kill it!\Huh?! A hand!\What is he?!\H-He... hasn't got a face!\Who am I?!\Are you sure, Inuyasha?\Who can mistake this scent?! This way! response:	It reeks of Naraku! Naraku and the smell of human blood!
context: Creepy thing! Kill it!\Huh?! A hand!\What is he?!\H-He... hasn't got a face!\Who am I?!\Are you sure, Inuyasha?\Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood! response:	They've been slaughtered.
context: Huh?! A hand!\What is he?!\H-He... hasn't got a face!\Who am I?!\Are you sure, Inuyasha?\Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered. response:	They're bandits...
context: What is he?!\H-He... hasn't got a face!\Who am I?!\Are you sure, Inuyasha?\Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered.\They're bandits... response:	H-His!
context: H-He... hasn't got a face!\Who am I?!\Are you sure, Inuyasha?\Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered.\They're bandits...\H-His! response:	What's the matter?
context: Who am I?!\Are you sure, Inuyasha?\Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered.\They're bandits...\H-His!\What's the matter? response:	His face has been carved out!
context: Are you sure, Inuyasha?\Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered.\They're bandits...\H-His!\What's the matter?\His face has been carved out! response:	This one, too!
context: Who can mistake this scent?! This way!\It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered.\They're bandits...\H-His!\What's the matter?\His face has been carved out!\This one, too! response:	What?
context: It reeks of Naraku! Naraku and the smell of human blood!\They've been slaughtered.\They're bandits...\H-His!\What's the matter?\His face has been carved out!\This one, too!\What? response:	This one, too.
context: They've been slaughtered.\They're bandits...\H-His!\What's the matter?\His face has been carved out!\This one, too!\What?\This one, too. response:	Every one of them... all without faces.
context: They're bandits...\H-His!\What's the matter?\His face has been carved out!\This one, too!\What?\This one, too.\Every one of them... all without faces. response:	How frightening!
context: H-His!\What's the matter?\His face has been carved out!\This one, too!\What?\This one, too.\Every one of them... all without faces.\How frightening! response:	This isn't normal.
context: What's the matter?\His face has been carved out!\This one, too!\What?\This one, too.\Every one of them... all without faces.\How frightening!\This isn't normal. response:	It's Naraku's doing.
context: His face has been carved out!\This one, too!\What?\This one, too.\Every one of them... all without faces.\How frightening!\This isn't normal.\It's Naraku's doing. response:	But why their faces?!
context: This one, too!\What?\This one, too.\Every one of them... all without faces.\How frightening!\This isn't normal.\It's Naraku's doing.\But why their faces?! response:	Are you the source of evil, specter?
context: What?\This one, too.\Every one of them... all without faces.\How frightening!\This isn't normal.\It's Naraku's doing.\But why their faces?!\Are you the source of evil, specter? response:	What?! He's faceless!
context: This one, too.\Every one of them... all without faces.\How frightening!\This isn't normal.\It's Naraku's doing.\But why their faces?!\Are you the source of evil, specter?\What?! He's faceless! response:	Master Muso...
context: Every one of them... all without faces.\How frightening!\This isn't normal.\It's Naraku's doing.\But why their faces?!\Are you the source of evil, specter?\What?! He's faceless!\Master Muso... response:	Stay back.
context: How frightening!\This isn't normal.\It's Naraku's doing.\But why their faces?!\Are you the source of evil, specter?\What?! He's faceless!\Master Muso...\Stay back. response:	Yes.
context: This isn't normal.\It's Naraku's doing.\But why their faces?!\Are you the source of evil, specter?\What?! He's faceless!\Master Muso...\Stay back.\Yes. response:	Specter... where are you from?
context: It's Naraku's doing.\But why their faces?!\Are you the source of evil, specter?\What?! He's faceless!\Master Muso...\Stay back.\Yes.\Specter... where are you from? response:	Where? I don't know.
context: But why their faces?!\Are you the source of evil, specter?\What?! He's faceless!\Master Muso...\Stay back.\Yes.\Specter... where are you from?\Where? I don't know. response:	Why have you done such a cruel thing?
context: Are you the source of evil, specter?\What?! He's faceless!\Master Muso...\Stay back.\Yes.\Specter... where are you from?\Where? I don't know.\Why have you done such a cruel thing? response:	Give me... your face.
context: What?! He's faceless!\Master Muso...\Stay back.\Yes.\Specter... where are you from?\Where? I don't know.\Why have you done such a cruel thing?\Give me... your face. response:	My face?
context: Master Muso...\Stay back.\Yes.\Specter... where are you from?\Where? I don't know.\Why have you done such a cruel thing?\Give me... your face.\My face? response:	You killed people because you want a face?
context: Stay back.\Yes.\Specter... where are you from?\Where? I don't know.\Why have you done such a cruel thing?\Give me... your face.\My face?\You killed people because you want a face? response:	You evil specter!
context: Yes.\Specter... where are you from?\Where? I don't know.\Why have you done such a cruel thing?\Give me... your face.\My face?\You killed people because you want a face?\You evil specter! response:	A face...
context: Specter... where are you from?\Where? I don't know.\Why have you done such a cruel thing?\Give me... your face.\My face?\You killed people because you want a face?\You evil specter!\A face... response:	Master Muso!
context: Where? I don't know.\Why have you done such a cruel thing?\Give me... your face.\My face?\You killed people because you want a face?\You evil specter!\A face...\Master Muso! response:	Evil specters like you...
context: Why have you done such a cruel thing?\Give me... your face.\My face?\You killed people because you want a face?\You evil specter!\A face...\Master Muso!\Evil specters like you... response:	Must be destroyed!
context: Give me... your face.\My face?\You killed people because you want a face?\You evil specter!\A face...\Master Muso!\Evil specters like you...\Must be destroyed! response:	Give!
context: My face?\You killed people because you want a face?\You evil specter!\A face...\Master Muso!\Evil specters like you...\Must be destroyed!\Give! response:	He did it!
context: You killed people because you want a face?\You evil specter!\A face...\Master Muso!\Evil specters like you...\Must be destroyed!\Give!\He did it! response:	My face! I have a face!
context: You evil specter!\A face...\Master Muso!\Evil specters like you...\Must be destroyed!\Give!\He did it!\My face! I have a face! response:	Hey, like my face?
context: A face...\Master Muso!\Evil specters like you...\Must be destroyed!\Give!\He did it!\My face! I have a face!\Hey, like my face? response:	Impudent! I'll slay you!
context: Master Muso!\Evil specters like you...\Must be destroyed!\Give!\He did it!\My face! I have a face!\Hey, like my face?\Impudent! I'll slay you! response:	Now that I have a fine face, I want a fine sword.
context: Evil specters like you...\Must be destroyed!\Give!\He did it!\My face! I have a face!\Hey, like my face?\Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword. response:	Your sword looks pretty nice.
context: Must be destroyed!\Give!\He did it!\My face! I have a face!\Hey, like my face?\Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice. response:	Why!
context: Give!\He did it!\My face! I have a face!\Hey, like my face?\Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice.\Why! response:	Yes, it's a fine sword, all right.
context: He did it!\My face! I have a face!\Hey, like my face?\Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice.\Why!\Yes, it's a fine sword, all right. response:	You! Just who are you?!
context: My face! I have a face!\Hey, like my face?\Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice.\Why!\Yes, it's a fine sword, all right.\You! Just who are you?! response:	Dang! Why?!
context: Hey, like my face?\Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice.\Why!\Yes, it's a fine sword, all right.\You! Just who are you?!\Dang! Why?! response:	It's not enough!
context: Impudent! I'll slay you!\Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice.\Why!\Yes, it's a fine sword, all right.\You! Just who are you?!\Dang! Why?!\It's not enough! response:	I want more...
context: Now that I have a fine face, I want a fine sword.\Your sword looks pretty nice.\Why!\Yes, it's a fine sword, all right.\You! Just who are you?!\Dang! Why?!\It's not enough!\I want more... response:	Something more.
context: Your sword looks pretty nice.\Why!\Yes, it's a fine sword, all right.\You! Just who are you?!\Dang! Why?!\It's not enough!\I want more...\Something more. response:	Maybe I'll go to that village next.
context: Why!\Yes, it's a fine sword, all right.\You! Just who are you?!\Dang! Why?!\It's not enough!\I want more...\Something more.\Maybe I'll go to that village next. response:	That village?
context: Yes, it's a fine sword, all right.\You! Just who are you?!\Dang! Why?!\It's not enough!\I want more...\Something more.\Maybe I'll go to that village next.\That village? response:	What's this?
context: You! Just who are you?!\Dang! Why?!\It's not enough!\I want more...\Something more.\Maybe I'll go to that village next.\That village?\What's this? response:	Hold it right there!
context: Dang! Why?!\It's not enough!\I want more...\Something more.\Maybe I'll go to that village next.\That village?\What's this?\Hold it right there! response:	Huh? Who are you?!
context: It's not enough!\I want more...\Something more.\Maybe I'll go to that village next.\That village?\What's this?\Hold it right there!\Huh? Who are you?! response:	Been looking for you, bastard!
context: I want more...\Something more.\Maybe I'll go to that village next.\That village?\What's this?\Hold it right there!\Huh? Who are you?!\Been looking for you, bastard! response:	I'm off.
context: Something more.\Maybe I'll go to that village next.\That village?\What's this?\Hold it right there!\Huh? Who are you?!\Been looking for you, bastard!\I'm off. response:	Bye-bye!
context: Maybe I'll go to that village next.\That village?\What's this?\Hold it right there!\Huh? Who are you?!\Been looking for you, bastard!\I'm off.\Bye-bye! response:	Be careful, now!
context: That village?\What's this?\Hold it right there!\Huh? Who are you?!\Been looking for you, bastard!\I'm off.\Bye-bye!\Be careful, now! response:	Do your best!
context: What's this?\Hold it right there!\Huh? Who are you?!\Been looking for you, bastard!\I'm off.\Bye-bye!\Be careful, now!\Do your best! response:	And there!
context: Hold it right there!\Huh? Who are you?!\Been looking for you, bastard!\I'm off.\Bye-bye!\Be careful, now!\Do your best!\And there! response:	It never ceases to amaze me.
context: Huh? Who are you?!\Been looking for you, bastard!\I'm off.\Bye-bye!\Be careful, now!\Do your best!\And there!\It never ceases to amaze me. response:	Why can only Sis go through?
context: Been looking for you, bastard!\I'm off.\Bye-bye!\Be careful, now!\Do your best!\And there!\It never ceases to amaze me.\Why can only Sis go through? response:	Hmm... It's Kagome's fate. That's the only explanation.
context: I'm off.\Bye-bye!\Be careful, now!\Do your best!\And there!\It never ceases to amaze me.\Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation. response:	Oh yes... I'd better go shopping,
context: Bye-bye!\Be careful, now!\Do your best!\And there!\It never ceases to amaze me.\Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping, response:	so I can stock up on food for her when she returns.
context: Be careful, now!\Do your best!\And there!\It never ceases to amaze me.\Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns. response:	I'll go, too.
context: Do your best!\And there!\It never ceases to amaze me.\Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns.\I'll go, too. response:	And so shall I.
context: And there!\It never ceases to amaze me.\Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns.\I'll go, too.\And so shall I. response:	Where's Naraku?!
context: It never ceases to amaze me.\Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns.\I'll go, too.\And so shall I.\Where's Naraku?! response:	Naraku?
context: Why can only Sis go through?\Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns.\I'll go, too.\And so shall I.\Where's Naraku?!\Naraku? response:	Don't act stupid!
context: Hmm... It's Kagome's fate. That's the only explanation.\Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns.\I'll go, too.\And so shall I.\Where's Naraku?!\Naraku?\Don't act stupid! response:	You're another one of his offshoots!
context: Oh yes... I'd better go shopping,\so I can stock up on food for her when she returns.\I'll go, too.\And so shall I.\Where's Naraku?!\Naraku?\Don't act stupid!\You're another one of his offshoots! response:	You reek with his smell!
context: so I can stock up on food for her when she returns.\I'll go, too.\And so shall I.\Where's Naraku?!\Naraku?\Don't act stupid!\You're another one of his offshoots!\You reek with his smell! response:	You know about me?
context: I'll go, too.\And so shall I.\Where's Naraku?!\Naraku?\Don't act stupid!\You're another one of his offshoots!\You reek with his smell!\You know about me? response:	Say, tell me who I am.
context: And so shall I.\Where's Naraku?!\Naraku?\Don't act stupid!\You're another one of his offshoots!\You reek with his smell!\You know about me?\Say, tell me who I am. response:	Shaddup!
context: Where's Naraku?!\Naraku?\Don't act stupid!\You're another one of his offshoots!\You reek with his smell!\You know about me?\Say, tell me who I am.\Shaddup! response:	Inuyasha, I think he's the one behind all the killings, not Naraku.
context: Naraku?\Don't act stupid!\You're another one of his offshoots!\You reek with his smell!\You know about me?\Say, tell me who I am.\Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku. response:	One thing's certain... He has the same smell as Naraku.
context: Don't act stupid!\You're another one of his offshoots!\You reek with his smell!\You know about me?\Say, tell me who I am.\Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku. response:	Are you the one who killed the bandits and stole their faces?
context: You're another one of his offshoots!\You reek with his smell!\You know about me?\Say, tell me who I am.\Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces? response:	Yeah, I was the one.
context: You reek with his smell!\You know about me?\Say, tell me who I am.\Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces?\Yeah, I was the one. response:	But they were all so ugly, I couldn't use them.
context: You know about me?\Say, tell me who I am.\Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces?\Yeah, I was the one.\But they were all so ugly, I couldn't use them. response:	But now this one... nice, huh?
context: Say, tell me who I am.\Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces?\Yeah, I was the one.\But they were all so ugly, I couldn't use them.\But now this one... nice, huh? response:	Did you steal that face, too?
context: Shaddup!\Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces?\Yeah, I was the one.\But they were all so ugly, I couldn't use them.\But now this one... nice, huh?\Did you steal that face, too? response:	Yup. I wanted a handsome face.
context: Inuyasha, I think he's the one behind all the killings, not Naraku.\One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces?\Yeah, I was the one.\But they were all so ugly, I couldn't use them.\But now this one... nice, huh?\Did you steal that face, too?\Yup. I wanted a handsome face. response:	And money, women... I wanted it all.
context: One thing's certain... He has the same smell as Naraku.\Are you the one who killed the bandits and stole their faces?\Yeah, I was the one.\But they were all so ugly, I couldn't use them.\But now this one... nice, huh?\Did you steal that face, too?\Yup. I wanted a handsome face.\And money, women... I wanted it all. response:	And I stole them all.
context: Are you the one who killed the bandits and stole their faces?\Yeah, I was the one.\But they were all so ugly, I couldn't use them.\But now this one... nice, huh?\Did you steal that face, too?\Yup. I wanted a handsome face.\And money, women... I wanted it all.\And I stole them all. response:	But it's not enough. There's something missing.
context: Yeah, I was the one.\But they were all so ugly, I couldn't use them.\But now this one... nice, huh?\Did you steal that face, too?\Yup. I wanted a handsome face.\And money, women... I wanted it all.\And I stole them all.\But it's not enough. There's something missing. response:	Tell me... what is it I crave?
context: But they were all so ugly, I couldn't use them.\But now this one... nice, huh?\Did you steal that face, too?\Yup. I wanted a handsome face.\And money, women... I wanted it all.\And I stole them all.\But it's not enough. There's something missing.\Tell me... what is it I crave? response:	Why, you!
context: But now this one... nice, huh?\Did you steal that face, too?\Yup. I wanted a handsome face.\And money, women... I wanted it all.\And I stole them all.\But it's not enough. There's something missing.\Tell me... what is it I crave?\Why, you! response:	He's not joking.
context: Did you steal that face, too?\Yup. I wanted a handsome face.\And money, women... I wanted it all.\And I stole them all.\But it's not enough. There's something missing.\Tell me... what is it I crave?\Why, you!\He's not joking. response:	He doesn't even know who he is...
context: Yup. I wanted a handsome face.\And money, women... I wanted it all.\And I stole them all.\But it's not enough. There's something missing.\Tell me... what is it I crave?\Why, you!\He's not joking.\He doesn't even know who he is... response:	He's definitely unlike the others Naraku has borne.
context: And money, women... I wanted it all.\And I stole them all.\But it's not enough. There's something missing.\Tell me... what is it I crave?\Why, you!\He's not joking.\He doesn't even know who he is...\He's definitely unlike the others Naraku has borne. response:	Humph! So they've come face to face.
context: And I stole them all.\But it's not enough. There's something missing.\Tell me... what is it I crave?\Why, you!\He's not joking.\He doesn't even know who he is...\He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face. response:	He's the most abominable creation of my flesh.
context: But it's not enough. There's something missing.\Tell me... what is it I crave?\Why, you!\He's not joking.\He doesn't even know who he is...\He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face.\He's the most abominable creation of my flesh. response:	Inuyasha... for you, too.
context: Tell me... what is it I crave?\Why, you!\He's not joking.\He doesn't even know who he is...\He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face.\He's the most abominable creation of my flesh.\Inuyasha... for you, too. response:	Now, then...
context: Why, you!\He's not joking.\He doesn't even know who he is...\He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face.\He's the most abominable creation of my flesh.\Inuyasha... for you, too.\Now, then... response:	You attacked the village and set it afire, too?!
context: He's not joking.\He doesn't even know who he is...\He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face.\He's the most abominable creation of my flesh.\Inuyasha... for you, too.\Now, then...\You attacked the village and set it afire, too?! response:	Yeah.
context: He doesn't even know who he is...\He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face.\He's the most abominable creation of my flesh.\Inuyasha... for you, too.\Now, then...\You attacked the village and set it afire, too?!\Yeah. response:	I felt if I slaughtered some people, I'd remember something...
context: He's definitely unlike the others Naraku has borne.\Humph! So they've come face to face.\He's the most abominable creation of my flesh.\Inuyasha... for you, too.\Now, then...\You attacked the village and set it afire, too?!\Yeah.\I felt if I slaughtered some people, I'd remember something... response:	But it didn't work.
context: Humph! So they've come face to face.\He's the most abominable creation of my flesh.\Inuyasha... for you, too.\Now, then...\You attacked the village and set it afire, too?!\Yeah.\I felt if I slaughtered some people, I'd remember something...\But it didn't work. response:	Although it was fun.
context: He's the most abominable creation of my flesh.\Inuyasha... for you, too.\Now, then...\You attacked the village and set it afire, too?!\Yeah.\I felt if I slaughtered some people, I'd remember something...\But it didn't work.\Although it was fun. response:	Just what are you?!
context: Inuyasha... for you, too.\Now, then...\You attacked the village and set it afire, too?!\Yeah.\I felt if I slaughtered some people, I'd remember something...\But it didn't work.\Although it was fun.\Just what are you?! response:	I told you, I can't recall.
context: Now, then...\You attacked the village and set it afire, too?!\Yeah.\I felt if I slaughtered some people, I'd remember something...\But it didn't work.\Although it was fun.\Just what are you?!\I told you, I can't recall. response:	I know! How about Muso?
context: You attacked the village and set it afire, too?!\Yeah.\I felt if I slaughtered some people, I'd remember something...\But it didn't work.\Although it was fun.\Just what are you?!\I told you, I can't recall.\I know! How about Muso? response:	My name's Muso.
context: Yeah.\I felt if I slaughtered some people, I'd remember something...\But it didn't work.\Although it was fun.\Just what are you?!\I told you, I can't recall.\I know! How about Muso?\My name's Muso. response:	It's not bad, is it?
context: I felt if I slaughtered some people, I'd remember something...\But it didn't work.\Although it was fun.\Just what are you?!\I told you, I can't recall.\I know! How about Muso?\My name's Muso.\It's not bad, is it? response:	It's the name of the bonze who gave me this face.
context: But it didn't work.\Although it was fun.\Just what are you?!\I told you, I can't recall.\I know! How about Muso?\My name's Muso.\It's not bad, is it?\It's the name of the bonze who gave me this face. response:	Gave? Didn't you kill him?!
context: Although it was fun.\Just what are you?!\I told you, I can't recall.\I know! How about Muso?\My name's Muso.\It's not bad, is it?\It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?! response:	Why that look?
context: Just what are you?!\I told you, I can't recall.\I know! How about Muso?\My name's Muso.\It's not bad, is it?\It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?!\Why that look? response:	I don't like it.
context: I told you, I can't recall.\I know! How about Muso?\My name's Muso.\It's not bad, is it?\It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?!\Why that look?\I don't like it. response:	And I don't like YOU!
context: I know! How about Muso?\My name's Muso.\It's not bad, is it?\It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?!\Why that look?\I don't like it.\And I don't like YOU! response:	You know...
context: My name's Muso.\It's not bad, is it?\It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?!\Why that look?\I don't like it.\And I don't like YOU!\You know... response:	I really don't like your face.
context: It's not bad, is it?\It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?!\Why that look?\I don't like it.\And I don't like YOU!\You know...\I really don't like your face. response:	Tell me, have we met before?
context: It's the name of the bonze who gave me this face.\Gave? Didn't you kill him?!\Why that look?\I don't like it.\And I don't like YOU!\You know...\I really don't like your face.\Tell me, have we met before? response:	It's no use talking to you!
context: Gave? Didn't you kill him?!\Why that look?\I don't like it.\And I don't like YOU!\You know...\I really don't like your face.\Tell me, have we met before?\It's no use talking to you! response:	Inuyasha!
context: Why that look?\I don't like it.\And I don't like YOU!\You know...\I really don't like your face.\Tell me, have we met before?\It's no use talking to you!\Inuyasha! response:	Someone who smells exactly like Naraku is killing people senselessly!
context: I don't like it.\And I don't like YOU!\You know...\I really don't like your face.\Tell me, have we met before?\It's no use talking to you!\Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly! response:	You deserve to die!
context: And I don't like YOU!\You know...\I really don't like your face.\Tell me, have we met before?\It's no use talking to you!\Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die! response:	Just try it!
context: You know...\I really don't like your face.\Tell me, have we met before?\It's no use talking to you!\Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die!\Just try it! response:	Die!
context: I really don't like your face.\Tell me, have we met before?\It's no use talking to you!\Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die!\Just try it!\Die! response:	He did it!
context: Tell me, have we met before?\It's no use talking to you!\Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die!\Just try it!\Die!\He did it! response:	Not yet!
context: It's no use talking to you!\Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die!\Just try it!\Die!\He did it!\Not yet! response:	What's his body made of?!
context: Inuyasha!\Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die!\Just try it!\Die!\He did it!\Not yet!\What's his body made of?! response:	Like it's clay or something.
context: Someone who smells exactly like Naraku is killing people senselessly!\You deserve to die!\Just try it!\Die!\He did it!\Not yet!\What's his body made of?!\Like it's clay or something. response:	Naraku's Poison Insects!
context: You deserve to die!\Just try it!\Die!\He did it!\Not yet!\What's his body made of?!\Like it's clay or something.\Naraku's Poison Insects! response:	His arm!
context: Just try it!\Die!\He did it!\Not yet!\What's his body made of?!\Like it's clay or something.\Naraku's Poison Insects!\His arm! response:	He's absorbing the Poison Insects into his body!
context: Die!\He did it!\Not yet!\What's his body made of?!\Like it's clay or something.\Naraku's Poison Insects!\His arm!\He's absorbing the Poison Insects into his body! response:	My Wind Tunnel is useless!
context: He did it!\Not yet!\What's his body made of?!\Like it's clay or something.\Naraku's Poison Insects!\His arm!\He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless! response:	This is amazing!
context: Not yet!\What's his body made of?!\Like it's clay or something.\Naraku's Poison Insects!\His arm!\He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless!\This is amazing! response:	So what's in that village?
context: What's his body made of?!\Like it's clay or something.\Naraku's Poison Insects!\His arm!\He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless!\This is amazing!\So what's in that village? response:	What're you talking about?
context: Like it's clay or something.\Naraku's Poison Insects!\His arm!\He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless!\This is amazing!\So what's in that village?\What're you talking about? response:	That village is calling me.
context: Naraku's Poison Insects!\His arm!\He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless!\This is amazing!\So what's in that village?\What're you talking about?\That village is calling me. response:	If I slaughter the villagers,
context: His arm!\He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless!\This is amazing!\So what's in that village?\What're you talking about?\That village is calling me.\If I slaughter the villagers, response:	maybe THIS time, I'll remember something.
context: He's absorbing the Poison Insects into his body!\My Wind Tunnel is useless!\This is amazing!\So what's in that village?\What're you talking about?\That village is calling me.\If I slaughter the villagers,\maybe THIS time, I'll remember something. response:	Why, you!
context: My Wind Tunnel is useless!\This is amazing!\So what's in that village?\What're you talking about?\That village is calling me.\If I slaughter the villagers,\maybe THIS time, I'll remember something.\Why, you! response:	What?!
context: This is amazing!\So what's in that village?\What're you talking about?\That village is calling me.\If I slaughter the villagers,\maybe THIS time, I'll remember something.\Why, you!\What?! response:	Hmm... Pretty good!
context: So what's in that village?\What're you talking about?\That village is calling me.\If I slaughter the villagers,\maybe THIS time, I'll remember something.\Why, you!\What?!\Hmm... Pretty good! response:	Hiraikotsu!
context: What're you talking about?\That village is calling me.\If I slaughter the villagers,\maybe THIS time, I'll remember something.\Why, you!\What?!\Hmm... Pretty good!\Hiraikotsu! response:	There!
context: That village is calling me.\If I slaughter the villagers,\maybe THIS time, I'll remember something.\Why, you!\What?!\Hmm... Pretty good!\Hiraikotsu!\There! response:	He's formidable!
