context: Akatsuki... response:	Where am I?
context: I want to end the murders!\And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know!\You think you can beat him?\I don't know,\but I have to do something to end it.\With my lord gone, someone has to do it.\What do you mean? response:	Shiroe isn't here?
context: And not just your Teachings, but... well...\If there's a way to stop him, please tell me anything you know!\You think you can beat him?\I don't know,\but I have to do something to end it.\With my lord gone, someone has to do it.\What do you mean?\Shiroe isn't here? response:	We were asked to keep it a secret,
context: If there's a way to stop him, please tell me anything you know!\You think you can beat him?\I don't know,\but I have to do something to end it.\With my lord gone, someone has to do it.\What do you mean?\Shiroe isn't here?\We were asked to keep it a secret, response:	but that's right.
context: You think you can beat him?\I don't know,\but I have to do something to end it.\With my lord gone, someone has to do it.\What do you mean?\Shiroe isn't here?\We were asked to keep it a secret,\but that's right. response:	At the moment, Shiro is away from Akihabara.
context: I don't know,\but I have to do something to end it.\With my lord gone, someone has to do it.\What do you mean?\Shiroe isn't here?\We were asked to keep it a secret,\but that's right.\At the moment, Shiro is away from Akihabara. response:	Now I get it.
context: but I have to do something to end it.\With my lord gone, someone has to do it.\What do you mean?\Shiroe isn't here?\We were asked to keep it a secret,\but that's right.\At the moment, Shiro is away from Akihabara.\Now I get it. response:	No wonder you're so desperate.
context: With my lord gone, someone has to do it.\What do you mean?\Shiroe isn't here?\We were asked to keep it a secret,\but that's right.\At the moment, Shiro is away from Akihabara.\Now I get it.\No wonder you're so desperate. response:	Well?
context: What do you mean?\Shiroe isn't here?\We were asked to keep it a secret,\but that's right.\At the moment, Shiro is away from Akihabara.\Now I get it.\No wonder you're so desperate.\Well? response:	I haven't heard your answer.
context: Shiroe isn't here?\We were asked to keep it a secret,\but that's right.\At the moment, Shiro is away from Akihabara.\Now I get it.\No wonder you're so desperate.\Well?\I haven't heard your answer. response:	Do you think you can beat him?
context: We were asked to keep it a secret,\but that's right.\At the moment, Shiro is away from Akihabara.\Now I get it.\No wonder you're so desperate.\Well?\I haven't heard your answer.\Do you think you can beat him? response:	Do you think you can end this?
context: but that's right.\At the moment, Shiro is away from Akihabara.\Now I get it.\No wonder you're so desperate.\Well?\I haven't heard your answer.\Do you think you can beat him?\Do you think you can end this? response:	Can you do it alone?
context: At the moment, Shiro is away from Akihabara.\Now I get it.\No wonder you're so desperate.\Well?\I haven't heard your answer.\Do you think you can beat him?\Do you think you can end this?\Can you do it alone? response:	I can't.
context: Now I get it.\No wonder you're so desperate.\Well?\I haven't heard your answer.\Do you think you can beat him?\Do you think you can end this?\Can you do it alone?\I can't. response:	I can't do it alone.
context: No wonder you're so desperate.\Well?\I haven't heard your answer.\Do you think you can beat him?\Do you think you can end this?\Can you do it alone?\I can't.\I can't do it alone. response:	That's why I want your help.
context: Well?\I haven't heard your answer.\Do you think you can beat him?\Do you think you can end this?\Can you do it alone?\I can't.\I can't do it alone.\That's why I want your help. response:	Please help me!
context: I haven't heard your answer.\Do you think you can beat him?\Do you think you can end this?\Can you do it alone?\I can't.\I can't do it alone.\That's why I want your help.\Please help me! response:	You half-passed, I would say.
context: Do you think you can beat him?\Do you think you can end this?\Can you do it alone?\I can't.\I can't do it alone.\That's why I want your help.\Please help me!\You half-passed, I would say. response:	There are eight Teachings that D.D.D. is aware of.
context: Do you think you can end this?\Can you do it alone?\I can't.\I can't do it alone.\That's why I want your help.\Please help me!\You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of. response:	I've already gained my lord's permission.
context: Can you do it alone?\I can't.\I can't do it alone.\That's why I want your help.\Please help me!\You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission. response:	He's told me to share them with you.
context: I can't.\I can't do it alone.\That's why I want your help.\Please help me!\You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission.\He's told me to share them with you. response:	Really...
context: I can't do it alone.\That's why I want your help.\Please help me!\You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission.\He's told me to share them with you.\Really... response:	To come all this way, just to start over as a middle schooler...
context: That's why I want your help.\Please help me!\You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission.\He's told me to share them with you.\Really...\To come all this way, just to start over as a middle schooler... response:	Doesn't seem there are any more goblins over here, either.
context: Please help me!\You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission.\He's told me to share them with you.\Really...\To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either. response:	Yeah.
context: You half-passed, I would say.\There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission.\He's told me to share them with you.\Really...\To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either.\Yeah. response:	My lord...
context: There are eight Teachings that D.D.D. is aware of.\I've already gained my lord's permission.\He's told me to share them with you.\Really...\To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either.\Yeah.\My lord... response:	Are you bored?
context: I've already gained my lord's permission.\He's told me to share them with you.\Really...\To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either.\Yeah.\My lord...\Are you bored? response:	You got me.
context: He's told me to share them with you.\Really...\To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either.\Yeah.\My lord...\Are you bored?\You got me. response:	I am, yes.
context: Really...\To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either.\Yeah.\My lord...\Are you bored?\You got me.\I am, yes. response:	Deal with it.
context: To come all this way, just to start over as a middle schooler...\Doesn't seem there are any more goblins over here, either.\Yeah.\My lord...\Are you bored?\You got me.\I am, yes.\Deal with it. response:	I've dealt with it all this time, and I'm still bored.
context: Doesn't seem there are any more goblins over here, either.\Yeah.\My lord...\Are you bored?\You got me.\I am, yes.\Deal with it.\I've dealt with it all this time, and I'm still bored. response:	What's wrong?
context: Yeah.\My lord...\Are you bored?\You got me.\I am, yes.\Deal with it.\I've dealt with it all this time, and I'm still bored.\What's wrong? response:	Lately, my weapon's been acting strangely.
context: My lord...\Are you bored?\You got me.\I am, yes.\Deal with it.\I've dealt with it all this time, and I'm still bored.\What's wrong?\Lately, my weapon's been acting strangely. response:	Why not send it to be repaired?
context: Are you bored?\You got me.\I am, yes.\Deal with it.\I've dealt with it all this time, and I'm still bored.\What's wrong?\Lately, my weapon's been acting strangely.\Why not send it to be repaired? response:	Yeah...
context: You got me.\I am, yes.\Deal with it.\I've dealt with it all this time, and I'm still bored.\What's wrong?\Lately, my weapon's been acting strangely.\Why not send it to be repaired?\Yeah... response:	But it's not any less powerful, so I've just overlooked it.
context: I am, yes.\Deal with it.\I've dealt with it all this time, and I'm still bored.\What's wrong?\Lately, my weapon's been acting strangely.\Why not send it to be repaired?\Yeah...\But it's not any less powerful, so I've just overlooked it. response:	Its name is Disaster, right?
context: Deal with it.\I've dealt with it all this time, and I'm still bored.\What's wrong?\Lately, my weapon's been acting strangely.\Why not send it to be repaired?\Yeah...\But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right? response:	Yeah. Its flavor text is pretty dark, as well.
context: I've dealt with it all this time, and I'm still bored.\What's wrong?\Lately, my weapon's been acting strangely.\Why not send it to be repaired?\Yeah...\But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well. response:	It seems to be fine.
context: What's wrong?\Lately, my weapon's been acting strangely.\Why not send it to be repaired?\Yeah...\But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well.\It seems to be fine. response:	Sorry to bother you.
context: Lately, my weapon's been acting strangely.\Why not send it to be repaired?\Yeah...\But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well.\It seems to be fine.\Sorry to bother you. response:	Onigiri Shop Enmusubi
context: Why not send it to be repaired?\Yeah...\But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well.\It seems to be fine.\Sorry to bother you.\Onigiri Shop Enmusubi response:	What a relief!
context: Yeah...\But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well.\It seems to be fine.\Sorry to bother you.\Onigiri Shop Enmusubi\What a relief! response:	Research announcements are always tense, no matter how often you do them.
context: But it's not any less powerful, so I've just overlooked it.\Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well.\It seems to be fine.\Sorry to bother you.\Onigiri Shop Enmusubi\What a relief!\Research announcements are always tense, no matter how often you do them. response:	But it looks like everyone was surprised.
context: Its name is Disaster, right?\Yeah. Its flavor text is pretty dark, as well.\It seems to be fine.\Sorry to bother you.\Onigiri Shop Enmusubi\What a relief!\Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised. response:	For one of Roderic Research's recent announcements, it had a lot of impact.
context: Yeah. Its flavor text is pretty dark, as well.\It seems to be fine.\Sorry to bother you.\Onigiri Shop Enmusubi\What a relief!\Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact. response:	That now everyone can cook, even if their sub-class isn't chef.
context: It seems to be fine.\Sorry to bother you.\Onigiri Shop Enmusubi\What a relief!\Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef. response:	It's limited to simple stuff like salad...
context: Sorry to bother you.\Onigiri Shop Enmusubi\What a relief!\Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad... response:	But why is a change like this happening?
context: Onigiri Shop Enmusubi\What a relief!\Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad...\But why is a change like this happening? response:	Guild master?
context: What a relief!\Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad...\But why is a change like this happening?\Guild master? response:	Oh, you can keep eating.
context: Research announcements are always tense, no matter how often you do them.\But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad...\But why is a change like this happening?\Guild master?\Oh, you can keep eating. response:	Our investigation's interim reports are in, so I'll just briefly interrupt.
context: But it looks like everyone was surprised.\For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad...\But why is a change like this happening?\Guild master?\Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt. response:	Personality Woman Man
context: For one of Roderic Research's recent announcements, it had a lot of impact.\That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad...\But why is a change like this happening?\Guild master?\Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man response:	Voice Sex Differences
context: That now everyone can cook, even if their sub-class isn't chef.\It's limited to simple stuff like salad...\But why is a change like this happening?\Guild master?\Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man\Voice Sex Differences response:	There are three things I need to announce.
context: It's limited to simple stuff like salad...\But why is a change like this happening?\Guild master?\Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man\Voice Sex Differences\There are three things I need to announce. response:	First, regarding sex differences between now and when this was a game.
context: But why is a change like this happening?\Guild master?\Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man\Voice Sex Differences\There are three things I need to announce.\First, regarding sex differences between now and when this was a game. response:	Sex differences?
context: Guild master?\Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man\Voice Sex Differences\There are three things I need to announce.\First, regarding sex differences between now and when this was a game.\Sex differences? response:	Some people play a different sex than they are in real life, right?
context: Oh, you can keep eating.\Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man\Voice Sex Differences\There are three things I need to announce.\First, regarding sex differences between now and when this was a game.\Sex differences?\Some people play a different sex than they are in real life, right? response:	He's talking about that.
context: Our investigation's interim reports are in, so I'll just briefly interrupt.\Personality Woman Man\Voice Sex Differences\There are three things I need to announce.\First, regarding sex differences between now and when this was a game.\Sex differences?\Some people play a different sex than they are in real life, right?\He's talking about that. response:	RDR has reported in the past
context: Personality Woman Man\Voice Sex Differences\There are three things I need to announce.\First, regarding sex differences between now and when this was a game.\Sex differences?\Some people play a different sex than they are in real life, right?\He's talking about that.\RDR has reported in the past response:	that personality is influenced by a person's body.
context: Voice Sex Differences\There are three things I need to announce.\First, regarding sex differences between now and when this was a game.\Sex differences?\Some people play a different sex than they are in real life, right?\He's talking about that.\RDR has reported in the past\that personality is influenced by a person's body. response:	But it appears the voice is affected, as well.
context: There are three things I need to announce.\First, regarding sex differences between now and when this was a game.\Sex differences?\Some people play a different sex than they are in real life, right?\He's talking about that.\RDR has reported in the past\that personality is influenced by a person's body.\But it appears the voice is affected, as well. response:	An adventurer with a female body will find their voice
context: First, regarding sex differences between now and when this was a game.\Sex differences?\Some people play a different sex than they are in real life, right?\He's talking about that.\RDR has reported in the past\that personality is influenced by a person's body.\But it appears the voice is affected, as well.\An adventurer with a female body will find their voice response:	gradually becoming feminine,
context: Sex differences?\Some people play a different sex than they are in real life, right?\He's talking about that.\RDR has reported in the past\that personality is influenced by a person's body.\But it appears the voice is affected, as well.\An adventurer with a female body will find their voice\gradually becoming feminine, response:	even if the player is actually a man.
context: Some people play a different sex than they are in real life, right?\He's talking about that.\RDR has reported in the past\that personality is influenced by a person's body.\But it appears the voice is affected, as well.\An adventurer with a female body will find their voice\gradually becoming feminine,\even if the player is actually a man. response:	Next is optical observation.
context: He's talking about that.\RDR has reported in the past\that personality is influenced by a person's body.\But it appears the voice is affected, as well.\An adventurer with a female body will find their voice\gradually becoming feminine,\even if the player is actually a man.\Next is optical observation. response:	There's still a lot we don't know,
context: RDR has reported in the past\that personality is influenced by a person's body.\But it appears the voice is affected, as well.\An adventurer with a female body will find their voice\gradually becoming feminine,\even if the player is actually a man.\Next is optical observation.\There's still a lot we don't know, response:	but it seems the distance between Akihabara and Mt. Fuji is increasing.
context: that personality is influenced by a person's body.\But it appears the voice is affected, as well.\An adventurer with a female body will find their voice\gradually becoming feminine,\even if the player is actually a man.\Next is optical observation.\There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing. response:	Actually, the distance between any two points
context: But it appears the voice is affected, as well.\An adventurer with a female body will find their voice\gradually becoming feminine,\even if the player is actually a man.\Next is optical observation.\There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points response:	is increasing by a small amount.
context: An adventurer with a female body will find their voice\gradually becoming feminine,\even if the player is actually a man.\Next is optical observation.\There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points\is increasing by a small amount. response:	Excuse me.
context: gradually becoming feminine,\even if the player is actually a man.\Next is optical observation.\There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points\is increasing by a small amount.\Excuse me. response:	Go ahead.
context: even if the player is actually a man.\Next is optical observation.\There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points\is increasing by a small amount.\Excuse me.\Go ahead. response:	Is that occurring everywhere?
context: Next is optical observation.\There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points\is increasing by a small amount.\Excuse me.\Go ahead.\Is that occurring everywhere? response:	Does that mean Yamato is getting bigger?
context: There's still a lot we don't know,\but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points\is increasing by a small amount.\Excuse me.\Go ahead.\Is that occurring everywhere?\Does that mean Yamato is getting bigger? response:	We believe so.
context: but it seems the distance between Akihabara and Mt. Fuji is increasing.\Actually, the distance between any two points\is increasing by a small amount.\Excuse me.\Go ahead.\Is that occurring everywhere?\Does that mean Yamato is getting bigger?\We believe so. response:	Lastly, regarding flavor text...
context: Actually, the distance between any two points\is increasing by a small amount.\Excuse me.\Go ahead.\Is that occurring everywhere?\Does that mean Yamato is getting bigger?\We believe so.\Lastly, regarding flavor text... response:	As you know, flavor text is merely
context: is increasing by a small amount.\Excuse me.\Go ahead.\Is that occurring everywhere?\Does that mean Yamato is getting bigger?\We believe so.\Lastly, regarding flavor text...\As you know, flavor text is merely response:	Healing Potion (Basic)
context: Excuse me.\Go ahead.\Is that occurring everywhere?\Does that mean Yamato is getting bigger?\We believe so.\Lastly, regarding flavor text...\As you know, flavor text is merely\Healing Potion (Basic) response:	Effect/ Healing Potion (Basic) Restores a small amount of HP
context: Go ahead.\Is that occurring everywhere?\Does that mean Yamato is getting bigger?\We believe so.\Lastly, regarding flavor text...\As you know, flavor text is merely\Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP response:	an explanation that describes where an item originated or what it is.
context: Is that occurring everywhere?\Does that mean Yamato is getting bigger?\We believe so.\Lastly, regarding flavor text...\As you know, flavor text is merely\Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is. response:	Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.
context: Does that mean Yamato is getting bigger?\We believe so.\Lastly, regarding flavor text...\As you know, flavor text is merely\Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator. response:	As the name suggests, it's just for flavor.
context: We believe so.\Lastly, regarding flavor text...\As you know, flavor text is merely\Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor. response:	It has no in-game effects.
context: Lastly, regarding flavor text...\As you know, flavor text is merely\Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor.\It has no in-game effects. response:	Yeah,
context: As you know, flavor text is merely\Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor.\It has no in-game effects.\Yeah, response:	it's just to add atmosphere...
context: Healing Potion (Basic)\Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor.\It has no in-game effects.\Yeah,\it's just to add atmosphere... response:	Yes.
context: Effect/ Healing Potion (Basic) Restores a small amount of HP\an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor.\It has no in-game effects.\Yeah,\it's just to add atmosphere...\Yes. response:	It should have no meaning at all.
context: an explanation that describes where an item originated or what it is.\Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor.\It has no in-game effects.\Yeah,\it's just to add atmosphere...\Yes.\It should have no meaning at all. response:	But we've confirmed
context: Explanation/ Healing Potion (Basic) A magical medicine created by adventurers. Its capabilities, flavor, and scent change depending on the skill of the creator.\As the name suggests, it's just for flavor.\It has no in-game effects.\Yeah,\it's just to add atmosphere...\Yes.\It should have no meaning at all.\But we've confirmed response:	that some items' flavor texts are having real-world effects.
context: As the name suggests, it's just for flavor.\It has no in-game effects.\Yeah,\it's just to add atmosphere...\Yes.\It should have no meaning at all.\But we've confirmed\that some items' flavor texts are having real-world effects. response:	No way.
context: It has no in-game effects.\Yeah,\it's just to add atmosphere...\Yes.\It should have no meaning at all.\But we've confirmed\that some items' flavor texts are having real-world effects.\No way. response:	Could so many coincidences really occur at once?
context: Yeah,\it's just to add atmosphere...\Yes.\It should have no meaning at all.\But we've confirmed\that some items' flavor texts are having real-world effects.\No way.\Could so many coincidences really occur at once? response:	Shouldn't we assume that this world is undergoing some large-scale change?
context: it's just to add atmosphere...\Yes.\It should have no meaning at all.\But we've confirmed\that some items' flavor texts are having real-world effects.\No way.\Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change? response:	The Apocalypse is not over yet.
context: Yes.\It should have no meaning at all.\But we've confirmed\that some items' flavor texts are having real-world effects.\No way.\Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet. response:	I've already heard the broader details.
context: It should have no meaning at all.\But we've confirmed\that some items' flavor texts are having real-world effects.\No way.\Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet.\I've already heard the broader details. response:	The murderer is a Person of the Land.
context: But we've confirmed\that some items' flavor texts are having real-world effects.\No way.\Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet.\I've already heard the broader details.\The murderer is a Person of the Land. response:	You told them.
context: that some items' flavor texts are having real-world effects.\No way.\Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet.\I've already heard the broader details.\The murderer is a Person of the Land.\You told them. response:	If this gets out,
context: No way.\Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet.\I've already heard the broader details.\The murderer is a Person of the Land.\You told them.\If this gets out, response:	relations between adventurers and People of the Land will worsen in Akihabara.
context: Could so many coincidences really occur at once?\Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet.\I've already heard the broader details.\The murderer is a Person of the Land.\You told them.\If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara. response:	Akatsuki tried to resolve the situation because she was concerned about that.
context: Shouldn't we assume that this world is undergoing some large-scale change?\The Apocalypse is not over yet.\I've already heard the broader details.\The murderer is a Person of the Land.\You told them.\If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that. response:	Right?
context: The Apocalypse is not over yet.\I've already heard the broader details.\The murderer is a Person of the Land.\You told them.\If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that.\Right? response:	I can understand that.
context: I've already heard the broader details.\The murderer is a Person of the Land.\You told them.\If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that.\Right?\I can understand that. response:	Though I can't imagine you'll be able to hide it completely.
context: The murderer is a Person of the Land.\You told them.\If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that.\Right?\I can understand that.\Though I can't imagine you'll be able to hide it completely. response:	Not with all these victims...
context: You told them.\If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that.\Right?\I can understand that.\Though I can't imagine you'll be able to hide it completely.\Not with all these victims... response:	Is the West Wind Brigade going public with this?
context: If this gets out,\relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that.\Right?\I can understand that.\Though I can't imagine you'll be able to hide it completely.\Not with all these victims...\Is the West Wind Brigade going public with this? response:	No.
context: relations between adventurers and People of the Land will worsen in Akihabara.\Akatsuki tried to resolve the situation because she was concerned about that.\Right?\I can understand that.\Though I can't imagine you'll be able to hide it completely.\Not with all these victims...\Is the West Wind Brigade going public with this?\No. response:	Souji said he's pulling out.
context: Akatsuki tried to resolve the situation because she was concerned about that.\Right?\I can understand that.\Though I can't imagine you'll be able to hide it completely.\Not with all these victims...\Is the West Wind Brigade going public with this?\No.\Souji said he's pulling out. response:	Though that's up to you two.
context: Right?\I can understand that.\Though I can't imagine you'll be able to hide it completely.\Not with all these victims...\Is the West Wind Brigade going public with this?\No.\Souji said he's pulling out.\Though that's up to you two. response:	That's...
context: I can understand that.\Though I can't imagine you'll be able to hide it completely.\Not with all these victims...\Is the West Wind Brigade going public with this?\No.\Souji said he's pulling out.\Though that's up to you two.\That's... response:	Stop wasting time confirming things, and get on with the lecture.
context: Though I can't imagine you'll be able to hide it completely.\Not with all these victims...\Is the West Wind Brigade going public with this?\No.\Souji said he's pulling out.\Though that's up to you two.\That's...\Stop wasting time confirming things, and get on with the lecture. response:	Is this what you mean?
context: Not with all these victims...\Is the West Wind Brigade going public with this?\No.\Souji said he's pulling out.\Though that's up to you two.\That's...\Stop wasting time confirming things, and get on with the lecture.\Is this what you mean? response:	You two were vain enough to think you could deal with this yourselves.
context: Is the West Wind Brigade going public with this?\No.\Souji said he's pulling out.\Though that's up to you two.\That's...\Stop wasting time confirming things, and get on with the lecture.\Is this what you mean?\You two were vain enough to think you could deal with this yourselves. response:	You knew you should have spoken to us, didn't you?
context: No.\Souji said he's pulling out.\Though that's up to you two.\That's...\Stop wasting time confirming things, and get on with the lecture.\Is this what you mean?\You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you? response:	Aren't you being a little arrogant?
context: Souji said he's pulling out.\Though that's up to you two.\That's...\Stop wasting time confirming things, and get on with the lecture.\Is this what you mean?\You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant? response:	Aren't you insulting the people around you?
context: Though that's up to you two.\That's...\Stop wasting time confirming things, and get on with the lecture.\Is this what you mean?\You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant?\Aren't you insulting the people around you? response:	How long do you intend to remain alone?
context: That's...\Stop wasting time confirming things, and get on with the lecture.\Is this what you mean?\You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant?\Aren't you insulting the people around you?\How long do you intend to remain alone? response:	Don't you think it's childish to tell yourself
context: Stop wasting time confirming things, and get on with the lecture.\Is this what you mean?\You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant?\Aren't you insulting the people around you?\How long do you intend to remain alone?\Don't you think it's childish to tell yourself response:	that all you need is Shiroe?
context: Is this what you mean?\You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant?\Aren't you insulting the people around you?\How long do you intend to remain alone?\Don't you think it's childish to tell yourself\that all you need is Shiroe? response:	True, it's always been that way.
context: You two were vain enough to think you could deal with this yourselves.\You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant?\Aren't you insulting the people around you?\How long do you intend to remain alone?\Don't you think it's childish to tell yourself\that all you need is Shiroe?\True, it's always been that way. response:	I was content with how comfortable I felt in his shadow.
context: You knew you should have spoken to us, didn't you?\Aren't you being a little arrogant?\Aren't you insulting the people around you?\How long do you intend to remain alone?\Don't you think it's childish to tell yourself\that all you need is Shiroe?\True, it's always been that way.\I was content with how comfortable I felt in his shadow. response:	I never tried to get close to anyone else.
