context: Even before the qualifier, there was something between us and Sabertooth, response:	but Natsu had to make it worse by slugging it out with them at their inn.
context: Sabertooth certainly did choose their top five strongest to compete.\Thank you very much!\And Lucy from Fairy Tail A!\I can't lose either!\I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much! response:	Um...
context: Thank you very much!\And Lucy from Fairy Tail A!\I can't lose either!\I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much!\Um... response:	I'm here, too... and I'm wild.
context: And Lucy from Fairy Tail A!\I can't lose either!\I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much!\Um...\I'm here, too... and I'm wild. response:	A man?
context: I can't lose either!\I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much!\Um...\I'm here, too... and I'm wild.\A man? response:	You clucked your tongue at me?!
context: I have to redeem myself after blowing it on the first day!\What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much!\Um...\I'm here, too... and I'm wild.\A man?\You clucked your tongue at me?! response:	The rules are simple. If you leave the water, you're out.
context: What a gorgeous tapestry we've got before us!\All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much!\Um...\I'm here, too... and I'm wild.\A man?\You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out. response:	In just a moment, the Naval Battle will begin!
context: All of the players are female and they're wearing swimsuits!\Thank you very much! Thank you very much! Thank you very much!\Um...\I'm here, too... and I'm wild.\A man?\You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin! response:	Go get'em, Lucy!
context: Thank you very much! Thank you very much! Thank you very much!\Um...\I'm here, too... and I'm wild.\A man?\You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin!\Go get'em, Lucy! response:	Since she's in water, she can use Aquarius, right?
context: Um...\I'm here, too... and I'm wild.\A man?\You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin!\Go get'em, Lucy!\Since she's in water, she can use Aquarius, right? response:	This is a good contest for her.
context: I'm here, too... and I'm wild.\A man?\You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin!\Go get'em, Lucy!\Since she's in water, she can use Aquarius, right?\This is a good contest for her. response:	Yep!
context: A man?\You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin!\Go get'em, Lucy!\Since she's in water, she can use Aquarius, right?\This is a good contest for her.\Yep! response:	I think this match is Juvia's to lose.
context: You clucked your tongue at me?!\The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin!\Go get'em, Lucy!\Since she's in water, she can use Aquarius, right?\This is a good contest for her.\Yep!\I think this match is Juvia's to lose. response:	I dunno...
context: The rules are simple. If you leave the water, you're out.\In just a moment, the Naval Battle will begin!\Go get'em, Lucy!\Since she's in water, she can use Aquarius, right?\This is a good contest for her.\Yep!\I think this match is Juvia's to lose.\I dunno... response:	Lucy can use plenty of other Celestial Spirits beyond Aquarius.
context: In just a moment, the Naval Battle will begin!\Go get'em, Lucy!\Since she's in water, she can use Aquarius, right?\This is a good contest for her.\Yep!\I think this match is Juvia's to lose.\I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius. response:	We probably shouldn't make light of Mermaid Heel either.
context: Go get'em, Lucy!\Since she's in water, she can use Aquarius, right?\This is a good contest for her.\Yep!\I think this match is Juvia's to lose.\I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either. response:	After all, they do have mermaid in their name.
context: Since she's in water, she can use Aquarius, right?\This is a good contest for her.\Yep!\I think this match is Juvia's to lose.\I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name. response:	That Minerva looks like a tough customer, too...
context: This is a good contest for her.\Yep!\I think this match is Juvia's to lose.\I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too... response:	Lu-chan, do your best!
context: Yep!\I think this match is Juvia's to lose.\I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too...\Lu-chan, do your best! response:	And now, let the Naval Battle begin!
context: I think this match is Juvia's to lose.\I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too...\Lu-chan, do your best!\And now, let the Naval Battle begin! response:	Sorry, everyone, but right off the bat...
context: I dunno...\Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too...\Lu-chan, do your best!\And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat... response:	Open! Gate of the Water Bearer!
context: Lucy can use plenty of other Celestial Spirits beyond Aquarius.\We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too...\Lu-chan, do your best!\And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer! response:	Aquarius!
context: We probably shouldn't make light of Mermaid Heel either.\After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too...\Lu-chan, do your best!\And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer!\Aquarius! response:	A Celestial Spirit!
context: After all, they do have mermaid in their name.\That Minerva looks like a tough customer, too...\Lu-chan, do your best!\And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer!\Aquarius!\A Celestial Spirit! response:	They've got a mermaid, too, huh? The more the merrier!
context: That Minerva looks like a tough customer, too...\Lu-chan, do your best!\And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer!\Aquarius!\A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier! response:	Water is my garden!
context: Lu-chan, do your best!\And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer!\Aquarius!\A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier!\Water is my garden! response:	Wild!
context: And now, let the Naval Battle begin!\Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer!\Aquarius!\A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier!\Water is my garden!\Wild! response:	Oh, no, you don't! Water Cyclone!
context: Sorry, everyone, but right off the bat...\Open! Gate of the Water Bearer!\Aquarius!\A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier!\Water is my garden!\Wild!\Oh, no, you don't! Water Cyclone! response:	Aquarius and Juvia's attacks are colliding head on!
context: Open! Gate of the Water Bearer!\Aquarius!\A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier!\Water is my garden!\Wild!\Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on! response:	We've got a highlight right away!
context: Aquarius!\A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier!\Water is my garden!\Wild!\Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away! response:	Wow! I wonder which of them is stronger?!
context: A Celestial Spirit!\They've got a mermaid, too, huh? The more the merrier!\Water is my garden!\Wild!\Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away!\Wow! I wonder which of them is stronger?! response:	Good luck, Juvia!
context: They've got a mermaid, too, huh? The more the merrier!\Water is my garden!\Wild!\Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away!\Wow! I wonder which of them is stronger?!\Good luck, Juvia! response:	After her, good luck to you, too, Lucy!
context: Water is my garden!\Wild!\Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away!\Wow! I wonder which of them is stronger?!\Good luck, Juvia!\After her, good luck to you, too, Lucy! response:	And then, just a little bit of good luck to Jenny!
context: Wild!\Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away!\Wow! I wonder which of them is stronger?!\Good luck, Juvia!\After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny! response:	The way you cheer is a pain.
context: Oh, no, you don't! Water Cyclone!\Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away!\Wow! I wonder which of them is stronger?!\Good luck, Juvia!\After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny!\The way you cheer is a pain. response:	Well, who do you think is going to win?
context: Aquarius and Juvia's attacks are colliding head on!\We've got a highlight right away!\Wow! I wonder which of them is stronger?!\Good luck, Juvia!\After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny!\The way you cheer is a pain.\Well, who do you think is going to win? response:	It's not even worth asking.
context: We've got a highlight right away!\Wow! I wonder which of them is stronger?!\Good luck, Juvia!\After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny!\The way you cheer is a pain.\Well, who do you think is going to win?\It's not even worth asking. response:	You let Juvia into water, nobody else stands a chance.
context: Wow! I wonder which of them is stronger?!\Good luck, Juvia!\After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny!\The way you cheer is a pain.\Well, who do you think is going to win?\It's not even worth asking.\You let Juvia into water, nobody else stands a chance. response:	I haven't seen you for a while, Aquarius-san.
context: Good luck, Juvia!\After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny!\The way you cheer is a pain.\Well, who do you think is going to win?\It's not even worth asking.\You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san. response:	Just because we're acquainted, don't think I'm gonna hold back.
context: After her, good luck to you, too, Lucy!\And then, just a little bit of good luck to Jenny!\The way you cheer is a pain.\Well, who do you think is going to win?\It's not even worth asking.\You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back. response:	You took the words out of my mouth.
context: And then, just a little bit of good luck to Jenny!\The way you cheer is a pain.\Well, who do you think is going to win?\It's not even worth asking.\You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth. response:	Aquarius really is amazing, huh?
context: The way you cheer is a pain.\Well, who do you think is going to win?\It's not even worth asking.\You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth.\Aquarius really is amazing, huh? response:	I mean, she's not even takin' a licking from Juvia's power!
context: Well, who do you think is going to win?\It's not even worth asking.\You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth.\Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power! response:	But by that same argument,
context: It's not even worth asking.\You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth.\Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power!\But by that same argument, response:	I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!
context: You let Juvia into water, nobody else stands a chance.\I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth.\Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power!\But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san! response:	We're even?!
context: I haven't seen you for a while, Aquarius-san.\Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth.\Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power!\But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?! response:	Juvia is going to win!
context: Just because we're acquainted, don't think I'm gonna hold back.\You took the words out of my mouth.\Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power!\But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?!\Juvia is going to win! response:	Juvia can't let Gray-sama see her shameful in battle!
context: You took the words out of my mouth.\Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power!\But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?!\Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle! response:	It seems Juvia is worried about how you see her.
context: Aquarius really is amazing, huh?\I mean, she's not even takin' a licking from Juvia's power!\But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?!\Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her. response:	You must realize by now how Juvia feels about you.
context: I mean, she's not even takin' a licking from Juvia's power!\But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?!\Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you. response:	Why not give her a clear-cut response?
context: But by that same argument,\I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?!\Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you.\Why not give her a clear-cut response? response:	Juvia!
context: I get the feeling that Juvia-san's amazing for not losing to Aquarius-san!\We're even?!\Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you.\Why not give her a clear-cut response?\Juvia! response:	My romantic rival!
context: We're even?!\Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you.\Why not give her a clear-cut response?\Juvia!\My romantic rival! response:	You've got me all wrong!
context: Juvia is going to win!\Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you.\Why not give her a clear-cut response?\Juvia!\My romantic rival!\You've got me all wrong! response:	What kind of fight is this?!
context: Juvia can't let Gray-sama see her shameful in battle!\It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you.\Why not give her a clear-cut response?\Juvia!\My romantic rival!\You've got me all wrong!\What kind of fight is this?! response:	The toughest opponents are taking each other out.
context: It seems Juvia is worried about how you see her.\You must realize by now how Juvia feels about you.\Why not give her a clear-cut response?\Juvia!\My romantic rival!\You've got me all wrong!\What kind of fight is this?!\The toughest opponents are taking each other out. response:	In that case, while I've got the chance...
context: You must realize by now how Juvia feels about you.\Why not give her a clear-cut response?\Juvia!\My romantic rival!\You've got me all wrong!\What kind of fight is this?!\The toughest opponents are taking each other out.\In that case, while I've got the chance... response:	I'll start with one!
context: Why not give her a clear-cut response?\Juvia!\My romantic rival!\You've got me all wrong!\What kind of fight is this?!\The toughest opponents are taking each other out.\In that case, while I've got the chance...\I'll start with one! response:	Wild!
context: Juvia!\My romantic rival!\You've got me all wrong!\What kind of fight is this?!\The toughest opponents are taking each other out.\In that case, while I've got the chance...\I'll start with one!\Wild! response:	Quatro Puppy is out!
context: My romantic rival!\You've got me all wrong!\What kind of fight is this?!\The toughest opponents are taking each other out.\In that case, while I've got the chance...\I'll start with one!\Wild!\Quatro Puppy is out! response:	He was sucker punched by Jenny!
context: You've got me all wrong!\What kind of fight is this?!\The toughest opponents are taking each other out.\In that case, while I've got the chance...\I'll start with one!\Wild!\Quatro Puppy is out!\He was sucker punched by Jenny! response:	But only Quatro Puppy feels bad about that!
context: What kind of fight is this?!\The toughest opponents are taking each other out.\In that case, while I've got the chance...\I'll start with one!\Wild!\Quatro Puppy is out!\He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that! response:	This crowd only cares about the girls!
context: The toughest opponents are taking each other out.\In that case, while I've got the chance...\I'll start with one!\Wild!\Quatro Puppy is out!\He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that!\This crowd only cares about the girls! response:	Thank you very much! Thank you very much! Thank you very much!
context: In that case, while I've got the chance...\I'll start with one!\Wild!\Quatro Puppy is out!\He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that!\This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much! response:	What was the point of me being in there anyway?
context: I'll start with one!\Wild!\Quatro Puppy is out!\He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that!\This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway? response:	That woman's cheap tricks know no bounds.
context: Wild!\Quatro Puppy is out!\He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that!\This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway?\That woman's cheap tricks know no bounds. response:	That kind of fighting is Jenny all over.
context: Quatro Puppy is out!\He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that!\This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway?\That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over. response:	You know, that wasn't a compliment...
context: He was sucker punched by Jenny!\But only Quatro Puppy feels bad about that!\This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway?\That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over.\You know, that wasn't a compliment... response:	I've gotta do my best, too!
context: But only Quatro Puppy feels bad about that!\This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway?\That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over.\You know, that wasn't a compliment...\I've gotta do my best, too! response:	Never underestimate the chubby!
context: This crowd only cares about the girls!\Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway?\That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over.\You know, that wasn't a compliment...\I've gotta do my best, too!\Never underestimate the chubby! response:	We'll never get anywhere at this rate!
context: Thank you very much! Thank you very much! Thank you very much!\What was the point of me being in there anyway?\That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over.\You know, that wasn't a compliment...\I've gotta do my best, too!\Never underestimate the chubby!\We'll never get anywhere at this rate! response:	I'm going back for now!
context: What was the point of me being in there anyway?\That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over.\You know, that wasn't a compliment...\I've gotta do my best, too!\Never underestimate the chubby!\We'll never get anywhere at this rate!\I'm going back for now! response:	Wha? Why?!
context: That woman's cheap tricks know no bounds.\That kind of fighting is Jenny all over.\You know, that wasn't a compliment...\I've gotta do my best, too!\Never underestimate the chubby!\We'll never get anywhere at this rate!\I'm going back for now!\Wha? Why?! response:	In water, you're the one I can count on the most!
context: That kind of fighting is Jenny all over.\You know, that wasn't a compliment...\I've gotta do my best, too!\Never underestimate the chubby!\We'll never get anywhere at this rate!\I'm going back for now!\Wha? Why?!\In water, you're the one I can count on the most! response:	I've got a date!
context: You know, that wasn't a compliment...\I've gotta do my best, too!\Never underestimate the chubby!\We'll never get anywhere at this rate!\I'm going back for now!\Wha? Why?!\In water, you're the one I can count on the most!\I've got a date! response:	Hey!
context: I've gotta do my best, too!\Never underestimate the chubby!\We'll never get anywhere at this rate!\I'm going back for now!\Wha? Why?!\In water, you're the one I can count on the most!\I've got a date!\Hey! response:	Oh, my!
context: Never underestimate the chubby!\We'll never get anywhere at this rate!\I'm going back for now!\Wha? Why?!\In water, you're the one I can count on the most!\I've got a date!\Hey!\Oh, my! response:	The Celestial Spirit, Aquarius, left to go on a date!
context: We'll never get anywhere at this rate!\I'm going back for now!\Wha? Why?!\In water, you're the one I can count on the most!\I've got a date!\Hey!\Oh, my!\The Celestial Spirit, Aquarius, left to go on a date! response:	She is a girl...
context: I'm going back for now!\Wha? Why?!\In water, you're the one I can count on the most!\I've got a date!\Hey!\Oh, my!\The Celestial Spirit, Aquarius, left to go on a date!\She is a girl... response:	Boring...
context: Wha? Why?!\In water, you're the one I can count on the most!\I've got a date!\Hey!\Oh, my!\The Celestial Spirit, Aquarius, left to go on a date!\She is a girl...\Boring... response:	You're wide open!
context: In water, you're the one I can count on the most!\I've got a date!\Hey!\Oh, my!\The Celestial Spirit, Aquarius, left to go on a date!\She is a girl...\Boring...\You're wide open! response:	This is my chance to take out my romantic rival!
context: I've got a date!\Hey!\Oh, my!\The Celestial Spirit, Aquarius, left to go on a date!\She is a girl...\Boring...\You're wide open!\This is my chance to take out my romantic rival! response:	Virgo! Aries!
context: Hey!\Oh, my!\The Celestial Spirit, Aquarius, left to go on a date!\She is a girl...\Boring...\You're wide open!\This is my chance to take out my romantic rival!\Virgo! Aries! response:	I'm sorry this is so fluffy!
context: Oh, my!\The Celestial Spirit, Aquarius, left to go on a date!\She is a girl...\Boring...\You're wide open!\This is my chance to take out my romantic rival!\Virgo! Aries!\I'm sorry this is so fluffy! response:	I'm your sexy guard, Princess!
context: The Celestial Spirit, Aquarius, left to go on a date!\She is a girl...\Boring...\You're wide open!\This is my chance to take out my romantic rival!\Virgo! Aries!\I'm sorry this is so fluffy!\I'm your sexy guard, Princess! response:	That was close...
context: She is a girl...\Boring...\You're wide open!\This is my chance to take out my romantic rival!\Virgo! Aries!\I'm sorry this is so fluffy!\I'm your sexy guard, Princess!\That was close... response:	Thank you very much!
context: Boring...\You're wide open!\This is my chance to take out my romantic rival!\Virgo! Aries!\I'm sorry this is so fluffy!\I'm your sexy guard, Princess!\That was close...\Thank you very much! response:	No matter how many you bring out, the result is the same!
context: You're wide open!\This is my chance to take out my romantic rival!\Virgo! Aries!\I'm sorry this is so fluffy!\I'm your sexy guard, Princess!\That was close...\Thank you very much!\No matter how many you bring out, the result is the same! response:	Virgo, Aries, do your best!
context: This is my chance to take out my romantic rival!\Virgo! Aries!\I'm sorry this is so fluffy!\I'm your sexy guard, Princess!\That was close...\Thank you very much!\No matter how many you bring out, the result is the same!\Virgo, Aries, do your best! response:	I'm better on land than in the water...
context: Virgo! Aries!\I'm sorry this is so fluffy!\I'm your sexy guard, Princess!\That was close...\Thank you very much!\No matter how many you bring out, the result is the same!\Virgo, Aries, do your best!\I'm better on land than in the water... response:	I've gotta do my best to impress, too!
context: I'm sorry this is so fluffy!\I'm your sexy guard, Princess!\That was close...\Thank you very much!\No matter how many you bring out, the result is the same!\Virgo, Aries, do your best!\I'm better on land than in the water...\I've gotta do my best to impress, too! response:	Then give me your best shot!
context: I'm your sexy guard, Princess!\That was close...\Thank you very much!\No matter how many you bring out, the result is the same!\Virgo, Aries, do your best!\I'm better on land than in the water...\I've gotta do my best to impress, too!\Then give me your best shot! response:	Don't forget about me either!
context: That was close...\Thank you very much!\No matter how many you bring out, the result is the same!\Virgo, Aries, do your best!\I'm better on land than in the water...\I've gotta do my best to impress, too!\Then give me your best shot!\Don't forget about me either! response:	Cheria!
context: Thank you very much!\No matter how many you bring out, the result is the same!\Virgo, Aries, do your best!\I'm better on land than in the water...\I've gotta do my best to impress, too!\Then give me your best shot!\Don't forget about me either!\Cheria! response:	Fairy Tail's Wendy-tan!
context: No matter how many you bring out, the result is the same!\Virgo, Aries, do your best!\I'm better on land than in the water...\I've gotta do my best to impress, too!\Then give me your best shot!\Don't forget about me either!\Cheria!\Fairy Tail's Wendy-tan! response:	It looks like she wants to get in on the action, too!
context: Virgo, Aries, do your best!\I'm better on land than in the water...\I've gotta do my best to impress, too!\Then give me your best shot!\Don't forget about me either!\Cheria!\Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too! response:	Well, her match did end in a draw yesterday.
context: I'm better on land than in the water...\I've gotta do my best to impress, too!\Then give me your best shot!\Don't forget about me either!\Cheria!\Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday. response:	She's as good as saying, This time for sure, I want to beat Cheria with my own hands!
context: I've gotta do my best to impress, too!\Then give me your best shot!\Don't forget about me either!\Cheria!\Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands! response:	I'm not thinking that at all!
context: Then give me your best shot!\Don't forget about me either!\Cheria!\Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all! response:	I wanted to see Wendy-tan fight...
context: Don't forget about me either!\Cheria!\Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all!\I wanted to see Wendy-tan fight... response:	Thank you very much for helping my troupe last time!
context: Cheria!\Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all!\I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time! response:	Fairy Tail A!
context: Fairy Tail's Wendy-tan!\It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all!\I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time!\Fairy Tail A! response:	Why didn't you let Wendy-tan do this one?!
context: It looks like she wants to get in on the action, too!\Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all!\I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time!\Fairy Tail A!\Why didn't you let Wendy-tan do this one?! response:	It's not too late! Switch her in!
context: Well, her match did end in a draw yesterday.\She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all!\I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time!\Fairy Tail A!\Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in! response:	Thank you very much.
context: She's as good as saying, This time for sure, I want to beat Cheria with my own hands!\I'm not thinking that at all!\I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time!\Fairy Tail A!\Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in!\Thank you very much. response:	Shut up!
context: I'm not thinking that at all!\I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time!\Fairy Tail A!\Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in!\Thank you very much.\Shut up! response:	Juiva is going to knock you all out at once!
context: I wanted to see Wendy-tan fight...\Thank you very much for helping my troupe last time!\Fairy Tail A!\Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in!\Thank you very much.\Shut up!\Juiva is going to knock you all out at once! response:	Nobody can win against Juvia in the water!
context: Thank you very much for helping my troupe last time!\Fairy Tail A!\Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in!\Thank you very much.\Shut up!\Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water! response:	Juvia learned this move when Second Origin was released...
context: Fairy Tail A!\Why didn't you let Wendy-tan do this one?!\It's not too late! Switch her in!\Thank you very much.\Shut up!\Juiva is going to knock you all out at once!\Nobody can win against Juvia in the water!\Juvia learned this move when Second Origin was released... response:	This new special technique!
