context: I-I'm sorry! response:	There are all sorts of mysteries in this world,
context: Be quiet! Shut up!\What's so bad about not having friends?\It's not like I'm causing any problems for you!\Are you going to die if I don't have any?\I'm worried for you.\I know we grew up together and that we can hang out now,\but once we graduate, you know...\Mind your own beeswax. response:	Huh?!
context: What's so bad about not having friends?\It's not like I'm causing any problems for you!\Are you going to die if I don't have any?\I'm worried for you.\I know we grew up together and that we can hang out now,\but once we graduate, you know...\Mind your own beeswax.\Huh?! response:	Oh, I see.
context: It's not like I'm causing any problems for you!\Are you going to die if I don't have any?\I'm worried for you.\I know we grew up together and that we can hang out now,\but once we graduate, you know...\Mind your own beeswax.\Huh?!\Oh, I see. response:	What's this?
context: Are you going to die if I don't have any?\I'm worried for you.\I know we grew up together and that we can hang out now,\but once we graduate, you know...\Mind your own beeswax.\Huh?!\Oh, I see.\What's this? response:	What?
context: I'm worried for you.\I know we grew up together and that we can hang out now,\but once we graduate, you know...\Mind your own beeswax.\Huh?!\Oh, I see.\What's this?\What? response:	There's a message on here.
context: I know we grew up together and that we can hang out now,\but once we graduate, you know...\Mind your own beeswax.\Huh?!\Oh, I see.\What's this?\What?\There's a message on here. response:	A letter?
context: but once we graduate, you know...\Mind your own beeswax.\Huh?!\Oh, I see.\What's this?\What?\There's a message on here.\A letter? response:	There is a secret in this world.
context: Mind your own beeswax.\Huh?!\Oh, I see.\What's this?\What?\There's a message on here.\A letter?\There is a secret in this world. response:	A secret in this world? What does that mean?
context: Huh?!\Oh, I see.\What's this?\What?\There's a message on here.\A letter?\There is a secret in this world.\A secret in this world? What does that mean? response:	There's another one here.
context: Oh, I see.\What's this?\What?\There's a message on here.\A letter?\There is a secret in this world.\A secret in this world? What does that mean?\There's another one here. response:	Your first task: Fix the sanitation problem in the boys' dorm storage shack.
context: What's this?\What?\There's a message on here.\A letter?\There is a secret in this world.\A secret in this world? What does that mean?\There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack. response:	Who wrote this letter?
context: What?\There's a message on here.\A letter?\There is a secret in this world.\A secret in this world? What does that mean?\There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter? response:	It's not from the cat?
context: There's a message on here.\A letter?\There is a secret in this world.\A secret in this world? What does that mean?\There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter?\It's not from the cat? response:	Cats can't write.
context: A letter?\There is a secret in this world.\A secret in this world? What does that mean?\There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter?\It's not from the cat?\Cats can't write. response:	We could tail Lennon and find out who wrote it.
context: There is a secret in this world.\A secret in this world? What does that mean?\There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter?\It's not from the cat?\Cats can't write.\We could tail Lennon and find out who wrote it. response:	But that wouldn't be fair.
context: A secret in this world? What does that mean?\There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter?\It's not from the cat?\Cats can't write.\We could tail Lennon and find out who wrote it.\But that wouldn't be fair. response:	Wait, Rin, are you going to do this task?
context: There's another one here.\Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter?\It's not from the cat?\Cats can't write.\We could tail Lennon and find out who wrote it.\But that wouldn't be fair.\Wait, Rin, are you going to do this task? response:	I just need to clear the task, right?
context: Your first task: Fix the sanitation problem in the boys' dorm storage shack.\Who wrote this letter?\It's not from the cat?\Cats can't write.\We could tail Lennon and find out who wrote it.\But that wouldn't be fair.\Wait, Rin, are you going to do this task?\I just need to clear the task, right? response:	This is just some childish prank.
context: Who wrote this letter?\It's not from the cat?\Cats can't write.\We could tail Lennon and find out who wrote it.\But that wouldn't be fair.\Wait, Rin, are you going to do this task?\I just need to clear the task, right?\This is just some childish prank. response:	It might be someone trying to mess with you.
context: It's not from the cat?\Cats can't write.\We could tail Lennon and find out who wrote it.\But that wouldn't be fair.\Wait, Rin, are you going to do this task?\I just need to clear the task, right?\This is just some childish prank.\It might be someone trying to mess with you. response:	We'll find out.
context: Cats can't write.\We could tail Lennon and find out who wrote it.\But that wouldn't be fair.\Wait, Rin, are you going to do this task?\I just need to clear the task, right?\This is just some childish prank.\It might be someone trying to mess with you.\We'll find out. response:	Who did it?
context: We could tail Lennon and find out who wrote it.\But that wouldn't be fair.\Wait, Rin, are you going to do this task?\I just need to clear the task, right?\This is just some childish prank.\It might be someone trying to mess with you.\We'll find out.\Who did it? response:	What they want to tell us.
context: But that wouldn't be fair.\Wait, Rin, are you going to do this task?\I just need to clear the task, right?\This is just some childish prank.\It might be someone trying to mess with you.\We'll find out.\Who did it?\What they want to tell us. response:	I could see the excitement in Rin's eyes.
context: Wait, Rin, are you going to do this task?\I just need to clear the task, right?\This is just some childish prank.\It might be someone trying to mess with you.\We'll find out.\Who did it?\What they want to tell us.\I could see the excitement in Rin's eyes. response:	Almost as if she was a cat, chasing after the tuft on a cat wand.
context: I just need to clear the task, right?\This is just some childish prank.\It might be someone trying to mess with you.\We'll find out.\Who did it?\What they want to tell us.\I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand. response:	But...
context: This is just some childish prank.\It might be someone trying to mess with you.\We'll find out.\Who did it?\What they want to tell us.\I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand.\But... response:	What kind of secret is there in this world?
context: It might be someone trying to mess with you.\We'll find out.\Who did it?\What they want to tell us.\I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand.\But...\What kind of secret is there in this world? response:	All there is here is an unchanging everyday life.
context: We'll find out.\Who did it?\What they want to tell us.\I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand.\But...\What kind of secret is there in this world?\All there is here is an unchanging everyday life. response:	But...
context: Who did it?\What they want to tell us.\I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand.\But...\What kind of secret is there in this world?\All there is here is an unchanging everyday life.\But... response:	If I had to name something that made me uneasy, it would be...
context: What they want to tell us.\I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand.\But...\What kind of secret is there in this world?\All there is here is an unchanging everyday life.\But...\If I had to name something that made me uneasy, it would be... response:	Narcolepsy.
context: I could see the excitement in Rin's eyes.\Almost as if she was a cat, chasing after the tuft on a cat wand.\But...\What kind of secret is there in this world?\All there is here is an unchanging everyday life.\But...\If I had to name something that made me uneasy, it would be...\Narcolepsy. response:	A sleep disorder I've had since I was young.
context: Almost as if she was a cat, chasing after the tuft on a cat wand.\But...\What kind of secret is there in this world?\All there is here is an unchanging everyday life.\But...\If I had to name something that made me uneasy, it would be...\Narcolepsy.\A sleep disorder I've had since I was young. response:	I get sleep attacks.
context: But...\What kind of secret is there in this world?\All there is here is an unchanging everyday life.\But...\If I had to name something that made me uneasy, it would be...\Narcolepsy.\A sleep disorder I've had since I was young.\I get sleep attacks. response:	I don't know when I'll suffer an attack and fall asleep.
context: What kind of secret is there in this world?\All there is here is an unchanging everyday life.\But...\If I had to name something that made me uneasy, it would be...\Narcolepsy.\A sleep disorder I've had since I was young.\I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep. response:	By the way, Riki.
context: All there is here is an unchanging everyday life.\But...\If I had to name something that made me uneasy, it would be...\Narcolepsy.\A sleep disorder I've had since I was young.\I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep.\By the way, Riki. response:	I'm thinking of making you the fourth batter.
context: But...\If I had to name something that made me uneasy, it would be...\Narcolepsy.\A sleep disorder I've had since I was young.\I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep.\By the way, Riki.\I'm thinking of making you the fourth batter. response:	Me? Fourth batter?
context: If I had to name something that made me uneasy, it would be...\Narcolepsy.\A sleep disorder I've had since I was young.\I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep.\By the way, Riki.\I'm thinking of making you the fourth batter.\Me? Fourth batter? response:	Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!
context: Narcolepsy.\A sleep disorder I've had since I was young.\I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep.\By the way, Riki.\I'm thinking of making you the fourth batter.\Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot! response:	Seriously, what plot?
context: A sleep disorder I've had since I was young.\I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep.\By the way, Riki.\I'm thinking of making you the fourth batter.\Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot? response:	We only have four members.
context: I get sleep attacks.\I don't know when I'll suffer an attack and fall asleep.\By the way, Riki.\I'm thinking of making you the fourth batter.\Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot?\We only have four members. response:	We can't have a fourth batter yet.
context: I don't know when I'll suffer an attack and fall asleep.\By the way, Riki.\I'm thinking of making you the fourth batter.\Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot?\We only have four members.\We can't have a fourth batter yet. response:	Anyway, get a load of these!
context: By the way, Riki.\I'm thinking of making you the fourth batter.\Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot?\We only have four members.\We can't have a fourth batter yet.\Anyway, get a load of these! response:	These muscles!
context: I'm thinking of making you the fourth batter.\Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot?\We only have four members.\We can't have a fourth batter yet.\Anyway, get a load of these!\These muscles! response:	Well? Well?
context: Me? Fourth batter?\Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot?\We only have four members.\We can't have a fourth batter yet.\Anyway, get a load of these!\These muscles!\Well? Well? response:	Guys!
context: Having the weakest-looking player grow into the best clean-up hitter is absolutely necessary in any plot!\Seriously, what plot?\We only have four members.\We can't have a fourth batter yet.\Anyway, get a load of these!\These muscles!\Well? Well?\Guys! response:	Quit your grumbling!
context: Seriously, what plot?\We only have four members.\We can't have a fourth batter yet.\Anyway, get a load of these!\These muscles!\Well? Well?\Guys!\Quit your grumbling! response:	We're going to fix the boys' dorm's sanitation problem!
context: We only have four members.\We can't have a fourth batter yet.\Anyway, get a load of these!\These muscles!\Well? Well?\Guys!\Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem! response:	So this is the storage shack?
context: We can't have a fourth batter yet.\Anyway, get a load of these!\These muscles!\Well? Well?\Guys!\Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack? response:	It definitely needs some work.
context: Anyway, get a load of these!\These muscles!\Well? Well?\Guys!\Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack?\It definitely needs some work. response:	The last time they cleaned this place was probably before the Meiji Restoration.
context: These muscles!\Well? Well?\Guys!\Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack?\It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration. response:	You're seriously going to do this, Rin?
context: Well? Well?\Guys!\Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack?\It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin? response:	Of course!
context: Guys!\Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack?\It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin?\Of course! response:	Well, it's not like cleaning the place is a bad thing, but...
context: Quit your grumbling!\We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack?\It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin?\Of course!\Well, it's not like cleaning the place is a bad thing, but... response:	So why the hell do I have to help clean this place?
context: We're going to fix the boys' dorm's sanitation problem!\So this is the storage shack?\It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin?\Of course!\Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place? response:	You know, I have allergies that make me want to dance and yell,
context: So this is the storage shack?\It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin?\Of course!\Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell, response:	Muscles, aww yeah! whenever I try to clean stuff.
context: It definitely needs some work.\The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin?\Of course!\Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff. response:	Woohoo!
context: The last time they cleaned this place was probably before the Meiji Restoration.\You're seriously going to do this, Rin?\Of course!\Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff.\Woohoo! response:	Wow, this place is full of treasures!
context: You're seriously going to do this, Rin?\Of course!\Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff.\Woohoo!\Wow, this place is full of treasures! response:	The entire series is in here!
context: Of course!\Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff.\Woohoo!\Wow, this place is full of treasures!\The entire series is in here! response:	Over here too!
context: Well, it's not like cleaning the place is a bad thing, but...\So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff.\Woohoo!\Wow, this place is full of treasures!\The entire series is in here!\Over here too! response:	Hey, stop!
context: So why the hell do I have to help clean this place?\You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff.\Woohoo!\Wow, this place is full of treasures!\The entire series is in here!\Over here too!\Hey, stop! response:	We're trying to clean up here! Don't take them out of the box!
context: You know, I have allergies that make me want to dance and yell,\Muscles, aww yeah! whenever I try to clean stuff.\Woohoo!\Wow, this place is full of treasures!\The entire series is in here!\Over here too!\Hey, stop!\We're trying to clean up here! Don't take them out of the box! response:	Hey!
context: Muscles, aww yeah! whenever I try to clean stuff.\Woohoo!\Wow, this place is full of treasures!\The entire series is in here!\Over here too!\Hey, stop!\We're trying to clean up here! Don't take them out of the box!\Hey! response:	Found you!
context: Woohoo!\Wow, this place is full of treasures!\The entire series is in here!\Over here too!\Hey, stop!\We're trying to clean up here! Don't take them out of the box!\Hey!\Found you! response:	Oh, Kamikita-san?
context: Wow, this place is full of treasures!\The entire series is in here!\Over here too!\Hey, stop!\We're trying to clean up here! Don't take them out of the box!\Hey!\Found you!\Oh, Kamikita-san? response:	What's up?
context: The entire series is in here!\Over here too!\Hey, stop!\We're trying to clean up here! Don't take them out of the box!\Hey!\Found you!\Oh, Kamikita-san?\What's up? response:	You know,
context: Over here too!\Hey, stop!\We're trying to clean up here! Don't take them out of the box!\Hey!\Found you!\Oh, Kamikita-san?\What's up?\You know, response:	I've decided to be recruited!
context: Hey, stop!\We're trying to clean up here! Don't take them out of the box!\Hey!\Found you!\Oh, Kamikita-san?\What's up?\You know,\I've decided to be recruited! response:	Huh?
context: We're trying to clean up here! Don't take them out of the box!\Hey!\Found you!\Oh, Kamikita-san?\What's up?\You know,\I've decided to be recruited!\Huh? response:	Baseball out on the grass.
context: Hey!\Found you!\Oh, Kamikita-san?\What's up?\You know,\I've decided to be recruited!\Huh?\Baseball out on the grass. response:	I'd be really happy to help you out, Naoe-kun!
context: Found you!\Oh, Kamikita-san?\What's up?\You know,\I've decided to be recruited!\Huh?\Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun! response:	What?
context: Oh, Kamikita-san?\What's up?\You know,\I've decided to be recruited!\Huh?\Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun!\What? response:	Wait, does that mean you're joining the Little Busters?
context: What's up?\You know,\I've decided to be recruited!\Huh?\Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun!\What?\Wait, does that mean you're joining the Little Busters? response:	Huh?!
context: You know,\I've decided to be recruited!\Huh?\Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun!\What?\Wait, does that mean you're joining the Little Busters?\Huh?! response:	Natsume-san, you're a member too?
context: I've decided to be recruited!\Huh?\Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun!\What?\Wait, does that mean you're joining the Little Busters?\Huh?!\Natsume-san, you're a member too? response:	I'm so happy!
context: Huh?\Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun!\What?\Wait, does that mean you're joining the Little Busters?\Huh?!\Natsume-san, you're a member too?\I'm so happy! response:	Hey, wait...
context: Baseball out on the grass.\I'd be really happy to help you out, Naoe-kun!\What?\Wait, does that mean you're joining the Little Busters?\Huh?!\Natsume-san, you're a member too?\I'm so happy!\Hey, wait... response:	Let's do our best at this baseball thing!
context: I'd be really happy to help you out, Naoe-kun!\What?\Wait, does that mean you're joining the Little Busters?\Huh?!\Natsume-san, you're a member too?\I'm so happy!\Hey, wait...\Let's do our best at this baseball thing! response:	Okay?
context: What?\Wait, does that mean you're joining the Little Busters?\Huh?!\Natsume-san, you're a member too?\I'm so happy!\Hey, wait...\Let's do our best at this baseball thing!\Okay? response:	Sorry, Rin's really shy.
context: Wait, does that mean you're joining the Little Busters?\Huh?!\Natsume-san, you're a member too?\I'm so happy!\Hey, wait...\Let's do our best at this baseball thing!\Okay?\Sorry, Rin's really shy. response:	Really?
context: Huh?!\Natsume-san, you're a member too?\I'm so happy!\Hey, wait...\Let's do our best at this baseball thing!\Okay?\Sorry, Rin's really shy.\Really? response:	Hey!
context: Natsume-san, you're a member too?\I'm so happy!\Hey, wait...\Let's do our best at this baseball thing!\Okay?\Sorry, Rin's really shy.\Really?\Hey! response:	Look out!
context: I'm so happy!\Hey, wait...\Let's do our best at this baseball thing!\Okay?\Sorry, Rin's really shy.\Really?\Hey!\Look out! response:	Nice, Rin!
context: Hey, wait...\Let's do our best at this baseball thing!\Okay?\Sorry, Rin's really shy.\Really?\Hey!\Look out!\Nice, Rin! response:	Rin!
context: Let's do our best at this baseball thing!\Okay?\Sorry, Rin's really shy.\Really?\Hey!\Look out!\Nice, Rin!\Rin! response:	Kamikita-san!
context: Okay?\Sorry, Rin's really shy.\Really?\Hey!\Look out!\Nice, Rin!\Rin!\Kamikita-san! response:	A-Are you okay, Kamikita-san?
context: Sorry, Rin's really shy.\Really?\Hey!\Look out!\Nice, Rin!\Rin!\Kamikita-san!\A-Are you okay, Kamikita-san? response:	Come on Rin, apologize!
context: Really?\Hey!\Look out!\Nice, Rin!\Rin!\Kamikita-san!\A-Are you okay, Kamikita-san?\Come on Rin, apologize! response:	I'm fine, I'm fi
context: Hey!\Look out!\Nice, Rin!\Rin!\Kamikita-san!\A-Are you okay, Kamikita-san?\Come on Rin, apologize!\I'm fine, I'm fi response:	K-Kamikita-san?!
context: Look out!\Nice, Rin!\Rin!\Kamikita-san!\A-Are you okay, Kamikita-san?\Come on Rin, apologize!\I'm fine, I'm fi\K-Kamikita-san?! response:	So, Kamikita, was it?
context: Nice, Rin!\Rin!\Kamikita-san!\A-Are you okay, Kamikita-san?\Come on Rin, apologize!\I'm fine, I'm fi\K-Kamikita-san?!\So, Kamikita, was it? response:	Hm?
context: Rin!\Kamikita-san!\A-Are you okay, Kamikita-san?\Come on Rin, apologize!\I'm fine, I'm fi\K-Kamikita-san?!\So, Kamikita, was it?\Hm? response:	Why do you have mittens on?
context: Kamikita-san!\A-Are you okay, Kamikita-san?\Come on Rin, apologize!\I'm fine, I'm fi\K-Kamikita-san?!\So, Kamikita, was it?\Hm?\Why do you have mittens on? response:	Don't you need these for baseball?
context: A-Are you okay, Kamikita-san?\Come on Rin, apologize!\I'm fine, I'm fi\K-Kamikita-san?!\So, Kamikita, was it?\Hm?\Why do you have mittens on?\Don't you need these for baseball? response:	I know that much!
context: Come on Rin, apologize!\I'm fine, I'm fi\K-Kamikita-san?!\So, Kamikita, was it?\Hm?\Why do you have mittens on?\Don't you need these for baseball?\I know that much! response:	Sorry, but those aren't the kind you use in baseball.
context: I'm fine, I'm fi\K-Kamikita-san?!\So, Kamikita, was it?\Hm?\Why do you have mittens on?\Don't you need these for baseball?\I know that much!\Sorry, but those aren't the kind you use in baseball. response:	Precisely!
context: K-Kamikita-san?!\So, Kamikita, was it?\Hm?\Why do you have mittens on?\Don't you need these for baseball?\I know that much!\Sorry, but those aren't the kind you use in baseball.\Precisely! response:	These are the real ones!
context: So, Kamikita, was it?\Hm?\Why do you have mittens on?\Don't you need these for baseball?\I know that much!\Sorry, but those aren't the kind you use in baseball.\Precisely!\These are the real ones! response:	No, they're not.
context: Hm?\Why do you have mittens on?\Don't you need these for baseball?\I know that much!\Sorry, but those aren't the kind you use in baseball.\Precisely!\These are the real ones!\No, they're not. response:	But I want to do something before I become a member.
context: Why do you have mittens on?\Don't you need these for baseball?\I know that much!\Sorry, but those aren't the kind you use in baseball.\Precisely!\These are the real ones!\No, they're not.\But I want to do something before I become a member. response:	S-She ignored me!
context: Don't you need these for baseball?\I know that much!\Sorry, but those aren't the kind you use in baseball.\Precisely!\These are the real ones!\No, they're not.\But I want to do something before I become a member.\S-She ignored me! response:	So what she wanted to do...
context: I know that much!\Sorry, but those aren't the kind you use in baseball.\Precisely!\These are the real ones!\No, they're not.\But I want to do something before I become a member.\S-She ignored me!\So what she wanted to do... response:	Fine, fine.
context: Sorry, but those aren't the kind you use in baseball.\Precisely!\These are the real ones!\No, they're not.\But I want to do something before I become a member.\S-She ignored me!\So what she wanted to do...\Fine, fine. response:	It'll be good for my muscles.
context: Precisely!\These are the real ones!\No, they're not.\But I want to do something before I become a member.\S-She ignored me!\So what she wanted to do...\Fine, fine.\It'll be good for my muscles. response:	You're going to finish the task, aren't you?
context: These are the real ones!\No, they're not.\But I want to do something before I become a member.\S-She ignored me!\So what she wanted to do...\Fine, fine.\It'll be good for my muscles.\You're going to finish the task, aren't you? response:	Muscles, aww yeah!
context: No, they're not.\But I want to do something before I become a member.\S-She ignored me!\So what she wanted to do...\Fine, fine.\It'll be good for my muscles.\You're going to finish the task, aren't you?\Muscles, aww yeah! response:	I didn't think we'd get it this clean...
context: But I want to do something before I become a member.\S-She ignored me!\So what she wanted to do...\Fine, fine.\It'll be good for my muscles.\You're going to finish the task, aren't you?\Muscles, aww yeah!\I didn't think we'd get it this clean... response:	I sure did a good job!
context: S-She ignored me!\So what she wanted to do...\Fine, fine.\It'll be good for my muscles.\You're going to finish the task, aren't you?\Muscles, aww yeah!\I didn't think we'd get it this clean...\I sure did a good job! response:	You did?!
context: So what she wanted to do...\Fine, fine.\It'll be good for my muscles.\You're going to finish the task, aren't you?\Muscles, aww yeah!\I didn't think we'd get it this clean...\I sure did a good job!\You did?! response:	Rin, you should say thanks.
context: Fine, fine.\It'll be good for my muscles.\You're going to finish the task, aren't you?\Muscles, aww yeah!\I didn't think we'd get it this clean...\I sure did a good job!\You did?!\Rin, you should say thanks. response:	We finished your task thanks to Kamikita-san.
context: It'll be good for my muscles.\You're going to finish the task, aren't you?\Muscles, aww yeah!\I didn't think we'd get it this clean...\I sure did a good job!\You did?!\Rin, you should say thanks.\We finished your task thanks to Kamikita-san. response:	Now that the baseball team's room is nice and clean, let's play baseball!
context: You're going to finish the task, aren't you?\Muscles, aww yeah!\I didn't think we'd get it this clean...\I sure did a good job!\You did?!\Rin, you should say thanks.\We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball! response:	Huh?
context: Muscles, aww yeah!\I didn't think we'd get it this clean...\I sure did a good job!\You did?!\Rin, you should say thanks.\We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball!\Huh? response:	This isn't the baseball team's room.
context: I didn't think we'd get it this clean...\I sure did a good job!\You did?!\Rin, you should say thanks.\We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball!\Huh?\This isn't the baseball team's room. response:	It isn't?
context: I sure did a good job!\You did?!\Rin, you should say thanks.\We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball!\Huh?\This isn't the baseball team's room.\It isn't? response:	Uh, yeah.
context: You did?!\Rin, you should say thanks.\We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball!\Huh?\This isn't the baseball team's room.\It isn't?\Uh, yeah. response:	And...
context: Rin, you should say thanks.\We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball!\Huh?\This isn't the baseball team's room.\It isn't?\Uh, yeah.\And... response:	A-one, two!
context: We finished your task thanks to Kamikita-san.\Now that the baseball team's room is nice and clean, let's play baseball!\Huh?\This isn't the baseball team's room.\It isn't?\Uh, yeah.\And...\A-one, two! response:	And a-three, four!
context: Now that the baseball team's room is nice and clean, let's play baseball!\Huh?\This isn't the baseball team's room.\It isn't?\Uh, yeah.\And...\A-one, two!\And a-three, four! response:	Is she okay?
context: Huh?\This isn't the baseball team's room.\It isn't?\Uh, yeah.\And...\A-one, two!\And a-three, four!\Is she okay? response:	This is bad.
context: This isn't the baseball team's room.\It isn't?\Uh, yeah.\And...\A-one, two!\And a-three, four!\Is she okay?\This is bad. response:	Gotta do my best!
context: It isn't?\Uh, yeah.\And...\A-one, two!\And a-three, four!\Is she okay?\This is bad.\Gotta do my best! response:	How bad, you ask?
context: Uh, yeah.\And...\A-one, two!\And a-three, four!\Is she okay?\This is bad.\Gotta do my best!\How bad, you ask? response:	A-one, two!
context: And...\A-one, two!\And a-three, four!\Is she okay?\This is bad.\Gotta do my best!\How bad, you ask?\A-one, two! response:	So bad that I can't undo the furrows in my brow.
context: A-one, two!\And a-three, four!\Is she okay?\This is bad.\Gotta do my best!\How bad, you ask?\A-one, two!\So bad that I can't undo the furrows in my brow. response:	And a-three, four!
context: And a-three, four!\Is she okay?\This is bad.\Gotta do my best!\How bad, you ask?\A-one, two!\So bad that I can't undo the furrows in my brow.\And a-three, four! response:	Well, it looks like she has drive...
context: Is she okay?\This is bad.\Gotta do my best!\How bad, you ask?\A-one, two!\So bad that I can't undo the furrows in my brow.\And a-three, four!\Well, it looks like she has drive... response:	Four'n' five!
context: This is bad.\Gotta do my best!\How bad, you ask?\A-one, two!\So bad that I can't undo the furrows in my brow.\And a-three, four!\Well, it looks like she has drive...\Four'n' five! response:	All I see is a big liability to the team.
context: Gotta do my best!\How bad, you ask?\A-one, two!\So bad that I can't undo the furrows in my brow.\And a-three, four!\Well, it looks like she has drive...\Four'n' five!\All I see is a big liability to the team. response:	Five'n' six!
context: How bad, you ask?\A-one, two!\So bad that I can't undo the furrows in my brow.\And a-three, four!\Well, it looks like she has drive...\Four'n' five!\All I see is a big liability to the team.\Five'n' six! response:	Let's give her a membership test.
context: A-one, two!\So bad that I can't undo the furrows in my brow.\And a-three, four!\Well, it looks like she has drive...\Four'n' five!\All I see is a big liability to the team.\Five'n' six!\Let's give her a membership test. response:	Six and seven!
context: So bad that I can't undo the furrows in my brow.\And a-three, four!\Well, it looks like she has drive...\Four'n' five!\All I see is a big liability to the team.\Five'n' six!\Let's give her a membership test.\Six and seven! response:	I see.
context: And a-three, four!\Well, it looks like she has drive...\Four'n' five!\All I see is a big liability to the team.\Five'n' six!\Let's give her a membership test.\Six and seven!\I see. response:	Seven and eight!
context: Well, it looks like she has drive...\Four'n' five!\All I see is a big liability to the team.\Five'n' six!\Let's give her a membership test.\Six and seven!\I see.\Seven and eight! response:	If we say she fails, we gracefully turn her down, and that'll be the end of it.
