context: Inspector Tsunemori, take Masaoka and go look for Kougami. response:	Kagari, Kunizuka and I will split up in order to find and destroy the source of the signal interference.
context: You saw... too many things you shouldn't have.\That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too.\Don't be stupid.\Stop it!\Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again. response:	Stop it!
context: That's okay. You were wonderful, Mr. Kougami.\It almost makes me want to become a latent criminal too.\Don't be stupid.\Stop it!\Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again.\Stop it! response:	Mr. Kougami!
context: It almost makes me want to become a latent criminal too.\Don't be stupid.\Stop it!\Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again.\Stop it!\Mr. Kougami! response:	Don't let your guard down.
context: Don't be stupid.\Stop it!\Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again.\Stop it!\Mr. Kougami!\Don't let your guard down. response:	To call this suspicious would be an understatement.
context: Stop it!\Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again.\Stop it!\Mr. Kougami!\Don't let your guard down.\To call this suspicious would be an understatement. response:	There are bullet holes all over the place.
context: Let me go!\I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again.\Stop it!\Mr. Kougami!\Don't let your guard down.\To call this suspicious would be an understatement.\There are bullet holes all over the place. response:	Must be from a shotgun.
context: I'd have loved to sit here and talk with you until the crack of dawn, but you don't seem very well.\Until we meet again.\Stop it!\Mr. Kougami!\Don't let your guard down.\To call this suspicious would be an understatement.\There are bullet holes all over the place.\Must be from a shotgun. response:	It's been a long time since I last saw traces of a gunpowder-based weapon having been used.
context: Until we meet again.\Stop it!\Mr. Kougami!\Don't let your guard down.\To call this suspicious would be an understatement.\There are bullet holes all over the place.\Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used. response:	Masaoka!
context: Stop it!\Mr. Kougami!\Don't let your guard down.\To call this suspicious would be an understatement.\There are bullet holes all over the place.\Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka! response:	Kougami...
context: Mr. Kougami!\Don't let your guard down.\To call this suspicious would be an understatement.\There are bullet holes all over the place.\Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka!\Kougami... response:	Someone...!
context: Don't let your guard down.\To call this suspicious would be an understatement.\There are bullet holes all over the place.\Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka!\Kougami...\Someone...! response:	Yuki?!
context: To call this suspicious would be an understatement.\There are bullet holes all over the place.\Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka!\Kougami...\Someone...!\Yuki?! response:	What was that voice?
context: There are bullet holes all over the place.\Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka!\Kougami...\Someone...!\Yuki?!\What was that voice? response:	It think it was my friend, the one who went missing!
context: Must be from a shotgun.\It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka!\Kougami...\Someone...!\Yuki?!\What was that voice?\It think it was my friend, the one who went missing! response:	Kougami?
context: It's been a long time since I last saw traces of a gunpowder-based weapon having been used.\Masaoka!\Kougami...\Someone...!\Yuki?!\What was that voice?\It think it was my friend, the one who went missing!\Kougami? response:	Kougami!
context: Masaoka!\Kougami...\Someone...!\Yuki?!\What was that voice?\It think it was my friend, the one who went missing!\Kougami?\Kougami! response:	This is terrible...
context: Kougami...\Someone...!\Yuki?!\What was that voice?\It think it was my friend, the one who went missing!\Kougami?\Kougami!\This is terrible... response:	He's got quite a few bullet wounds.
context: Someone...!\Yuki?!\What was that voice?\It think it was my friend, the one who went missing!\Kougami?\Kougami!\This is terrible...\He's got quite a few bullet wounds. response:	Missy! Can you administer first aid?
context: Yuki?!\What was that voice?\It think it was my friend, the one who went missing!\Kougami?\Kougami!\This is terrible...\He's got quite a few bullet wounds.\Missy! Can you administer first aid? response:	I've had a few training sessions, but I've never actually done it.
context: What was that voice?\It think it was my friend, the one who went missing!\Kougami?\Kougami!\This is terrible...\He's got quite a few bullet wounds.\Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it. response:	Then leave it to me.
context: It think it was my friend, the one who went missing!\Kougami?\Kougami!\This is terrible...\He's got quite a few bullet wounds.\Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it.\Then leave it to me. response:	What is it?
context: Kougami?\Kougami!\This is terrible...\He's got quite a few bullet wounds.\Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it.\Then leave it to me.\What is it? response:	There's one more person.
context: Kougami!\This is terrible...\He's got quite a few bullet wounds.\Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it.\Then leave it to me.\What is it?\There's one more person. response:	He took your friend away.
context: This is terrible...\He's got quite a few bullet wounds.\Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it.\Then leave it to me.\What is it?\There's one more person.\He took your friend away. response:	Step aside, missy.
context: He's got quite a few bullet wounds.\Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it.\Then leave it to me.\What is it?\There's one more person.\He took your friend away.\Step aside, missy. response:	Whatever we do, we have to stop his bleeding.
context: Missy! Can you administer first aid?\I've had a few training sessions, but I've never actually done it.\Then leave it to me.\What is it?\There's one more person.\He took your friend away.\Step aside, missy.\Whatever we do, we have to stop his bleeding. response:	Ah!
context: I've had a few training sessions, but I've never actually done it.\Then leave it to me.\What is it?\There's one more person.\He took your friend away.\Step aside, missy.\Whatever we do, we have to stop his bleeding.\Ah! response:	What're you trying to do?! Inspector!
context: Then leave it to me.\What is it?\There's one more person.\He took your friend away.\Step aside, missy.\Whatever we do, we have to stop his bleeding.\Ah!\What're you trying to do?! Inspector! response:	The case isn't over yet!
context: What is it?\There's one more person.\He took your friend away.\Step aside, missy.\Whatever we do, we have to stop his bleeding.\Ah!\What're you trying to do?! Inspector!\The case isn't over yet! response:	Dammit!
context: There's one more person.\He took your friend away.\Step aside, missy.\Whatever we do, we have to stop his bleeding.\Ah!\What're you trying to do?! Inspector!\The case isn't over yet!\Dammit! response:	This place is like a battlefield... No, an execution ground.
context: He took your friend away.\Step aside, missy.\Whatever we do, we have to stop his bleeding.\Ah!\What're you trying to do?! Inspector!\The case isn't over yet!\Dammit!\This place is like a battlefield... No, an execution ground. response:	It couldn't have been just three or four people...
context: Step aside, missy.\Whatever we do, we have to stop his bleeding.\Ah!\What're you trying to do?! Inspector!\The case isn't over yet!\Dammit!\This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people... response:	Several dozen people... No...
context: Whatever we do, we have to stop his bleeding.\Ah!\What're you trying to do?! Inspector!\The case isn't over yet!\Dammit!\This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people...\Several dozen people... No... response:	At worst, close to one hundred people must have died here.
context: Ah!\What're you trying to do?! Inspector!\The case isn't over yet!\Dammit!\This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people...\Several dozen people... No...\At worst, close to one hundred people must have died here. response:	Kougami was lured in here.
context: What're you trying to do?! Inspector!\The case isn't over yet!\Dammit!\This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people...\Several dozen people... No...\At worst, close to one hundred people must have died here.\Kougami was lured in here. response:	A mass murder? Why would the culprit commit such an atrocity?
context: The case isn't over yet!\Dammit!\This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people...\Several dozen people... No...\At worst, close to one hundred people must have died here.\Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity? response:	Maybe he thinks it's all a game?
context: Dammit!\This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people...\Several dozen people... No...\At worst, close to one hundred people must have died here.\Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game? response:	Hm?
context: This place is like a battlefield... No, an execution ground.\It couldn't have been just three or four people...\Several dozen people... No...\At worst, close to one hundred people must have died here.\Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game?\Hm? response:	Er... Well, ever since we came down here, I've had this feeling...
context: It couldn't have been just three or four people...\Several dozen people... No...\At worst, close to one hundred people must have died here.\Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game?\Hm?\Er... Well, ever since we came down here, I've had this feeling... response:	that this place looks like the kind of battle arena you see in online action games.
context: Several dozen people... No...\At worst, close to one hundred people must have died here.\Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game?\Hm?\Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games. response:	I could understand if it was virtual, but playing a game using live human beings?!
context: At worst, close to one hundred people must have died here.\Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game?\Hm?\Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?! response:	This is Hound 1!
context: Kougami was lured in here.\A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game?\Hm?\Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1! response:	Can anyone hear me?!
context: A mass murder? Why would the culprit commit such an atrocity?\Maybe he thinks it's all a game?\Hm?\Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1!\Can anyone hear me?! response:	This is Shepherd 1.
context: Maybe he thinks it's all a game?\Hm?\Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1!\Can anyone hear me?!\This is Shepherd 1. response:	What's the status over there?
context: Hm?\Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1!\Can anyone hear me?!\This is Shepherd 1.\What's the status over there? response:	I took Hound 3 into my care.
context: Er... Well, ever since we came down here, I've had this feeling...\that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1!\Can anyone hear me?!\This is Shepherd 1.\What's the status over there?\I took Hound 3 into my care. response:	He's hurt so bad that I'm surprised he's still alive.
context: that this place looks like the kind of battle arena you see in online action games.\I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1!\Can anyone hear me?!\This is Shepherd 1.\What's the status over there?\I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive. response:	The culprit is still on the run with a hostage.
context: I could understand if it was virtual, but playing a game using live human beings?!\This is Hound 1!\Can anyone hear me?!\This is Shepherd 1.\What's the status over there?\I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage. response:	Shepherd 2 is pursuing the culprit all by herself.
context: This is Hound 1!\Can anyone hear me?!\This is Shepherd 1.\What's the status over there?\I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself. response:	Please hurry!
context: Can anyone hear me?!\This is Shepherd 1.\What's the status over there?\I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself.\Please hurry! response:	Dammit! Got it.
context: This is Shepherd 1.\What's the status over there?\I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself.\Please hurry!\Dammit! Got it. response:	Don't go anywhere. We'll head over there to assist you right away!
context: What's the status over there?\I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself.\Please hurry!\Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away! response:	Sounds like that damn game of his...
context: I took Hound 3 into my care.\He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself.\Please hurry!\Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his... response:	isn't over just yet.
context: He's hurt so bad that I'm surprised he's still alive.\The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself.\Please hurry!\Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his...\isn't over just yet. response:	My body feels heavy.
context: The culprit is still on the run with a hostage.\Shepherd 2 is pursuing the culprit all by herself.\Please hurry!\Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his...\isn't over just yet.\My body feels heavy. response:	It doesn't feel like it belongs to me.
context: Shepherd 2 is pursuing the culprit all by herself.\Please hurry!\Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his...\isn't over just yet.\My body feels heavy.\It doesn't feel like it belongs to me. response:	Well, the bullets are still in your body.
context: Please hurry!\Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his...\isn't over just yet.\My body feels heavy.\It doesn't feel like it belongs to me.\Well, the bullets are still in your body. response:	If my hands shake while pulling them out and I hit an artery, it really will become fatal.
context: Dammit! Got it.\Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his...\isn't over just yet.\My body feels heavy.\It doesn't feel like it belongs to me.\Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal. response:	Have the pros work on it after we get you out of here.
context: Don't go anywhere. We'll head over there to assist you right away!\Sounds like that damn game of his...\isn't over just yet.\My body feels heavy.\It doesn't feel like it belongs to me.\Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here. response:	Where's Inspector Tsunemori?
context: Sounds like that damn game of his...\isn't over just yet.\My body feels heavy.\It doesn't feel like it belongs to me.\Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori? response:	That's what I'd like to know.
context: isn't over just yet.\My body feels heavy.\It doesn't feel like it belongs to me.\Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori?\That's what I'd like to know. response:	She went rushing off.
context: My body feels heavy.\It doesn't feel like it belongs to me.\Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori?\That's what I'd like to know.\She went rushing off. response:	It seemed like she was chasing someone.
context: It doesn't feel like it belongs to me.\Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori?\That's what I'd like to know.\She went rushing off.\It seemed like she was chasing someone. response:	I'm done patching you up, so I'm gonna go catch up with that girl right away.
context: Well, the bullets are still in your body.\If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori?\That's what I'd like to know.\She went rushing off.\It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away. response:	I'm coming, too.
context: If my hands shake while pulling them out and I hit an artery, it really will become fatal.\Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori?\That's what I'd like to know.\She went rushing off.\It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too. response:	You stupid?
context: Have the pros work on it after we get you out of here.\Where's Inspector Tsunemori?\That's what I'd like to know.\She went rushing off.\It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too.\You stupid? response:	But...!
context: Where's Inspector Tsunemori?\That's what I'd like to know.\She went rushing off.\It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too.\You stupid?\But...! response:	Sorry to do that when you're hurtin' pretty bad already.
context: That's what I'd like to know.\She went rushing off.\It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too.\You stupid?\But...!\Sorry to do that when you're hurtin' pretty bad already. response:	But I don't wanna waste any more time, injuries or no.
context: She went rushing off.\It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too.\You stupid?\But...!\Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no. response:	To be frank, she's in huge danger.
context: It seemed like she was chasing someone.\I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too.\You stupid?\But...!\Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger. response:	Enforcer Masaoka!
context: I'm done patching you up, so I'm gonna go catch up with that girl right away.\I'm coming, too.\You stupid?\But...!\Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger.\Enforcer Masaoka! response:	Good timing! Inspector!
context: I'm coming, too.\You stupid?\But...!\Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger.\Enforcer Masaoka!\Good timing! Inspector! response:	Hold down Kougami so he can't get away.
context: You stupid?\But...!\Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger.\Enforcer Masaoka!\Good timing! Inspector!\Hold down Kougami so he can't get away. response:	You really are tenacious, aren't you? Jeez.
context: But...!\Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger.\Enforcer Masaoka!\Good timing! Inspector!\Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez. response:	What is it?
context: Sorry to do that when you're hurtin' pretty bad already.\But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger.\Enforcer Masaoka!\Good timing! Inspector!\Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez.\What is it? response:	Looks like Ko shot someone.
context: But I don't wanna waste any more time, injuries or no.\To be frank, she's in huge danger.\Enforcer Masaoka!\Good timing! Inspector!\Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez.\What is it?\Looks like Ko shot someone. response:	Senguji Toyohisa?!
context: To be frank, she's in huge danger.\Enforcer Masaoka!\Good timing! Inspector!\Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez.\What is it?\Looks like Ko shot someone.\Senguji Toyohisa?! response:	Senguji, you said?!
context: Enforcer Masaoka!\Good timing! Inspector!\Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez.\What is it?\Looks like Ko shot someone.\Senguji Toyohisa?!\Senguji, you said?! response:	Who's that?
context: Good timing! Inspector!\Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez.\What is it?\Looks like Ko shot someone.\Senguji Toyohisa?!\Senguji, you said?!\Who's that? response:	Don't you even check the Ministry of Welfare's recommended news?
context: Hold down Kougami so he can't get away.\You really are tenacious, aren't you? Jeez.\What is it?\Looks like Ko shot someone.\Senguji Toyohisa?!\Senguji, you said?!\Who's that?\Don't you even check the Ministry of Welfare's recommended news? response:	Why would I watch that crap?!
context: You really are tenacious, aren't you? Jeez.\What is it?\Looks like Ko shot someone.\Senguji Toyohisa?!\Senguji, you said?!\Who's that?\Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?! response:	Stop right there!
context: What is it?\Looks like Ko shot someone.\Senguji Toyohisa?!\Senguji, you said?!\Who's that?\Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?!\Stop right there! response:	This is the Public Safety Bureau!
context: Looks like Ko shot someone.\Senguji Toyohisa?!\Senguji, you said?!\Who's that?\Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?!\Stop right there!\This is the Public Safety Bureau! response:	Drop your weapon and surrender!
context: Senguji Toyohisa?!\Senguji, you said?!\Who's that?\Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?!\Stop right there!\This is the Public Safety Bureau!\Drop your weapon and surrender! response:	Crime Coefficient is 79. Not a target for enforcement action.
context: Senguji, you said?!\Who's that?\Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?!\Stop right there!\This is the Public Safety Bureau!\Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action. response:	The trigger will be locked.
context: Who's that?\Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?!\Stop right there!\This is the Public Safety Bureau!\Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked. response:	Akane!
context: Don't you even check the Ministry of Welfare's recommended news?\Why would I watch that crap?!\Stop right there!\This is the Public Safety Bureau!\Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked.\Akane! response:	Just hold on, Yuki! I'll rescue you right away!
context: Why would I watch that crap?!\Stop right there!\This is the Public Safety Bureau!\Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked.\Akane!\Just hold on, Yuki! I'll rescue you right away! response:	Oh, I've seen you before.
context: Stop right there!\This is the Public Safety Bureau!\Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked.\Akane!\Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before. response:	You're Inspector Tsunemori Akane from the Bureau, right?
context: This is the Public Safety Bureau!\Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked.\Akane!\Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right? response:	So you're the one who dragged Yuki into this. How dare you?
context: Drop your weapon and surrender!\Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked.\Akane!\Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you? response:	I'm Makishima Shougo.
context: Crime Coefficient is 79. Not a target for enforcement action.\The trigger will be locked.\Akane!\Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo. response:	Wh-What?! Makishima?
context: The trigger will be locked.\Akane!\Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo.\Wh-What?! Makishima? response:	I see. So you know my name, huh?
context: Akane!\Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo.\Wh-What?! Makishima?\I see. So you know my name, huh? response:	I'd expect no less from the Bureau.
context: Just hold on, Yuki! I'll rescue you right away!\Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo.\Wh-What?! Makishima?\I see. So you know my name, huh?\I'd expect no less from the Bureau. response:	So you guys have at least some kind of lead on me.
context: Oh, I've seen you before.\You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo.\Wh-What?! Makishima?\I see. So you know my name, huh?\I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me. response:	We've got serious charges laid against you for multiple crimes.
context: You're Inspector Tsunemori Akane from the Bureau, right?\So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo.\Wh-What?! Makishima?\I see. So you know my name, huh?\I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes. response:	As per the Citizen's Charter, I demand that you come with me!
context: So you're the one who dragged Yuki into this. How dare you?\I'm Makishima Shougo.\Wh-What?! Makishima?\I see. So you know my name, huh?\I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me! response:	If you need to talk with me, then let's do it right here, right now.
context: I'm Makishima Shougo.\Wh-What?! Makishima?\I see. So you know my name, huh?\I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now. response:	We're both busy people, aren't we?
context: Wh-What?! Makishima?\I see. So you know my name, huh?\I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we? response:	You think you can escape?
context: I see. So you know my name, huh?\I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we?\You think you can escape? response:	You know, you should really do a better job of trying to draw me into the conversation.
context: I'd expect no less from the Bureau.\So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we?\You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation. response:	That way you can buy some time until your reinforcements arrive.
context: So you guys have at least some kind of lead on me.\We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we?\You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive. response:	I'm sure an experienced detective would do just that.
context: We've got serious charges laid against you for multiple crimes.\As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we?\You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that. response:	When you said multiple crimes, which were you referring to?
context: As per the Citizen's Charter, I demand that you come with me!\If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we?\You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to? response:	Mido Masatake's? Or perhaps Ouryou Rikako's?
context: If you need to talk with me, then let's do it right here, right now.\We're both busy people, aren't we?\You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's? response:	I knew it...
context: We're both busy people, aren't we?\You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it... response:	I think the only time people really have value is when they act according to their own will.
context: You think you can escape?\You know, you should really do a better job of trying to draw me into the conversation.\That way you can buy some time until your reinforcements arrive.\I'm sure an experienced detective would do just that.\When you said multiple crimes, which were you referring to?\Mido Masatake's? Or perhaps Ouryou Rikako's?\I knew it...\I think the only time people really have value is when they act according to their own will. response:	So I've asked many people about their true, repressed desires and observed their actions all this time.
