context: But you don't have to be scared. response:	Only Xin Nu and I know about this.
context: Si Ming came to fix Dong Hua Dijun's fate.\I just came along to come see you.\To see me?\Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes\the crown prince will plea on your behalf. response:	Little Princess Feng Jiu and Dijun's fate have come together.
context: I just came along to come see you.\To see me?\Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes\the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together. response:	This is the reason why I've come to ask for your help.
context: To see me?\Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes\the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help. response:	What does this have to do with Feng Jiu?
context: Today, His Highness called me out of the Feast of Peaches\just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes\the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu? response:	Please come with me.
context: just so he could see how you had others push Dijun into the water.\When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes\the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu?\Please come with me. response:	Then you will understand.
context: When Dijun finds out in the future, I'm afraid he'll kick me down here.\When that time comes\the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu?\Please come with me.\Then you will understand. response:	This way.
context: When that time comes\the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu?\Please come with me.\Then you will understand.\This way. response:	Your Highness, High Goddess, Star Lord.
context: the crown prince will plea on your behalf.\Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu?\Please come with me.\Then you will understand.\This way.\Your Highness, High Goddess, Star Lord. response:	This is Handan Quarters.
context: Little Princess Feng Jiu and Dijun's fate have come together.\This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu?\Please come with me.\Then you will understand.\This way.\Your Highness, High Goddess, Star Lord.\This is Handan Quarters. response:	I will take my leave now.
context: This is the reason why I've come to ask for your help.\What does this have to do with Feng Jiu?\Please come with me.\Then you will understand.\This way.\Your Highness, High Goddess, Star Lord.\This is Handan Quarters.\I will take my leave now. response:	Okay. Go on.
context: What does this have to do with Feng Jiu?\Please come with me.\Then you will understand.\This way.\Your Highness, High Goddess, Star Lord.\This is Handan Quarters.\I will take my leave now.\Okay. Go on. response:	Since His Highness has already broken the seal on your powers
context: Please come with me.\Then you will understand.\This way.\Your Highness, High Goddess, Star Lord.\This is Handan Quarters.\I will take my leave now.\Okay. Go on.\Since His Highness has already broken the seal on your powers response:	let's secretly head inside.
context: Then you will understand.\This way.\Your Highness, High Goddess, Star Lord.\This is Handan Quarters.\I will take my leave now.\Okay. Go on.\Since His Highness has already broken the seal on your powers\let's secretly head inside. response:	Yu Dang, guests are here. Pour some tea.
context: This way.\Your Highness, High Goddess, Star Lord.\This is Handan Quarters.\I will take my leave now.\Okay. Go on.\Since His Highness has already broken the seal on your powers\let's secretly head inside.\Yu Dang, guests are here. Pour some tea. response:	Little brat, turn around.
context: Your Highness, High Goddess, Star Lord.\This is Handan Quarters.\I will take my leave now.\Okay. Go on.\Since His Highness has already broken the seal on your powers\let's secretly head inside.\Yu Dang, guests are here. Pour some tea.\Little brat, turn around. response:	Aunt.
context: This is Handan Quarters.\I will take my leave now.\Okay. Go on.\Since His Highness has already broken the seal on your powers\let's secretly head inside.\Yu Dang, guests are here. Pour some tea.\Little brat, turn around.\Aunt. response:	I've embarrassed myself today.
context: I will take my leave now.\Okay. Go on.\Since His Highness has already broken the seal on your powers\let's secretly head inside.\Yu Dang, guests are here. Pour some tea.\Little brat, turn around.\Aunt.\I've embarrassed myself today. response:	It's okay since you're using Honored Lady Chen's mortal body.
context: Okay. Go on.\Since His Highness has already broken the seal on your powers\let's secretly head inside.\Yu Dang, guests are here. Pour some tea.\Little brat, turn around.\Aunt.\I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body. response:	You're not embarrassing Qing Qiu.
context: Since His Highness has already broken the seal on your powers\let's secretly head inside.\Yu Dang, guests are here. Pour some tea.\Little brat, turn around.\Aunt.\I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu. response:	I won't tell your father.
context: let's secretly head inside.\Yu Dang, guests are here. Pour some tea.\Little brat, turn around.\Aunt.\I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu.\I won't tell your father. response:	But I messed up Dijun's fate.
context: Yu Dang, guests are here. Pour some tea.\Little brat, turn around.\Aunt.\I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu.\I won't tell your father.\But I messed up Dijun's fate. response:	His time and his life as well.
context: Little brat, turn around.\Aunt.\I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu.\I won't tell your father.\But I messed up Dijun's fate.\His time and his life as well. response:	Why is His Highness here too?
context: Aunt.\I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu.\I won't tell your father.\But I messed up Dijun's fate.\His time and his life as well.\Why is His Highness here too? response:	Does my father know?
context: I've embarrassed myself today.\It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu.\I won't tell your father.\But I messed up Dijun's fate.\His time and his life as well.\Why is His Highness here too?\Does my father know? response:	Star Lord Si Ming and I hurried over here because we saw that you messed up.
context: It's okay since you're using Honored Lady Chen's mortal body.\You're not embarrassing Qing Qiu.\I won't tell your father.\But I messed up Dijun's fate.\His time and his life as well.\Why is His Highness here too?\Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up. response:	Besides the people here, no one else knows.
context: You're not embarrassing Qing Qiu.\I won't tell your father.\But I messed up Dijun's fate.\His time and his life as well.\Why is His Highness here too?\Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows. response:	Don't worry.
context: I won't tell your father.\But I messed up Dijun's fate.\His time and his life as well.\Why is His Highness here too?\Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows.\Don't worry. response:	Aunt, what do I do?
context: But I messed up Dijun's fate.\His time and his life as well.\Why is His Highness here too?\Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows.\Don't worry.\Aunt, what do I do? response:	When Dijun was in a coma today, he kept holding on to my hand.
context: His time and his life as well.\Why is His Highness here too?\Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows.\Don't worry.\Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand. response:	When he woke up, his eyes kept starring at me.
context: Why is His Highness here too?\Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows.\Don't worry.\Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me. response:	They were filled with such emotion that tears were about to come out.
context: Does my father know?\Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows.\Don't worry.\Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out. response:	Did you see wrong?
context: Star Lord Si Ming and I hurried over here because we saw that you messed up.\Besides the people here, no one else knows.\Don't worry.\Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out.\Did you see wrong? response:	Maybe it's because he was in the water for too long
context: Besides the people here, no one else knows.\Don't worry.\Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out.\Did you see wrong?\Maybe it's because he was in the water for too long response:	that it looked like tears.
context: Don't worry.\Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out.\Did you see wrong?\Maybe it's because he was in the water for too long\that it looked like tears. response:	But he said that he would promote my rank.
context: Aunt, what do I do?\When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out.\Did you see wrong?\Maybe it's because he was in the water for too long\that it looked like tears.\But he said that he would promote my rank. response:	You saved his life. He should do that.
context: When Dijun was in a coma today, he kept holding on to my hand.\When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out.\Did you see wrong?\Maybe it's because he was in the water for too long\that it looked like tears.\But he said that he would promote my rank.\You saved his life. He should do that. response:	Little Princess, you mean Dijun has already fallen for you?
context: When he woke up, his eyes kept starring at me.\They were filled with such emotion that tears were about to come out.\Did you see wrong?\Maybe it's because he was in the water for too long\that it looked like tears.\But he said that he would promote my rank.\You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you? response:	Si Ming! What rotten fate have you created.
context: They were filled with such emotion that tears were about to come out.\Did you see wrong?\Maybe it's because he was in the water for too long\that it looked like tears.\But he said that he would promote my rank.\You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created. response:	Since Dijun has already fallen for you
context: Did you see wrong?\Maybe it's because he was in the water for too long\that it looked like tears.\But he said that he would promote my rank.\You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you response:	then I can only ask that you go along with this act with him.
context: Maybe it's because he was in the water for too long\that it looked like tears.\But he said that he would promote my rank.\You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you\then I can only ask that you go along with this act with him. response:	What act?
context: that it looked like tears.\But he said that he would promote my rank.\You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you\then I can only ask that you go along with this act with him.\What act? response:	Originally, he was to fall for the woman who fell into the water.
context: But he said that he would promote my rank.\You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you\then I can only ask that you go along with this act with him.\What act?\Originally, he was to fall for the woman who fell into the water. response:	But now, you'll have to play that part.
context: You saved his life. He should do that.\Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you\then I can only ask that you go along with this act with him.\What act?\Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part. response:	You're not going to help me think of a way to get out of this?
context: Little Princess, you mean Dijun has already fallen for you?\Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you\then I can only ask that you go along with this act with him.\What act?\Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part.\You're not going to help me think of a way to get out of this? response:	Instead, you want me to stay to continue this act?
context: Si Ming! What rotten fate have you created.\Since Dijun has already fallen for you\then I can only ask that you go along with this act with him.\What act?\Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part.\You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act? response:	Some friend you are.
context: Since Dijun has already fallen for you\then I can only ask that you go along with this act with him.\What act?\Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part.\You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act?\Some friend you are. response:	Little Princess, you're the one who messed up his fate.
context: then I can only ask that you go along with this act with him.\What act?\Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part.\You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act?\Some friend you are.\Little Princess, you're the one who messed up his fate. response:	I don't care. In any case, I don't want to go to Taichen Palace anymore.
context: What act?\Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part.\You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act?\Some friend you are.\Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore. response:	Actually, it's not Xiao Jiu's fault.
context: Originally, he was to fall for the woman who fell into the water.\But now, you'll have to play that part.\You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act?\Some friend you are.\Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault. response:	Maybe things turned out like this because I altered Yuan Zhen's fate.
context: But now, you'll have to play that part.\You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act?\Some friend you are.\Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate. response:	Since Little Princess is involved in this
context: You're not going to help me think of a way to get out of this?\Instead, you want me to stay to continue this act?\Some friend you are.\Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this response:	if Dijun's fate goes through a huge change
context: Instead, you want me to stay to continue this act?\Some friend you are.\Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this\if Dijun's fate goes through a huge change response:	it'll be hard for her to avoid disaster.
context: Some friend you are.\Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this\if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster. response:	The method I mentioned just now is the only way.
context: Little Princess, you're the one who messed up his fate.\I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this\if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way. response:	It'll continue Dijun's love fate and help Little Princess avoid disaster.
context: I don't care. In any case, I don't want to go to Taichen Palace anymore.\Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this\if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster. response:	Looks like there's no other way.
context: Actually, it's not Xiao Jiu's fault.\Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this\if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way. response:	Then...
context: Maybe things turned out like this because I altered Yuan Zhen's fate.\Since Little Princess is involved in this\if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way.\Then... response:	Then how do I continue this fate for him?
context: Since Little Princess is involved in this\if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way.\Then...\Then how do I continue this fate for him? response:	That's easy.
context: if Dijun's fate goes through a huge change\it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way.\Then...\Then how do I continue this fate for him?\That's easy. response:	You just have to first give Dijun a sweet taste of something.
context: it'll be hard for her to avoid disaster.\The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way.\Then...\Then how do I continue this fate for him?\That's easy.\You just have to first give Dijun a sweet taste of something. response:	Once you have a hold on his heart and he becomes devoted to you
context: The method I mentioned just now is the only way.\It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way.\Then...\Then how do I continue this fate for him?\That's easy.\You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you response:	take out his heart and trample it again and again.
context: It'll continue Dijun's love fate and help Little Princess avoid disaster.\Looks like there's no other way.\Then...\Then how do I continue this fate for him?\That's easy.\You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again. response:	You want me to trample on his heart?
context: Looks like there's no other way.\Then...\Then how do I continue this fate for him?\That's easy.\You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again.\You want me to trample on his heart? response:	When the time comes, I'll give you the script.
context: Then...\Then how do I continue this fate for him?\That's easy.\You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again.\You want me to trample on his heart?\When the time comes, I'll give you the script. response:	It'll teach you how to trample on his heart.
context: Then how do I continue this fate for him?\That's easy.\You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again.\You want me to trample on his heart?\When the time comes, I'll give you the script.\It'll teach you how to trample on his heart. response:	Aunt.
context: That's easy.\You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again.\You want me to trample on his heart?\When the time comes, I'll give you the script.\It'll teach you how to trample on his heart.\Aunt. response:	Your Highness.
context: You just have to first give Dijun a sweet taste of something.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again.\You want me to trample on his heart?\When the time comes, I'll give you the script.\It'll teach you how to trample on his heart.\Aunt.\Your Highness. response:	How can I repay for his kindness this way?
context: Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample it again and again.\You want me to trample on his heart?\When the time comes, I'll give you the script.\It'll teach you how to trample on his heart.\Aunt.\Your Highness.\How can I repay for his kindness this way? response:	Greetings, Your Majesty.
context: take out his heart and trample it again and again.\You want me to trample on his heart?\When the time comes, I'll give you the script.\It'll teach you how to trample on his heart.\Aunt.\Your Highness.\How can I repay for his kindness this way?\Greetings, Your Majesty. response:	I've broken your Two Lives Curse.
context: You want me to trample on his heart?\When the time comes, I'll give you the script.\It'll teach you how to trample on his heart.\Aunt.\Your Highness.\How can I repay for his kindness this way?\Greetings, Your Majesty.\I've broken your Two Lives Curse. response:	You can slowly repay his kindness.
context: When the time comes, I'll give you the script.\It'll teach you how to trample on his heart.\Aunt.\Your Highness.\How can I repay for his kindness this way?\Greetings, Your Majesty.\I've broken your Two Lives Curse.\You can slowly repay his kindness. response:	Your Majesty.
context: It'll teach you how to trample on his heart.\Aunt.\Your Highness.\How can I repay for his kindness this way?\Greetings, Your Majesty.\I've broken your Two Lives Curse.\You can slowly repay his kindness.\Your Majesty. response:	You're not asleep yet?
context: Aunt.\Your Highness.\How can I repay for his kindness this way?\Greetings, Your Majesty.\I've broken your Two Lives Curse.\You can slowly repay his kindness.\Your Majesty.\You're not asleep yet? response:	I can't fall asleep.
context: Your Highness.\How can I repay for his kindness this way?\Greetings, Your Majesty.\I've broken your Two Lives Curse.\You can slowly repay his kindness.\Your Majesty.\You're not asleep yet?\I can't fall asleep. response:	I can't fall asleep either.
context: How can I repay for his kindness this way?\Greetings, Your Majesty.\I've broken your Two Lives Curse.\You can slowly repay his kindness.\Your Majesty.\You're not asleep yet?\I can't fall asleep.\I can't fall asleep either. response:	I just wanted to come see you.
context: Greetings, Your Majesty.\I've broken your Two Lives Curse.\You can slowly repay his kindness.\Your Majesty.\You're not asleep yet?\I can't fall asleep.\I can't fall asleep either.\I just wanted to come see you. response:	If you were asleep
context: I've broken your Two Lives Curse.\You can slowly repay his kindness.\Your Majesty.\You're not asleep yet?\I can't fall asleep.\I can't fall asleep either.\I just wanted to come see you.\If you were asleep response:	I would just stay here to look at the place where you sleep.
context: You can slowly repay his kindness.\Your Majesty.\You're not asleep yet?\I can't fall asleep.\I can't fall asleep either.\I just wanted to come see you.\If you were asleep\I would just stay here to look at the place where you sleep. response:	It's very late at night. You should come in.
context: Your Majesty.\You're not asleep yet?\I can't fall asleep.\I can't fall asleep either.\I just wanted to come see you.\If you were asleep\I would just stay here to look at the place where you sleep.\It's very late at night. You should come in. response:	I still have some things to take care of.
context: You're not asleep yet?\I can't fall asleep.\I can't fall asleep either.\I just wanted to come see you.\If you were asleep\I would just stay here to look at the place where you sleep.\It's very late at night. You should come in.\I still have some things to take care of. response:	You should go back to Qing Qiu tomorrow.
context: I can't fall asleep.\I can't fall asleep either.\I just wanted to come see you.\If you were asleep\I would just stay here to look at the place where you sleep.\It's very late at night. You should come in.\I still have some things to take care of.\You should go back to Qing Qiu tomorrow. response:	I'll come see you in a few days.
context: I can't fall asleep either.\I just wanted to come see you.\If you were asleep\I would just stay here to look at the place where you sleep.\It's very late at night. You should come in.\I still have some things to take care of.\You should go back to Qing Qiu tomorrow.\I'll come see you in a few days. response:	Please don't be offended.
context: I just wanted to come see you.\If you were asleep\I would just stay here to look at the place where you sleep.\It's very late at night. You should come in.\I still have some things to take care of.\You should go back to Qing Qiu tomorrow.\I'll come see you in a few days.\Please don't be offended. response:	We snuck out of the Feast of Peaches, so we have to hurry back.
context: If you were asleep\I would just stay here to look at the place where you sleep.\It's very late at night. You should come in.\I still have some things to take care of.\You should go back to Qing Qiu tomorrow.\I'll come see you in a few days.\Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back. response:	I will take my leave.
context: I would just stay here to look at the place where you sleep.\It's very late at night. You should come in.\I still have some things to take care of.\You should go back to Qing Qiu tomorrow.\I'll come see you in a few days.\Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave. response:	Jiu'er, you're still not going to sleep?
context: It's very late at night. You should come in.\I still have some things to take care of.\You should go back to Qing Qiu tomorrow.\I'll come see you in a few days.\Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave.\Jiu'er, you're still not going to sleep? response:	I had such a scare today, maybe that's why I can't fall asleep.
context: I still have some things to take care of.\You should go back to Qing Qiu tomorrow.\I'll come see you in a few days.\Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave.\Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep. response:	Then I'll play go with you.
context: You should go back to Qing Qiu tomorrow.\I'll come see you in a few days.\Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave.\Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you. response:	I don't really know how to play.
context: I'll come see you in a few days.\Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave.\Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you.\I don't really know how to play. response:	No matter what you do, I'll just give you your way.
context: Please don't be offended.\We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave.\Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you.\I don't really know how to play.\No matter what you do, I'll just give you your way. response:	First you have to first give Dijun a taste of something sweet.
context: We snuck out of the Feast of Peaches, so we have to hurry back.\I will take my leave.\Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you.\I don't really know how to play.\No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet. response:	Once you have a hold on his heart and he becomes devoted to you
context: I will take my leave.\Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you.\I don't really know how to play.\No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you response:	take out his heart and trample on it again and again.
context: Jiu'er, you're still not going to sleep?\I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you.\I don't really know how to play.\No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again. response:	A taste of something sweet?
context: I had such a scare today, maybe that's why I can't fall asleep.\Then I'll play go with you.\I don't really know how to play.\No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again.\A taste of something sweet? response:	Back when I was in the Celestial Palace, I couldn't get any part of his heart.
context: Then I'll play go with you.\I don't really know how to play.\No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again.\A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart. response:	Now... what do I do now?
context: I don't really know how to play.\No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again.\A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now? response:	Jiu'er.
context: No matter what you do, I'll just give you your way.\First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again.\A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now?\Jiu'er. response:	Huh?
context: First you have to first give Dijun a taste of something sweet.\Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again.\A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now?\Jiu'er.\Huh? response:	When did you enter the palace?
context: Once you have a hold on his heart and he becomes devoted to you\take out his heart and trample on it again and again.\A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now?\Jiu'er.\Huh?\When did you enter the palace? response:	When I was 17 years old.
context: take out his heart and trample on it again and again.\A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now?\Jiu'er.\Huh?\When did you enter the palace?\When I was 17 years old. response:	When I was in my resting quarters, I was trying to recall how we first met
context: A taste of something sweet?\Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now?\Jiu'er.\Huh?\When did you enter the palace?\When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met response:	but I couldn't remember anything.
context: Back when I was in the Celestial Palace, I couldn't get any part of his heart.\Now... what do I do now?\Jiu'er.\Huh?\When did you enter the palace?\When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything. response:	Even though you're already an honored lady
context: Now... what do I do now?\Jiu'er.\Huh?\When did you enter the palace?\When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything.\Even though you're already an honored lady response:	and you have already slept with me
context: Jiu'er.\Huh?\When did you enter the palace?\When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything.\Even though you're already an honored lady\and you have already slept with me response:	I can't remember the night when you first became my wife.
context: Huh?\When did you enter the palace?\When I was 17 years old.\When I was in my resting quarters, I was trying to recall how we first met\but I couldn't remember anything.\Even though you're already an honored lady\and you have already slept with me\I can't remember the night when you first became my wife. response:	Do you hate me for it?
