context: eyecatch response:	H!
context: She did come all this way in that state.\But Yukko was going bring out a big trick -\I-It already came out!\It already came out!\Ah.\It escaped!\Tissues...\All right. response:	Let's begin.
context: But Yukko was going bring out a big trick -\I-It already came out!\It already came out!\Ah.\It escaped!\Tissues...\All right.\Let's begin. response:	Okay.
context: I-It already came out!\It already came out!\Ah.\It escaped!\Tissues...\All right.\Let's begin.\Okay. response:	Why am I hiding this?
context: It already came out!\Ah.\It escaped!\Tissues...\All right.\Let's begin.\Okay.\Why am I hiding this? response:	Well, let's see...
context: Ah.\It escaped!\Tissues...\All right.\Let's begin.\Okay.\Why am I hiding this?\Well, let's see... response:	First off...
context: It escaped!\Tissues...\All right.\Let's begin.\Okay.\Why am I hiding this?\Well, let's see...\First off... response:	I wonder how weakened she is that she didn't notice the dove and the wand.
context: Tissues...\All right.\Let's begin.\Okay.\Why am I hiding this?\Well, let's see...\First off...\I wonder how weakened she is that she didn't notice the dove and the wand. response:	I'll pass a cigarette through a one hundred-yen coin.
context: All right.\Let's begin.\Okay.\Why am I hiding this?\Well, let's see...\First off...\I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin. response:	The hole is already open!
context: Let's begin.\Okay.\Why am I hiding this?\Well, let's see...\First off...\I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin.\The hole is already open! response:	They're all Ace of Hearts!
context: Okay.\Why am I hiding this?\Well, let's see...\First off...\I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin.\The hole is already open!\They're all Ace of Hearts! response:	Just now,
context: Why am I hiding this?\Well, let's see...\First off...\I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin.\The hole is already open!\They're all Ace of Hearts!\Just now, response:	something came flying out of her mouth.
context: Well, let's see...\First off...\I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin.\The hole is already open!\They're all Ace of Hearts!\Just now,\something came flying out of her mouth. response:	What kind of trick were you planning?
context: First off...\I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin.\The hole is already open!\They're all Ace of Hearts!\Just now,\something came flying out of her mouth.\What kind of trick were you planning? response:	Yukko!
context: I wonder how weakened she is that she didn't notice the dove and the wand.\I'll pass a cigarette through a one hundred-yen coin.\The hole is already open!\They're all Ace of Hearts!\Just now,\something came flying out of her mouth.\What kind of trick were you planning?\Yukko! response:	Yukko.
context: I'll pass a cigarette through a one hundred-yen coin.\The hole is already open!\They're all Ace of Hearts!\Just now,\something came flying out of her mouth.\What kind of trick were you planning?\Yukko!\Yukko. response:	You should just sleep right now.
context: The hole is already open!\They're all Ace of Hearts!\Just now,\something came flying out of her mouth.\What kind of trick were you planning?\Yukko!\Yukko.\You should just sleep right now. response:	Well, I'm off to the supermarket.
context: They're all Ace of Hearts!\Just now,\something came flying out of her mouth.\What kind of trick were you planning?\Yukko!\Yukko.\You should just sleep right now.\Well, I'm off to the supermarket. response:	Professor shall come with you!
context: Just now,\something came flying out of her mouth.\What kind of trick were you planning?\Yukko!\Yukko.\You should just sleep right now.\Well, I'm off to the supermarket.\Professor shall come with you! response:	Since you weren't behaving, I wont buy you anything!
context: something came flying out of her mouth.\What kind of trick were you planning?\Yukko!\Yukko.\You should just sleep right now.\Well, I'm off to the supermarket.\Professor shall come with you!\Since you weren't behaving, I wont buy you anything! response:	I feel bad for you, Sakamoto.
context: What kind of trick were you planning?\Yukko!\Yukko.\You should just sleep right now.\Well, I'm off to the supermarket.\Professor shall come with you!\Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto. response:	It's you!
context: Yukko!\Yukko.\You should just sleep right now.\Well, I'm off to the supermarket.\Professor shall come with you!\Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto.\It's you! response:	Well, let's go.
context: Yukko.\You should just sleep right now.\Well, I'm off to the supermarket.\Professor shall come with you!\Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto.\It's you!\Well, let's go. response:	What are you buying today, Nano?
context: You should just sleep right now.\Well, I'm off to the supermarket.\Professor shall come with you!\Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto.\It's you!\Well, let's go.\What are you buying today, Nano? response:	More fish, I guess.
context: Well, I'm off to the supermarket.\Professor shall come with you!\Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto.\It's you!\Well, let's go.\What are you buying today, Nano?\More fish, I guess. response:	What should Professor get?
context: Professor shall come with you!\Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto.\It's you!\Well, let's go.\What are you buying today, Nano?\More fish, I guess.\What should Professor get? response:	Professor can't buy anything today!
context: Since you weren't behaving, I wont buy you anything!\I feel bad for you, Sakamoto.\It's you!\Well, let's go.\What are you buying today, Nano?\More fish, I guess.\What should Professor get?\Professor can't buy anything today! response:	But they're not snacks, though...
context: I feel bad for you, Sakamoto.\It's you!\Well, let's go.\What are you buying today, Nano?\More fish, I guess.\What should Professor get?\Professor can't buy anything today!\But they're not snacks, though... response:	You can't buy anything, even if they're not snacks.
context: It's you!\Well, let's go.\What are you buying today, Nano?\More fish, I guess.\What should Professor get?\Professor can't buy anything today!\But they're not snacks, though...\You can't buy anything, even if they're not snacks. response:	Then I'm not too sure what I can buy.
context: Well, let's go.\What are you buying today, Nano?\More fish, I guess.\What should Professor get?\Professor can't buy anything today!\But they're not snacks, though...\You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy. response:	You really do want to buy something.
context: What are you buying today, Nano?\More fish, I guess.\What should Professor get?\Professor can't buy anything today!\But they're not snacks, though...\You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy.\You really do want to buy something. response:	Nano, it's a shark castella!
context: More fish, I guess.\What should Professor get?\Professor can't buy anything today!\But they're not snacks, though...\You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy.\You really do want to buy something.\Nano, it's a shark castella! response:	It looks like there's a stand.
context: What should Professor get?\Professor can't buy anything today!\But they're not snacks, though...\You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy.\You really do want to buy something.\Nano, it's a shark castella!\It looks like there's a stand. response:	Since it looks delicious, shall we have some?
context: Professor can't buy anything today!\But they're not snacks, though...\You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy.\You really do want to buy something.\Nano, it's a shark castella!\It looks like there's a stand.\Since it looks delicious, shall we have some? response:	Geez.
context: But they're not snacks, though...\You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy.\You really do want to buy something.\Nano, it's a shark castella!\It looks like there's a stand.\Since it looks delicious, shall we have some?\Geez. response:	Have you forgotten already?
context: You can't buy anything, even if they're not snacks.\Then I'm not too sure what I can buy.\You really do want to buy something.\Nano, it's a shark castella!\It looks like there's a stand.\Since it looks delicious, shall we have some?\Geez.\Have you forgotten already? response:	I'm not buying anything for you today.
context: Then I'm not too sure what I can buy.\You really do want to buy something.\Nano, it's a shark castella!\It looks like there's a stand.\Since it looks delicious, shall we have some?\Geez.\Have you forgotten already?\I'm not buying anything for you today. response:	Eh?
context: You really do want to buy something.\Nano, it's a shark castella!\It looks like there's a stand.\Since it looks delicious, shall we have some?\Geez.\Have you forgotten already?\I'm not buying anything for you today.\Eh? response:	But it's a gift for Sakamoto.
context: Nano, it's a shark castella!\It looks like there's a stand.\Since it looks delicious, shall we have some?\Geez.\Have you forgotten already?\I'm not buying anything for you today.\Eh?\But it's a gift for Sakamoto. response:	Sakamoto did some bad things, too, so no.
context: It looks like there's a stand.\Since it looks delicious, shall we have some?\Geez.\Have you forgotten already?\I'm not buying anything for you today.\Eh?\But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no. response:	I was going to give it to Nano, actually.
context: Since it looks delicious, shall we have some?\Geez.\Have you forgotten already?\I'm not buying anything for you today.\Eh?\But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually. response:	I made a mistake.
context: Geez.\Have you forgotten already?\I'm not buying anything for you today.\Eh?\But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually.\I made a mistake. response:	If I treat her here, she'll do the same thing again.
context: Have you forgotten already?\I'm not buying anything for you today.\Eh?\But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually.\I made a mistake.\If I treat her here, she'll do the same thing again. response:	All right, Professor.
context: I'm not buying anything for you today.\Eh?\But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually.\I made a mistake.\If I treat her here, she'll do the same thing again.\All right, Professor. response:	We're going.
context: Eh?\But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually.\I made a mistake.\If I treat her here, she'll do the same thing again.\All right, Professor.\We're going. response:	Buy it! Buy it! Buy it!
context: But it's a gift for Sakamoto.\Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually.\I made a mistake.\If I treat her here, she'll do the same thing again.\All right, Professor.\We're going.\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: Sakamoto did some bad things, too, so no.\I was going to give it to Nano, actually.\I made a mistake.\If I treat her here, she'll do the same thing again.\All right, Professor.\We're going.\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: I was going to give it to Nano, actually.\I made a mistake.\If I treat her here, she'll do the same thing again.\All right, Professor.\We're going.\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: I made a mistake.\If I treat her here, she'll do the same thing again.\All right, Professor.\We're going.\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: If I treat her here, she'll do the same thing again.\All right, Professor.\We're going.\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: All right, Professor.\We're going.\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: We're going.\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	Buy it! Buy it! Buy it!
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it! response:	I need to clear my mind.
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\I need to clear my mind. response:	But maybe...
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\I need to clear my mind.\But maybe... response:	But right now...
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\I need to clear my mind.\But maybe...\But right now... response:	Or maybe...
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\I need to clear my mind.\But maybe...\But right now...\Or maybe... response:	No!
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\I need to clear my mind.\But maybe...\But right now...\Or maybe...\No! response:	Maybe just a bit...
context: Buy it! Buy it! Buy it!\Buy it! Buy it! Buy it!\I need to clear my mind.\But maybe...\But right now...\Or maybe...\No!\Maybe just a bit... response:	No way!
context: Buy it! Buy it! Buy it!\I need to clear my mind.\But maybe...\But right now...\Or maybe...\No!\Maybe just a bit...\No way! response:	But...
context: I need to clear my mind.\But maybe...\But right now...\Or maybe...\No!\Maybe just a bit...\No way!\But... response:	No, no!
context: But maybe...\But right now...\Or maybe...\No!\Maybe just a bit...\No way!\But...\No, no! response:	Maybe...
context: But right now...\Or maybe...\No!\Maybe just a bit...\No way!\But...\No, no!\Maybe... response:	I'm sorry.
context: Or maybe...\No!\Maybe just a bit...\No way!\But...\No, no!\Maybe...\I'm sorry. response:	I lost.
context: No!\Maybe just a bit...\No way!\But...\No, no!\Maybe...\I'm sorry.\I lost. response:	It's delicious!
context: Maybe just a bit...\No way!\But...\No, no!\Maybe...\I'm sorry.\I lost.\It's delicious! response:	So in the end, you bought it for her.
context: No way!\But...\No, no!\Maybe...\I'm sorry.\I lost.\It's delicious!\So in the end, you bought it for her. response:	This kid is really selfish,
context: But...\No, no!\Maybe...\I'm sorry.\I lost.\It's delicious!\So in the end, you bought it for her.\This kid is really selfish, response:	always throwing tantrums for some reason or another.
context: No, no!\Maybe...\I'm sorry.\I lost.\It's delicious!\So in the end, you bought it for her.\This kid is really selfish,\always throwing tantrums for some reason or another. response:	I think I'll teach her a lesson.
context: Maybe...\I'm sorry.\I lost.\It's delicious!\So in the end, you bought it for her.\This kid is really selfish,\always throwing tantrums for some reason or another.\I think I'll teach her a lesson. response:	Hey, kid.
context: I'm sorry.\I lost.\It's delicious!\So in the end, you bought it for her.\This kid is really selfish,\always throwing tantrums for some reason or another.\I think I'll teach her a lesson.\Hey, kid. response:	Hurry up and learn about self-restraint.
context: I lost.\It's delicious!\So in the end, you bought it for her.\This kid is really selfish,\always throwing tantrums for some reason or another.\I think I'll teach her a lesson.\Hey, kid.\Hurry up and learn about self-restraint. response:	I understand.
context: It's delicious!\So in the end, you bought it for her.\This kid is really selfish,\always throwing tantrums for some reason or another.\I think I'll teach her a lesson.\Hey, kid.\Hurry up and learn about self-restraint.\I understand. response:	No, you don't!
context: So in the end, you bought it for her.\This kid is really selfish,\always throwing tantrums for some reason or another.\I think I'll teach her a lesson.\Hey, kid.\Hurry up and learn about self-restraint.\I understand.\No, you don't! response:	The Shinonome household was at peace again today.
context: This kid is really selfish,\always throwing tantrums for some reason or another.\I think I'll teach her a lesson.\Hey, kid.\Hurry up and learn about self-restraint.\I understand.\No, you don't!\The Shinonome household was at peace again today. response:	Whoa! You got eighty points! Amazing!
context: always throwing tantrums for some reason or another.\I think I'll teach her a lesson.\Hey, kid.\Hurry up and learn about self-restraint.\I understand.\No, you don't!\The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing! response:	You can do it if you try!
context: I think I'll teach her a lesson.\Hey, kid.\Hurry up and learn about self-restraint.\I understand.\No, you don't!\The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing!\You can do it if you try! response:	What's the secret behind that good mark?
context: Hey, kid.\Hurry up and learn about self-restraint.\I understand.\No, you don't!\The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing!\You can do it if you try!\What's the secret behind that good mark? response:	No, no, no. There really is no secret.
context: Hurry up and learn about self-restraint.\I understand.\No, you don't!\The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing!\You can do it if you try!\What's the secret behind that good mark?\No, no, no. There really is no secret. response:	Come on!
context: I understand.\No, you don't!\The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing!\You can do it if you try!\What's the secret behind that good mark?\No, no, no. There really is no secret.\Come on! response:	Tell me your secret!
context: No, you don't!\The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing!\You can do it if you try!\What's the secret behind that good mark?\No, no, no. There really is no secret.\Come on!\Tell me your secret! response:	Stop!
context: The Shinonome household was at peace again today.\Whoa! You got eighty points! Amazing!\You can do it if you try!\What's the secret behind that good mark?\No, no, no. There really is no secret.\Come on!\Tell me your secret!\Stop! response:	Ow...
context: Whoa! You got eighty points! Amazing!\You can do it if you try!\What's the secret behind that good mark?\No, no, no. There really is no secret.\Come on!\Tell me your secret!\Stop!\Ow... response:	Should I teach you the secret to getting eighty points?
context: You can do it if you try!\What's the secret behind that good mark?\No, no, no. There really is no secret.\Come on!\Tell me your secret!\Stop!\Ow...\Should I teach you the secret to getting eighty points? response:	You don't have to tell me.
context: What's the secret behind that good mark?\No, no, no. There really is no secret.\Come on!\Tell me your secret!\Stop!\Ow...\Should I teach you the secret to getting eighty points?\You don't have to tell me. response:	Besides, I got ninety-six points.
context: No, no, no. There really is no secret.\Come on!\Tell me your secret!\Stop!\Ow...\Should I teach you the secret to getting eighty points?\You don't have to tell me.\Besides, I got ninety-six points. response:	Eighty points.
context: Come on!\Tell me your secret!\Stop!\Ow...\Should I teach you the secret to getting eighty points?\You don't have to tell me.\Besides, I got ninety-six points.\Eighty points. response:	It's all about effort...
context: Tell me your secret!\Stop!\Ow...\Should I teach you the secret to getting eighty points?\You don't have to tell me.\Besides, I got ninety-six points.\Eighty points.\It's all about effort... response:	Crude.
context: Stop!\Ow...\Should I teach you the secret to getting eighty points?\You don't have to tell me.\Besides, I got ninety-six points.\Eighty points.\It's all about effort...\Crude. response:	Aioi.
context: Ow...\Should I teach you the secret to getting eighty points?\You don't have to tell me.\Besides, I got ninety-six points.\Eighty points.\It's all about effort...\Crude.\Aioi. response:	Uh...
context: Should I teach you the secret to getting eighty points?\You don't have to tell me.\Besides, I got ninety-six points.\Eighty points.\It's all about effort...\Crude.\Aioi.\Uh... response:	Eh?
context: You don't have to tell me.\Besides, I got ninety-six points.\Eighty points.\It's all about effort...\Crude.\Aioi.\Uh...\Eh? response:	Yeah!
context: Besides, I got ninety-six points.\Eighty points.\It's all about effort...\Crude.\Aioi.\Uh...\Eh?\Yeah! response:	Dad, I've come to make food for you!
context: Eighty points.\It's all about effort...\Crude.\Aioi.\Uh...\Eh?\Yeah!\Dad, I've come to make food for you! response:	Mum's still on her trip, right?
context: It's all about effort...\Crude.\Aioi.\Uh...\Eh?\Yeah!\Dad, I've come to make food for you!\Mum's still on her trip, right? response:	Oh, thanks.
context: Crude.\Aioi.\Uh...\Eh?\Yeah!\Dad, I've come to make food for you!\Mum's still on her trip, right?\Oh, thanks. response:	Hello!
context: Aioi.\Uh...\Eh?\Yeah!\Dad, I've come to make food for you!\Mum's still on her trip, right?\Oh, thanks.\Hello! response:	Hello, Mii-chan.
context: Uh...\Eh?\Yeah!\Dad, I've come to make food for you!\Mum's still on her trip, right?\Oh, thanks.\Hello!\Hello, Mii-chan. response:	Well, I'll play with my grandson all day today...
context: Eh?\Yeah!\Dad, I've come to make food for you!\Mum's still on her trip, right?\Oh, thanks.\Hello!\Hello, Mii-chan.\Well, I'll play with my grandson all day today... response:	Mii-chan, what do you want to do today?
context: Yeah!\Dad, I've come to make food for you!\Mum's still on her trip, right?\Oh, thanks.\Hello!\Hello, Mii-chan.\Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today? response:	You see, you see!
context: Dad, I've come to make food for you!\Mum's still on her trip, right?\Oh, thanks.\Hello!\Hello, Mii-chan.\Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today?\You see, you see! response:	Instead of that, where is your registered seal?
context: Mum's still on her trip, right?\Oh, thanks.\Hello!\Hello, Mii-chan.\Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today?\You see, you see!\Instead of that, where is your registered seal? response:	TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.
context: Oh, thanks.\Hello!\Hello, Mii-chan.\Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today?\You see, you see!\Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it. response:	Eh?
context: Hello!\Hello, Mii-chan.\Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today?\You see, you see!\Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh? response:	Hey, hey!
context: Hello, Mii-chan.\Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today?\You see, you see!\Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh?\Hey, hey! response:	Where is your seal?
context: Well, I'll play with my grandson all day today...\Mii-chan, what do you want to do today?\You see, you see!\Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh?\Hey, hey!\Where is your seal? response:	Where are you hiding it?
context: Mii-chan, what do you want to do today?\You see, you see!\Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh?\Hey, hey!\Where is your seal?\Where are you hiding it? response:	Hey, hey!
context: You see, you see!\Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh?\Hey, hey!\Where is your seal?\Where are you hiding it?\Hey, hey! response:	Tell me!
context: Instead of that, where is your registered seal?\TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh?\Hey, hey!\Where is your seal?\Where are you hiding it?\Hey, hey!\Tell me! response:	Is it in this bookshelf?
context: TL note: An official stamp that can be used in place of a signature. Someone else could forge legal documents in your name with it.\Eh?\Hey, hey!\Where is your seal?\Where are you hiding it?\Hey, hey!\Tell me!\Is it in this bookshelf? response:	Hey, hey!
context: Eh?\Hey, hey!\Where is your seal?\Where are you hiding it?\Hey, hey!\Tell me!\Is it in this bookshelf?\Hey, hey! response:	Where is your seal?
context: Hey, hey!\Where is your seal?\Where are you hiding it?\Hey, hey!\Tell me!\Is it in this bookshelf?\Hey, hey!\Where is your seal? response:	This is worse than reality.
context: Where is your seal?\Where are you hiding it?\Hey, hey!\Tell me!\Is it in this bookshelf?\Hey, hey!\Where is your seal?\This is worse than reality. response:	Hey, hey! Where is it?
context: Where are you hiding it?\Hey, hey!\Tell me!\Is it in this bookshelf?\Hey, hey!\Where is your seal?\This is worse than reality.\Hey, hey! Where is it? response:	Where? Where?
context: Hey, hey!\Tell me!\Is it in this bookshelf?\Hey, hey!\Where is your seal?\This is worse than reality.\Hey, hey! Where is it?\Where? Where? response:	Come out right no -
context: Tell me!\Is it in this bookshelf?\Hey, hey!\Where is your seal?\This is worse than reality.\Hey, hey! Where is it?\Where? Where?\Come out right no - response:	You're slow!
context: Is it in this bookshelf?\Hey, hey!\Where is your seal?\This is worse than reality.\Hey, hey! Where is it?\Where? Where?\Come out right no -\You're slow! response:	What did you think the time to meet up was?
context: Hey, hey!\Where is your seal?\This is worse than reality.\Hey, hey! Where is it?\Where? Where?\Come out right no -\You're slow!\What did you think the time to meet up was? response:	I'm sorry.
context: Where is your seal?\This is worse than reality.\Hey, hey! Where is it?\Where? Where?\Come out right no -\You're slow!\What did you think the time to meet up was?\I'm sorry. response:	I meant to get on the bus...
context: This is worse than reality.\Hey, hey! Where is it?\Where? Where?\Come out right no -\You're slow!\What did you think the time to meet up was?\I'm sorry.\I meant to get on the bus... response:	I was on a wave known as time.
context: Hey, hey! Where is it?\Where? Where?\Come out right no -\You're slow!\What did you think the time to meet up was?\I'm sorry.\I meant to get on the bus...\I was on a wave known as time. response:	Let's just go to town like this!
context: Where? Where?\Come out right no -\You're slow!\What did you think the time to meet up was?\I'm sorry.\I meant to get on the bus...\I was on a wave known as time.\Let's just go to town like this! response:	Nano.
context: Come out right no -\You're slow!\What did you think the time to meet up was?\I'm sorry.\I meant to get on the bus...\I was on a wave known as time.\Let's just go to town like this!\Nano. response:	Ah!
context: You're slow!\What did you think the time to meet up was?\I'm sorry.\I meant to get on the bus...\I was on a wave known as time.\Let's just go to town like this!\Nano.\Ah! response:	Hey, Nano?
context: What did you think the time to meet up was?\I'm sorry.\I meant to get on the bus...\I was on a wave known as time.\Let's just go to town like this!\Nano.\Ah!\Hey, Nano? response:	Nano?
context: I'm sorry.\I meant to get on the bus...\I was on a wave known as time.\Let's just go to town like this!\Nano.\Ah!\Hey, Nano?\Nano? response:	What is it, Professor?
context: I meant to get on the bus...\I was on a wave known as time.\Let's just go to town like this!\Nano.\Ah!\Hey, Nano?\Nano?\What is it, Professor? response:	I kinda need to go pee a little bit.
context: I was on a wave known as time.\Let's just go to town like this!\Nano.\Ah!\Hey, Nano?\Nano?\What is it, Professor?\I kinda need to go pee a little bit. response:	Nano, come with me.
context: Let's just go to town like this!\Nano.\Ah!\Hey, Nano?\Nano?\What is it, Professor?\I kinda need to go pee a little bit.\Nano, come with me. response:	Hey, lets go.
context: Nano.\Ah!\Hey, Nano?\Nano?\What is it, Professor?\I kinda need to go pee a little bit.\Nano, come with me.\Hey, lets go. response:	Hey...
context: Ah!\Hey, Nano?\Nano?\What is it, Professor?\I kinda need to go pee a little bit.\Nano, come with me.\Hey, lets go.\Hey... response:	Lets go.
context: Hey, Nano?\Nano?\What is it, Professor?\I kinda need to go pee a little bit.\Nano, come with me.\Hey, lets go.\Hey...\Lets go. response:	Hey, Nano.
context: Nano?\What is it, Professor?\I kinda need to go pee a little bit.\Nano, come with me.\Hey, lets go.\Hey...\Lets go.\Hey, Nano. response:	Hey...
context: What is it, Professor?\I kinda need to go pee a little bit.\Nano, come with me.\Hey, lets go.\Hey...\Lets go.\Hey, Nano.\Hey... response:	Professor, you're wrong...
context: I kinda need to go pee a little bit.\Nano, come with me.\Hey, lets go.\Hey...\Lets go.\Hey, Nano.\Hey...\Professor, you're wrong... response:	Eh? What is?
context: Nano, come with me.\Hey, lets go.\Hey...\Lets go.\Hey, Nano.\Hey...\Professor, you're wrong...\Eh? What is? response:	Borscht is a type of food.
context: Hey, lets go.\Hey...\Lets go.\Hey, Nano.\Hey...\Professor, you're wrong...\Eh? What is?\Borscht is a type of food. response:	TL note: Borscht is a type of Eastern European soup.
context: Hey...\Lets go.\Hey, Nano.\Hey...\Professor, you're wrong...\Eh? What is?\Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup. response:	That's not it.
context: Lets go.\Hey, Nano.\Hey...\Professor, you're wrong...\Eh? What is?\Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup.\That's not it. response:	I want to go pee.
context: Hey, Nano.\Hey...\Professor, you're wrong...\Eh? What is?\Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup.\That's not it.\I want to go pee. response:	Hey, Nano.
context: Hey...\Professor, you're wrong...\Eh? What is?\Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup.\That's not it.\I want to go pee.\Hey, Nano. response:	Nano!
context: Professor, you're wrong...\Eh? What is?\Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup.\That's not it.\I want to go pee.\Hey, Nano.\Nano! response:	Just go!
context: Eh? What is?\Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup.\That's not it.\I want to go pee.\Hey, Nano.\Nano!\Just go! response:	Did you possibly...
context: Borscht is a type of food.\TL note: Borscht is a type of Eastern European soup.\That's not it.\I want to go pee.\Hey, Nano.\Nano!\Just go!\Did you possibly... response:	It's okay, only a little.
context: TL note: Borscht is a type of Eastern European soup.\That's not it.\I want to go pee.\Hey, Nano.\Nano!\Just go!\Did you possibly...\It's okay, only a little. response:	Anyway, just hurry up and go to the washroom.
context: That's not it.\I want to go pee.\Hey, Nano.\Nano!\Just go!\Did you possibly...\It's okay, only a little.\Anyway, just hurry up and go to the washroom. response:	I'll sleep.
context: I want to go pee.\Hey, Nano.\Nano!\Just go!\Did you possibly...\It's okay, only a little.\Anyway, just hurry up and go to the washroom.\I'll sleep. response:	Just go!
