context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: The first game, second game,\the playoffs, the nationals...\I'm going to win them all.\Sho-chan.\Izumi.\Why are you making that scary guy mad?\Weren't you going to the bathroom?\Let's get back, hurry. response:	How's your stomach ache?
context: the playoffs, the nationals...\I'm going to win them all.\Sho-chan.\Izumi.\Why are you making that scary guy mad?\Weren't you going to the bathroom?\Let's get back, hurry.\How's your stomach ache? response:	It's all gone.
context: I'm going to win them all.\Sho-chan.\Izumi.\Why are you making that scary guy mad?\Weren't you going to the bathroom?\Let's get back, hurry.\How's your stomach ache?\It's all gone. response:	Huh?
context: Sho-chan.\Izumi.\Why are you making that scary guy mad?\Weren't you going to the bathroom?\Let's get back, hurry.\How's your stomach ache?\It's all gone.\Huh? response:	Crap. He's good for real.
context: Izumi.\Why are you making that scary guy mad?\Weren't you going to the bathroom?\Let's get back, hurry.\How's your stomach ache?\It's all gone.\Huh?\Crap. He's good for real. response:	He's a setter.
context: Why are you making that scary guy mad?\Weren't you going to the bathroom?\Let's get back, hurry.\How's your stomach ache?\It's all gone.\Huh?\Crap. He's good for real.\He's a setter. response:	That's him, the so-called King of the Court, Kageyama Tobio.
context: Weren't you going to the bathroom?\Let's get back, hurry.\How's your stomach ache?\It's all gone.\Huh?\Crap. He's good for real.\He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio. response:	By the way, what's a setter?
context: Let's get back, hurry.\How's your stomach ache?\It's all gone.\Huh?\Crap. He's good for real.\He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter? response:	That's the offensive position that tosses the ball.
context: How's your stomach ache?\It's all gone.\Huh?\Crap. He's good for real.\He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter?\That's the offensive position that tosses the ball. response:	Setter
context: It's all gone.\Huh?\Crap. He's good for real.\He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter?\That's the offensive position that tosses the ball.\Setter response:	We studied it, remember?
context: Huh?\Crap. He's good for real.\He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter?\That's the offensive position that tosses the ball.\Setter\We studied it, remember? response:	We did?
context: Crap. He's good for real.\He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter?\That's the offensive position that tosses the ball.\Setter\We studied it, remember?\We did? response:	Your timing is slow.
context: He's a setter.\That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter?\That's the offensive position that tosses the ball.\Setter\We studied it, remember?\We did?\Your timing is slow. response:	Come in faster for the quick, I told you.
context: That's him, the so-called King of the Court, Kageyama Tobio.\By the way, what's a setter?\That's the offensive position that tosses the ball.\Setter\We studied it, remember?\We did?\Your timing is slow.\Come in faster for the quick, I told you. response:	My bad.
context: By the way, what's a setter?\That's the offensive position that tosses the ball.\Setter\We studied it, remember?\We did?\Your timing is slow.\Come in faster for the quick, I told you.\My bad. response:	Kageyama, don't focus on speed alone.
context: That's the offensive position that tosses the ball.\Setter\We studied it, remember?\We did?\Your timing is slow.\Come in faster for the quick, I told you.\My bad.\Kageyama, don't focus on speed alone. response:	What matters is not your own skills,
context: Setter\We studied it, remember?\We did?\Your timing is slow.\Come in faster for the quick, I told you.\My bad.\Kageyama, don't focus on speed alone.\What matters is not your own skills, response:	it's how you let the spiker hit the ball.
context: We studied it, remember?\We did?\Your timing is slow.\Come in faster for the quick, I told you.\My bad.\Kageyama, don't focus on speed alone.\What matters is not your own skills,\it's how you let the spiker hit the ball. response:	I know that.
context: We did?\Your timing is slow.\Come in faster for the quick, I told you.\My bad.\Kageyama, don't focus on speed alone.\What matters is not your own skills,\it's how you let the spiker hit the ball.\I know that. response:	This is it.
context: Your timing is slow.\Come in faster for the quick, I told you.\My bad.\Kageyama, don't focus on speed alone.\What matters is not your own skills,\it's how you let the spiker hit the ball.\I know that.\This is it. response:	It's finally about to start.
context: Come in faster for the quick, I told you.\My bad.\Kageyama, don't focus on speed alone.\What matters is not your own skills,\it's how you let the spiker hit the ball.\I know that.\This is it.\It's finally about to start. response:	Let's play.
context: My bad.\Kageyama, don't focus on speed alone.\What matters is not your own skills,\it's how you let the spiker hit the ball.\I know that.\This is it.\It's finally about to start.\Let's play. response:	Our opponents sure are short.
context: Kageyama, don't focus on speed alone.\What matters is not your own skills,\it's how you let the spiker hit the ball.\I know that.\This is it.\It's finally about to start.\Let's play.\Our opponents sure are short. response:	Koji.
context: What matters is not your own skills,\it's how you let the spiker hit the ball.\I know that.\This is it.\It's finally about to start.\Let's play.\Our opponents sure are short.\Koji. response:	Your back number. Show your back number.
context: it's how you let the spiker hit the ball.\I know that.\This is it.\It's finally about to start.\Let's play.\Our opponents sure are short.\Koji.\Your back number. Show your back number. response:	Huh?
context: I know that.\This is it.\It's finally about to start.\Let's play.\Our opponents sure are short.\Koji.\Your back number. Show your back number.\Huh? response:	Koji.
context: This is it.\It's finally about to start.\Let's play.\Our opponents sure are short.\Koji.\Your back number. Show your back number.\Huh?\Koji. response:	Sorry.
context: It's finally about to start.\Let's play.\Our opponents sure are short.\Koji.\Your back number. Show your back number.\Huh?\Koji.\Sorry. response:	Don't worry about it.
context: Let's play.\Our opponents sure are short.\Koji.\Your back number. Show your back number.\Huh?\Koji.\Sorry.\Don't worry about it. response:	Nice serve.
context: Our opponents sure are short.\Koji.\Your back number. Show your back number.\Huh?\Koji.\Sorry.\Don't worry about it.\Nice serve. response:	Kitagawa Daiichi Yukigaoka
context: Koji.\Your back number. Show your back number.\Huh?\Koji.\Sorry.\Don't worry about it.\Nice serve.\Kitagawa Daiichi Yukigaoka response:	Oh man, they probably won't score a point.
context: Your back number. Show your back number.\Huh?\Koji.\Sorry.\Don't worry about it.\Nice serve.\Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point. response:	Fine by me. It'll be over quicker.
context: Huh?\Koji.\Sorry.\Don't worry about it.\Nice serve.\Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point.\Fine by me. It'll be over quicker. response:	That's a fact.
context: Koji.\Sorry.\Don't worry about it.\Nice serve.\Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point.\Fine by me. It'll be over quicker.\That's a fact. response:	Don't worry. Don't worry.
context: Sorry.\Don't worry about it.\Nice serve.\Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point.\Fine by me. It'll be over quicker.\That's a fact.\Don't worry. Don't worry. response:	Let's do better next round.
context: Don't worry about it.\Nice serve.\Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point.\Fine by me. It'll be over quicker.\That's a fact.\Don't worry. Don't worry.\Let's do better next round. response:	Uh... yeah.
context: Nice serve.\Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point.\Fine by me. It'll be over quicker.\That's a fact.\Don't worry. Don't worry.\Let's do better next round.\Uh... yeah. response:	We finally got here.
context: Kitagawa Daiichi Yukigaoka\Oh man, they probably won't score a point.\Fine by me. It'll be over quicker.\That's a fact.\Don't worry. Don't worry.\Let's do better next round.\Uh... yeah.\We finally got here. response:	We won't let it end so easy.
context: Oh man, they probably won't score a point.\Fine by me. It'll be over quicker.\That's a fact.\Don't worry. Don't worry.\Let's do better next round.\Uh... yeah.\We finally got here.\We won't let it end so easy. response:	What?
context: Fine by me. It'll be over quicker.\That's a fact.\Don't worry. Don't worry.\Let's do better next round.\Uh... yeah.\We finally got here.\We won't let it end so easy.\What? response:	I'm the only club member?
context: That's a fact.\Don't worry. Don't worry.\Let's do better next round.\Uh... yeah.\We finally got here.\We won't let it end so easy.\What?\I'm the only club member? response:	Yeah.
context: Don't worry. Don't worry.\Let's do better next round.\Uh... yeah.\We finally got here.\We won't let it end so easy.\What?\I'm the only club member?\Yeah. response:	The club members got less and less every year.
context: Let's do better next round.\Uh... yeah.\We finally got here.\We won't let it end so easy.\What?\I'm the only club member?\Yeah.\The club members got less and less every year. response:	Plus, boys' volleyball isn't a club activity.
context: Uh... yeah.\We finally got here.\We won't let it end so easy.\What?\I'm the only club member?\Yeah.\The club members got less and less every year.\Plus, boys' volleyball isn't a club activity. response:	It's just a fan club.
context: We finally got here.\We won't let it end so easy.\What?\I'm the only club member?\Yeah.\The club members got less and less every year.\Plus, boys' volleyball isn't a club activity.\It's just a fan club. response:	Oh...
context: We won't let it end so easy.\What?\I'm the only club member?\Yeah.\The club members got less and less every year.\Plus, boys' volleyball isn't a club activity.\It's just a fan club.\Oh... response:	What do you want to do? Change to another club?
context: What?\I'm the only club member?\Yeah.\The club members got less and less every year.\Plus, boys' volleyball isn't a club activity.\It's just a fan club.\Oh...\What do you want to do? Change to another club? response:	Or do you want to join the girls' team?
context: I'm the only club member?\Yeah.\The club members got less and less every year.\Plus, boys' volleyball isn't a club activity.\It's just a fan club.\Oh...\What do you want to do? Change to another club?\Or do you want to join the girls' team? response:	Well, no...
context: Yeah.\The club members got less and less every year.\Plus, boys' volleyball isn't a club activity.\It's just a fan club.\Oh...\What do you want to do? Change to another club?\Or do you want to join the girls' team?\Well, no... response:	I'll be a one-man team then.
context: The club members got less and less every year.\Plus, boys' volleyball isn't a club activity.\It's just a fan club.\Oh...\What do you want to do? Change to another club?\Or do you want to join the girls' team?\Well, no...\I'll be a one-man team then. response:	Is that right?
context: Plus, boys' volleyball isn't a club activity.\It's just a fan club.\Oh...\What do you want to do? Change to another club?\Or do you want to join the girls' team?\Well, no...\I'll be a one-man team then.\Is that right? response:	I'm going to be the little giant.
context: It's just a fan club.\Oh...\What do you want to do? Change to another club?\Or do you want to join the girls' team?\Well, no...\I'll be a one-man team then.\Is that right?\I'm going to be the little giant. response:	You're going to be the what?
context: Oh...\What do you want to do? Change to another club?\Or do you want to join the girls' team?\Well, no...\I'll be a one-man team then.\Is that right?\I'm going to be the little giant.\You're going to be the what? response:	Nice serve.
context: What do you want to do? Change to another club?\Or do you want to join the girls' team?\Well, no...\I'll be a one-man team then.\Is that right?\I'm going to be the little giant.\You're going to be the what?\Nice serve. response:	Here...
context: Or do you want to join the girls' team?\Well, no...\I'll be a one-man team then.\Is that right?\I'm going to be the little giant.\You're going to be the what?\Nice serve.\Here... response:	Gather round!
context: Well, no...\I'll be a one-man team then.\Is that right?\I'm going to be the little giant.\You're going to be the what?\Nice serve.\Here...\Gather round! response:	Let's go for a run.
context: I'll be a one-man team then.\Is that right?\I'm going to be the little giant.\You're going to be the what?\Nice serve.\Here...\Gather round!\Let's go for a run. response:	Okay.
context: Is that right?\I'm going to be the little giant.\You're going to be the what?\Nice serve.\Here...\Gather round!\Let's go for a run.\Okay. response:	My chance.
context: I'm going to be the little giant.\You're going to be the what?\Nice serve.\Here...\Gather round!\Let's go for a run.\Okay.\My chance. response:	Izumin!
context: You're going to be the what?\Nice serve.\Here...\Gather round!\Let's go for a run.\Okay.\My chance.\Izumin! response:	You're taking a break right?
context: Nice serve.\Here...\Gather round!\Let's go for a run.\Okay.\My chance.\Izumin!\You're taking a break right? response:	Toss for me.
context: Here...\Gather round!\Let's go for a run.\Okay.\My chance.\Izumin!\You're taking a break right?\Toss for me. response:	Toss?
context: Gather round!\Let's go for a run.\Okay.\My chance.\Izumin!\You're taking a break right?\Toss for me.\Toss? response:	I want to spike the ball.
context: Let's go for a run.\Okay.\My chance.\Izumin!\You're taking a break right?\Toss for me.\Toss?\I want to spike the ball. response:	I can't. I don't know how.
context: Okay.\My chance.\Izumin!\You're taking a break right?\Toss for me.\Toss?\I want to spike the ball.\I can't. I don't know how. response:	You just toss it up. That's all you have to do.
context: My chance.\Izumin!\You're taking a break right?\Toss for me.\Toss?\I want to spike the ball.\I can't. I don't know how.\You just toss it up. That's all you have to do. response:	I can't. Senpai's watching.
context: Izumin!\You're taking a break right?\Toss for me.\Toss?\I want to spike the ball.\I can't. I don't know how.\You just toss it up. That's all you have to do.\I can't. Senpai's watching. response:	Gather up.
context: You're taking a break right?\Toss for me.\Toss?\I want to spike the ball.\I can't. I don't know how.\You just toss it up. That's all you have to do.\I can't. Senpai's watching.\Gather up. response:	Right!
context: Toss for me.\Toss?\I want to spike the ball.\I can't. I don't know how.\You just toss it up. That's all you have to do.\I can't. Senpai's watching.\Gather up.\Right! response:	Hey, Hinata.
context: Toss?\I want to spike the ball.\I can't. I don't know how.\You just toss it up. That's all you have to do.\I can't. Senpai's watching.\Gather up.\Right!\Hey, Hinata. response:	I heard you're on the girls' volleyball team.
context: I want to spike the ball.\I can't. I don't know how.\You just toss it up. That's all you have to do.\I can't. Senpai's watching.\Gather up.\Right!\Hey, Hinata.\I heard you're on the girls' volleyball team. response:	Are you serious?
context: I can't. I don't know how.\You just toss it up. That's all you have to do.\I can't. Senpai's watching.\Gather up.\Right!\Hey, Hinata.\I heard you're on the girls' volleyball team.\Are you serious? response:	N-No, I'm not.
context: You just toss it up. That's all you have to do.\I can't. Senpai's watching.\Gather up.\Right!\Hey, Hinata.\I heard you're on the girls' volleyball team.\Are you serious?\N-No, I'm not. response:	Who are you after?
context: I can't. Senpai's watching.\Gather up.\Right!\Hey, Hinata.\I heard you're on the girls' volleyball team.\Are you serious?\N-No, I'm not.\Who are you after? response:	There's a foxy third-year senpai.
context: Gather up.\Right!\Hey, Hinata.\I heard you're on the girls' volleyball team.\Are you serious?\N-No, I'm not.\Who are you after?\There's a foxy third-year senpai. response:	There is a foxy senpai, but...
context: Right!\Hey, Hinata.\I heard you're on the girls' volleyball team.\Are you serious?\N-No, I'm not.\Who are you after?\There's a foxy third-year senpai.\There is a foxy senpai, but... response:	I knew it.
context: Hey, Hinata.\I heard you're on the girls' volleyball team.\Are you serious?\N-No, I'm not.\Who are you after?\There's a foxy third-year senpai.\There is a foxy senpai, but...\I knew it. response:	You got it wrong.
context: I heard you're on the girls' volleyball team.\Are you serious?\N-No, I'm not.\Who are you after?\There's a foxy third-year senpai.\There is a foxy senpai, but...\I knew it.\You got it wrong. response:	I'm the boys' volleyball team.
context: Are you serious?\N-No, I'm not.\Who are you after?\There's a foxy third-year senpai.\There is a foxy senpai, but...\I knew it.\You got it wrong.\I'm the boys' volleyball team. response:	Victory Kitagawa Daiichi Junior High School
context: N-No, I'm not.\Who are you after?\There's a foxy third-year senpai.\There is a foxy senpai, but...\I knew it.\You got it wrong.\I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School response:	You can't even enter a tournament.
context: Who are you after?\There's a foxy third-year senpai.\There is a foxy senpai, but...\I knew it.\You got it wrong.\I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament. response:	What drives you to practice?
context: There's a foxy third-year senpai.\There is a foxy senpai, but...\I knew it.\You got it wrong.\I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament.\What drives you to practice? response:	I'll enter a tournament. Eventually.
context: There is a foxy senpai, but...\I knew it.\You got it wrong.\I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament.\What drives you to practice?\I'll enter a tournament. Eventually. response:	I'll get a team together,
context: I knew it.\You got it wrong.\I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament.\What drives you to practice?\I'll enter a tournament. Eventually.\I'll get a team together, response:	though I'm striking out for now.
context: You got it wrong.\I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament.\What drives you to practice?\I'll enter a tournament. Eventually.\I'll get a team together,\though I'm striking out for now. response:	But I will, you'll see.
context: I'm the boys' volleyball team.\Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament.\What drives you to practice?\I'll enter a tournament. Eventually.\I'll get a team together,\though I'm striking out for now.\But I will, you'll see. response:	How about you, Koji?
context: Victory Kitagawa Daiichi Junior High School\You can't even enter a tournament.\What drives you to practice?\I'll enter a tournament. Eventually.\I'll get a team together,\though I'm striking out for now.\But I will, you'll see.\How about you, Koji? response:	How many times must I turn you down?
context: You can't even enter a tournament.\What drives you to practice?\I'll enter a tournament. Eventually.\I'll get a team together,\though I'm striking out for now.\But I will, you'll see.\How about you, Koji?\How many times must I turn you down? response:	Hey, Izumin!
context: What drives you to practice?\I'll enter a tournament. Eventually.\I'll get a team together,\though I'm striking out for now.\But I will, you'll see.\How about you, Koji?\How many times must I turn you down?\Hey, Izumin! response:	Can you spare just a little time?
context: I'll enter a tournament. Eventually.\I'll get a team together,\though I'm striking out for now.\But I will, you'll see.\How about you, Koji?\How many times must I turn you down?\Hey, Izumin!\Can you spare just a little time? response:	I have after-school class today, sorry.
context: I'll get a team together,\though I'm striking out for now.\But I will, you'll see.\How about you, Koji?\How many times must I turn you down?\Hey, Izumin!\Can you spare just a little time?\I have after-school class today, sorry. response:	Kitagawa Daiichi Yukigaoka
context: though I'm striking out for now.\But I will, you'll see.\How about you, Koji?\How many times must I turn you down?\Hey, Izumin!\Can you spare just a little time?\I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka response:	I'm sorry.
context: But I will, you'll see.\How about you, Koji?\How many times must I turn you down?\Hey, Izumin!\Can you spare just a little time?\I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka\I'm sorry. response:	Lucky. Lucky.
context: How about you, Koji?\How many times must I turn you down?\Hey, Izumin!\Can you spare just a little time?\I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka\I'm sorry.\Lucky. Lucky. response:	Watch out!
context: How many times must I turn you down?\Hey, Izumin!\Can you spare just a little time?\I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka\I'm sorry.\Lucky. Lucky.\Watch out! response:	Shoyo, are you all right?
context: Hey, Izumin!\Can you spare just a little time?\I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka\I'm sorry.\Lucky. Lucky.\Watch out!\Shoyo, are you all right? response:	Ouch...
context: Can you spare just a little time?\I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka\I'm sorry.\Lucky. Lucky.\Watch out!\Shoyo, are you all right?\Ouch... response:	My bad.
context: I have after-school class today, sorry.\Kitagawa Daiichi Yukigaoka\I'm sorry.\Lucky. Lucky.\Watch out!\Shoyo, are you all right?\Ouch...\My bad. response:	Toss for me then.
context: Kitagawa Daiichi Yukigaoka\I'm sorry.\Lucky. Lucky.\Watch out!\Shoyo, are you all right?\Ouch...\My bad.\Toss for me then. response:	I got it this time...
context: I'm sorry.\Lucky. Lucky.\Watch out!\Shoyo, are you all right?\Ouch...\My bad.\Toss for me then.\I got it this time... response:	Koji.
context: Lucky. Lucky.\Watch out!\Shoyo, are you all right?\Ouch...\My bad.\Toss for me then.\I got it this time...\Koji. response:	Izumin.
context: Watch out!\Shoyo, are you all right?\Ouch...\My bad.\Toss for me then.\I got it this time...\Koji.\Izumin. response:	Hey, haven't you had enough?
context: Shoyo, are you all right?\Ouch...\My bad.\Toss for me then.\I got it this time...\Koji.\Izumin.\Hey, haven't you had enough? response:	My arms hurt.
context: Ouch...\My bad.\Toss for me then.\I got it this time...\Koji.\Izumin.\Hey, haven't you had enough?\My arms hurt. response:	I can't shoot the ball accurately.
context: My bad.\Toss for me then.\I got it this time...\Koji.\Izumin.\Hey, haven't you had enough?\My arms hurt.\I can't shoot the ball accurately. response:	I've had it.
context: Toss for me then.\I got it this time...\Koji.\Izumin.\Hey, haven't you had enough?\My arms hurt.\I can't shoot the ball accurately.\I've had it. response:	Please. Just one more.
context: I got it this time...\Koji.\Izumin.\Hey, haven't you had enough?\My arms hurt.\I can't shoot the ball accurately.\I've had it.\Please. Just one more. response:	First-year students agreed to join me.
context: Koji.\Izumin.\Hey, haven't you had enough?\My arms hurt.\I can't shoot the ball accurately.\I've had it.\Please. Just one more.\First-year students agreed to join me. response:	You keep saying one more.
context: Izumin.\Hey, haven't you had enough?\My arms hurt.\I can't shoot the ball accurately.\I've had it.\Please. Just one more.\First-year students agreed to join me.\You keep saying one more. response:	This is the last one, okay?
context: Hey, haven't you had enough?\My arms hurt.\I can't shoot the ball accurately.\I've had it.\Please. Just one more.\First-year students agreed to join me.\You keep saying one more.\This is the last one, okay? response:	Got it.
context: My arms hurt.\I can't shoot the ball accurately.\I've had it.\Please. Just one more.\First-year students agreed to join me.\You keep saying one more.\This is the last one, okay?\Got it. response:	Here goes.
context: I can't shoot the ball accurately.\I've had it.\Please. Just one more.\First-year students agreed to join me.\You keep saying one more.\This is the last one, okay?\Got it.\Here goes. response:	Oh, sorry.
context: I've had it.\Please. Just one more.\First-year students agreed to join me.\You keep saying one more.\This is the last one, okay?\Got it.\Here goes.\Oh, sorry. response:	Go, Sho-chan!
context: Please. Just one more.\First-year students agreed to join me.\You keep saying one more.\This is the last one, okay?\Got it.\Here goes.\Oh, sorry.\Go, Sho-chan! response:	Sure, I'm little,
context: First-year students agreed to join me.\You keep saying one more.\This is the last one, okay?\Got it.\Here goes.\Oh, sorry.\Go, Sho-chan!\Sure, I'm little, response:	but my legs can jump...
context: You keep saying one more.\This is the last one, okay?\Got it.\Here goes.\Oh, sorry.\Go, Sho-chan!\Sure, I'm little,\but my legs can jump... response:	over any wall.
context: This is the last one, okay?\Got it.\Here goes.\Oh, sorry.\Go, Sho-chan!\Sure, I'm little,\but my legs can jump...\over any wall. response:	All right!
context: Got it.\Here goes.\Oh, sorry.\Go, Sho-chan!\Sure, I'm little,\but my legs can jump...\over any wall.\All right! response:	Sho-chan, don't worry about it.
context: Here goes.\Oh, sorry.\Go, Sho-chan!\Sure, I'm little,\but my legs can jump...\over any wall.\All right!\Sho-chan, don't worry about it. response:	We'll toss it for you again.
context: Oh, sorry.\Go, Sho-chan!\Sure, I'm little,\but my legs can jump...\over any wall.\All right!\Sho-chan, don't worry about it.\We'll toss it for you again. response:	S-Sorry.
context: Go, Sho-chan!\Sure, I'm little,\but my legs can jump...\over any wall.\All right!\Sho-chan, don't worry about it.\We'll toss it for you again.\S-Sorry. response:	That was a good toss, too...
context: Sure, I'm little,\but my legs can jump...\over any wall.\All right!\Sho-chan, don't worry about it.\We'll toss it for you again.\S-Sorry.\That was a good toss, too... response:	I'll get it in next time.
context: but my legs can jump...\over any wall.\All right!\Sho-chan, don't worry about it.\We'll toss it for you again.\S-Sorry.\That was a good toss, too...\I'll get it in next time. response:	Haikyu!!
context: over any wall.\All right!\Sho-chan, don't worry about it.\We'll toss it for you again.\S-Sorry.\That was a good toss, too...\I'll get it in next time.\Haikyu!! response:	Haikyu!!
context: All right!\Sho-chan, don't worry about it.\We'll toss it for you again.\S-Sorry.\That was a good toss, too...\I'll get it in next time.\Haikyu!!\Haikyu!! response:	Wow, that number 5 is a powerhouse.
context: Sho-chan, don't worry about it.\We'll toss it for you again.\S-Sorry.\That was a good toss, too...\I'll get it in next time.\Haikyu!!\Haikyu!!\Wow, that number 5 is a powerhouse. response:	Yukigaoka is sneaking a few points in, in the second set.
context: We'll toss it for you again.\S-Sorry.\That was a good toss, too...\I'll get it in next time.\Haikyu!!\Haikyu!!\Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set. response:	Thanks to their opponent's misses.
context: S-Sorry.\That was a good toss, too...\I'll get it in next time.\Haikyu!!\Haikyu!!\Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses. response:	It's up.
context: That was a good toss, too...\I'll get it in next time.\Haikyu!!\Haikyu!!\Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses.\It's up. response:	Sho-chan.
context: I'll get it in next time.\Haikyu!!\Haikyu!!\Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses.\It's up.\Sho-chan. response:	This is bad...
context: Haikyu!!\Haikyu!!\Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses.\It's up.\Sho-chan.\This is bad... response:	I can't see the other side at all.
context: Haikyu!!\Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses.\It's up.\Sho-chan.\This is bad...\I can't see the other side at all. response:	The opponents are totally seeing through their plays.
context: Wow, that number 5 is a powerhouse.\Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses.\It's up.\Sho-chan.\This is bad...\I can't see the other side at all.\The opponents are totally seeing through their plays. response:	Shame. That guy's got amazing jumping power.
context: Yukigaoka is sneaking a few points in, in the second set.\Thanks to their opponent's misses.\It's up.\Sho-chan.\This is bad...\I can't see the other side at all.\The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power. response:	Shoyo, let's do this.
context: Thanks to their opponent's misses.\It's up.\Sho-chan.\This is bad...\I can't see the other side at all.\The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power.\Shoyo, let's do this. response:	Sho-chan, don't worry.
context: It's up.\Sho-chan.\This is bad...\I can't see the other side at all.\The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power.\Shoyo, let's do this.\Sho-chan, don't worry. response:	Close call.
context: Sho-chan.\This is bad...\I can't see the other side at all.\The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power.\Shoyo, let's do this.\Sho-chan, don't worry.\Close call. response:	Faster!
context: This is bad...\I can't see the other side at all.\The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power.\Shoyo, let's do this.\Sho-chan, don't worry.\Close call.\Faster! response:	Nice.
context: I can't see the other side at all.\The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power.\Shoyo, let's do this.\Sho-chan, don't worry.\Close call.\Faster!\Nice. response:	Reckless tosses today, as usual.
context: The opponents are totally seeing through their plays.\Shame. That guy's got amazing jumping power.\Shoyo, let's do this.\Sho-chan, don't worry.\Close call.\Faster!\Nice.\Reckless tosses today, as usual. response:	I know. The opponents can't even block; what's the point?
context: Shame. That guy's got amazing jumping power.\Shoyo, let's do this.\Sho-chan, don't worry.\Close call.\Faster!\Nice.\Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point? response:	What's he so serious about?
context: Shoyo, let's do this.\Sho-chan, don't worry.\Close call.\Faster!\Nice.\Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point?\What's he so serious about? response:	When will you guys get serious then?
context: Sho-chan, don't worry.\Close call.\Faster!\Nice.\Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point?\What's he so serious about?\When will you guys get serious then? response:	Stop it. We're in a game.
context: Close call.\Faster!\Nice.\Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point?\What's he so serious about?\When will you guys get serious then?\Stop it. We're in a game. response:	Scary.
context: Faster!\Nice.\Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point?\What's he so serious about?\When will you guys get serious then?\Stop it. We're in a game.\Scary. response:	Kita-Ichi's setter is good,
context: Nice.\Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point?\What's he so serious about?\When will you guys get serious then?\Stop it. We're in a game.\Scary.\Kita-Ichi's setter is good, response:	but it's like he's playing out there all by himself.
context: Reckless tosses today, as usual.\I know. The opponents can't even block; what's the point?\What's he so serious about?\When will you guys get serious then?\Stop it. We're in a game.\Scary.\Kita-Ichi's setter is good,\but it's like he's playing out there all by himself. response:	All right.
context: I know. The opponents can't even block; what's the point?\What's he so serious about?\When will you guys get serious then?\Stop it. We're in a game.\Scary.\Kita-Ichi's setter is good,\but it's like he's playing out there all by himself.\All right. response:	Service ace again.
context: What's he so serious about?\When will you guys get serious then?\Stop it. We're in a game.\Scary.\Kita-Ichi's setter is good,\but it's like he's playing out there all by himself.\All right.\Service ace again. response:	Not yet.
context: When will you guys get serious then?\Stop it. We're in a game.\Scary.\Kita-Ichi's setter is good,\but it's like he's playing out there all by himself.\All right.\Service ace again.\Not yet. response:	He won't get that.
