context: S-Save me! response:	What's going on?
context: You saw it too, right?\Bell-kun can do it!\He can defeat that monster!\All right.\Bell-kun! Wake up, Bell-kun!\Bell-kun!\Bell-sama!\Everyone's still fighting. response:	They're fighting that horrible foe.
context: Bell-kun can do it!\He can defeat that monster!\All right.\Bell-kun! Wake up, Bell-kun!\Bell-kun!\Bell-sama!\Everyone's still fighting.\They're fighting that horrible foe. response:	But you can do it!
context: He can defeat that monster!\All right.\Bell-kun! Wake up, Bell-kun!\Bell-kun!\Bell-sama!\Everyone's still fighting.\They're fighting that horrible foe.\But you can do it! response:	You're the only one who can!
context: All right.\Bell-kun! Wake up, Bell-kun!\Bell-kun!\Bell-sama!\Everyone's still fighting.\They're fighting that horrible foe.\But you can do it!\You're the only one who can! response:	You're the only one who can save us!
context: Bell-kun! Wake up, Bell-kun!\Bell-kun!\Bell-sama!\Everyone's still fighting.\They're fighting that horrible foe.\But you can do it!\You're the only one who can!\You're the only one who can save us! response:	Stand up, Bell-kun!
context: Bell-kun!\Bell-sama!\Everyone's still fighting.\They're fighting that horrible foe.\But you can do it!\You're the only one who can!\You're the only one who can save us!\Stand up, Bell-kun! response:	Bell-kun! Bell-kun!
context: Bell-sama!\Everyone's still fighting.\They're fighting that horrible foe.\But you can do it!\You're the only one who can!\You're the only one who can save us!\Stand up, Bell-kun!\Bell-kun! Bell-kun! response:	Goddess, I know!
context: Everyone's still fighting.\They're fighting that horrible foe.\But you can do it!\You're the only one who can!\You're the only one who can save us!\Stand up, Bell-kun!\Bell-kun! Bell-kun!\Goddess, I know! response:	I can hear you!
context: They're fighting that horrible foe.\But you can do it!\You're the only one who can!\You're the only one who can save us!\Stand up, Bell-kun!\Bell-kun! Bell-kun!\Goddess, I know!\I can hear you! response:	But my body... just...
context: But you can do it!\You're the only one who can!\You're the only one who can save us!\Stand up, Bell-kun!\Bell-kun! Bell-kun!\Goddess, I know!\I can hear you!\But my body... just... response:	My body just won't move!
context: You're the only one who can!\You're the only one who can save us!\Stand up, Bell-kun!\Bell-kun! Bell-kun!\Goddess, I know!\I can hear you!\But my body... just...\My body just won't move! response:	Move! Move! Move!
context: You're the only one who can save us!\Stand up, Bell-kun!\Bell-kun! Bell-kun!\Goddess, I know!\I can hear you!\But my body... just...\My body just won't move!\Move! Move! Move! response:	I have to fight!
context: Stand up, Bell-kun!\Bell-kun! Bell-kun!\Goddess, I know!\I can hear you!\But my body... just...\My body just won't move!\Move! Move! Move!\I have to fight! response:	For my Goddess!
context: Bell-kun! Bell-kun!\Goddess, I know!\I can hear you!\But my body... just...\My body just won't move!\Move! Move! Move!\I have to fight!\For my Goddess! response:	For everyone!
context: Goddess, I know!\I can hear you!\But my body... just...\My body just won't move!\Move! Move! Move!\I have to fight!\For my Goddess!\For everyone! response:	If anyone has the right to be called a hero,
context: I can hear you!\But my body... just...\My body just won't move!\Move! Move! Move!\I have to fight!\For my Goddess!\For everyone!\If anyone has the right to be called a hero, response:	it's not the one who took up the blade.
context: But my body... just...\My body just won't move!\Move! Move! Move!\I have to fight!\For my Goddess!\For everyone!\If anyone has the right to be called a hero,\it's not the one who took up the blade. response:	It's not the one who raised his shield,
context: My body just won't move!\Move! Move! Move!\I have to fight!\For my Goddess!\For everyone!\If anyone has the right to be called a hero,\it's not the one who took up the blade.\It's not the one who raised his shield, response:	nor the one who healed the wounded.
context: Move! Move! Move!\I have to fight!\For my Goddess!\For everyone!\If anyone has the right to be called a hero,\it's not the one who took up the blade.\It's not the one who raised his shield,\nor the one who healed the wounded. response:	Only one who truly risks his life may be called a hero.
context: I have to fight!\For my Goddess!\For everyone!\If anyone has the right to be called a hero,\it's not the one who took up the blade.\It's not the one who raised his shield,\nor the one who healed the wounded.\Only one who truly risks his life may be called a hero. response:	Protect your friends, save the girl, and face danger.
context: For my Goddess!\For everyone!\If anyone has the right to be called a hero,\it's not the one who took up the blade.\It's not the one who raised his shield,\nor the one who healed the wounded.\Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger. response:	It doesn't matter if you fall. No, that's just fine.
context: For everyone!\If anyone has the right to be called a hero,\it's not the one who took up the blade.\It's not the one who raised his shield,\nor the one who healed the wounded.\Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine. response:	Cry your heart out over it.
context: If anyone has the right to be called a hero,\it's not the one who took up the blade.\It's not the one who raised his shield,\nor the one who healed the wounded.\Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it. response:	Within the defeated, a victor waits to emerge.
context: it's not the one who took up the blade.\It's not the one who raised his shield,\nor the one who healed the wounded.\Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it.\Within the defeated, a victor waits to emerge. response:	Stay true to your wishes.
context: It's not the one who raised his shield,\nor the one who healed the wounded.\Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it.\Within the defeated, a victor waits to emerge.\Stay true to your wishes. response:	Cry out your desires.
context: nor the one who healed the wounded.\Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it.\Within the defeated, a victor waits to emerge.\Stay true to your wishes.\Cry out your desires. response:	And if you do...
context: Only one who truly risks his life may be called a hero.\Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it.\Within the defeated, a victor waits to emerge.\Stay true to your wishes.\Cry out your desires.\And if you do... response:	That's...
context: Protect your friends, save the girl, and face danger.\It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it.\Within the defeated, a victor waits to emerge.\Stay true to your wishes.\Cry out your desires.\And if you do...\That's... response:	So I wouldn't be ashamed to face them...
context: It doesn't matter if you fall. No, that's just fine.\Cry your heart out over it.\Within the defeated, a victor waits to emerge.\Stay true to your wishes.\Cry out your desires.\And if you do...\That's...\So I wouldn't be ashamed to face them... response:	And more than anything,
context: Cry your heart out over it.\Within the defeated, a victor waits to emerge.\Stay true to your wishes.\Cry out your desires.\And if you do...\That's...\So I wouldn't be ashamed to face them...\And more than anything, response:	to save the people I care about...
context: Within the defeated, a victor waits to emerge.\Stay true to your wishes.\Cry out your desires.\And if you do...\That's...\So I wouldn't be ashamed to face them...\And more than anything,\to save the people I care about... response:	Bell-sama!
context: Stay true to your wishes.\Cry out your desires.\And if you do...\That's...\So I wouldn't be ashamed to face them...\And more than anything,\to save the people I care about...\Bell-sama! response:	I believe in you,
context: Cry out your desires.\And if you do...\That's...\So I wouldn't be ashamed to face them...\And more than anything,\to save the people I care about...\Bell-sama!\I believe in you, response:	Bell-kun!
context: And if you do...\That's...\So I wouldn't be ashamed to face them...\And more than anything,\to save the people I care about...\Bell-sama!\I believe in you,\Bell-kun! response:	Let your longings burn.
context: That's...\So I wouldn't be ashamed to face them...\And more than anything,\to save the people I care about...\Bell-sama!\I believe in you,\Bell-kun!\Let your longings burn. response:	Scream out your wishes.
context: So I wouldn't be ashamed to face them...\And more than anything,\to save the people I care about...\Bell-sama!\I believe in you,\Bell-kun!\Let your longings burn.\Scream out your wishes. response:	Limit Off?
context: And more than anything,\to save the people I care about...\Bell-sama!\I believe in you,\Bell-kun!\Let your longings burn.\Scream out your wishes.\Limit Off? response:	Don't let them get any closer!
context: to save the people I care about...\Bell-sama!\I believe in you,\Bell-kun!\Let your longings burn.\Scream out your wishes.\Limit Off?\Don't let them get any closer! response:	Now in the sky, above a distant forest...
context: Bell-sama!\I believe in you,\Bell-kun!\Let your longings burn.\Scream out your wishes.\Limit Off?\Don't let them get any closer!\Now in the sky, above a distant forest... response:	O infinite stars, scattered across the cloudless night sky,
context: I believe in you,\Bell-kun!\Let your longings burn.\Scream out your wishes.\Limit Off?\Don't let them get any closer!\Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky, response:	She's using an incantation in a high-speed fight like this?
context: Bell-kun!\Let your longings burn.\Scream out your wishes.\Limit Off?\Don't let them get any closer!\Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this? response:	grant my foolish voice the blessing of starfire,
context: Let your longings burn.\Scream out your wishes.\Limit Off?\Don't let them get any closer!\Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire, response:	and grant your compassion to those who abandon you.
context: Scream out your wishes.\Limit Off?\Don't let them get any closer!\Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you. response:	She's up so high...
context: Limit Off?\Don't let them get any closer!\Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you.\She's up so high... response:	I pray to you, my god, who destroys all things.
context: Don't let them get any closer!\Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you.\She's up so high...\I pray to you, my god, who destroys all things. response:	Lead me from the highest heavens,
context: Now in the sky, above a distant forest...\O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you.\She's up so high...\I pray to you, my god, who destroys all things.\Lead me from the highest heavens, response:	and grant my tiny body the almighty power of the divine.
context: O infinite stars, scattered across the cloudless night sky,\She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you.\She's up so high...\I pray to you, my god, who destroys all things.\Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine. response:	I know I don't deserve this!
context: She's using an incantation in a high-speed fight like this?\grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you.\She's up so high...\I pray to you, my god, who destroys all things.\Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine.\I know I don't deserve this! response:	But there's somebody I want to save!
context: grant my foolish voice the blessing of starfire,\and grant your compassion to those who abandon you.\She's up so high...\I pray to you, my god, who destroys all things.\Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine.\I know I don't deserve this!\But there's somebody I want to save! response:	Please! Let me destroy you!
context: and grant your compassion to those who abandon you.\She's up so high...\I pray to you, my god, who destroys all things.\Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine.\I know I don't deserve this!\But there's somebody I want to save!\Please! Let me destroy you! response:	Come forth, wandering wind,
context: She's up so high...\I pray to you, my god, who destroys all things.\Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine.\I know I don't deserve this!\But there's somebody I want to save!\Please! Let me destroy you!\Come forth, wandering wind, response:	nomadic traveler crossing the sky and wilderness.
context: I pray to you, my god, who destroys all things.\Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine.\I know I don't deserve this!\But there's somebody I want to save!\Please! Let me destroy you!\Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness. response:	I guess I'll have to use the one I've been saving up, too.
context: Lead me from the highest heavens,\and grant my tiny body the almighty power of the divine.\I know I don't deserve this!\But there's somebody I want to save!\Please! Let me destroy you!\Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too. response:	Bear within thee the light of stardust,
context: and grant my tiny body the almighty power of the divine.\I know I don't deserve this!\But there's somebody I want to save!\Please! Let me destroy you!\Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust, response:	and destroy my enemy!
context: I know I don't deserve this!\But there's somebody I want to save!\Please! Let me destroy you!\Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust,\and destroy my enemy! response:	Luminous Wind!
context: But there's somebody I want to save!\Please! Let me destroy you!\Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust,\and destroy my enemy!\Luminous Wind! response:	Descend from the heavens and rule over the earth!
context: Please! Let me destroy you!\Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust,\and destroy my enemy!\Luminous Wind!\Descend from the heavens and rule over the earth! response:	War God's Strike!
context: Come forth, wandering wind,\nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust,\and destroy my enemy!\Luminous Wind!\Descend from the heavens and rule over the earth!\War God's Strike! response:	Futsunomitama!
context: nomadic traveler crossing the sky and wilderness.\I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust,\and destroy my enemy!\Luminous Wind!\Descend from the heavens and rule over the earth!\War God's Strike!\Futsunomitama! response:	A gravity barrier...
context: I guess I'll have to use the one I've been saving up, too.\Bear within thee the light of stardust,\and destroy my enemy!\Luminous Wind!\Descend from the heavens and rule over the earth!\War God's Strike!\Futsunomitama!\A gravity barrier... response:	It's not going to last!
context: Bear within thee the light of stardust,\and destroy my enemy!\Luminous Wind!\Descend from the heavens and rule over the earth!\War God's Strike!\Futsunomitama!\A gravity barrier...\It's not going to last! response:	Get out of the way!
context: and destroy my enemy!\Luminous Wind!\Descend from the heavens and rule over the earth!\War God's Strike!\Futsunomitama!\A gravity barrier...\It's not going to last!\Get out of the way! response:	Fire Moon!
context: Luminous Wind!\Descend from the heavens and rule over the earth!\War God's Strike!\Futsunomitama!\A gravity barrier...\It's not going to last!\Get out of the way!\Fire Moon! response:	That's...
context: Descend from the heavens and rule over the earth!\War God's Strike!\Futsunomitama!\A gravity barrier...\It's not going to last!\Get out of the way!\Fire Moon!\That's... response:	Crozzo's magic item?
context: War God's Strike!\Futsunomitama!\A gravity barrier...\It's not going to last!\Get out of the way!\Fire Moon!\That's...\Crozzo's magic item? response:	It's surpassed the original?
context: Futsunomitama!\A gravity barrier...\It's not going to last!\Get out of the way!\Fire Moon!\That's...\Crozzo's magic item?\It's surpassed the original? response:	Don't make yourself weigh your pride against your friends.
context: A gravity barrier...\It's not going to last!\Get out of the way!\Fire Moon!\That's...\Crozzo's magic item?\It's surpassed the original?\Don't make yourself weigh your pride against your friends. response:	That's right. It's nothing but pride.
context: It's not going to last!\Get out of the way!\Fire Moon!\That's...\Crozzo's magic item?\It's surpassed the original?\Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride. response:	I'm sorry...
context: Get out of the way!\Fire Moon!\That's...\Crozzo's magic item?\It's surpassed the original?\Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride.\I'm sorry... response:	In the face of overwhelming power,
context: Fire Moon!\That's...\Crozzo's magic item?\It's surpassed the original?\Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride.\I'm sorry...\In the face of overwhelming power, response:	you can resist with that one little attack.
context: That's...\Crozzo's magic item?\It's surpassed the original?\Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride.\I'm sorry...\In the face of overwhelming power,\you can resist with that one little attack. response:	That is...
context: Crozzo's magic item?\It's surpassed the original?\Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride.\I'm sorry...\In the face of overwhelming power,\you can resist with that one little attack.\That is... response:	The hero's strike!
context: It's surpassed the original?\Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride.\I'm sorry...\In the face of overwhelming power,\you can resist with that one little attack.\That is...\The hero's strike! response:	Even that attack...
context: Don't make yourself weigh your pride against your friends.\That's right. It's nothing but pride.\I'm sorry...\In the face of overwhelming power,\you can resist with that one little attack.\That is...\The hero's strike!\Even that attack... response:	Screw this!
context: That's right. It's nothing but pride.\I'm sorry...\In the face of overwhelming power,\you can resist with that one little attack.\That is...\The hero's strike!\Even that attack...\Screw this! response:	My Bell Cranel...
context: I'm sorry...\In the face of overwhelming power,\you can resist with that one little attack.\That is...\The hero's strike!\Even that attack...\Screw this!\My Bell Cranel... response:	He can still leap faster!
context: In the face of overwhelming power,\you can resist with that one little attack.\That is...\The hero's strike!\Even that attack...\Screw this!\My Bell Cranel...\He can still leap faster! response:	Stronger!
context: you can resist with that one little attack.\That is...\The hero's strike!\Even that attack...\Screw this!\My Bell Cranel...\He can still leap faster!\Stronger! response:	And ever-higher!
context: That is...\The hero's strike!\Even that attack...\Screw this!\My Bell Cranel...\He can still leap faster!\Stronger!\And ever-higher! response:	Bell-sama! Bell-sama did it!
context: The hero's strike!\Even that attack...\Screw this!\My Bell Cranel...\He can still leap faster!\Stronger!\And ever-higher!\Bell-sama! Bell-sama did it! response:	Ouka!
context: Even that attack...\Screw this!\My Bell Cranel...\He can still leap faster!\Stronger!\And ever-higher!\Bell-sama! Bell-sama did it!\Ouka! response:	Not bad, Little Rookie.
context: Screw this!\My Bell Cranel...\He can still leap faster!\Stronger!\And ever-higher!\Bell-sama! Bell-sama did it!\Ouka!\Not bad, Little Rookie. response:	I saw it!
context: My Bell Cranel...\He can still leap faster!\Stronger!\And ever-higher!\Bell-sama! Bell-sama did it!\Ouka!\Not bad, Little Rookie.\I saw it! response:	I, Hermes, bore witness!
context: He can still leap faster!\Stronger!\And ever-higher!\Bell-sama! Bell-sama did it!\Ouka!\Not bad, Little Rookie.\I saw it!\I, Hermes, bore witness! response:	Not up to it?
context: Stronger!\And ever-higher!\Bell-sama! Bell-sama did it!\Ouka!\Not bad, Little Rookie.\I saw it!\I, Hermes, bore witness!\Not up to it? response:	Don't be a fool, Zeus!
context: And ever-higher!\Bell-sama! Bell-sama did it!\Ouka!\Not bad, Little Rookie.\I saw it!\I, Hermes, bore witness!\Not up to it?\Don't be a fool, Zeus! response:	Your grandson, the present you left us, is the real thing!
context: Bell-sama! Bell-sama did it!\Ouka!\Not bad, Little Rookie.\I saw it!\I, Hermes, bore witness!\Not up to it?\Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing! response:	He's the last hero of your Familia!
context: Ouka!\Not bad, Little Rookie.\I saw it!\I, Hermes, bore witness!\Not up to it?\Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia! response:	Things are about to change!
context: Not bad, Little Rookie.\I saw it!\I, Hermes, bore witness!\Not up to it?\Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia!\Things are about to change! response:	And I shall see it with my own eyes.
context: I saw it!\I, Hermes, bore witness!\Not up to it?\Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia!\Things are about to change!\And I shall see it with my own eyes. response:	The historic events that will happen here, in Orario!
context: I, Hermes, bore witness!\Not up to it?\Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia!\Things are about to change!\And I shall see it with my own eyes.\The historic events that will happen here, in Orario! response:	The fates of the heroes! Their lives and deaths!
context: Not up to it?\Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia!\Things are about to change!\And I shall see it with my own eyes.\The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths! response:	The story told by our beloved children!
context: Don't be a fool, Zeus!\Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia!\Things are about to change!\And I shall see it with my own eyes.\The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths!\The story told by our beloved children! response:	The Familia Myth!
context: Your grandson, the present you left us, is the real thing!\He's the last hero of your Familia!\Things are about to change!\And I shall see it with my own eyes.\The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths!\The story told by our beloved children!\The Familia Myth! response:	His resolve was crazy!
context: He's the last hero of your Familia!\Things are about to change!\And I shall see it with my own eyes.\The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths!\The story told by our beloved children!\The Familia Myth!\His resolve was crazy! response:	Don't drink.
context: Things are about to change!\And I shall see it with my own eyes.\The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths!\The story told by our beloved children!\The Familia Myth!\His resolve was crazy!\Don't drink. response:	And you won't believe what happened next!
context: And I shall see it with my own eyes.\The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths!\The story told by our beloved children!\The Familia Myth!\His resolve was crazy!\Don't drink.\And you won't believe what happened next! response:	You drinking?
context: The historic events that will happen here, in Orario!\The fates of the heroes! Their lives and deaths!\The story told by our beloved children!\The Familia Myth!\His resolve was crazy!\Don't drink.\And you won't believe what happened next!\You drinking? response:	You worked hard.
context: The fates of the heroes! Their lives and deaths!\The story told by our beloved children!\The Familia Myth!\His resolve was crazy!\Don't drink.\And you won't believe what happened next!\You drinking?\You worked hard. response:	You really worked hard. Didn't you, Bell-kun?
