context: Asking someone how long they believed in Santa Claus... response:	Regardless, if you're going to ask me how much of my childhood I spent believing in an old man in a red suit...
context: And Asakura-san is an A?\An AA+.\She's definitely a nice person, too.\That's fast...\At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation.\However, I should note that...\And so, peculiarity number one. response:	Her hairstyle changes everyday.
context: An AA+.\She's definitely a nice person, too.\That's fast...\At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation.\However, I should note that...\And so, peculiarity number one.\Her hairstyle changes everyday. response:	Monday.
context: She's definitely a nice person, too.\That's fast...\At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation.\However, I should note that...\And so, peculiarity number one.\Her hairstyle changes everyday.\Monday. response:	Tuesday.
context: That's fast...\At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation.\However, I should note that...\And so, peculiarity number one.\Her hairstyle changes everyday.\Monday.\Tuesday. response:	Wednesday.
context: At this point, Haruhi Suzumiya had yet to act up.\And for me, it was a month of relaxation.\However, I should note that...\And so, peculiarity number one.\Her hairstyle changes everyday.\Monday.\Tuesday.\Wednesday. response:	Thursday.
context: And for me, it was a month of relaxation.\However, I should note that...\And so, peculiarity number one.\Her hairstyle changes everyday.\Monday.\Tuesday.\Wednesday.\Thursday. response:	Friday.
context: However, I should note that...\And so, peculiarity number one.\Her hairstyle changes everyday.\Monday.\Tuesday.\Wednesday.\Thursday.\Friday. response:	As the days progressed, the number of tied-off points in her hair would increase.
context: And so, peculiarity number one.\Her hairstyle changes everyday.\Monday.\Tuesday.\Wednesday.\Thursday.\Friday.\As the days progressed, the number of tied-off points in her hair would increase. response:	After resetting on Monday, it would increase one a day until Friday.
context: Her hairstyle changes everyday.\Monday.\Tuesday.\Wednesday.\Thursday.\Friday.\As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday. response:	I wonder what her head looks like on Sunday.
context: Monday.\Tuesday.\Wednesday.\Thursday.\Friday.\As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday. response:	I'd sure like to see it.
context: Tuesday.\Wednesday.\Thursday.\Friday.\As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday.\I'd sure like to see it. response:	Peculiarity number two.
context: Wednesday.\Thursday.\Friday.\As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday.\I'd sure like to see it.\Peculiarity number two. response:	They saw my body!
context: Thursday.\Friday.\As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday.\I'd sure like to see it.\Peculiarity number two.\They saw my body! response:	Boys and girls split up for gym class.
context: Friday.\As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday.\I'd sure like to see it.\Peculiarity number two.\They saw my body!\Boys and girls split up for gym class. response:	Girls change in odd-numbered rooms...
context: As the days progressed, the number of tied-off points in her hair would increase.\After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday.\I'd sure like to see it.\Peculiarity number two.\They saw my body!\Boys and girls split up for gym class.\Girls change in odd-numbered rooms... response:	It would appear that she viewed guys on the same level as potatoes.
context: After resetting on Monday, it would increase one a day until Friday.\I wonder what her head looks like on Sunday.\I'd sure like to see it.\Peculiarity number two.\They saw my body!\Boys and girls split up for gym class.\Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes. response:	Peculiarity number three.
context: I wonder what her head looks like on Sunday.\I'd sure like to see it.\Peculiarity number two.\They saw my body!\Boys and girls split up for gym class.\Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three. response:	To my amazement...
context: I'd sure like to see it.\Peculiarity number two.\They saw my body!\Boys and girls split up for gym class.\Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three.\To my amazement... response:	Tea Ceremony Club
context: Peculiarity number two.\They saw my body!\Boys and girls split up for gym class.\Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three.\To my amazement...\Tea Ceremony Club response:	So... Why not join permanently?
context: They saw my body!\Boys and girls split up for gym class.\Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three.\To my amazement...\Tea Ceremony Club\So... Why not join permanently? response:	All the sports clubs without exception fervently pursued her membership.
context: Boys and girls split up for gym class.\Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three.\To my amazement...\Tea Ceremony Club\So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership. response:	'Sides, your presence alone would motivate us!
context: Girls change in odd-numbered rooms...\It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three.\To my amazement...\Tea Ceremony Club\So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us! response:	Turning their requests down, she would arbitrarily join a different club every day.
context: It would appear that she viewed guys on the same level as potatoes.\Peculiarity number three.\To my amazement...\Tea Ceremony Club\So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day. response:	In the end, she didn't join a single one of them.
context: Peculiarity number three.\To my amazement...\Tea Ceremony Club\So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them. response:	What exactly is she trying to do?
context: To my amazement...\Tea Ceremony Club\So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them.\What exactly is she trying to do? response:	In the process, we reached the first day after Golden Week.
context: Tea Ceremony Club\So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them.\What exactly is she trying to do?\In the process, we reached the first day after Golden Week. response:	- Yo, Kyon!
context: So... Why not join permanently?\All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them.\What exactly is she trying to do?\In the process, we reached the first day after Golden Week.\- Yo, Kyon! response:	Yo.
context: All the sports clubs without exception fervently pursued her membership.\'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them.\What exactly is she trying to do?\In the process, we reached the first day after Golden Week.\- Yo, Kyon!\Yo. response:	Incidentally, Kyon is my nickname.
context: 'Sides, your presence alone would motivate us!\Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them.\What exactly is she trying to do?\In the process, we reached the first day after Golden Week.\- Yo, Kyon!\Yo.\Incidentally, Kyon is my nickname. response:	Did you go somewhere for Golden Week?
context: Turning their requests down, she would arbitrarily join a different club every day.\In the end, she didn't join a single one of them.\What exactly is she trying to do?\In the process, we reached the first day after Golden Week.\- Yo, Kyon!\Yo.\Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week? response:	I took my sister to see our grandmother.
context: In the end, she didn't join a single one of them.\What exactly is she trying to do?\In the process, we reached the first day after Golden Week.\- Yo, Kyon!\Yo.\Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week?\I took my sister to see our grandmother. response:	I sure wish people would stop calling me that.
context: What exactly is she trying to do?\In the process, we reached the first day after Golden Week.\- Yo, Kyon!\Yo.\Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week?\I took my sister to see our grandmother.\I sure wish people would stop calling me that. response:	That's lame.
context: In the process, we reached the first day after Golden Week.\- Yo, Kyon!\Yo.\Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week?\I took my sister to see our grandmother.\I sure wish people would stop calling me that.\That's lame. response:	'Sup.
context: - Yo, Kyon!\Yo.\Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week?\I took my sister to see our grandmother.\I sure wish people would stop calling me that.\That's lame.\'Sup. response:	So that makes today Wednesday.
context: Yo.\Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week?\I took my sister to see our grandmother.\I sure wish people would stop calling me that.\That's lame.\'Sup.\So that makes today Wednesday. response:	And with that thought in mind...
context: Incidentally, Kyon is my nickname.\Did you go somewhere for Golden Week?\I took my sister to see our grandmother.\I sure wish people would stop calling me that.\That's lame.\'Sup.\So that makes today Wednesday.\And with that thought in mind... response:	I was probably possessed by some demon.
context: Did you go somewhere for Golden Week?\I took my sister to see our grandmother.\I sure wish people would stop calling me that.\That's lame.\'Sup.\So that makes today Wednesday.\And with that thought in mind...\I was probably possessed by some demon. response:	I can think of no other explanation.
context: I took my sister to see our grandmother.\I sure wish people would stop calling me that.\That's lame.\'Sup.\So that makes today Wednesday.\And with that thought in mind...\I was probably possessed by some demon.\I can think of no other explanation. response:	Do you change your hair every day as an alien countermeasure?
context: I sure wish people would stop calling me that.\That's lame.\'Sup.\So that makes today Wednesday.\And with that thought in mind...\I was probably possessed by some demon.\I can think of no other explanation.\Do you change your hair every day as an alien countermeasure? response:	I talked to Haruhi Suzumiya.
context: That's lame.\'Sup.\So that makes today Wednesday.\And with that thought in mind...\I was probably possessed by some demon.\I can think of no other explanation.\Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya. response:	When did you notice?
context: 'Sup.\So that makes today Wednesday.\And with that thought in mind...\I was probably possessed by some demon.\I can think of no other explanation.\Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya.\When did you notice? response:	Just recently.
context: So that makes today Wednesday.\And with that thought in mind...\I was probably possessed by some demon.\I can think of no other explanation.\Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya.\When did you notice?\Just recently. response:	I see.
context: And with that thought in mind...\I was probably possessed by some demon.\I can think of no other explanation.\Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya.\When did you notice?\Just recently.\I see. response:	I think that...
context: I was probably possessed by some demon.\I can think of no other explanation.\Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya.\When did you notice?\Just recently.\I see.\I think that... response:	Color-wise, Monday(Moon) would be yellow.
context: I can think of no other explanation.\Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya.\When did you notice?\Just recently.\I see.\I think that...\Color-wise, Monday(Moon) would be yellow. response:	I get the feeling this is the first time we've had a conversation.
context: Do you change your hair every day as an alien countermeasure?\I talked to Haruhi Suzumiya.\When did you notice?\Just recently.\I see.\I think that...\Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation. response:	Tuesday(Fire) would be red.
context: I talked to Haruhi Suzumiya.\When did you notice?\Just recently.\I see.\I think that...\Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red. response:	Wednesday(Water) would be blue.
context: When did you notice?\Just recently.\I see.\I think that...\Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red.\Wednesday(Water) would be blue. response:	Thursday(Wood) would be green.
context: Just recently.\I see.\I think that...\Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red.\Wednesday(Water) would be blue.\Thursday(Wood) would be green. response:	Friday(Gold) is gold.
context: I see.\I think that...\Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red.\Wednesday(Water) would be blue.\Thursday(Wood) would be green.\Friday(Gold) is gold. response:	Saturday(Earth) is light brown.
context: I think that...\Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red.\Wednesday(Water) would be blue.\Thursday(Wood) would be green.\Friday(Gold) is gold.\Saturday(Earth) is light brown. response:	Sunday(Sun) is white.
context: Color-wise, Monday(Moon) would be yellow.\I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red.\Wednesday(Water) would be blue.\Thursday(Wood) would be green.\Friday(Gold) is gold.\Saturday(Earth) is light brown.\Sunday(Sun) is white. response:	I can see where she's coming from, but...
context: I get the feeling this is the first time we've had a conversation.\Tuesday(Fire) would be red.\Wednesday(Water) would be blue.\Thursday(Wood) would be green.\Friday(Gold) is gold.\Saturday(Earth) is light brown.\Sunday(Sun) is white.\I can see where she's coming from, but... response:	So with numbers...
context: Tuesday(Fire) would be red.\Wednesday(Water) would be blue.\Thursday(Wood) would be green.\Friday(Gold) is gold.\Saturday(Earth) is light brown.\Sunday(Sun) is white.\I can see where she's coming from, but...\So with numbers... response:	Yes.
context: Wednesday(Water) would be blue.\Thursday(Wood) would be green.\Friday(Gold) is gold.\Saturday(Earth) is light brown.\Sunday(Sun) is white.\I can see where she's coming from, but...\So with numbers...\Yes. response:	Monday feels more like one to me.
context: Thursday(Wood) would be green.\Friday(Gold) is gold.\Saturday(Earth) is light brown.\Sunday(Sun) is white.\I can see where she's coming from, but...\So with numbers...\Yes.\Monday feels more like one to me. response:	Nobody asked for your opinion!
context: Friday(Gold) is gold.\Saturday(Earth) is light brown.\Sunday(Sun) is white.\I can see where she's coming from, but...\So with numbers...\Yes.\Monday feels more like one to me.\Nobody asked for your opinion! response:	Oh, really.
context: Saturday(Earth) is light brown.\Sunday(Sun) is white.\I can see where she's coming from, but...\So with numbers...\Yes.\Monday feels more like one to me.\Nobody asked for your opinion!\Oh, really. response:	Have I met you before?
context: Sunday(Sun) is white.\I can see where she's coming from, but...\So with numbers...\Yes.\Monday feels more like one to me.\Nobody asked for your opinion!\Oh, really.\Have I met you before? response:	A long time ago...
context: I can see where she's coming from, but...\So with numbers...\Yes.\Monday feels more like one to me.\Nobody asked for your opinion!\Oh, really.\Have I met you before?\A long time ago... response:	Nope.
context: So with numbers...\Yes.\Monday feels more like one to me.\Nobody asked for your opinion!\Oh, really.\Have I met you before?\A long time ago...\Nope. response:	The trigger...
context: Yes.\Monday feels more like one to me.\Nobody asked for your opinion!\Oh, really.\Have I met you before?\A long time ago...\Nope.\The trigger... response:	This would indeed be the trigger.
context: Monday feels more like one to me.\Nobody asked for your opinion!\Oh, really.\Have I met you before?\A long time ago...\Nope.\The trigger...\This would indeed be the trigger. response:	In any case, a serious response from Haruhi was a surprise.
context: Nobody asked for your opinion!\Oh, really.\Have I met you before?\A long time ago...\Nope.\The trigger...\This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise. response:	Shut up! Moron! Be quiet! Who cares about that!?
context: Oh, really.\Have I met you before?\A long time ago...\Nope.\The trigger...\This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!? response:	Which is why...
context: Have I met you before?\A long time ago...\Nope.\The trigger...\This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!?\Which is why... response:	Anyway, isn't cutting it the day after I point it out a bit hasty?
context: A long time ago...\Nope.\The trigger...\This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!?\Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty? response:	Hey.
context: Nope.\The trigger...\This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!?\Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey. response:	Not really.
context: The trigger...\This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!?\Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey.\Not really. response:	After that...
context: This would indeed be the trigger.\In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!?\Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey.\Not really.\After that... response:	I heard this rumor...
context: In any case, a serious response from Haruhi was a surprise.\Shut up! Moron! Be quiet! Who cares about that!?\Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey.\Not really.\After that...\I heard this rumor... response:	Is it true that you've dumped every guy you went out with?
context: Shut up! Moron! Be quiet! Who cares about that!?\Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey.\Not really.\After that...\I heard this rumor...\Is it true that you've dumped every guy you went out with? response:	What gives you the right to ask me that?
context: Which is why...\Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey.\Not really.\After that...\I heard this rumor...\Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that? response:	I don't know what you've heard, but very well.
context: Anyway, isn't cutting it the day after I point it out a bit hasty?\Hey.\Not really.\After that...\I heard this rumor...\Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that?\I don't know what you've heard, but very well. response:	It's probably all true.
context: Hey.\Not really.\After that...\I heard this rumor...\Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that?\I don't know what you've heard, but very well.\It's probably all true. response:	There wasn't a single guy you seriously wanted to date?
context: Not really.\After that...\I heard this rumor...\Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that?\I don't know what you've heard, but very well.\It's probably all true.\There wasn't a single guy you seriously wanted to date? response:	All of them were totally no good.
context: After that...\I heard this rumor...\Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that?\I don't know what you've heard, but very well.\It's probably all true.\There wasn't a single guy you seriously wanted to date?\All of them were totally no good. response:	Every single one of them was ridiculously square.
context: I heard this rumor...\Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that?\I don't know what you've heard, but very well.\It's probably all true.\There wasn't a single guy you seriously wanted to date?\All of them were totally no good.\Every single one of them was ridiculously square. response:	None of them were aliens, time travelers, or espers.
context: Is it true that you've dumped every guy you went out with?\What gives you the right to ask me that?\I don't know what you've heard, but very well.\It's probably all true.\There wasn't a single guy you seriously wanted to date?\All of them were totally no good.\Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers. response:	That's to be expected.
context: What gives you the right to ask me that?\I don't know what you've heard, but very well.\It's probably all true.\There wasn't a single guy you seriously wanted to date?\All of them were totally no good.\Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers.\That's to be expected. response:	And what's up with most of them asking me out over the phone?
context: I don't know what you've heard, but very well.\It's probably all true.\There wasn't a single guy you seriously wanted to date?\All of them were totally no good.\Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers.\That's to be expected.\And what's up with most of them asking me out over the phone? response:	Important matters like these should be said in person!
context: It's probably all true.\There wasn't a single guy you seriously wanted to date?\All of them were totally no good.\Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers.\That's to be expected.\And what's up with most of them asking me out over the phone?\Important matters like these should be said in person! response:	Well... you think so?
context: There wasn't a single guy you seriously wanted to date?\All of them were totally no good.\Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers.\That's to be expected.\And what's up with most of them asking me out over the phone?\Important matters like these should be said in person!\Well... you think so? response:	I'll just go along with her.
context: All of them were totally no good.\Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers.\That's to be expected.\And what's up with most of them asking me out over the phone?\Important matters like these should be said in person!\Well... you think so?\I'll just go along with her. response:	I'd probably call her out somewhere and tell her.
context: Every single one of them was ridiculously square.\None of them were aliens, time travelers, or espers.\That's to be expected.\And what's up with most of them asking me out over the phone?\Important matters like these should be said in person!\Well... you think so?\I'll just go along with her.\I'd probably call her out somewhere and tell her. response:	That's not important!
context: None of them were aliens, time travelers, or espers.\That's to be expected.\And what's up with most of them asking me out over the phone?\Important matters like these should be said in person!\Well... you think so?\I'll just go along with her.\I'd probably call her out somewhere and tell her.\That's not important! response:	So is it or isn't it?
context: That's to be expected.\And what's up with most of them asking me out over the phone?\Important matters like these should be said in person!\Well... you think so?\I'll just go along with her.\I'd probably call her out somewhere and tell her.\That's not important!\So is it or isn't it? response:	The problem is that there are only worthless men on this planet.
context: And what's up with most of them asking me out over the phone?\Important matters like these should be said in person!\Well... you think so?\I'll just go along with her.\I'd probably call her out somewhere and tell her.\That's not important!\So is it or isn't it?\The problem is that there are only worthless men on this planet. response:	I spent most of middle school being irritated.
context: Important matters like these should be said in person!\Well... you think so?\I'll just go along with her.\I'd probably call her out somewhere and tell her.\That's not important!\So is it or isn't it?\The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated. response:	Then what kind of a guy did you want?
context: Well... you think so?\I'll just go along with her.\I'd probably call her out somewhere and tell her.\That's not important!\So is it or isn't it?\The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated.\Then what kind of a guy did you want? response:	I'm guessing an alien?
context: I'll just go along with her.\I'd probably call her out somewhere and tell her.\That's not important!\So is it or isn't it?\The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated.\Then what kind of a guy did you want?\I'm guessing an alien? response:	An alien.
context: I'd probably call her out somewhere and tell her.\That's not important!\So is it or isn't it?\The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated.\Then what kind of a guy did you want?\I'm guessing an alien?\An alien. response:	Or something along those lines.
context: That's not important!\So is it or isn't it?\The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated.\Then what kind of a guy did you want?\I'm guessing an alien?\An alien.\Or something along those lines. response:	In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...
context: So is it or isn't it?\The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated.\Then what kind of a guy did you want?\I'm guessing an alien?\An alien.\Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl... response:	Why are you so particular about non-humans?
context: The problem is that there are only worthless men on this planet.\I spent most of middle school being irritated.\Then what kind of a guy did you want?\I'm guessing an alien?\An alien.\Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans? response:	Isn't that more fun?
context: I spent most of middle school being irritated.\Then what kind of a guy did you want?\I'm guessing an alien?\An alien.\Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans?\Isn't that more fun? response:	Hey, Kyon!
context: Then what kind of a guy did you want?\I'm guessing an alien?\An alien.\Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans?\Isn't that more fun?\Hey, Kyon! response:	What kind of magic did you use?
context: I'm guessing an alien?\An alien.\Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans?\Isn't that more fun?\Hey, Kyon!\What kind of magic did you use? response:	What are you talking about?
context: An alien.\Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans?\Isn't that more fun?\Hey, Kyon!\What kind of magic did you use?\What are you talking about? response:	I've never seen Suzumiya talk that long before.
context: Or something along those lines.\In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans?\Isn't that more fun?\Hey, Kyon!\What kind of magic did you use?\What are you talking about?\I've never seen Suzumiya talk that long before. response:	What did you say to her?
context: In any case, as long as it isn't an ordinary human, it doesn't matter if it's a guy or a girl...\Why are you so particular about non-humans?\Isn't that more fun?\Hey, Kyon!\What kind of magic did you use?\What are you talking about?\I've never seen Suzumiya talk that long before.\What did you say to her? response:	What did I say?
context: Why are you so particular about non-humans?\Isn't that more fun?\Hey, Kyon!\What kind of magic did you use?\What are you talking about?\I've never seen Suzumiya talk that long before.\What did you say to her?\What did I say? response:	I get the feeling I just asked whatever was on my mind.
context: Isn't that more fun?\Hey, Kyon!\What kind of magic did you use?\What are you talking about?\I've never seen Suzumiya talk that long before.\What did you say to her?\What did I say?\I get the feeling I just asked whatever was on my mind. response:	It's the end of the world.
context: Hey, Kyon!\What kind of magic did you use?\What are you talking about?\I've never seen Suzumiya talk that long before.\What did you say to her?\What did I say?\I get the feeling I just asked whatever was on my mind.\It's the end of the world. response:	Kyon's always liked weird girls.
context: What kind of magic did you use?\What are you talking about?\I've never seen Suzumiya talk that long before.\What did you say to her?\What did I say?\I get the feeling I just asked whatever was on my mind.\It's the end of the world.\Kyon's always liked weird girls. response:	Don't say things that'll cause misunderstanding.
context: What are you talking about?\I've never seen Suzumiya talk that long before.\What did you say to her?\What did I say?\I get the feeling I just asked whatever was on my mind.\It's the end of the world.\Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding. response:	I'd also like to know.
context: I've never seen Suzumiya talk that long before.\What did you say to her?\What did I say?\I get the feeling I just asked whatever was on my mind.\It's the end of the world.\Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding.\I'd also like to know. response:	Suzumiya-san never responds no matter how hard I try to talk to her.
context: What did you say to her?\What did I say?\I get the feeling I just asked whatever was on my mind.\It's the end of the world.\Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding.\I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her. response:	How did you get her to talk to you?
context: What did I say?\I get the feeling I just asked whatever was on my mind.\It's the end of the world.\Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding.\I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you? response:	Is there a trick to it?
context: I get the feeling I just asked whatever was on my mind.\It's the end of the world.\Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding.\I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you?\Is there a trick to it? response:	Don't know.
context: It's the end of the world.\Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding.\I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you?\Is there a trick to it?\Don't know. response:	But I'm relieved now.
context: Kyon's always liked weird girls.\Don't say things that'll cause misunderstanding.\I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you?\Is there a trick to it?\Don't know.\But I'm relieved now. response:	I'd be worried if Suzumiya-san kept isolating herself from the rest of the class.
context: Don't say things that'll cause misunderstanding.\I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you?\Is there a trick to it?\Don't know.\But I'm relieved now.\I'd be worried if Suzumiya-san kept isolating herself from the rest of the class. response:	It's a good thing that she's managed to make a friend.
context: I'd also like to know.\Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you?\Is there a trick to it?\Don't know.\But I'm relieved now.\I'd be worried if Suzumiya-san kept isolating herself from the rest of the class.\It's a good thing that she's managed to make a friend. response:	Friend, huh...
context: Suzumiya-san never responds no matter how hard I try to talk to her.\How did you get her to talk to you?\Is there a trick to it?\Don't know.\But I'm relieved now.\I'd be worried if Suzumiya-san kept isolating herself from the rest of the class.\It's a good thing that she's managed to make a friend.\Friend, huh... response:	Keep up whatever you're doing to make Suzumiya-san open up to the class.
context: How did you get her to talk to you?\Is there a trick to it?\Don't know.\But I'm relieved now.\I'd be worried if Suzumiya-san kept isolating herself from the rest of the class.\It's a good thing that she's managed to make a friend.\Friend, huh...\Keep up whatever you're doing to make Suzumiya-san open up to the class. response:	We were fortunate enough to be put into the same class...
context: Is there a trick to it?\Don't know.\But I'm relieved now.\I'd be worried if Suzumiya-san kept isolating herself from the rest of the class.\It's a good thing that she's managed to make a friend.\Friend, huh...\Keep up whatever you're doing to make Suzumiya-san open up to the class.\We were fortunate enough to be put into the same class... response:	I'm counting on you.
