context: Everything... response:	I'll forgive you for everything.
context: A hook-up party?\Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really?\You little bastard... you never planned to go, did you?\Uh...\Well, you know, it's that. response:	I'm still in the 49 days of mourning.
context: Yeah, on Saturday. I told you before.\Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really?\You little bastard... you never planned to go, did you?\Uh...\Well, you know, it's that.\I'm still in the 49 days of mourning. response:	It still hasn't passed.
context: Ah, sorry... I can't make it. I'm broke.\Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really?\You little bastard... you never planned to go, did you?\Uh...\Well, you know, it's that.\I'm still in the 49 days of mourning.\It still hasn't passed. response:	How about going with something like that?
context: Don't screw around like that. I got a lot of girls by promising you'd be there.\Oh, really?\You little bastard... you never planned to go, did you?\Uh...\Well, you know, it's that.\I'm still in the 49 days of mourning.\It still hasn't passed.\How about going with something like that? response:	Saying things like that to make people feel pity!
context: Oh, really?\You little bastard... you never planned to go, did you?\Uh...\Well, you know, it's that.\I'm still in the 49 days of mourning.\It still hasn't passed.\How about going with something like that?\Saying things like that to make people feel pity! response:	Things like that don't suit you. Sheesh.
context: You little bastard... you never planned to go, did you?\Uh...\Well, you know, it's that.\I'm still in the 49 days of mourning.\It still hasn't passed.\How about going with something like that?\Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh. response:	This riverbed's kinda nice, huh?
context: Uh...\Well, you know, it's that.\I'm still in the 49 days of mourning.\It still hasn't passed.\How about going with something like that?\Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh? response:	Yeah. It's cute.
context: Well, you know, it's that.\I'm still in the 49 days of mourning.\It still hasn't passed.\How about going with something like that?\Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh?\Yeah. It's cute. response:	Didn't I say so?
context: I'm still in the 49 days of mourning.\It still hasn't passed.\How about going with something like that?\Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh?\Yeah. It's cute.\Didn't I say so? response:	I'd like to go sometime.
context: It still hasn't passed.\How about going with something like that?\Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh?\Yeah. It's cute.\Didn't I say so?\I'd like to go sometime. response:	Let's go, let's go.
context: How about going with something like that?\Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh?\Yeah. It's cute.\Didn't I say so?\I'd like to go sometime.\Let's go, let's go. response:	Yes.
context: Saying things like that to make people feel pity!\Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh?\Yeah. It's cute.\Didn't I say so?\I'd like to go sometime.\Let's go, let's go.\Yes. response:	And let's invite some friends, too.
context: Things like that don't suit you. Sheesh.\This riverbed's kinda nice, huh?\Yeah. It's cute.\Didn't I say so?\I'd like to go sometime.\Let's go, let's go.\Yes.\And let's invite some friends, too. response:	Yeah.
context: This riverbed's kinda nice, huh?\Yeah. It's cute.\Didn't I say so?\I'd like to go sometime.\Let's go, let's go.\Yes.\And let's invite some friends, too.\Yeah. response:	Oh, and could you hide your face with glasses or something?
context: Yeah. It's cute.\Didn't I say so?\I'd like to go sometime.\Let's go, let's go.\Yes.\And let's invite some friends, too.\Yeah.\Oh, and could you hide your face with glasses or something? response:	What? You really don't have a girlfriend?
context: Didn't I say so?\I'd like to go sometime.\Let's go, let's go.\Yes.\And let's invite some friends, too.\Yeah.\Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend? response:	Y-Yeah.
context: I'd like to go sometime.\Let's go, let's go.\Yes.\And let's invite some friends, too.\Yeah.\Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend?\Y-Yeah. response:	How long has it been since you've had one?
context: Let's go, let's go.\Yes.\And let's invite some friends, too.\Yeah.\Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend?\Y-Yeah.\How long has it been since you've had one? response:	I told him to hide face, not to stand out...
context: Yes.\And let's invite some friends, too.\Yeah.\Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend?\Y-Yeah.\How long has it been since you've had one?\I told him to hide face, not to stand out... response:	Come on, how long?
context: And let's invite some friends, too.\Yeah.\Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend?\Y-Yeah.\How long has it been since you've had one?\I told him to hide face, not to stand out...\Come on, how long? response:	Did you just break up?
context: Yeah.\Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend?\Y-Yeah.\How long has it been since you've had one?\I told him to hide face, not to stand out...\Come on, how long?\Did you just break up? response:	Ah, he just got dumped. You better go easy on him.
context: Oh, and could you hide your face with glasses or something?\What? You really don't have a girlfriend?\Y-Yeah.\How long has it been since you've had one?\I told him to hide face, not to stand out...\Come on, how long?\Did you just break up?\Ah, he just got dumped. You better go easy on him. response:	You were just dumped?
context: What? You really don't have a girlfriend?\Y-Yeah.\How long has it been since you've had one?\I told him to hide face, not to stand out...\Come on, how long?\Did you just break up?\Ah, he just got dumped. You better go easy on him.\You were just dumped? response:	Why'd you break up?
context: Y-Yeah.\How long has it been since you've had one?\I told him to hide face, not to stand out...\Come on, how long?\Did you just break up?\Ah, he just got dumped. You better go easy on him.\You were just dumped?\Why'd you break up? response:	Who cares? Don't worry about it.
context: How long has it been since you've had one?\I told him to hide face, not to stand out...\Come on, how long?\Did you just break up?\Ah, he just got dumped. You better go easy on him.\You were just dumped?\Why'd you break up?\Who cares? Don't worry about it. response:	Did we hurt your feelings?
context: I told him to hide face, not to stand out...\Come on, how long?\Did you just break up?\Ah, he just got dumped. You better go easy on him.\You were just dumped?\Why'd you break up?\Who cares? Don't worry about it.\Did we hurt your feelings? response:	I'm so sorry!
context: Come on, how long?\Did you just break up?\Ah, he just got dumped. You better go easy on him.\You were just dumped?\Why'd you break up?\Who cares? Don't worry about it.\Did we hurt your feelings?\I'm so sorry! response:	He's getting depressed!
context: Did you just break up?\Ah, he just got dumped. You better go easy on him.\You were just dumped?\Why'd you break up?\Who cares? Don't worry about it.\Did we hurt your feelings?\I'm so sorry!\He's getting depressed! response:	I want to go home already.
context: Ah, he just got dumped. You better go easy on him.\You were just dumped?\Why'd you break up?\Who cares? Don't worry about it.\Did we hurt your feelings?\I'm so sorry!\He's getting depressed!\I want to go home already. response:	Hey, when's your birthday?
context: You were just dumped?\Why'd you break up?\Who cares? Don't worry about it.\Did we hurt your feelings?\I'm so sorry!\He's getting depressed!\I want to go home already.\Hey, when's your birthday? response:	Your birthday.
context: Why'd you break up?\Who cares? Don't worry about it.\Did we hurt your feelings?\I'm so sorry!\He's getting depressed!\I want to go home already.\Hey, when's your birthday?\Your birthday. response:	July.
context: Who cares? Don't worry about it.\Did we hurt your feelings?\I'm so sorry!\He's getting depressed!\I want to go home already.\Hey, when's your birthday?\Your birthday.\July. response:	So you're a Leo?
context: Did we hurt your feelings?\I'm so sorry!\He's getting depressed!\I want to go home already.\Hey, when's your birthday?\Your birthday.\July.\So you're a Leo? response:	I'm a Cancer.
context: I'm so sorry!\He's getting depressed!\I want to go home already.\Hey, when's your birthday?\Your birthday.\July.\So you're a Leo?\I'm a Cancer. response:	Hmm... so you're more sensitive than you look.
context: He's getting depressed!\I want to go home already.\Hey, when's your birthday?\Your birthday.\July.\So you're a Leo?\I'm a Cancer.\Hmm... so you're more sensitive than you look. response:	Is she a fortune teller?
context: I want to go home already.\Hey, when's your birthday?\Your birthday.\July.\So you're a Leo?\I'm a Cancer.\Hmm... so you're more sensitive than you look.\Is she a fortune teller? response:	Anyway, I happened to see your cell phone before, and it looked like the same model as mine.
context: Hey, when's your birthday?\Your birthday.\July.\So you're a Leo?\I'm a Cancer.\Hmm... so you're more sensitive than you look.\Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine. response:	Can I see?
context: Your birthday.\July.\So you're a Leo?\I'm a Cancer.\Hmm... so you're more sensitive than you look.\Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see? response:	See? Only the color's different, right?
context: July.\So you're a Leo?\I'm a Cancer.\Hmm... so you're more sensitive than you look.\Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see?\See? Only the color's different, right? response:	Ah, who's this?
context: So you're a Leo?\I'm a Cancer.\Hmm... so you're more sensitive than you look.\Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see?\See? Only the color's different, right?\Ah, who's this? response:	Huh? What's that?
context: I'm a Cancer.\Hmm... so you're more sensitive than you look.\Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see?\See? Only the color's different, right?\Ah, who's this?\Huh? What's that? response:	Could this be your girlfriend?
context: Hmm... so you're more sensitive than you look.\Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see?\See? Only the color's different, right?\Ah, who's this?\Huh? What's that?\Could this be your girlfriend? response:	His background is still the girlfriend he broke up with!
context: Is she a fortune teller?\Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see?\See? Only the color's different, right?\Ah, who's this?\Huh? What's that?\Could this be your girlfriend?\His background is still the girlfriend he broke up with! response:	No way! You're right!
context: Anyway, I happened to see your cell phone before, and it looked like the same model as mine.\Can I see?\See? Only the color's different, right?\Ah, who's this?\Huh? What's that?\Could this be your girlfriend?\His background is still the girlfriend he broke up with!\No way! You're right! response:	Lemme see, lemme see!
context: Can I see?\See? Only the color's different, right?\Ah, who's this?\Huh? What's that?\Could this be your girlfriend?\His background is still the girlfriend he broke up with!\No way! You're right!\Lemme see, lemme see! response:	Huh? But she's...
context: See? Only the color's different, right?\Ah, who's this?\Huh? What's that?\Could this be your girlfriend?\His background is still the girlfriend he broke up with!\No way! You're right!\Lemme see, lemme see!\Huh? But she's... response:	Yeah. I thought he would've been going out with someone cuter.
context: Ah, who's this?\Huh? What's that?\Could this be your girlfriend?\His background is still the girlfriend he broke up with!\No way! You're right!\Lemme see, lemme see!\Huh? But she's...\Yeah. I thought he would've been going out with someone cuter. response:	I guess Yano-kun doesn't care about looks.
context: Huh? What's that?\Could this be your girlfriend?\His background is still the girlfriend he broke up with!\No way! You're right!\Lemme see, lemme see!\Huh? But she's...\Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks. response:	Yeah.
context: Could this be your girlfriend?\His background is still the girlfriend he broke up with!\No way! You're right!\Lemme see, lemme see!\Huh? But she's...\Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks.\Yeah. response:	Here you go. Thanks.
context: His background is still the girlfriend he broke up with!\No way! You're right!\Lemme see, lemme see!\Huh? But she's...\Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks.\Yeah.\Here you go. Thanks. response:	What? Shouldn't they be calling her really cute or something?
context: No way! You're right!\Lemme see, lemme see!\Huh? But she's...\Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks.\Yeah.\Here you go. Thanks.\What? Shouldn't they be calling her really cute or something? response:	Are you still in love with her?
context: Lemme see, lemme see!\Huh? But she's...\Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks.\Yeah.\Here you go. Thanks.\What? Shouldn't they be calling her really cute or something?\Are you still in love with her? response:	Not really. It's just a pain to change, which is why it's still there.
context: Huh? But she's...\Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks.\Yeah.\Here you go. Thanks.\What? Shouldn't they be calling her really cute or something?\Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there. response:	Then I'll change it for you.
context: Yeah. I thought he would've been going out with someone cuter.\I guess Yano-kun doesn't care about looks.\Yeah.\Here you go. Thanks.\What? Shouldn't they be calling her really cute or something?\Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you. response:	I'll also erase this old picture, okay?
context: I guess Yano-kun doesn't care about looks.\Yeah.\Here you go. Thanks.\What? Shouldn't they be calling her really cute or something?\Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you.\I'll also erase this old picture, okay? response:	Hey!
context: Yeah.\Here you go. Thanks.\What? Shouldn't they be calling her really cute or something?\Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you.\I'll also erase this old picture, okay?\Hey! response:	Shocked
context: Here you go. Thanks.\What? Shouldn't they be calling her really cute or something?\Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you.\I'll also erase this old picture, okay?\Hey!\Shocked response:	I'm going to the bathroom.
context: What? Shouldn't they be calling her really cute or something?\Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you.\I'll also erase this old picture, okay?\Hey!\Shocked\I'm going to the bathroom. response:	Now connecting you to voicemail.
context: Are you still in love with her?\Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you.\I'll also erase this old picture, okay?\Hey!\Shocked\I'm going to the bathroom.\Now connecting you to voicemail. response:	Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?
context: Not really. It's just a pain to change, which is why it's still there.\Then I'll change it for you.\I'll also erase this old picture, okay?\Hey!\Shocked\I'm going to the bathroom.\Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago? response:	If you do, send it to me right away!
context: Then I'll change it for you.\I'll also erase this old picture, okay?\Hey!\Shocked\I'm going to the bathroom.\Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away! response:	Please!
context: I'll also erase this old picture, okay?\Hey!\Shocked\I'm going to the bathroom.\Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away!\Please! response:	Don't say a word.
context: Hey!\Shocked\I'm going to the bathroom.\Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away!\Please!\Don't say a word. response:	I won't.
context: Shocked\I'm going to the bathroom.\Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away!\Please!\Don't say a word.\I won't. response:	Can I leave now?
context: I'm going to the bathroom.\Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away!\Please!\Don't say a word.\I won't.\Can I leave now? response:	Yeah, sure. Actually, I'm kinda sorry.
context: Now connecting you to voicemail.\Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away!\Please!\Don't say a word.\I won't.\Can I leave now?\Yeah, sure. Actually, I'm kinda sorry. response:	Sorry about before.
context: Takeuchi, do you still have that picture of Takahashi in her yukata that you sent to me a year ago?\If you do, send it to me right away!\Please!\Don't say a word.\I won't.\Can I leave now?\Yeah, sure. Actually, I'm kinda sorry.\Sorry about before. response:	Forget about it.
context: If you do, send it to me right away!\Please!\Don't say a word.\I won't.\Can I leave now?\Yeah, sure. Actually, I'm kinda sorry.\Sorry about before.\Forget about it. response:	Hey, wanna make like a tree and... you know?
context: Please!\Don't say a word.\I won't.\Can I leave now?\Yeah, sure. Actually, I'm kinda sorry.\Sorry about before.\Forget about it.\Hey, wanna make like a tree and... you know? response:	Ah... I'm broke today.
context: Don't say a word.\I won't.\Can I leave now?\Yeah, sure. Actually, I'm kinda sorry.\Sorry about before.\Forget about it.\Hey, wanna make like a tree and... you know?\Ah... I'm broke today. response:	I'm not, so we're okay.
context: I won't.\Can I leave now?\Yeah, sure. Actually, I'm kinda sorry.\Sorry about before.\Forget about it.\Hey, wanna make like a tree and... you know?\Ah... I'm broke today.\I'm not, so we're okay. response:	Seriously? You want to spend the night?
context: Can I leave now?\Yeah, sure. Actually, I'm kinda sorry.\Sorry about before.\Forget about it.\Hey, wanna make like a tree and... you know?\Ah... I'm broke today.\I'm not, so we're okay.\Seriously? You want to spend the night? response:	If it's with you, I don't mind.
context: Yeah, sure. Actually, I'm kinda sorry.\Sorry about before.\Forget about it.\Hey, wanna make like a tree and... you know?\Ah... I'm broke today.\I'm not, so we're okay.\Seriously? You want to spend the night?\If it's with you, I don't mind. response:	I'm really no good if I'm not with the girl I love.
context: Sorry about before.\Forget about it.\Hey, wanna make like a tree and... you know?\Ah... I'm broke today.\I'm not, so we're okay.\Seriously? You want to spend the night?\If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love. response:	Sorry.
context: Forget about it.\Hey, wanna make like a tree and... you know?\Ah... I'm broke today.\I'm not, so we're okay.\Seriously? You want to spend the night?\If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love.\Sorry. response:	Take...
context: Hey, wanna make like a tree and... you know?\Ah... I'm broke today.\I'm not, so we're okay.\Seriously? You want to spend the night?\If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love.\Sorry.\Take... response:	Take, wake up.
context: Ah... I'm broke today.\I'm not, so we're okay.\Seriously? You want to spend the night?\If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love.\Sorry.\Take...\Take, wake up. response:	Take!
context: I'm not, so we're okay.\Seriously? You want to spend the night?\If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love.\Sorry.\Take...\Take, wake up.\Take! response:	What do you want? What time do you think it is?
context: Seriously? You want to spend the night?\If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love.\Sorry.\Take...\Take, wake up.\Take!\What do you want? What time do you think it is? response:	The picture!
context: If it's with you, I don't mind.\I'm really no good if I'm not with the girl I love.\Sorry.\Take...\Take, wake up.\Take!\What do you want? What time do you think it is?\The picture! response:	Where's Takahashi's picture?
context: I'm really no good if I'm not with the girl I love.\Sorry.\Take...\Take, wake up.\Take!\What do you want? What time do you think it is?\The picture!\Where's Takahashi's picture? response:	I don't have that old thing anymore.
context: Sorry.\Take...\Take, wake up.\Take!\What do you want? What time do you think it is?\The picture!\Where's Takahashi's picture?\I don't have that old thing anymore. response:	Ah... it's 02:30. Get out of here. Geez.
context: Take...\Take, wake up.\Take!\What do you want? What time do you think it is?\The picture!\Where's Takahashi's picture?\I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez. response:	Hey, Take!
context: Take, wake up.\Take!\What do you want? What time do you think it is?\The picture!\Where's Takahashi's picture?\I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez.\Hey, Take! response:	Even if you're secretly hiding that picture from me, I won't get mad.
context: Take!\What do you want? What time do you think it is?\The picture!\Where's Takahashi's picture?\I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez.\Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad. response:	Just please send it to me again!
context: What do you want? What time do you think it is?\The picture!\Where's Takahashi's picture?\I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez.\Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again! response:	I don't have it!
context: The picture!\Where's Takahashi's picture?\I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez.\Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again!\I don't have it! response:	What would be fun about having a picture of someone else's girlfriend?
context: Where's Takahashi's picture?\I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez.\Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again!\I don't have it!\What would be fun about having a picture of someone else's girlfriend? response:	Here. Look for yourself.
context: I don't have that old thing anymore.\Ah... it's 02:30. Get out of here. Geez.\Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again!\I don't have it!\What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself. response:	The girls I met today...
context: Ah... it's 02:30. Get out of here. Geez.\Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again!\I don't have it!\What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself.\The girls I met today... response:	They called Takahashi ugly.
context: Hey, Take!\Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again!\I don't have it!\What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself.\The girls I met today...\They called Takahashi ugly. response:	They said she was plain.
context: Even if you're secretly hiding that picture from me, I won't get mad.\Just please send it to me again!\I don't have it!\What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself.\The girls I met today...\They called Takahashi ugly.\They said she was plain. response:	What's wrong with her being plain?
context: Just please send it to me again!\I don't have it!\What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself.\The girls I met today...\They called Takahashi ugly.\They said she was plain.\What's wrong with her being plain? response:	Please... let me sleep...
context: I don't have it!\What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself.\The girls I met today...\They called Takahashi ugly.\They said she was plain.\What's wrong with her being plain?\Please... let me sleep... response:	Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...
context: What would be fun about having a picture of someone else's girlfriend?\Here. Look for yourself.\The girls I met today...\They called Takahashi ugly.\They said she was plain.\What's wrong with her being plain?\Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches... response:	Ah, correction... I meant a thousand times.
context: Here. Look for yourself.\The girls I met today...\They called Takahashi ugly.\They said she was plain.\What's wrong with her being plain?\Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times. response:	Who's cuter, her or Nana-san?
context: The girls I met today...\They called Takahashi ugly.\They said she was plain.\What's wrong with her being plain?\Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san? response:	What's up with all of you? Every single one of you...
context: They called Takahashi ugly.\They said she was plain.\What's wrong with her being plain?\Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you... response:	As if I know.
context: They said she was plain.\What's wrong with her being plain?\Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you...\As if I know. response:	Try bringing them together and lining them up.
context: What's wrong with her being plain?\Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you...\As if I know.\Try bringing them together and lining them up. response:	Try lining both of them up in front of me!
context: Please... let me sleep...\Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you...\As if I know.\Try bringing them together and lining them up.\Try lining both of them up in front of me! response:	I want to know...
context: Takahashi's a hundred times cuter than those arrogant, unsympathetic, delicate bitches...\Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you...\As if I know.\Try bringing them together and lining them up.\Try lining both of them up in front of me!\I want to know... response:	What would you do if I went out with Takahashi?
context: Ah, correction... I meant a thousand times.\Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you...\As if I know.\Try bringing them together and lining them up.\Try lining both of them up in front of me!\I want to know...\What would you do if I went out with Takahashi? response:	What's up with that?
context: Who's cuter, her or Nana-san?\What's up with all of you? Every single one of you...\As if I know.\Try bringing them together and lining them up.\Try lining both of them up in front of me!\I want to know...\What would you do if I went out with Takahashi?\What's up with that? response:	I'm saying that you have no right to complain if she finds another guy while you idle around like this.
context: What's up with all of you? Every single one of you...\As if I know.\Try bringing them together and lining them up.\Try lining both of them up in front of me!\I want to know...\What would you do if I went out with Takahashi?\What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this. response:	After all... love is all about timing.
context: As if I know.\Try bringing them together and lining them up.\Try lining both of them up in front of me!\I want to know...\What would you do if I went out with Takahashi?\What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing. response:	If you don't say the right thing at the right moment...
context: Try bringing them together and lining them up.\Try lining both of them up in front of me!\I want to know...\What would you do if I went out with Takahashi?\What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing.\If you don't say the right thing at the right moment... response:	Even if you regret it, it'll be too late.
context: Try lining both of them up in front of me!\I want to know...\What would you do if I went out with Takahashi?\What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing.\If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late. response:	Even if you regret it...
context: I want to know...\What would you do if I went out with Takahashi?\What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing.\If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late.\Even if you regret it... response:	Here's the money I borrowed the other day.
context: What would you do if I went out with Takahashi?\What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing.\If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late.\Even if you regret it...\Here's the money I borrowed the other day. response:	A-Ah, yeah.
context: What's up with that?\I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing.\If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late.\Even if you regret it...\Here's the money I borrowed the other day.\A-Ah, yeah. response:	What was that arrogant little boy's name again?
context: I'm saying that you have no right to complain if she finds another guy while you idle around like this.\After all... love is all about timing.\If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late.\Even if you regret it...\Here's the money I borrowed the other day.\A-Ah, yeah.\What was that arrogant little boy's name again? response:	Moto?
context: After all... love is all about timing.\If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late.\Even if you regret it...\Here's the money I borrowed the other day.\A-Ah, yeah.\What was that arrogant little boy's name again?\Moto? response:	Yeah, Moto. Could you give this back to him and say thanks from me?
context: If you don't say the right thing at the right moment...\Even if you regret it, it'll be too late.\Even if you regret it...\Here's the money I borrowed the other day.\A-Ah, yeah.\What was that arrogant little boy's name again?\Moto?\Yeah, Moto. Could you give this back to him and say thanks from me? response:	Huh? We didn't give this much.
context: Even if you regret it, it'll be too late.\Even if you regret it...\Here's the money I borrowed the other day.\A-Ah, yeah.\What was that arrogant little boy's name again?\Moto?\Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much. response:	Huh?
context: Even if you regret it...\Here's the money I borrowed the other day.\A-Ah, yeah.\What was that arrogant little boy's name again?\Moto?\Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much.\Huh? response:	There's 220 yen here. That's 80 yen more than what we gave you.
context: Here's the money I borrowed the other day.\A-Ah, yeah.\What was that arrogant little boy's name again?\Moto?\Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much.\Huh?\There's 220 yen here. That's 80 yen more than what we gave you. response:	On, it's fine. It's just 80 yen.
context: A-Ah, yeah.\What was that arrogant little boy's name again?\Moto?\Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much.\Huh?\There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen. response:	It's small change.
context: What was that arrogant little boy's name again?\Moto?\Yeah, Moto. Could you give this back to him and say thanks from me?\Huh? We didn't give this much.\Huh?\There's 220 yen here. That's 80 yen more than what we gave you.\On, it's fine. It's just 80 yen.\It's small change. response:	It's not fine. Whether it's 80 or 800,000 yen, money is still money.
