context: Hold it, Kagome! response:	You're on clean-up duty, too!
context: We're surrounded!\Aghh! Spider Heads!\This side, too!\There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest!\Whatever happened to his sacred sutra seals?!\Master! response:	Master, the Spider Heads!
context: Aghh! Spider Heads!\This side, too!\There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest!\Whatever happened to his sacred sutra seals?!\Master!\Master, the Spider Heads! response:	Master!
context: This side, too!\There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest!\Whatever happened to his sacred sutra seals?!\Master!\Master, the Spider Heads!\Master! response:	Inuyasha!
context: There may be many of them, but they're not formidable opponents.\It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest!\Whatever happened to his sacred sutra seals?!\Master!\Master, the Spider Heads!\Master!\Inuyasha! response:	Kagome! Shippo! Make your escape!
context: It's just a post-meal exercise for you, Master Inuyasha!\Dang that priest!\Whatever happened to his sacred sutra seals?!\Master!\Master, the Spider Heads!\Master!\Inuyasha!\Kagome! Shippo! Make your escape! response:	But!
context: Dang that priest!\Whatever happened to his sacred sutra seals?!\Master!\Master, the Spider Heads!\Master!\Inuyasha!\Kagome! Shippo! Make your escape!\But! response:	Shut up! I can ward them off alone!
context: Whatever happened to his sacred sutra seals?!\Master!\Master, the Spider Heads!\Master!\Inuyasha!\Kagome! Shippo! Make your escape!\But!\Shut up! I can ward them off alone! response:	What's with him today?
context: Master!\Master, the Spider Heads!\Master!\Inuyasha!\Kagome! Shippo! Make your escape!\But!\Shut up! I can ward them off alone!\What's with him today? response:	Why isn't Tetsusaiga transforming?
context: Master, the Spider Heads!\Master!\Inuyasha!\Kagome! Shippo! Make your escape!\But!\Shut up! I can ward them off alone!\What's with him today?\Why isn't Tetsusaiga transforming? response:	Damn!
context: Master!\Inuyasha!\Kagome! Shippo! Make your escape!\But!\Shut up! I can ward them off alone!\What's with him today?\Why isn't Tetsusaiga transforming?\Damn! response:	Foxfire!
context: Inuyasha!\Kagome! Shippo! Make your escape!\But!\Shut up! I can ward them off alone!\What's with him today?\Why isn't Tetsusaiga transforming?\Damn!\Foxfire! response:	Inuyasha!
context: Kagome! Shippo! Make your escape!\But!\Shut up! I can ward them off alone!\What's with him today?\Why isn't Tetsusaiga transforming?\Damn!\Foxfire!\Inuyasha! response:	Get away!
context: But!\Shut up! I can ward them off alone!\What's with him today?\Why isn't Tetsusaiga transforming?\Damn!\Foxfire!\Inuyasha!\Get away! response:	N-Nazuna... The seals have been broken!
context: Shut up! I can ward them off alone!\What's with him today?\Why isn't Tetsusaiga transforming?\Damn!\Foxfire!\Inuyasha!\Get away!\N-Nazuna... The seals have been broken! response:	My sutras can no longer ward off the Spider Heads!
context: What's with him today?\Why isn't Tetsusaiga transforming?\Damn!\Foxfire!\Inuyasha!\Get away!\N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads! response:	Master...
context: Why isn't Tetsusaiga transforming?\Damn!\Foxfire!\Inuyasha!\Get away!\N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads!\Master... response:	Master!
context: Damn!\Foxfire!\Inuyasha!\Get away!\N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads!\Master...\Master! response:	I think we're safe now.
context: Foxfire!\Inuyasha!\Get away!\N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads!\Master...\Master!\I think we're safe now. response:	Damn!
context: Inuyasha!\Get away!\N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads!\Master...\Master!\I think we're safe now.\Damn! response:	Inuyasha... What's wrong?
context: Get away!\N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads!\Master...\Master!\I think we're safe now.\Damn!\Inuyasha... What's wrong? response:	Shut up!
context: N-Nazuna... The seals have been broken!\My sutras can no longer ward off the Spider Heads!\Master...\Master!\I think we're safe now.\Damn!\Inuyasha... What's wrong?\Shut up! response:	Something's wrong with you today!
context: My sutras can no longer ward off the Spider Heads!\Master...\Master!\I think we're safe now.\Damn!\Inuyasha... What's wrong?\Shut up!\Something's wrong with you today! response:	You guys had better worry about yourselves first.
context: Master...\Master!\I think we're safe now.\Damn!\Inuyasha... What's wrong?\Shut up!\Something's wrong with you today!\You guys had better worry about yourselves first. response:	W-what's happening to your hair?
context: Master!\I think we're safe now.\Damn!\Inuyasha... What's wrong?\Shut up!\Something's wrong with you today!\You guys had better worry about yourselves first.\W-what's happening to your hair? response:	If you think I can protect you as usual, you're wrong!
context: I think we're safe now.\Damn!\Inuyasha... What's wrong?\Shut up!\Something's wrong with you today!\You guys had better worry about yourselves first.\W-what's happening to your hair?\If you think I can protect you as usual, you're wrong! response:	What's this?
context: Damn!\Inuyasha... What's wrong?\Shut up!\Something's wrong with you today!\You guys had better worry about yourselves first.\W-what's happening to your hair?\If you think I can protect you as usual, you're wrong!\What's this? response:	Inuyasha... right?
context: Inuyasha... What's wrong?\Shut up!\Something's wrong with you today!\You guys had better worry about yourselves first.\W-what's happening to your hair?\If you think I can protect you as usual, you're wrong!\What's this?\Inuyasha... right? response:	Quit staring at me!
context: Shut up!\Something's wrong with you today!\You guys had better worry about yourselves first.\W-what's happening to your hair?\If you think I can protect you as usual, you're wrong!\What's this?\Inuyasha... right?\Quit staring at me! response:	Your dog ears are gone!
context: Something's wrong with you today!\You guys had better worry about yourselves first.\W-what's happening to your hair?\If you think I can protect you as usual, you're wrong!\What's this?\Inuyasha... right?\Quit staring at me!\Your dog ears are gone! response:	You look just like a human...
context: You guys had better worry about yourselves first.\W-what's happening to your hair?\If you think I can protect you as usual, you're wrong!\What's this?\Inuyasha... right?\Quit staring at me!\Your dog ears are gone!\You look just like a human... response:	And my fangs and claws are gone, too!
context: W-what's happening to your hair?\If you think I can protect you as usual, you're wrong!\What's this?\Inuyasha... right?\Quit staring at me!\Your dog ears are gone!\You look just like a human...\And my fangs and claws are gone, too! response:	What's going on, Inuyasha?
context: If you think I can protect you as usual, you're wrong!\What's this?\Inuyasha... right?\Quit staring at me!\Your dog ears are gone!\You look just like a human...\And my fangs and claws are gone, too!\What's going on, Inuyasha? response:	Half-demons like Master Inuyasha...
context: What's this?\Inuyasha... right?\Quit staring at me!\Your dog ears are gone!\You look just like a human...\And my fangs and claws are gone, too!\What's going on, Inuyasha?\Half-demons like Master Inuyasha... response:	Iose their demon power for a period of time.
context: Inuyasha... right?\Quit staring at me!\Your dog ears are gone!\You look just like a human...\And my fangs and claws are gone, too!\What's going on, Inuyasha?\Half-demons like Master Inuyasha...\Iose their demon power for a period of time. response:	Myoga!
context: Quit staring at me!\Your dog ears are gone!\You look just like a human...\And my fangs and claws are gone, too!\What's going on, Inuyasha?\Half-demons like Master Inuyasha...\Iose their demon power for a period of time.\Myoga! response:	Because this is a life-threatening period...
context: Your dog ears are gone!\You look just like a human...\And my fangs and claws are gone, too!\What's going on, Inuyasha?\Half-demons like Master Inuyasha...\Iose their demon power for a period of time.\Myoga!\Because this is a life-threatening period... response:	half-demons never reveal this weakness to anyone.
context: You look just like a human...\And my fangs and claws are gone, too!\What's going on, Inuyasha?\Half-demons like Master Inuyasha...\Iose their demon power for a period of time.\Myoga!\Because this is a life-threatening period...\half-demons never reveal this weakness to anyone. response:	For Master Inuyasha, it turns out that...
context: And my fangs and claws are gone, too!\What's going on, Inuyasha?\Half-demons like Master Inuyasha...\Iose their demon power for a period of time.\Myoga!\Because this is a life-threatening period...\half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that... response:	it is this night of the new month when the moon is dark.
context: What's going on, Inuyasha?\Half-demons like Master Inuyasha...\Iose their demon power for a period of time.\Myoga!\Because this is a life-threatening period...\half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark. response:	When the moon is dark...
context: Half-demons like Master Inuyasha...\Iose their demon power for a period of time.\Myoga!\Because this is a life-threatening period...\half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark.\When the moon is dark... response:	The start of the new month when the moon isn't visible?
context: Iose their demon power for a period of time.\Myoga!\Because this is a life-threatening period...\half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark.\When the moon is dark...\The start of the new month when the moon isn't visible? response:	And today is that day.
context: Myoga!\Because this is a life-threatening period...\half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark.\When the moon is dark...\The start of the new month when the moon isn't visible?\And today is that day. response:	Master Inuyasha... Why didn't you at least inform me?!
context: Because this is a life-threatening period...\half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark.\When the moon is dark...\The start of the new month when the moon isn't visible?\And today is that day.\Master Inuyasha... Why didn't you at least inform me?! response:	If you knew, you'd have run off somewhere by now.
context: half-demons never reveal this weakness to anyone.\For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark.\When the moon is dark...\The start of the new month when the moon isn't visible?\And today is that day.\Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now. response:	Well...
context: For Master Inuyasha, it turns out that...\it is this night of the new month when the moon is dark.\When the moon is dark...\The start of the new month when the moon isn't visible?\And today is that day.\Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now.\Well... response:	Have you so little faith in me?
context: it is this night of the new month when the moon is dark.\When the moon is dark...\The start of the new month when the moon isn't visible?\And today is that day.\Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now.\Well...\Have you so little faith in me? response:	I have little faith in this period of time!
context: When the moon is dark...\The start of the new month when the moon isn't visible?\And today is that day.\Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now.\Well...\Have you so little faith in me?\I have little faith in this period of time! response:	What about me?
context: The start of the new month when the moon isn't visible?\And today is that day.\Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now.\Well...\Have you so little faith in me?\I have little faith in this period of time!\What about me? response:	If I had known about your weakness...
context: And today is that day.\Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now.\Well...\Have you so little faith in me?\I have little faith in this period of time!\What about me?\If I had known about your weakness... response:	I would never have insisted that we journey into this den of demons!
context: Master Inuyasha... Why didn't you at least inform me?!\If you knew, you'd have run off somewhere by now.\Well...\Have you so little faith in me?\I have little faith in this period of time!\What about me?\If I had known about your weakness...\I would never have insisted that we journey into this den of demons! response:	Have you so little faith in me, too?!
context: If you knew, you'd have run off somewhere by now.\Well...\Have you so little faith in me?\I have little faith in this period of time!\What about me?\If I had known about your weakness...\I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?! response:	I don't trust anyone!
context: Well...\Have you so little faith in me?\I have little faith in this period of time!\What about me?\If I had known about your weakness...\I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?!\I don't trust anyone! response:	That's how I've lived until now!
context: Have you so little faith in me?\I have little faith in this period of time!\What about me?\If I had known about your weakness...\I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?!\I don't trust anyone!\That's how I've lived until now! response:	You have no right to complain!
context: I have little faith in this period of time!\What about me?\If I had known about your weakness...\I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?!\I don't trust anyone!\That's how I've lived until now!\You have no right to complain! response:	I'm sorry. But...
context: What about me?\If I had known about your weakness...\I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?!\I don't trust anyone!\That's how I've lived until now!\You have no right to complain!\I'm sorry. But... response:	I just thought you could open up to me a little...
context: If I had known about your weakness...\I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?!\I don't trust anyone!\That's how I've lived until now!\You have no right to complain!\I'm sorry. But...\I just thought you could open up to me a little... response:	H-hey! Don't cry!
context: I would never have insisted that we journey into this den of demons!\Have you so little faith in me, too?!\I don't trust anyone!\That's how I've lived until now!\You have no right to complain!\I'm sorry. But...\I just thought you could open up to me a little...\H-hey! Don't cry! response:	It's because you're so proud and stubborn...
context: Have you so little faith in me, too?!\I don't trust anyone!\That's how I've lived until now!\You have no right to complain!\I'm sorry. But...\I just thought you could open up to me a little...\H-hey! Don't cry!\It's because you're so proud and stubborn... response:	that we're in this terrible mess right now!
context: I don't trust anyone!\That's how I've lived until now!\You have no right to complain!\I'm sorry. But...\I just thought you could open up to me a little...\H-hey! Don't cry!\It's because you're so proud and stubborn...\that we're in this terrible mess right now! response:	Stupid! Stupid! Stupid!
context: That's how I've lived until now!\You have no right to complain!\I'm sorry. But...\I just thought you could open up to me a little...\H-hey! Don't cry!\It's because you're so proud and stubborn...\that we're in this terrible mess right now!\Stupid! Stupid! Stupid! response:	What?!
context: You have no right to complain!\I'm sorry. But...\I just thought you could open up to me a little...\H-hey! Don't cry!\It's because you're so proud and stubborn...\that we're in this terrible mess right now!\Stupid! Stupid! Stupid!\What?! response:	I can't believe that you're so stupid!
context: I'm sorry. But...\I just thought you could open up to me a little...\H-hey! Don't cry!\It's because you're so proud and stubborn...\that we're in this terrible mess right now!\Stupid! Stupid! Stupid!\What?!\I can't believe that you're so stupid! response:	If Inuyasha is a powerless, mere mortal...
context: I just thought you could open up to me a little...\H-hey! Don't cry!\It's because you're so proud and stubborn...\that we're in this terrible mess right now!\Stupid! Stupid! Stupid!\What?!\I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal... response:	I'm the only demon that can protect everyone!
context: H-hey! Don't cry!\It's because you're so proud and stubborn...\that we're in this terrible mess right now!\Stupid! Stupid! Stupid!\What?!\I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone! response:	I must be strong!
context: It's because you're so proud and stubborn...\that we're in this terrible mess right now!\Stupid! Stupid! Stupid!\What?!\I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone!\I must be strong! response:	Here they come!
context: that we're in this terrible mess right now!\Stupid! Stupid! Stupid!\What?!\I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone!\I must be strong!\Here they come! response:	You!
context: Stupid! Stupid! Stupid!\What?!\I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone!\I must be strong!\Here they come!\You! response:	Nazuna!
context: What?!\I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone!\I must be strong!\Here they come!\You!\Nazuna! response:	I'm so glad you're safe!
context: I can't believe that you're so stupid!\If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone!\I must be strong!\Here they come!\You!\Nazuna!\I'm so glad you're safe! response:	Please... Please save the priest!
context: If Inuyasha is a powerless, mere mortal...\I'm the only demon that can protect everyone!\I must be strong!\Here they come!\You!\Nazuna!\I'm so glad you're safe!\Please... Please save the priest! response:	What? The priest?
context: I'm the only demon that can protect everyone!\I must be strong!\Here they come!\You!\Nazuna!\I'm so glad you're safe!\Please... Please save the priest!\What? The priest? response:	That... that demon is strong, isn't he?
context: I must be strong!\Here they come!\You!\Nazuna!\I'm so glad you're safe!\Please... Please save the priest!\What? The priest?\That... that demon is strong, isn't he? response:	I thought you said you hated demons?
context: Here they come!\You!\Nazuna!\I'm so glad you're safe!\Please... Please save the priest!\What? The priest?\That... that demon is strong, isn't he?\I thought you said you hated demons? response:	Go rely on that priest's sacred sutras.
context: You!\Nazuna!\I'm so glad you're safe!\Please... Please save the priest!\What? The priest?\That... that demon is strong, isn't he?\I thought you said you hated demons?\Go rely on that priest's sacred sutras. response:	What happened to you? You look like...
context: Nazuna!\I'm so glad you're safe!\Please... Please save the priest!\What? The priest?\That... that demon is strong, isn't he?\I thought you said you hated demons?\Go rely on that priest's sacred sutras.\What happened to you? You look like... response:	I've just turned human for a while!
context: I'm so glad you're safe!\Please... Please save the priest!\What? The priest?\That... that demon is strong, isn't he?\I thought you said you hated demons?\Go rely on that priest's sacred sutras.\What happened to you? You look like...\I've just turned human for a while! response:	What's the matter?
context: Please... Please save the priest!\What? The priest?\That... that demon is strong, isn't he?\I thought you said you hated demons?\Go rely on that priest's sacred sutras.\What happened to you? You look like...\I've just turned human for a while!\What's the matter? response:	I forgot my backpack!
context: What? The priest?\That... that demon is strong, isn't he?\I thought you said you hated demons?\Go rely on that priest's sacred sutras.\What happened to you? You look like...\I've just turned human for a while!\What's the matter?\I forgot my backpack! response:	Forget it!
context: That... that demon is strong, isn't he?\I thought you said you hated demons?\Go rely on that priest's sacred sutras.\What happened to you? You look like...\I've just turned human for a while!\What's the matter?\I forgot my backpack!\Forget it! response:	The Sacred Jewel fragments are in there...
context: I thought you said you hated demons?\Go rely on that priest's sacred sutras.\What happened to you? You look like...\I've just turned human for a while!\What's the matter?\I forgot my backpack!\Forget it!\The Sacred Jewel fragments are in there... response:	What?!
context: Go rely on that priest's sacred sutras.\What happened to you? You look like...\I've just turned human for a while!\What's the matter?\I forgot my backpack!\Forget it!\The Sacred Jewel fragments are in there...\What?! response:	S-sorry!
context: What happened to you? You look like...\I've just turned human for a while!\What's the matter?\I forgot my backpack!\Forget it!\The Sacred Jewel fragments are in there...\What?!\S-sorry! response:	Here!
context: I've just turned human for a while!\What's the matter?\I forgot my backpack!\Forget it!\The Sacred Jewel fragments are in there...\What?!\S-sorry!\Here! response:	You and Nazuna can wait here!
context: What's the matter?\I forgot my backpack!\Forget it!\The Sacred Jewel fragments are in there...\What?!\S-sorry!\Here!\You and Nazuna can wait here! response:	Even if Tetsusaiga won't transform...
context: I forgot my backpack!\Forget it!\The Sacred Jewel fragments are in there...\What?!\S-sorry!\Here!\You and Nazuna can wait here!\Even if Tetsusaiga won't transform... response:	you can hit Spider Heads on their heads!
context: Forget it!\The Sacred Jewel fragments are in there...\What?!\S-sorry!\Here!\You and Nazuna can wait here!\Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads! response:	Inuyasha...
context: The Sacred Jewel fragments are in there...\What?!\S-sorry!\Here!\You and Nazuna can wait here!\Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads!\Inuyasha... response:	All right, we're going back to the temple, Shippo!
context: What?!\S-sorry!\Here!\You and Nazuna can wait here!\Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads!\Inuyasha...\All right, we're going back to the temple, Shippo! response:	Huh?! Me, too?
context: S-sorry!\Here!\You and Nazuna can wait here!\Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads!\Inuyasha...\All right, we're going back to the temple, Shippo!\Huh?! Me, too? response:	I have to be strong...
context: Here!\You and Nazuna can wait here!\Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads!\Inuyasha...\All right, we're going back to the temple, Shippo!\Huh?! Me, too?\I have to be strong... response:	Be strong!
context: You and Nazuna can wait here!\Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads!\Inuyasha...\All right, we're going back to the temple, Shippo!\Huh?! Me, too?\I have to be strong...\Be strong! response:	Priest!
context: Even if Tetsusaiga won't transform...\you can hit Spider Heads on their heads!\Inuyasha...\All right, we're going back to the temple, Shippo!\Huh?! Me, too?\I have to be strong...\Be strong!\Priest! response:	So you are the mastermind behind this!
context: you can hit Spider Heads on their heads!\Inuyasha...\All right, we're going back to the temple, Shippo!\Huh?! Me, too?\I have to be strong...\Be strong!\Priest!\So you are the mastermind behind this! response:	I heard rumors that a half-demon was roaming around...
context: Inuyasha...\All right, we're going back to the temple, Shippo!\Huh?! Me, too?\I have to be strong...\Be strong!\Priest!\So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around... response:	with fragments of the Sacred Jewel...
context: All right, we're going back to the temple, Shippo!\Huh?! Me, too?\I have to be strong...\Be strong!\Priest!\So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel... response:	Darn... he took some of it!
context: Huh?! Me, too?\I have to be strong...\Be strong!\Priest!\So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel...\Darn... he took some of it! response:	And of all the luck...
context: I have to be strong...\Be strong!\Priest!\So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel...\Darn... he took some of it!\And of all the luck... response:	you fell into my trap just when your powers are gone!
context: Be strong!\Priest!\So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel...\Darn... he took some of it!\And of all the luck...\you fell into my trap just when your powers are gone! response:	I may not have any demon power...
context: Priest!\So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel...\Darn... he took some of it!\And of all the luck...\you fell into my trap just when your powers are gone!\I may not have any demon power... response:	but my human strength can beat your brains out!
context: So you are the mastermind behind this!\I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel...\Darn... he took some of it!\And of all the luck...\you fell into my trap just when your powers are gone!\I may not have any demon power...\but my human strength can beat your brains out! response:	St. Elmo's fire!
context: I heard rumors that a half-demon was roaming around...\with fragments of the Sacred Jewel...\Darn... he took some of it!\And of all the luck...\you fell into my trap just when your powers are gone!\I may not have any demon power...\but my human strength can beat your brains out!\St. Elmo's fire! response:	Darn!
context: with fragments of the Sacred Jewel...\Darn... he took some of it!\And of all the luck...\you fell into my trap just when your powers are gone!\I may not have any demon power...\but my human strength can beat your brains out!\St. Elmo's fire!\Darn! response:	Pretending to be human is quite a burden...
context: Darn... he took some of it!\And of all the luck...\you fell into my trap just when your powers are gone!\I may not have any demon power...\but my human strength can beat your brains out!\St. Elmo's fire!\Darn!\Pretending to be human is quite a burden... response:	Die!
context: And of all the luck...\you fell into my trap just when your powers are gone!\I may not have any demon power...\but my human strength can beat your brains out!\St. Elmo's fire!\Darn!\Pretending to be human is quite a burden...\Die! response:	Inuyasha!
context: you fell into my trap just when your powers are gone!\I may not have any demon power...\but my human strength can beat your brains out!\St. Elmo's fire!\Darn!\Pretending to be human is quite a burden...\Die!\Inuyasha! response:	Now then, I'll take the Sacred Jewel fragments!
context: I may not have any demon power...\but my human strength can beat your brains out!\St. Elmo's fire!\Darn!\Pretending to be human is quite a burden...\Die!\Inuyasha!\Now then, I'll take the Sacred Jewel fragments! response:	No!
context: but my human strength can beat your brains out!\St. Elmo's fire!\Darn!\Pretending to be human is quite a burden...\Die!\Inuyasha!\Now then, I'll take the Sacred Jewel fragments!\No! response:	Then you, too...
context: St. Elmo's fire!\Darn!\Pretending to be human is quite a burden...\Die!\Inuyasha!\Now then, I'll take the Sacred Jewel fragments!\No!\Then you, too... response:	Master...
context: Darn!\Pretending to be human is quite a burden...\Die!\Inuyasha!\Now then, I'll take the Sacred Jewel fragments!\No!\Then you, too...\Master... response:	Why?
context: Pretending to be human is quite a burden...\Die!\Inuyasha!\Now then, I'll take the Sacred Jewel fragments!\No!\Then you, too...\Master...\Why? response:	He tricked you.
context: Die!\Inuyasha!\Now then, I'll take the Sacred Jewel fragments!\No!\Then you, too...\Master...\Why?\He tricked you. response:	Kagome... Inuyasha is!
context: Inuyasha!\Now then, I'll take the Sacred Jewel fragments!\No!\Then you, too...\Master...\Why?\He tricked you.\Kagome... Inuyasha is! response:	Inuyasha!
context: Now then, I'll take the Sacred Jewel fragments!\No!\Then you, too...\Master...\Why?\He tricked you.\Kagome... Inuyasha is!\Inuyasha! response:	Tetsusaiga's powers are at work.
context: No!\Then you, too...\Master...\Why?\He tricked you.\Kagome... Inuyasha is!\Inuyasha!\Tetsusaiga's powers are at work. response:	If Myoga appears at a time like this, it must mean we have a chance.
context: Then you, too...\Master...\Why?\He tricked you.\Kagome... Inuyasha is!\Inuyasha!\Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance. response:	Huh? What do you mean?
context: Master...\Why?\He tricked you.\Kagome... Inuyasha is!\Inuyasha!\Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean? response:	You've taken in quite a bit of my toxin.
context: Why?\He tricked you.\Kagome... Inuyasha is!\Inuyasha!\Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean?\You've taken in quite a bit of my toxin. response:	Soon, you'll start to corrode from the inside!
context: He tricked you.\Kagome... Inuyasha is!\Inuyasha!\Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean?\You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside! response:	No... Master...
context: Kagome... Inuyasha is!\Inuyasha!\Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean?\You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside!\No... Master... response:	Kagome... Run...
context: Inuyasha!\Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean?\You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside!\No... Master...\Kagome... Run... response:	No!
context: Tetsusaiga's powers are at work.\If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean?\You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside!\No... Master...\Kagome... Run...\No! response:	Idiot! Listen to me!
context: If Myoga appears at a time like this, it must mean we have a chance.\Huh? What do you mean?\You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside!\No... Master...\Kagome... Run...\No!\Idiot! Listen to me! response:	I REFUSE to run away by myself!
context: Huh? What do you mean?\You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside!\No... Master...\Kagome... Run...\No!\Idiot! Listen to me!\I REFUSE to run away by myself! response:	Hurry, outside!
context: You've taken in quite a bit of my toxin.\Soon, you'll start to corrode from the inside!\No... Master...\Kagome... Run...\No!\Idiot! Listen to me!\I REFUSE to run away by myself!\Hurry, outside! response:	Not outside!
context: Soon, you'll start to corrode from the inside!\No... Master...\Kagome... Run...\No!\Idiot! Listen to me!\I REFUSE to run away by myself!\Hurry, outside!\Not outside! response:	There's a small room in the back of the main hall!
context: No... Master...\Kagome... Run...\No!\Idiot! Listen to me!\I REFUSE to run away by myself!\Hurry, outside!\Not outside!\There's a small room in the back of the main hall! response:	As if you can get away!
context: Kagome... Run...\No!\Idiot! Listen to me!\I REFUSE to run away by myself!\Hurry, outside!\Not outside!\There's a small room in the back of the main hall!\As if you can get away! response:	Kagome! Thrust the Tetsusaiga into the door!
context: No!\Idiot! Listen to me!\I REFUSE to run away by myself!\Hurry, outside!\Not outside!\There's a small room in the back of the main hall!\As if you can get away!\Kagome! Thrust the Tetsusaiga into the door! response:	- Huh?! - Hurry!
context: Idiot! Listen to me!\I REFUSE to run away by myself!\Hurry, outside!\Not outside!\There's a small room in the back of the main hall!\As if you can get away!\Kagome! Thrust the Tetsusaiga into the door!\- Huh?! - Hurry! response:	W-what?! Damn!
context: I REFUSE to run away by myself!\Hurry, outside!\Not outside!\There's a small room in the back of the main hall!\As if you can get away!\Kagome! Thrust the Tetsusaiga into the door!\- Huh?! - Hurry!\W-what?! Damn! response:	Tetsusaiga's power will ward them off for a while.
context: Hurry, outside!\Not outside!\There's a small room in the back of the main hall!\As if you can get away!\Kagome! Thrust the Tetsusaiga into the door!\- Huh?! - Hurry!\W-what?! Damn!\Tetsusaiga's power will ward them off for a while. response:	His hands are cold...
context: Not outside!\There's a small room in the back of the main hall!\As if you can get away!\Kagome! Thrust the Tetsusaiga into the door!\- Huh?! - Hurry!\W-what?! Damn!\Tetsusaiga's power will ward them off for a while.\His hands are cold... response:	Inuyasha, hang on!
